ID,Title,Image,Calories,Fat,Protein,Carbs,Ingredients,RecipeSteps
JOR_1,Frozen berry & apple crumble ,"https://img.jamieoliver.com/jamieoliver/recipe-database/141933996.jpg?tr=w-800,h-1066",320,11.4,4.1,53.1,"[""mixed fren berries"", "" eating apples "", ""unsalted butter cold"", ""plain flour"", ""rolled oats"", ""granulated sugar"", ""vanilla ice cream "", ""to serve""]","Preheat the oven to 200°C/400°F/gas 6. Tip the frozen berries into a large bowl, and place in the microwave on high (800W) for 10 minutes until defrosted. Or leave to defrost in the fridge overnight. Once defrosted, drain and reserve the excess juice (see tip). Meanwhile, roughly chop apples into 1cm cubes (skin and all). Cube the butter and place in a mixing bowl with the flour. Rub together with your fingertips until it resembles breadcrumbs, then stir in the oats and half of the sugar. Tip the berries into a 30cm x 25cm baking dish, stir in the chopped apple and remaining sugar, tossing until the apples are well coated. Sprinkle over the crumble topping, then bake in the oven for 25 minutes, or until beautifully golden. Delicious served with scoops of vanilla ice cream."
JOR_2,Apple & pear overnight oats ,"https://img.jamieoliver.com/jamieoliver/recipe-database/124046698.jpg?tr=w-800,h-1066",282,7.5,9.3,44.2,"[""rolled oats"", ""Granola Dust"", ""ground cinnamon"", ""semi skimmed milk"", "" apples"", "" pears"", ""natural yoghurt "", ""to serve""]","The night before, place the oats, Granola Dust and a pinch of cinnamon into a lidded container. Pour over the milk, mix well then cover and pop in the fridge overnight. In the morning, grate in most of the apple and pear and give the mixture a good stir, adding a splash more milk to loosen, if needed. Transfer to bowls or portable containers, and top with a little more grated fruit, a sprinkle of cinnamon and a dollop of yoghurt."
JOR_3,Pot-roast pork with Chianti jus ,"https://img.jamieoliver.com/jamieoliver/recipe-database/117650131.jpg?tr=w-800,h-1066",542,39.2,32.3,11.5,"[""butcher's string"", "" bunch of fresh sage "", """", "" cloves of garlic"", ""olive oil"", ""red wine vinegar"", ""higher welfare skinless boneless saddle eye pork loin"", "" slices of Coppa di Parma"", "" knob of unsalted butter"", "" red onion"", "" stick of celery"", "" sprigs of fresh rosemary"", ""Chianti red wine"", "" celeriac "", ""kg each"", "" a bunch of fresh thyme "", """", ""FRUIT COMPOTE"", ""rhubarb"", "" green eating apple"", "" red eating apple"", "" tablespoon dark brown sugar"", "" knob of unsalted butter""]","Pick the sage leaves into a pestle and mortar, add a pinch of sea salt, then bash to a paste. Peel and smash in the garlic, muddle in 2 tablespoons each of oil and red wine vinegar, then season with black pepper. Rub the paste all over the pork, getting it into all the nooks and crannies, then cover and pop in the fridge for at least 30 minutes, preferably overnight. Preheat the oven to 180°C/350°F/gas 4. Place a large sheet of greaseproof paper on a flat surface and rub lightly with oil. Arrange the Coppa di Parma on the paper, slightly overlapping, to make a large square. Place the pork at one end and roll it up tightly in the Coppa, using the paper to help you. Carefully remove the paper and secure the pork all the way along with butcher's string. Place a large non-stick frying pan on a medium-high heat with a drizzle of oil and the butter, add the pork and brown all over, turning with tongs. Peel the onion and cut into eighths, and trim and roughly chop the celery, adding to the pan as you go. Strip in 2 sprigs of the rosemary, then pour in most of the wine and let it bubble and cook away for 1 minute. Transfer the pan to the oven and roast for 40 minutes, or until golden and cooked through, turning and basting every 10 minutes, and adding the last of the Chianti towards the end. Meanwhile, scrub both celeriac, then carefully peel the knobbly skin with a sharp knife. Place the peelings in a roasting tray, toss with 1 tablespoon of oil and a little salt and pepper, then pop in the bottom of the oven with the pork. Chop the rest of the celeriac into rough 2cm chunks, then place in a large casserole pan on a medium-low heat with 1 tablespoon of oil. Pick in the thyme leaves, then cook with the lid on for 30 minutes, or until softened, stirring occasionally and adding splashes of water, if needed. To make the compote, trim and chop the rhubarb into 5cm chunks and place in a roasting tray. Core the apples, cut into wedges and place in the tray, then add a pinch of pepper, the sugar, butter and 1 tablespoon of red wine vinegar. Drop in the remaining rosemary sprig, then place in the oven for 20 to 30 minutes, or until you're able to mash the fruit slightly. Remove the pork from the oven and let it rest in its juices while the fruit and celeriac finish cooking. Carve the pork (discard the string) and serve with the fruit compote, celeriac and crispy celeriac crackling, spooning over the pan juices. Delicious served with seasonal steamed greens."
JOR_4,Sausage & mash pie ,"https://img.jamieoliver.com/jamieoliver/recipe-database/109469676.jpg?tr=w-800,h-1066",644,21.6,29.4,87.8,"[""potatoes"", "" higher welfare Cumberland or veggie sausages"", ""olive oil"", "" large leeks"", "" eating apples"", "" a bunch of thyme "", "" tablespoons plain flour"", ""semi skimmed milk"", "" teaspoons English mustard""]","Preheat the oven to 200°C/400°F/gas 6. Peel the potatoes, chop into even-sized chunks and cook in a large pan of boiling salted water for 15 minutes, or until tender. Meanwhile, brown the sausages in a large non-stick casserole pan on a medium heat, tossing regularly (if using veggie sausages, add 1 tablespoon of olive oil), while you trim the leeks, halve lengthways, wash and slice 1cm thick. Peel, core and chop the apples into 1cm chunks. Once golden, remove the sausages to a plate, put the leek and apple into the pan and strip in most of the thyme. Add a splash of water, season with sea salt and black pepper, then cover and cook for 20 minutes, stirring occasionally. Drain the potatoes, mash with half the flour, then season to perfection. Lightly rub a 20cm x 28cm baking dish with oil. Once the mash is cool enough to handle, use your fingertips to spread two thirds of it evenly across the base and sides of the dish. Stir the remaining flour into the leeks, then gradually stir in the milk, then the mustard. Simmer for 5 minutes, or until thick and creamy. Slice the sausages 1cm thick and stir most of them into the pan, along with any juices, then evenly spoon into the mash-lined dish. Press the remaining mash on to a sheet of greaseproof paper until just bigger than your dish, then flip over the top of the dish, peel off the paper, trim any excess and crimp the edges with a fork to seal. Poke the reserved sausage slices into the top, then gently brush with 1 tablespoon of oil. Bake at the bottom of the oven for 40 minutes, or until golden, adding the remaining thyme leaves for the last 5 minutes."
JOR_5,Toffee apple tart ,"https://img.jamieoliver.com/jamieoliver/recipe-database/89012122.jpg?tr=w-800,h-1066",666,25.3,12.8,103.4,"[""SHORTCRUST PASTRY"", "" vanilla pod "", ""optional"", ""unsalted butter"", ""icing sugar"", ""plain flour"", "" a lemon"", "" large free range egg yolks"", "" tablespoons cold milk"", ""FILLING"", ""tins of condensed milk "", ""or  jars of Merchant Gourmet Dulce de Leche toffee"", "" medium cooking apples"", "" heaped tablespoons icing sugar""]","Put the unopened tins of condensed milk in a high-sided pan, covered with water. Bring to the boil, then reduce the heat and simmer for 3 hours with a lid on top. It's very important to remember to keep checking the pan, as you don't want it to boil dry - otherwise the tins will explode. It will give you the most amazing toffee. Put the tins to one side and allow to cool. To make the pastry, score the vanilla pod lengthways (if using), and scape out the seeds (keep the pod for making vanilla sugar). Cream the butter, icing sugar and a small pinch of sea salt together, then rub in the flour. Add the vanilla seeds, finely grate in the lemon zest and add the egg yolks - you can do all this by hand or in a food processor. When the mixture looks like coarse breadcrumbs, add the cold milk (or use water). Pat and gently work the mixture together until you have a ball of dough, then flour it lightly and roll into a large sausage shape - don't work the pastry too much otherwise it will become elastic and chewy, not flaky and short as you want it to be. Wrap the dough in clingfilm and place in the fridge to rest for at least 1 hour. Remove it from the fridge, slice it up and line a 28cm loose-bottomed tart tin. Push the slices together, then tidy up the sides by trimming off any excess. Place the tart mould into the freezer for 1 hour. Preheat the oven to 180°C/350°F/gas 4, then take the pastry case out of the freezer and bake for 15 minutes, or until lightly golden. Remove from the oven and allow to cool slightly. Peel and quarter the apples and remove the cores, then finely slice and toss in the icing sugar. Spread the caramel from both tins over the pastry case. Place the apples on top and pour any remaining juices over. Bake at the bottom of the oven for 40 minutes, to give you a crisp base and bubbling toffee over the apples. Serve with yoghurt or vanilla ice cream. Beautiful!"
JOR_6,Beer & cardamom apple fritters ,"https://img.jamieoliver.com/jamieoliver/recipe-database/63227641.jpg?tr=w-800,h-1066",711,40.4,8.5,78.5,"["" cardamom pods"", ""plain flour"", ""cornflour"", "" heaped teaspoon baking powder"", "" heaped tablespoons caster sugar"", "" teaspoon ground cinnamon"", "" medium free range egg yolks"", ""can of chilled lager"", "" large Bramley apples "", ""about "", ""vegetable oil "", ""for frying"", ""SALTED CHOCOLATE SAUCE"", ""quality dark chocolate "", ""%"", "" tablespoons whole milk"", "" tablespoons double cream"", ""salted butter"", "" tablespoons light brown muscovado sugar""]","Crush the cardamom pods, pull out the seeds and finely grind in a pestle and mortar. Mix the flour in a bowl with the cornflour, baking powder, 1 tablespoon of caster sugar, 1 big pinch of sea salt, half the cardamom and half the ground cinnamon. Add the egg yolks and whisk, pouring in the lager as you go, until you have a smooth, thick batter; cover and set aside to rest. Peel and core the apples, before cutting them into Â½-centimetre thick slices, then set aside in a bowl of water until needed. Mix the remaining 5 tablespoons of caster sugar with the rest of the cardamom and cinnamon, and 1 pinch of salt. Heat the oil in a wide, deep, heavy-based pan (no more than half full),  to 190°C/375°F (use a thermometer, or drop in a piece of bread: it should turn golden in about 35 seconds), or use a deep-fat fryer. Dunk the apple slices in the batter and fry, in batches, for 6 to 8 minutes, or until crisp and a rich brown colour, turning regularly. Drain on a rack with kitchen paper underneath to catch the drips. Cool briefly, then toss in the spiced sugar. Snap the chocolate into a saucepan with all the other sauce ingredients and 1 pinch of salt. Melt over a medium-low heat for 2 to 3 minutes, or until smooth and pourable. Serve the sauce immediately, alongside the warm fritters for dipping."
JOR_7,Sausage and apple bake ,"https://img.jamieoliver.com/jamieoliver/recipe-database/105859588.jpg?tr=w-800,h-1066",489,28.8,22.4,36.4,"["" large red onions"", "" eating apples"", "" parsnips"", "" chipolatas"", "" tablespoon runny honey""]","Preheat the oven to 180°C/350°F/gas 4. Place a large non-stick ovenproof frying pan on a medium-high heat. Peel the onions, cut into quarters and quickly break apart into petals directly into the pan, tossing regularly, then add 1 tablespoon of olive oil and a pinch of sea salt and black pepper. Quarter and core the apples, then toss into the pan. Use a speed-peeler to peel the parsnips into long strips. Stir 1 tablespoon of red wine vinegar into the frying pan, then pile the parsnip strips on top of the apples and onions. Lay the sausages on top, then drizzle with 1 tablespoon of olive oil and add a pinch of black pepper from a height. Bake for 30 minutes, then drizzle over the honey and return to the oven for 5 minutes, or until golden and delicious."
JOR_8,Saffron & hazelnut wreath ,"https://img.jamieoliver.com/jamieoliver/recipe-database/60037506.jpg?tr=w-800,h-1066",539,22.3,8.6,76.7,"[""unsalted butter"", ""whole milk"", "" small pinch of saffron threads"", ""caster sugar"", ""fast action dried yeast"", ""strong flour "", ""plus extra for dusting"", ""icing sugar"", "" teaspoon ground cardamom"", ""HAZELNUT FILLING"", ""dried pear "", ""or apple"", ""Cognac "", ""or Calvados"", ""unsalted butter "", ""at room temperature"", ""plain flour"", ""hazelnuts"", "" tablespoons caster sugar"", "" small lemon""]","First, start your filling. Finely chop the dried pear or apple and mix in a bowl with your chosen liqueur or water. Set aside. For the dough, melt the butter with the milk in a pan over a low heat. Stir in the saffron, set aside and allow to cool. Mix the sugar, Â½ a teaspoon of sea salt, yeast and flour in the bowl of a free-standing mixer. Gradually add the milk mixture and mix well. Using the dough hook attachment on the mixer, knead for 15 minutes, or until silky and coming away from the sides of the bowl. Place in a greased bowl, cover and leave to rise for 1 hour, or until doubled in size. Returning to the filling, drain the dried fruit and add to a bowl. Finely grate in the lemon zest, finely chop the hazelnuts and add along with rest of the filling ingredients, rubbing together with your fingers. Cover and set aside. Preheat the oven to 180°C/350°F/gas 4. Roll out the dough on a floured surface into a 28cm x 70cm rectangle. Spread the filling over the dough, leaving a 3cm border all the way around. Roll the dough up from one of the longer ends, pressing the edge firmly to seal. Cut the roll in half lengthways, turn the pieces cut-side-up, then loosely twist around each other. Bring the ends together into a ring, tuck one under the other, and press to seal. Transfer the wreath to a baking tray, cover with a clean tea towel and set aside for 30 minutes, or until increased by half its size. Bake in the middle of the oven for 30 to 35 minutes, or until golden and the bottom sounds hollow when tapped. Allow to cool on a rack. Meanwhile, whisk the icing sugar, cardamom 1 tablespoon of lemon juice and 2 tablespoons of water in a bowl. Drizzle over the wreath, and serve."
JOR_9,Apple and date pieÂ ,"https://img.jamieoliver.com/jamieoliver/recipe-database/58393579.jpg?tr=w-800,h-1066",509,22.8,7.4,73.4,"[""PASTRY"", ""unsalted butter "", ""cold"", ""plain flour "", ""plus extra for dusting"", "" lemon"", "" large free range egg yolk"", ""FILLING"", "" bramley apples"", "" braeburn apples"", "" medjool dates"", "" tablespoons soft light muscovado sugar"", "" teaspoon ground cinnamon"", "" pinch of ground cloves"", ""GLAZE"", "" large free range egg"", "" teaspoon milk"", "" tablespoon demerara sugar "", ""plus extra for sprinkling""]","For the pastry, dice the butter and place into the bowl of a food processor with the flour and Â¼ of a teaspoon of sea salt, then pulse until the mixture resembles coarse breadcrumbs. Finely grate the lemon zest and reserve for later, then squeeze in 1 tablespoon of lemon juice, add the egg yolk and 2 tablespoons of cold water, and pulse to combine. If the mixture still looks dry, keep adding water and pulsing until the dough comes together. Divide the dough in two, shape into equal-sized discs, wrap in clingfilm and chill in the fridge for 1 hour to firm up. For the filling, peel and core the apples, cut into 1cm wedges and place in a saucepan. Sprinkle over the reserved lemon zest and squeeze in the remaining juice. Finely chop the dates, removing any pits, then stir in with the sugar and spices. Gently simmer over a medium-low heat for 6 to 8 minutes, or until the apples are almost tender. Set aside to cool. Preheat the oven to 200°C/400°F/gas 6. Roll  one of the pastry discs out to 5mm thick on a clean, floured surface and use it to line a deep 20cm pie dish, pushing the pastry into the edges. Trim the edges, leaving a 2.5cm overhang around the dish. Spoon in the cooled pie filling, packing it tightly. Roll the second pastry disc out to 5mm thick, brush the edges with water and place over the pie, pressing the edges to seal. Fold in the overhang and crimp with your fingers. For the glaze, beat all the ingredients together in a small bowl, then brush all over the pie. If you have any off-cuts of pastry, you could make extra decorations for the top, sealing with extra glaze. Using a sharp knife, make incisions into the pie top to allow steam to escape during baking. Sprinkle with extra demerara sugar. Bake the pie for 35 to 40 minutes, or until the pastry is golden and firm. Delicious served  warm, with pouring cream or lashings of custard."
JOR_10,Apple crumble cookies ,"https://img.jamieoliver.com/jamieoliver/recipe-database/55846348.jpg?tr=w-800,h-1066",89,3.8,1.1,13.1,"[""dried apple"", ""self raising flour"", ""unsalted butter "", ""cold"", ""caster sugar"", "" large egg""]","Preheat the oven to 200°C/400°F/gas 6. Line two trays with greaseproof paper and rub with olive oil. Whiz the apple in a food processor until finely chopped, then add the flour, cubed butter, sugar and a pinch of sea salt. Blitz to fine crumbs for 1 minute, then remove 3 tablespoons of the mix and set aside. Pulse in the egg until combined, stopping to scrape down the sides, if needed. Divide into 24 pieces, roll into balls, then press down lightly into 4cm rounds, lining them up on the trays as you go. Sprinkle over the reserved mix, lightly pressing it into the cookies. Bake for 8 to 10 minutes, or until lightly golden. Leave to cool slightly, then transfer to a wire cooling rack. Yum!"
