Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Apple tart | Jamie Oliver recipes,"Sticky apricot glaze, flaked almonds & ice cream","https://img.jamieoliver.com/jamieoliver/recipe-database/154403285.jpg?tr=w-800,h-1066","['Serves', '8']",In50 minutes,"“Inspired by the classic French tartelettes you can find in pâtisseries, I’m using shop-bought pastry for convenience. Topped with vanilla ice cream, this is a lovely little number to have up your sleeve. ”",262,11.1g,5g,21.1g,0.4g,3.1g,45g,1.7g,"320g sheet of ready-rolled puff pastry (cold), 200g apricot jam, 4 eating apples, 1 tablespoon flaked almonds, vanilla ice cream, to serve",
Frozen berry & apple crumble | Jamie Oliver recipes,With vanilla ice cream,"https://img.jamieoliver.com/jamieoliver/recipe-database/141933996.jpg?tr=w-800,h-1066","['Serves', '8']",In45 minutes,"“Beautifully soft berries, sweet apples and a buttery oat topping, this recipe is proof that you don’t need fresh fruit to make a cracking crumble. I’m keeping costs down by swapping in frozen mixed berries and granulated sugar (which is around half the price of caster sugar right now!). If you’ve got any apples lying around that are past their best, this recipe is also great for bringing them back to life. ”",320,11.4g,6.6g,32.3g,0g,4.1g,53.1g,5.3g,"1                                                                                                                                                                kg                                                                                                                                                                mixed frozen berries, 2                                                                                                                                                                                                                    eating apples (300g), 100                                                                                                                                                                g                                                                                                                                                                unsalted butter (cold), 150                                                                                                                                                                g                                                                                                                                                                plain flour, 75                                                                                                                                                                g                                                                                                                                                                rolled oats, 150                                                                                                                                                                g                                                                                                                                                                granulated sugar, vanilla ice cream                                                                                                                                                                , to serve","Preheat the oven to 200°C/400°F/gas 6. Tip the frozen berries into a large bowl, and place in the microwave on high (800W) for 10 minutes until defrosted. Or leave to defrost in the fridge overnight. Once defrosted, drain and reserve the excess juice (see tip)., Meanwhile, roughly chop apples into 1cm cubes (skin and all)., Cube the butter and place in a mixing bowl with the flour. Rub together with your fingertips until it resembles breadcrumbs, then stir in the oats and half of the sugar., Tip the berries into a 30cm x 25cm baking dish, stir in the chopped apple and remaining sugar, tossing until the apples are well coated. Sprinkle over the crumble topping, then bake in the oven for 25 minutes, or until beautifully golden. Delicious served with scoops of vanilla ice cream."
Toffee apple buns | Jamie Oliver recipes,Soft & sticky with vanilla & cinnamon,"https://img.jamieoliver.com/jamieoliver/recipe-database/138452759.jpg?tr=w-800,h-1066","['Serves', '12']",plus proving,,278,7.6g,4.4g,18.9g,0.4g,5.3g,49.7g,2.7g,"500                                                                                                                                                                g                                                                                                                                                                strong white bread flour                                                                                                                                                                , plus extra for dusting, 1 x 7                                                                                                                                                                g                                                                                                                                                                sachet of dried yeast, oil                                                                                                                                                                , for greasing, 100                                                                                                                                                                g                                                                                                                                                                dried apple slices, 4                                                                                                                                                                                                                    eating apples, 1                                                                                                                                                                level tablespoon                                                                                                                                                                ground cinnamon, 1                                                                                                                                                                tablespoon                                                                                                                                                                vanilla bean paste, 100                                                                                                                                                                g                                                                                                                                                                demerara sugar                                                                                                                                                                , plus extra for dusting, 100                                                                                                                                                                g                                                                                                                                                                soft unsalted butter                                                                                                                                                                , plus extra for greasing",
Apple & pear overnight oats | Jamie Oliver recipes,With Granola Dust & cinnamon,"https://img.jamieoliver.com/jamieoliver/recipe-database/124046698.jpg?tr=w-800,h-1066","['Serves', '6']",overnight soaking,"“Overnight oats is one of my favourite ways to enjoy oats at breakfast time, and these have the added bonus of Granola Dust for extra nutrition and flavour. Pop into portable containers and enjoy on the go. ”",282,7.5g,1.9g,18.4g,0.1g,9.3g,44.2g,7.1g,"100                                                                                                                                                                g                                                                                                                                                                rolled oats, 200                                                                                                                                                                g                                                                                                                                                                Granola Dust, ground cinnamon, 500                                                                                                                                                                ml                                                                                                                                                                semi-skimmed milk, 2                                                                                                                                                                                                                    apples, 2                                                                                                                                                                                                                    pears, natural yoghurt                                                                                                                                                                , to serve","The night before, place the oats, Granola Dust and a pinch of cinnamon into a lidded container. Pour over the milk, mix well then cover and pop in the fridge overnight., In the morning, grate in most of the apple and pear and give the mixture a good stir, adding a splash more milk to loosen, if needed., Transfer to bowls or portable containers, and top with a little more grated fruit, a sprinkle of cinnamon and a dollop of yoghurt."
Pot-roast pork with Chianti jus | Jamie Oliver recipes,"Celeriac two ways, roasted rhubarb & apple compote","https://img.jamieoliver.com/jamieoliver/recipe-database/117650131.jpg?tr=w-800,h-1066","['Serves', '8']",plus marinating,"“Upgrade your family Sunday roast with this lovely pork number. You have crispy cured meat and celeriac crackling beautifully contrasted with juicy slices of pork and soft cubes of celeriac, finished with a sweet fruit compote. What’s not to love? ”",542,39.2g,13.5g,9.3g,2g,32.3g,11.5g,6.3g,"butcher's string, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh sage                                                                                                                                                                , (15g), 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, olive oil, red wine vinegar, 1                                                                                                                                                                kg                                                                                                                                                                higher-welfare skinless boneless saddle-eye pork loin, 18                                                                                                                                                                slices of                                                                                                                                                                Coppa di Parma, 1                                                                                                                                                                 knob of                                                                                                                                                                unsalted butter, 1                                                                                                                                                                                                                    red onion, 1                                                                                                                                                                stick of                                                                                                                                                                celery, 3                                                                                                                                                                 sprigs of                                                                                                                                                                fresh rosemary, 200                                                                                                                                                                ml                                                                                                                                                                Chianti red wine, 2                                                                                                                                                                                                                    celeriac                                                                                                                                                                , (1kg each), ½ a                                                                                                                                                                bunch of                                                                                                                                                                fresh thyme                                                                                                                                                                , (15g), FRUIT COMPOTE, 400                                                                                                                                                                g                                                                                                                                                                rhubarb, 1                                                                                                                                                                                                                     green eating apple, 1                                                                                                                                                                                                                     red eating apple, 1                                                                                                                                                                tablespoon                                                                                                                                                                dark brown sugar, 1                                                                                                                                                                knob of                                                                                                                                                                unsalted butter","Pick the sage leaves into a pestle and mortar, add a pinch of sea salt, then bash to a paste. Peel and smash in the garlic, muddle in 2 tablespoons each of oil and red wine vinegar, then season with black pepper., Rub the paste all over the pork, getting it into all the nooks and crannies, then cover and pop in the fridge for at least 30 minutes, preferably overnight., Preheat the oven to 180°C/350°F/gas 4. Place a large sheet of greaseproof paper on a flat surface and rub lightly with oil. Arrange the Coppa di Parma on the paper, slightly overlapping, to make a large square., Place the pork at one end and roll it up tightly in the Coppa, using the paper to help you. Carefully remove the paper and secure the pork all the way along with butcher’s string., Place a large non-stick frying pan on a medium-high heat with a drizzle of oil and the butter, add the pork and brown all over, turning with tongs., Peel the onion and cut into eighths, and trim and roughly chop the celery, adding to the pan as you go. Strip in 2 sprigs of the rosemary, then pour in most of the wine and let it bubble and cook away for 1 minute., Transfer the pan to the oven and roast for 40 minutes, or until golden and cooked through, turning and basting every 10 minutes, and adding the last of the Chianti towards the end., Meanwhile, scrub both celeriac, then carefully peel the knobbly skin with a sharp knife. Place the peelings in a roasting tray, toss with 1 tablespoon of oil and a little salt and pepper, then pop in the bottom of the oven with the pork., Chop the rest of the celeriac into rough 2cm chunks, then place in a large casserole pan on a medium-low heat with 1 tablespoon of oil. Pick in the thyme leaves, then cook with the lid on for 30 minutes, or until softened, stirring occasionally and adding splashes of water, if needed., To make the compote, trim and chop the rhubarb into 5cm chunks and place in a roasting tray. Core the apples, cut into wedges and place in the tray, then add a pinch of pepper, the sugar, butter and 1 tablespoon of red wine vinegar. Drop in the remaining rosemary sprig, then place in the oven for 20 to 30 minutes, or until you’re able to mash the fruit slightly., Remove the pork from the oven and let it rest in its juices while the fruit and celeriac finish cooking., Carve the pork (discard the string) and serve with the fruit compote, celeriac and crispy celeriac crackling, spooning over the pan juices. Delicious served with seasonal steamed greens."
Sausage & mash pie | Jamie Oliver recipes,"Creamy leeks, mustard, thyme & apple","https://img.jamieoliver.com/jamieoliver/recipe-database/109469676.jpg?tr=w-800,h-1066","['Serves', '4']",30 minutes,,644,21.6g,7.8g,18.6g,2.4g,29.4g,87.8g,7.8g,"1.2                                                                                                                                                                kg                                                                                                                                                                potatoes, 6                                                                                                                                                                                                                    higher-welfare Cumberland or veggie sausages, olive oil, 2                                                                                                                                                                                                                    large leeks, 2                                                                                                                                                                                                                    eating apples, ½                                                                                                                                                                                                                    a bunch of thyme (10g), 4                                                                                                                                                                                                                    tablespoons plain flour, 600                                                                                                                                                                ml                                                                                                                                                                semi-skimmed milk, 3                                                                                                                                                                teaspoons                                                                                                                                                                English mustard","Preheat the oven to 200°C/400°F/gas 6., Peel the potatoes, chop into even-sized chunks and cook in a large pan of boiling salted water for 15 minutes, or until tender., Meanwhile, brown the sausages in a large non-stick casserole pan on a medium heat, tossing regularly (if using veggie sausages, add 1 tablespoon of olive oil), while you trim the leeks, halve lengthways, wash and slice 1cm thick., Peel, core and chop the apples into 1cm chunks. Once golden, remove the sausages to a plate, put the leek and apple into the pan and strip in most of the thyme. Add a splash of water, season with sea salt and black pepper, then cover and cook for 20 minutes, stirring occasionally., Drain the potatoes, mash with half the flour, then season to perfection. Lightly rub a 20cm x 28cm baking dish with oil. Once the mash is cool enough to handle, use your fingertips to spread two thirds of it evenly across the base and sides of the dish., Stir the remaining flour into the leeks, then gradually stir in the milk, then the mustard. Simmer for 5 minutes, or until thick and creamy., Slice the sausages 1cm thick and stir most of them into the pan, along with any juices, then evenly spoon into the mash-lined dish., Press the remaining mash on to a sheet of greaseproof paper until just bigger than your dish, then flip over the top of the dish, peel off the paper, trim any excess and crimp the edges with a fork to seal., Poke the reserved sausage slices into the top, then gently brush with 1 tablespoon of oil. Bake at the bottom of the oven for 40 minutes, or until golden, adding the remaining thyme leaves for the last 5 minutes."
Toffee apple tart | Jamie Oliver baking & dessert recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/89012122.jpg?tr=w-800,h-1066","['Serves', '8']",plus chilling,"“This is a fantastic dessert that I love to make for friends and family as they can’t get enough of it. The combination of toffee and apples is a fairground classic but feel free to try it with pears, bananas, even strawberries – they’re all absolutely delicious! ”",666,25.3g,14.6g,79.4g,0.5g,12.8g,103.4g,2.2g,"SHORTCRUST PASTRY, 1                                                                                                                                                                                                                    vanilla pod                                                                                                                                                                , (optional), 125                                                                                                                                                                g                                                                                                                                                                unsalted butter, 100                                                                                                                                                                g                                                                                                                                                                icing sugar, 250                                                                                                                                                                g                                                                                                                                                                plain flour, ½                                                                                                                                                                a                                                                                                                                                                lemon, 2                                                                                                                                                                large                                                                                                                                                                free-range egg yolks, 2                                                                                                                                                                tablespoons                                                                                                                                                                cold milk, FILLING, 2 x 397                                                                                                                                                                g tins of                                                                                                                                                                condensed milk                                                                                                                                                                , or 2 jars of Merchant Gourmet Dulce de Leche toffee, 4                                                                                                                                                                medium                                                                                                                                                                cooking apples, 2                                                                                                                                                                heaped tablespoons                                                                                                                                                                icing sugar","Put the unopened tins of condensed milk in a high-sided pan, covered with water. Bring to the boil, then reduce the heat and simmer for 3 hours with a lid on top. It’s very important to remember to keep checking the pan, as you don’t want it to boil dry – otherwise the tins will explode. It will give you the most amazing toffee. Put the tins to one side and allow to cool., To make the pastry, score the vanilla pod lengthways (if using), and scape out the seeds (keep the pod for making vanilla sugar)., Cream the butter, icing sugar and a small pinch of sea salt together, then rub in the flour. Add the vanilla seeds, finely grate in the lemon zest and add the egg yolks – you can do all this by hand or in a food processor., When the mixture looks like coarse breadcrumbs, add the cold milk (or use water)., Pat and gently work the mixture together until you have a ball of dough, then flour it lightly and roll into a large sausage shape – don’t work the pastry too much otherwise it will become elastic and chewy, not flaky and short as you want it to be., Wrap the dough in clingfilm and place in the fridge to rest for at least 1 hour., Remove it from the fridge, slice it up and line a 28cm loose-bottomed tart tin. Push the slices together, then tidy up the sides by trimming off any excess. Place the tart mould into the freezer for 1 hour., Preheat the oven to 180°C/350°F/gas 4, then take the pastry case out of the freezer and bake for 15 minutes, or until lightly golden. Remove from the oven and allow to cool slightly., Peel and quarter the apples and remove the cores, then finely slice and toss in the icing sugar., Spread the caramel from both tins over the pastry case. Place the apples on top and pour any remaining juices over., Bake at the bottom of the oven for 40 minutes, to give you a crisp base and bubbling toffee over the apples. Serve with yoghurt or vanilla ice cream. Beautiful!"
Beer & cardamom apple fritters | Apple recipes | Jamie magazine,With salted chocolate sauce,"https://img.jamieoliver.com/jamieoliver/recipe-database/63227641.jpg?tr=w-800,h-1066","['Serves', '6']",plus resting,"“These indulgent and delicious fritters are totally moreish – they’re like apple churros. Give them a good coat of batter before you fry them, to ensure they are wonderfully fluffy and crisp, ready for covering in the Christmas-spiced sugar. ”",711,40.4g,14.6g,38.3g,0.72g,8.5g,78.5g,5.8g,"8                                                                                                                                                                                                                    cardamom pods, 250                                                                                                                                                                g                                                                                                                                                                plain flour, 30                                                                                                                                                                g                                                                                                                                                                cornflour, ½                                                                                                                                                                heaped teaspoon                                                                                                                                                                baking powder, 6                                                                                                                                                                heaped tablespoons                                                                                                                                                                caster sugar, 1                                                                                                                                                                teaspoon                                                                                                                                                                ground cinnamon, 2                                                                                                                                                                medium                                                                                                                                                                free-range egg yolks, 330                                                                                                                                                                ml can of                                                                                                                                                                chilled lager, 2                                                                                                                                                                large                                                                                                                                                                Bramley apples                                                                                                                                                                , (about 500g), 1.5                                                                                                                                                                litres                                                                                                                                                                vegetable oil                                                                                                                                                                , for frying, SALTED CHOCOLATE SAUCE, 150                                                                                                                                                                g                                                                                                                                                                quality dark chocolate                                                                                                                                                                , (70%), 6                                                                                                                                                                tablespoons                                                                                                                                                                whole milk, 4                                                                                                                                                                tablespoons                                                                                                                                                                double cream, 30                                                                                                                                                                g                                                                                                                                                                salted butter, 2                                                                                                                                                                tablespoons                                                                                                                                                                light brown muscovado sugar","Crush the cardamom pods, pull out the seeds and finely grind in a pestle and mortar., Mix the flour in a bowl with the cornflour, baking powder, 1 tablespoon of caster sugar, 1 big pinch of sea salt, half the cardamom and half the ground cinnamon., Add the egg yolks and whisk, pouring in the lager as you go, until you have a smooth, thick batter; cover and set aside to rest., Peel and core the apples, before cutting them into ½-centimetre thick slices, then set aside in a bowl of water until needed., Mix the remaining 5 tablespoons of caster sugar with the rest of the cardamom and cinnamon, and 1 pinch of salt., Heat the oil in a wide, deep, heavy-based pan (no more than half full),  to 190ºC/375ºF (use a thermometer, or drop in a piece of bread: it should turn golden in about 35 seconds), or use a deep-fat fryer., Dunk the apple slices in the batter and fry, in batches, for 6 to 8 minutes, or until crisp and a rich brown colour, turning regularly. Drain on a rack with kitchen paper underneath to catch the drips. Cool briefly, then toss in the spiced sugar., Snap the chocolate into a saucepan with all the other sauce ingredients and 1 pinch of salt. Melt over a medium-low heat for 2 to 3 minutes, or until smooth and pourable., Serve the sauce immediately, alongside the warm fritters for dipping."
Sausage and apple bake | Recipes | Jamie Oliver,With honeyed parsnips & caramelised onions,"https://img.jamieoliver.com/jamieoliver/recipe-database/105859588.jpg?tr=w-800,h-1066","['Serves', '4']",minutes cook),"“Easy to put together and so delicious, this 5-ingredient recipe will take care of you. Just a little bit of prep and you can bang it in the oven, letting it do all the hard work for you. What you end up with is a beautifully scruffy, humble combo that’s all about flavour, and is guaranteed to make you smile. ”",489,28.8g,7.9g,24.8g,1.8g,22.4g,36.4g,10.6g,"2                                                                                                                                                                                                                    large red onions, 2                                                                                                                                                                                                                    eating apples, 4                                                                                                                                                                                                                     parsnips, 12                                                                                                                                                                                                                    chipolatas, 1                                                                                                                                                                tablespoon                                                                                                                                                                runny honey","Preheat the oven to 180ºC/350ºF/gas 4. Place a large non-stick ovenproof frying pan on a medium-high heat., Peel the onions, cut into quarters and quickly break apart into petals directly into the pan, tossing regularly, then add 1 tablespoon of olive oil and a pinch of sea salt and black pepper. Quarter and core the apples, then toss into the pan., Use a speed-peeler to peel the parsnips into long strips., Stir 1 tablespoon of red wine vinegar into the frying pan, then pile the parsnip strips on top of the apples and onions., Lay the sausages on top, then drizzle with 1 tablespoon of olive oil and add a pinch of black pepper from a height., Bake for 30 minutes, then drizzle over the honey and return to the oven for 5 minutes, or until golden and delicious."
Saffron & hazelnut wreath | Bread recipes | Jamie magazine recipes,With a warming apple & Cognac filling,"https://img.jamieoliver.com/jamieoliver/recipe-database/60037506.jpg?tr=w-800,h-1066","['-', '20']",& proving,"“In Nordic countries, saffron buns are a typical Advent treat, 
often made as a wreath. If you don’t have Cognac or Calvados, 
you could always use your favourite liqueur – or water, if you’d 
prefer to leave the booze out entirely. ”",539,22.3g,11.6g,33.1g,0.2 g,8.6g,76.7g,3.1g,"170                                                                                                                                                                g                                                                                                                                                                unsalted butter, 500                                                                                                                                                                ml                                                                                                                                                                whole milk, 1                                                                                                                                                                small pinch of                                                                                                                                                                saffron threads, 180                                                                                                                                                                g                                                                                                                                                                caster sugar, 10                                                                                                                                                                g                                                                                                                                                                fast-action dried yeast, 800                                                                                                                                                                g                                                                                                                                                                strong flour                                                                                                                                                                , plus extra for dusting, 115                                                                                                                                                                g                                                                                                                                                                icing sugar, ¼                                                                                                                                                                teaspoon                                                                                                                                                                ground cardamom, HAZELNUT FILLING, 150                                                                                                                                                                g                                                                                                                                                                dried pear                                                                                                                                                                , or apple, 120                                                                                                                                                                ml                                                                                                                                                                Cognac                                                                                                                                                                , or Calvados, 150                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , (at room temperature), 80                                                                                                                                                                g                                                                                                                                                                plain flour, 100                                                                                                                                                                g                                                                                                                                                                hazelnuts, 5                                                                                                                                                                tablespoons                                                                                                                                                                caster sugar, 1                                                                                                                                                                 small                                                                                                                                                                lemon","First, start your filling. Finely chop the dried pear or apple and mix in a bowl with your chosen liqueur or water. Set aside., For the dough, melt the butter with the milk in a pan over a low heat. Stir in the saffron, set aside and allow to cool., Mix the sugar, ½ a teaspoon of sea salt, yeast and flour in the bowl of a free-standing mixer. Gradually add the milk mixture and mix well., Using the dough hook attachment on the mixer, knead for 15 minutes, or until silky and coming away from the sides of the bowl. Place in a greased bowl, cover and leave to rise for 1 hour, or until doubled in size., Returning to the filling, drain the dried fruit and add to a bowl. Finely grate in the lemon zest, finely chop the hazelnuts and add along with rest of the filling ingredients, rubbing together with your fingers. Cover and set aside., Preheat the oven to 180ºC/350ºF/gas 4., Roll out the dough on a floured surface into a 28cm x 70cm rectangle. Spread the filling over the dough, leaving a 3cm border all the way around., Roll the dough up from one of the longer ends, pressing the edge firmly to seal. Cut the roll in half lengthways, turn the pieces cut-side-up, then loosely twist around each other., Bring the ends together into a ring, tuck one under the other, and press to seal. Transfer the wreath to a baking tray, cover with a clean tea towel and set aside for 30 minutes, or until increased by half its size., Bake in the middle of the oven for 30 to 35 minutes, or until golden and the bottom sounds hollow when tapped. Allow to cool on a rack., Meanwhile, whisk the icing sugar, cardamom 1 tablespoon of lemon juice and 2 tablespoons of water in a bowl. Drizzle over the wreath, and serve."
