Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Asparagus carbonara | Jamie Oliver recipes,"Smoked pancetta, egg yolks, black pepper & pecorino","https://img.jamieoliver.com/jamieoliver/recipe-database/154403193.jpg?tr=w-800,h-1066","['Serves', '4']",In15 minutes,"“I never get bored cooking this dish – it comes together so effortlessly. I just love the contrast between the dark peppery pancetta and delicate asparagus, all coated in the silky egg and cheese sauce. ”",463,17.5g,5.7g,3.3g,1.1g,22.2g,58.4g,1.5g,"300g dried penne, 350g asparagus, 4 large free-range eggs, 50g pecorino or Parmesan, plus extra to serve, 4 rashers of higher-welfare smoked pancetta or streaky bacon",
Jersey Royal traybake | Jamie Oliver recipes,"Smoked salmon, horseradish dressing & lemony watercress","https://img.jamieoliver.com/jamieoliver/recipe-database/149581328.jpg?tr=w-800,h-1066","['Serves', '4']",In55 minutes,,334,15.8g,3.4g,5g,1.6g,13.7g,36.5g,3.8g,"750                                                                                                                                                                g                                                                                                                                                                Jersey Royals, olive oil, 8                                                                                                                                                                                                                    spring onions, 1                                                                                                                                                                bunch of                                                                                                                                                                asparagus                                                                                                                                                                , (180g), ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh flat-leaf parsley                                                                                                                                                                , (15g), 1                                                                                                                                                                                                                    lemon, 100                                                                                                                                                                g                                                                                                                                                                cottage cheese, 1                                                                                                                                                                tablespoon                                                                                                                                                                creamed horseradish, extra virgin olive oil, 100                                                                                                                                                                g                                                                                                                                                                watercress, 100                                                                                                                                                                g                                                                                                                                                                smoked salmon                                                                                                                                                                , from sustainable sources","Preheat the oven to 200ºC/400ºF/gas 6., Scrub the potatoes and cook in a pan of boiling salted water for 15 minutes, then drain and steam dry., Tip the potatoes into a large roasting tray, toss with a pinch of sea salt and black pepper and 2 tablespoons of olive oil, then roast for 15 minutes., Meanwhile, trim the spring onions and asparagus, and finely chop the  parsley, stalks and all., When the time’s up, remove the potatoes from the oven, squash them gently with a potato masher, then push to one side. Place the spring onions and asparagus on the bottom of the tray, arrange the potatoes on top, then return to the oven for a further 15 minutes, or until the potatoes are golden and cooked through., Finely grate the lemon zest into a small bowl, squeeze in half the juice, then add the chopped parsley. Stir through the cottage cheese, creamed horseradish and 1 tablespoon of extra virgin olive oil, then season to taste., Toss the watercress in a squeeze of lemon juice and 1 tablespoon of extra virgin olive oil., Pile the potatoes and veg onto a platter, spoon over a good dollop of creamy dressing, then arrange slices of smoked salmon and pinches of dressed watercress nicely on top."
Green shakshuka | Jamie Oliver recipes,"Tender asparagus & broccoli, mint, harissa & curds","https://img.jamieoliver.com/jamieoliver/recipe-database/136295676.jpg?tr=w-800,h-1066","['Serves', '2']",In18 minutes,,333,17.9g,5.6g,5.1g,0.7g,23.4g,22.8g,6.9g,"½                                                                                                                                                                 a bunch of                                                                                                                                                                 asparagus (175g), ½                                                                                                                                                                a head of                                                                                                                                                                broccoli (175g), olive oil, 1                                                                                                                                                                                                                    potato (175g), 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 2                                                                                                                                                                teaspoons                                                                                                                                                                 harissa, 4                                                                                                                                                                                                                    eggs, 2                                                                                                                                                                tablespoons                                                                                                                                                                cottage cheese, 2                                                                                                                                                                sprigs of                                                                                                                                                                 fresh mint, optional: extra virgin olive oil",
Sweet tomato gnocchi,"Fresh spinach & hazelnut pesto, asparagus & olives","https://img.jamieoliver.com/jamieoliver/recipe-database/136295679.jpg?tr=w-800,h-1066","['leftover', 'pesto']",In18 minutes,,470,8.5g,1.8g,11.1g,1.6g,14.7g,83.1g,5.2g,"2                                                                                                                                                                cloves of                                                                                                                                                                garlic, olive oil, 400                                                                                                                                                                g                                                                                                                                                                potato gnocchi, 20                                                                                                                                                                g                                                                                                                                                                blanched hazelnuts, 100                                                                                                                                                                g                                                                                                                                                                baby spinach, extra virgin olive oil, 20                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, 1                                                                                                                                                                x 400g tin of                                                                                                                                                                quality plum tomatoes, 250                                                                                                                                                                g                                                                                                                                                                asparagus, 4                                                                                                                                                                                                                    black olives                                                                                                                                                                , stone in",
Asparagus stir-fry | Jamie Oliver recipes,"With sesame tofu, ginger & chilli","https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066","['Serves', '4']",,,248,10.3g,2g,4.7g,-g,13.4g,24.9g,,"350                                                                                                                                                                g                                                                                                                                                                firm tofu, 2                                                                                                                                                                teaspoons                                                                                                                                                                groundnut oil, 2                                                                                                                                                                tablespoons                                                                                                                                                                sesame seeds, ½                                                                                                                                                                tablespoon                                                                                                                                                                cornflour, 2                                                                                                                                                                tablespoons                                                                                                                                                                soy sauce, 1                                                                                                                                                                tablespoon                                                                                                                                                                white wine vinegar, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 1                                                                                                                                                                                                                    fresh red chilli                                                                                                                                                                , plus extra to serve, 5                                                                                                                                                                cm piece of                                                                                                                                                                ginger, 320                                                                                                                                                                g                                                                                                                                                                asparagus, 150                                                                                                                                                                g                                                                                                                                                                beansprouts, 200                                                                                                                                                                g                                                                                                                                                                rice noodles                                                                                                                                                                , to serve (optional)","Place 350g of firm tofu on a plate lined with kitchen paper, then place another layer of kitchen paper on top – this will help soak up some of the moisture. Set aside until ready to use., Place a large frying pan over a medium heat, carefully cut the tofu into quarters, then cut each piece into four again. Add 1 teaspoon of groundnut oil to the pan, then add the tofu and leave to cook for 10 to 15 minutes, or until golden and crisp, turning halfway. Remove to a bowl., Toast 2 tablespoons of sesame seeds in the pan, then toss with the tofu to coat., In a small bowl, mix ½ a tablespoon of cornflour, 2 tablespoons of soy sauce and 1 tablespoon of white wine vinegar until combined., Peel and finely chop 1 clove of garlic and trim and finely slice 1 fresh red chilli. Peel a 5cm piece of ginger, then slice into matchsticks. Snap the woody ends from 320g asparagus, and slice on the bias., Place a wok over a high heat and add 1 teaspoon of groundnut oil. Once hot, stir in the garlic, chilli and ginger, followed by the asparagus and 150g of beansprouts. Cook for a couple of minutes, or until everything is fragrant and golden, stirring continuously., Stir in the cornflour mixture, reduce the heat to medium and cook for 4 to 5 minutes, or until the sauce has thickened, adding a splash of water, if needed., Serve the veggies alongside the tofu with some extra sliced red chilli and cooked rice noodles, if you like."
One-pan veggie lasagne | Jamie Oliver recipes,"Sweet leek, asparagus, peas & broad beans","https://img.jamieoliver.com/jamieoliver/recipe-database/134657931.jpg?tr=w-800,h-1066","['Serves', '6']",In45 minutes,"“Twisted, rustic layers of beautiful lasagne and delicate veg that can be cooked, baked and served in just one pan. Enjoy! ”",516,26.7g,12g,11.6g,1.3g,28.9g,42.1g,7.4g,"1                                                                                                                                                                                                                    leek, 50                                                                                                                                                                g                                                                                                                                                                unsalted butter, olive oil, 500                                                                                                                                                                g                                                                                                                                                                asparagus, 50                                                                                                                                                                g                                                                                                                                                                plain flour, 2                                                                                                                                                                teaspoons                                                                                                                                                                English mustard, 800                                                                                                                                                                ml                                                                                                                                                                semi-skimmed milk, 300                                                                                                                                                                g                                                                                                                                                                fresh or frozen peas, 300                                                                                                                                                                g                                                                                                                                                                fresh or frozen broad beans, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (15g), 80                                                                                                                                                                g                                                                                                                                                                Parmesan cheese                                                                                                                                                                , plus extra to serve, 80                                                                                                                                                                g                                                                                                                                                                mature Cheddar cheese, 250                                                                                                                                                                g                                                                                                                                                                fresh lasagne sheets, 50                                                                                                                                                                g                                                                                                                                                                blanched almonds, 1                                                                                                                                                                                                                    lemon                                                                                                                                                                , optional, green pesto                                                                                                                                                                , optional","Preheat the oven to 200ºC/400ºF/gas 6., Wash, trim and slice 1 leek (see tip) and place in a large shallow ovenproof pan on a medium-low heat with 50g of unsalted butter and a splash of olive oil., Line up 500g of asparagus, trim off the woody ends, then finely slice and add the stems to the pan, reserving the tips for later., Season with sea salt and black pepper, then fry on a medium-low heat for 10 minutes, or until sweet, soft and delicious, stirring regularly and adding a splash of water, if needed., Stir in 50g of plain flour, followed by 2 teaspoons of English mustard, and slowly stir in 800ml of semi-skimmed milk to give you a loose white sauce, then leave to blip away for a few minutes., Stir in 300g each of peas and broad beans and leave to warm through while you rip off, roughly chop and stir in the leaves from ½ a bunch of fresh mint (15g)., Smash up the veg for 1 minute with a potato masher, then grate in 70g each of Parmesan and Cheddar and add the asparagus tips., Tear in the pasta sheets, mix up really well to coat and separate, then pull some of the sheets to the top to create a top layer – use the back of a spoon to create some dips and wells., Roughly bash the almonds so you have a mixture of fine and chunky bits, then sprinkle on top and grate over the remaining 10g each of Parmesan and Cheddar cheese. Finish with a drizzle of olive oil and a few scrapings of lemon zest (if using)., Bake for 20 to 25 minutes, or until golden and bubbling. Serve topped with a little dollop of pesto (if using), a crunchy green salad and an extra grating of Parmesan, if you like."
Wholemeal-crust pizza rossa | Jamie Oliver recipes,"With asparagus, Parmesan & rocket salad","https://img.jamieoliver.com/jamieoliver/recipe-database/134584614.jpg?tr=w-800,h-1066","['Makes', '4']",plus proving,"“Every good pizza starts with an incredible dough and the addition of dark rye make this one pretty epic. It manages to be both crispy and spongy, with the most amazing nutty flavour. The hero of this ‘red pizza’ is the chilli-spiked tomato sauce, so use the best quality tomatoes you can find. ”",547,9.9g,2.5g,6.5g,1.3g,23.5g,97g,7g,"400                                                                                                                                                                g                                                                                                                                                                strong white bread flour                                                                                                                                                                , plus extra for dusting, 100                                                                                                                                                                g                                                                                                                                                                plain wholemeal flour, 1 x 7                                                                                                                                                                g sachet of                                                                                                                                                                dried yeast, olive oil, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                                                                    fresh red chilli, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                quality plum tomatoes, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh basil                                                                                                                                                                , (30g), 300                                                                                                                                                                g                                                                                                                                                                asparagus, 30                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, 200                                                                                                                                                                g                                                                                                                                                                rocket, extra virgin olive oil, 1                                                                                                                                                                                                                    lemon, balsamic vinegar","To make the pizza dough, combine 400g of strong white bread flour and 100g plain wholemeal flour and 1 x 7g sachet of yeast in a large bowl with 1 teaspoon of fine sea salt. Make a well in the middle and pour in 325ml of tepid water. Bring the mixture into a ball with your hand, then knead on a flour-dusted surface for 10 minutes, or until elastic and smooth., Place into an oiled bowl, cover with a damp tea towel and leave to prove for 1 hour or until doubled in size., Knock the dough back by kneading it briefly, then divide into 4 balls. Cover again and leave to prove again for 1 hour., Preheat the oven to its highest setting. Pop a couple of pizza stones in the oven, or use 2 baking trays dusted with flour., For the sauce, peel 2 cloves of garlic and finely slice, along with the 1 fresh red chilli. Place in a saucepan on a medium heat with 1 tablespoon of olive oil and fry until golden., Add 1 x 400g tin of plum tomatoes, gently crushing them through your hands into the pan. Simmer for 5 minutes or until slightly thickened, then taste and season to perfection with sea salt and black pepper., Roll and stretch each ball of dough into 20cm rounds to make 4 pizza bases., Spread each base with the tomato sauce, then pick over a little basil., Transfer the pizzas, two at a time, to the pizza stones or baking trays and bake for 8 to 10 minutes, or until golden and crisp. Repeat with the remaining pizzas., Using a speed peeler, shave 300g of asparagus spears and 30g of Parmesan into a large bowl. Add 200g of rocket and the remaining basil leaves, then toss with a drizzle of extra virgin olive oil and a good squeeze of lemon juice., Top each pizza with a large handful of salad, then drizzle with balsamic vinegar, and tuck in!"
Tender asparagus | Jamie Oliver recipes,"With glorious green dressing, soft-boiled eggs & crispy bacon croutons","https://img.jamieoliver.com/jamieoliver/recipe-database/126289293.jpg?tr=w-800,h-1066","['Serves', '8']",,,282,18.9g,3.7g,3.1g,0.8g,14.1g,14.1g,0.2g,"2                                                                                                                                                                                                                    spring onions, 2                                                                                                                                                                tablespoons                                                                                                                                                                Dijon mustard, 2                                                                                                                                                                tablespoons                                                                                                                                                                white wine vinegar, extra virgin olive oil, 1                                                                                                                                                                bunch of                                                                                                                                                                 flat-leaf parsley                                                                                                                                                                , (30g), 4                                                                                                                                                                rashers of                                                                                                                                                                higher-welfare smoked streaky bacon, 200                                                                                                                                                                g                                                                                                                                                                sourdough bread, olive oil, 1                                                                                                                                                                kg                                                                                                                                                                asparagus, 8                                                                                                                                                                                                                    large free-range eggs",
Quickest white fish tagine | Jamie Oliver recipes,"Sweet cherry tomatoes, harissa, asparagus & fluffy couscous","https://img.jamieoliver.com/jamieoliver/recipe-database/109469720.jpg?tr=w-800,h-1066","['Serves', '2']",In15 minutes,,560,13.4g,2.2g,10.9g,1.5g,43.5g,70.2g,4.9g,"150                                                                                                                                                                g                                                                                                                                                                couscous, 4                                                                                                                                                                cloves of                                                                                                                                                                garlic, olive oil, 250                                                                                                                                                                g                                                                                                                                                                ripe mixed-colour cherry tomatoes, 250                                                                                                                                                                g                                                                                                                                                                asparagus, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                rose harissa, 2 x 150                                                                                                                                                                g                                                                                                                                                                white fish fillets, skin off, pin-boned, from sustainable sources, 1                                                                                                                                                                                                                    lemon, 2                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt",
Avocado hollandaise | Jamie Oliver recipes,"Steamed flaky white fish, asparagus & lemon","https://img.jamieoliver.com/jamieoliver/recipe-database/119000538.jpg?tr=w-800,h-1066","['Serves', '2']",In15 minutes,"“This is hollandaise like you’ve never seen before. Follow this method for a really easy, no whisk, no splitting, silky, elegant sauce. Really fresh, really vivacious and really green! ”",304,15.5g,3.4g,4.1g,0.8g,35.8g,5.3g,1.9g,"1                                                                                                                                                                bunch of                                                                                                                                                                thick asparagus                                                                                                                                                                , (350g), 2 x 150                                                                                                                                                                g                                                                                                                                                                chunky fillets of white fish                                                                                                                                                                , skin off, pin-boned, from sustainable sources, 2                                                                                                                                                                                                                    spring onions, 1                                                                                                                                                                                                                    lemon, red wine vinegar, ½ a                                                                                                                                                                bunch of                                                                                                                                                                tarragon                                                                                                                                                                , (10g), 1                                                                                                                                                                                                                    really ripe avocado, 1                                                                                                                                                                large                                                                                                                                                                free-range egg, extra virgin olive oil",
