Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Smoky tender aubergine | Jamie Oliver recipes,"Crispy chickpeas, radishes & lemon","https://img.jamieoliver.com/jamieoliver/recipe-database/152011884.jpg?tr=w-800,h-1066","['Serves', '2']",In22 minutes,"“Vibing off flavours from the Levantine coast, I’m using chickpeas in two different ways to max out on both flavour and texture. Peeled blackened aubergine adds a smoky depth that’s hard to beat. ”",446,31.4g,5.3g,8.1g,0.5g,15.3g,26.3g,5.6g,"2                                                                                                                                                                                                                    aubergines, 50                                                                                                                                                                g                                                                                                                                                                sesame seeds, ½ x 700                                                                                                                                                                g jar or 1 x 400g tin of                                                                                                                                                                chickpeas, 2                                                                                                                                                                                                                    lemons, 200                                                                                                                                                                g                                                                                                                                                                radishes                                                                                                                                                                , ideally with leaves",
Sticky aubergine and peanut salad | Jamie Oliver Cookbook Club recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/151854736.jpg?tr=w-800,h-1066","['Serves', '2']",MINUTES COOK),"“This is one of my all-time favourite ways to cook aubergine. The trick is to grill the aubergine without any oil for a really intense, smoky, charred flavour. Coated in a sweet, sticky maple-sriracha glaze, it’s lip-smackingly good. With a zesty peanut butter dressing, fresh herbs, crunchy peanuts, spring onions and chilli, this has so much going on! Serve with brown or white rice for a satisfying main course. ”",,,,,,,,,"2                                                                                                                                                                                                                    aubergines, 2                                                                                                                                                                tbsp                                                                                                                                                                soy sauce or tamari, 2                                                                                                                                                                tbsp                                                                                                                                                                maple syrup, 1                                                                                                                                                                tbsp                                                                                                                                                                sriracha, 2                                                                                                                                                                tbsp                                                                                                                                                                sesame oil, Sweet and spicy peanut sauce, 2                                                                                                                                                                tbsp                                                                                                                                                                peanut butter                                                                                                                                                                , either smooth or crunchy, 1                                                                                                                                                                tbsp                                                                                                                                                                sriracha, 1–2                                                                                                                                                                                                                    limes                                                                                                                                                                , zest and juice of, 1                                                                                                                                                                tbsp                                                                                                                                                                maple syrup, To serve, 50                                                                                                                                                                g                                                                                                                                                                peanuts                                                                                                                                                                , roughly chopped, 4                                                                                                                                                                tbsp                                                                                                                                                                chopped fresh coriander, 4                                                                                                                                                                tbsp                                                                                                                                                                chopped fresh mint, 3                                                                                                                                                                                                                    spring onions                                                                                                                                                                , thinly sliced, 1                                                                                                                                                                                                                    red chilli                                                                                                                                                                , thinly sliced","Preheat the grill as high as it will go. Slice the aubergines in half lengthways and use a knife to cross hatch the flesh. Grill in a roasting tin for 10 minutes or until charred. Once the aubergine is grilled, remove from the oven and turn the oven to 220˚C/200˚C fan/gas 7., Meanwhile, whisk together the soy, maple syrup, siracha and sesame oil. Place the charred aubergine on a baking sheet lined with baking parchment and drizzle with the marinade. Cover with foil and roast for 20 minutes. Remove the foil cover and spoon any glaze in the tray over the aubergine, then roast for a further 8–10 minutes, uncovered, until very soft and sticky., Whisk the ingredients for the sweet and spicy peanut sauce with enough water to make it drizzleable consistency., Once the aubergines are cooked, place on a large platter and drizzle with the sauce. Scatter over the peanuts, coriander, mint, spring onions and red chilli."
Aubergine flatbreads | Jamie Oliver recipes,"Hot marinated olives, tangy feta & dried oregano","https://img.jamieoliver.com/jamieoliver/recipe-database/150909359.jpg?tr=w-800,h-1066","['Serves', '2']",In25 minutes,"“Inspired by the flatbread work I’ve seen in Greek and Turkish street food, this makes a delicious lunch. It’s a super-quick dough, plus blackening aubergines gives them the most extraordinary flavour. ”",552,21.1g,5.9g,5.7g,1.8g,14.8g,81.2g,3.1g,"1                                                                                                                                                                large                                                                                                                                                                aubergine (400g), 200                                                                                                                                                                g                                                                                                                                                                self-raising flour                                                                                                                                                                , plus extra for dusting, 10                                                                                                                                                                                                                    mixed marinated olives, 2                                                                                                                                                                sprigs                                                                                                                                                                or 1 heaped teaspoon dried flowering oregano, 50                                                                                                                                                                g                                                                                                                                                                feta cheese",
Aubergine parmigiana | Jamie Oliver recipes,"Cheddar, oregano & crispy lettuce","https://img.jamieoliver.com/jamieoliver/recipe-database/142609577.jpg?tr=w-800,h-1066","['Serves', '4']",,,,,,,,,,,"2                                                                                                                                                                                                                    aubergines, olive oil, 2                                                                                                                                                                teaspoons                                                                                                                                                                dried orgeano, 2                                                                                                                                                                                                                    small red onions, 500                                                                                                                                                                g                                                                                                                                                                tomato passata, 200                                                                                                                                                                g                                                                                                                                                                mature Cheddar cheese                                                                                                                                                                , grated, ½                                                                                                                                                                a                                                                                                                                                                round lettuce","Trim and slice the aubergines lengthways into 1cm-thick pieces and place in a large mixing bowl. Drizzle with olive oil, season with salt, pepper and 1 teaspoon of dried oregano and toss together to coat the slices evenly., Heat a deep 24cm ovenproof frying pan and fry the aubergine for approximately 3 minutes on each side, or until they develop a bit of colour. Set the aubergine aside, and don’t wash the mixing bowl as you will use this later., Very finely slice the onions and fry in a little oil for 3 to 5 minutes, or until they colour. Remove from the pan., Using the same ovenproof pan, spread one third of the aubergine on the base (be careful – it will be hot), followed by one third of the onions, then spoon over one third of the passata. Season with salt, pepper, the remaining dried oregano and scatter over a handful of grated Cheddar, then repeat with two more layers, finishing the final layer with extra cheese., Cook in the oven at 180°C/350°F/gas 4 for 25 to 30 minutes, or until golden., Break the lettuce leaves into the reserved mixing bowl (it should still have a coating of olive oil and seasoning from the aubergines). Toss to lightly season the leaves and serve with the parmigiana."
Aubergine & courgette lasagne | Jamie Oliver Cookbook Club recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/140239904.jpg?tr=w-800,h-1066","['Serves', '6']",,"“My mother used to make the most delicious lasagne – I used to get so excited when I knew it was coming. She was brilliant at making the béchamel sauce – it was always perfectly creamy but never thick and floury. The trick to this was to cook it very slowly and use equal quantities of flour and butter. This is a vegetable lasagne, but it has as much flavour as the traditional meaty offering because you roast the aubergines first. Try to use egg-based lasagne sheets as they tend to have more flavour and are not as brittle when you cook them (or, better still, make your own sheets of pasta). ”",,,,,,,,,"4                                                                                                                                                                tablespoons                                                                                                                                                                extra-virgin olive oil, 2                                                                                                                                                                                                                    red onions                                                                                                                                                                , finely sliced, 500                                                                                                                                                                g                                                                                                                                                                courgettes                                                                                                                                                                , (1lb 2oz) (zucchini), cut into 1cm (½in) rounds, 1                                                                                                                                                                clove of                                                                                                                                                                garlic                                                                                                                                                                , finely sliced, 500                                                                                                                                                                g                                                                                                                                                                tomato passata                                                                                                                                                                , (1lb 2oz), 8                                                                                                                                                                                                                    basil leaves                                                                                                                                                                , roughly torn, 3                                                                                                                                                                                                                    aubergines                                                                                                                                                                , (eggplants), sliced into 2cm (¾in) rounds, 300                                                                                                                                                                g                                                                                                                                                                egg-based dried lasagne                                                                                                                                                                , (10½oz), sea salt and freshly ground black pepper, For the béchamel, 75                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , (2½oz), 75                                                                                                                                                                g                                                                                                                                                                plain flour                                                                                                                                                                , (2½oz), 500                                                                                                                                                                ml                                                                                                                                                                whole milk                                                                                                                                                                , (17fl oz), warmed to just below boiling point, 150                                                                                                                                                                g                                                                                                                                                                Parmesan                                                                                                                                                                , (5½oz) grated, plus extra for sprinkling","Preheat the oven to 200°C/180°C fan/400°F/Gas 6. Heat 1 tablespoon of the olive oil in a non-stick frying pan over a medium heat. Once hot, add the onions, courgettes and a good seasoning of salt. Cook for 20 minutes, until the onion and courgettes are soft., Heat another tablespoon of the olive oil in a separate saucepan, then add the garlic. Fry the garlic for 30 seconds, then add the passata and cook the mixture gently for 20 minutes, until reduced by half. Season with salt and pepper, then stir through the basil., Brush both sides of the aubergine slices with olive oil and season them with salt. Place the aubergines in an even layer on a baking sheet lined with baking paper. Bake them for 15 minutes, then turn them over and bake them for a further 15 minutes. Remove the slices from the oven and, when they are cool enough to handle, cut them into halfmoons. Set them aside and leave the oven on., To make the béchamel, melt the butter in a medium saucepan over a low heat. When the butter has melted, add the flour and cook it out for a couple of minutes, stirring to combine. Next, add the hot milk and stir continuously to avoid any lumps forming. Cook the sauce gently for 20 minutes, stirring all the while, until smooth and thickened, then mix in the Parmesan and check the seasoning. Leave to one side., Mix the aubergines, courgettes, onions and tomato sauce together in a large bowl and check that everything is seasoned well., Use the remaining olive oil to oil a baking dish, then place a layer of lasagne sheets in the base of the dish. Add one-third of the vegetable mixture in an even layer, then top this with one-quarter of the béchamel sauce. Repeat this twice more, then finish with a layer of lasagne sheets and a final layer of béchamel sauce. Sprinkle the top with some more Parmesan, then bake the lasagne for 35 minutes, until the pasta is cooked and the top is golden. Serve with a little extra grated Parmesan on top, if you like."
Aubergine parmigiana burger | Jamie Oliver recipes,"Parmesan, sun-dried tomatoes, basil & buffalo mozzarella cheese","https://img.jamieoliver.com/jamieoliver/recipe-database/138602408.jpg?tr=w-800,h-1066","['Serves', '2']",In15 minutes,"“Have a go at my tasty twist on the classic Italian dish. Coming together in only one pan, it’s delicious, quick to make and won’t leave you with loads of washing up. 
 ”",604,30.1g,14.6g,7.7g,2.5g,22.6g,53.1g,10.6g,"1                                                                                                                                                                                                                    large aubergine (400g), 1                                                                                                                                                                                                                    large egg, 30                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, 1 x 125                                                                                                                                                                g                                                                                                                                                                ball of buffalo mozzarella cheese, 2                                                                                                                                                                                                                    large jarred sun-dried tomatoes, 2                                                                                                                                                                sprigs of                                                                                                                                                                basil, olive oil, 2                                                                                                                                                                                                                    burger buns",
Smoky mussel laksa | Jamie Oliver recipes,"Blackened aubergine, juicy noodles, coconut, coriander & lime","https://img.jamieoliver.com/jamieoliver/recipe-database/136440331.jpg?tr=w-800,h-1066","['Serves', '2']",In16 minutes,,486,15.9g,11g,12.8g,1.4g,21.1g,64.3g,8.7g,"2                                                                                                                                                                x 50g                                                                                                                                                                nests of folded rice noodles, 600g                                                                                                                                                                                                                    mussels, scrubbed, debearded, from sustainable sources, 1                                                                                                                                                                                                                    large aubergine (400g), 1                                                                                                                                                                bunch of                                                                                                                                                                spring onions, ½                                                                                                                                                                a bunch of                                                                                                                                                                coriander (15g), 2                                                                                                                                                                                                                    limes, 2                                                                                                                                                                tablespoons                                                                                                                                                                laksa paste, 1                                                                                                                                                                x 400ml                                                                                                                                                                tin of light coconut milk",
5-a-day spiced veg stew | Jamie Oliver recipes,"Fragrant coconut broth, coriander & lime","https://img.jamieoliver.com/jamieoliver/recipe-database/134622143.jpg?tr=w-800,h-1066","['Serves', '2']",In53 minutes,,414,11.2g,6g,39g,1.8g,11.8g,69.4g,15.8g,"1                                                                                                                                                                                                                    sweet potato                                                                                                                                                                , (300g), 1                                                                                                                                                                                                                    aubergine                                                                                                                                                                , (250g), 2                                                                                                                                                                                                                    mixed-colour peppers, 2                                                                                                                                                                                                                    onions, olive oil, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (15g), 30                                                                                                                                                                g                                                                                                                                                                sun-dried tomatoes, 2                                                                                                                                                                tablespoons                                                                                                                                                                Thai curry paste                                                                                                                                                                , (choose your favourite), ½ x 400                                                                                                                                                                g tin of                                                                                                                                                                light coconut milk, 160                                                                                                                                                                g                                                                                                                                                                mangetout, 2                                                                                                                                                                teaspoons                                                                                                                                                                soy or fish sauce, 1                                                                                                                                                                                                                    lime, 2                                                                                                                                                                                                                    flatbreads                                                                                                                                                                , optional","Scrub 1 sweet potato (300g) and slice into rounds, about ½cm thick. Trim 1 aubergine (250g) and 2 mixed-colour peppers, then chop into 3cm chunks., Char the vegetables in a large dry casserole pan over a high heat for 5 minutes – work in batches, removing to a plate as you go., Peel and finely slice 2 onions, then place in the large casserole pan on a medium heat with a splash of olive oil and cook for 10 minutes, stirring regularly., Finely chop the stalks from ½ a bunch of fresh coriander (15g), reserving the leaves for later, along with 30g of sun-dried tomatoes, then add to the pan., Stir in 2 tablespoons of Thai curry paste (choose your favourite) and cook for a further 3 minutes, then pour in ½ x 400g tin of light coconut milk and 400ml of boiling kettle water, and mix well., Add the charred veg back into the pan, pop the lid on, reduce the heat to low and cook gently for 10 minutes, throwing the mangetout in for the final 2 minutes., Season with 2 teaspoons of soy or fish sauce, then finely chop and scatter over the coriander leaves., Cut 1 lime into wedges for squeezing over, then serve up, with flatbreads on the side, if you like."
Smoky aubergine daal | Jamie Oliver recipes,"Lentils, black beans, savoury spice & rosemary","https://img.jamieoliver.com/jamieoliver/recipe-database/127020521.jpg?tr=w-800,h-1066","['leftover', 'portions']",20 minutes,,132,2.8g,0.4g,2.8g,0g,9.2g,17.6g,5.8g,"1                                                                                                                                                                                                                    large aubergine                                                                                                                                                                , (400g), 1                                                                                                                                                                                                                    fresh red chilli, 2                                                                                                                                                                                                                    cloves of garlic, 1                                                                                                                                                                                                                    red onion, 2                                                                                                                                                                                                                    black or green cardamom pods, olive oil, 1                                                                                                                                                                teaspoon                                                                                                                                                                cumin seeds, 1                                                                                                                                                                teaspoon                                                                                                                                                                black mustard seeds, 1                                                                                                                                                                small sprig of                                                                                                                                                                rosemary, red wine vinegar, 1 x 400                                                                                                                                                                g                                                                                                                                                                tin of black beans, 200                                                                                                                                                                g                                                                                                                                                                dried Puy lentils, 1                                                                                                                                                                                                                    cinnamon stick","Prick the aubergine, then lightly blacken it directly over a flame on the hob or in a hot griddle pan, turning with tongs. Remove to a board., Halve the chilli lengthways and deseed, peel and finely slice the garlic, then peel and finely chop the onion. Crush the cardamom pods in a pestle and mortar and remove the outer shells, then pound up the seeds., Place a large non-stick ovenproof frying pan on a medium-low heat with 1 tablespoon of olive oil and the cumin, mustard and cardamom seeds. Strip in the rosemary and let it gently sizzle for a few minutes, infusing the oil and allowing the flavours to mingle. Add the chilli, garlic and onion and cook for 5 minutes, or until softened, stirring regularly., Chop the aubergine into 3cm chunks and stir into the pan, then add 1 tablespoon of red wine vinegar. Let it sizzle for a couple of minutes, then pour in the beans, juice and all, the lentils and 600ml of water. Set fire to the cinnamon stick, then sit it in the centre of the pan. Cover the daal and leave to thicken on a medium-low heat for 1 hour, loosening with splashes of water, if needed, and stirring occasionally. Season to perfection, tasting and tweaking."
Whole burnt aubergine | Jamie Oliver recipes,"With charred egg yolk, tahini and chilli sauce","https://img.jamieoliver.com/jamieoliver/recipe-database/126135112.jpg?tr=w-800,h-1066","['a', 'meal']",,"“This is the essence of our food, distilled into a single dish. It is inspired by the first whole burnt aubergine we ever ate, served with a smattering of grated tomato, at a very famous Jerusalem establishment we both love. It has since become a staple at every BBQ, and in our restaurant Honey & Smoke. Burning the aubergine really brings out the best in this slightly bland vegetable. Don’t hold back – by the time you’re done, the skin should be blackened and the flesh so soft it can easily be scooped out with a spoon.  ”",,,,,,,,,"2                                                                                                                                                                                                                    aubergines, 50                                                                                                                                                                g                                                                                                                                                                tahini paste                                                                                                                                                                , (1¾ oz), 50                                                                                                                                                                ml                                                                                                                                                                ice-cold water                                                                                                                                                                , (1¾ fl oz), 2                                                                                                                                                                                                                    egg yolks                                                                                                                                                                , from beautiful eggs, FOR THE LEMON, CHILLI & GARLIC DRESSING, 1                                                                                                                                                                                                                    red chilli                                                                                                                                                                , deseeded and finely chopped (about 10 g / ⅓ oz), 1                                                                                                                                                                                                                    green chilli                                                                                                                                                                , deseeded and finely chopped (about 10 g / ⅓ oz, 3                                                                                                                                                                                                                    large garlic cloves                                                                                                                                                                , peeled and finely chopped (about 20 g / ¾ oz), 1-2                                                                                                                                                                                                                    lemons                                                                                                                                                                , juice of (about 80 ml / 2¾ fl oz), 1                                                                                                                                                                teaspoon                                                                                                                                                                table salt, 1                                                                                                                                                                teaspoon                                                                                                                                                                ground cumin, 1                                                                                                                                                                teaspoon                                                                                                                                                                caster sugar, 2                                                                                                                                                                tablespoons                                                                                                                                                                olive oil, 1                                                                                                                                                                bunch of                                                                                                                                                                parsley                                                                                                                                                                , leaves picked and chopped (about 30 g / 1 oz)","Place the whole aubergines on a very hot grill, or directly on the embers if you prefer. Let them scorch all over, turning occasionally, until the skin is charred and the flesh is so soft that it seems they are going to collapse., While the aubergines are cooking, combine all the dressing ingredients apart from the chopped parsley. Separately mix the tahini paste with the water to form a thick whipped cream consistency., Once the aubergines are fully blackened, remove from the grill onto serving plates and slit open to reveal the flesh., Add the parsley to the dressing and mix well. Use half the dressing to douse the flesh of the slit aubergines, then top with the whipped tahini. Use the back of a spoon to create a little well in the tahini and place a raw egg yolk in the centre of each one. Using tongs, carefully remove a hot charcoal from the fire and lightly char the top of each yolk. Return the coal to the fire and drizzle the remaining dressing over the aubergines before serving."
