Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Super salad platter | Jamie Oliver recipes,"Avo, sweet potatoes, broccoli & beets","https://img.jamieoliver.com/jamieoliver/recipe-database/134567914.jpg?tr=w-800,h-1066","['Serves', '4']",,"“Both quinoa and cashew nuts are high in the mineral copper, which our bodies need for everything from immune and nervous system function to efficiently transporting iron around. ”",527,19.8g,3.6g,21.8g,0.4g,18.5g,74.2g,10g,"1                                                                                                                                                                teaspoon                                                                                                                                                                cumin seeds, 2                                                                                                                                                                small                                                                                                                                                                sweet potatoes                                                                                                                                                                , (200g each), 350                                                                                                                                                                g                                                                                                                                                                broccoli, olive oil, 25                                                                                                                                                                g                                                                                                                                                                cashew nuts, 25                                                                                                                                                                g                                                                                                                                                                mixed pumpkin, sunflower and sesame seeds, 250                                                                                                                                                                g                                                                                                                                                                vac-packed beetroot, 2                                                                                                                                                                tablespoons                                                                                                                                                                balsamic vinegar, extra virgin olive oil, 300                                                                                                                                                                g                                                                                                                                                                quinoa, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (30g), 1                                                                                                                                                                                                                    lemon, 1                                                                                                                                                                                                                    ripe avocado, 6                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt, 1                                                                                                                                                                punnet of                                                                                                                                                                cress","Preheat the oven to 180°C/350°F/gas 4. Crush 1 teaspoon of cumin seeds in a pestle and mortar. Scrub 2 small sweet potatoes and rub with the crushed cumin seeds. Place in a roasting tray and cook in the oven for 30 minutes., Meanwhile, trim the tough end off 1 broccoli stalk, slice it, then chop the rest into large florets. Toss the broccoli into the sweet potato tray with 1 tablespoon of olive oil. Roast for another 30 minutes, or until the sweet potatoes are cooked through., Toast 25g of cashew nuts and 25g of mixed pumpkin, sunflower and sesame seeds in a dry frying pan on a medium heat until smelling fantastic, then crush in the pestle and mortar., Bash and mush up 250g of vac-packed beetroot in their pack as much as you can, then snip the corner off and decant into a bowl with 2 tablespoons of balsamic vinegar and 1 tablespoon of extra virgin olive oil. Mix together, mashing with a fork, if needed., Cook 300g of quinoa according to the packet instructions, and drain well. Pick and finely chop the leaves from 1 bunch of mint (reserving the pretty ones for garnish) and stir through the quinoa with the finely grated zest and the juice from 1 lemon, then season to perfection., Scatter the quinoa across a large platter. Once cool enough to handle, tear over chunks of roasted sweet potato and dot over the roasted broccoli. Halve 1 ripe avocado and use a teaspoon to add curls of flesh to the platter. Dollop over 6 tablespoons of natural yoghurt, spoon bombs of dressed beets on top, scatter over the toasted nuts and seeds and the reserved mint leaves, snip over 1 punnet of cress and serve."
Chicken goujons | Jamie Oliver recipes,"Pitta, little gem, tomatoes & avo sauce","https://img.jamieoliver.com/jamieoliver/recipe-database/134584616.jpg?tr=w-800,h-1066","['Serves', '4']",In23 minutes,"“When ingredients work together to maximize their nutritional impact, we like that! Here, the fat in the avocado and oil helps us to absorb fat-soluble vitamin K from the lettuce. ”",520,15.5g,5.2g,8.1g,1.5g,47.2g,48.3g,7.2g,"6                                                                                                                                                                                                                    wholemeal pittas, 4 x 120                                                                                                                                                                g                                                                                                                                                                free-range skinless chicken breasts, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh basil                                                                                                                                                                , (30g), 1                                                                                                                                                                large                                                                                                                                                                free-range egg, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 20                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, 1                                                                                                                                                                                                                    lemon, 4                                                                                                                                                                heaped tablespoons                                                                                                                                                                Greek yoghurt, 1                                                                                                                                                                                                                    ripe avocado, chipotle Tabasco sauce, extra virgin olive oil, 2                                                                                                                                                                                                                    little gem lettuces, 320                                                                                                                                                                g                                                                                                                                                                ripe cherry tomatoes","Preheat the oven to 200°C/400°F/gas 6., Tear 2 pitta breads into a blender and blitz into fine crumbs, then pour into a shallow tray., Slice 4 x 120g chicken breasts lengthways into 1cm strips and place in a large bowl., Add ½ a bunch of fresh basil (15g) to the blender with 1 large egg. Peel and add 2 cloves of garlic. Finely grate in 20g of Parmesan and the zest from 1 lemon, and squeeze in all the lemon juice. Add a pinch of sea salt and a good pinch of black pepper and blitz until smooth., Pour over the chicken and toss together well, massaging that flavour into the meat., Working in batches, gently turn the chicken strips in the tray of crumbs until nicely coated. Place on a large baking tray, then bake for 15 to 18 minutes, or until golden and cooked through, turning halfway., Meanwhile, quickly rinse the blender, then put in most of the remaining ½ a bunch of fresh basil (15g) and 4 heaped tablespoons of Greek yoghurt. Peel, destone and add 1 ripe avocado, then blitz until smooth., Taste and season to perfection, then divide between your plates and add a few drips of chipotle Tabasco and extra virgin olive oil to each portion., Lightly toast the remaining 4 pittas, pick apart the leaves from 2 little gem lettuces, and halve 320g of cherry tomatoes., Divide it all between your plates with the goujons, pick over the remaining basil leaves, mix it up and tuck in."
Chocolate & avocado mousse | Jamie Oliver,With a homemade Easter egg shell,"https://img.jamieoliver.com/jamieoliver/recipe-database/119686128.jpg?tr=w-800,h-1066","['Serves', '4']",setting time,"“This is the most deliciously indulgent chocolate mousse, made using the humble avocado. Plus, I’m sharing my genius avocado shell hack, so you can make your very own homemade Easter egg halves filled with fresh fruits and luxurious sweet cherries. If you’re looking to go all-out this Easter, this incredible dessert is all you need.  ”",337,24.9g,15.3g,20.7g,0.2g,4.4g,22.6g,5.5g,"300                                                                                                                                                                g                                                                                                                                                                quality dark chocolate                                                                                                                                                                , (70%), 2                                                                                                                                                                large                                                                                                                                                                ripe avocados, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                cocoa powder, 2                                                                                                                                                                teaspoons                                                                                                                                                                 vanilla bean paste, 3                                                                                                                                                                tablespoons                                                                                                                                                                maple syrup, 1 x 160                                                                                                                                                                g tin of                                                                                                                                                                coconut cream, fresh fruit                                                                                                                                                                                                                    such as oranges, strawberries, blueberries, raspberries                                                                                                                                                                , to serve, amarena cherries in syrup                                                                                                                                                                , to serve, optional, white chocolate                                                                                                                                                                , to serve, optional","Snap 80g of dark chocolate into a heatproof bowl and melt over a pan of gently simmering water until smooth, stirring occasionally (or gently melt in the microwave). Remove the pan from the heat, keeping the bowl over the pan., Meanwhile, halve and destone the avocados and scoop out the flesh into a food processor. (Try to remove as much of the flesh as possible, but a little left in the shell is fine)., You’ll now have four empty avocado skin halves. Using a clean pastry brush, brush the inside of the avocado shells with a layer of melted chocolate until evenly covered. Transfer to a tray and place in the fridge for 10 minutes until set. Repeat this process two more times, until you’ve applied three layers of chocolate. Return the tray to the fridge for half an hour, or until set completely., Meanwhile, place the pan and bowl back on a low-medium heat, snap in the remaining dark chocolate and leave to melt., Once melted, add the chocolate to the food processor with the cocoa powder, vanilla bean paste, maple syrup, coconut cream and a pinch of salt, and pulse for a few seconds to combine. Scrape down the sides with a spatula, then pulse again, until smooth. Scrape into a bowl, cover and leave in the fridge until needed (but no longer than 2 hours)., Once the chocolate shells are set, gently peel the avocado skins away from the shells and discard. Heat a tablespoon in a jug of boiling water for a few seconds., Now it’s time to get a bit creative with your presentation: using the hot spoon, roll up 1 tablespoon of the chocolate mousse for each serving plate (you will end up with about half of the chocolate mixture leftover, please see tip below). Press the chocolate shells onto the mousse, filling each with a little fruit (I used halved strawberries and blueberries, orange segments and a couple of amarena cherries). Drizzle with a little of the cherry liquor, and some melted and grated white chocolate to finish, if you like."
Avocado & bacon eggy crumpets | Jamie Oliver recipes,With a minty jalapeño dressing & topped with a fried egg,"https://img.jamieoliver.com/jamieoliver/recipe-database/118444983.jpg?tr=w-800,h-1066","['Serves', '1']",In20 minutes,"“Now these are crumpets like you've never seen before. We are talking chilli, eggy crumpet goodness, topped with crispy bacon and creamy avocado – plus my Parmesan crown and green chilli sauce trick for some next-level brunching.
 ”",443,29.1g,8.4g,3.6g,1.9g,25.6g,20.8g,1.7g,"1 x 220                                                                                                                                                                g jar of                                                                                                                                                                pickled jalapeños, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (30g), ¼                                                                                                                                                                of a                                                                                                                                                                fresh red chilli                                                                                                                                                                , optional, 2                                                                                                                                                                large                                                                                                                                                                free-range eggs, 1                                                                                                                                                                                                                    crumpet, ¼                                                                                                                                                                of a                                                                                                                                                                 avocado, 50                                                                                                                                                                g                                                                                                                                                                ripe cherry tomatoes, extra virgin olive oil, 2                                                                                                                                                                slices of                                                                                                                                                                higher-welfare smoked streaky bacon, 10                                                                                                                                                                g                                                                                                                                                                Parmesan cheese","Tip the jalapeños and most of their brine into a blender and pick in most of the mint leaves (save the pretty little ones for later). Blitz until smooth, then pour back into the jar., Finely chop the chilli (if using) and place in a shallow bowl. Crack in one of the eggs, add a pinch of black pepper and whisk together with a fork., Soak the crumpet in the chilli and egg mixture for a couple of minutes, pressing it down and turning halfway., Meanwhile, make a quick salsa: Halve, destone, peel and roughly chop the avocado and quarter the tomatoes. Place everything in a small bowl, drizzle with 1 teaspoon of extra virgin olive oil and season to perfection. Add the reserved mint leaves and gently mix., Place the bacon in a dry non-stick frying pan on a medium-high heat and leave to crisp up a little, turning every so often., Push the bacon to one side and finely grate the Parmesan cheese into the pan in a pile slightly larger than the diameter of your crumpet. Press the soaked crumpet topside down onto the cheese and pour over any remaining egg mixture, then cook for 2 minutes, until the Parmesan is golden and crispy., Carefully loosen the edges of the Parmesan with a spatula, then lift up the crumpet, pulling the Parmesan with it. Hold for a few seconds so it sets, then turn it back over into the pan, leaving you with a crispy crown on the top., Crack in the remaining egg alongside and cook to your liking., Transfer the crowned crumpet to a plate, top with the salsa and spoon some of the jalapeño dressing on the side with the crispy bacon. Top with the fried egg and serve."
Halloumi eggy crumpets | Jamie Oliver recipes,"Cherry tomato, lime & avocado salsa & a runny fried egg","https://img.jamieoliver.com/jamieoliver/recipe-database/109927561.jpg?tr=w-800,h-1066","['Serves', '1']",In10 minutes,,450,21.4g,5.7g,6.9g,1.8g,20.6g,43.7g,3.7g,"2                                                                                                                                                                large                                                                                                                                                                free-range eggs, 2                                                                                                                                                                                                                    crumpets, 80                                                                                                                                                                g                                                                                                                                                                ripe mixed-colour cherry tomatoes, 1                                                                                                                                                                teaspoon                                                                                                                                                                hot chilli sauce, ½                                                                                                                                                                a                                                                                                                                                                lime, 2                                                                                                                                                                sprigs of                                                                                                                                                                coriander, ¼                                                                                                                                                                of a                                                                                                                                                                small ripe avocado, olive oil, 8                                                                                                                                                                g                                                                                                                                                                halloumi cheese",
Crispy salmon tacos | Jamie Oliver recipes,"Cajun spice, mango, sweet cherry tomatoes & lime","https://img.jamieoliver.com/jamieoliver/recipe-database/109469649.jpg?tr=w-800,h-1066","['Serves', '2']",In20 minutes,"“Quick, healthy and colourful – this super-speedy dish is sunshine on a plate. The fresh rainbow salsa paired with crispy salmon skin is a total joy. With juicy tomatoes, soft mango, creamy avocado, and zingy lime – you can’t go wrong.  ”",584,24.6g,5.8g,17g,1.8g,35g,59.5g,4.1g,"160                                                                                                                                                                g                                                                                                                                                                ripe mixed-colour cherry tomatoes, 1                                                                                                                                                                small                                                                                                                                                                ripe mango, ½                                                                                                                                                                a small                                                                                                                                                                ripe avocado, 2                                                                                                                                                                                                                    spring onions, 2 x 130                                                                                                                                                                g                                                                                                                                                                salmon fillets                                                                                                                                                                , skin on, scaled, pin-boned, from sustainable sources, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                Cajun seasoning, 4                                                                                                                                                                small                                                                                                                                                                tortillas, 2                                                                                                                                                                                                                    limes","Quarter the cherry tomatoes. Destone, peel and roughly chop the mango. Scoop out the avocado and finely slice. Trim and finely slice the spring onions., Carefully cut the skin off the salmon and place it in a non-stick frying pan on a medium-high heat to crisp up on both sides., Pat the Cajun seasoning all over the salmon fillets, then fry for 5 minutes, turning to get them golden on each of their sides. Once the skin is crispy, move it to sit on top of the salmon., Meanwhile, use tongs to toast the tortillas directly over the flame of your gas hob for 15 seconds, or use a hot pan., Sprinkle the mango, avocado and spring onions over the tortillas, then flake over the salmon and crack over the skin., Toss the tomatoes and the juice of 1 lime in the residual heat of the pan for 30 seconds, then spoon over the tortillas. Serve with lime wedges, for squeezing over."
Avocado pastry quiche | Jamie Oliver recipes,"Sweet pea, Cheddar & basil filling, mixed garden leaves","https://img.jamieoliver.com/jamieoliver/recipe-database/114372927.jpg?tr=w-800,h-1066","['Serves', '6']",In1 hour,"“Add a bit of sunshine to your lunch with this beautifully vibrant quiche. I have to say, using avocado in the pastry was a bit of a revelation for me – you’re gonna love it. ”",764,52.6g,11.3g,2.4g,1.1g,21g,55.9g,4.9g,"2                                                                                                                                                                                                                    ripe avocados, extra virgin olive oil, 400g self-raising flour                                                                                                                                                                , plus extra for dusting, 6                                                                                                                                                                large                                                                                                                                                                eggs, 300                                                                                                                                                                g                                                                                                                                                                frozen peas, 90                                                                                                                                                                g                                                                                                                                                                Cheddar cheese, ½                                                                                                                                                                a bunch of                                                                                                                                                                basil                                                                                                                                                                , (15g), olive oil, 100                                                                                                                                                                g bag of                                                                                                                                                                mixed salad, 1                                                                                                                                                                                                                    lemon",
Avocado hollandaise | Jamie Oliver recipes,"Steamed flaky white fish, asparagus & lemon","https://img.jamieoliver.com/jamieoliver/recipe-database/119000538.jpg?tr=w-800,h-1066","['Serves', '2']",In15 minutes,"“This is hollandaise like you’ve never seen before. Follow this method for a really easy, no whisk, no splitting, silky, elegant sauce. Really fresh, really vivacious and really green! ”",304,15.5g,3.4g,4.1g,0.8g,35.8g,5.3g,1.9g,"1                                                                                                                                                                bunch of                                                                                                                                                                thick asparagus                                                                                                                                                                , (350g), 2 x 150                                                                                                                                                                g                                                                                                                                                                chunky fillets of white fish                                                                                                                                                                , skin off, pin-boned, from sustainable sources, 2                                                                                                                                                                                                                    spring onions, 1                                                                                                                                                                                                                    lemon, red wine vinegar, ½ a                                                                                                                                                                bunch of                                                                                                                                                                tarragon                                                                                                                                                                , (10g), 1                                                                                                                                                                                                                    really ripe avocado, 1                                                                                                                                                                large                                                                                                                                                                free-range egg, extra virgin olive oil",
Fluffy flourless pancakes | Recipes | Jamie Oliver,with oats & cottage cheese,"https://img.jamieoliver.com/jamieoliver/recipe-database/105840147.jpg?tr=w-800,h-1066","['Serves', '2']",In10 minutes,"“These simple breakfast pancakes can be made without flour – throw the ingredients in a blender, whiz it up and fry in a pan for breakfast in no time. Easy!
 ”",345,15.3g,4.2g,1.7g,1.4g,17.4g,37.7g,3.9g,"100                                                                                                                                                                g                                                                                                                                                                porridge oats, 100                                                                                                                                                                g                                                                                                                                                                cottage cheese, 2                                                                                                                                                                                                                    large free-range eggs, 1                                                                                                                                                                teaspoon                                                                                                                                                                baking powder, olive oil or unsalted butter                                                                                                                                                                , for frying, 1                                                                                                                                                                                                                    avocado                                                                                                                                                                , optional, 2                                                                                                                                                                                                                    large free-range eggs                                                                                                                                                                , optional, chilli sauce                                                                                                                                                                 , optional","Put the oats, cottage cheese, 2 eggs and the baking powder in a blender and blitz until smooth with a tiny pinch of sea salt, adding a splash of water to loosen if it’s too thick., Heat a large non-stick frying pan over a medium-high heat with a small splash of oil or a small knob of butter., Add the batter to the pan, a large spoonful at a time (you may need to do this in batches), and fry for 2 minutes, or until golden, flipping halfway., Serve topped with sliced avocado, a fried egg and chilli sauce, if you like, or a combination of your favourite toppings."
Roasted black bean burgers | Jamie Oliver burger recipes,"Zingy salsa, yoghurt, sliced mango & avocado","https://img.jamieoliver.com/jamieoliver/recipe-database/92507794.jpg?tr=w-800,h-1066","['Serves', '4']",In40 minutes,"“Wedged into a bun with zingy tomato salsa, juicy mango, avocado and extra Tabasco, these black bean burgers are really something rather special. Big flavour, and super-satisfying to tuck into. ”",499,18.7g,5.3g,14.1g,1.6g,19g,64g,12.5g,"1½                                                                                                                                                                                                                    red onions, 200                                                                                                                                                                g                                                                                                                                                                mixed mushrooms, 100                                                                                                                                                                g                                                                                                                                                                rye bread, ground coriander, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                black beans, olive oil, 40                                                                                                                                                                g                                                                                                                                                                mature Cheddar cheese, 4                                                                                                                                                                                                                    soft rolls, 100                                                                                                                                                                g                                                                                                                                                                ripe cherry tomatoes, 1                                                                                                                                                                                                                    lime, chipotle Tabasco sauce, 1                                                                                                                                                                                                                    ripe mango, 1                                                                                                                                                                                                                    ripe avocado, 4                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt, 4                                                                                                                                                                sprigs of                                                                                                                                                                fresh coriander","Preheat the oven to 200ºC/400ºF/gas 6., Peel 1 onion, place in a food processor with the mushrooms, rye bread and 1 teaspoon of ground coriander, and whiz until fine., Drain and pulse in the black beans, season lightly with sea salt and black pepper, then divide into 4 and shape into patties, roughly 2.5cm thick., Rub all over with oil and dust with ground coriander, then place on an oiled baking tray and roast for 25 minutes, or until dark and crispy, topping with the Cheddar and warming the rolls for the last few minutes., Meanwhile, peel and very finely chop the remaining onion with the tomatoes and place in a bowl. Squeeze over the lime juice, add a few shakes of Tabasco and season to taste. Destone, peel and finely slice the mango and avocado., Halve the warm rolls and divide the yoghurt between the bases, followed by half the salsa, the mango, avocado and coriander leaves. Top with the burgers, remaining salsa and extra Tabasco, pop the lids on and press down lightly. Always nice with oven-roasted, skin-on chips."
