Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Billy's Bolognese | Jamie Oliver recipes,topped with grated cheese,"https://img.jamieoliver.com/jamieoliver/recipe-database/143846725.jpg?tr=w-800,h-1066","['6', 'adults']",30 minutes,,497,11.4g,3.6g,14.6g,0.8g,32.3g,70.6g,5.3g,"2                                                                                                                                                                                                                    onions, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                                                                    large carrot, 1                                                                                                                                                                stick of                                                                                                                                                                celery, 1                                                                                                                                                                                                                    courgette, olive oil, 500                                                                                                                                                                g                                                                                                                                                                lean beef mince, 2                                                                                                                                                                x 400g tins of                                                                                                                                                                plum tomatoes, 450                                                                                                                                                                g                                                                                                                                                                dried spaghetti, Cheddar or Parmesan                                                                                                                                                                , to serve","Place a large casserole pan on a medium-low heat., Peel the onions and garlic, trim the carrot, celery and courgette. Finely chop or coarsely grate all the veg, then stir it into the pan with 1 tablespoon of olive oil., Cook for 10 to 15 minutes, or until the vegetables are soft and sweet, stirring occasionally., Add the mince, breaking it up with a wooden spoon, then turn the heat up a little and cook for 5 minutes, stirring regularly until the meat is browned and the veg is nicely golden., Scrunch in the tomatoes through clean hands, then half-fill each tin with water, swirl it around to pick up all the last bits of tomato and pour into the pan., Mash everything up with your spoon, add a  pinch of black pepper, reduce the heat to low and leave to cook for 2 to 3 hours, or until thickened and reduced., About 15 minutes before you’re ready to serve, cook the spaghetti in a large pan of boiling salted water according to the packet instructions, then drain. Use tongs to divide between bowls, then spoon over the Bolognese and serve with a good grating of cheese."
Beef short ribs | Jamie Oliver recipes,"Fragrant veg, walnuts, smooth ale, jacket potatoes & horseradish","https://img.jamieoliver.com/jamieoliver/recipe-database/139729014.jpg?tr=w-800,h-1066","['Serves', '6']",4 hours),,726,32.2g,12.2g,28.6g,0.9g,32.2g,76.4g,7.6g,"6                                                                                                                                                                                                                    beef short ribs, bone in (approx 1.6kg), 2                                                                                                                                                                heads of                                                                                                                                                                celery, 6                                                                                                                                                                                                                    carrots (600g total), 50                                                                                                                                                                g                                                                                                                                                                shelled unsalted walnut halves, ½ x 345                                                                                                                                                                g                                                                                                                                                                jar of onion marmalade, 500                                                                                                                                                                ml                                                                                                                                                                smooth ale, 6                                                                                                                                                                                                                    baking potatoes (1.5kg total), creamed horseradish                                                                                                                                                                , to serve",
Somali Beef Stew | Jamie Oliver recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/137896834.jpg?tr=w-800,h-1066","['to', '8']",,"“This stew is a wonderful way to stretch a little meat into a large, satisfying pot of food. The combination of Xawaash Spice Mix and tomato paste is particularly great, a match made in flavor heaven. Serve over plain rice with hot sauce and cilantro for topping, lime wedges for squeezing over, and bananas for eating alongside (this is very typical in Somalia—a bite of stew and rice followed by a bite of banana and so on). You can make the stew up to a week in
advance and refrigerate it in an airtight container (it gets even better the longer it sits) or freeze it in an airtight container for up to 2 months (defrost in the refrigerator for up to a day before serving). Gently rewarm the stew in a heavy pot set over low heat before serving. ”",,,,,,,,,"2                                                                                                                                                                tablespoons                                                                                                                                                                canola oil, 1                                                                                                                                                                                                                    red onion                                                                                                                                                                , thinly sliced, 3                                                                                                                                                                                                                    garlic cloves                                                                                                                                                                , minced, 2                                                                                                                                                                tablespoons                                                                                                                                                                Xawaash Spice Mix                                                                                                                                                                , (page 74 of In Bibi's Kitchen), 2                                                                                                                                                                tablespoons                                                                                                                                                                tomato paste, 2                                                                                                                                                                teaspoons                                                                                                                                                                kosher salt                                                                                                                                                                , plus more as needed, 2                                                                                                                                                                cups                                                                                                                                                                water, 2                                                                                                                                                                pounds                                                                                                                                                                boneless beef chuck or other stew meat                                                                                                                                                                , cut into bite-sized pieces, 2                                                                                                                                                                                                                    baking potatoes                                                                                                                                                                , cut into bite-sized pieces, 2                                                                                                                                                                                                                     large carrots                                                                                                                                                                , cut into thin coins, 1                                                                                                                                                                                                                    red bell pepper                                                                                                                                                                , stemmed, seeded, and cut into thin strips, Cooked rice, hot sauce (such as Somali Cilantro and Green Chile Pepper Sauce, page 80 of In Bibi's Kitchen), cilantro leaves, lime wedges, and fresh bananas",
Loaded beefburger,"Oozy cheese, sweet red peppers, mustard & pickles","https://img.jamieoliver.com/jamieoliver/recipe-database/138452754.jpg?tr=w-800,h-1066","['Serves', '4']",In28 minutes,,717,33.2g,13.5g,9.2g,2.3g,42.3g,61.1g,2.7g,"400                                                                                                                                                                g                                                                                                                                                                beef mince, 1 x 250                                                                                                                                                                g                                                                                                                                                                packet of cooked lentils, 50                                                                                                                                                                g                                                                                                                                                                mixed baby cornichons & pickled onions, 100                                                                                                                                                                g                                                                                                                                                                Cheddar cheese, 1                                                                                                                                                                                                                    large jarred roasted red pepper, olive oil, 2                                                                                                                                                                tablespoons                                                                                                                                                                Dijon mustard, 4                                                                                                                                                                                                                    burger buns",
Harissa meatball wraps | Jamie Oliver recipes,Cabbage & apple slaw,"https://img.jamieoliver.com/jamieoliver/recipe-database/134622444.jpg?tr=w-800,h-1066","['meatball', 'portions']",In30 minutes,"“It's always handy to have a stash of tasty meal elements ready and waiting in the freezer for those extra-busy days. This recipe will give you two leftover meatball portions, but I often make a double batch so that with just a little extra investment upfront I can get a whole meal or two on the table in minutes another day. Winning! ”",434,12.1g,4.3g,12g,1.8g,28.3g,50.3g,9.4g,"500                                                                                                                                                                g                                                                                                                                                                minced beef, 1 x 250                                                                                                                                                                g sachet of                                                                                                                                                                cooked grains or lentils, 1                                                                                                                                                                                                                    lemon, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh flat-leaf parsley                                                                                                                                                                , (30g), 3                                                                                                                                                                teaspoons                                                                                                                                                                harissa, 350                                                                                                                                                                g                                                                                                                                                                red cabbage, 1                                                                                                                                                                small                                                                                                                                                                red onion, 1                                                                                                                                                                                                                    red apple, 4                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt, olive oil, 4                                                                                                                                                                                                                    wholemeal tortilla, pickled chillies                                                                                                                                                                , optional","Place 500g minced beef and 1 x 250g sachet of cooked grains or lentils into a food processor, finely grate in the zest of 1 lemon, and tear in ½ a bunch of fresh flat-leaf parsley (15g)., Add 2 teaspoons of harissa and a good pinch of sea salt and black pepper, then blitz to combine., On a large sheet of greaseproof paper, split the mixture into 24 pieces and, with wet hands, roll into balls., Trim and finely slice 350g of red cabbage and peel and finely slice 1 small red onion, then place in a bowl with the juice of ½ a lemon and a pinch of salt and pepper. Scrunch together well., Slice the apple into matchsticks and pick the leaves from ½ a bunch of fresh flat-leaf parsley (15g), then add to the bowl and toss together., Place 16 meatballs (freeze the rest for another day) into a large non-stick frying pan on a medium heat with 1 tablespoon of olive oil and fry for 7 minutes, or until golden and cooked through, turning occasionally., Meanwhile, ripple 1 teaspoon of harissa through 4 tablespoons of natural yoghurt., Warm 4 tortilla through, then serve alongside the pan of meatballs (4 per per portion), slaw, harissa yoghurt and pickled chillies (if using), then let everyone build and roll up their own."
Homemade salt beef | Jamie Oliver recipes,"with bagels, mustard & pickles","https://img.jamieoliver.com/jamieoliver/recipe-database/134037717.jpg?tr=w-800,h-1066","['with', 'leftovers']",(2-7 days),"“One of my favourite things to eat is salt beef – hot and succulent and full of flavour, it’s a total joy. So I’m sharing my recipe for making your own salt beef when you want to go all out. It’s not the quickest of recipes, but when you’ve cooked my recipe and the beef is hot and juicy and you carve it into a bagel loaded with a quick homemade mustard and pickles, it’s the best thing ever.  ”",367,25.8g,10.8g,3.2g,2.5g,30g,4.2g,1g,"1.6                                                                                                                                                                kg                                                                                                                                                                beef brisket, 2                                                                                                                                                                                                                    onions, 4                                                                                                                                                                                                                    fresh bay leaves, 6                                                                                                                                                                                                                    pink or black peppercorns, your favourite bagels                                                                                                                                                                , to serve (or make your own), BRINE, , 200                                                                                                                                                                g                                                                                                                                                                table salt, 100                                                                                                                                                                g                                                                                                                                                                brown sugar, 30                                                                                                                                                                g                                                                                                                                                                preserving salt                                                                                                                                                                , (optional), 1                                                                                                                                                                                                                    bunch of fresh thyme                                                                                                                                                                , (20g), 1                                                                                                                                                                tablespoon                                                                                                                                                                mustard seeds, 1                                                                                                                                                                tablespoon                                                                                                                                                                red peppercorns, ½                                                                                                                                                                tablespoon                                                                                                                                                                allspice, 2                                                                                                                                                                                                                    cloves, MUSTARD, , 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                English mustard powder, 1                                                                                                                                                                teaspoon                                                                                                                                                                sugar, 1                                                                                                                                                                teaspoon                                                                                                                                                                vinegar, PICKLES, , 6                                                                                                                                                                                                                    large gherkins, 1                                                                                                                                                                bunch of                                                                                                                                                                 fresh dill                                                                                                                                                                , (20g), 2                                                                                                                                                                                                                    mixed-colour chillies","At least 2 days – but ideally up to a week – before you would like to serve the salt beef, make a start on the brine. Place all the brine ingredients in a large pan on a medium heat. Pour in 2 litres of cold water and bring to boil, then reduce to a simmer for 5 minutes until the salt has dissolved. Set aside and allow to cool completely., Meanwhile, remove the sinew and thick layer of fat from the meat, leaving a little behind for bonus flavour. Pierce the meat with a small sharp knife or skewer all over on both sides and place in a non-metallic sealable container. Pour the cooled brine over the brisket, then seal and store in the fridge for 5 to 7 days, turning the brisket over each day., When the brining time is up, remove the brisket from the container and soak in cold water for 10 minutes., Rinse the brisket well, then place in a large saucepan and cover with fresh cold water, until the beef is submerged., Peel and quarter the onions, then add to the pan with the bay and peppercorns., Bring to the boil, then reduce to a low heat and simmer for 2½ hours to 3 hours, or until the brisket is tender., Meanwhile, mix all the mustard ingredients together in a small bowl and season with a good pinch of sea salt and black pepper. Loosen with a drop more vinegar, if it looks a little thick., Slice up the gherkins and place them in a small bowl. Dress them with a couple of tablespoons of their pickling liquor and pick over the dill fronds.  Finely slice the chillies – deseed if you prefer – then add to the bowl and mix together., Carefully remove the brisket to a board and thinly slice off what you need. (You can keep the rest of the meat in the liquor to stop it drying out.), To serve, split your bagels and spread a dollop of mustard on the base. Load up the pickles and pile on slices of the tender salt beef. Top with the bagel lid and tuck in!"
My sumptious beef bourguignon | Jamie Oliver recipes,"Burgundy, bacon, button mushrooms & baby onions","https://img.jamieoliver.com/jamieoliver/recipe-database/128286817.jpg?tr=w-800,h-1066","['Serves', '10']",,,345,13.2g,4.8g,4.2g,0.7g,34.4g,11g,2.8g,"1.5                                                                                                                                                                kg                                                                                                                                                                higher-welfare beef cheeks                                                                                                                                                                , trimmed, 4                                                                                                                                                                                                                    large carrots, 4                                                                                                                                                                sticks of                                                                                                                                                                celery, 4                                                                                                                                                                cloves of                                                                                                                                                                 garlic, 1                                                                                                                                                                                                                    onion, 2                                                                                                                                                                teaspoons                                                                                                                                                                Dijon mustard, 4                                                                                                                                                                                                                    fresh bay leaves, 1                                                                                                                                                                small pinch of                                                                                                                                                                ground cloves, 750                                                                                                                                                                ml                                                                                                                                                                Burgundy or Pinot Noir, 50                                                                                                                                                                g                                                                                                                                                                plain flour, 20                                                                                                                                                                g                                                                                                                                                                unsalted butter, olive oil, 6                                                                                                                                                                rashers of                                                                                                                                                                higher-welfare smoky streaked bacon, 200                                                                                                                                                                g                                                                                                                                                                shallots, 400                                                                                                                                                                g                                                                                                                                                                button mushrooms, ½                                                                                                                                                                a bunch of                                                                                                                                                                flat-leaf parsley                                                                                                                                                                , (15g)",
Roasted rump steak | Jamie Oliver recipes,Fragrant rosemary & butter,"https://img.jamieoliver.com/jamieoliver/recipe-database/127387254.jpg?tr=w-800,h-1066","['with', 'leftovers']",,"“This meal is such a fantastic reimagining of steak and chips. It allows us to truly enjoy and celebrate the rump cut as a bigger joint, and as the oven does the hard work for you, all the last-minute smoke and stress is removed from the process. This piece of steak is slightly bigger than you need, but it cooks well at this size and is worth it for the leftovers. ”",347,25.2g,11.2g,0.5g,0.4g,29.5g,0.7g,0g,"1.5                                                                                                                                                                kg piece of                                                                                                                                                                higher-welfare thick rump steak, 1                                                                                                                                                                bunch of                                                                                                                                                                rosemary                                                                                                                                                                 , (20g), 2                                                                                                                                                                knobs of                                                                                                                                                                unsalted butter, 2                                                                                                                                                                tablespoons                                                                                                                                                                 balsamic vinegar",
Beef Wellington for 2 | Jamie Oliver recipes,"Puff pastry, spinach pancakes & mushroom pâté","https://img.jamieoliver.com/jamieoliver/recipe-database/109469643.jpg?tr=w-800,h-1066","['Serves', '2']",30 minutes,,616,34.1g,19g,7.3g,1.1g,33g,44.1g,5.5g,"1                                                                                                                                                                                                                    red onion, 250                                                                                                                                                                g                                                                                                                                                                mixed mushrooms, 1 x 230                                                                                                                                                                g                                                                                                                                                                higher-welfare fillet steak, olive oil, ½ a                                                                                                                                                                bunch of                                                                                                                                                                thyme                                                                                                                                                                 , (10g), 2                                                                                                                                                                large                                                                                                                                                                free-range eggs, 1                                                                                                                                                                mug of                                                                                                                                                                plain flour                                                                                                                                                                , plus extra for dusting, 100                                                                                                                                                                g                                                                                                                                                                baby spinach, 1 x 320                                                                                                                                                                g sheet of                                                                                                                                                                all-butter puff pastry",
Beef massaman curry recipe | Jamie Oliver curry recipes,Tender beef & coconut,"https://img.jamieoliver.com/jamieoliver/recipe-database/83654014.jpg?tr=w-800,h-1066","['Serves', '6']",45 minutes,"“Inspired by her teenage travels to Thailand, Jodie’s rich, hearty aromatic beef curry is what weekends were made for. The curry paste is a proper arm workout and makes far more than you need, so simply freeze whatever you don’t use for another day. Job done! ”",809,34.3g,15.2g,15.6g,1.7g,32.4g,99.4g,6.6g,"1                                                                                                                                                                handful of                                                                                                                                                                unsalted peanuts                                                                                                                                                                , (30g), 500                                                                                                                                                                g                                                                                                                                                                beef chuck, 1 x 400                                                                                                                                                                ml tin of                                                                                                                                                                reduced-fat coconut milk, 1                                                                                                                                                                                                                    white onion, 1                                                                                                                                                                                                                    white potato                                                                                                                                                                , (250g), 1                                                                                                                                                                                                                     sweet potato                                                                                                                                                                , (250g), 1                                                                                                                                                                tablespoon                                                                                                                                                                fish sauce                                                                                                                                                                , plus extra to serve, 2                                                                                                                                                                teaspoons                                                                                                                                                                palm sugar, 450                                                                                                                                                                g                                                                                                                                                                jasmine rice, vegetable oil, PASTE, 6                                                                                                                                                                                                                    sun-dried chillies, 1                                                                                                                                                                tablespoon                                                                                                                                                                coriander seeds, 5                                                                                                                                                                                                                    cloves, 1                                                                                                                                                                tablespoon                                                                                                                                                                 fennel seeds, 1                                                                                                                                                                tablespoon                                                                                                                                                                white peppercorns, 100                                                                                                                                                                ml                                                                                                                                                                coconut cream, 1                                                                                                                                                                                                                    kaffir lime, 5                                                                                                                                                                cm piece of                                                                                                                                                                galangal, 4                                                                                                                                                                sticks of                                                                                                                                                                 lemongrass, 20                                                                                                                                                                cloves of                                                                                                                                                                garlic, 5                                                                                                                                                                pieces of                                                                                                                                                                coriander root                                                                                                                                                                , or ½ a bunch of fresh coriander stalks (15g), 10                                                                                                                                                                small                                                                                                                                                                shallots, ½                                                                                                                                                                tablespoon                                                                                                                                                                shrimp paste, SALAD, 200                                                                                                                                                                g                                                                                                                                                                Thai string beans                                                                                                                                                                , (yard-long beans), 300                                                                                                                                                                g                                                                                                                                                                bok choi, 2                                                                                                                                                                                                                    carrots, 1                                                                                                                                                                                                                    cucumber, 200                                                                                                                                                                g                                                                                                                                                                beansprouts, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh Thai basil                                                                                                                                                                , (15g), ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (15g), DRESSING, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 2                                                                                                                                                                cm piece of                                                                                                                                                                galangal, 1                                                                                                                                                                                                                    fresh bird's-eye chilli, 2                                                                                                                                                                                                                    limes, 2                                                                                                                                                                tablespoon                                                                                                                                                                fish sauce, 2                                                                                                                                                                tablespoons                                                                                                                                                                rice wine vinegar, 1                                                                                                                                                                teaspoon                                                                                                                                                                palm sugar","To make the paste, toast the chillies in a wok on a medium heat for 3 to 4 minutes. Pound in a pestle and mortar with 2 teaspoons of sea salt until fine., Toast the coriander seeds, cloves, fennel seeds and white peppercorns in the wok for 3 minutes on a low heat. Tip into your pestle and mortar with the chillies, add 1 tablespoon of coconut cream and pound to a paste – put some welly into it!, Peel the lime zest, then finely chop the rind and pound with the chillies., Peel and finely slice the galangal, trim the lemongrass, discarding the tough outer layer, and finely chop. Peel the garlic, wash and chop the coriander roots or stalks, and peel and finely slice the shallots (setting aside a large handful of sliced shallots for later). Char your chopped ingredients in a hot wok over a high heat for 2 to 3 minutes., Add your charred ingredients to the paste mixture and continue to pound until smooth, adding 1-2 tablespoons more of coconut cream if needed. Alternatively, scrape the paste and charred ingredients into a liquidiser with a little extra coconut cream and pulse until smooth., Add the shrimp paste to the wok, fry it off for 1 minute, then bash or whiz with your curry paste until combined. (You now have enough paste for another 5 or 6 curries)., To make the curry, toast the peanuts in a dry wok for 3 to 4 minutes or until golden, then set aside., Roughly chop the meat into 4cm chunks., Put your wok back on a medium heat and add 75ml coconut cream and 2 heaped tablespoons of the curry paste. Give it a good stir and let it bubble away for a couple of minutes., Tip in the beef, peanuts and coconut milk, and bring to the boil., Reduce the heat to low, cover, and leave to tick away for 45 minutes, stirring occasionally., Peel and roughly chop the onion, then peel the potatoes and chop into 3cm chunks. Add to the wok, along with the fish sauce and palm sugar, then give everything a good stir. Cover and continue cooking for 25 minutes, or until the sauce has thickened and the potato is soft, adding a splash of boiling water to loosen, if necessary. Have a taste and season with a little more fish sauce, if needed., For the salad, trim the beans and steam with the bok choi for 3 minutes or until just cooked – you want the beans to be soft enough to bend, but with a little bite. Run under cold water and then cut into three and tie into knots. Shave the carrots into long ribbons with a speed peeler, then score the length of the cucumber with a fork and slice into rounds. Arrange on a platter with the beansprouts and fresh herbs., For the dressing, peel and finely chop the garlic and galangal, deseed and finely chop the chilli. Finely zest 1 lime, then roll and squeeze the juice of both into a small bowl. Add the garlic, galangal, chilli, fish sauce, vinegar and sugar, and whisk to combine. Pour over the salad just before serving., Cook the rice according to the packet instructions., Heat 4 tablespoons of vegetable oil in a pan over medium-high heat and fry the reserved shallots until golden and crispy. Tip onto a plate lined with kitchen paper and leave to drain., Scatter the crispy shallots over the rice and serve with the curry and salad."
