Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Beetroot bucatini | Jamie Oliver Cookbook Club recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/151854686.jpg?tr=w-800,h-1066","['Serves', '4']",MINUTES COOK),"“Be amazed at how the beetroot turns the pasta a majestic ruby red in this creamy, vibrant dish. It’s enough to convince anyone that beetroot is incredible. Add the sauce to anything from salads to pizza to pasta. This is one of my favourite dishes in this book! ”",,,,,,,,,"380                                                                                                                                                                g                                                                                                                                                                bucatini                                                                                                                                                                , spaghetti or linguine, 40                                                                                                                                                                g                                                                                                                                                                feta                                                                                                                                                                , crumbled, to serve, Beetroot sauce, 1                                                                                                                                                                large                                                                                                                                                                beetroot                                                                                                                                                                , including the stems and leaves, 1                                                                                                                                                                tbsp                                                                                                                                                                olive oil, 1                                                                                                                                                                onion                                                                                                                                                                                                                    , chopped, 2                                                                                                                                                                                                                    garlic cloves                                                                                                                                                                , finely chopped or crushed, 1                                                                                                                                                                tbsp                                                                                                                                                                chopped parsley stems, 1                                                                                                                                                                tbsp                                                                                                                                                                chopped fresh basil stems                                                                                                                                                                , plus basil leaves to garnish, 4                                                                                                                                                                tbsp                                                                                                                                                                nutritional yeast, ½                                                                                                                                                                                                                    lemon                                                                                                                                                                , juice of, 1                                                                                                                                                                tsp                                                                                                                                                                salt, ½                                                                                                                                                                tsp                                                                                                                                                                black pepper, 70                                                                                                                                                                ml                                                                                                                                                                oat milk, Crispy garlic breadcrumbs, 1                                                                                                                                                                tbsp                                                                                                                                                                olive oil, 1                                                                                                                                                                                                                    garlic clove                                                                                                                                                                , grated or thinly sliced, 50                                                                                                                                                                g                                                                                                                                                                breadcrumbs                                                                                                                                                                , home-made from a stale loaf, or shop-bought","To make the beetroot sauce: bring a pan of water to the boil, add the whole beetroot and cook for 10–15 minutes or until tender. Drain the beetroot and set aside to cool for a few minutes, then cut into quarters., Meanwhile, in a non-stick frying pan over medium heat, heat the olive oil and cook the onion, garlic, parsley and basil stems for 3–5 minutes until fragrant and soft. Remove from the heat; do not wash the pan., Put the beetroot into a food processor or blender, add the onion mixture, nutritional yeast, lemon juice, salt and pepper. Pulse for 1 minute, then, with the motor running, stream in the milk. Blend on high speed until very smooth. If the sauce is too thick, add a little more milk, 1 tablespoon at a time, to loosen., Bring a large pan of salted water to the boil, add the bucatini and cook for 9 minutes or until al dente. Drain the pasta, reserving 4–5 tablespoons of the pasta cooking water., Meanwhile, prepare the crispy garlic breadcrumbs. In a separate frying pan, heat the oil over medium heat, add the garlic and fry for 1 minute until lightly browned. Add the breadcrumbs and cook, stirring frequently, until the breadcrumbs are lightly charred and fragrant, about 2–3 minutes. Remove from the heat and set aside., In the same frying pan used for the onion and garlic, add the cooked pasta and beetroot sauce and stir well over low–medium heat for 2 minutes. If too thick, stir in some of the reserved pasta water., Serve the pasta in bowls or on plates, garnished with roughly torn basil leaves, crumbled feta cheese and crispy garlic breadcrumbs."
Hasselback al forno | Jamie Oliver recipes,"Root veg galore, wilted spinach, lentils & yoghurt ripple","https://img.jamieoliver.com/jamieoliver/recipe-database/100021005.jpg?tr=w-800,h-1066","['Serves', '4']",50 minutes,,584,22.6g,4g,23.1g,0.8g,16.8g,78g,18g,"1                                                                                                                                                                large                                                                                                                                                                parsnip, ½                                                                                                                                                                                                                     a butternut squash (600g), 1                                                                                                                                                                                                                    onion, 2                                                                                                                                                                                                                    beetroots, 4                                                                                                                                                                                                                    carrots, 4                                                                                                                                                                                                                    potatoes, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh thyme (15g), olive oil, 2                                                                                                                                                                tablespoons                                                                                                                                                                white wine vinegar, 100                                                                                                                                                                ml                                                                                                                                                                Chianti red wine, 2 x 400                                                                                                                                                                g                                                                                                                                                                tins of green lentils, 100                                                                                                                                                                g                                                                                                                                                                baby spinach, 4                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt","Preheat the oven to 200ºC/400ºF/gas 6., Scrub or peel all the veg: quarter the parsnip, squash and onion and halve the beetroot (try to choose medium-sized carrots and potatoes, but use your common sense and slice any larger ones in half )., One at a time, place the veg on a board between the handles of two wooden spoons, so that when you slice down into them the spoons stop the blade from going all the way through. Carefully slice at just under ½cm intervals all the way along, putting the veg into a large roasting tray as you go., Peel the garlic and place in a pestle and mortar, strip in the thyme leaves, then bash to a paste and muddle in 6 tablespoons of oil, the vinegar, and a pinch of sea salt and black pepper. Toss well with the veg, then roast for 1 hour, or until golden and caramelised, turning halfway., Remove all the veg to a board and place the tray over a medium heat on the hob. Pour in the wine and leave to bubble and cook away, scraping up all the sticky caramelised bits from the bottom of the tray., Tip in the lentils (juices and all) and spinach, then stir until the juices have thickened and the leaves have wilted., Season to taste with salt and pepper, ripple through the yoghurt, then present to the table with the board of veg. Delicious served with the rest of the bottle of red wine."
Beetroot curry recipe | Jamie Oliver recipes,With garlic temper,"https://img.jamieoliver.com/jamieoliver/recipe-database/46425325.jpg?tr=w-800,h-1066","['Serves', '4']",In1 hour,"“If you've never tried beets in a curry before, you're in for something special. Beetroot's sweet, earthy flavour is a great match with the spices and it cooks up beautifully, too. Insanely good! ”",569,19.5g,7.3g,23g,0.5g,17.2g,87.3g,9.6g,"14                                                                                                                                                                g                                                                                                                                                                dried curry leaves, 2                                                                                                                                                                teaspoons                                                                                                                                                                black mustard seeds, 1                                                                                                                                                                teaspoon                                                                                                                                                                hot curry powder, 2                                                                                                                                                                tablespoons                                                                                                                                                                desiccated coconut, 6                                                                                                                                                                                                                    spring onions, 3                                                                                                                                                                cloves of                                                                                                                                                                garlic, 5                                                                                                                                                                cm piece of                                                                                                                                                                ginger, vegetable oil, 1                                                                                                                                                                kg                                                                                                                                                                mixed beets                                                                                                                                                                , (about 12 medium-sized), 250                                                                                                                                                                g                                                                                                                                                                ripe cherry tomatoes, 320                                                                                                                                                                g                                                                                                                                                                wild rice, 1 x 400                                                                                                                                                                ml tin of                                                                                                                                                                light coconut milk, 1                                                                                                                                                                                                                    lemon, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (15g), 1                                                                                                                                                                                                                    lime, TEMPER, 3                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1-2                                                                                                                                                                                                                    fresh long red chillies, 5                                                                                                                                                                cm piece of                                                                                                                                                                ginger, 7                                                                                                                                                                g                                                                                                                                                                dried curry leaves","Place a large pan over a medium heat. Add the curry leaves, mustard seeds, curry powder and coconut and toast for 1–2 minute or until fragrant. Tip into a food processor and blitz well., Trim the spring onions and add to the food processor. Peel and chop the garlic and ginger and add to the food processor along with the vegetable oil. Pulse until the mixture forms a paste., Peel the beetroots and chop into 2cm cubes. Place the pan back on the hob over a medium heat, add the paste and cook for a few minutes. Add the chopped beetroot. Reduce the heat to low and cook for 25 minutes or until sticky and gnarly, stirring often., Tip in the cherry tomatoes and cook for 5 minutes, before starting to break them up with the back of a wooden spoon. Meanwhile, cook the rice according to the packet instructions., After 10 minutes, or once the tomatoes have completely cooked down, stir in the coconut milk and a squeeze of lemon juice. Increase the heat and cook for 5 minutes, until the sauce has thickened. Season to taste. If you want the curry a little looser, add a splash of water before serving., For the temper, place a frying pan over a medium heat and add the oil. Add all the temper ingredients and heat for 1–2 minutes, until the spices start to pop and smell aromatic. Turn off the heat and tip into a bowl lined with kitchen paper., Pick the coriander leaves and cut the lime into wedges. Serve the curry with the rice and temper, coriander leaves scattered on top and the lime wedges on the side for squeezing over."
Smoked salmon & beetroot | Jamie Oliver salmon recipe,"Beets, horseradish & cress","https://img.jamieoliver.com/jamieoliver/recipe-database/83911435.jpg?tr=w-800,h-1066","['Serves', '4']",In15 minutes,"“Here’s a simple, elegant starter using just five flavours that pack a truly amazing punch. Think silky smoked salmon, tangy crunchy beets, retro cress and fresh horseradish – for me, the hotter the better. A perfect little plate that can all be prepped ahead. Get in! ”",201,12g,4g,7.4g,1.2g,15.3g,8.6g,2g,"4                                                                                                                                                                cm piece of                                                                                                                                                                fresh horseradish                                                                                                                                                                , or jarred horseradish, 100                                                                                                                                                                ml                                                                                                                                                                half-fat crème fraîche, 300                                                                                                                                                                g                                                                                                                                                                raw beets, 200                                                                                                                                                                g                                                                                                                                                                smoked salmon                                                                                                                                                                , from sustainable sources, 1                                                                                                                                                                punnet of                                                                                                                                                                cress","Peel and finely grate the horseradish. Stir 1 tablespoon into the crème fraîche, add a splash of red wine vinegar, then season to taste with sea salt., Scrub the beets clean, reserving any nice leaves, then finely slice into matchsticks with good knife skills or using the julienne cutter on a mandolin (use the guard!). Dress with 1 tablespoon each of extra virgin olive and red wine vinegar., Divide the smoked salmon between plates, followed by a spoonful of the horseradish sauce, the beets and any reserved leaves, and some cress., Drizzle with a teaspoon of extra virgin olive oil and a pinch of black pepper, then serve with an extra grating of horseradish, if you like."
Amazing dressed beets | Jamie Oliver salad recipes,Fresh tarragon & tangy goat's cheese,"https://img.jamieoliver.com/jamieoliver/recipe-database/89080975.jpg?tr=w-800,h-1066","['Serves', '4']",In27 minutes,"“This is a super-simple salad embracing in-season citrus, earthy beets, creamy goat’s cheese and crunchy walnuts. Bright, colourful, and a real treat for your taste buds. ”",263,18.1g,5.9g,14.9g,0.6g,9.8g,16.1g,3.7g,"600                                                                                                                                                                g                                                                                                                                                                raw mixed-colour baby beets                                                                                                                                                                , ideally with leaves, 4                                                                                                                                                                                                                    clementines, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh tarragon                                                                                                                                                                , (15g), 100                                                                                                                                                                g                                                                                                                                                                crumbly goat’s cheese, 40                                                                                                                                                                g                                                                                                                                                                shelled unsalted walnut halves","Reserving any nice smaller beet leaves, halve any larger beets and cook, covered, in a pan of boiling salted water for 15 to 20 minutes, or until tender., Meanwhile, squeeze the juice of 1 clementine into a large bowl with 1 tablespoon of extra virgin olive oil and a good splash of red wine vinegar., Peel the remaining 3 clementines, slice into fine rounds and arrange on your plates., Drain the beets and briefly refresh in cold water until cool enough to quickly rub off the skins. Halve or slice a few, then toss them all in the dressing., Taste, season to perfection with sea salt and black pepper, then pick in the tarragon and toss with the reserved beet leaves., Divide between your plates, crumble over the goat’s cheese and walnuts, and drizzle lightly with extra virgin olive oil."
Parsnip beetroot gratin | Beetroot recipes | Jamie magazine recipes,"With garlic, rosemary & orange","https://img.jamieoliver.com/jamieoliver/recipe-database/60037507.jpg?tr=w-800,h-1066","['-', '10']",40 minutes,"“A lovely side for a Sunday roast – veggies baked with fresh rosemary and garlic, and livened up with orange zest. ”",351,31.4g,19.8g,9.2g,1.09g,3.6g,14.4g,4.4g,"unsalted butter                                                                                                                                                                , for greasing, 500                                                                                                                                                                g                                                                                                                                                                parsnips, 500                                                                                                                                                                g                                                                                                                                                                beetroots, 300                                                                                                                                                                ml                                                                                                                                                                double cream, 200                                                                                                                                                                ml                                                                                                                                                                crème fraîche, 4                                                                                                                                                                cloves of                                                                                                                                                                garlic, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh rosemary, 2                                                                                                                                                                                                                    oranges","Preheat the oven to 200ºC/400ºF/gas 6 and grease a 1.5 litre baking dish., Scrub the parsnips and beetroots, thinly slice (you can use a mandolin, but remember to use the guard!) and layer up in the baking dish., Put the cream, crème fraîche, whole unpeeled garlic and rosemary sprigs in a saucepan, and bring to a simmer. Take off the heat, finely grate in the orange zest and season with 1½ teaspoons of sea salt and a big pinch of black pepper., Pour the cream over the veg, pressing them to submerge in the liquid and arrange the rosemary sprigs on top. Cover tightly with tin foil and bake for 40 to 45 minutes, or until the veg is almost tender., Remove the foil and bake for a further 20 to 25 minutes, or until set on top and browning at the edges. Cool for 5 minutes before serving."
Vegetable bake recipe | Jamie Oliver traybake recipes,"Dollops of pesto, fresh apple &  lamb's lettuce","https://img.jamieoliver.com/jamieoliver/recipe-database/56393293.jpg?tr=w-800,h-1066","['Serves', '4']",In45 minutes,"“The kids’ favourite dinners are always the traybakes – we cannot get enough of them in our family! Our trick for keeping it fresh is
to combine roasted ingredients with fresh ones and to top them with a good sauce or pesto, giving a mix of temperatures as well 
as textures. We use a spiraliser to create the vegetable tangles 
but a julienne peeler will also do the trick. ”",582,39g,14.1g,20.8g,2.96g,24.6g,35.5g,11.1g,"800                                                                                                                                                                g                                                                                                                                                                mixed root veg                                                                                                                                                                , (potatoes, carrots, parsnips, beetroots), 2                                                                                                                                                                                                                    red peppers, 1                                                                                                                                                                small                                                                                                                                                                broccoli                                                                                                                                                                 , or cauliflower, olive oil, 250                                                                                                                                                                g                                                                                                                                                                halloumi cheese, 1                                                                                                                                                                                                                    courgette                                                                                                                                                                , (or 1 cucumber, 2 carrots or 2 beetroots), 1                                                                                                                                                                large                                                                                                                                                                eating apple, 100                                                                                                                                                                g                                                                                                                                                                lamb's lettuce                                                                                                                                                                , or spinach, 4                                                                                                                                                                tablespoons                                                                                                                                                                quality green pesto","Preheat the oven to 200ºC/400ºF/gas 6., Scrub the root veg and cut into bite-sized pieces along with the peppers, discarding the seeds. Cut the broccoli or cauliflower into florets., Spread the veg out in a large roasting tray, drizzle with 3 tablespoons of oil, season with sea salt and black pepper and toss well to coat. Roast for 20 minutes, or until the vegetables are tender and coloured., Cut the halloumi into 2cm pieces and scatter over the veg. Switch the oven to grill, increase the temperature and grill for 5 to 10 minutes, or until the cheese is soft and golden., Spiralise the courgette (or other chosen vegetables), then core and finely slice the apple. Combine the apple with the roasted veggies, then stir through the courgetti and spinach., Mix the pesto with 2 tablespoons of oil and drizzle over to serve."
Sesame labneh | Beetroot recipes | Jamie magazine recipes,"With pan-roasted beets, pickled shallots & toasted pine nuts","https://img.jamieoliver.com/jamieoliver/recipe-database/54038967.jpg?tr=w-800,h-1066","['Serves', '6']",In3 hours,"“This labneh recipe is a great get-ahead dish, as it can be made at least one day in advance. If you can't be bothered to boil the beetroot, buy it ready-cooked and simply drain, season and serve. ”",327,23.2g,5.1g,19.5g,1.2g,9.6g,20.8g,3.4g,"250                                                                                                                                                                g                                                                                                                                                                Greek yoghurt, 100                                                                                                                                                                g                                                                                                                                                                tahini, 1                                                                                                                                                                kg                                                                                                                                                                small raw beetroots, olive oil, 40                                                                                                                                                                g                                                                                                                                                                toasted pine nuts, a few                                                                                                                                                                sprigs of                                                                                                                                                                fresh flat-leaf parsley, PICKLED SHALLOTS, 4                                                                                                                                                                                                                    shallots                                                                                                                                                                , (100g), 30                                                                                                                                                                g                                                                                                                                                                light muscovado sugar, 60                                                                                                                                                                ml                                                                                                                                                                red wine vinegar","Wrap the Greek yoghurt in a clean J-cloth, fasten with string and hang it over a bowl for about 2 hours to strain it., Meanwhile, make the pickled shallots. Peel the shallots and finely slice into rings. In a bowl, combine the sugar and ½ a teaspoon of sea salt with the vinegar, stirring until dissolved. Add the shallots and leave to stand for 45 minutes, stirring every so often., Unwrap the strained yoghurt and tip it into a clean bowl. Stir in the tahini and 1 teaspoon of salt. If you’re making this in advance, cover and store in the fridge at this point., Wash and trim the beetroots, then cook them in a pan of boiling salted water for 30 to 35 minutes, or until tender. Drain, cool then peel and chop into bite-sized chunks., When ready to serve, heat 2 tablespoons of oil in a large frying pan, throw in the beets, then add 1 teaspoon each of salt and black pepper. 
Pan-roast over a medium–high heat for 5 to 7 minutes, or until heated through and well coated in oil and seasoning., To assemble the dish pick and finely chop the parsley leaves. Spread the labneh on a serving plate and top with the beets, pickled shallots, toasted pine nuts and parsley, then serve."
Beetroot & lemon houmous | Beetroot recipes | Jamie magazine recipes,With poppy seed & honey crispbreads,"https://img.jamieoliver.com/jamieoliver/recipe-database/52813663.jpg?tr=w-800,h-1066","['to', '6']",plus cooling,"“Crispbreads are so simple to make, and perfect for picnics, as they're easy to transport and work wonderfully as carriers for all kinds of dips and salsas, such as this houmous. Beetroot brings brilliant colour to the story here. A great alternative to regular houmous when you want to impress.  ”",426,21.4g,3.2g,9.1g,0.65g,10.5g,52.4g,9.6g,"CRISPBREADS, 100                                                                                                                                                                g                                                                                                                                                                rye flour, 100                                                                                                                                                                g                                                                                                                                                                white spelt flour, ¼                                                                                                                                                                teaspoon                                                                                                                                                                baking powder, olive oil, 1                                                                                                                                                                tablespoon                                                                                                                                                                clear runny honey, 1                                                                                                                                                                tablespoon                                                                                                                                                                mixed white & blue poppy seeds, HOUMOUS, 1 x 250                                                                                                                                                                g jar of                                                                                                                                                                chickpeas, 180                                                                                                                                                                g                                                                                                                                                                cooked beetroot, 2                                                                                                                                                                                                                    lemons, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, extra virgin olive oil, 1                                                                                                                                                                tablespoon                                                                                                                                                                natural yoghurt, amaranth shoots                                                                                                                                                                , optional","Preheat the oven to 180ºC/350ºF/gas 4., In a bowl, mix together the flours, baking powder, 3 tablespoons of olive oil, the honey and 4 tablespoons of water. Season lightly with sea salt and black pepper, then knead until smooth (3 minutes roughly)., Lightly flour your work surface before dividing the dough into two. Roll out each half to form a rectangle, about 30 x 12cm and 1mm thick – or as thin as you can get it. Cut into even rectangles, about 3cm wide, then transfer to floured baking sheets., Brush with a little water and scatter over the poppy seeds., Bake in the oven for about 10 minutes, or until golden and crisp, then leave to cool before serving with the houmous – these will keep in an airtight container for up to 1 month., Meanwhile, make the houmous. Drain the chickpeas, then combine with the beetroot, and the zest and juice of 1 lemon in a food processor. Blitz on a high speed for 1 minute., Peel and mince the garlic, then add to the processor alongside a little seasoning and 2 tablespoons of extra virgin olive oil. Blitz again until smooth. Taste and tweak with extra lemon juice., To serve, tip into a shallow bowl, then swirl through the yoghurt, before scattering with the amaranth shoots, if using, finely grated lemon zest and a drizzle of extra virgin olive oil."
