Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Epic prawns & beans | Jamie Oliver recipes,Harissa & garlicky sourdough croutons,"https://img.jamieoliver.com/jamieoliver/recipe-database/154993601.jpg?tr=w-800,h-1066","['Serves', '2']",In20 minutes,"“Such a quick and delicious meal – the bright red colour of Tunisian harissa never fails to brighten up a humble jar or tin of beans. To contrast that, simply cooked garlicky prawns and croutons. Wow! ”",431,10.5g,1.6g,2.2g,1.8g,40.5g,38.7g,8.4g,"175g sourdough bread, 300g large raw peeled king prawns, from sustainable sources, 6 cloves of garlic, ½ x 700g jar or 1 x 400g tin of cannellini beans, 1 tablespoon harissa or rose harissa",
Sarit & Itamar's mushroom sfiha | Jamie Oliver recipes,With caramelised onions & ricotta,"https://img.jamieoliver.com/jamieoliver/recipe-database/153135556.jpg?tr=w-800,h-1066","['Serves', '4']",In35 minutes,,,,,,,,,,"3 onions, 500g mushrooms, 2 tablespoons Baharat seasoning, 1 large flatbread, 250g ricotta, PANTRY, olive oil, black pepper, sea salt, extra virgin olive oil","Peel and dice the onions, then sauté in a pan with 2 tablespoons of olive oil and a pinch of sea salt on a medium heat so they soften – about 8 to 10 minutes. Meanwhile, thickly slice the mushrooms., Once the onions start to stick to the bottom of the pan, add the sliced mushrooms – they will start to let out water and after about 10 to 12 minutes the volume should halve and there should be no liquid left in the pan., Add the baharat, then taste and adjust seasoning, if needed., Preheat the oven to 180ºC/350ºF/gas 4., Line a 20cm cake or pie tin (or adjust to the size of your flatbread) with greaseproof paper., Quickly run the flatbread under a lightly running warm tap, drizzle lightly with oil, then press it down into the tin, so that the edges overhang the sides., Fill the base with ricotta, keeping 4 teaspoons back to serve, and spread out to create an even layer., Top with the mushroom filling, fold the overhanging sides of the flatbread down onto the filling and brush the exposed bread with a little olive oil., Bake in the centre of the oven for 10 to 15 minutes, then allow to sit for 5 minutes in the tin, before using the greaseproof to help you remove it easily., Slice up and serve hot with a dollop of seasoned ricotta. Great with a green salad."
Garlic and chilli tear 'n' share rolls | Jamie Oliver recipes,A proper crowd-pleaser,"https://img.jamieoliver.com/jamieoliver/recipe-database/143887562.jpg?tr=w-800,h-1066","['Makes', '12']",proving time,"“Soft, spongy rolls with the most outrageous crunchy exterior, smothered in garlic butter – what’s not to love? These are perfect for parties or ‘just because’. Feel free to leave out the chilli if you don’t fancy a fiery kick. 
 ”",248,12g,7.4g,0.8g,0.2g,5.1g,31.6g,1.3g,"½                                                                                                                                                                x                                                                                                                                                                 easy homemade bread dough, olive oil                                                                                                                                                                , for greasing, 1                                                                                                                                                                large bunch of                                                                                                                                                                flat-leaf parsley (60g), 6                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                                                                    lemon, 500                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , softened, ½                                                                                                                                                                a teaspoon                                                                                                                                                                dried chilli flakes","Make the easy homemade bread dough, then divide it into 12 pieces and roll them on a clean surface until smooth. Place into a greased roasting tray, leaving 3cm gaps between them (they will expand), then cover and leave to prove for 1 hour, or until doubled in size., Meanwhile, make the flavoured butter – this is a big batch, so you can freeze the extra for another day. Place the parsley (stalks and all) into a food processor. Peel and add the garlic, finely grate in the lemon zest and add a pinch of sea salt and black pepper, then whiz until smooth. Add the softened butter to the mix and pulse until combined., Lay out an A4 sheet of greaseproof paper on a baking tray, then use a spatula to evenly spread one third of the flavoured butter across the sheet, then sprinkle over the dried chilli. Lay another A4 sheet of greaseproof on top, then carefully place it in the freezer. Spoon the remaining butter onto another sheet of greaseproof, roll it up into a log and twist the ends like a Christmas cracker, then pop into the freezer for a rainy day (see the tip below)., Preheat the oven to 200°C/400°F/gas 6. When the time’s up on the bread, brush all over with a little olive oil, then bake for 30 minutes, or until golden and risen., Remove the garlic butter sheet from the freezer, peel back both sheets of paper and place it on top of the baked rolls, allowing it to slowly melt over each one, then let everyone tear off their own pieces – heaven!"
Easy homemade bread | Jamie Oliver recipes,"Plus a pesto, olive & cheese twister","https://img.jamieoliver.com/jamieoliver/recipe-database/105140174.jpg?tr=w-800,h-1066","['large', 'loaves']",proving time,"“Cooking can be good for the soul and making bread is such a rewarding, therapeutic, tactile thing – you’ll be so proud of yourself when you’ve cracked it. From one simple bread recipe like this, there’s a million things you can do – big ones, small ones, in a tin, on a tray, get creative. There are also loads of lovely flours you can experiment with – wholewheat, rye, spelt, using a blend of a couple of different ones. Plus, making bread is a great thing to do with the kids – they'll love it. ”",147,0.6g,0.1g,0.6g,1.3g,5g,32.4g,0.2g,"1 x 7                                                                                                                                                                g                                                                                                                                                                sachet of dried yeast, 1                                                                                                                                                                kg                                                                                                                                                                strong bread flour                                                                                                                                                                , plus extra for dusting","Pour 650ml of tepid water into a large bowl. Add the yeast and mix with a fork for a couple of minutes., Pour in most of the flour and half a teaspoon of sea salt, then use a fork to mix together until you can’t move it anymore., Now get your clean hands in there and bring it together as a ball of dough, adding more flour as you need to stop your hands and the dough sticking., Transfer the dough to a flour-dusted surface and keep it moving, kneading, pushing and stretching it for 5 minutes, or until you have a silky and elastic dough., Use your floured hands to shape the dough into a rough ball, put it in a bowl, flour the top and cover with a clean, damp tea towel. Allow it to prove for about an hour or an hour and 30 minutes, or until doubled in size – ideally in a warm, draught-free place., Once the dough has doubled in size, knock the air out by punching it with your fist, then kneading for 30 seconds., You can now shape it or flavour it as required – folded, filled, traybaked, whatever – and leave it to prove for a second time, for 30 minutes to an hour, or until it has doubled in size once more., Preheat the oven to 180ºC/350ºF/gas 4., Carefully transfer your bread dough to the oven and gently close the door. Bake for about 35 minutes, or until golden. You can tell if it’s cooked by tapping its bottom – if it sounds hollow it’s done; if it doesn’t then pop it back in for a little longer., Once cooked, place your loaf on a cooling rack and allow to cool."
Pan-fried red mullet | Jamie Oliver fish & seafood recipes,With a hum of dried chilli,"https://img.jamieoliver.com/jamieoliver/recipe-database/91994144.jpg?tr=w-800,h-1066","['Serves', '4']",In25 minutes,"“Tomatoes and red mullet just seem to have the most incredible harmony and, as bizarre as breadcrumbs might sound, their surprising crunch with such a fresh and flaky fish will really tickle your fancy. Remember: only a fool would want to make a tomato salad in Britain out of season. Early summer to October is the best time. Make some effort when you buy the tomatoes, and have a look around for green, yellow and cherry tomatoes, a whole mixture. Get some good ones and this dish will blow you away. ”",572,23.9g,2.4g,6.7g,1.8g,44.5g,43.9g,4.2g,"8                                                                                                                                                                                                                    red mullet fillets                                                                                                                                                                , (100g each), scaled and pin-boned, from sustainable sources, plain flour                                                                                                                                                                , for dusting, olive oil, TOMATO SALAD, 3                                                                                                                                                                big handfuls of                                                                                                                                                                mixed-colour tomatoes, extra virgin olive oil, red wine vinegar, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh basil                                                                                                                                                                , (15g), ½                                                                                                                                                                a bunch of                                                                                                                                                                 fresh dill                                                                                                                                                                , (15g), or fennel tops, CRISPY BREADCRUMBS, 4                                                                                                                                                                sprigs of                                                                                                                                                                fresh thyme, 200                                                                                                                                                                g                                                                                                                                                                stale breadcrumbs, 2                                                                                                                                                                                                                    dried red chillies, 1                                                                                                                                                                                                                    lemon","Chop the tomatoes into irregular chunks and tip into a big bowl with a couple of glugs of extra virgin olive oil and a splash of vinegar., Season the tomatoes with sea salt and black pepper, then taste, tweak, taste, tweak... I usually add a bit more vinegar, salt or extra virgin olive oil until the tomatoes and their juices sing in my mouth. This is a normal thing to do, so just be confident!, Pick and finely chop the basil and dill and mix into the tomatoes., Season the fish fillets, then dip them in a little flour to dust them on both sides, shaking off any excess., Drizzle a glug of olive oil into a frying pan over a medium-high heat and, once hot, place the fish skin-side down in the pan, lightly pressing the fillets down using a fish slice., Fry the fish for 3 minutes, or until the skin is bright orangey golden and crisp. Turn the fish over and fry for 1 minute on the other side, or until just cooked. Remove the fish to a plate while you make the crispy breadcrumbs., Drizzle a little olive oil to the juices in the pan, then strip in the thyme leaves, add the breadcrumbs, crumble up the chilli and finely grate in the lemon zest. Toss around and fry  for 3 to 4 minutes, or until lightly golden and crispy., Divide the tomato salad between four plates and either lay 2 fish fillets over the top of each salad, or break the fillets up and scatter over the tomatoes. I like to put the hot and crispy breadcrumbs in a little bowl with a teaspoon in them and sprinkle it over my guests’ plates at the table – delicious."
Pillowy focaccia | Jamie Oliver savoury baking recipes,With a drizzle of extra virgin olive oil,"https://img.jamieoliver.com/jamieoliver/recipe-database/91841794.jpg?tr=w-800,h-1066","['smaller', 'focaccia']",plus proving,“This is my favourite Italian flatbread. It’s not very difficult to make.  ”,270,1.7g,0.3g,2.1g,2.3g,8.5g,58.8g,2.3g,"20                                                                                                                                                                g                                                                                                                                                                fresh yeast                                                                                                                                                                , or 2 × 7g sachets of dried yeast, 20                                                                                                                                                                g                                                                                                                                                                runny honey, 500                                                                                                                                                                g                                                                                                                                                                strong bread flour                                                                                                                                                                , plus extra for dusting, 500                                                                                                                                                                g                                                                                                                                                                semolina flour                                                                                                                                                                , plus extra for dusting (if you can’t get hold of any semolina flour, plain flour will do), extra virgin olive oil","Follow the basic recipe until Step 8, then split the dough into half or quarters., Roll or push it out to an oval shape roughly 1.5cm thick; don’t fuss around for perfection, it’s supposed to be rough and rustic, so what a great excuse for a beginner!, Place on a baking tray liberally dusted with semolina, and spread evenly with your chosen topping (see tips)., Finally, make those characteristic holes by pushing all your fingers deep into the dough many times, which allows the flavour of the topping to penetrate., Leave to prove again in a warm place and after about 45 minutes it will prove to that classic 3cm high., Bake for about 15 minutes at full whack (240°C/475°F/gas 9) until ready. As soon as the focaccia comes out of the oven, feed it with a good drizzle of your very best extra virgin olive oil and a light scattering of sea salt. You can eat the focaccia as soon as it has cooled slightly."
Basic bread recipe | Jamie Oliver bread & baking recipes,With a touch of honey,"https://img.jamieoliver.com/jamieoliver/recipe-database/91841795.jpg?tr=w-800,h-1066","['1', 'loaf']",plus proving,"“Homemade bread is easy to make, impressive and versatile. It doesn’t matter if you make it regularly or only for special occasions, it’s your bread and it has its own character. Once you’ve made one of these breads I know you’ll try more, and then you’ll really have cracked it!

This is such a good recipe. One basic set of ingredients, split up into stages so that you can use any of the variations at the correct stage. ”",307,1.3g,0.3g,1.7g,0.9g,9.9g,68.6g,2.7g,"20                                                                                                                                                                g                                                                                                                                                                fresh yeast                                                                                                                                                                , or 2 × 7g sachets of dried yeast, 20                                                                                                                                                                g                                                                                                                                                                runny honey, 500                                                                                                                                                                g                                                                                                                                                                strong bread flour                                                                                                                                                                , plus extra for dusting, 500                                                                                                                                                                g                                                                                                                                                                fine semolina flour                                                                                                                                                                , plus extra for dusting (if you can’t get hold of any semolina flour, plain flour will do)","Dissolve the yeast and honey in 325ml of tepid water., On your largest available clean surface (even a big bowl will do if surfaces are limited), make a pile of the flour, semolina flour and 10g of sea salt. With one hand, make a well in the centre. (If possible, it is preferable to warm the flour and semolina flour.), Pour all the dissolved yeast mixture into the centre and with four fingers of one hand make circular movements, from the centre working outwards, slowly bringing in the dry ingredients until all the yeast mixture is soaked up. Pour another 300ml of tepid water into the centre and gradually incorporate all the flour to make a dough. (Certain flours may need a little more water, so don’t be afraid to adjust the quantities.), Kneading! This is the best bit, just rolling, pushing and folding the dough over and over for 5 minutes. This develops the structure of the dough and the gluten. If any of the dough sticks to your hands, just rub them together with a little extra flour., Flour both your hands now, and lightly flour the top of the dough. Make it into a roundish shape and place on a baking tray. Score the dough with a knife – this allows it to relax and prove more quickly., Leave the bread to prove for the first time. Basically we want it to double in size. You want a warm, draught-free place for the quickest prove, for example near the cooker, in the airing cupboard, in the plate warmer of a cooker or just in a warm room, and you can cover it with a clean damp tea towel. This proving process matures the flour flavour and should take approximately 40 minutes to 1 hour 30 minutes, depending on the conditions., Right, it’s double the size and time to knock it back. Knead and punch the dough, knocking all the air out of it, for about a minute., Shape the dough into whatever shape you want – round, flat, filled, or whatever – and leave to prove a second time in a warm place until the dough is double its size. Preheat the oven to 220°C/425°F/gas 7., Now it’s time to cook your loaf. After all your hard work, don’t spoil your efforts. You want to keep the air inside the loaf, so don’t knock it, put it very gently into the oven and don’t slam the door., Bake for 20 to 25 minutes, or until it’s cooked. You can tell if it’s cooked by tapping its bottom (if it’s in a tin you’ll have to take it out) – if it sounds hollow it’s cooked; if it doesn’t, pop it back in for a little longer., Place the bread on a wire rack to cool. You’re going to love this bread!"
Christmas tree Camembert | Jamie Oliver Christmas recipes,Soft tear 'n' share rolls,"https://img.jamieoliver.com/jamieoliver/recipe-database/83911437.jpg?tr=w-800,h-1066","['Makes', '36']",minutes cook),“Push the boat out with this easy tear ’n’ share bread with oozy Camembert for dunking. A big show-off party bread that’s as easy as it is impressive – just the thing if you’re having friends and family over for Christmas nibbles.   ”,144,5.9g,3.1g,0.3g,0.7g,7.1g,16.9g,0.7g,"800                                                                                                                                                                g                                                                                                                                                                strong bread flour                                                                                                                                                                , plus extra for dusting, 1 x 7                                                                                                                                                                g sachet of                                                                                                                                                                dried yeast, 3 x 250                                                                                                                                                                g                                                                                                                                                                round Camembert cheeses, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh rosemary                                                                                                                                                                , (15g), 3                                                                                                                                                                cloves of                                                                                                                                                                garlic","Put the flour, yeast and 1 teaspoon of sea salt into the bowl of a food processor. Gradually pour in 500ml of tepid water and pulse for a few minutes until you have a ball of dough. Leave the lid on and prove in a warm place for 1 hour 30 minutes, or until doubled in size., Line a large baking tray with greaseproof paper and dust with flour. Lightly draw the outline of a Christmas tree in the flour with your finger. Remove the box base from one Camembert and place it in the centre of the tray., Divide the dough into three pieces, then each of those into 12, giving you 36 in total. One-by-one roll each piece into a ball and place on the tray, building out from the Camembert box to create your tree shape. Cover with a damp tea towel and leave to prove for another hour., Preheat the oven to 180°C/350°F/gas 4. Cut the rind off the top of each Camembert leaving a 1cm rim (reserving the boxes for baking). Pick the tips off three rosemary sprigs and poke into the soft cheeses, then peel and finely slice the garlic, drizzle with olive oil and poke those in too. Sprinkle each cheese with a pinch of sea salt and black pepper, then pop one in its box in the centre of the tree, and another on a separate tray. Reserve the third cheese for later., Strip the remaining rosemary leaves and dot between the dough balls. Sprinkle with a good pinch of salt from a height, and drizzle with olive oil. Place the bread tree in the oven with the second cheese on the shelf below and bake for 30 to 35 minutes, or until the Camemberts are gooey and the bread is risen and golden. As soon as you serve the first two cheeses, bake the third one in its box for about 20 minutes, then swap with the eaten ones. Delicious."
Challah bread | Jamie Oliver bread & baking recipes,Sprinkled with sesame seeds,"https://img.jamieoliver.com/jamieoliver/recipe-database/83536216.jpg?tr=w-800,h-1066","['2', 'loaves']",plus proving,"“Traditionally challah is braided lengthways but we’ve done a lovely round version, which is typically made for Rosh Hashanah (Jewish New Year).  ”",270,3.7g,0.7g,4.7g,0.6g,8.7g,53.8g,2g,"750                                                                                                                                                                g                                                                                                                                                                strong bread flour                                                                                                                                                                , plus extra for dusting, 10                                                                                                                                                                g                                                                                                                                                                fast-action dried yeast, 50                                                                                                                                                                g                                                                                                                                                                caster sugar, 2                                                                                                                                                                large                                                                                                                                                                free-range eggs, olive oil, 1                                                                                                                                                                tablespoon                                                                                                                                                                sesame seeds","Place the dry ingredients in a large bowl with 1½ teaspoons sea salt, stir to combine then make a well in the centre., Crack the eggs into a small bowl and beat. Next, pour in 1½ tablespoons of oil and 350ml water into the well and add most of the beaten egg (saving a little for egg washing later). Mix with a fork, then bring together with your hands to form a ball., On a lightly dusted surface, knead the dough for 10 minutes until smooth and springy. Be careful not to add too much flour here to prevent the dough drying out., Place in a large oiled bowl, cover with a damp tea towel and leave to rise in a warm place for 1 hour, or until doubled in size., To braid your challah, divide the dough into two balls. Put one aside covered with a damp tea towel and cut the other ball into 4 even pieces.  Roll each piece into a thin sausage-shape, roughly 60cm long., Place two of the strands next to each other vertically. Weave the remaining two strands horizontally over and under the vertical strands to form a cross shape., Working with the top pair of strands, take the strand that is underneath and place over the strand next to it. Do the same with the next pair of strands and continue this around the cross. Once all four pairs have been crossed over, do the same in the reverse direction – clockwise/anti-clockwise depending on your strands. The rule to go by is to always place the underneath strand over its pair., Continue this process until you have used up the dough. As you start to run out of dough tuck the ends under the loaf to form a neat braided ball. Place on a lined baking tray., Repeat the braiding technique with your second ball of dough., Cover both loaves loosely with a damp tea towel and leave to rise for a further 30 minutes. Preheat your oven to 180°C/350°F/gas 4., Use the remaining egg to glaze the challah. Sprinkle over the sesame seeds and bake for 40 minutes, or until golden. Adding extra egg wash halfway, if needed."
Homemade flatbreads recipe | Jamie Oliver bread recipes,Golden & perfectly charred,"https://img.jamieoliver.com/jamieoliver/recipe-database/82087858.jpg?tr=w-800,h-1066","['Makes', '6']",plus proving,,360,8.9g,1.1g,0.6g,0.3g,8.2g,62.8g,2.2g,"250                                                                                                                                                                g                                                                                                                                                                cornmeal, 250                                                                                                                                                                g                                                                                                                                                                plain flour                                                                                                                                                                , plus extra for dusting, 1 x 7                                                                                                                                                                g sachet of                                                                                                                                                                dried yeast, olive oil","Mix the cornmeal, flour and a good pinch of sea salt in a large bowl. Stir the yeast into 275ml of warm water, then add to the bowl and mix to form a pliable sticky dough, adding a splash more water, if needed., On a clean flour-dusted surface, divide into 6 balls, then flatten each into a 10cm round, pushing your fingers into the top to give you a ripple effect. Place on a lightly oiled tray, cover with a clean damp tea towel and leave to prove for 45 minutes., Working in batches, drizzle a little oil into a large non-stick frying pan on a medium heat. Once hot, cook a few dough rounds for 2 to 3 minutes on each side, or until golden and perfectly charred, then repeat, topping up the oil between batches, if needed."
