Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Quick crispy duck | Jamie Oliver recipes,"Creamy white beans, charred broccoli, orange & sage","https://img.jamieoliver.com/jamieoliver/recipe-database/154992982.jpg?tr=w-800,h-1066","['Serves', '2']",In22 minutes,"“Celebrating some classic French ingredients, this exciting dish is about big flavour and texture, but minimum work. Plus, it’s on the table in only 20 minutes, making it a perfect midweek dinner for two. ”",479,16g,4.1g,12.1g,1.2g,54.1g,29.9g,11.7g,"2 x 150g free-range duck breast fillets, skin on, 2 sprigs of sage, 200g purple sprouting broccoli, 1 large juicy orange, 1 x 400g tin of white beans",
Super steamed greens | Jamie Oliver Christmas recipes,With a clementine & chilli butter,"https://img.jamieoliver.com/jamieoliver/recipe-database/154595934.jpg?tr=w-800,h-1066","['Serves', '10']",In10 minutes,"“Infused butters are a no-brainer when it comes to adding big flavour to your veg, with very little effort. I've chosen a combo of clementine, fresh chilli and thyme here, but feel free to mix things up depending on what you have. ”",131,9.7g,5.6g,2.9g,0.4g,5.1g,6.2g,3.1g,"400                                                                                                                                                                g                                                                                                                                                                Brussels sprouts, 400                                                                                                                                                                g                                                                                                                                                                Tenderstem broccoli, 300                                                                                                                                                                g                                                                                                                                                                frozen peas, FLAVOURED BUTTER, 100                                                                                                                                                                g                                                                                                                                                                soft unsalted butter, 1                                                                                                                                                                teaspoon                                                                                                                                                                sea salt, ½                                                                                                                                                                a                                                                                                                                                                lemon, ½                                                                                                                                                                a                                                                                                                                                                clementine, ¼                                                                                                                                                                of a                                                                                                                                                                fresh red chilli, 1                                                                                                                                                                handful of                                                                                                                                                                thyme sprigs","Mash the butter with a fork. Sprinkle over 1 teaspoon of sea salt, then finely grate over two strokes of lemon and clementine zest. Finely chop the chilli, pick in the thyme leaves, and mash everything together., Fill the pan of a steamer with salted water, bring to the boil, then add the sprouts. Place the broccoli in a steamer basket and place on top. Place the peas in a second steamer basket and place on top. Cover and cook for 5 minutes. (If you don’t have a steamer, add the broccoli to the pan of sprouts after 2 minutes, then the peas for the final 2 minutes)., Drain the veg, tip into a large serving bowl then scoop over the butter and let it melt over all the veg. Toss everything together, and serve."
Smoky lentil and broccoli stem tacos | Jamie Oliver Cookbook Club recipes,With a Crisp cucumber salsa,"https://img.jamieoliver.com/jamieoliver/recipe-database/151854740.jpg?tr=w-800,h-1066","['Serves', '4']",MINUTES COOK),“Meat-eaters and vegans alike will enjoy this budget-friendly take on tacos. A handful of surprisingly simple ingredients lends big flavours and ‘meaty’ textures to the smoky lentil and broccoli stem taco filling. ”,,,,,,,,,"2                                                                                                                                                                tbsp                                                                                                                                                                olive oil, ½                                                                                                                                                                                                                    red onion                                                                                                                                                                , thinly sliced, 1                                                                                                                                                                large                                                                                                                                                                broccoli stem                                                                                                                                                                , grated, 1 x 400                                                                                                                                                                g tin                                                                                                                                                                 green lentils                                                                                                                                                                , drained and rinsed, 2                                                                                                                                                                                                                    garlic cloves                                                                                                                                                                , finely chopped, 4                                                                                                                                                                                                                    sundried tomatoes                                                                                                                                                                , roughly chopped, 1                                                                                                                                                                tbsp                                                                                                                                                                tomato purée, 1                                                                                                                                                                tbsp                                                                                                                                                                soy sauce                                                                                                                                                                , or tamari, 1                                                                                                                                                                tsp                                                                                                                                                                smoked paprika, 1                                                                                                                                                                tsp                                                                                                                                                                ground cumin, 1                                                                                                                                                                tbsp                                                                                                                                                                nutritional yeast, ¼                                                                                                                                                                tsp                                                                                                                                                                black pepper, Crisp cucumber salsa, 2                                                                                                                                                                                                                    baby cucumbers                                                                                                                                                                , quartered lengthways, then thinly sliced, ½                                                                                                                                                                                                                    red onion                                                                                                                                                                , finely chopped, 1                                                                                                                                                                                                                    lime                                                                                                                                                                , zest and juice of, 2                                                                                                                                                                tbsp                                                                                                                                                                freshly chopped mint, 2                                                                                                                                                                tbsp                                                                                                                                                                freshly chopped coriander, ½                                                                                                                                                                                                                    fresh red or green chilli                                                                                                                                                                , seeded, finely chopped, generous pinch of salt, ¼                                                                                                                                                                tsp                                                                                                                                                                black pepper, To serve, 8–12                                                                                                                                                                                                                    corn or flour tortillas                                                                                                                                                                , warmed, freshly chopped coriander and basil, lime wedges","For the Crisp cucumber salsa, combine the cucumbers, red onion, lime juice and zest, mint, coriander and chilli in a mixing bowl. Season with salt and black pepper and leave for about 10 minutes before serving. This will allow the flavours to marinate and will also remove some of the liquid from the cucumber, providing a less watery crunch., Heat the oil in a large frying pan over medium heat and cook the onion for 3–5 minutes, stirring occasionally, until soft. Add the grated broccoli stem, lentils, garlic and sundried tomatoes and cook for 2–3 minutes, stirring occasionally., Add all the remaining ingredients and cook for about 3 minutes, stirring frequently, until the mixture thickens and begins to stick to the pan. Stir in 1–2 tablespoons of water for the last minute of cooking. Remove from the heat and cover with a lid while you warm the tortillas., To serve, spoon the lentil and broccoli stem mixture onto warm tortillas and top with Cucumber Salsa, fresh coriander and basil, with lime wedges on the side."
Green shakshuka | Jamie Oliver recipes,"Tender asparagus & broccoli, mint, harissa & curds","https://img.jamieoliver.com/jamieoliver/recipe-database/136295676.jpg?tr=w-800,h-1066","['Serves', '2']",In18 minutes,,333,17.9g,5.6g,5.1g,0.7g,23.4g,22.8g,6.9g,"½                                                                                                                                                                 a bunch of                                                                                                                                                                 asparagus (175g), ½                                                                                                                                                                a head of                                                                                                                                                                broccoli (175g), olive oil, 1                                                                                                                                                                                                                    potato (175g), 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 2                                                                                                                                                                teaspoons                                                                                                                                                                 harissa, 4                                                                                                                                                                                                                    eggs, 2                                                                                                                                                                tablespoons                                                                                                                                                                cottage cheese, 2                                                                                                                                                                sprigs of                                                                                                                                                                 fresh mint, optional: extra virgin olive oil",
Super salad platter | Jamie Oliver recipes,"Avo, sweet potatoes, broccoli & beets","https://img.jamieoliver.com/jamieoliver/recipe-database/134567914.jpg?tr=w-800,h-1066","['Serves', '4']",,"“Both quinoa and cashew nuts are high in the mineral copper, which our bodies need for everything from immune and nervous system function to efficiently transporting iron around. ”",527,19.8g,3.6g,21.8g,0.4g,18.5g,74.2g,10g,"1                                                                                                                                                                teaspoon                                                                                                                                                                cumin seeds, 2                                                                                                                                                                small                                                                                                                                                                sweet potatoes                                                                                                                                                                , (200g each), 350                                                                                                                                                                g                                                                                                                                                                broccoli, olive oil, 25                                                                                                                                                                g                                                                                                                                                                cashew nuts, 25                                                                                                                                                                g                                                                                                                                                                mixed pumpkin, sunflower and sesame seeds, 250                                                                                                                                                                g                                                                                                                                                                vac-packed beetroot, 2                                                                                                                                                                tablespoons                                                                                                                                                                balsamic vinegar, extra virgin olive oil, 300                                                                                                                                                                g                                                                                                                                                                quinoa, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (30g), 1                                                                                                                                                                                                                    lemon, 1                                                                                                                                                                                                                    ripe avocado, 6                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt, 1                                                                                                                                                                punnet of                                                                                                                                                                cress","Preheat the oven to 180°C/350°F/gas 4. Crush 1 teaspoon of cumin seeds in a pestle and mortar. Scrub 2 small sweet potatoes and rub with the crushed cumin seeds. Place in a roasting tray and cook in the oven for 30 minutes., Meanwhile, trim the tough end off 1 broccoli stalk, slice it, then chop the rest into large florets. Toss the broccoli into the sweet potato tray with 1 tablespoon of olive oil. Roast for another 30 minutes, or until the sweet potatoes are cooked through., Toast 25g of cashew nuts and 25g of mixed pumpkin, sunflower and sesame seeds in a dry frying pan on a medium heat until smelling fantastic, then crush in the pestle and mortar., Bash and mush up 250g of vac-packed beetroot in their pack as much as you can, then snip the corner off and decant into a bowl with 2 tablespoons of balsamic vinegar and 1 tablespoon of extra virgin olive oil. Mix together, mashing with a fork, if needed., Cook 300g of quinoa according to the packet instructions, and drain well. Pick and finely chop the leaves from 1 bunch of mint (reserving the pretty ones for garnish) and stir through the quinoa with the finely grated zest and the juice from 1 lemon, then season to perfection., Scatter the quinoa across a large platter. Once cool enough to handle, tear over chunks of roasted sweet potato and dot over the roasted broccoli. Halve 1 ripe avocado and use a teaspoon to add curls of flesh to the platter. Dollop over 6 tablespoons of natural yoghurt, spoon bombs of dressed beets on top, scatter over the toasted nuts and seeds and the reserved mint leaves, snip over 1 punnet of cress and serve."
Jacket spuds & homemade beans | Jamie Oliver recipes,Crispy broccoli & oozy cheese,"https://img.jamieoliver.com/jamieoliver/recipe-database/134593081.jpg?tr=w-800,h-1066","['Serves', '4']",5 minutes,,475,12.8g,5.3g,9.9g,1.1g,24.2g,64.4g,15.3g,"4                                                                                                                                                                large                                                                                                                                                                Maris Piper potatoes, olive oil, 1                                                                                                                                                                                                                    red pepper, 1                                                                                                                                                                bunch of                                                                                                                                                                spring onions, 1                                                                                                                                                                head of                                                                                                                                                                broccoli                                                                                                                                                                , (375g), 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                smoked paprika, 2 x 400                                                                                                                                                                g tins of                                                                                                                                                                cannellini beans, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                plum tomatoes, 80                                                                                                                                                                g                                                                                                                                                                Cheddar cheese, 1 x 80                                                                                                                                                                g bag of                                                                                                                                                                watercress, spinach & rocket, extra virgin olive oil                                                                                                                                                                , optional","Preheat the oven to 200°C/400°F/gas 6., Wash and scrub 4 large potatoes, dry well (this will ensure crispy skin once baked), then rub with 1 tablespoon of olive oil and season with sea salt., Using a fork, prick each potato a few times, then place directly on the shelves of the oven and bake for 1 hour (longer if your potatoes are particularly big), or until crispy on the outside and soft in the middle., Meanwhile, deseed 1 red pepper and trim 1 bunch of spring onions, then finely chop. Trim the tough end from 1 head of broccoli (375g), finely chop the stalk and slice the head apart into bite-sized florets., Drizzle 1 tablespoon of olive oil into a large casserole pan on a high heat, add the pepper, spring onion and broccoli stalk, then cook for 5 minutes, or until softened, stirring regularly., Stir in 1 heaped teaspoon of smoked paprika and cook for 1 further minute, then add 2 x 400g tins of cannellini beans (juices and all)., Scrunch in 1 x 400g tin of plum tomatoes, pour in 1 tin’s worth of water, then bring to the boil. Season to perfection, then transfer to the oven and bake for 30 minutes, or until thickened and reduced., Toss the broccoli florets in 1 tablespoon of olive oil and scatter over the beans for the last 10 minutes. Remove from the oven and finely grate over 80g of cheese., Serve 1 x 80g bag of watercress, spinach & rocket on the side and toss with a little extra virgin olive oil, if you like, then serve alongside the beans and potatoes. Enjoy!"
"Potato, pepper & broccoli frittata | Jamie Oliver recipes",With Cheddar & smoked paprika,"https://img.jamieoliver.com/jamieoliver/recipe-database/134593077.jpg?tr=w-800,h-1066","['Serves', '4']",In30 minutes,,373,19.1g,5.8g,4.6g,1.6g,23g,30.1g,5.3g,"600                                                                                                                                                                g                                                                                                                                                                Maris Piper potatoes, 1                                                                                                                                                                bunch of                                                                                                                                                                spring onions, 1                                                                                                                                                                head of                                                                                                                                                                broccoli                                                                                                                                                                , (375g), 1                                                                                                                                                                                                                    red pepper, 1                                                                                                                                                                teaspoon                                                                                                                                                                smoked paprika, 8                                                                                                                                                                large                                                                                                                                                                eggs, 40                                                                                                                                                                g                                                                                                                                                                Cheddar cheese, 1 x 80                                                                                                                                                                g bag of                                                                                                                                                                watercress, spinach & rocket, extra virgin olive oil","Preheat the oven to 200ºC/400ºF/gas 6., Drizzle 1 tablespoon of olive oil into a 28cm ovenproof non-stick frying pan on a medium-high heat., Scrub 600g of potatoes and chop into 1cm dice, adding to the pan as you go., Trim, finely slice and add 1 bunch of spring onions. Trim the tough end off 1 head of broccoli (375g), finely chop the remaining stalk and add to the pan. Deseed, finely slice and add 1 red pepper., Season with a pinch of sea salt and black pepper, add 1 teaspoon of smoked paprika, then cook for 15 minutes, or until golden, stirring occasionally. Slice the head of broccoli apart into bite-sized florets, adding to the pan for the last 5 minutes., Crack 8 large eggs into a bowl and beat together, grate in 30g of Cheddar cheese and season with salt and pepper. Mix together well., Roughly chop half the watercress, spinach & rocket (40g) and stir into the pan, then pour over the egg mixture, swirling to coat the base of the pan., Grate over the remaining 10g of Cheddar and cook for 2 minutes, then bake for 10 minutes, or until golden and set., Slide the frittata out onto a serving board and cut into wedges. Dress the remaining watercress, spinach & rocket (40g) in 1 tablespoon of extra virgin olive oil and serve alongside."
Smoky veg patties | Jamie Oliver recipes,Red pepper salsa & fried egg,"https://img.jamieoliver.com/jamieoliver/recipe-database/134585079.jpg?tr=w-800,h-1066","['Serves', '4']",In25 minutes,"“These veggie patties are a little bit like bubble and squeak – big on flavour and really comforting. With added protein from beans and lovely fried eggs, this is a super-satisfying midweek winner.  ”",402,18.6g,6g,6.9g,1.6g,20.1g,41.8g,6.8g,"1                                                                                                                                                                head of                                                                                                                                                                broccoli, 1                                                                                                                                                                bunch of                                                                                                                                                                spring onions, 600                                                                                                                                                                g                                                                                                                                                                Maris Piper potatoes, olive oil, 1                                                                                                                                                                                                                    red pepper, red wine vinegar, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                cannellini beans, 60                                                                                                                                                                g                                                                                                                                                                Cheddar cheese, ½                                                                                                                                                                teaspoon                                                                                                                                                                smoked paprika, 4                                                                                                                                                                large                                                                                                                                                                eggs, 1 x 80                                                                                                                                                                g bag of                                                                                                                                                                watercress, spinach & rocket, extra virgin olive oil","Trim the tough end off 1 head of broccoli (375g). Finely chop the remaining stalk, then break the florets apart. Trim and finely slice ½ a bunch of spring onions., Peel and chop 600g of potatoes into 3cm chunks, then cook in a pan of boiling salted water for 12 minutes, or until tender, adding the broccoli florets for the last 3 minutes., Meanwhile, drizzle 1 tablespoon of olive oil into a large frying pan on medium heat, add the sliced spring onions and broccoli stalks and cook for 10 minutes, or until softened, then remove from the heat., Once cooked, drain the potatoes and broccoli and allow to steam dry, tip into the frying pan and leave to cool while you make the salsa., Deseed 1 red pepper and trim the remaining ½ a bunch of spring onions, then finely chop and place in a bowl with 1 tablespoon of red wine vinegar and a pinch of sea salt and black pepper., Drain and add 1 x 400g tin of cannellini beans to the frying pan, grate in 60g of Cheddar cheese, season with salt and pepper, then sprinkle in ½ a teaspoon of smoked paprika. Mash and mix together well, then divide into 8 equal-sized balls and pat into flat rounds., Place the frying pan back on a medium-high heat, drizzle in 1 tablespoon of olive oil, then add the patties and cook for 2 to 3 minutes on each side, or until golden and crisp, then remove (and keep warm) while you fry 4 eggs to your liking., To serve, place two patties and a fried egg on each plate, then top each with a spoonful of salsa. Serve 1 x 80g bag of watercress, spinach & rocket on the side and toss with a little extra virgin olive oil and red wine vinegar, if you like."
Silky squash risotto | Jamie Oliver recipes,"With marjoram, Parmesan & butter","https://img.jamieoliver.com/jamieoliver/recipe-database/121936025.jpg?tr=w-800,h-1066","['Serves', '4']",20 minutes,"“Slow-roasted sweet squash, aromatic marjoram and nutty Parmesan come together to create this oozy, cheesy, sumptuous risotto that’s packed with glorious flavour.  ”",599,15.6g,6g,19.2g,0.8g,19.3g,95.6g,10.8g,"1                                                                                                                                                                                                                    butternut or acorn squash                                                                                                                                                                , (1.2kg), 1                                                                                                                                                                bunch of                                                                                                                                                                fresh marjoram                                                                                                                                                                , (20g), olive oil, 1.2                                                                                                                                                                litres                                                                                                                                                                quality vegetable or chicken stock, 1                                                                                                                                                                                                                    onion, 1                                                                                                                                                                stick of                                                                                                                                                                celery, 300                                                                                                                                                                g                                                                                                                                                                Arborio risotto rice, 150                                                                                                                                                                ml                                                                                                                                                                dry white wine, 200                                                                                                                                                                g                                                                                                                                                                Tenderstem broccoli, ½                                                                                                                                                                a                                                                                                                                                                lemon, extra virgin olive oil, 50                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, 1                                                                                                                                                                knob of                                                                                                                                                                unsalted butter","Preheat the oven to 180°C/350°F/gas 4. Scrub the squash (there’s no need to peel it), carefully halve it lengthways and deseed, then chop into 2cm chunks., Place the squash in a roasting tray, pick and chop most of the marjoram leaves, then toss with 1 tablespoon of olive oil and a pinch of sea salt and black pepper. Roast for 1 hour, or until soft and caramelised., With 20 minutes to go on the squash, simmer the stock over a low heat. Peel and finely chop the onion and celery, then place in a high-sided pan on a medium heat with ½ a tablespoon of olive oil. Cook for 10 minutes, or until softened but not coloured, stirring regularly, then stir in the rice to toast for 2 minutes., Pour in the wine and stir until absorbed. Add a ladleful of stock and wait until it’s been fully absorbed before adding another, stirring constantly and adding ladlefuls of stock until the rice is cooked – it will need 16 to 18 minutes., Remove the squash from the oven and mash up with a fork – I like to do half smashed and leave half chunky, then stir through the risotto about halfway through., Meanwhile, trim the broccoli, halving any larger stalks lengthways to help it cook evenly. Steam for 2 minutes, or until just cooked but still full of colour, then toss with the lemon juice and a drizzle of extra virgin olive oil, and season to perfection., When the risotto is done, add enough extra stock or boiling kettle water to make the risotto oozy, then finely grate in the Parmesan, and beat in with the butter., Cover the pan, turn off the heat and leave to relax for 2 minutes. Stir, season to perfection, then divide between your plates., Pick over the remaining marjoram and serve topped with the broccoli. Lovely."
Filo chicken Kyiv | Jamie Oliver recipes,"Sweet pea & potato mash, sprouting broccoli","https://img.jamieoliver.com/jamieoliver/recipe-database/109386585.jpg?tr=w-800,h-1066","['Serves', '4']",In45 minutes,,561,16.1g,5.7g,5.6g,1g,49.2g,58g,10.2g,"2                                                                                                                                                                                                                    cloves of garlic, 1                                                                                                                                                                                                                    bunch of flat-leaf parsley (30g), 30                                                                                                                                                                g                                                                                                                                                                soft unsalted butter, 4 x 150                                                                                                                                                                g                                                                                                                                                                free-range skinless chicken breasts, 4                                                                                                                                                                                                                    sheets of filo pastry, olive oil, red wine vinegar, 800                                                                                                                                                                g                                                                                                                                                                potatoes, 400                                                                                                                                                                g                                                                                                                                                                frozen peas, 200                                                                                                                                                                g                                                                                                                                                                purple sprouting broccoli, extra virgin olive oil","Preheat the oven to 200°C/400°F/gas 6., Peel and finely grate the garlic, finely chop the parsley, stalks and all, then mix both with the soft butter and season with sea salt and black pepper., Use the tip of a sharp knife to slice into the thickest part of each chicken breast and create a pocket. Divide and stuff in the garlic butter, then shape the breasts back into their original form, sealing the butter inside., Gather up one sheet of filo in waves and wrap around one breast. Repeat, lining up the kyivs on a large oiled baking tray. Mix 1 tablespoon of olive oil with 1 teaspoon of red wine vinegar, then lightly brush the filo, reserving the remaining mixture for later. Roast on the bottom of the oven for 25 minutes, or until golden, juicy and cooked through., Meanwhile, chop the potatoes into even-sized chunks and cook in a large pan of boiling salted water for 15 minutes, or until tender, adding the peas for the last 2 minutes., Trim the tough ends off the broccoli stalks, halve any thicker stalks lengthways, toss with the remaining oil and vinegar mixture and add to the chicken tray for the last 10 minutes., Drain the potatoes and peas, then mash with 1 teaspoon of extra virgin olive oil and season to perfection. Serve it all together."
