Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Ultimate pumpkin pie | Jamie Oliver recipes,Pecan praline & cranberry-spiked cream,"https://img.jamieoliver.com/jamieoliver/recipe-database/153601126.jpg?tr=w-800,h-1066","['Serves', '12']",plus chilling,"“Rustic, crumbly pastry contrasted with a soft, velvety filling and topped with pecan praline – this is the most delicious pumpkin pie recipe. It’s perfect for Thanksgiving dinner, autumnal get-togethers or just because!  ”",526,24.2g,15.7g,29.7g,0.3g,7g,51.2g,1.5g,"1                                                                                                                                                                large                                                                                                                                                                squash                                                                                                                                                                , such as butternut, Crown Prince, onion or pumpkin, (or 1 x 425g tin pumpkin purée), 300                                                                                                                                                                g                                                                                                                                                                plain flour, 50                                                                                                                                                                g                                                                                                                                                                icing sugar, 1                                                                                                                                                                                                                    orange, 150                                                                                                                                                                g                                                                                                                                                                unsalted butter, 4                                                                                                                                                                large                                                                                                                                                                free-range eggs, 175                                                                                                                                                                g                                                                                                                                                                golden caster sugar, 3                                                                                                                                                                teaspoons                                                                                                                                                                vanilla bean paste, 100                                                                                                                                                                ml                                                                                                                                                                double cream, ¾                                                                                                                                                                of a teaspoon                                                                                                                                                                ground cinnamon, ½                                                                                                                                                                a teaspoon                                                                                                                                                                ground ginger, ¼                                                                                                                                                                of a teaspoon                                                                                                                                                                ground allspice, 1                                                                                                                                                                whole                                                                                                                                                                nutmeg, 4                                                                                                                                                                tablespoons                                                                                                                                                                maple syrup, 150                                                                                                                                                                g                                                                                                                                                                pecans, 200                                                                                                                                                                ml                                                                                                                                                                double cream                                                                                                                                                                , to serve, ½ x 200                                                                                                                                                                g jar of                                                                                                                                                                cranberry sauce                                                                                                                                                                , to serve","Preheat the oven to 180°C/350°F/gas 4. Place the squash (or pumpkin) on a baking tray, carefully pierce once or twice with the tip of a sharp knife, then bake in the oven for 1 hour 30 minutes, or until golden and very soft, then transfer to a board to cool completely., For the pastry, mix the flour and icing sugar in a large bowl. Finely grate in the orange zest. Chop the butter into cubes, then rub in with your fingertips until the mixture resembles breadcrumbs., Beat and stir in 1 egg, then gently scrunch the dough into a ball – be careful not to overwork it. Wrap and rest in the freezer or fridge for 30 minutes., Slice the pastry lengthways into pieces just under 1cm thick, then distribute around the sides and base of a 26cm loose-bottomed tart tin. Use fingertips to press them together really well and create one piece of pastry, letting it bulge above the brow of the tin (don’t worry if it’s not perfect, just try to create a fairly even layer). Place in the freezer to chill while you crack on with the filling., Once the squash (or pumpkin) is cool enough to handle, remove the stalk and, using a knife and tongs, carefully slice lengthways, down the middle. Scoop out the seeds and put aside for tasty cooking another day, then weigh out 400g-450g of squash flesh (check out the tips below for leftover ideas)., Whiz the flesh in a food processor until smooth with the remaining egg yolks (reserving the whites for later), sugar, vanilla bean paste, double cream, ground spices, a good few gratings of nutmeg and a pinch of sea salt., In a clean bowl, whisk the reserved egg whites with a pinch of salt until stiff glossy peaks form. Fold the squash/pumpkin mixture into the egg whites and pour into the pie crust., Bake at the bottom of the oven for 45 minutes, or until the filling is set and the top slightly cracked. Transfer to a wire rack and leave to cool completely., For the praline, line a small baking tray or plate with greaseproof paper. Place the maple syrup in a small non-stick frying pan on a medium heat and bring to the boil. Add the pecans and cook for 1 minute, and when nicely coated and golden, carefully pour onto the greaseproof paper and leave to set., Place the cranberry sauce in a bowl, then squeeze and stir in half the orange juice to loosen. In a separate bowl, whip the double cream until soft peaks form, then fold through the cranberry sauce mixture., Slice up the pie, then bash up and sprinkle over the praline (I sometimes like to decorate with whole pecans, too) and serve with dollops of cranberry cream."
Sausage & squash chilli | Jamie Oliver recipes,"Rosemary, garlic & smoked paprika","https://img.jamieoliver.com/jamieoliver/recipe-database/153601127.jpg?tr=w-800,h-1066","['Serves', '8']",In2 hours,"“When the evenings start to get darker and the weather gets colder, you can’t beat a good old chilli. This one is a proper family favourite – it’s super simple to make and the kids love it. You can easily double this recipe, so it’s perfect for big get-togethers like Bonfire Night.  ”",301,15.2g,5g,11.8g,0.8g,15.8g,26.2g,4.2g,"400                                                                                                                                                                g                                                                                                                                                                higher-welfare pork or veggie sausages, olive oil, ½                                                                                                                                                                a stick of                                                                                                                                                                cinnamon, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh rosemary, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                Cajun seasoning, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                smoked paprika, 500                                                                                                                                                                g                                                                                                                                                                frozen chopped mixed onion, carrot and celery, 1                                                                                                                                                                small                                                                                                                                                                butternut squash, 3                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2                                                                                                                                                                tablespoons                                                                                                                                                                balsamic vinegar, 2 x 400                                                                                                                                                                g tins of                                                                                                                                                                beans such as kidney, black, pinto, cannellini, borlotti or butter beans, 2 x 400                                                                                                                                                                g tins of                                                                                                                                                                plum tomatoes, extra virgin olive oil                                                                                                                                                                , (optional), a few sprigs of                                                                                                                                                                fresh coriander","Squeeze the sausagemeat out of the skin into little balls (if using veggie sausages, roughly slice) and place in a large deep casserole pan over a medium-high heat with 1 tablespoon of olive oil, the cinnamon stick and a big pinch of black pepper. Fry for 5 minutes, or until browned, stirring regularly, then strip in the rosemary leaves and stir in the Cajun seasoning and smoked paprika for 1 minute., Go in with the frozen mixed veg and a pinch of sea salt and pepper. Cook for 10 minutes, or until softened and lightly golden, stirring occasionally., Peel, deseed and chop the butternut squash into 1.5cm chunks, then peel and finely chop the garlic. Add everything to the pan along with the balsamic vinegar, stirring for 1 minute, then add the beans (juices and all)., Preheat the oven to 180°C/350°F/gas 4. Tip in the tomatoes, breaking them up with the back of your spoon, then half-fill each tin with water, swirl around and pour into the pan., Bring to the boil, then cover with a lid and bake in the oven for 1 hour 30 minutes, or until the squash is tender and the sauce is slightly thickened, removing the lid for the final 30 minutes and adding splashes of water, if needed., Once the time’s up, gently mash around a third of the chilli, until some of the beans are squashed into the sauce, then give everything a good stir. Taste and season to perfection, tweaking with a little balsamic vinegar and extra virgin olive oil, if you like. Pick over the coriander leaves and serve with fluffy rice, dollops of yoghurt and a fresh green salad."
Lamb balti | Jamie Oliver recipes,"Roasted butternut squash, yoghurt-marinated lamb","https://img.jamieoliver.com/jamieoliver/recipe-database/134449898.jpg?tr=w-800,h-1066","['to', '6']",30 minutes,,235,15.5g,6g,6.7g,0.7g,12.6g,10.3g,-g,"1                                                                                                                                                                medium                                                                                                                                                                butternut squash, ½                                                                                                                                                                a jar of                                                                                                                                                                 balti curry paste, 500                                                                                                                                                                g                                                                                                                                                                lamb neck fillet, 1                                                                                                                                                                                                                    lime, 1 x 500                                                                                                                                                                g                                                                                                                                                                tub of Greek yoghurt, groundnut oil, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 4cm                                                                                                                                                                                                                     piece of ginger, 1                                                                                                                                                                                                                    fresh red chilli, 1                                                                                                                                                                                                                    onion, 2 x 400                                                                                                                                                                g                                                                                                                                                                tins of quality plum tomatoes, a few                                                                                                                                                                                                                    sprigs of fresh coriander","Preheat the oven to 200ºC/400ºF/gas 6., Scrub 1 medium butternut squash, cut into 4cm chunks, then toss with ½ a jar of balti curry paste and roast in the oven for 30 minutes, or until tender., Dice 500g of lamb neck fillet into 2cm pieces, then tip into a bowl. Finely grate over the zest of 1 lime and squeeze over the juice, then stir through most of a 500g tub of Greek yoghurt, keeping some back to serve. Leave to marinate for around 30 minutes., After the squash has had 15 minutes in the oven, add a good lug of groundnut oil to a large pan on a medium heat., Peel and slice 2 cloves of garlic and a 5cm piece of ginger, then finely slice 1 fresh red chilli (deseed if you like). Tip into the pan and fry for a few minutes., Reduce the heat to low, then peel and finely slice 1 onion and add to the pan. Cook for 10 minutes, or until softened but not coloured., Tip in the roasted butternut squash and 2 x 400g of tins of plum tomatoes. Fill one of the tins with water and add that, too., Add the lamb along with a good pinch of sea salt and black pepper, then bring to the boil. Cover then simmer over a low heat for 1 hour, or until the lamb is tender, stirring occasionally., Pick and finely chop the leaves from a few sprigs of fresh coriander, to garnish. Delicious served with fluffy rice or naan bread, and the remaining yoghurt on the side."
"Mild chicken, chickpea & squash curry | Jamie Oliver recipes",Yoghurt ripple & mango chutney,"https://img.jamieoliver.com/jamieoliver/recipe-database/134655538.jpg?tr=w-800,h-1066","['to', '6']",In40 minutes,"“Perfect for the whole family, this mild and healthy curry is a real weeknight winner, and a great introduction to spice for little ones. Boasting 4 of your 5-a-day, it ticks the boxes on the veg front, but also saves on the amount of chicken you need to buy – double win! ”",430,17.2g,3.1g,18.4g,1.1g,32.9g,36.9g,11.5g,"600                                                                                                                                                                g                                                                                                                                                                butternut squash, 2                                                                                                                                                                                                                    onions, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (30g), vegetable oil, 2                                                                                                                                                                heaped tablespoons                                                                                                                                                                korma paste, 2                                                                                                                                                                                                                    free-range skinless chicken breasts, 50                                                                                                                                                                g                                                                                                                                                                ground almonds, 500                                                                                                                                                                ml                                                                                                                                                                organic chicken stock, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                chickpeas, mango chutney, 2                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt","Scrub 600g of butternut squash (deseed, if necessary) and peel 2 onions, then chop into rough 1cm chunks. Pick the leaves from 1 bunch of fresh coriander (30g), and finely chop the stalks., Drizzle 1 tablespoon of vegetable oil into a large casserole pan, add the squash, onions and coriander stalks, then cook for 15 minutes, stirring regularly., Stir in 2 heaped tablespoons of korma paste and cook for a further 5 minutes, or until the veg has started to soften., Slice 2 chicken breasts into 3cm chunks and add to the pan with 50g of ground almonds, stirring well to coat., Tip in 500ml of chicken stock and 1 x 400g tin of chickpeas (juices and all), then cook for 8 minutes, or until the chicken is cooked through and the sauce has thickened, stirring regularly., Stir most of the reserved coriander leaves through the sauce with 1 teaspoon of mango chutney, then season to taste with sea salt and black pepper., Ripple 2 tablespoons of natural yoghurt through the sauce and scatter over the reserved coriander leaves, then serve fluffy rice or naan bread, and extra mango chutney."
Cheat's squash pasta | Jamie Oliver recipes,Crispy garlicky breadcrumbs & Parmesan,"https://img.jamieoliver.com/jamieoliver/recipe-database/134449915.jpg?tr=w-800,h-1066","['Serves', '4']",40 minutes,"“For me, Jools and the kids, this is one of our go-to dinners for busy weeknights – super-silky pasta topped with crispy deliciousness – it’s guaranteed clean plates all round. The genius lies in having the whole roasted squash ready and waiting in the fridge, along with a packet of fresh lasagne sheets that can be sliced and cooked in just a matter of minutes. ”",569,12.6g,4.1g,11.6g,1.12g,22.2g,98.3g,8.1g,"1                                                                                                                                                                                                                    butternut squash                                                                                                                                                                , (1.2kg), 1                                                                                                                                                                                                                    ciabatta roll                                                                                                                                                                , (85g), ½                                                                                                                                                                                                                    a bunch of fresh thyme or rosemary                                                                                                                                                                , (15g), 1                                                                                                                                                                clove                                                                                                                                                                of garlic, olive oil, 500                                                                                                                                                                g                                                                                                                                                                fresh lasagne sheets, 50                                                                                                                                                                g                                                                                                                                                                Parmesan cheese                                                                                                                                                                , plus extra to serve, extra virgin olive oil, chilli oil                                                                                                                                                                , optional","Preheat the oven to 180°C/350°F/gas 4., Prick a butternut squash (1.2kg) all over with a sharp knife and roast for 1 hour 40 minutes. Remove from the oven and allow to cool – this can be done on the day, or even days before., Tear 1 ciabatta roll (85g) into a food processor and pick in ¼ of a bunch of fresh rosemary or thyme. Peel and add 1 clove of garlic, drizzle in 1 tablespoon of olive oil and blitz to breadcrumbs., Tip into a large frying pan and fry over a medium heat for 5 minutes, or until beautifully golden and crisp, stirring regularly, then tip into a bowl., Stack up 500g of fresh lasagne sheets, then cut into ½cm strips. Pick and finely chop ¼ of a bunch of fresh rosemary or thyme., Place the pan back on a medium heat, scoop in half the butternut squash flesh (save half for another day), removing any tough skin or seeds, drizzle in 1 tablespoon of olive oil and scatter in the chopped herbs. Fry for 2 to 3 minutes, breaking it up with a spoon as you go., Add the pasta to the pan, pour in 800ml of boiling kettle water and turn the heat up to high. Cook for 4 minutes, or until the pasta is cooked and has sucked up most of the liquid, stirring regularly, then turn off the heat., Meanwhile, finely grate 50g of Parmesan. Once the pasta is cooked, scatter the Parmesan into the pan, drizzle in 1 tablespoon of extra virgin olive oil and toss together. Taste and season to perfection with sea salt and black pepper., Divide the pasta between plates, scatter over the crispy breadcrumbs and top with an extra grating of Parmesan. Delicious finished with a drizzle of chilli oil, if you like."
Silky squash risotto | Jamie Oliver recipes,"With marjoram, Parmesan & butter","https://img.jamieoliver.com/jamieoliver/recipe-database/121936025.jpg?tr=w-800,h-1066","['Serves', '4']",20 minutes,"“Slow-roasted sweet squash, aromatic marjoram and nutty Parmesan come together to create this oozy, cheesy, sumptuous risotto that’s packed with glorious flavour.  ”",599,15.6g,6g,19.2g,0.8g,19.3g,95.6g,10.8g,"1                                                                                                                                                                                                                    butternut or acorn squash                                                                                                                                                                , (1.2kg), 1                                                                                                                                                                bunch of                                                                                                                                                                fresh marjoram                                                                                                                                                                , (20g), olive oil, 1.2                                                                                                                                                                litres                                                                                                                                                                quality vegetable or chicken stock, 1                                                                                                                                                                                                                    onion, 1                                                                                                                                                                stick of                                                                                                                                                                celery, 300                                                                                                                                                                g                                                                                                                                                                Arborio risotto rice, 150                                                                                                                                                                ml                                                                                                                                                                dry white wine, 200                                                                                                                                                                g                                                                                                                                                                Tenderstem broccoli, ½                                                                                                                                                                a                                                                                                                                                                lemon, extra virgin olive oil, 50                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, 1                                                                                                                                                                knob of                                                                                                                                                                unsalted butter","Preheat the oven to 180°C/350°F/gas 4. Scrub the squash (there’s no need to peel it), carefully halve it lengthways and deseed, then chop into 2cm chunks., Place the squash in a roasting tray, pick and chop most of the marjoram leaves, then toss with 1 tablespoon of olive oil and a pinch of sea salt and black pepper. Roast for 1 hour, or until soft and caramelised., With 20 minutes to go on the squash, simmer the stock over a low heat. Peel and finely chop the onion and celery, then place in a high-sided pan on a medium heat with ½ a tablespoon of olive oil. Cook for 10 minutes, or until softened but not coloured, stirring regularly, then stir in the rice to toast for 2 minutes., Pour in the wine and stir until absorbed. Add a ladleful of stock and wait until it’s been fully absorbed before adding another, stirring constantly and adding ladlefuls of stock until the rice is cooked – it will need 16 to 18 minutes., Remove the squash from the oven and mash up with a fork – I like to do half smashed and leave half chunky, then stir through the risotto about halfway through., Meanwhile, trim the broccoli, halving any larger stalks lengthways to help it cook evenly. Steam for 2 minutes, or until just cooked but still full of colour, then toss with the lemon juice and a drizzle of extra virgin olive oil, and season to perfection., When the risotto is done, add enough extra stock or boiling kettle water to make the risotto oozy, then finely grate in the Parmesan, and beat in with the butter., Cover the pan, turn off the heat and leave to relax for 2 minutes. Stir, season to perfection, then divide between your plates., Pick over the remaining marjoram and serve topped with the broccoli. Lovely."
Roasted veggie curry | Jamie Oliver recipes,Spiced spinach-stuffed naan,"https://img.jamieoliver.com/jamieoliver/recipe-database/106021898.jpg?tr=w-800,h-1066","['Serves', '8']",10 minutes,"“Roasting the veg before immersing them in a ridiculously tasty sauce really intensifies their natural flavour, giving you even more bang for your buck. I’ve kept things fairly gentle on the spice front so that all my kids will give it a go, but feel free to add extra heat, if you like. I’m also giving you a cheat’s naan, which all my kids fight over. We’re using it as a vehicle to really bring spinach to life, but feel free to stuff with another veg of your choice, or to not stuff it at all! If you’re feeding fewer than 8 people, leftover portions of this curry freeze really well (see tip), so fill your boots.  ”",345,13.6g,6g,12.6g,1.6g,10.7g,47.8g,6.6g,"1                                                                                                                                                                heaped teaspoon                                                                                                                                                                Madras curry paste, olive oil, red wine vinegar, 1                                                                                                                                                                                                                    parsnip, 2                                                                                                                                                                                                                    carrots, ½                                                                                                                                                                                                                    a butternut squash                                                                                                                                                                , (600g), 1                                                                                                                                                                                                                    courgette, 200                                                                                                                                                                g                                                                                                                                                                frozen cauliflower, 4                                                                                                                                                                cm                                                                                                                                                                piece of ginger, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2                                                                                                                                                                tablespoons                                                                                                                                                                mango chutney, 1 x 400                                                                                                                                                                g                                                                                                                                                                tin of plum tomatoes, 1 x 400                                                                                                                                                                g                                                                                                                                                                tin of light coconut milk, 100                                                                                                                                                                g                                                                                                                                                                frozen peas, STUFFED NAAN, 1                                                                                                                                                                small knob of                                                                                                                                                                unsalted butter, 6                                                                                                                                                                                                                    cloves, ½                                                                                                                                                                                                                    a cinnamon stick, 1                                                                                                                                                                small                                                                                                                                                                leek, 300                                                                                                                                                                g                                                                                                                                                                frozen spinach, 2                                                                                                                                                                mugs (600g) of                                                                                                                                                                self-raising flour                                                                                                                                                                , plus extra for dusting, 100                                                                                                                                                                g                                                                                                                                                                feta cheese","Preheat the oven to 200ºC/400ºF/gas 6., In a large roasting tray, mix the curry paste with a pinch of sea salt, 2 tablespoons of oil and 1 tablespoon of vinegar., Wash the parsnip, carrots and butternut squash (we’re leaving the skins on). Quarter the parsnip lengthways, remove the fluffy core and chop into bite-sized chunks (about 2cm), adding to the tray as you go., Repeat with the courgette, then chop up the carrots. Deseed the squash and chop to a similar size. Get it all in the tray with the cauliflower and mix until well coated., Roast the veg for 40 to 50 minutes, or until golden, gnarly and cooked through., Meanwhile, for the sauce, put a large shallow casserole pan on a medium heat. Peel and finely chop the ginger and garlic, and place in the pan with 1 tablespoon of oil, stirring regularly., As soon as it starts to colour, stir in the mango chutney. Let it sizzle for a minute, then pour in the tomatoes, breaking them up with your spoon. As soon as they start to bubble, add the coconut milk. Bring it to the boil, then turn off the heat., To make the naans, melt the butter in a large non-stick ovenproof frying pan on a medium heat, then add the cloves and cinnamon stick., Trim the leek and quarter lengthways, wash, finely slice and add to the pan, followed by the spinach. Stir regularly, until dark, dry and intense, then remove and leave to cool., Pour the flour into a large bowl with a pinch of salt, make a well in the middle and add 1 mug (300ml) of water (using the same mug you used to measure your flour, a regular cup is fine) and 1 tablespoon of oil. Use a fork to gradually mix the flour into the liquid, until it gets too hard to mix., At this point, use your clean floured hands to knead the dough on a flour-dusted surface for a couple of minutes, adding a little extra flour, if needed. You want it to be pliable so don’t add too much flour, but it shouldn’t be sticking to your work surface., Now, oil your surface, then stretch and push the dough out into a 30cm circle. Crumble the feta over the cool spinach mixture and mix together, then place in the middle of the dough, leaving a 5cm border at the edge., Fold in the dough over the filling, patting it together as you go and sealing the filling inside, then pat out to just under 25cm. Wipe out your frying pan, then gently lift the naan into it., Cook the naan at the bottom of the oven for 20 to 25 minutes, or until golden and crisp on the outside, fluffy in the middle., A few minutes before you’re ready to serve, bring the sauce back to a simmer, then add all the roasted veg and the frozen peas, and simmer until the peas are cooked and the sauce is a good consistency., Slice up your naan and serve up with your curry at the table. Nice with a dollop of yoghurt and any chutney or pickles, if you like."
