Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Roasted cauliflower | Jamie Oliver recipes,Cheat's romesco sauce & crushed roasted almonds,"https://img.jamieoliver.com/jamieoliver/recipe-database/154403196.jpg?tr=w-800,h-1066","['Serves', '4']",In45 minutes,"“Life is better with romesco sauce in it! Whether you’re using it to celebrate beautiful vegetables, like this cauliflower, or eating it with fish, poultry or lamb, it’s a joy to make and a pleasure to eat. ”",286,15.7g,1.9g,9.8g,0.8g,11.1g,25.2g,4.5g,"1 head of cauliflower (800g), 4 cloves of garlic, 100g sourdough bread, 50g blanched almonds, 1 x 460g jar of roasted red peppers",
Cauliflower cheese spaghetti | Jamie Oliver recipes,With garlicky breadcrumbs,"https://img.jamieoliver.com/jamieoliver/recipe-database/142835953.jpg?tr=w-800,h-1066","['Serves', '4']",In30 minutes,"“Who doesn’t love a quick pasta? This lovely little number is all about keeping costs down and ramping up flavour. I’ve taken my favourite side dish (the iconic cauliflower cheese) and turned it into something a little bit grown-up. Frozen cauliflower works so well here to create a creamy, elegant sauce in no time at all – trust me.  ”",550,18.4g,7.7g,11.6g,0.7g,24.7g,75.6g,5.2g,"400                                                                                                                                                                g                                                                                                                                                                frozen cauliflower florets, 1                                                                                                                                                                                                                    leek, olive oil, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                slice of                                                                                                                                                                stale crusty white bread (50g), 20                                                                                                                                                                g                                                                                                                                                                mixed nuts, 1                                                                                                                                                                pinch of                                                                                                                                                                dried thyme, 1                                                                                                                                                                tablespoon                                                                                                                                                                plain flour, 400                                                                                                                                                                ml                                                                                                                                                                semi-skimmed milk, 100                                                                                                                                                                g                                                                                                                                                                mature Cheddar cheese, 300                                                                                                                                                                g                                                                                                                                                                dried spaghetti","Place the frozen cauliflower into a microwave-proof bowl. Trim off the white part of the leek (putting the green top aside for later), add to the bowl and cook in the microwave on high (800W) for 10 minutes, or until the cauliflower is defrosted and the leek has softened., Meanwhile, place a large non-stick frying pan on a medium-high heat with 1 tablespoon of olive oil. Peel, finely slice and stir in 1 clove of garlic and cook for 2 minutes, or until golden, then very finely slice and add the green leek top. Roughly chop the bread to create rustic breadcrumbs, add to the pan and fry for 5 minutes, or until starting to crisp up, stirring occasionally. Finely chop and add the nuts, stirring until toasted, then transfer everything to a plate., Return the pan to the heat with 1 teaspoon of oil. Peel, finely slice and add the remaining garlic and fry for 2 minutes, or until golden. Slice and add the softened white part of the leek, then stir through the dried thyme and softened cauliflower., Stir the flour into the pan, then gradually add the milk, a ladleful at a time, stirring continuously until you have a smooth sauce. Remove from the heat, then either blitz it with a hand blender until silky smooth, or use a potato masher to mash everything together to create a rustic sauce. Grate in most of the cheese, stirring gently to combine., Cook the pasta in a pan of salted boiling water according to the packet instructions, then drag it straight into the sauce, taking a little cooking water with it. Toss together, adding a splash of starchy cooking water to loosen, if needed., Divide between plates, sprinkling over the crispy breadcrumbs and grating over the reserved cheese, to serve."
Air-fryer cauliflower curry | Jamie Oliver recipes,With coconut & onion rotis,"https://img.jamieoliver.com/jamieoliver/recipe-database/142609575.jpg?tr=w-800,h-1066","['Serves', '4']",,,,,,,,,,,"1                                                                                                                                                                head of                                                                                                                                                                cauliflower, 6                                                                                                                                                                tablespoons                                                                                                                                                                neutral oil, 1½                                                                                                                                                                teaspoons                                                                                                                                                                turmeric, 1½                                                                                                                                                                teaspoons                                                                                                                                                                chilli powder, 2                                                                                                                                                                tablespoons                                                                                                                                                                Madras curry powder, ½                                                                                                                                                                a stick of                                                                                                                                                                cinnamon, ¾                                                                                                                                                                teaspoon                                                                                                                                                                cumin seeds, 1                                                                                                                                                                                                                    small red onion                                                                                                                                                                , finely chopped (approx 100g), 2                                                                                                                                                                cloves of                                                                                                                                                                garlic                                                                                                                                                                , minced, 1                                                                                                                                                                stalk of                                                                                                                                                                curry leaves (10-12 leaves), 300                                                                                                                                                                ml                                                                                                                                                                coconut milk, 100                                                                                                                                                                g                                                                                                                                                                frozen peas, ¾                                                                                                                                                                teaspoon                                                                                                                                                                granulated sugar, COCONUT & ONION ROTIS, , 250                                                                                                                                                                g                                                                                                                                                                plain flour, 1                                                                                                                                                                teaspoon                                                                                                                                                                salt, 1                                                                                                                                                                                                                    small red onion                                                                                                                                                                , finely sliced (approx 100g), 10-12                                                                                                                                                                 curry leaves (1 stalk)                                                                                                                                                                , finely chopped (1g), 100                                                                                                                                                                ml                                                                                                                                                                coconut milk, 20-30ml                                                                                                                                                                warm water                                                                                                                                                                , or more or less as required","Slice up the cauliflower into chunks or 1-inch thick steaks, reserving the leaves and any tiny florets and trimmings. Roughly chop up the leaves into ½cm pieces, discarding any thick woody stems., Mix 5 tablespoons of oil with 1 teaspoon each of turmeric and chilli powder, along with 1 tablespoon of curry powder and ½ a teaspoon of salt. Rub this marinade all over the steaks, reserving a small amount to lightly toss through the leaves and florets., Air-fry the steaks at 190°C for 15 minutes, until cooked through. If your air-fryer has a basket rather than shelves, you should turn the steaks over halfway through cooking. If after 15 minutes you need more colour on the cauliflower, raise the temperature to 200°C and cook for an extra 4 to 6 minutes., Meanwhile, mix the flour, salt, sliced red onion, chopped curry leaves and coconut milk together in a large mixing bowl and gradually add warm water, a little at a time as required, to bring together as a cohesive dough that is soft, but does not stick to your hands. The dough should have the consistency of playdough. Knead for about 3 minutes by hand until it all comes together. Leave to rest at room temperature, covered with a damp towel for about 10 minutes., Lay the florets and leaves on parchment and cook for 8 to 10 minutes at 200°C to crisp them up, then leave them aside (this can be done along with the steaks if you have a multi-level air-fryer) while you make the curry., Heat 1 tablespoon of oil in a saucepan over a medium heat. Add the cinnamon stick and cumin seeds to it. Fry for 20 to 30 seconds, being careful not to burn the delicate seeds., Add the onion and garlic along with a pinch of salt and cook on a medium-low heat until they are very soft and translucent, approximately 10 to 12 minutes., Now add the curry leaves (along with the stalks and all) and remaining ground spices. Fry for 20 seconds and then add the coconut milk. Add the frozen peas to the sauce and simmer for 5 to 8 minutes on a medium heat, then season with salt and sugar to your taste., To make the rotis, divide the dough into 4 balls and roll out into discs approximately 5mm thick. I prefer a slightly rough, natural look rather than perfect circles, the key is to ensure they are of the same thickness across to ensure they cook evenly., Heat a dry non-stick pan over a high heat and then reduce heat to medium and cook the rotis for 4 to 6 minutes, flipping halfway through. The key is not to use oil or fat when cooking the rotis and to cook them on a hot dry pan, so they roast as opposed to fry., Pour the sauce over the cauliflower steaks just before serving, garnish with the florets and serve with the warm rotis on the side."
Whole roasted spiced cauli | Jamie Oliver recipes,With green lentils & black eyed peas,"https://img.jamieoliver.com/jamieoliver/recipe-database/134449907.jpg?tr=w-800,h-1066","['Serves', '6']",15 minutes,"“Served with a beautiful whole roasted cauliflower in the centre, this versatile dinner is delicious mopped up with bread, or with a spoonful of fluffy rice. ”",320,6g,1.6g,15g,0.45g,19.5g,47g,14.5g,"½                                                                                                                                                                a bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (15g), 400                                                                                                                                                                g                                                                                                                                                                chopped mixed onion, carrot and celery, olive oil, 1                                                                                                                                                                small                                                                                                                                                                cauliflower                                                                                                                                                                , (600g), 2                                                                                                                                                                teaspoons                                                                                                                                                                smoked paprika, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                madras curry paste, 2 x 400                                                                                                                                                                g tin of                                                                                                                                                                green lentils, 2 x 400                                                                                                                                                                g tin of                                                                                                                                                                blackeye beans, 3                                                                                                                                                                tablespoons                                                                                                                                                                mango chutney                                                                                                                                                                , plus extra to serve","Preheat the oven to 200°C/400ºF/gas 6., Pick the leaves from ½ a bunch of fresh coriander (15g) and reserve for later, then finely chop the stalks., Put a large, shallow non-stick casserole pan on a medium heat with 1 tablespoon of olive oil. Add 400g of chopped mixed onion, carrot and celery with the coriander stalks and cook for 10 minutes, stirring regularly, or until softened., Click off and discard the tatty outer leaves from 1 small cauliflower (600g), then, keeping it whole, use a sharp knife to carefully slice a cross deep into the stalk for even cooking., Rub the cauli all over with 2 teaspoons of smoked paprika and 2 heaped tablespoons of madras curry paste, then place it in the pan with the veg. Add a good splash of water, then transfer to the oven for 30 minutes., Remove from the oven and stir in 2 x 400g tins of green lentils and 1 x tin of blackeye beans (juices and all) with 1½ tins of water and 3 tablespoons of mango chutney, then return to the oven for 30 minutes., Remove the cauliflower to a plate, gently mash half of the beans and lentils to thicken slightly and season to perfection, tasting and tweaking., Sit the cauliflower back in the middle of the pan and slice into 6 wedges. Sprinkle over the coriander leaves and serve with extra mango chutney and yoghurt (if using). Delicious drizzled with a temper (see tips) and served with warmed flatbreads."
Creamy paneer & veg curry | Jamie Oliver,Box grater salad & coconut pancakes,"https://img.jamieoliver.com/jamieoliver/recipe-database/118092355.jpg?tr=w-800,h-1066","['Serves', '8']",10 minutes,"“Inspired by tikka masala, this beautiful curry is destined to become your new Friday night favourite. The grilling here is super-important, as you want your paneer and veg to get nice and charred and take on those smoky flavours. Take the same time over it as you would cooking meat and you’ll have something truly special on your plate. 
 ”",418,22.7g,11.3g,15.2g,0.6g,18.1g,38.1g,6.4g,"olive oil, 1                                                                                                                                                                teaspoon                                                                                                                                                                ground turmeric, 1                                                                                                                                                                teaspoon                                                                                                                                                                cumin seeds, 1                                                                                                                                                                                                                    lemon, 2                                                                                                                                                                                                                    red onions, 2                                                                                                                                                                                                                    mixed-colour peppers, 6                                                                                                                                                                                                                    mixed-colour fresh chillies, ½                                                                                                                                                                 a head of                                                                                                                                                                cauliflower                                                                                                                                                                , (400g), 200                                                                                                                                                                g                                                                                                                                                                paneer cheese, groundnut oil, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh curry leaves                                                                                                                                                                , (15g), 4                                                                                                                                                                cloves of                                                                                                                                                                garlic, 5                                                                                                                                                                cm piece of                                                                                                                                                                ginger, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                garam masala, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                paprika, 50                                                                                                                                                                g whole                                                                                                                                                                blanched almonds, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                quality plum tomatoes, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                chickpeas, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                light coconut milk, 1                                                                                                                                                                tablespoon                                                                                                                                                                mango chutney, SALAD, 2                                                                                                                                                                                                                    carrots, 1                                                                                                                                                                                                                    cucumber, ¼                                                                                                                                                                of a                                                                                                                                                                 red cabbage, ¼                                                                                                                                                                of a                                                                                                                                                                 white cabbage, 5                                                                                                                                                                cm piece of                                                                                                                                                                ginger, 1                                                                                                                                                                                                                    lime, ½                                                                                                                                                                 a bunch of                                                                                                                                                                fresh coriander (15g), PANCAKES, 1                                                                                                                                                                mug of                                                                                                                                                                self-raising flour, 1                                                                                                                                                                tablespoon                                                                                                                                                                black mustard seeds, 50                                                                                                                                                                g                                                                                                                                                                creamed coconut","Drizzle 1 tablespoon of olive oil into a large roasting tray, then sprinkle over a pinch of sea salt and black pepper, the turmeric and cumin seeds. Finely grate over the lemon zest and squeeze in the juice., Peel and quarter one of the onions, then break into petals. Deseed and roughly tear the peppers into similar-sized chunks, then place it all into the roasting tray with the whole chillies., Break the cauliflower into florets and cut the paneer into 2.5cm cubes, then add to the tray and toss everything together. Thread the ingredients onto skewers (soaked, if wooden), alternating them as you go., Preheat the grill to full whack, then cook the skewers for 15 minutes, or until golden and gnarly, turning regularly., Drizzle 1 tablespoon of groundnut oil into a large non-stick frying pan over a medium heat, pick in the curry leaves and fry until crispy, then remove to a plate, leaving the flavoured oil behind., Peel and roughly chop the remaining onion, as well as the garlic and ginger. Place in the pan with the garam masala, paprika and almonds and cook for 5 minutes, or until softened. Tip into a blender with the tinned tomatoes and blitz to a smooth sauce., Pour the sauce back into the pan, add the chickpeas, most of the coconut milk and the mango chutney, then season to perfection and simmer for 10 minutes, or until thickened., Meanwhile, make the salad. Trim the carrots, cucumber and cabbages as necessary, then coarsely grate on a box grater. Peel and finely grate the ginger, then place it all on a platter, squeeze over the lime juice and pick over the coriander leaves., To make the pancakes, combine the flour and 1 mug of water in a bowl with the mustard seeds. Grate in the creamed coconut and whisk well. Place a small non-stick frying pan on a medium heat, rub with a little groundnut oil, then pour in a thin layer of batter, swirling it up and around the edges. Cook on one side only for 2 minutes, or until lightly golden, then stack up on a serving plate and repeat with the remaining batter., Cut the paneer and veg from the skewers straight into the curry, simmer for a further 10 minutes, then drizzle over the remaining coconut milk and sprinkle with the crispy curry leaves. Toss the salad together, then bring everything to the table, and tuck in."
Merry mac ’n’ cauliflower cheese | Jamie Oliver recipes,"Fresh thyme, nutmeg, garlic & red Leicester","https://img.jamieoliver.com/jamieoliver/recipe-database/116780535.jpg?tr=w-800,h-1066","['a', 'side']",In1 hour,"“In the Oliver household, Christmas isn’t Christmas without a molten cheesy number in the mix, and this comforting-hug-of-a-recipe is a thing of beauty. I’ve used red Leicester cheese this time round, but feel free to swap in your favourites or opt for a blend – Parmesan, Gruyère or a little blue all make fantastic additions. It’s a great reheater, too (see our tips box below). ”",307,16g,7.7g,3.8g,0.5g,13.3g,33.3g,3g,"1                                                                                                                                                                head of                                                                                                                                                                cauliflower                                                                                                                                                                , (800g), 250                                                                                                                                                                g                                                                                                                                                                dried macaroni, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2                                                                                                                                                                                                                    spring onions, ½                                                                                                                                                                a bunch of                                                                                                                                                                 fresh thyme                                                                                                                                                                , (10g), 30                                                                                                                                                                g                                                                                                                                                                unsalted butter, olive oil, 1                                                                                                                                                                whole                                                                                                                                                                nutmeg                                                                                                                                                                , for grating, 50                                                                                                                                                                g                                                                                                                                                                plain flour, 800                                                                                                                                                                ml                                                                                                                                                                semi-skimmed milk, 1                                                                                                                                                                teaspoon                                                                                                                                                                English mustard, 200                                                                                                                                                                g                                                                                                                                                                red Leicester cheese","Preheat the oven to 180°C/350°F/gas 4., Click off and discard any tatty outer leaves from the cauliflower, then cook whole in a large high-sided pan of boiling water for 5 minutes. Tip in the macaroni and cook for a further 5 minutes, then drain and steam dry., Peel and finely slice the garlic, trim and finely slice the spring onions and strip the thyme leaves, then place in a large non-stick frying pan with the butter and 1 tablespoon of oil. Cook for a few minutes, or until softened, then finely grate in half the nutmeg., Stir in the flour and cook for 2 minutes, then gradually add the milk, stirring continuously. Bring to the boil, then reduce to a simmer for 5 minutes, or until starting to thicken, stirring occasionally., Remove from the heat, add the mustard and coarsely grate in the cheese, then stir to combine., Remove the stalk and leaves from the cauliflower, finely chop and place in a round ovenproof baking dish (roughly 25cm). Sit the whole cauliflower on top., Spoon the cooked pasta in and around the cauliflower, then pour the sauce all over on top, gently mixing to coat the pasta., Bake for 30 minutes, or until golden and bubbling."
Spiced cauliflower rice pie | Jamie Oliver pie recipes,"Poppadoms, onions, fresh chilli, coriander & yoghurt","https://img.jamieoliver.com/jamieoliver/recipe-database/109469713.jpg?tr=w-800,h-1066","['Serves', '6']",In45 minutes,"“Full of colour and flavour, this dish is kind of like a veggie curry, but turned out into the most impressive rice cake. You’ve got a crunchy, golden outside that contrasts beautifully with the delicate, fluffy rice and tender cauliflower florets inside. I’ve also added a curveball ingredient inspired by a trip to Delhi, where I saw street-food vendors doing the most incredible things with poppadoms. This is food that just makes me happy.   ”",279,13.1g,2.2g,7.5g,4.5g,7.9g,33.3g,1g,"2                                                                                                                                                                                                                    onions, olive oil, 1                                                                                                                                                                head of                                                                                                                                                                cauliflower                                                                                                                                                                , (800g), 3                                                                                                                                                                tablespoons                                                                                                                                                                tikka curry paste, 1                                                                                                                                                                mug of                                                                                                                                                                basmati rice                                                                                                                                                                , (300g), 3                                                                                                                                                                                                                    fresh mixed-colour chillies, 6                                                                                                                                                                                                                    uncooked poppadoms, 1                                                                                                                                                                bunch of                                                                                                                                                                coriander                                                                                                                                                                , (30g), 6                                                                                                                                                                 tablespoons                                                                                                                                                                natural yoghurt, extra virgin olive oil",
Harissa cauliflower traybake | Recipes | Jamie Oliver,"Peppers & tomatoes, fluffy couscous & mint-rippled yoghurt","https://img.jamieoliver.com/jamieoliver/recipe-database/109469715.jpg?tr=w-800,h-1066","['Serves', '4']",20 minutes,,513,14g,2.7g,19.2g,1.4g,18.9g,82.4g,10.8g,"1                                                                                                                                                                                                                    head of cauliflower (800g), 3                                                                                                                                                                                                                    mixed-colour peppers, 400                                                                                                                                                                g                                                                                                                                                                ripe tomatoes, 1                                                                                                                                                                                                                    bulb of garlic, olive oil, red wine vinegar, 2                                                                                                                                                                heaped tablespoons                                                                                                                                                                rose harissa, 300                                                                                                                                                                g                                                                                                                                                                couscous, 1                                                                                                                                                                bunch of                                                                                                                                                                mint (30g), 8                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt","Preheat the oven to 220°C/425°F/gas 7., Click off and discard only the tatty outer leaves from the cauliflower, then cut it into quarters. Quarter the peppers and halve the tomatoes, removing and discarding the seeds. Break the unpeeled garlic bulb into cloves. Mix it all in a large sturdy roasting tray with 2 tablespoons each of olive oil and red wine vinegar, the harissa, a pinch of sea salt and black pepper and a good splash of water., Cover the tray tightly with tin foil, put it on a medium heat on the hob, and when it starts to sizzle, transfer it to the oven for 40 minutes., Get the tray out of the oven, remove the foil, tilt the tray and spoon all the delicious juices into a little jug for later. Return the tray to the oven for 20 minutes, to get golden., Place the couscous in a bowl, add a pinch of salt and pepper, then just cover with boiling kettle water, and cover., Pick most of the mint leaves into a blender, blitz with 6 tablespoons of yoghurt until smooth, then ripple it back through the remaining yoghurt., Fluff up the couscous. Warm the reserved juices. Squeeze the soft garlic out of the skin. Serve it all together, sprinkled with mint leaves."
