Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Epic egg in a hole | Jamie Oliver recipes,Crispy sausage & oozy cheese,"https://img.jamieoliver.com/jamieoliver/recipe-database/155063080.jpg?tr=w-800,h-1066","['Serves', '1']",In15 minutes,"“If you’re in need of a pick-me-up, this one-pan wonder ticks a lot of boxes. We’re talking crispy golden sausage, soft, steamed bagel, beautiful egg and melted cheese – yes, it’s a little eccentric, but it’s also totally delicious.
 ”",588,32.5g,13.9g,5.4g,2.2g,32.1g,41.3g,2.8g,"1                                                                                                                                                                                                                    bagel, 1                                                                                                                                                                large                                                                                                                                                                higher-welfare sausage, 1                                                                                                                                                                medium                                                                                                                                                                free-range egg, 30                                                                                                                                                                g                                                                                                                                                                Cheddar cheese, tomato ketchup and/or brown sauce                                                                                                                                                                , to serve (optional)","Use your thumbs to make the centre hole of the bagel as big as an egg yolk., Squeeze the sausage out of its skin and press the meat onto one side of the bagel, leaving a gap in line with the hole., Place the bagel sausage-side down in a large non-stick frying pan on a medium-low heat and cook for 1 minute., Crack the egg into the hole, season with a pinch of black pepper, then add a splash of water to the pan and cover with a lid. Cook for 8 minutes, or until the sausage has crisped up., Remove the lid and coarsely grate over half the cheese, then use a fish slice to confidently flip the bagel., Grate the remaining cheese onto the sausage, pop the lid back on the pan and cook covered on a low heat for 4 more minutes, or until the cheese has melted. Serve with tomato ketchup and/or brown sauce."
Island salad | Jamie Oliver recipes,"Sticky peaches, halloumi web & pickled cucumber","https://img.jamieoliver.com/jamieoliver/recipe-database/152011204.jpg?tr=w-800,h-1066","['Serves', '2']",In15 minutes,"“Whenever I’ve visited the Greek islands, I’ve been inspired by wonderful fresh and fruity halloumi salads, so I’ve had some fun here creating little webs of golden crispy halloumi that just eat so well. ”",361,15.2g,6g,12.3g,1.3g,15.9g,39.8g,4.1g,"1 cucumber, 2 pittas, 1 x 415g tin of sliced peaches in juice, 120g mixed salad leaves, 60g halloumi cheese",
Cheese puffs | Jamie Oliver recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/126287812.jpg?tr=w-800,h-1066","['Serves', '8']",,"“I’m gonna say the C word, canapé. I had my first one at the age of 13 when I was doing work experience in this beautiful restaurant called The Starr in Dunmow. The food was excellent and they would always start the customer’s experience with a drink and something to nibble. It was totally logical and exciting – pairing a glass of something delicious with something salty and textured is, for me, the perfect combo. This is my expression of the first canapé I tried, all those years ago. ”",220,14g,7.9g,0.4g,0.7g,10g,14.8g,0.6g,"50                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, 100                                                                                                                                                                g                                                                                                                                                                Lincolnshire Poacher or Cheddar cheese, 50                                                                                                                                                                g                                                                                                                                                                unsalted butter, 100                                                                                                                                                                g                                                                                                                                                                plain flour, 50                                                                                                                                                                g                                                                                                                                                                fine semolina, 3                                                                                                                                                                                                                    large free-range eggs",
Baked cheese | Jamie Oliver recipes,"Studded with garlic, rosemary & cranberries","https://img.jamieoliver.com/jamieoliver/recipe-database/116870661.jpg?tr=w-800,h-1066","['Serves', '4']",In35 minutes,"“Tunworth is a creamy, Camembert-style cheese – it smells fabulously funky and tastes intense, rich and savoury. You can bake this studded beauty straight away to enjoy as a festive starter, or give your embellished cheese as a gift that's ready to cook. Simply pop it back in the box once you've studded it, and finish it with a gift tag that has the cooking instructions on. Oh, and remember to keep it in the fridge (not under the tree!). ”",207,16.6g,9.1g,0.3g,1g,13.9g,0.5g,0.1g,"1 x 250                                                                                                                                                                g round of                                                                                                                                                                Tunworth cheese, 1                                                                                                                                                                sprig of                                                                                                                                                                fresh rosemary, a few                                                                                                                                                                dried cranberries, 1                                                                                                                                                                small clove of                                                                                                                                                                garlic, 1                                                                                                                                                                                                                    fresh red chilli, 2                                                                                                                                                                                                                    shelled walnuts, olive oil","Preheat the oven to 180°C/350°F/gas 4., Leaving a 1cm rim around the edge, cut the rind off the top of the cheese, and discard., Poke the rosemary sprig and cranberries into the cheese. Peel the garlic, then finely slice with the chilli, and poke those in, too., Roughly chop or bash the walnuts in a pestle and mortar, and use them to fill in the gaps, then drizzle with 1 teaspoon of oil., Cut out a round of greaseproof paper and place in the bottom of the box, pop the cheese back on top (this will prevent any cheese from escaping as it cooks), then bake with the lid off for around 15 minutes, or until beautifully gooey. Delicious served with toasted sourdough or crunchy crudités, for dunking."
Asparagus quiche & soup | Jamie Oliver Asparagus recipes,"Wholemeal pastry, thyme, ricotta & Cheddar","https://img.jamieoliver.com/jamieoliver/recipe-database/92507804.jpg?tr=w-800,h-1066","['Serves', '8']",plus chilling,,514,30.4g,15.4g,6.3g,1.1g,23.1g,39.7g,5.5g,"125                                                                                                                                                                g                                                                                                                                                                plain flour, 125                                                                                                                                                                g                                                                                                                                                                wholemeal flour, 125                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , (cold), 7                                                                                                                                                                large                                                                                                                                                                free-range eggs, 1                                                                                                                                                                kg                                                                                                                                                                asparagus, olive oil, 2                                                                                                                                                                large                                                                                                                                                                potatoes, 2                                                                                                                                                                                                                    onions, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh thyme                                                                                                                                                                , (15g), 1.5                                                                                                                                                                litres                                                                                                                                                                 organic vegetable stock, 150                                                                                                                                                                g                                                                                                                                                                ricotta cheese, 150                                                                                                                                                                g                                                                                                                                                                mature Cheddar cheese","Preheat the oven to 180ºC/350ºF/gas 4., Tip the flours into a bowl with a good pinch of sea salt, then chop and rub in the butter. Make a well in the middle, crack in one of the eggs, add 2 tablespoons of cold water, then mix, pat and bring together., Place between two large sheets of greaseproof paper, flatten to 1.5cm thick and chill in the fridge for 30 minutes., Roll out the pastry between the sheets of greaseproof, then line a 25cm loose-bottomed tart tin with the pastry, easing and pushing it carefully into the sides and letting the pastry scruffily hang right over the sides (this will stop it shrinking). Prick the base all over with a fork and bake for 20 minutes, or until lightly golden, then trim off the excess pastry (sometimes I don’t bother as people seem to love the crispy bits)., Halve the asparagus spears, saving the tips for the quiche. Chop and place the rest in a large pan over a medium heat with 1 tablespoon of oil., Peel, roughly chop and add the potatoes and onions and strip in half the thyme leaves, and cook for 15 minutes, or until lightly golden, stirring regularly., Pour in the stock, bring to the boil, then simmer for 15 minutes. Whiz with a stick blender until smooth, pass through a sieve, then season to taste with salt and black pepper., While the soup is on the go, beat the remaining eggs in a bowl with a pinch of salt and pepper and the ricotta, then grate in the Cheddar and pick in the remaining thyme leaves., Chop and add the reserved asparagus tips, then stir into the egg mixture and tip into the tart case., Bake for 40 minutes, or until beautifully golden. I like to serve the quiche and soup together – it’s a wonderful meal."
Cauliflower cheese pizza pie | Jamie Oliver pizza recipes,"Oozy melty cheesy white sauce, super-crispy crust","https://img.jamieoliver.com/jamieoliver/recipe-database/92507806.jpg?tr=w-800,h-1066","['to', '6']",plus proving,"“Roast it, fry it, steam it… Or put it on a pizza! Cauliflower never disappoints. For a unique take on this versatile vegetable, whip up this gorgeous, comforting pizza pie. ”",872,28.4g,15.8g,16.4g,1.5g,34.2g,128.4g,8.3g,"1 x 7                                                                                                                                                                g sachet of                                                                                                                                                                dried yeast, 550                                                                                                                                                                g                                                                                                                                                                strong bread flour                                                                                                                                                                , plus extra for dusting, olive oil, 1                                                                                                                                                                                                                    onion, 50                                                                                                                                                                g                                                                                                                                                                unsalted butter, 4                                                                                                                                                                                                                    fresh bay leaves, 2                                                                                                                                                                teaspoons                                                                                                                                                                English mustard, 700                                                                                                                                                                ml                                                                                                                                                                semi-skimmed milk, 1                                                                                                                                                                small head of                                                                                                                                                                cauliflower                                                                                                                                                                , ideally with leaves (600g), 120                                                                                                                                                                g                                                                                                                                                                mature Cheddar cheese","Whisk the yeast into 300ml of lukewarm water, leave for 2 minutes, then pour into a large bowl with 500g of the flour and a really good pinch of sea salt. Mix up as best you can, then knead vigorously on a flour-dusted surface to give you a smooth, elastic dough. Rub lightly with oil, place in the bowl, cover with a clean damp tea towel and prove for 1 hour in a warm place, or until doubled in size., Meanwhile, peel and finely slice the onion and place in a pan with the butter, bay leaves and a splash of water. Fry on a medium heat for 10 minutes, stirring regularly, then stir in 50g of flour, followed by the mustard, and slowly add the milk to give you a loose white sauce. Roughly break up the cauliflower, discarding just the tatty outer leaves, and finely slice the stalk. Add to the pan with any remaining leaves. Simmer gently for 30 minutes, stirring occasionally, then turn off the heat, grate in the cheese, season to perfection and allow to cool a little., Preheat the oven to full whack (240ºC/475ºF/gas 9). Lightly oil a 30cm non-stick ovenproof frying pan or a 25cm x 35cm baking tray, then press out the dough to fill the space. Spoon over the cauliflower mixture, leaving a 2cm border around the edge, then leave to prove again until doubled in size. Bake at the bottom of the oven for 25 minutes, or until golden, crisp and melty., Delicious served with a bowl of lemony dressed seasonal salad leaves."
Italian baked eggs | Jamie Oliver baked egg recipes,With oozy mozzarella cheese,"https://img.jamieoliver.com/jamieoliver/recipe-database/90303518.jpg?tr=w-800,h-1066","['Serves', '2']",In15 minutes,,281,22.3g,8.1g,0.9g,1g,20.2g,1g,0.3g,"olive oil, 4                                                                                                                                                                large                                                                                                                                                                free-range eggs, 6                                                                                                                                                                                                                    cherry tomatoes                                                                                                                                                                , (60g), ¼ x 125                                                                                                                                                                g ball of                                                                                                                                                                 mozzarella, 1-2                                                                                                                                                                sprigs of                                                                                                                                                                fresh marjoram                                                                                                                                                                , or basil","Preheat the oven to full whack., Lightly grease a small skillet pan or round baking dish with olive oil, then crack in the eggs., Halve, or quarter, the tomatoes and dot them around the eggs., Tear over the mozzarella and drizzle with a little more oil, then season with a little sea salt and black pepper., Bake in the oven for 7 to 10 minutes or until the whites are set but the yolks are still runny., Pick over a few marjoram or basil leaves, and tuck in. Delicious served with hot buttered toast."
Christmas tree Camembert | Jamie Oliver Christmas recipes,Soft tear 'n' share rolls,"https://img.jamieoliver.com/jamieoliver/recipe-database/83911437.jpg?tr=w-800,h-1066","['Makes', '36']",minutes cook),“Push the boat out with this easy tear ’n’ share bread with oozy Camembert for dunking. A big show-off party bread that’s as easy as it is impressive – just the thing if you’re having friends and family over for Christmas nibbles.   ”,144,5.9g,3.1g,0.3g,0.7g,7.1g,16.9g,0.7g,"800                                                                                                                                                                g                                                                                                                                                                strong bread flour                                                                                                                                                                , plus extra for dusting, 1 x 7                                                                                                                                                                g sachet of                                                                                                                                                                dried yeast, 3 x 250                                                                                                                                                                g                                                                                                                                                                round Camembert cheeses, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh rosemary                                                                                                                                                                , (15g), 3                                                                                                                                                                cloves of                                                                                                                                                                garlic","Put the flour, yeast and 1 teaspoon of sea salt into the bowl of a food processor. Gradually pour in 500ml of tepid water and pulse for a few minutes until you have a ball of dough. Leave the lid on and prove in a warm place for 1 hour 30 minutes, or until doubled in size., Line a large baking tray with greaseproof paper and dust with flour. Lightly draw the outline of a Christmas tree in the flour with your finger. Remove the box base from one Camembert and place it in the centre of the tray., Divide the dough into three pieces, then each of those into 12, giving you 36 in total. One-by-one roll each piece into a ball and place on the tray, building out from the Camembert box to create your tree shape. Cover with a damp tea towel and leave to prove for another hour., Preheat the oven to 180°C/350°F/gas 4. Cut the rind off the top of each Camembert leaving a 1cm rim (reserving the boxes for baking). Pick the tips off three rosemary sprigs and poke into the soft cheeses, then peel and finely slice the garlic, drizzle with olive oil and poke those in too. Sprinkle each cheese with a pinch of sea salt and black pepper, then pop one in its box in the centre of the tree, and another on a separate tray. Reserve the third cheese for later., Strip the remaining rosemary leaves and dot between the dough balls. Sprinkle with a good pinch of salt from a height, and drizzle with olive oil. Place the bread tree in the oven with the second cheese on the shelf below and bake for 30 to 35 minutes, or until the Camemberts are gooey and the bread is risen and golden. As soon as you serve the first two cheeses, bake the third one in its box for about 20 minutes, then swap with the eaten ones. Delicious."
Spinach & feta filo pie | Cheese recipes | Jamie Oliver recopes,"Toasted pine nuts, lemon & fresh oregano","https://img.jamieoliver.com/jamieoliver/recipe-database/76718257.jpg?tr=w-800,h-1066","['to', '6']",In30 minutes,"“This cheesy, flaky pie makes a cracking weekend lunch. Serve with a selection of salads and flatbreads, or simply by itself with a dollop of thick, seasoned yoghurt. You could also swap out the spinach for any other seasonal leafy greens.  ”",830,57g,19.9g,5.4g,4.7g,36.6g,42.8g,3.5g,"100                                                                                                                                                                g                                                                                                                                                                pine nuts, 5                                                                                                                                                                large                                                                                                                                                                free-range eggs, 300                                                                                                                                                                g                                                                                                                                                                feta cheese, 50                                                                                                                                                                g                                                                                                                                                                Cheddar cheese, dried oregano, 1                                                                                                                                                                                                                    lemon, olive oil, 1                                                                                                                                                                knob of                                                                                                                                                                unsalted butter, 400                                                                                                                                                                g                                                                                                                                                                baby spinach, 1 x 270                                                                                                                                                                g pack of                                                                                                                                                                filo pastry, cayenne pepper, 1                                                                                                                                                                whole                                                                                                                                                                nutmeg                                                                                                                                                                , for grating","Preheat the oven to 200°C/400°F/gas 6., Toast the pine nuts in a large ovenproof frying pan over a medium heat for 1 to 2 minutes, or until golden and smelling fantastic, tossing occasionally., Crack the eggs into a large mixing bowl, crumble in the feta, then grate in the Cheddar. Season with a pinch of black pepper and a couple of pinches of dried oregano., Finely grate in the lemon zest, drizzle in a little oil, then toss in the toasted pine nuts. Mix well., Melt the butter in the frying pan over a medium heat with a drizzle of oil, add half the spinach, stirring until wilted, then when there’s space, add the remaining spinach, stirring regularly until wilted., Lay a 50cm strip of greaseproof paper out on a clean work surface, rub lightly with oil and scrunch up, then flatten out again., Arrange 4 sheets of filo in a large rectangle on the greaseproof paper, overlapping at the edges, so that it’s almost covering the greaseproof., Rub the filo with a little oil, sprinkle with sea salt, pepper and a pinch of cayenne pepper. Repeat until you have 3 layers., Stir the wilted spinach into the egg mixture, then grate in half the nutmeg and mix well., Slide the greaseproof and filo into the empty frying pan, so that the edges spill over, then push down into the sides of the pan., Pour in the spinach mixture and spread out evenly, then fold the filo up over the filling to cover., Place the pan over a medium heat for 2 minutes, just to get the bottom cooking, then transfer to the top shelf of the oven for 18 to 20 minutes, or until golden and crisp. Delicious served with a fresh seasonal salad."
Summer veg lasagne | Pasta recipes | Jamie Oliver recipes,"Tender asparagus, peas, broad beans & fresh mint","https://img.jamieoliver.com/jamieoliver/recipe-database/75943234.jpg?tr=w-800,h-1066","['-', '8']",In25 minutes,"“This is a brilliant dish for days when you want comfort food, but with a bit of zing. It’s packed with green veggies, silky fresh pasta, and fragrant lemon. Plus, using cottage cheese instead of the traditional béchamel sauce means that it’s not only quicker, but less indulgent, too. ”",491,20.3g,12.1g,11.9g,1.1g,29.6g,48.1g,7.9g,"1                                                                                                                                                                bunch of                                                                                                                                                                spring onions, ½ x 30                                                                                                                                                                g tin of                                                                                                                                                                anchovies in oil                                                                                                                                                                , from sustainable sources, 6                                                                                                                                                                cloves of                                                                                                                                                                garlic, 700                                                                                                                                                                g                                                                                                                                                                asparagus, 500                                                                                                                                                                g                                                                                                                                                                frozen peas, 300                                                                                                                                                                g                                                                                                                                                                frozen broad beans, 1                                                                                                                                                                big bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (60g), 300                                                                                                                                                                ml                                                                                                                                                                single cream, 1                                                                                                                                                                                                                    lemon, 300                                                                                                                                                                m                                                                                                                                                                organic vegetable stock, 2 x 250                                                                                                                                                                g tubs of                                                                                                                                                                cottage cheese, 500                                                                                                                                                                g                                                                                                                                                                fresh lasagne sheets, Parmesan cheese, olive oil, a few sprigs of fresh thyme","Preheat the grill to full whack., Trim and finely slice the spring onions., Pour the oil from the anchovy tin into a large frying pan over a high heat, then add the spring onions and anchovies (save the rest for another day)., Using a garlic crusher, crush the garlic straight into the pan and toss everything together well., Line up the asparagus, trim off the woody ends, then finely slice and add the stems to the pan, reserving the tips for later., Season with sea salt and black pepper, add 1 splash of boiling water and cook for a few minutes, or until softened, stirring occasionally., Add the peas and broad beans to the pan, then pick, roughly chop and add the mint along with the cream. Finely grate in half the lemon zest., Roughly mash and squash everything in the pan using a fork or a potato masher, then season to perfection with salt and pepper., Pour in the stock and bring to the boil, then stir in 1 tub of cottage cheese – the consistency should be creamy and loose., Place a deep 30cm x 35cm roasting tray on a medium heat. Spoon in a quarter of the veggie mixture to cover the bottom of the tray, then top with a layer of lasagne sheets, and a good grating of Parmesan. Repeat the layers with the rest of the veg and pasta, finishing with a layer of lasagne sheets., Mix the remaining tub of cottage cheese with 1 splash of water to loosen, then spread evenly over the top of the lasagne., Toss the reserved asparagus tips in a drizzle of oil, then tip onto the lasagne, pushing everything down with the back of a spoon to compact., Strip over the thyme leaves and finish with a drizzle of oil and a generous grating of Parmesan., Turn the heat under the tray up to high and cook until the lasagne starts to bubble, then place under the grill on the middle shelf for 8 minutes, or until golden and gorgeous. Delicious served with a seasonal green salad."
