Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Couscous & chicken bake | Jamie Oliver recipes,"Tzatziki marinade, sweet red peppers & charred peppers","https://img.jamieoliver.com/jamieoliver/recipe-database/154992384.jpg?tr=w-800,h-1066","['Serves', '4']",plus marinating,"“Couscous is used across the Mediterranean in so many wonderful ways – here I’m putting it centre stage to create the most outrageous bake, with a crispy outside and beautifully fluffy centre. ”",790,30.2g,9.8g,19.2g,2.3g,53.2g,81g,8.3g,"1 x 460                                                                                                                                                                g jar of                                                                                                                                                                roasted red peppers, 2 x 200                                                                                                                                                                g tubs of                                                                                                                                                                tzatziki, 1                                                                                                                                                                kg                                                                                                                                                                higher-welfare mixed chicken thighs and drumsticks                                                                                                                                                                , skin on, bone in, 4                                                                                                                                                                                                                    red onions, 300                                                                                                                                                                g                                                                                                                                                                couscous",
Non-nuclear fire noodles | Jamie Oliver Cookbook Club recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/153430889.jpg?tr=w-800,h-1066","['Serves', '2']",,"“Buldak Nuclear Fire Noodles are the best-selling instant noodles from Korean brand Samyang and have something of a cult following. TikTokers and YouTubers began taking on the challenge of eating a bowl of these spicy noodles and recording their sweaty, nose-dribbling demise. What keeps them all coming back for more, though, is that despite the heat (4,404 Scoville units, to be precise), the noodles are moreishly tasty. While this extreme level of heat is not something I crave, the spicy, chickeny flavour definitely is. And so these are the building blocks of this dish. I love adding a raw egg yolk to the centre as the heat from the noodles cooks the yolk and it adds a lovely creaminess. If you’d rather, you could always fry the egg. If you want to make this vegan, omit the chicken thighs and egg, and switch the chicken bouillon for mushroom bouillon powder. ”",,,,,,,,,"1                                                                                                                                                                tablespoon                                                                                                                                                                gochujang, 1                                                                                                                                                                tablespoon                                                                                                                                                                sriracha                                                                                                                                                                , (or your favourite fruity hot sauce), ½                                                                                                                                                                tablespoon                                                                                                                                                                chicken bouillon powder, 1                                                                                                                                                                clove of                                                                                                                                                                garlic                                                                                                                                                                , grated, ½                                                                                                                                                                tablespoon                                                                                                                                                                light soy sauce, ½                                                                                                                                                                tablespoon                                                                                                                                                                golden caster (superfine) sugar, ½                                                                                                                                                                tablespoon                                                                                                                                                                toasted sesame oil, 2                                                                                                                                                                nests                                                                                                                                                                ramen noodles                                                                                                                                                                , (fresh or dried), 1                                                                                                                                                                tablespoon                                                                                                                                                                neutral oil, 2                                                                                                                                                                                                                    boneless chicken thighs                                                                                                                                                                , finely sliced, 2                                                                                                                                                                                                                    spring onions (scallions)                                                                                                                                                                , finely sliced, 2                                                                                                                                                                                                                    egg yolks                                                                                                                                                                , (optional), ½                                                                                                                                                                a                                                                                                                                                                toasted nori sheet                                                                                                                                                                , torn into small pieces, 1                                                                                                                                                                tablespoon                                                                                                                                                                crispy fried garlic","Mix the gochujang, sriracha, chicken bouillon powder, grated garlic, light soy, sugar and sesame oil together in a jug (pitcher)., Bring a pot of water to the boil and cook the noodles according to the packet instructions. Add 4 tablespoons of the noodle water to the jug, then strain the noodles and rinse with cool water, separating the noodles with your fingers, to prevent them from sticking. Set aside., Heat the oil in a non-stick, heavy-based frying pan (skillet). Add the chicken pieces and sear on all sides. Once sealed, pour in the sauce from the jug and allow it to bubble away for 2–3 minutes or until the chicken is just cooked through. Add the noodles and spring onions (scallions), tossing to coat., Divide the noodles between two bowls. Make a little dent in the middle of each and plop in an egg yolk, if using. Sprinkle with the torn nori and crispy garlic and serve immediately."
Magic baked chicken fried rice | Jamie Oliver Cookbook Club recipes,Just put it all in a pan – even the uncooked rice – and bake!,"https://img.jamieoliver.com/jamieoliver/recipe-database/152742682.jpg?tr=w-800,h-1066","['a', 'main']",MINUTES COOK),"“Sometimes after a long day, even I don’t have the energy to deal with the hassle of chopping vegetables, pulling out woks and smoking out my kitchen – let alone remembering to cook rice the day before! So I published a ‘dump and bake’ fried rice on my website – albeit with some trepidation – convinced it would be slammed as an abomination. To my total surprise, the recipe was a smash hit and had 100,000 views in 24 hours! Truth is, it’s delicious – the flavour is fantastic, the rice is fluffy and moist. The most asked question I get is, ‘How can I add chicken to this?’ Well, here’s how! ”",,,,,,,,,"BAKED FRIED RICE, 1½                                                                                                                                                                cups (300g)                                                                                                                                                                long-grain white rice                                                                                                                                                                , uncooked, 1½                                                                                                                                                                cups (375ml)                                                                                                                                                                low-salt chicken stock, 1½                                                                                                                                                                tablespoons                                                                                                                                                                light soy sauce, 1                                                                                                                                                                tablespoon                                                                                                                                                                Chinese cooking wine, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic                                                                                                                                                                , finely minced, ¼                                                                                                                                                                teaspoon                                                                                                                                                                white pepper, 2                                                                                                                                                                cups (270g)                                                                                                                                                                frozen diced vegetables                                                                                                                                                                , (carrots, peas and corn mix) still frozen, ¾                                                                                                                                                                cup (100g)                                                                                                                                                                chopped bacon or ham                                                                                                                                                                , I use store-bought chopped bacon, MARINATED CHICKEN, 500                                                                                                                                                                g                                                                                                                                                                chicken thigh fillets                                                                                                                                                                , cut into 1.5cm pieces, 1                                                                                                                                                                tablespoon                                                                                                                                                                oyster sauce, 1                                                                                                                                                                tablespoon                                                                                                                                                                Chinese cooking wine, 1                                                                                                                                                                tablespoon                                                                                                                                                                light soy sauce, 2                                                                                                                                                                teaspoons                                                                                                                                                                sesame oil, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, TO FINISH, 2                                                                                                                                                                                                                    eggs                                                                                                                                                                , scrambled (optional), 2                                                                                                                                                                teaspoons                                                                                                                                                                sesame oil, 1                                                                                                                                                                                                                     green onion stem                                                                                                                                                                 , finely sliced",
Garlic chicken | Jamie Oliver recipes,"Creamy chickpeas, spinach & sumac","https://img.jamieoliver.com/jamieoliver/recipe-database/152012102.jpg?tr=w-800,h-1066","['Serves', '2']",In18 minutes,"“Inspired by some of the wonderful flavours of Lebanon, this quick dish is perfect for an easy meal. Hunting out nice fat jarred chickpeas is game-changing when it comes to both flavour and texture. ”",406,13.3g,2.2g,3.1g,1.3g,48.8g,23.2g,1.1g,"4                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2 x                                                                                                                                                                150g                                                                                                                                                                skinless free-range chicken breasts, ½ x                                                                                                                                                                700g                                                                                                                                                                jar of chickpeas, 250                                                                                                                                                                g                                                                                                                                                                baby spinach, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                sumac",
Pot-roast chicken | Jamie Oliver recipes,"Fondant potatoes, herby salsa, roasted garlic","https://img.jamieoliver.com/jamieoliver/recipe-database/154403264.jpg?tr=w-800,h-1066","['Serves', '4']",35 minutes,"“Herby salsas are much loved in Catalan cooking, so, inspired by a recent trip to Barcelona, I’ve embellished this chicken and these rich, stock-cooked potatoes with a vibrant nutty number. ”",669,27.2g,5.6g,2g,1.1g,62.9g,45.7g,4g,"1 x 1.5kg whole free-range chicken, 1kg potatoes, 1 bunch of flat-leaf parsley (30g), 1 bulb of garlic, 40g blanched hazelnuts",
"Barbecue chicken, 3 ways | Jamie Oliver Christmas recipes",Make it your own,"https://img.jamieoliver.com/jamieoliver/recipe-database/151622522.jpg?tr=w-800,h-1066","['Serves', '4']",plus marinating,"“This principle barbecue chicken recipe is a great one to have up your sleeve. I’ve given you a spiced rub and BBQ sauce, lemon herby marinade or chilli honey marinade to choose from, but feel free to mix things up. And if you don’t fancy using the barbecue, you can roast the chicken in the oven instead – check out the Tips section for guidance. ”",481,26.8g,6.5g,19.9g,2.1g,39.4g,20.5g,0.5g,"4                                                                                                                                                                                                                    free-range chicken thighs                                                                                                                                                                , skin on, bone in, 4                                                                                                                                                                                                                    free-range chicken drumsticks                                                                                                                                                                , skin on, bone in, 1                                                                                                                                                                                                                    fresh red chilli                                                                                                                                                                , optional, 1                                                                                                                                                                                                                    lemon                                                                                                                                                                , optional, SPICED RUB, 1                                                                                                                                                                teaspoon                                                                                                                                                                fennel seeds, 1                                                                                                                                                                teaspoon                                                                                                                                                                smoked paprika, 1                                                                                                                                                                teaspoon                                                                                                                                                                dried oregano, 1                                                                                                                                                                teaspoon                                                                                                                                                                cumin seeds, 1                                                                                                                                                                teaspoon                                                                                                                                                                black pepper, 1                                                                                                                                                                teaspoon                                                                                                                                                                smoked sea salt or sea salt, 2                                                                                                                                                                                                                    cloves, olive oil                                                                                                                                                                , optional, red wine vinegar                                                                                                                                                                , optional, BBQ SAUCE, 100                                                                                                                                                                g                                                                                                                                                                light brown soft sugar, 100                                                                                                                                                                g                                                                                                                                                                tomato ketchup, 100                                                                                                                                                                ml                                                                                                                                                                fresh unsweetened apple juice, 50                                                                                                                                                                ml                                                                                                                                                                bourbon whisky                                                                                                                                                                , optional, 2                                                                                                                                                                tablespoons                                                                                                                                                                Worcestershire sauce, 2                                                                                                                                                                tablespoons                                                                                                                                                                balsamic vinegar, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                English mustard, a few splashes of                                                                                                                                                                chipotle Tabasco","Grind and bash all the spiced rub ingredients in a pestle and mortar until fine (or use a blender or coffee grinder). You can use the spices as a dry rub, or muddle in 2 tablespoons each of olive oil and red wine vinegar to make a marinade., Use a fork to pierce the underside of the chicken a few times, going all the way down to the bone (this will help create big flavour). Toss the chicken in the spiced rub or marinade, then cover and place in the fridge for at least 30 minutes, preferably overnight., Place all of the sauce ingredients into a medium saucepan over a high heat (you can do this on the hob or by placing a small pan on the direct side of the barbecue). Add a pinch of sea salt, whisk well to combine, then bring to the boil. Reduce the heat to low and simmer for 10 to 15 minutes, or until it's sticky and coats the back of a spoon. Remove from the heat and allow it to cool slightly., Once you’re ready to cook, preheat your barbecue (see tip). Place the chicken skin-side down on the direct or hot side of the barbecue and cook for 2 minutes, calming down any flames by putting the lid on., Using tongs, carefully turn the chicken over and transfer to the cooler part of the barbecue, where the indirect heat is (if you want to add some water-soaked fruit woods, such as Applewood, to the coals for bonus flavour, now’s the time to do it)., Place the lid on (the holes in the lid should be open to allow the air to flow through), and cook for 25 to 30 minutes, checking and turning the chicken throughout, or until the chicken pulls easily away from the bone. When removing the lid, just crack it open slightly before lifting it off completely – this will prevent the ash from blowing up onto the chicken and tainting the flavour., Baste the chicken in half the BBQ sauce (save the rest for another day), place back over the indirect heat and pop the lid back on for 10 minutes, or until sticky, juicy and gnarly., Check the chicken is cooked through and the juices run clear, then transfer to a large serving board or platter. If using, finely chop and scatter over the fresh chilli and slice the lemon into wedges for squeezing over. Delicious served with a seasonal salad or barbecued vegetables, rice and flatbreads."
Greek chicken pasta | Jamie Oliver recipes,"Sweet tomato sauce, macaroni & grated halloumi","https://img.jamieoliver.com/jamieoliver/recipe-database/153401797.jpg?tr=w-800,h-1066","['Serves', '8']",30 minutes,“On the Greek island of Andros they serve variations of this undeniably delicious pasta – it’s the easiest thing to put together and the Oliver squad loves it (the teenagers thought the halloumi was peng!). ”,566,19.5g,5.7g,4.4g,0.8g,40.5g,60g,1.4g,"1                                                                                                                                                                kg                                                                                                                                                                free-range chicken thighs                                                                                                                                                                , skin on, bone in, 500                                                                                                                                                                g                                                                                                                                                                frozen chopped mixed onion, carrot and celery, 2 x 400                                                                                                                                                                g tins of                                                                                                                                                                plum tomatoes, 600                                                                                                                                                                g                                                                                                                                                                dried macaroni, 100                                                                                                                                                                g                                                                                                                                                                halloumi cheese",
Chicken & Merguez stew | Jamie Oliver recipes,"Beautiful bay marinade, slow-cooked onions & beans","https://img.jamieoliver.com/jamieoliver/recipe-database/154403191.jpg?tr=w-800,h-1066","['Serves', '4']",In1 hour,"“This is a really delicious Tunisian-style casserole, using the French cassoulet as inspiration to create massive flavour with hardly any ingredients. Feel free to add a little harissa into the mix, if you like. ”",644,23.6g,6.9g,14.3g,2g,69.4g,39.1g,10.7g,"4                                                                                                                                                                                                                    onions, 5                                                                                                                                                                                                                    Merguez sausages (300g), 1                                                                                                                                                                x 1.2kg                                                                                                                                                                whole free-range chicken, 12                                                                                                                                                                fresh                                                                                                                                                                bay leaves, 2                                                                                                                                                                x 400g tins of                                                                                                                                                                mixed beans",
Lemon-tzatziki chicken | Jamie Oliver recipes,"Fluffy pan-juice rice, jammy onions & roasted lemons","https://img.jamieoliver.com/jamieoliver/recipe-database/150955945.jpg?tr=w-800,h-1066","['Serves', '4']",plus marinating,"“A brilliant Greek-inspired one-pan family dish. Tzatziki makes a fantastic ready-to-go marinade – it’s untraditional used like this, but I can totally vouch for its deliciousness and ability to tenderize meat. ”",682,15.6g,5.8g,13g,2.4g,61.4g,79g,5g,"1 x                                                                                                                                                                1.5kg                                                                                                                                                                whole free-range chicken, 2 x                                                                                                                                                                200g                                                                                                                                                                tubs of tzatziki, 2                                                                                                                                                                                                                    lemons, 4                                                                                                                                                                                                                    mixed-colour onions, 300                                                                                                                                                                g                                                                                                                                                                basmati rice",
Poulet Yassa | Jamie Oliver recipes,Grilled chicken in caramelised onion & lemon sauce,"https://img.jamieoliver.com/jamieoliver/recipe-database/143701488.jpg?tr=w-800,h-1066","['-', '6']",,"“Escape to Senegal with Poulet Yassa, a dish that is pure sunshine on a plate. I love serving and teaching this recipe. It is one of the most popular dishes at my feasts and cookery classes, and is especially easy to cook, with readily available ingredients. It truly teaches us to trust the process, trust the ingredients and trust your instincts when cooking. I usually encourage my cooks to taste the raw sauce at the very beginning (before adding the chicken) and then taste it again after cooking, as this dish is full of surprises as it transforms from lip-puckering tartness, to sweet, spicy, zingy and balanced. I love using a combination of sweeter lemons and tart limes. Your yassa can be as mild or as fiery as you wish. Finely mince the scotch bonnet for lots of heat or pierce the chilli and tuck it into the sauce to release its warming and fragrant oils for less heat. You can also omit the scotch bonnet entirely or swap it for other chillies (see my notes about cooking with chillies on page 19 in Africana) and play around with it in different ways. But that tingling heat is a big part of the rousing West African experience. Trust me! ”",,,,,,,,,"1                                                                                                                                                                kg                                                                                                                                                                chicken legs and thighs                                                                                                                                                                , bone in and skin on, 1                                                                                                                                                                tsp                                                                                                                                                                fine sea salt, 3                                                                                                                                                                tbsp                                                                                                                                                                rapeseed, peanut or neutral vegetable oil                                                                                                                                                                , plus more for brushing, FOR THE MARINADE, , 1                                                                                                                                                                                                                    medium brown onion                                                                                                                                                                , peeled and roughly chopped, 4                                                                                                                                                                                                                    garlic cloves                                                                                                                                                                , peeled, Handful of                                                                                                                                                                fresh flat-leaf parsley, 1                                                                                                                                                                tsp                                                                                                                                                                cayenne pepper, Zest and juice of                                                                                                                                                                1 lemon, 2                                                                                                                                                                tsp                                                                                                                                                                Dijon mustard, , FOR THE SAUCE, , 3                                                                                                                                                                tbsp                                                                                                                                                                rapeseed, peanut or vegetable oil, 3                                                                                                                                                                                                                    medium brown onions                                                                                                                                                                , peeled, halved and sliced (just under 1cm thick), 1                                                                                                                                                                                                                    red Romano or bell pepper                                                                                                                                                                ,  deseeded and sliced (just under 1cm thick), 2                                                                                                                                                                                                                    garlic cloves                                                                                                                                                                , peeled and grated, Juice of                                                                                                                                                                4 limes or 2 lemons, or a combination of both, 2                                                                                                                                                                tbsp                                                                                                                                                                Dijon mustard, 300                                                                                                                                                                ml                                                                                                                                                                chicken stock, 6                                                                                                                                                                sprigs of                                                                                                                                                                thyme, or 1 tsp dried, 1                                                                                                                                                                                                                    bayleaf, 1                                                                                                                                                                                                                    scotch bonnet pepper                                                                                                                                                                , pierced and left whole, ½                                                                                                                                                                tsp                                                                                                                                                                fine sea salt, ½                                                                                                                                                                tsp                                                                                                                                                                freshly ground black pepper, TO SERVE, , Honey                                                                                                                                                                , if needed, Handful of                                                                                                                                                                parsley                                                                                                                                                                , leaves plucked","Cut a few slashes diagonally across the chicken skin, season with the fine sea salt and massage it into the chicken. Place in a wide bowl., Combine the marinade ingredients in a food processor and blend to a smooth paste. Tip the paste onto the chicken, add 2 tablespoons of the oil and massage thoroughly, carefully tucking some of the marinade under the skin and into the slashes. Cover and refrigerate for 2 hours, or overnight for a more flavourful marinade and to tenderise tougher poultry., Remove the chicken from the fridge 30 minutes before cooking, to allow it to come up to room temperature. Preheat the grill to medium-high., Drizzle the chicken with the remaining oil. Toss well and arrange in one layer on an oiled grilling tray or rack with thighs skin-side up. Reserve any marinade left in the bowl. Grill each side for 10 minutes, until browned with a nice char on the skin. Set aside to finish cooking in the sauce., Meanwhile, to make the sauce, heat the oil in a wide saucepan and add the onions and any leftover marinade. Sprinkle with a pinch of fine sea salt, cover with a lid and cook over a medium heat for 10 minutes, stirring often, until the onions are translucent. Remove the lid and continue cooking uncovered for another 15–20 minutes, until the onions begin to brown and eventually caramelise in their natural sugars. Add a splash of water, if needed, to prevent burning., Add the pepper and cook for 5 minutes. Stir in the garlic until fragrant. Pour in the lime or lemon juice and add the Dijon mustard, chicken stock, thyme, bay leaf and scotch bonnet. Season with the sea salt and freshly ground pepper and bring to a simmer., Tuck the chicken, skin-side up, into the sauce. Cover and simmer for 20 minutes, or until the sauce is reduced and the chicken is cooked through., Taste to check the seasoning. If you find the sauce too tart, scoop out 2 tablespoons of sauce into a small bowl and add ½ teaspoon of honey, mix well then pour back into your sauce. Gently stir and taste again. Repeat with another ½ teaspoon of honey, if needed., Scatter with parsley and serve with simple sides, such as rice, steamed couscous, fonio or creamy mashed potatoes and green beans."
