Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Black Forest trifle | Jamie Oliver Christmas recipes,With panettone & cheat's chocolate custard,"https://img.jamieoliver.com/jamieoliver/recipe-database/154743633.jpg?tr=w-800,h-1066","['Serves', '14']",plus setting,"“This epic dessert looks super-impressive, but it’s full of store-cupboard shortcuts that make it really easy to put together. I’m using up leftover panettone instead of making a sponge, and whipping together a cheat’s chocolate custard. It’s ridiculously retro and I absolutely love it. ”",535,35.5g,19.2g,43.4g,0.2g,6.4g,49.4g,1.6g,"3 x 425                                                                                                                                                                g tins of                                                                                                                                                                cherries in syrup, 300                                                                                                                                                                g                                                                                                                                                                dark chocolate                                                                                                                                                                , (70% cocoa solids), 4                                                                                                                                                                leaves of                                                                                                                                                                gelatine, 3 x 400                                                                                                                                                                g tins of                                                                                                                                                                custard, 100                                                                                                                                                                g                                                                                                                                                                hazelnuts, 600                                                                                                                                                                ml                                                                                                                                                                double cream, 1                                                                                                                                                                teaspoon                                                                                                                                                                vanilla bean paste, 1                                                                                                                                                                heaped tablespoon                                                                                                                                                                icing sugar, 3 x 1                                                                                                                                                                cm slices of                                                                                                                                                                panettone","Drain the cherries through a sieve into a measuring jug, topping up with cold water to make a pint (568ml), if needed. Pour into a medium pan and place on a medium heat. Transfer the cherries to a bowl., To make the chocolate curls, lay the unwrapped chocolate on the work surface, flat side up. Carefully drag a chef’s knife towards you, from top to bottom. Repeat until you have 6 to 8 good curls. Transfer the curls to a plate, and leave in the fridge until you’re ready to decorate., Snap the remaining chocolate into a heatproof bowl, add a pinch of sea salt and place over the pan of the cherry liquor, until melted., Snap 4 gelatine leaves into a small bowl, cover with cold water, and set aside to dissolve., Remove the bowl of chocolate from the heat, pour in the custard and mix until completely combined., Whisk the gelatine into the cherry juice until dissolved, then pour into the trifle dish. Scatter in a handful of the cherries and leave to cool, then place in the fridge for 4 hours until set., Toast the hazelnuts in a dry pan for 5 minutes, until golden. Tip into a pestle and mortar and bash to crumbs., Pour the cream into a large mixing bowl, add the vanilla bean paste and sugar, and whisk to soft peaks., Next, layer up the trifle. Spoon over ⅓ of the chocolate custard, spreading out with a spatula, and then top with 1 slice of panettone. Dot cherries over the panettone and drizzle with a little of the juice from the bottom of the bowl., Repeat with a layer of cream, chocolate custard, panettone, and cherries and syrup until you have 3 x each layer. Pipe over a final layer of cream (or you can just spoon it on, if you prefer)., Sprinkle over the chocolate curls, scatter over the hazelnut crumbs and take to the table."
Jools' chocolate dream | Jamie Oliver 5 Ingredients recipes,"Silky-smooth chocolate, best coffee, pure happiness","https://img.jamieoliver.com/jamieoliver/recipe-database/152012101.jpg?tr=w-800,h-1066","['Serves', '6']",plus cooling,"“Chocolate and coffee are celebrated all around the Med and they’re also my wife’s two favourite indulgent pleasures, so why wouldn’t I create possibly one of the most decadent desserts on earth? ”",400,26.8g,15.9g,38.5g,0.4g,3.8g,38.6g,0g,"150                                                                                                                                                                g                                                                                                                                                                dark chocolate                                                                                                                                                                , (70%), 125                                                                                                                                                                g                                                                                                                                                                unsalted butter, 50                                                                                                                                                                ml                                                                                                                                                                good espresso, 2                                                                                                                                                                large                                                                                                                                                                free-range eggs, 125                                                                                                                                                                g                                                                                                                                                                golden caster sugar",
Chocolate party cake | Jamie Oliver recipes,Double buttercream & retro tinned mandarins,"https://img.jamieoliver.com/jamieoliver/recipe-database/137252915.jpg?tr=w-800,h-1066","['Serves', '20']",plus cooling,"“Bring out this double-layered chocolate delight at any birthday party and watch everyone’s eyes light up. Made in one pan, it’ll be smiles all around. ”",379,21.5g,13.1g,35.1g,0.4g,4g,45.3g,0.9g,"450                                                                                                                                                                g                                                                                                                                                                 soft unsalted butter                                                                                                                                                                , plus extra for greasing, 650                                                                                                                                                                g                                                                                                                                                                icing sugar, 4                                                                                                                                                                                                                    large eggs, 250                                                                                                                                                                g                                                                                                                                                                self-raising flour, 2                                                                                                                                                                teaspoons                                                                                                                                                                baking powder, 75                                                                                                                                                                g                                                                                                                                                                cocoa powder, 1 x 300                                                                                                                                                                g                                                                                                                                                                tin of mandarin segments in juice, 150                                                                                                                                                                g                                                                                                                                                                light cream cheese",
Highly sophisticated chocolate chip cookies | Jamie Oliver recipes,"With rosemary, pecans & other fun things","https://img.jamieoliver.com/jamieoliver/recipe-database/129244398.jpg?tr=w-800,h-1066","['Makes', '12']",,"“I expect a lot out of a chocolate chip cookie. Not only does it have to be vegan, I’m also looking for a handful of characteristics. Crispy and crunchy while also chewy. Salty yet not too sweet. The perfect amount of chocolate and butteriness. All the while with a depth of flavour. That’s precisely why this recipe was created. Now, it may not be for everyone. And that’s okay. There are loads of plain, basic
chocolate chip cookie recipes out there. This isn’t one of them. Fresh rosemary, black pepper, and Nutmeg amuse the tongue; while coconut sugar, molasses, and flaxseeds provide the perfect chew. Toasted pecans and oat flour provide a subtle nuttiness. A sprinkling of flaked Maldon salt pushes these cookies over the top, in the best way possible. All in all, these are my go to chocolate chip cookies. They’re a bit more on the savoury side and, well, highly sophisticated. ”",,,,,,,,,"1                                                                                                                                                                cup                                                                                                                                                                coconut sugar, ¾                                                                                                                                                                cup                                                                                                                                                                vegan butter                                                                                                                                                                , softened, 2                                                                                                                                                                tablespoons                                                                                                                                                                fresh rosemary                                                                                                                                                                , finely chopped, ¼                                                                                                                                                                teaspoon                                                                                                                                                                black pepper                                                                                                                                                                , freshly cracked, ¼                                                                                                                                                                teaspoon                                                                                                                                                                nutmeg                                                                                                                                                                , freshly grated or ground, ¼                                                                                                                                                                cup                                                                                                                                                                plain unsweetened plant-based milk, 1                                                                                                                                                                tablespoon                                                                                                                                                                ground flaxseed meal, ½                                                                                                                                                                teaspoon                                                                                                                                                                sorghum molasses, 2                                                                                                                                                                teaspoons                                                                                                                                                                vanilla extract, ½                                                                                                                                                                teaspoon                                                                                                                                                                almond extract, 1                                                                                                                                                                cup                                                                                                                                                                all-purpose flour, ⅓                                                                                                                                                                cup                                                                                                                                                                oat flour, ½                                                                                                                                                                teaspoon                                                                                                                                                                baking soda, ¼                                                                                                                                                                teaspoon                                                                                                                                                                sea salt                                                                                                                                                                , plus extra for sprinkling, ½                                                                                                                                                                cup                                                                                                                                                                toasted pecans                                                                                                                                                                , roughly chopped, 3                                                                                                                                                                ounces                                                                                                                                                                vegan dark chocolate                                                                                                                                                                , roughly chopped, 1                                                                                                                                                                to 2 teaspoons                                                                                                                                                                vanilla sugar                                                                                                                                                                , (see tip), for sprinkling","Preheat the oven to 180°C/350°F/gas 4. Line two large baking sheets with parchment paper., In a large bowl, combine the coconut sugar, butter, rosemary, black pepper, and nutmeg. Beat with a fork until smooth and fluffy. Add the milk and flaxseed meal and beat for another 30 seconds. Mix in the molasses, vanilla, and almond extract. Set aside., In a separate bowl, combine the flours, baking soda, and salt. Mix well. In small amounts, slowly add this mixture to the wet mixture, mixing constantly until it forms a dough. Fold in the pecans. Refrigerate the dough for 30 minutes to chill., Using an ice cream scoop or spoon, scoop about 2 tablespoons of dough for each cookie onto the baking sheets, leaving a few inches between them. They will spread out as they bake., Arrange the chocolate chunks on top of each mound of dough and press them down gently. Sprinkle with the Maldon salt and vanilla sugar. Bake until the edges are golden brown, but not burned, 15 to 20 minutes. Let cool on the baking sheets for about 5 minutes, then transfer them to a cooling rack for another 5 minutes."
Chocolate & avocado mousse | Jamie Oliver,With a homemade Easter egg shell,"https://img.jamieoliver.com/jamieoliver/recipe-database/119686128.jpg?tr=w-800,h-1066","['Serves', '4']",setting time,"“This is the most deliciously indulgent chocolate mousse, made using the humble avocado. Plus, I’m sharing my genius avocado shell hack, so you can make your very own homemade Easter egg halves filled with fresh fruits and luxurious sweet cherries. If you’re looking to go all-out this Easter, this incredible dessert is all you need.  ”",337,24.9g,15.3g,20.7g,0.2g,4.4g,22.6g,5.5g,"300                                                                                                                                                                g                                                                                                                                                                quality dark chocolate                                                                                                                                                                , (70%), 2                                                                                                                                                                large                                                                                                                                                                ripe avocados, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                cocoa powder, 2                                                                                                                                                                teaspoons                                                                                                                                                                 vanilla bean paste, 3                                                                                                                                                                tablespoons                                                                                                                                                                maple syrup, 1 x 160                                                                                                                                                                g tin of                                                                                                                                                                coconut cream, fresh fruit                                                                                                                                                                                                                    such as oranges, strawberries, blueberries, raspberries                                                                                                                                                                , to serve, amarena cherries in syrup                                                                                                                                                                , to serve, optional, white chocolate                                                                                                                                                                , to serve, optional","Snap 80g of dark chocolate into a heatproof bowl and melt over a pan of gently simmering water until smooth, stirring occasionally (or gently melt in the microwave). Remove the pan from the heat, keeping the bowl over the pan., Meanwhile, halve and destone the avocados and scoop out the flesh into a food processor. (Try to remove as much of the flesh as possible, but a little left in the shell is fine)., You’ll now have four empty avocado skin halves. Using a clean pastry brush, brush the inside of the avocado shells with a layer of melted chocolate until evenly covered. Transfer to a tray and place in the fridge for 10 minutes until set. Repeat this process two more times, until you’ve applied three layers of chocolate. Return the tray to the fridge for half an hour, or until set completely., Meanwhile, place the pan and bowl back on a low-medium heat, snap in the remaining dark chocolate and leave to melt., Once melted, add the chocolate to the food processor with the cocoa powder, vanilla bean paste, maple syrup, coconut cream and a pinch of salt, and pulse for a few seconds to combine. Scrape down the sides with a spatula, then pulse again, until smooth. Scrape into a bowl, cover and leave in the fridge until needed (but no longer than 2 hours)., Once the chocolate shells are set, gently peel the avocado skins away from the shells and discard. Heat a tablespoon in a jug of boiling water for a few seconds., Now it’s time to get a bit creative with your presentation: using the hot spoon, roll up 1 tablespoon of the chocolate mousse for each serving plate (you will end up with about half of the chocolate mixture leftover, please see tip below). Press the chocolate shells onto the mousse, filling each with a little fruit (I used halved strawberries and blueberries, orange segments and a couple of amarena cherries). Drizzle with a little of the cherry liquor, and some melted and grated white chocolate to finish, if you like."
Chocolate & banana French toast | Jamie Oliver recipes,"With crushed hazelnuts, yoghurt & a drizzle of honey","https://img.jamieoliver.com/jamieoliver/recipe-database/118445036.jpg?tr=w-800,h-1066","['Serves', '2']",In15 minutes,"“Here’s my beautiful twist on French toast. This could be the most amazing breakfast or brunch, or even turned into dessert with a little scoop of ice cream. Either way, it’s a brilliant thing to make for the one you love, so what are you waiting for? ”",518,26.1g,9.3g,38.2g,0.6g,16.4g,57.3g,3.7g,"2                                                                                                                                                                                                                    bananas, 2                                                                                                                                                                large                                                                                                                                                                free-range eggs, ½                                                                                                                                                                a teaspoon                                                                                                                                                                vanilla extract, 1                                                                                                                                                                pinch of                                                                                                                                                                ground cinnamon, 2                                                                                                                                                                slices of                                                                                                                                                                white bread, 25                                                                                                                                                                g                                                                                                                                                                blanched hazelnuts, a small knob of                                                                                                                                                                unsalted butter                                                                                                                                                                , or olive oil, 40                                                                                                                                                                g                                                                                                                                                                dark chocolate                                                                                                                                                                , (minimum 70% solids), 2                                                                                                                                                                teaspoons                                                                                                                                                                icing sugar, 2                                                                                                                                                                tablespoons                                                                                                                                                                Greek-style yoghurt                                                                                                                                                                , to serve","Peel and slice the banana in half lengthways and set aside. Crack the eggs into a shallow bowl, add the vanilla and cinnamon then whisk together with a fork., Soak the bread slices in the egg mixture for a couple of minutes, turning halfway., Place a large dry frying pan on a medium heat and toast the hazelnuts until golden, then tip into a pestle and mortar and bash until fine., Return the pan to the heat with the butter (or 1 teaspoon of oil). Once hot, carefully place one egg-soaked slice into the pan and break over the chocolate. Place the remaining slice on top and sandwich together., Add the banana slices to the pan and cook, without moving, for 2 minutes, until lightly golden., Use a spatula to carefully flip the bread and banana slices and cook for a further 2 minutes, until light golden on both sides., Lightly dust the top of the sandwich with the icing sugar and flip back over for a few seconds to caramelise., Carefully slide the sandwich onto a board (the caramel will be very hot!), cut in half diagonally, then transfer to a plate., To serve, place half a sandwich on each plate, top with 2 pieces of caramelised banana and a dollop of yoghurt, and finish with a good dusting of crushed hazelnuts."
Scrumptious yule log | Jamie Oliver recipes,"Chocolate hazelnut spread, maraschino cherries & a sweet creamy filling","https://img.jamieoliver.com/jamieoliver/recipe-database/116853663.jpg?tr=w-800,h-1066","['Serves', '16']",setting time,"“This indulgent and delicious triple chocolate yule log is filled with an amazing chocolate hazelnut spread and whipped cream, then topped with a luxurious chocolate buttercream. If you’re looking for an edible gift you can give friends and family, nothing says 'I love you' like this epic cake.
 ”",458,34.2g,16.9g,30.2g,0.3g,5.3g,34.5g,1g,"SPONGE, 4                                                                                                                                                                large                                                                                                                                                                free-range eggs, 75                                                                                                                                                                g                                                                                                                                                                icing sugar, 75                                                                                                                                                                g                                                                                                                                                                self-raising flour, 2                                                                                                                                                                tablespoons                                                                                                                                                                quality cocoa powder, 2                                                                                                                                                                teaspoons                                                                                                                                                                 vanilla bean paste, CHOCOLATE SPREAD, 350                                                                                                                                                                g                                                                                                                                                                blanched hazelnuts, 350                                                                                                                                                                g                                                                                                                                                                quality dark chocolate                                                                                                                                                                , (70%), 100                                                                                                                                                                g                                                                                                                                                                unsalted butter, BUTTERCREAM, 150                                                                                                                                                                g                                                                                                                                                                quality dark chocolate                                                                                                                                                                , (70%), 150                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , (at room temperature), 150                                                                                                                                                                g                                                                                                                                                                icing sugar, FILLING, 300                                                                                                                                                                ml                                                                                                                                                                double cream, 1                                                                                                                                                                tablespoon                                                                                                                                                                icing sugar, 10                                                                                                                                                                                                                    maraschino cherries                                                                                                                                                                , plus a tablespoon of juice from the jar, 1                                                                                                                                                                                                                    clementine, TOPPING, icing sugar, desiccated coconut","Preheat the oven to 180°C/350°F/gas 4, and line a 25cm x 35cm baking tray with greaseproof paper., To make the sponge, first separate the eggs. Then, using an electric mixer, whisk the egg whites to stiff peaks with a pinch of sea salt. Gradually whisk in the icing sugar, then, one-by-one, whisk in the egg yolks until really pale and light. Sift in the flour and cocoa powder, add the vanilla bean paste, then fold everything together with a large metal spoon, so you keep in as much air as possible., Spoon the batter into the lined tray, then gently and evenly spread it out. Scatter the hazelnuts on a separate tray and bake both for 8 to 10 minutes, or until the sponge is just cooked through and springy to the touch., While it’s still hot and soft, turn out the sponge onto a large sheet of greaseproof paper (35cm x 45cm) on a flat surface. Peel off and discard the baked piece of greaseproof. With one of the longest sides in front of you, fold over the excess paper, then roll up the sponge with the paper inside (as it cools, this will set the shape but prevent the sponge from cracking). Leave to cool., Meanwhile, melt the chocolate and butter for the hazelnut spread with a big pinch of sea salt in a heatproof bowl set over a pan of simmering water., Once cool, blitz most of the toasted hazelnuts to a completely smooth paste, then mix into the melted chocolate and butter. Put one half of the mixture into a jar for another day (see tip), pour the remainder into a tin or bowl, then pop both into the fridge for 2 hours to set., For the filling, whisk the cream and icing sugar to soft peaks. To assemble, unroll the sponge so it’s flat, removing the paper. Spread the hazelnut chocolate spread all over and up to the edges, then repeat with the cream. Along one long edge, dot on the cherries and drizzle over a tablespoon of the juices from the jar, then grate on the clementine zest. Re-roll the sponge and pop into the fridge., Meanwhile, make your buttercream. Melt the chocolate in a heatproof bowl over a pan of gently simmering water, then remove and leave to cool. Beat the butter in an electric mixer until pale, then, with the mixer still running, gradually add the icing sugar and cooled melted chocolate., Take the log out of the fridge, chop off a quarter at an angle – that’s the branch – and position it on your serving board like in the picture, using a splodge of buttercream to keep it in place. Evenly cover the whole log with buttercream, then use a fork to decorate it. Blitz up the reserved hazelnuts and dust them on top, along with some desiccated coconut, then decorate with plastic Bambi figures, whatever you like – go to town!"
Eggless chocolate cake | Jamie Oliver recipes,The simplest method ever,"https://img.jamieoliver.com/jamieoliver/recipe-database/119573812.jpg?tr=w-800,h-1066","['Serves', '12']",In30 minutes,"“There’s no need for eggs in this incredible chocolate cake. Crisp on the outside and oozy on the inside, it’s so easy and so delicious. It’ll make you happy for sure! ”",438,29.5g,12.3g,28.9g,0.2g,4.8g,41.8g,1.6g,"200                                                                                                                                                                g                                                                                                                                                                soft unsalted butter                                                                                                                                                                , plus extra for greasing, 200                                                                                                                                                                g                                                                                                                                                                hazelnuts, 200                                                                                                                                                                g                                                                                                                                                                quality dark chocolate, 200                                                                                                                                                                g                                                                                                                                                                self-raising flour, 200                                                                                                                                                                ml                                                                                                                                                                semi-skimmed milk, 200                                                                                                                                                                g                                                                                                                                                                golden caster sugar","Preheat the oven to 180ºC/350ºF/gas 4. Grease and line a deep non-stick 25cm x 25cm tray with greaseproof paper. If you don’t have a non-stick tray, simply grease what you’ve got and dust it lightly with flour before lining with the paper., Blitz the nuts in a food processor until fine., With the processor still running, snap in the chocolate, then add the butter, followed by the flour and a pinch of sea salt., Pour in the milk, then add the sugar, letting the processor do all the work bringing it together., Once smooth and combined, use a spatula to help you tip the mixture into your lined tray, spreading it out evenly., Bake for 18 minutes on the middle shelf of the oven, or until crispy and spongy at the edges, but still a bit gooey and wobbly in the middle., Now, you can either serve it warm with an extra grating of chocolate, some fresh fruit and a dollop of yoghurt, a scoop of ice cream or even custard, and enjoy it like a pudding. Or, let it cool into more of a gooey brownie."
Sally & Brenda’s spectacular fudgy chocolate pudding,"Dark chocolate, double cream & muscovado sugar","https://img.jamieoliver.com/jamieoliver/recipe-database/103054051.jpg?tr=w-800,h-1066","['Serves', '12']",15 minutes,“Our mums know best when it comes to an old-school chocolate pud. This one is rich and unctuous and absolutely delicious.  ”,501,31.4g,19g,28.6g,0.6g,6.6g,51.4g,2.2g,"Sauce, 160                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , plus extra for greasing, 160                                                                                                                                                                g                                                                                                                                                                quality dark chocolate                                                                                                                                                                , (70%), 160                                                                                                                                                                g                                                                                                                                                                golden syrup, 70                                                                                                                                                                ml                                                                                                                                                                double cream, Pudding, 150                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , (at room temperature), 100                                                                                                                                                                g                                                                                                                                                                dark brown muscovado sugar, 350                                                                                                                                                                g                                                                                                                                                                self-raising flour, 90                                                                                                                                                                g                                                                                                                                                                cocoa powder, 2                                                                                                                                                                                                                    large free-range eggs, 180                                                                                                                                                                ml                                                                                                                                                                semi-skimmed milk","Butter a 1.5-litre (20cm) pudding basin. Add all the sauce ingredients to a saucepan and melt together slowly over a low heat, stirring continuously. Once melted, pour straight into the bottom of the basin and allow to cool slightly., Cream the butter and sugar together in a stand mixer, or with an electric whisk, for 2 to 3 minutes, or until pale and fluffy. Add the remaining ingredients and whisk for a further 5 minutes until smooth and well combined., Carefully spoon the mixture into the basin, over the cooled chocolate sauce, then gently spread out evenly so all the chocolate sauce is covered. Tear off a large piece of both kitchen foil and greaseproof paper (about an arm’s length) then lay both pieces over the pudding, greaseproof paper down, scrunching around the edges of the basin to seal tightly., Place the pudding basin into a large, deep roasting tin and fill the pan halfway with boiling water. Place the pan over a high heat and bring to the boil, then cover with foil, turn the heat down to low and leave to steam for 2 hours, topping up with more boiling water if necessary., Carefully remove the pudding from the pan and leave to stand for a minute or two. Carefully remove the kitchen foil and greaseproof paper and place a large serving plate over the pudding. Quickly flip over the basin and plate over, then lift off the basin to reveal the rich fudgy pudding., Serve with your choice of custard, whipped vanilla-spiked cream or vanilla ice cream and dig in!"
