Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Sizzling squid | Jamie Oliver recipes,"Chorizo, tomato, mint & lemon sauce","https://img.jamieoliver.com/jamieoliver/recipe-database/150955138.jpg?tr=w-800,h-1066","['Serves', '2']",In16 minutes,"“All over the Mediterranean you see really big and bold combinations of surf and turf, and how beautifully it works together – this recipe comes with the harmony of all my favourite ingredients. ”",344,20.5g,5.8g,5.1g,1.7g,32.6g,7.8g,1.9g,"2                                                                                                                                                                large                                                                                                                                                                super-ripe tomatoes (300g total), 300                                                                                                                                                                g                                                                                                                                                                whole squid                                                                                                                                                                , cleaned, gutted, 70                                                                                                                                                                g                                                                                                                                                                chorizo or spicy sausage, ½                                                                                                                                                                a bunch of                                                                                                                                                                mint (15g), 1                                                                                                                                                                                                                    lemon",
"Chorizo, pepper & prawn bake | Jamie Oliver recipes","Beautifully fluffy rice, garlic, parsley, lemon & yoghurt","https://img.jamieoliver.com/jamieoliver/recipe-database/120942567.jpg?tr=w-800,h-1066","['Serves', '4']",In40 minutes,"“With crispy chorizo, gorgeous prawns and sweet peppers surrounded by soft plump rice, this easy one-pot wonder is packed full of flavour. It’s colourful, classy, and guaranteed to make people happy.  ”",466,11g,3g,6.8g,1.4g,25.6g,70.6g,3.7g,"3                                                                                                                                                                                                                    mixed-colour peppers, ½                                                                                                                                                                a bunch of                                                                                                                                                                flat-leaf parsley                                                                                                                                                                , (15g), 50                                                                                                                                                                g                                                                                                                                                                higher-welfare chorizo, olive oil, 4                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                mug of                                                                                                                                                                basmati rice                                                                                                                                                                , (300g), 320                                                                                                                                                                g                                                                                                                                                                raw peeled king prawns                                                                                                                                                                , from sustainable sources, 2                                                                                                                                                                                                                    lemons, extra virgin olive oil, 4                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt",
Chorizo & pear red cabbage | Jamie Oliver Christmas recipes,Sweet red onion & fennel seeds,"https://img.jamieoliver.com/jamieoliver/recipe-database/83911432.jpg?tr=w-800,h-1066","['Serves', '12']",In30 minutes,“My darkly decadent red cabbage is truly delicious with bold flavours that people are going to go nuts for. This sweet and sour combination is all about maximum impact with minimal effort. An absolute gem of a dish to bring colour to your table. ”,78,4.4g,1.5g,5.3g,0.6g,4.2g,5g,2.8g,"150                                                                                                                                                                g                                                                                                                                                                quality chorizo, 2                                                                                                                                                                teaspoons                                                                                                                                                                fennel seeds, 1                                                                                                                                                                                                                    red onion, 1                                                                                                                                                                                                                    red cabbage                                                                                                                                                                , (1kg), 1 x 410                                                                                                                                                                g tin of                                                                                                                                                                sliced pears                                                                                                                                                                , in natural juice",
Smoky chorizo salmon | Salmon recipes | Jamie Oliver recipes,With sweet cherry tomatoes & basil,"https://img.jamieoliver.com/jamieoliver/recipe-database/75993165.jpg?tr=w-800,h-1066","['Serves', '2']",In11 minutes,,363,22.8g,4.8g,4.9g,1.2g,34.3g,5.1g,1.5g,"2 x 150                                                                                                                                                                g                                                                                                                                                                 salmon fillets                                                                                                                                                                , skin on, scaled, pin-boned, from sustainable sources, 300                                                                                                                                                                g                                                                                                                                                                ripe mixed-colour cherry tomatoes, 4                                                                                                                                                                sprigs of                                                                                                                                                                fresh basil, 8                                                                                                                                                                                                                    black olives                                                                                                                                                                , (stone in), 30                                                                                                                                                                g                                                                                                                                                                higher-welfare chorizo","Put the salmon flesh side down in a large cold non-stick frying pan and place on a medium-high heat., As the pan comes up to temperature and the salmon begins to sizzle (about 3 minutes), flip it over and cook on the skin side for 5 minutes, or until very crisp and just cooked (depending on its thickness)., Meanwhile, halve the cherry tomatoes, tear up most of the basil leaves, then toss it all with 1 tablespoon of red wine vinegar and a pinch of sea salt and black pepper., Squash the olives and discard the stones, then finely chop the flesh. Mix with 1 teaspoon of extra virgin olive oil and a splash of water., Finely slice the chorizo, add to the pan for the last 2 minutes, then toss in the dressed tomatoes for 30 seconds., Divide between your plates, with the salmon on top. Spoon over the dressed olives and pick over the remaining basil."
Squashed Brussels | Vegetables recipes | Jamie Oliver recipes,Roasted with chorizo & chestnuts,"https://img.jamieoliver.com/jamieoliver/recipe-database/0OEPoPvq4BI92nI9B0yN-l.jpg?tr=w-800,h-1066","['a', 'side']",In20 minutes,"“Squashed Brussels sprouts are a thing of beauty – cooked up with chorizo, it's a winning combo. ”",182,10.1g,3g,5.7g,1g,9.4g,14.2g,1.2g,"1                                                                                                                                                                kg                                                                                                                                                                Brussels sprouts, 150                                                                                                                                                                g                                                                                                                                                                raw quality chorizo, olive oil, 100                                                                                                                                                                g                                                                                                                                                                vac-packed chestnuts, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh rosemary, 1                                                                                                                                                                tablespoon                                                                                                                                                                sherry vinegar","Preheat the oven to 180°C/350°F/gas 4., Wash and trim the Brussels sprouts, clicking off any tatty outer leaves., Cook for 8 minutes in a pan of boiling salted water, then drain well., Squeeze the chorizo out of its skin, crumbling it into a roasting tray with 1 tablespoon of olive oil., On the hob, fry over a medium heat for 6 minutes, until you have ruby oil, then crumble in the vac-packed chestnuts, strip in the rosemary leaves and shake about., Tip in the sprouts and toss in the sherry vinegar. Squash and flatten the sprouts with a potato masher so they suck up more flavour., Roast for 25 minutes, or until starting to colour. Season to perfection, bang out and serve."
Easy chorizo risotto recipe | Jamie Oliver rice recipes,Topped with Parmesan & fresh parsley,"https://img.jamieoliver.com/jamieoliver/recipe-database/5f7-YlXHqm691IOMUCV_h1.jpg?tr=w-800,h-1066","['Serves', '4']",,,514,16.3g,5.6g,4.3g,1.4g,19.1g,68.4g,2.3g,"olive oil, 2                                                                                                                                                                                                                    shallots, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 80                                                                                                                                                                g                                                                                                                                                                higher-welfare chorizo, ½ a                                                                                                                                                                bunch of                                                                                                                                                                fresh flat-leaf parsley                                                                                                                                                                , (15g), 750ml–1                                                                                                                                                                litre of                                                                                                                                                                organic chicken or vegetable stock, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                quality plum tomatoes, 300                                                                                                                                                                g                                                                                                                                                                risotto rice, 200                                                                                                                                                                ml                                                                                                                                                                red wine, 50                                                                                                                                                                g                                                                                                                                                                Parmesan cheese                                                                                                                                                                , plus extra to serve","Peel and finely chop the shallots and garlic, finely chop the chorizo, then pick and finely chop the parsley leaves, finely chopping the stalks., Drizzle 2 tablespoons of olive oil into a wide, shallow pan. Add the parsley stalks, shallot, garlic and chorizo to the heated oil and cook over a medium-high heat for about 5 minutes, or until the shallot is softened and the chorizo is beginning to crisp., In another pan, heat the stock with the tinned tomatoes. Add the rice to the shallot mixture and stir to coat the grains. Cook over a high heat for 1 to 2 minutes, or until the grains have cracked and are slightly translucent at the tips, then pour in the red wine., Stir well and cook until almost all the wine has evaporated. Add the hot stock and tomato mixture, ladle by ladle, stirring well with each addition, and only adding more when the previous ladle is almost fully absorbed. You may not need all of the mixture, or you may need to top it up with a little water., The rice should be tender but with a little bite in the middle. When it’s cooked, add one last ladle of liquid., Finely grate the Parmesan, then add to the pan with some seasoning. Stir well, take off the heat and cover. Leave for 5 minutes or so before stirring again, tasting and adjusting the seasoning, if necessary., Serve topped with extra grated Parmesan and the chopped parsley leaves."
Chorizo & potato hash recipe | Jamie magazine recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/EuyL8O4m4mdAjhZHE3zAVH.jpg?tr=w-800,h-1066","['Serves', '2']",In20 minutes,,491,25.2g,8.7g,8.1g,2.6g,26.4g,42.2g,5.7g,"1                                                                                                                                                                large                                                                                                                                                                onion, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 120                                                                                                                                                                g                                                                                                                                                                quality chorizo, 2-3                                                                                                                                                                                                                    cooked potatoes, 1/2                                                                                                                                                                bunch of                                                                                                                                                                fresh flat-leaf parsley, olive oil, 2                                                                                                                                                                large                                                                                                                                                                free-range eggs","Preheat the oven to 180ºC/gas 4., Peel and finely chop the onion and garlic, chop the chorizo, dice up the cooked potato and pick and finely chop the parsley., Gently fry the onion and garlic in a little oil in an ovenproof pan until the onion is soft. Add the chorizo and fry for 2 to 3 minutes., Add the potatoes and cook for 5 minutes more, then crack the eggs on top., Transfer the pan to the preheated oven and bake for 8 minutes, or until the egg white is set but the yolk is still runny., Sprinkle with sea salt, black pepper and the parsley, to serve."
One-pan huevos rancheros | Jamie Oliver egg recipes,"Tomatoes, potatoes & smoky paprika","https://img.jamieoliver.com/jamieoliver/recipe-database/46176130.jpg?tr=w-800,h-1066","['Serves', '4']",In30 minutes,"“For a show-stopping brunch, this paprika-spiked feast is hard to beat. Serve it in the middle of the table with some crusty bread, and let everyone dig in and help themselves. What could be better?  ”",273,13.1g,3.9g,8g,0.5g,14g,27.1g,3.9g,"2                                                                                                                                                                cloves of                                                                                                                                                                garlic, a few                                                                                                                                                                sprigs of                                                                                                                                                                fresh flat-leaf parsley, 1                                                                                                                                                                                                                    red pepper, 1                                                                                                                                                                                                                    yellow pepper, 300                                                                                                                                                                g                                                                                                                                                                ripe tomatoes, 500                                                                                                                                                                g                                                                                                                                                                baby new potatoes, olive oil, 75                                                                                                                                                                g                                                                                                                                                                higher-welfare chorizo, ½                                                                                                                                                                teaspoon                                                                                                                                                                sweet smoked paprika, 4                                                                                                                                                                large                                                                                                                                                                free-range eggs","Peel and finely slice the garlic, pick and roughly chop the parsley leaves and finely chop the stalks, deseed and finely slice the peppers. Roughly chop the tomatoes., Halve any larger potatoes, then cook in a pan of boiling salted water for 15 minutes, or until tender. Drain and leave aside to cool., Heat a drizzle of oil in a large non-stick frying pan on a medium heat, roughly chop the chorizo into 1cm pieces, then add to the pan and fry for 3 to 4 minutes, or until golden., Add the garlic and parsley stalks, cook for a further 2 minutes, then throw in the peppers and paprika. Reduce the heat to medium-low and cook for around 10 minutes, or until the peppers are soft and turning golden., Meanwhile, preheat the grill to medium-high., Squash the potatoes slightly and add to the pan. Turn the heat back up and fry for a few more minutes, stirring., Add the tomatoes and continue cooking for 5 minutes, or until the tomatoes have cooked down slightly., Make 4 wells in the pan, then carefully crack in the eggs. Cook for a couple of minutes, then pop the pan under the grill for 2 to 3 minutes, or until cooked to your liking – keep an eye on it., Season to taste with sea salt and black pepper, sprinkle over the parsley leaves, then serve straight away."
Prawn & chorizo orzo | Seafood recipes | Jamie magazine,With vine tomatoes & fresh basil,"https://img.jamieoliver.com/jamieoliver/recipe-database/46262596.jpg?tr=w-800,h-1066","['Serves', '4']",In35 minutes,"“A quick and easy, flavour-packed pasta bake with king prawns and sweet cherry tomatoes – simply delicious! ”",513,15.7g,2.6g,6.8g,1.1g,28.8g,60.3g,3.6g,"2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 200                                                                                                                                                                g                                                                                                                                                                quality chorizo, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh basil                                                                                                                                                                , (15g), 4                                                                                                                                                                tablespoons                                                                                                                                                                olive oil, 2                                                                                                                                                                tablespoons                                                                                                                                                                sherry vinegar, 400                                                                                                                                                                ml                                                                                                                                                                passata, 300                                                                                                                                                                g                                                                                                                                                                orzo, 200                                                                                                                                                                g                                                                                                                                                                cherry tomatoes, on the vine, 400                                                                                                                                                                g                                                                                                                                                                large cooked peeled king prawns                                                                                                                                                                , from sustainable sources","Preheat the oven to 180ºC/350ºF/gas 4., Peel and finely chop the garlic, and slice the chorizo. Pick and finely chop the basil., Heat half the oil in a heavy-based pan. Fry the garlic and chorizo for 3 minutes, then deglaze the pan with the vinegar., Add the passata and 300ml of water, then the orzo. Bring to the boil, reduce the heat and simmer for 10 to 15 minutes, or until the orzo is al dente, stirring occasionally to prevent it sticking., Spread the cherry tomatoes over a baking tray, drizzle with the rest of the oil and season. Roast for 10 minutes, or until soft., Stir half the basil into the pasta, along with the prawns., Divide between bowls, top with the remaining basil and serve the roasted tomatoes alongside."
Leftover chicken with tomatoes and crispy chorizo | Chicken recipes | Jamie magazine,"Garlic, chilli & sweet paprika","https://img.jamieoliver.com/jamieoliver/recipe-database/BKcMFe-oaiN8wcPUUgjl9A.jpg?tr=w-800,h-1066","['Serves', '6']",In1 hour,"“This is a great way to use up chicken you’ve been poaching for a stock (see Fresh Tomato Broth). Otherwise, use any leftover chicken you have and scale down the other ingredients accordingly.  ”",755,52.9g,17g,9g,,57.7g,11.9g,,"1                                                                                                                                                                                                                    yellow pepper, 1                                                                                                                                                                                                                    orange pepper, 1                                                                                                                                                                                                                    onion, 4                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                kg                                                                                                                                                                ripe mixed-colour tomatoes, 1                                                                                                                                                                                                                    fresh red chilli, a few                                                                                                                                                                sprigs of                                                                                                                                                                fresh oregano, olive oil, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                sweet paprika, 2                                                                                                                                                                kg                                                                                                                                                                free-range poached chicken, 200                                                                                                                                                                ml                                                                                                                                                                organic chicken stock, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                fennel seeds, 2                                                                                                                                                                                                                    fresh quality chorizo sausages (roughly 250g), extra virgin olive oil, 2                                                                                                                                                                heaped tablespoons                                                                                                                                                                crème fraîche, 2                                                                                                                                                                tablespoons                                                                                                                                                                balsamic vinegar","Blacken the peppers over a gas flame or under the grill, then place in a bowl and cover with clingfilm to steam. After 15 minutes, they should be really easy to peel, so peel off and discard the skin., Peel and finely slice the onion and garlic, then roughly chop the tomatoes. Halve, deseed and finely slice the chilli, then pick and finely chop the oregano leaves., Heat a little olive oil in a large frying pan over a medium heat. Add the onion and fry for a couple of minutes, then add the garlic, tomatoes, paprika, chilli and most of the oregano. Cook for around 5 minutes, or until starting to soften., Pull the chicken off the bones in chunky pieces, discarding the bones and skin. Add the chicken to the pan with the stock., Tear the peppers into chunky strips, add to the pan and stir well. Leave to bubble away for 25 minutes, or until the sauce has reduced and is thick and glossy., Place the fennel seeds into a pestle and mortar and bash until crushed., Place a second frying pan over a high heat. Slice open the skins of the chorizo sausages. Add a splash of olive oil to the pan and squeeze in the meat from the sausages, then add the crushed fennel seeds., Cook for about 5 minutes, or until dark golden, crisp and smelling fantastic, using a wooden spoon to break up the chorizo, stirring occasionally., Add a good lug of extra virgin olive oil and a generous pinch of sea salt and black pepper to the chicken., Take the pan straight to the table, dollop over the crème fraîche, drizzle with the balsamic and scatter with the crisp chorizo and reserved oregano. Delicious served with warm flatbreads or tortillas, or as a topping for jacket potatoes."
