Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Minty courgette tart | Jamie Oliver recipes,"Golden flaky pastry, black olive tapenade & goat's cheese","https://img.jamieoliver.com/jamieoliver/recipe-database/150893975.jpg?tr=w-800,h-1066","['to', '6']",35 minutes,"“Inspired by cooking amazing courgettes with a wonderful Syrian lady called Majda, who had fled to Marseille and started up an incredible restaurant, this is my unconventional take on a pissaladière. ”",584,41.8g,15.8g,7.5g,1.3g,15.9g,50.9g,5.4g,"1.5                                                                                                                                                                kg                                                                                                                                                                courgettes, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                dried mint, 320                                                                                                                                                                g                                                                                                                                                                sheet of ready-rolled puff pastry (cold), 6                                                                                                                                                                teaspoons                                                                                                                                                                black olive tapenade, 80                                                                                                                                                                g                                                                                                                                                                goat's cheese",
"Courgette, tomato & mozzarella al forno | Jamie Oliver Cookbook Club recipes",,"https://img.jamieoliver.com/jamieoliver/recipe-database/140240042.jpg?tr=w-800,h-1066","['Serves', '2']",,"“This comforting dish is perfect for lunchtime, as it’s super-easy to prepare (you can make it ahead and bake it when you need it) and is super-satisfying. I would usually serve it with some grilled bread rubbed with garlic and olive oil. Try to use medium-sized firm courgettes (zucchini), as the big soft ones tend to break up and can be a bit wet. If you can’t get fresh plum tomatoes, use tomato passata instead – about 300ml should do it. ”",,,,,,,,,"3                                                                                                                                                                tablespoons                                                                                                                                                                extra-virgin olive oil, 1                                                                                                                                                                                                                    onion                                                                                                                                                                , finely sliced, 4                                                                                                                                                                                                                    courgettes                                                                                                                                                                , (zucchini), sliced into 1cm (½in) rounds, 4                                                                                                                                                                                                                    ripe plum tomatoes                                                                                                                                                                , finely chopped, 1                                                                                                                                                                teaspoon                                                                                                                                                                chopped thyme leaves, 150                                                                                                                                                                g                                                                                                                                                                mozzarella                                                                                                                                                                , (5½oz), roughly cut into 1cm (½in) chunks, 50                                                                                                                                                                g                                                                                                                                                                dried breadcrumbs                                                                                                                                                                , (1¾oz), 75                                                                                                                                                                g                                                                                                                                                                Parmesan                                                                                                                                                                , (2½oz), grated, sea salt and freshly ground black pepper","Preheat the oven to 200°C/180°C fan/400°F/Gas 6. Heat 2 tablespoons of the olive oil in a large, non-stick frying pan over a medium heat. When hot, add the onion and cook for 3 minutes, then add the courgettes and ½ teaspoon of salt and reduce the heat to low. Cook the courgettes for 15 minutes, until they have a little colour and the onions are soft. Add the tomatoes and thyme and cook over a low heat for a further 15 minutes, until everything has a similar texture. Check the seasoning, remove from the heat and set aside., Use the remaining olive oil to grease the inside of a small baking dish. Tip the courgette and tomato mixture into the dish, then top it with the mozzarella. Mix the breadcrumbs and Parmesan together and sprinkle the mixture evenly over the top of the dish., Bake the dish for 20 minutes, until the top is golden and bubbling, then remove it from the oven and leave it to rest for 5 minutes before serving."
Satisfying veggie bake | Jamie Oliver,,"https://img.jamieoliver.com/jamieoliver/recipe-database/128254962.jpg?tr=w-800,h-1066","['Serves', '8']",,"“We all need extraordinarily tasty ways to get in the good stuff, and with five of your 5-a-day per portion, this dish makes me very happy. ”",580,13.7g,5.3g,21.3g,1.3g,24g,96.2g,11.2g,"3                                                                                                                                                                                                                    onions, 3                                                                                                                                                                cloves of                                                                                                                                                                garlic, olive oil, 3                                                                                                                                                                level teaspoons                                                                                                                                                                ground coriander, 3                                                                                                                                                                teaspoons                                                                                                                                                                olive tapenade, 3                                                                                                                                                                                                                    mixed-colour peppers, 3                                                                                                                                                                                                                    sweet potatoes, 3                                                                                                                                                                large                                                                                                                                                                portobello mushrooms, 3                                                                                                                                                                                                                    courgettes, 3 x 400                                                                                                                                                                g tins of                                                                                                                                                                quality plum tomatoes, 3                                                                                                                                                                large                                                                                                                                                                free-range eggs, 500                                                                                                                                                                g                                                                                                                                                                Greek-style yoghurt, 100                                                                                                                                                                g                                                                                                                                                                feta cheese, 1                                                                                                                                                                bunch of                                                                                                                                                                oregano                                                                                                                                                                , (20g), 1                                                                                                                                                                packet of                                                                                                                                                                filo pastry                                                                                                                                                                , (270g), 1                                                                                                                                                                mug of                                                                                                                                                                basmati rice                                                                                                                                                                , (300g), 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                 butter beans",
Greenhouse couscous salad | Jamie Oliver recipes,"Garlicky roasted courgettes, feta & chilli","https://img.jamieoliver.com/jamieoliver/recipe-database/126770056.jpg?tr=w-800,h-1066","['Serves', '10']",,,207,7.7g,3g,4.6g,1.1g,8g,28.4g,2.3g,"700                                                                                                                                                                g                                                                                                                                                                ripe mixed-colour tomatoes, 2                                                                                                                                                                                                                    fresh mixed-colour chillies, 1                                                                                                                                                                bunch of                                                                                                                                                                basil                                                                                                                                                                , (30g), red wine vinegar, 1                                                                                                                                                                mug of                                                                                                                                                                couscous                                                                                                                                                                , (300g), 500                                                                                                                                                                g                                                                                                                                                                baby courgettes, 4                                                                                                                                                                cloves of                                                                                                                                                                 garlic, 6                                                                                                                                                                                                                    black olives                                                                                                                                                                , stone in, olive oil, 200                                                                                                                                                                g                                                                                                                                                                feta cheese, extra virgin olive oil",
Pizza twister bread | Jamie Oliver recipes,"Stuffed with courgettes, cherry tomatoes & pesto","https://img.jamieoliver.com/jamieoliver/recipe-database/118156132.jpg?tr=w-800,h-1066","['Serves', '6']",plus proving,"“Now this is pizza like you’ve never seen it before. These gorgeous swirls are full of soft sweet veg, tangy pesto, melted cheese, and punchy olives bringing little flavour bombs to the mix.  ”",438,14g,4.3g,4.3gg,1.2g,15.7g,66.2g,3.7gg,"500                                                                                                                                                                g                                                                                                                                                                strong bread flour                                                                                                                                                                , plus extra for dusting, 1 x 7                                                                                                                                                                g sachet of                                                                                                                                                                dried yeast, olive oil, extra virgin olive oil, balsamic vinegar, ½                                                                                                                                                                a bunch of                                                                                                                                                                basil                                                                                                                                                                , (15g), 150                                                                                                                                                                g                                                                                                                                                                mixed-colour cherry tomatoes, 1                                                                                                                                                                                                                    courgette, 8                                                                                                                                                                to 10                                                                                                                                                                black olives                                                                                                                                                                , (stone in), 100                                                                                                                                                                g                                                                                                                                                                red pesto, 1 x 125                                                                                                                                                                g ball of                                                                                                                                                                mozzarella cheese","Place the flour in a large dough with a good pinch of sea salt. Pour 325ml of tepid water into a jug. Add the yeast and mix with a fork for a couple of minutes, until dissolved. Add a pinch of the flour and mix well, then pour the yeast mixture into the bowl. Use a fork to mix it all together until you can’t move it anymore – this will stop the dough sticking to your hands., Now get your clean hands in there and bring it together as a ball of dough, kneading and moving it around the bowl until the dough comes away from the sides., Transfer the dough to a flour-dusted surface and keep it moving, kneading, pushing and stretching it for 5 minutes, or until you have a silky and elastic dough., Use your floured hands to shape the dough into a rough ball, put it in an oiled bowl, and cover with a clean, damp tea towel. Allow it to prove for about an hour, or until doubled in size – ideally in a warm, draught-free place., Meanwhile, drizzle 1 tablespoon each of extra virgin olive oil and balsamic vinegar into a large bowl. Tear in the basil leaves, then halve the tomatoes and finely slice the courgette, adding them to the bowl as you go. Squash, destone and tear over the flesh of the olives and toss everything together gently with your hands., Once the dough has doubled in size, knock the air out by punching it with your fist, then knead on a flour-dusted surface for 30 seconds, or until smooth., Use a rolling pin to roll out the dough to about the size of a tea towel, then rub the red pesto all over the dough using your hands, spreading it out to the edges. Scatter over the courgette mix evenly and tear over the mozzarella., Roll up the dough lengthways, like a Swiss roll, wrapping all the lovely fillings inside, then with a sharp knife, cut into twelve chunks. Place the pieces close together, swirl-side up, in an ovenproof pan (about 26cm) or on a snug, oiled baking tray, then cover with a clean tea towel. Leave to prove again for 30 minutes to an hour, or until it has doubled in size., Preheat the oven to 190ºC/350ºF/gas 4. Bake on the bottom of the oven for about 35 minutes, or until golden and crispy. Turn the loaf out onto a board and allow to cool slightly before serving. Delicious!"
Buddy's easy meatballs | Jamie Oliver recipes,"With grated courgette, mushroom, onion & garlic","https://img.jamieoliver.com/jamieoliver/recipe-database/111664738.jpg?tr=w-800,h-1066","['little', 'meatballs)']",& chilling,"“There’s not much chopping with this easy recipe, simply grate all the veg on a box grater, then squish and scrunch everything together for super-tasty veg-packed meatballs. ”",209,9.5g,2.9g,7.1g,0.4g,19.3g,11.2g,2.1g,"1                                                                                                                                                                                                                    onion, 4                                                                                                                                                                                                                    cloves of garlic, 1                                                                                                                                                                                                                    courgette, 6                                                                                                                                                                                                                    chestnut mushrooms, olive oil, 200                                                                                                                                                                g                                                                                                                                                                higher-welfare lean minced beef, 200                                                                                                                                                                g                                                                                                                                                                higher-welfare lean minced pork, 50                                                                                                                                                                g                                                                                                                                                                wholemeal breadcrumbs, 20                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, 1                                                                                                                                                                                                                    large free-range egg, 1 x 600                                                                                                                                                                g                                                                                                                                                                jar of passata","Peel the onion and 2 cloves of garlic. Coarsely grate them on a box grater with the courgette and mushrooms, then tip everything into a large frying pan on a medium heat with 1 tablespoon of olive oil. Cook for 10 minutes, or until softened., Tip the cooked vegetables into a bowl and leave to cool. Add the minced beef and pork into the cooled vegetables along with the breadcrumbs. Finely grate in most of the Parmesan cheese and crack in the egg, then season with a little black pepper. With clean hands, squish and squash the mixture together until it’s all nicely combined. Now wash your hands!, With wet hands, take tablespoons of the mixture and shape into 24 little balls. Pop them onto a tray and leave in the fridge to firm up for 10 minutes or so. Wash your hands again., Place a large non-stick frying pan on a medium heat with 1 teaspoon of oil. Add the balls into the pan and cook for 8 to 10 minutes, or until golden brown and gnarly all over, turning regularly., Peel and finely chop the remaining garlic cloves. Create a little space in the pan in between the meatballs, add the garlic for 2 minutes, then pour in the passata. Give the pan a gentle shake so the balls are evenly coated in the sauce. Simmer for 30 minutes, or until the meatballs are cooked through and the sauce is thick and delicious, stirring occasionally."
Fridge-raid stir-fry | Jamie Oliver recipes,"Glazed hoisin pork, crunchy veg & noodles","https://img.jamieoliver.com/jamieoliver/recipe-database/106043399.jpg?tr=w-800,h-1066","['Serves', '4']",In35 minutes,"“Getting prepped up front is the key to success when it comes to a stir-fry. It might seem stage-y, but when you combine all the different elements in one joyful bowl at the end you’ll be so pleased you went to all that effort. Also, everything here is quick to do, so it’s not a long one in terms of total time. I’ve given you quantities for the veg I used, but you basically want about 600g of crunchy veg in total (as well as the salad). When it comes to the actual stir-frying, it’s best to do no more than 2 portions at a time so you can retain maximum control. Happy cooking!  ”",600,16.4g,4.8g,16.1g,1.8g,44.1g,70.3g,7.7g,"150                                                                                                                                                                g                                                                                                                                                                purple sprouting broccoli, 2                                                                                                                                                                teaspoons                                                                                                                                                                sesame oil, 2                                                                                                                                                                large                                                                                                                                                                free-range eggs                                                                                                                                                                , optional, 1                                                                                                                                                                tablespoon                                                                                                                                                                Worcestershire sauce                                                                                                                                                                , optional, 1                                                                                                                                                                                                                    cucumber, 2                                                                                                                                                                tablespoons                                                                                                                                                                low-salt soy sauce, ½                                                                                                                                                                                                                    a lime, 1                                                                                                                                                                                                                    round or little gem lettuce, 250                                                                                                                                                                g                                                                                                                                                                noodles, ½                                                                                                                                                                                                                    a leek, 2                                                                                                                                                                small                                                                                                                                                                carrots, 150                                                                                                                                                                g                                                                                                                                                                baby courgettes, 2                                                                                                                                                                tablespoons                                                                                                                                                                unsalted peanuts or cashew nuts, 1 x 500                                                                                                                                                                g                                                                                                                                                                piece of higher-welfare pork fillet, olive oil, 4                                                                                                                                                                tablespoons                                                                                                                                                                hoisin sauce, 150                                                                                                                                                                g                                                                                                                                                                frozen peas and soya beans, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh mint or parsley                                                                                                                                                                , optional, chilli sauce                                                                                                                                                                , to serve","Trim the tough ends off the broccoli stalks, then halve any thicker stalks. Blanch in a pan of boiling salted water for a few minutes, until just cooked, then remove and toss with the sesame oil. If using eggs, cook in the water for 7 minutes, then remove, cool under running water and peel. Place in a reusable bag with the Worcestershire sauce and twist to seal, letting the sauce stain the eggs., Use a fork to scrape down the length of the cucumber, all the way round – this helps the dressing to cling on. Cut at an angle into 1cm slices then, in a bowl, mix with the soy sauce and lime juice. Set aside, turning the cucumber slices occasionally, so they soak up all that lovely flavour., Click the lettuce leaves apart, then wash and place in a bowl of cold water so they remain lovely and crisp. Simply drain and spin dry when ready to serve., Cook the noodles according to the packet instructions, then drain, refresh and cool under cold running water, and set aside., Trim the leek and halve lengthways, wash, then cut into 5cm lengths and finely slice – we’re looking for harmony between the size of the veg and the noodles., Peel the carrots. Trim and slice the courgettes and carrots lengthways, then cut into batons., Put a non-stick frying pan on a medium-high heat. Toast the nuts as it heats up, removing to a pestle and mortar once golden. Bash until crushed and set aside., Trim the pork of any sinew, then cut into 1½cm thick rounds. Place in the pan with 1 tablespoon of olive oil and cook for 5 minutes, or until golden and just cooked through, turning halfway. Turn the heat off and spoon over the hoisin sauce, then pile the broccoli at one side of the pan to warm through., Alongside, put a large non-stick frying pan or wok on a medium-high heat with ½ a tablespoon of olive oil., Sprinkle half the chopped veg, half the peas and beans, and half the noodles into a pan. Stir-fry over the heat for just a couple of minutes, then divide between serving bowls., Portion up some hoisin pork and broccoli, add half an egg to each bowl (if using), with some cucumber and lettuce. Pick over some herb leaves, scatter over some nuts, then drizzle with chilli sauce, to taste. Let two lucky people tuck in, while you rattle out the remaining portions."
Roasted veggie curry | Jamie Oliver recipes,Spiced spinach-stuffed naan,"https://img.jamieoliver.com/jamieoliver/recipe-database/106021898.jpg?tr=w-800,h-1066","['Serves', '8']",10 minutes,"“Roasting the veg before immersing them in a ridiculously tasty sauce really intensifies their natural flavour, giving you even more bang for your buck. I’ve kept things fairly gentle on the spice front so that all my kids will give it a go, but feel free to add extra heat, if you like. I’m also giving you a cheat’s naan, which all my kids fight over. We’re using it as a vehicle to really bring spinach to life, but feel free to stuff with another veg of your choice, or to not stuff it at all! If you’re feeding fewer than 8 people, leftover portions of this curry freeze really well (see tip), so fill your boots.  ”",345,13.6g,6g,12.6g,1.6g,10.7g,47.8g,6.6g,"1                                                                                                                                                                heaped teaspoon                                                                                                                                                                Madras curry paste, olive oil, red wine vinegar, 1                                                                                                                                                                                                                    parsnip, 2                                                                                                                                                                                                                    carrots, ½                                                                                                                                                                                                                    a butternut squash                                                                                                                                                                , (600g), 1                                                                                                                                                                                                                    courgette, 200                                                                                                                                                                g                                                                                                                                                                frozen cauliflower, 4                                                                                                                                                                cm                                                                                                                                                                piece of ginger, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2                                                                                                                                                                tablespoons                                                                                                                                                                mango chutney, 1 x 400                                                                                                                                                                g                                                                                                                                                                tin of plum tomatoes, 1 x 400                                                                                                                                                                g                                                                                                                                                                tin of light coconut milk, 100                                                                                                                                                                g                                                                                                                                                                frozen peas, STUFFED NAAN, 1                                                                                                                                                                small knob of                                                                                                                                                                unsalted butter, 6                                                                                                                                                                                                                    cloves, ½                                                                                                                                                                                                                    a cinnamon stick, 1                                                                                                                                                                small                                                                                                                                                                leek, 300                                                                                                                                                                g                                                                                                                                                                frozen spinach, 2                                                                                                                                                                mugs (600g) of                                                                                                                                                                self-raising flour                                                                                                                                                                , plus extra for dusting, 100                                                                                                                                                                g                                                                                                                                                                feta cheese","Preheat the oven to 200ºC/400ºF/gas 6., In a large roasting tray, mix the curry paste with a pinch of sea salt, 2 tablespoons of oil and 1 tablespoon of vinegar., Wash the parsnip, carrots and butternut squash (we’re leaving the skins on). Quarter the parsnip lengthways, remove the fluffy core and chop into bite-sized chunks (about 2cm), adding to the tray as you go., Repeat with the courgette, then chop up the carrots. Deseed the squash and chop to a similar size. Get it all in the tray with the cauliflower and mix until well coated., Roast the veg for 40 to 50 minutes, or until golden, gnarly and cooked through., Meanwhile, for the sauce, put a large shallow casserole pan on a medium heat. Peel and finely chop the ginger and garlic, and place in the pan with 1 tablespoon of oil, stirring regularly., As soon as it starts to colour, stir in the mango chutney. Let it sizzle for a minute, then pour in the tomatoes, breaking them up with your spoon. As soon as they start to bubble, add the coconut milk. Bring it to the boil, then turn off the heat., To make the naans, melt the butter in a large non-stick ovenproof frying pan on a medium heat, then add the cloves and cinnamon stick., Trim the leek and quarter lengthways, wash, finely slice and add to the pan, followed by the spinach. Stir regularly, until dark, dry and intense, then remove and leave to cool., Pour the flour into a large bowl with a pinch of salt, make a well in the middle and add 1 mug (300ml) of water (using the same mug you used to measure your flour, a regular cup is fine) and 1 tablespoon of oil. Use a fork to gradually mix the flour into the liquid, until it gets too hard to mix., At this point, use your clean floured hands to knead the dough on a flour-dusted surface for a couple of minutes, adding a little extra flour, if needed. You want it to be pliable so don’t add too much flour, but it shouldn’t be sticking to your work surface., Now, oil your surface, then stretch and push the dough out into a 30cm circle. Crumble the feta over the cool spinach mixture and mix together, then place in the middle of the dough, leaving a 5cm border at the edge., Fold in the dough over the filling, patting it together as you go and sealing the filling inside, then pat out to just under 25cm. Wipe out your frying pan, then gently lift the naan into it., Cook the naan at the bottom of the oven for 20 to 25 minutes, or until golden and crisp on the outside, fluffy in the middle., A few minutes before you’re ready to serve, bring the sauce back to a simmer, then add all the roasted veg and the frozen peas, and simmer until the peas are cooked and the sauce is a good consistency., Slice up your naan and serve up with your curry at the table. Nice with a dollop of yoghurt and any chutney or pickles, if you like."
