Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Couscous & chicken bake | Jamie Oliver recipes,"Tzatziki marinade, sweet red peppers & charred peppers","https://img.jamieoliver.com/jamieoliver/recipe-database/154992384.jpg?tr=w-800,h-1066","['Serves', '4']",plus marinating,"“Couscous is used across the Mediterranean in so many wonderful ways – here I’m putting it centre stage to create the most outrageous bake, with a crispy outside and beautifully fluffy centre. ”",790,30.2g,9.8g,19.2g,2.3g,53.2g,81g,8.3g,"1 x 460                                                                                                                                                                g jar of                                                                                                                                                                roasted red peppers, 2 x 200                                                                                                                                                                g tubs of                                                                                                                                                                tzatziki, 1                                                                                                                                                                kg                                                                                                                                                                higher-welfare mixed chicken thighs and drumsticks                                                                                                                                                                , skin on, bone in, 4                                                                                                                                                                                                                    red onions, 300                                                                                                                                                                g                                                                                                                                                                couscous",
Gnarly oven-baked mushrooms | Jamie Oliver recipes,Simple cherry tom sauce & lemony couscous,"https://img.jamieoliver.com/jamieoliver/recipe-database/134449904.jpg?tr=w-800,h-1066","['Serves', '4']",In50 minutes,“Don't be tempted to take the mushrooms out of the oven too soon – leave them to get beautifully dark and gnarly at the edges for bonus flavour. ”,444,19.7g,5.8g,8.6g,1.53g,19.9g,45.3g,9.3g,"8                                                                                                                                                                                                                    portobello mushrooms, olive oil, 1                                                                                                                                                                                                                    lemon, 300                                                                                                                                                                g                                                                                                                                                                wholewheat couscous, 3                                                                                                                                                                sprigs of                                                                                                                                                                fresh mint, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 3                                                                                                                                                                sprigs of                                                                                                                                                                fresh rosemary, 2                                                                                                                                                                tablespoons                                                                                                                                                                baby capers, 2 x 400                                                                                                                                                                g tins of                                                                                                                                                                quality cherry tomatoes, 80                                                                                                                                                                g                                                                                                                                                                halloumi cheese, 40                                                                                                                                                                g                                                                                                                                                                unsalted pistachios","Preheat the oven to 220°C/425°F/gas 7., Peel 8 portobello mushrooms and place cap-side up in a 25cm x 35cm sturdy roasting tray., Drizzle over 1 tablespoon of olive oil and season with sea salt and black pepper, then bake for 20 minutes, or until golden., Meanwhile, finely grate the zest of ½ a lemon into a large bowl, add 300g of wholewheat couscous, 1 sprig of fresh mint and a pinch of pepper. Pour in just enough boiling kettle water to cover, pop a plate on top and leave to fluff up., Peel and finely slice 2 cloves of garlic, then pick and finely chop the leaves from 3 sprigs of fresh rosemary., When the time’s up, remove the tray from the oven and transfer the mushrooms to a plate., Place the roasting tray on the hob over a medium-high heat with 1 tablespoon of olive oil, add the garlic and rosemary and cook for 1 minute, then stir in the 2 tablespoons of baby capers and 2 x 400g tins of cherry tomatoes. Cook for 5 minutes, or until slightly thickened and reduced, stirring occasionally., Arrange the mushrooms snugly in the sauce, tear over 80g of halloumi and scatter over 40g of shelled unsalted pistachios, then return to the oven at 200°C/400°F/gas 6 for 15 minutes, or until gnarly at the edges., Fork up the couscous, squeeze over the juice from the zested lemon and toss together, discarding the mint. Season to taste., Serve the mushrooms and sauce on top of the couscous, then pick and tear over the remaining 2 sprigs of fresh mint."
Greenhouse couscous salad | Jamie Oliver recipes,"Garlicky roasted courgettes, feta & chilli","https://img.jamieoliver.com/jamieoliver/recipe-database/126770056.jpg?tr=w-800,h-1066","['Serves', '10']",,,207,7.7g,3g,4.6g,1.1g,8g,28.4g,2.3g,"700                                                                                                                                                                g                                                                                                                                                                ripe mixed-colour tomatoes, 2                                                                                                                                                                                                                    fresh mixed-colour chillies, 1                                                                                                                                                                bunch of                                                                                                                                                                basil                                                                                                                                                                , (30g), red wine vinegar, 1                                                                                                                                                                mug of                                                                                                                                                                couscous                                                                                                                                                                , (300g), 500                                                                                                                                                                g                                                                                                                                                                baby courgettes, 4                                                                                                                                                                cloves of                                                                                                                                                                 garlic, 6                                                                                                                                                                                                                    black olives                                                                                                                                                                , stone in, olive oil, 200                                                                                                                                                                g                                                                                                                                                                feta cheese, extra virgin olive oil",
Juicy seared steak | Jamie Oliver recipes,"Tomatoes, artichokes, mint, lemon & fluffy couscous","https://img.jamieoliver.com/jamieoliver/recipe-database/121303481.jpg?tr=w-800,h-1066","['Serves', '2']",In20 minutes,"“If you’re cooking to impress, a juicy, flavour-packed steak ticks a lot of boxes, and this dish takes your average steak night to a totally different place. It’s got toasted almonds, fluffy couscous, and a game-changing ingredient – preserved lemons. These jarred beauties are like an ultra lemon, and have the power to completely transform a dish – give them a try. 
 ”",470,16.9g,3.5g,8.8g,1.4g,34.4g,47.9g,7.1g,"½                                                                                                                                                                a bunch of                                                                                                                                                                mint                                                                                                                                                                , (15g), 100                                                                                                                                                                g                                                                                                                                                                couscous, 1 x 200                                                                                                                                                                g                                                                                                                                                                higher-welfare sirloin steak, 20                                                                                                                                                                g                                                                                                                                                                flaked almonds, ½                                                                                                                                                                tablespoon                                                                                                                                                                runny honey, 160                                                                                                                                                                g                                                                                                                                                                ripe mixed-colour cherry tomatoes, ½ x 185                                                                                                                                                                g jar of                                                                                                                                                                artichoke hearts in oil, 1                                                                                                                                                                small                                                                                                                                                                preserved lemon",
Quickest white fish tagine | Jamie Oliver recipes,"Sweet cherry tomatoes, harissa, asparagus & fluffy couscous","https://img.jamieoliver.com/jamieoliver/recipe-database/109469720.jpg?tr=w-800,h-1066","['Serves', '2']",In15 minutes,,560,13.4g,2.2g,10.9g,1.5g,43.5g,70.2g,4.9g,"150                                                                                                                                                                g                                                                                                                                                                couscous, 4                                                                                                                                                                cloves of                                                                                                                                                                garlic, olive oil, 250                                                                                                                                                                g                                                                                                                                                                ripe mixed-colour cherry tomatoes, 250                                                                                                                                                                g                                                                                                                                                                asparagus, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                rose harissa, 2 x 150                                                                                                                                                                g                                                                                                                                                                white fish fillets, skin off, pin-boned, from sustainable sources, 1                                                                                                                                                                                                                    lemon, 2                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt",
Harissa cauliflower traybake | Recipes | Jamie Oliver,"Peppers & tomatoes, fluffy couscous & mint-rippled yoghurt","https://img.jamieoliver.com/jamieoliver/recipe-database/109469715.jpg?tr=w-800,h-1066","['Serves', '4']",20 minutes,,513,14g,2.7g,19.2g,1.4g,18.9g,82.4g,10.8g,"1                                                                                                                                                                                                                    head of cauliflower (800g), 3                                                                                                                                                                                                                    mixed-colour peppers, 400                                                                                                                                                                g                                                                                                                                                                ripe tomatoes, 1                                                                                                                                                                                                                    bulb of garlic, olive oil, red wine vinegar, 2                                                                                                                                                                heaped tablespoons                                                                                                                                                                rose harissa, 300                                                                                                                                                                g                                                                                                                                                                couscous, 1                                                                                                                                                                bunch of                                                                                                                                                                mint (30g), 8                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt","Preheat the oven to 220°C/425°F/gas 7., Click off and discard only the tatty outer leaves from the cauliflower, then cut it into quarters. Quarter the peppers and halve the tomatoes, removing and discarding the seeds. Break the unpeeled garlic bulb into cloves. Mix it all in a large sturdy roasting tray with 2 tablespoons each of olive oil and red wine vinegar, the harissa, a pinch of sea salt and black pepper and a good splash of water., Cover the tray tightly with tin foil, put it on a medium heat on the hob, and when it starts to sizzle, transfer it to the oven for 40 minutes., Get the tray out of the oven, remove the foil, tilt the tray and spoon all the delicious juices into a little jug for later. Return the tray to the oven for 20 minutes, to get golden., Place the couscous in a bowl, add a pinch of salt and pepper, then just cover with boiling kettle water, and cover., Pick most of the mint leaves into a blender, blitz with 6 tablespoons of yoghurt until smooth, then ripple it back through the remaining yoghurt., Fluff up the couscous. Warm the reserved juices. Squeeze the soft garlic out of the skin. Serve it all together, sprinkled with mint leaves."
Buddy's BBQ chicken lollipops | Jamie Oliver recipes,Pepper & pineapple salsa & couscous,"https://img.jamieoliver.com/jamieoliver/recipe-database/107404340.jpg?tr=w-800,h-1066","['2', 'adults']",In20 minutes,"“Using skewers to make chicken lollipops is a really fun thing to do with kids – they’ll love helping to make them, and tucking in, too. Tweak the salsa to embrace ingredients your kids love, and it can also be a useful vehicle to introduce them to new tastes. ”",579,15.3g,3.2g,19.4g,0.3g,41.3g,72.2g,7.9g,"150                                                                                                                                                                g                                                                                                                                                                wholewheat couscous, olive oil, 2                                                                                                                                                                                                                    lemons, 2 x 120                                                                                                                                                                g                                                                                                                                                                free-range skinless chicken breasts, 4                                                                                                                                                                                                                    sprigs of fresh rosemary tied together with a piece of string, 1                                                                                                                                                                teaspoon                                                                                                                                                                runny honey, 1                                                                                                                                                                                                                    red pepper, ¼                                                                                                                                                                                                                    of a small red onion, 150                                                                                                                                                                g                                                                                                                                                                fresh pineapple, extra virgin olive oil, ½                                                                                                                                                                                                                    a bunch of fresh soft herbs (15g), such as mint, flat-leaf parsley                                                                                                                                                                , optional, 4                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt","Soak 6 wooden skewers in a tray of cold water – this will prevent them from burning on the barbecue later., Place the couscous in a bowl and add ½ a tablespoon of oil. Finely grate in the zest of ½ a lemon, squeeze in half the juice, then add the squeezed half for extra flavour. Just cover with boiling kettle water – get an adult to help you if you need to. Cover the bowl and put aside., Now, very carefully push 3 skewers horizontally into each chicken breast (if the skewers are too long, cut them in half). Wash your hands, then season the chicken breasts with black pepper, squeeze over the juice of ½ a lemon and drizzle with ½ a tablespoon of olive oil., You can cook the skewers on a hot barbecue or in a hot frying pan on the hob. Always get an adult to help you! Either way, cook the skewers for 8 to 10 minutes, or until golden and cooked through, turning regularly with tongs. For the final minute of cooking, grab your rosemary sprigs and use them to brush the honey over the chicken, giving it a lovely sticky glaze., To make a zingy salsa, first clean down your board. Halve, deseed and finely chop the pepper. Peel and finely chop the onion and the pineapple, then pop everything in a bowl, dress with a squeeze of lemon juice and a drizzle of extra virgin olive oil, then season to perfection. If you’ve got them, finely chop some fresh soft herbs using the cross-chop method, and add to the mix., Uncover the couscous, fluff it up with a fork, and divide between your plates., On a clean board, use a sharp knife to slice the chicken between the skewers. Check that it’s cooked and if it needs another minute or two, simply put it back on the barbecue., Place 3 chicken lollipops on each plate, and serve with the pineapple and pepper salsa, natural yoghurt, for dipping, and lemon wedges, for squeezing over."
Italian chicken stew recipe | Jamie Oliver chicken recipes,"Beautiful, scented soft aubergines & tomatoes with capers","https://img.jamieoliver.com/jamieoliver/recipe-database/77460208.jpg?tr=w-800,h-1066","['Serves', '6']",In2 hours,"“Celebrating the flavours of the island of Salina, Nonna Marina inspired me to embrace the beautiful bounty growing in her back garden and create this dish, perfect for a feast. Sumptuous, comforting, melt-in-your-mouth chicken, gentle spice and delicious, buttery aubergines. With a glass of cold white wine, it’s pure joy. ”",299,18.2g,3.7g,6.8g,1g,26.2g,8.3g,1g,"3                                                                                                                                                                                                                    aubergines                                                                                                                                                                , (750g total), 1 x 1.4                                                                                                                                                                kg whole                                                                                                                                                                free-range chicken                                                                                                                                                                , jointed (ask your butcher), olive oil, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 3                                                                                                                                                                small                                                                                                                                                                fresh red chillies, 1                                                                                                                                                                                                                    cinnamon stick, 4                                                                                                                                                                sprigs of                                                                                                                                                                fresh woody herbs                                                                                                                                                                , such as rosemary, thyme, bay, 50                                                                                                                                                                g                                                                                                                                                                baby capers in brine, 2                                                                                                                                                                                                                    red onions, 200                                                                                                                                                                g                                                                                                                                                                ripe cherry tomatoes, 50                                                                                                                                                                g                                                                                                                                                                pine nuts, 2                                                                                                                                                                                                                    lemons, 4                                                                                                                                                                sprigs of                                                                                                                                                                fresh basil","Trim the aubergines, chop into random 5cm chunks and wedges, place in a large bowl and season generously from a height with sea salt. Put aside., Drizzle all the chicken pieces with oil, place in a large shallow pan on a medium-high heat, skin side down, to get golden on all sides, then remove to a large platter., Wipe the salt off the aubergines and add to the pan, turning until lightly golden on all sides. Remove the aubergines to the platter and reduce the heat under the pan to low., Peel and slice the garlic, prick the chillies and place both in the pan with the cinnamon, woody herbs and capers., Stir and fry for a couple of minutes while you peel and finely slice the onions, then stir them into the pan, too. Cook for 15 minutes, or until starting to caramelize, stirring occasionally., Preheat the oven to 180°C/350°F/gas 4., Squeeze the tomatoes in a bowl of water to remove the seeds – a fine nonna trick to prevent you getting splattered – then tear them into the pan., Put the chicken and aubergines back in, drizzle over any resting juices, then pour in 600ml of water., Sprinkle over the pine nuts, then squeeze over the lemon juice. Cook at the bottom of the oven for 45 minutes, or until golden., Pick over the basil leaves and serve with a nice big bowl of lemony couscous."
Simon Pegg's lamb tagine recipe | Jamie Oliver recipes,Homemade flatbreads & harissa yoghurt,"https://img.jamieoliver.com/jamieoliver/recipe-database/63117558.jpg?tr=w-800,h-1066","['Serves', '6']",15 minutes,"“Inspired by Simon's time spent on location in Marrakech, I’ve created this beautiful lamb tagine to transport him right back to the wonderful meals he enjoyed at the family-run hole-in-the-wall-style restaurants at the edge of the Medina. With brilliant spices and incredible, subtle aromas, it’s seriously tasty stuff! ”",648,32.9g,12.9g,20.9g,1.1g,33.2g,58.3g,7.0g,"1                                                                                                                                                                large pinch of                                                                                                                                                                saffron, 8                                                                                                                                                                                                                    dried prunes                                                                                                                                                                , (stone in), 2                                                                                                                                                                                                                    onions, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                teaspoon                                                                                                                                                                ground ginger, olive oil, 1                                                                                                                                                                stick of                                                                                                                                                                cinnamon, 750                                                                                                                                                                g                                                                                                                                                                diced lamb shoulder, 12                                                                                                                                                                                                                    mixed-colour baby courgettes, 300                                                                                                                                                                g                                                                                                                                                                mixed-colour baby carrots, ½                                                                                                                                                                a                                                                                                                                                                butternut squash                                                                                                                                                                , (600g), 250                                                                                                                                                                g                                                                                                                                                                couscous, 2                                                                                                                                                                                                                    cloves, 2                                                                                                                                                                tablespoons                                                                                                                                                                rose harissa, 250                                                                                                                                                                g                                                                                                                                                                natural yoghurt, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (15g)","In a small bowl, cover the saffron with 2 tablespoons of boiling water and leave to steep. Destone the prunes, place in a separate bowl and just cover with boiling water so the plump up., Peel and finely chop the onions and garlic, then season with the ground ginger and a pinch of sea salt and black pepper., Place a tagine or large casserole pan on a medium heat with 2 tablespoons of oil, then add the cinnamon for 1 minute to flavour the oil. Add the lamb, season with salt and pepper, then cook for 5 minutes, or until browned all over, stirring regularly., Push the meat to one side of the pan, placing the cinnamon stick on top, then add the seasoned onion and garlic alongside. Cook for 5 minutes, or until softened and caramelized, stirring occasionally., Gently scrub the courgettes and carrots, keeping them whole, peel and deseed the squash, then chop into 3cm chunks, and add it all to the pan. Pour in the prunes, saffron and all the soaking water, then top up with 200ml of water, and stir well., Bring to the boil, then cover and cook on a low heat for 1 hour 30 minutes to 2 hours, or until the lamb is tender and the veg are cooked through, stirring occasionally and adding splashes of water to loosen, if needed. Taste and season to perfection., Meanwhile, place the couscous in a bowl, season with salt and add the cloves, then just cover with boiling water and a drizzle of oil. Pop a plate on top and leave for 5 to 10 minutes to fluff up, then use a fork to fluff up again., Fold the harissa through the yoghurt. Serve the tagine, couscous and flatbreads with the harissa yoghurt, finishing with a scattering of mint leaves."
Greek chicken recipe | Jamie Oliver recipes,with herby couscous & tzatziki,"https://img.jamieoliver.com/jamieoliver/recipe-database/64801375.jpg?tr=w-800,h-1066","['Serves', '2']",In30 minutes,"“Full of lovely fresh veg and herbs, this couscous salad is delicious served with citrussy Greek-style chicken. Opting for super-lean chicken breasts is the key to keeping this recipe nice and healthy – it’s a great source of protein, to help keep your muscles strong. Teamed with a lovely salad of carrot ribbons, this is a colourful, tasty midweek dinner. And, if you’ve not made your own tzatziki before, give this a try and I guarantee you’ll be making it time and again. ”",676,13.5g,2.0g,17.1g,1.5g,45.9g,84.0g,6.4g,"1                                                                                                                                                                                                                    red pepper, 6                                                                                                                                                                                                                    spring onions, 20                                                                                                                                                                g                                                                                                                                                                black olives, 100                                                                                                                                                                g                                                                                                                                                                ripe cherry tomatoes, 170                                                                                                                                                                g                                                                                                                                                                couscous, ½                                                                                                                                                                a                                                                                                                                                                cucumber, 2                                                                                                                                                                                                                    free-range chicken breasts, olive oil, 1                                                                                                                                                                teaspoon                                                                                                                                                                dried oregano, 1                                                                                                                                                                                                                    lemon, 100                                                                                                                                                                g                                                                                                                                                                fat-free natural yoghurt, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh mint (15g), 1                                                                                                                                                                                                                    carrot, extra virgin olive oil","Fill a small pan with water, place over a medium heat and bring to the boil., Meanwhile, halve, deseed and finely chop the pepper. Trim and finely slice the spring onions. Bash the olives and tear out the stones, if needed, then roughly chop. Halve the cherry tomatoes, then place it all into a large bowl and set aside., Place the couscous into a bowl, cover with 250ml of the boiling water. Cover with a plate and set aside., While the couscous is steaming, coarsely grate the cucumber into a small bowl, add a pinch of sea salt and leave for 5 minutes., Meanwhile, place the chicken on a plate. Drizzle over 1 teaspoon of olive oil, the oregano and a pinch of black pepper. Finely grate over the lemon zest, then turn the chicken over to coat., Using clean hands, gently squeeze the moisture from the grated cucumber into the sink, then return to the bowl. Stir in the yoghurt, a good squeeze of lemon juice and a pinch of pepper. Pick and finely chop the mint leaves, then stir half into the yoghurt mixture., Using a speed-peeler, peel the carrot, then continue shaving it into long ribbons. Place into a small bowl, season with a pinch of salt and pepper and add a good squeeze of lemon juice., Heat a non-­stick frying pan on a medium-high heat., Meanwhile, fluff up the couscous with a fork, then add stir through the chopped vegetables with the remaining chopped mint. Add 2 teaspoons of extra virgin olive oil and the juice of half a lemon. Stir well and season to taste with black pepper., Place the chicken into the hot pan and fry for 10 minutes, or until cooked through, turning from time to time, then slice into rough strips., Divide the couscous between plates, top with the carrot salad and chicken, then serve with the tzatziki."
