Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Clementine roast duck | Jamie Oliver recipes,"Ginger, garlic, brussels tops, hoisin, noodles & a special chilli oil","https://img.jamieoliver.com/jamieoliver/recipe-database/139697006.jpg?tr=w-800,h-1066","['leftover', 'meat']",10 minutes),,370,14g,3.7g,6.9g,1.4g,35.5g,27.4g,2.9g,"2                                                                                                                                                                                                                    clementines or oranges, olive oil, 1                                                                                                                                                                x 2kg                                                                                                                                                                whole duck, 1                                                                                                                                                                bulb of                                                                                                                                                                garlic, 10                                                                                                                                                                cm                                                                                                                                                                piece of ginger, 3                                                                                                                                                                tablespoons                                                                                                                                                                hoisin sauce, 300                                                                                                                                                                g                                                                                                                                                                Brussels tops or kale, 4                                                                                                                                                                x 60g                                                                                                                                                                nests of medium egg noodles, Sichuan chilli oil                                                                                                                                                                , to serve",
"Duck, pea and cabbage hash | Jamie Oliver recipes",,"https://img.jamieoliver.com/jamieoliver/recipe-database/139634013.jpg?tr=w-800,h-1066","['Serves', '6']",,"“Pairing duck with peas is a great tradition. There is even a play called Duck with Peas, and a copy of the script published with beautiful engravings by Thomas Crawshall. But blessed is the kitchen that has leftover duck to make this venerable hash, the supreme leftovers dish. Quantities are really at the cook’s discretion. Any shortfall in meat can be made up with eggs, bacon or vegetables, in this instance peas, perhaps adding a few pea shoots to the mix. A great pan of hash taken to the table generally elicits a happy hum. This can be used for leftover roast meats in general. Trenchermen might need 2 eggs each. ”",,,,,,,,,"3                                                                                                                                                                soup spoons                                                                                                                                                                olive oil, 2                                                                                                                                                                                                                    onions                                                                                                                                                                , peeled and chopped small, 6                                                                                                                                                                rashers of                                                                                                                                                                streaky smoked bacon, cut into small strips, 250                                                                                                                                                                g                                                                                                                                                                cooked peeled potato                                                                                                                                                                , chopped into thirds, 200-300                                                                                                                                                                g                                                                                                                                                                cooked duck                                                                                                                                                                , coarsely chopped, a small                                                                                                                                                                Savoy cabbage                                                                                                                                                                , chopped and cooked until tender, 200                                                                                                                                                                g (approximately)                                                                                                                                                                cooked peas, 6                                                                                                                                                                                                                    organic eggs, 2                                                                                                                                                                soup spoons                                                                                                                                                                chopped parsley",
Duck carnitas | Recipes | Jamie Oliver,With soft tortillas and a quick red onion pickle,"https://img.jamieoliver.com/jamieoliver/recipe-database/106711696.jpg?tr=w-800,h-1066","['Serves', '2']",20 minutes,"“Slow-roasting duck legs with just a handful of ingredients transforms them into delicious, melt-in-the-mouth carnitas. You only need 10 minutes of prep, and the oven will do the rest. Simply up the quantities if you’re feeding a crowd. ”",634,18.5g,6g,27.8g,2.7g,38.1g,78.4g,10.8g,"1 x 300                                                                                                                                                                g                                                                                                                                                                free-range duck leg, 2                                                                                                                                                                                                                    small red onions, ½                                                                                                                                                                                                                    a bunch of fresh coriander (15g), 4                                                                                                                                                                                                                    cloves of garlic, 2                                                                                                                                                                                                                    beef tomatoes (600g), 1                                                                                                                                                                                                                    orange, 1-2                                                                                                                                                                tablespoons                                                                                                                                                                chipotle paste, 1                                                                                                                                                                tablespoon                                                                                                                                                                red wine vinegar, 6                                                                                                                                                                                                                    mini tortillas","Preheat the oven to 180°C/350°F/gas 4., Season the duck leg all over with sea salt and black pepper and place in a 5cm x 30cm high-sided roasting tray. Roughly chop one onion and the coriander stalks (reserving the leaves in a bowl of iced water), bash the whole garlic cloves (skin and all), and quarter the tomatoes and orange, then add everything to the tray, squeezing in the orange juice as you go. Add the chipotle paste and give everything a good stir, making sure the duck is nicely coated. Roast for 1½ to 2 hours, or until the duck is cooked through, basting the duck in the lovely juices from time to time., Meanwhile, thinly slice the remaining onion, add to a bowl with the red wine vinegar and a pinch of salt, then scrunch everything together., Transfer the duck to a plate to cool slightly. Remove the garlic, orange and tomato skins from the sauce and discard, then mash everything together with a potato masher or wooden spoon. Place the tray on a low heat and reduce the sauce down a little until thickened. Shred the meat from the bones and stir through the sauce., Warm the tortillas in the cooling oven, then transfer to plates and top with a spoonful or two of the carnita mix, finished with a few picked coriander leaves and the quick-pickled onion."
Hoisin duck noodles | Jamie Oliver recipes,"Sticky, sweet and delicious","https://img.jamieoliver.com/jamieoliver/recipe-database/106385862.jpg?tr=w-800,h-1066","['Serves', '2']",20 minutes,“You’re gonna love the crispy roast duck in this easy noodle dish full of flavour and texture. ”,578,15g,4.3g,12.2g,1.8g,39.7g,71.1g,3g,"1 x 300                                                                                                                                                                g                                                                                                                                                                free-range duck leg, red wine vinegar, 2                                                                                                                                                                tablespoons                                                                                                                                                                hoisin sauce, 150                                                                                                                                                                g                                                                                                                                                                medium egg noodles, ½                                                                                                                                                                                                                    a bunch of fresh mint (15g), ½                                                                                                                                                                                                                    a bunch of fresh coriander (15g), ¼                                                                                                                                                                                                                    cucumber (160g), 4                                                                                                                                                                                                                    spring onions, 160                                                                                                                                                                g                                                                                                                                                                sugar snap peas","Preheat the oven to 180°C/350°F/gas 4., Season the duck leg with sea salt and black pepper and place in a 5 x 30cm high sided roasting tray. Roast for 1½ hours, or until tender and cooked through., Transfer the duck to a plate and leave to cool slightly. (At this point you can carefully pour the duck fat from the tray into a clean jar and keep in the fridge for roasting potatoes.), Place the tray on a medium-high heat, then add 300ml of water and a splash of red wine vinegar. Bring to a simmer, scraping all the lovely sticky bits from the bottom of the pan, and stir through 1 tablespoon of hoisin sauce. Cook the noodles according to the packet instructions, then use tongs to transfer them to the tray and mix well, so they soak up all the lovely juices., Once the duck is cool enough to handle, shred it from the bone and separate the skin. Add the skin to a dry frying pan on a medium-high heat and fry for 3 to 5 minutes, or until crisp, then set aside. Pop the pan back on the heat and add the shredded duck meat for 2 minutes, then add the remaining hoisin sauce. Cook for 2 further minutes, until crispy and sticky., Meanwhile, pick the leaves from the herbs, and slice the cucumber, spring onions and sugar snap peas., Divide the noodles between serving bowls, pouring over any remaining juices. Top with the hoisin duck and crispy skin, with the herbs and crunchy veg alongside and tuck in!"
Roast duck with Marsala gravy | Duck recipes | Jamie Oliver recipes,"Flavoured with bay, clementine & five-spice","https://img.jamieoliver.com/jamieoliver/recipe-database/46345907.jpg?tr=w-800,h-1066","['Serves', '6']",20 minutes,“This crispy roast duck is a fuss-free alternative to the traditional Sunday roast.  ”,430,28g,7g,9g,2g,20g,23g,2g,"1 x                                                                                                                                                                1.6kg                                                                                                                                                                whole duck, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                Chinese five-spice powder, 1                                                                                                                                                                                                                    clementine, 6                                                                                                                                                                                                                    fresh bay leaves, GRAVY, , 1                                                                                                                                                                bulb of                                                                                                                                                                garlic, 2                                                                                                                                                                                                                    carrots, 2                                                                                                                                                                                                                    red onions, 3                                                                                                                                                                tablespoons                                                                                                                                                                plain flour, 100                                                                                                                                                                ml                                                                                                                                                                Marsala, 1                                                                                                                                                                litre                                                                                                                                                                organic chicken stock","Preheat the oven to 180°C/350°F/gas 4., Remove any excess fat from inside the cavity of the duck, then using a sharp knife carefully score the breast and legs all over in crisscross fashion, roughly 1cm apart., Season the duck with sea salt, black pepper and the five-spice, then rub all over so the flavour catches in all the nooks and crannies., Halve the clementine and place into the cavity along with the bay leaves. Transfer the duck to a medium roasting tray and roast for around 1 hour 20 minutes., Meanwhile, halve the bulb of garlic across the middle, then peel and roughly slice the carrots and onions., When the time is up, remove the roasting tray from the oven. Carefully lift up the duck and scatter the veg into the tray to make a trivet. Sit the duck on top of the veg, then return the tray to the oven for a further 40 minutes, or until the duck is beautifully crisp and the meat falls easily away from the bone., Once cooked to perfections, remove the duck to a plate to rest while you get on with the gravy., Add the flour to the vegetables, then mash everything together with a potato masher, scraping up all the sticky goodness from the bottom., Place over a medium-high heat, pour in the Marsala and leave to bubble and cook away, stirring well., Add the stock, then bring to the boil and reduce to a simmer for around 15 minutes, or until thickened and reduced. Strain through a coarse sieve, skim away any fat from the surface, then season to taste., Shred or carve up the duck, then serve with the gravy on the side. Nice with duck fat roast potatoes, seasonal greens and cranberry sauce."
Pan-fried duck breast with spring veg | Jamie Oliver recipes,The perfect way to cook a duck breast,"https://img.jamieoliver.com/jamieoliver/recipe-database/106303004.jpg?tr=w-800,h-1066","['Serves', '2']",In30 minutes,"“Juicy pan-fried duck breast pairs an absolute treat with spring’s bounty of asparagus, new potatoes and peas. With best flavour friends chilli, mint and lemon in the mix, you just know this is going to be delicious.  ”",520,20.2g,4.3g,8.6g,0.9g,47.8g,38.2g,10.2g,"300                                                                                                                                                                g                                                                                                                                                                new potatoes, 1 x 250                                                                                                                                                                g                                                                                                                                                                free-range duck breast, 1                                                                                                                                                                bunch of                                                                                                                                                                asparagus                                                                                                                                                                , (350g), 200                                                                                                                                                                g                                                                                                                                                                fresh or frozen peas, 1                                                                                                                                                                fresh                                                                                                                                                                red chilli, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (15g), 1                                                                                                                                                                                                                    lemon, extra virgin olive oil","Cook the potatoes, halving any larger ones, in a pan of boiling salted water for 20 minutes, or until tender., Meanwhile, score the skin of the duck breast at 2cm intervals, then season with sea salt and black pepper., Place the duck skin-side down in a cold non-stick frying pan, then turn the heat on to medium-high. Cook for 8 minutes without moving it, or until the fat is well rendered and the skin is golden and crispy., Turn the duck over and cook for 4 minutes on the other side, then remove to a plate to rest, leaving the pan of duck fat on the heat., Snap the woody ends off the asparagus and add the spears to the potato pan for the last 5 minutes, adding the peas for the last 2 minutes, then drain it all and leave to stream dry., Finely chop the chilli and mint leaves (reserving a few pretty baby leaves), and place in a large bowl. Finely grate in the lemon zest and squeeze in half the juice, add 1 tablespoon of extra virgin olive oil, mix together and season to perfection., Halve the asparagus spears, then tip all the warm vegetables into the dressing and mix well. Divide between your plates, then slice the duck and arrange over the top. Scatter over the reserved baby mint leaves to finish."
Pan-fried duck breast with creamy white beans | Jamie Oliver recipes,The perfect way to cook a duck breast,"https://img.jamieoliver.com/jamieoliver/recipe-database/106303006.jpg?tr=w-800,h-1066","['Serves', '2']",In20 minutes,"“Spiked with crispy bacon, rosemary and spinach, these creamy beans are a great match for a crispy-skinned duck breast. A delicious comforting dinner, on your table in minutes. ”",459,15.3g,4g,3.4g,1.4g,49g,32.6g,9.2g,"1                                                                                                                                                                 250g                                                                                                                                                                free-range duck breast, 2                                                                                                                                                                rashers of                                                                                                                                                                higher-welfare smoked streaky bacon, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh rosemary, red wine vinegar, 1                                                                                                                                                                 560g                                                                                                                                                                jar of white beans, 100                                                                                                                                                                g                                                                                                                                                                spinach","Score the skin of the duck breast at 2cm intervals, then season with sea salt and black pepper., Place the duck skin-side down in a cold non-stick frying pan, then turn the heat on to medium-high. Cook for 8 minutes without moving it, or until the fat is well rendered and the skin is golden and crispy., Meanwhile, finely chop the bacon. Peel and finely slice the garlic., Turn the duck over and cook for 4 minutes on the other side, then remove to a plate to rest, leaving the pan of duck fat on the heat., Sprinkle the bacon and garlic into the hot pan, strip in the rosemary leaves and cook for 2 minutes, or until golden, stirring regularly., Add a splash of red wine vinegar and stir to pick up any sticky bits, then pour in the beans, juice and all. Simmer for a couple of minutes, then stir through the spinach until wilted., Slice the duck breast at an angle. Divide the beans between your plates and arrange the duck on top, spooning over any resting juices, to finish."
Pan-fried duck breast with pak choi & asparagus | Jamie Oliver recipes,The perfect way to cook a duck breast,"https://img.jamieoliver.com/jamieoliver/recipe-database/106303454.jpg?tr=w-800,h-1066","['Serves', '2']",In20 minutes,"“Duck works brilliantly with Asian flavours. The simple steamed greens, crispy chilli, ginger and garlic, and the tangy dressing provide the perfect backdrop for a perfectly cooked duck breast. ”",248,10.3g,2.6g,4.7g,1.6g,31.7g,6.7g,3.3g,"1 x 200                                                                                                                                                                g                                                                                                                                                                free-range duck breast, 6                                                                                                                                                                cm                                                                                                                                                                piece of ginger, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                                                                    fresh red chilli, ½                                                                                                                                                                a bunch of                                                                                                                                                                asparagus                                                                                                                                                                , (175g), 2                                                                                                                                                                                                                    pak choi, 1                                                                                                                                                                tablespoon                                                                                                                                                                low-salt soy sauce, 1                                                                                                                                                                tablespoon                                                                                                                                                                rice vinegar","Score the skin of the duck breast at 2cm intervals, then season with sea salt and black pepper., Place the duck skin-side down in a cold non-stick frying pan, then turn the heat on to medium-high. Cook for 8 minutes without moving it, or until the fat is well rendered and the skin is golden and crispy., Meanwhile, peel and finely slice the ginger and garlic, finely slice the chilli. Snap the woody ends off the asparagus., Turn the duck over and cook for 4 minutes on the other side, then remove to a plate to rest, leaving the pan of duck fat on the heat., Sprinkle the ginger, garlic and chilli into the hot pan and cook for 3 to 5 minutes, or until crisp, stirring regularly. Alongside, blanch or steam the pak choi and asparagus for 2 minutes., Mix the soy sauce and rice vinegar together in a small bowl to make a dressing, adding any resting juices from the duck., Slice the cooked vegetables in half lengthways and arrange on a serving platter. Slice the duck into thin pieces at an angle and arrange over the top. Spoon over the dressing and sprinkle over the crispy ginger, garlic and chilli, to finish."
Roasted game bird pie | Jamie Oliver chicken pie recipes,Incredible old-school suet pastry,"https://img.jamieoliver.com/jamieoliver/recipe-database/63138531.jpg?tr=w-800,h-1066","['Serves', '12']",15 minutes,"“Have I got a pie for you! Start the story by roasting the birds, giving extra flavour, texture, and smiles all round – it’s worth the wait. Add an aromatic herby hit, your low-and-slow veggie base, encase in beyond-delicious pastry, and you’re on to a winner. All the leftover bones from the birds will make a brilliant stock. ”",731,41g,17.8g,5.4g,1g,37.6g,53.2g,3.7g,"1 x 1.4                                                                                                                                                                kg                                                                                                                                                                whole free-range chicken, 1                                                                                                                                                                                                                    duck, 1                                                                                                                                                                                                                    pheasant, 1                                                                                                                                                                                                                    grouse, 1                                                                                                                                                                                                                    partridge, 1                                                                                                                                                                                                                    quail, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh thyme                                                                                                                                                                , (15g), ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh rosemary                                                                                                                                                                , (15g), 2                                                                                                                                                                                                                    fresh bay leaves, 1                                                                                                                                                                tablespoon                                                                                                                                                                juniper berries, olive oil, 1                                                                                                                                                                                                                    red onion, 3                                                                                                                                                                                                                    carrots, 2                                                                                                                                                                sticks of                                                                                                                                                                celery, 2                                                                                                                                                                medium                                                                                                                                                                leeks, 4                                                                                                                                                                rashers of                                                                                                                                                                higher-welfare smoked streaky bacon, 2                                                                                                                                                                                                                    Maris Piper potatoes, 1                                                                                                                                                                litre                                                                                                                                                                quality organic chicken stock, 2                                                                                                                                                                tablespoons                                                                                                                                                                plain flour, 500                                                                                                                                                                ml                                                                                                                                                                dry cider, PASTRY, 600                                                                                                                                                                g                                                                                                                                                                plain flour                                                                                                                                                                , plus extra for dusting, 150                                                                                                                                                                g                                                                                                                                                                shredded suet, 150                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , (cold), 2                                                                                                                                                                large                                                                                                                                                                free-range eggs","Preheat the oven to 180ºC/350ºF/gas 4., Place all the birds in a large roasting tray. Strip the thyme and half the rosemary leaves into a pestle and mortar, then bash up with the bay, juniper berries, a pinch of sea salt and ½ a tablespoon of black pepper., Muddle in 6 tablespoons of oil, then rub all over the birds. Roast for 1 hour., Meanwhile, peel and finely chop the onion, carrots and celery. Wash, trim and finely slice the white part of the leeks (save the green for making stock or soup) and the bacon. Peel the potatoes and cut into 2cm chunks., Drizzle 1 tablespoon of oil into a large pan on a medium heat, add the bacon to render out the fat, then strip in the remaining rosemary. Once golden, add the onion, carrots, celery and leeks, then cook for 45 minutes on a medium-low heat, or until softened, stirring occasionally and adding the potatoes halfway through., For the pastry, put the flour and a good pinch of salt into a bowl with the suet, cube and add the butter, then use your thumbs and forefingers to rub the fat into the flour until it resembles breadcrumbs., Beat the eggs, then, reserving just enough to eggwash the pie, stir into the bowl with 180ml of ice-cold water. Use your hands to gently bring it together into a ball, but don’t overwork it. Wrap in clingfilm and chill in the fridge for at least 30 minutes., When the time’s up, remove the birds from the oven. When cool enough to handle, pick all the meat, discarding the skin and bones. Sieve the tray juices into the stock., Reduce the oven temperature to 170ºC/325ºF/gas 3., Stir the flour into the veg for 1 minute, then pour in the cider and cook for 10 minutes, or until slightly reduced., Shred the meat and stir into the veg pan, then add the stock. Season well, bring to the boil and simmer for 30 minutes, or until thickened., Carefully drain the liquid through a coarse sieve into a pan, skimming away any fat from the surface. Leave to cool., Grease the bottom of a pie dish (25cm x 30cm) with a little oil. Roll out two-thirds of the pastry on a clean flour-dusted surface to ½cm thick and use it to line the pie dish., Stir 300ml of the strained gravy through the meat and spoon into the dish. Eggwash the edges., Roll out the remaining pastry to ½cm thick and a little bigger than the pie dish, then carefully place on top of the pie, trimming off any overhang. Pinch the edges to seal and make two small incisions in the centre for the steam to escape. Use any spare pastry to decorate the pie, if you like., Eggwash the top, then bake at the bottom of the oven for 1 hour, or until the pastry is golden and the pie is piping hot., To serve, reheat the remaining gravy, skimming off any fat from the surface, and serve alongside the pie. Delicious with creamy mashed potato and seasonal mustardy dressed greens."
Duck & orange salad | Jamie Oliver duck recipes,With killer croutons & toasted walnuts,"https://img.jamieoliver.com/jamieoliver/recipe-database/89080983.jpg?tr=w-800,h-1066","['Serves', '2']",In24 minutes,,600,20.5g,4.5g,26.9g,1.5g,49g,54.8g,6.1g,"2 x 150                                                                                                                                                                g                                                                                                                                                                 duck breast fillets                                                                                                                                                                , skin on, 1                                                                                                                                                                                                                    baguette, 15                                                                                                                                                                g                                                                                                                                                                shelled unsalted walnut halves, 3                                                                                                                                                                                                                    regular oranges                                                                                                                                                                , or blood oranges, 30                                                                                                                                                                g                                                                                                                                                                watercress","Score the duck skin, rub all over with sea salt and black pepper, then place skin side down in a large non-stick frying pan on a medium-high heat., Sear for 6 minutes, or until the skin is dark golden, then turn and cook for 5 minutes, or to your liking. Remove to a board to rest, leaving the pan on the heat., Slice 10 thin slices of baguette (keeping the rest for another day).Place in the hot pan with the walnuts to toast and get golden in the duck fat, then remove and arrange the toasts on your plates., Meanwhile, top and tail the oranges, cut away the peel, then finely slice into rounds (removing any pips)., Finely slice the duck, place on the toasts, dotting any extra slices in between, then add the oranges in and around., Dress the watercress with any resting juices on the board, then sprinkle over., Finely grate or crumble over the walnuts, sprinkle from a height with a little extra seasoning, and serve."
