Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Epic egg in a hole | Jamie Oliver recipes,Crispy sausage & oozy cheese,"https://img.jamieoliver.com/jamieoliver/recipe-database/155063080.jpg?tr=w-800,h-1066","['Serves', '1']",In15 minutes,"“If you’re in need of a pick-me-up, this one-pan wonder ticks a lot of boxes. We’re talking crispy golden sausage, soft, steamed bagel, beautiful egg and melted cheese – yes, it’s a little eccentric, but it’s also totally delicious.
 ”",588,32.5g,13.9g,5.4g,2.2g,32.1g,41.3g,2.8g,"1                                                                                                                                                                                                                    bagel, 1                                                                                                                                                                large                                                                                                                                                                higher-welfare sausage, 1                                                                                                                                                                medium                                                                                                                                                                free-range egg, 30                                                                                                                                                                g                                                                                                                                                                Cheddar cheese, tomato ketchup and/or brown sauce                                                                                                                                                                , to serve (optional)","Use your thumbs to make the centre hole of the bagel as big as an egg yolk., Squeeze the sausage out of its skin and press the meat onto one side of the bagel, leaving a gap in line with the hole., Place the bagel sausage-side down in a large non-stick frying pan on a medium-low heat and cook for 1 minute., Crack the egg into the hole, season with a pinch of black pepper, then add a splash of water to the pan and cover with a lid. Cook for 8 minutes, or until the sausage has crisped up., Remove the lid and coarsely grate over half the cheese, then use a fish slice to confidently flip the bagel., Grate the remaining cheese onto the sausage, pop the lid back on the pan and cook covered on a low heat for 4 more minutes, or until the cheese has melted. Serve with tomato ketchup and/or brown sauce."
Quick salt cod | Jamie Oliver recipes,"Crispy potatoes, silky eggs, parsley & olive tapenade","https://img.jamieoliver.com/jamieoliver/recipe-database/152012103.jpg?tr=w-800,h-1066","['Serves', '2']",In30 minutes,"“Although Portugal doesn’t have a coastline in the Med, they’re included, and this take on fish and chips, inspired by bacalhau à Brás, is my stripped-back version of their much-loved comfort food dish. ”",377,16.2g,2.9g,1.1g,1.8g,37.4g,22g,2.2g,"2 x 150                                                                                                                                                                g                                                                                                                                                                cod fillets                                                                                                                                                                , skin on, scaled, pin-boned, from sustainable sources, 500                                                                                                                                                                g                                                                                                                                                                Maris Piper potatoes, 2                                                                                                                                                                large                                                                                                                                                                free-range eggs, ½                                                                                                                                                                a bunch of                                                                                                                                                                flat-leaf parsley                                                                                                                                                                , (15g), 2                                                                                                                                                                teaspoons                                                                                                                                                                black olive tapenade",
Tortilla frittata | Jamie Oliver recipes,"Roasted pepper, tender onion & potato, golden egg, watercress","https://img.jamieoliver.com/jamieoliver/recipe-database/153628362.jpg?tr=w-800,h-1066","['to', '6']",In1 hour,"“Inspired by the much-loved Spanish tortilla, this hybrid tortilla frittata is a beautiful gift for any home, and once you’ve mastered this method, try swapping in peas, artichokes or mushrooms. ”",791,46.5g,10.6g,10.5g,1.2g,44.6g,54g,7.2g,"1 onion, 1kg potatoes, 5 large free-range eggs, ½ x 460g jar of roasted red peppers, 80g watercress",
Avocado & bacon eggy crumpets | Jamie Oliver recipes,With a minty jalapeño dressing & topped with a fried egg,"https://img.jamieoliver.com/jamieoliver/recipe-database/118444983.jpg?tr=w-800,h-1066","['Serves', '1']",In20 minutes,"“Now these are crumpets like you've never seen before. We are talking chilli, eggy crumpet goodness, topped with crispy bacon and creamy avocado – plus my Parmesan crown and green chilli sauce trick for some next-level brunching.
 ”",443,29.1g,8.4g,3.6g,1.9g,25.6g,20.8g,1.7g,"1 x 220                                                                                                                                                                g jar of                                                                                                                                                                pickled jalapeños, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (30g), ¼                                                                                                                                                                of a                                                                                                                                                                fresh red chilli                                                                                                                                                                , optional, 2                                                                                                                                                                large                                                                                                                                                                free-range eggs, 1                                                                                                                                                                                                                    crumpet, ¼                                                                                                                                                                of a                                                                                                                                                                 avocado, 50                                                                                                                                                                g                                                                                                                                                                ripe cherry tomatoes, extra virgin olive oil, 2                                                                                                                                                                slices of                                                                                                                                                                higher-welfare smoked streaky bacon, 10                                                                                                                                                                g                                                                                                                                                                Parmesan cheese","Tip the jalapeños and most of their brine into a blender and pick in most of the mint leaves (save the pretty little ones for later). Blitz until smooth, then pour back into the jar., Finely chop the chilli (if using) and place in a shallow bowl. Crack in one of the eggs, add a pinch of black pepper and whisk together with a fork., Soak the crumpet in the chilli and egg mixture for a couple of minutes, pressing it down and turning halfway., Meanwhile, make a quick salsa: Halve, destone, peel and roughly chop the avocado and quarter the tomatoes. Place everything in a small bowl, drizzle with 1 teaspoon of extra virgin olive oil and season to perfection. Add the reserved mint leaves and gently mix., Place the bacon in a dry non-stick frying pan on a medium-high heat and leave to crisp up a little, turning every so often., Push the bacon to one side and finely grate the Parmesan cheese into the pan in a pile slightly larger than the diameter of your crumpet. Press the soaked crumpet topside down onto the cheese and pour over any remaining egg mixture, then cook for 2 minutes, until the Parmesan is golden and crispy., Carefully loosen the edges of the Parmesan with a spatula, then lift up the crumpet, pulling the Parmesan with it. Hold for a few seconds so it sets, then turn it back over into the pan, leaving you with a crispy crown on the top., Crack in the remaining egg alongside and cook to your liking., Transfer the crowned crumpet to a plate, top with the salsa and spoon some of the jalapeño dressing on the side with the crispy bacon. Top with the fried egg and serve."
Sunshine egg salad | Jamie Oliver recipes,"Dukkah & sweet pepper grains, wilted spinach & pomegranate","https://img.jamieoliver.com/jamieoliver/recipe-database/111530852.jpg?tr=w-800,h-1066","['Serves', '2']",In15 minutes,,436,18.9g,4.5g,8.4g,0.5g,23.5g,40.2g,8.3g,"2                                                                                                                                                                tablespoons                                                                                                                                                                dukkah, 1 x 250                                                                                                                                                                g                                                                                                                                                                packet of mixed cooked grains, ½ x 460                                                                                                                                                                g                                                                                                                                                                jar of roasted red peppers, 200                                                                                                                                                                g                                                                                                                                                                baby spinach, 4                                                                                                                                                                                                                    large free-range eggs, ½                                                                                                                                                                                                                    a pomegranate, 2                                                                                                                                                                heaped tablespoons                                                                                                                                                                natural yoghurt",
Indian-inspired frittata | Jamie Oliver pie recipes,"Torn toasted chapatis, Bombay mix, Cheddar & chutney","https://img.jamieoliver.com/jamieoliver/recipe-database/120942566.jpg?tr=w-800,h-1066","['Serves', '6']",In25 minutes,"“This dish is inspired by a trip to Delhi, where I saw street-food vendors doing the most extraordinary things with eggs, breads, and a rainbow of incredible spices. I wanted to bring together a few of those ideas to take the humble egg to a really exciting place. So, in homage to those street-food vendors, this frittata has the sweetness of mango chutney, the crunch of Bombay mix, and the savouriness of spinach, all held together with toasted chapatis – it’s just a joy to eat.  ”",313,16.3g,5.7g,5.2g,1.8g,17.2g,24.6g,2.9g,"4                                                                                                                                                                                                                    wholemeal chapatis, 8                                                                                                                                                                large                                                                                                                                                                eggs, 2                                                                                                                                                                tablespoons                                                                                                                                                                mango chutney, 50                                                                                                                                                                g                                                                                                                                                                mature Cheddar cheese, 200                                                                                                                                                                g                                                                                                                                                                baby spinach, olive oil, 30                                                                                                                                                                g                                                                                                                                                                Bombay mix, ½                                                                                                                                                                a small                                                                                                                                                                red onion, red wine vinegar, 2                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt",
Halloumi eggy crumpets | Jamie Oliver recipes,"Cherry tomato, lime & avocado salsa & a runny fried egg","https://img.jamieoliver.com/jamieoliver/recipe-database/109927561.jpg?tr=w-800,h-1066","['Serves', '1']",In10 minutes,,450,21.4g,5.7g,6.9g,1.8g,20.6g,43.7g,3.7g,"2                                                                                                                                                                large                                                                                                                                                                free-range eggs, 2                                                                                                                                                                                                                    crumpets, 80                                                                                                                                                                g                                                                                                                                                                ripe mixed-colour cherry tomatoes, 1                                                                                                                                                                teaspoon                                                                                                                                                                hot chilli sauce, ½                                                                                                                                                                a                                                                                                                                                                lime, 2                                                                                                                                                                sprigs of                                                                                                                                                                coriander, ¼                                                                                                                                                                of a                                                                                                                                                                small ripe avocado, olive oil, 8                                                                                                                                                                g                                                                                                                                                                halloumi cheese",
Special scrambled eggs | Jamie Oliver recipes,Quick sticky spiced tomato chutney stuffed into super-soft buns,"https://img.jamieoliver.com/jamieoliver/recipe-database/109927564.jpg?tr=w-800,h-1066","['Serves', '2']",In20 minutes,,415,20.6g,4.5g,9.5g,1.7g,20.9g,40.4g,4.6g,"4                                                                                                                                                                large                                                                                                                                                                free-range eggs, 2                                                                                                                                                                                                                    soft buns, 1                                                                                                                                                                                                                    red onion, red wine vinegar, olive oil, 1                                                                                                                                                                teaspoon                                                                                                                                                                garam masala, 200                                                                                                                                                                g                                                                                                                                                                ripe tomatoes, ½                                                                                                                                                                a bunch of                                                                                                                                                                coriander                                                                                                                                                                , (15g)",
"Shakshuka, my style | Jamie Oliver recipes","Chipped potatoes & squash, peppers & fiery rose harissa","https://img.jamieoliver.com/jamieoliver/recipe-database/100021003.jpg?tr=w-800,h-1066","['Serves', '4']",In30 minutes,"“Harissa adds warmth and a ray of much-needed sunshine to my twist on a Middle-Eastern classic. Plus it’s a one-pan wonder, which always makes me happy. ”",219,10.5g,2.2g,11.6g,0.8g,11.3g,22.5g,5.2g,"200                                                                                                                                                                g                                                                                                                                                                potatoes, 200                                                                                                                                                                g                                                                                                                                                                butternut squash, olive oil, 3                                                                                                                                                                                                                    mixed-colour peppers, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh flat-leaf parsley (15g), 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                teaspoon                                                                                                                                                                fennel seeds, 1                                                                                                                                                                teaspoon                                                                                                                                                                smoked paprika, 1                                                                                                                                                                teaspoon                                                                                                                                                                ground cumin, 1                                                                                                                                                                teaspoon                                                                                                                                                                rose harissa, 1 x 400                                                                                                                                                                g                                                                                                                                                                tin of quality plum tomatoes, 4                                                                                                                                                                large                                                                                                                                                                eggs","Scrub the potatoes and squash (deseed if needed), slice into 1cm-thick chips, then place in a large non-stick frying pan on a medium heat with 1 tablespoon of oil., Deseed and roughly chop the peppers, adding them to the pan as you go., Pick the parsley leaves, finely slicing the stalks. Peel and finely slice the garlic and add to the pan with the parsley stalks, fennel seeds, paprika and cumin, then cover and cook for 10 minutes, stirring regularly., Flick over the harissa and scrunch in the tomatoes, then stir in ¼ of a tin’s worth of water, pop the lid back on and cook for a further 10 minutes, or until the potatoes and squash are soft, stirring occasionally., Remove the lid, stir in the parsley leaves and season with a pinch of sea salt, then cook until the sauce has thickened and reduced., Make 4 wells with the back of a spoon, crack in the eggs, pop the lid on and cook the eggs to your liking. Nice served with warm flatbreads and extra harissa, if you like."
Midnight pan-cooked breakfast | Jamie Oliver brunch recipes,"Crispy bacon, runny eggs & crusty bread","https://img.jamieoliver.com/jamieoliver/recipe-database/90246160.jpg?tr=w-800,h-1066","['Serves', '4']",In30 minutes,"“Me and this dish go back a long way. To the pre-shaving days of being an under-age drinker down the Wagon and Horses in Saffron Walden with a fake ID and all my village mates. Only once in a while of course. But seriously, without trying to sound like a lagered-up geezer, I think everyone’s experienced the need for food around midnight, whether the binge was small or large, otherwise why would kebab shops be so popular in Britain? Anyway, I always used to have three or four friends back to my house for munchies or to stay the night and this dish was devised so we didn’t have too much trouble making it or too much washing up to do. In actual fact, I only had to wipe the non-stick pan clean. It also makes its way from the pan to the plate quite quickly, as patience isn’t a virtue at that time of night with my mates! ”",,,,,,,,,"mushrooms, higher-welfare smoked or unsmoked bacon, ripe tomatoes, higher-welfare sausages, large free-range eggs, olive oil, crusty bread                                                                                                                                                                , preferably sourdough","First of all, get the biggest non-stick pan available, and preheat it on a high heat while you gather your ingredients. Obviously you wouldn’t be organised at this point so it’s a matter of using what you’ve got, but ideally I like to have mushrooms, bacon, tomatoes, sausages and eggs., By the time you have got these together the pan will be hot, so slice your sausages in half lengthways and pat them out flat so they cook quickly. Place in the pan at one side., On the other side of the pan, put a tiny lug of oil and place a pile of mushrooms over it which you can rip up or leave whole., Shake the pan about a bit to coat the mushrooms and season with some sea salt and black pepper. Push to one side, then lay some slices of bacon and halved tomatoes in the pan., Cook for a couple more minutes until the bacon is crisp and golden. Shake the pan and turn the bacon over. Now is the time to put a round of toast into the toaster., At this stage you should respect the rustic and authentic look and shuffle everything about so that it’s all mixed together and add 2 or 3 eggs at different ends of the pan. The whites of the eggs will dribble in and around the sausages, bacon, tomatoes and mushrooms., Turn the heat down a little and continue to cook for another minute before placing the pan under the grill and finishing the eggs to your liking., Using a non-stick pan I’ve always found the removal of this dish to the plate extremely easy – it will resemble a frisbee and will slide on to your plate with no trouble at all. Doesn’t that sound appetising? But honestly, it really is a gem."
