Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Quick salt cod | Jamie Oliver recipes,"Crispy potatoes, silky eggs, parsley & olive tapenade","https://img.jamieoliver.com/jamieoliver/recipe-database/152012103.jpg?tr=w-800,h-1066","['Serves', '2']",In30 minutes,"“Although Portugal doesn’t have a coastline in the Med, they’re included, and this take on fish and chips, inspired by bacalhau à Brás, is my stripped-back version of their much-loved comfort food dish. ”",377,16.2g,2.9g,1.1g,1.8g,37.4g,22g,2.2g,"2 x 150                                                                                                                                                                g                                                                                                                                                                cod fillets                                                                                                                                                                , skin on, scaled, pin-boned, from sustainable sources, 500                                                                                                                                                                g                                                                                                                                                                Maris Piper potatoes, 2                                                                                                                                                                large                                                                                                                                                                free-range eggs, ½                                                                                                                                                                a bunch of                                                                                                                                                                flat-leaf parsley                                                                                                                                                                , (15g), 2                                                                                                                                                                teaspoons                                                                                                                                                                black olive tapenade",
Sesame seared salmon | Jamie Oliver recipes,"Dressed mixed grains, carrot ribbons, orange, mint & harissa","https://img.jamieoliver.com/jamieoliver/recipe-database/138602409.jpg?tr=w-800,h-1066","['Serves', '2']",In21 minutes,,640,28.4g,4.6g,17.7g,1g,36.7g,58.2g,9.8g,"2 x 130                                                                                                                                                                g                                                                                                                                                                salmon fillets, skin on, scaled, pin-boned, 2                                                                                                                                                                tablespoons                                                                                                                                                                sesame seeds, 1                                                                                                                                                                bunch of                                                                                                                                                                 mint (30g), 2                                                                                                                                                                                                                    large oranges, extra virgin olive oil, red wine vinegar, 1 x 250                                                                                                                                                                g                                                                                                                                                                packet of cooked mixed grains, 2                                                                                                                                                                                                                    small carrots, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                harissa",
Upside down fish pie | Jamie Oliver recipes,"Salmon, prawns, tartare mash, broccoli, chives & tomatoes","https://img.jamieoliver.com/jamieoliver/recipe-database/136867685.jpg?tr=w-800,h-1066","['Serves', '4']",In54 minutes,,534,20.9g,2.5g,9.8g,0.9g,36.7g,52.4g,7g,"1                                                                                                                                                                kg                                                                                                                                                                potatoes, 320                                                                                                                                                                g                                                                                                                                                                sprouting broccoli, 100                                                                                                                                                                g                                                                                                                                                                tartare sauce, olive oil, 400                                                                                                                                                                g                                                                                                                                                                piece of salmon                                                                                                                                                                , skin off, pin-boned, 320                                                                                                                                                                g                                                                                                                                                                ripe mixed-colour cherry tomatoes, 1                                                                                                                                                                bunch of                                                                                                                                                                chives (20g), 165                                                                                                                                                                g                                                                                                                                                                raw peeled king prawns, ½                                                                                                                                                                 a                                                                                                                                                                 lemon",
Smoky mussel laksa | Jamie Oliver recipes,"Blackened aubergine, juicy noodles, coconut, coriander & lime","https://img.jamieoliver.com/jamieoliver/recipe-database/136440331.jpg?tr=w-800,h-1066","['Serves', '2']",In16 minutes,,486,15.9g,11g,12.8g,1.4g,21.1g,64.3g,8.7g,"2                                                                                                                                                                x 50g                                                                                                                                                                nests of folded rice noodles, 600g                                                                                                                                                                                                                    mussels, scrubbed, debearded, from sustainable sources, 1                                                                                                                                                                                                                    large aubergine (400g), 1                                                                                                                                                                bunch of                                                                                                                                                                spring onions, ½                                                                                                                                                                a bunch of                                                                                                                                                                coriander (15g), 2                                                                                                                                                                                                                    limes, 2                                                                                                                                                                tablespoons                                                                                                                                                                laksa paste, 1                                                                                                                                                                x 400ml                                                                                                                                                                tin of light coconut milk",
Sweet potato fishcakes | Jamie Oliver recipes,"Chopped salad, feta & red pepper salsa","https://img.jamieoliver.com/jamieoliver/recipe-database/134584618.jpg?tr=w-800,h-1066","['Serves', '4']",10 minutes,"“White fish is a great choice here, as it’s both low in fat and super-nutritious. Haddock, for example, is packed full of iodine, which we need to support healthy brain function. ”",423,8.6g,2.7g,16g,1.1g,32.5g,56.9g,8.4g,"500                                                                                                                                                                g                                                                                                                                                                potatoes, 500                                                                                                                                                                g                                                                                                                                                                sweet potatoes, 2                                                                                                                                                                                                                    red peppers, extra virgin olive oil, 2                                                                                                                                                                teaspoons                                                                                                                                                                chipotle Tabasco sauce, 500                                                                                                                                                                g                                                                                                                                                                white fish fillets from sustainable sources                                                                                                                                                                , skin off, pin-boned, olive oil, 1                                                                                                                                                                                                                    cucumber, 1                                                                                                                                                                                                                    iceburg lettuce, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                English mustard, 4                                                                                                                                                                heaped tablespoons                                                                                                                                                                natural yoghurt, 1                                                                                                                                                                tablespoon                                                                                                                                                                white wine vinegar, 40                                                                                                                                                                g                                                                                                                                                                feta cheese, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (15g), 1                                                                                                                                                                                                                    lemon","Wash 500g each of potatoes and sweet potatoes (leaving the skins on for extra nutritional benefit), chop into 3cm chunks and cook in a pan of boiling salted water for 15 minutes, or until cooked through. Drain, leave to steam dry and cool, then mash., Meanwhile, blacken 2 red peppers over a direct flame on the hob or in a griddle pan on a high heat, turning until charred and blistered all over., Pop into a bowl and cover with clingfilm for 10 minutes, then scrape off most of the black skin, discarding the stalks and seeds. Finely chop, dress with 1 tablespoon of extra virgin olive oil and 2 teaspoons of chipotle Tabasco, then put aside., Chop 500g of white fish fillets into 1cm dice, then mix into the cool mash really well with a pinch of sea salt and black pepper. Divide the mixture into eight even-sized balls and pat into 3cm-thick patties., Put two large non-stick frying pans on a medium-low heat with 1 tablespoon of olive oil in each (or cook in batches). Cook four fishcakes in each pan, for 5 minutes on each side, or until golden and cooked through, carefully turning with a fish slice – if they break or crack a little don’t stress, these are light, chunky, rough-and-ready fishcakes., Meanwhile, peel 1 cucumber, halve lengthways and scrape out the watery core, then slice ½ cm thick. Remove any tatty outer leaves from 1 iceberg lettuce, and roughly chop it into 1cm chunks., In a bowl, dress both with 1 heaped teaspoon of English mustard, 4 heaped tablespoons of yoghurt and 1 tablespoon of white wine vinegar, mixing well, then taste, season to perfection, and crumble over 40g of feta cheese. Pick, roughly chop and stir through most of the leaves from ½ a bunch of fresh mint (15g)., Serve the fishcakes and salsa scattered with baby mint leaves, with a good portion of salad and wedges of lemon, for squeezing over."
Sardine spaghetti | Jamie Oliver recipes,"With fennel, spinach & lemon","https://img.jamieoliver.com/jamieoliver/recipe-database/134449924.jpg?tr=w-800,h-1066","['Serves', '4']",In30 minutes,"“Pasta con le sarde is a trademark dish of Sicily, due to the abundance of beautiful fresh seafood they have in southern Italy. However, my version uses tinned sardines, which are a great alternative if you can’t get fresh. Plus, using tinned fish also turns this dish into a speedy weeknight winner, which you can get on the table in under half an hour. ”",217,7g,2.1g,4.6g,0.73g,14.8g,25.6g,4.5g,"2                                                                                                                                                                large                                                                                                                                                                ripe tomatoes                                                                                                                                                                , (200g), 1 x 120                                                                                                                                                                g tin of                                                                                                                                                                sardine fillets in olive oil, 200                                                                                                                                                                g                                                                                                                                                                baby spinach, 300                                                                                                                                                                g                                                                                                                                                                dried wholewheat spaghetti, 1                                                                                                                                                                bulb of                                                                                                                                                                fennel, 2                                                                                                                                                                                                                    lemons, 20                                                                                                                                                                g                                                                                                                                                                ricotta salata, 1                                                                                                                                                                pinch of                                                                                                                                                                dried chilli flakes","Halve 2 large ripe tomatoes (200g total), scoop out and discard the seeds, then place in a blender. Add 1 x 120g tin of sardine fillets (and their oil), then blitz until super-smooth, adding a splash of water to loosen, if needed., Roughly slice 200g of baby spinach, then place in a large colander in the sink., Cook 300g of wholewheat spaghetti in a large pan of boiling salted water according to the packet instructions., Pick and reserve any leafy tops from 1 bulb of fennel, then very finely slice the stalks and bulb, ideally on a mandolin (use the guard!). Add the fennel to the spaghetti pan for the last few minutes of cooking., Reserving a mugful of cooking water, drain the spaghetti and fennel over the spinach in the colander, so that the spinach starts to wilt. Return the pasta, fennel and spinach to the pan, and toss with the sardine sauce., Squeeze in the juice from 1 lemon, loosening with a splash of cooking water, if needed., Season to perfection with sea salt and black pepper, finely grate over 20g of ricotta salata (see ingredient note below) and a little lemon zest, then sprinkle over any reserved fennel tops and 1 pinch of dried chilli flakes., Cut the remaining lemon into wedges for squeezing over, then serve immediately."
One-pan herby green rice & fish | Jamie Oliver recipes,With harissa-rippled yoghurt & lemon,"https://img.jamieoliver.com/jamieoliver/recipe-database/134396853.jpg?tr=w-800,h-1066","['Serves', '4']",In15 minutes,"“Turn regular rice into something extraordinary and exciting with this joyful one-pan dish. Now, I want you to think of this recipe as more of a principle – it’s fairly flexible and can be taken in lots of different directions. Jazz it up with your favourite seafood, mix up the greens you choose or throw in some additional vegetables – whatever you fancy. For me, this makes the perfect midweek meal – fresh, tasty, ready in 15-minutes flat, and with minimal washing up. Yes please! ”",378,10g,1.7g,2.5g,0.8g,25.5g,45.5g,1.1g,"8                                                                                                                                                                                                                    spring onions, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (30g), 100                                                                                                                                                                g                                                                                                                                                                baby spinach, 1                                                                                                                                                                mug of                                                                                                                                                                basmati rice                                                                                                                                                                , (300g), 4 x                                                                                                                                                                150g                                                                                                                                                                white fish fillets, such as cod, haddock, pollock, megrim, skin off, pin-boned                                                                                                                                                                 , from sustainable sources, olive oil, 4                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt, 2                                                                                                                                                                teaspoons                                                                                                                                                                harissa, optional:                                                                                                                                                                ½ a                                                                                                                                                                fresh red chilli, 1                                                                                                                                                                                                                    lemon","Trim 8 spring onions (put one aside for later), peel 2 cloves of garlic and pick the leaves from 1 bunch of fresh coriander (30g), reserving a few to garnish, then place in a blender., Add 100g of baby spinach, along with 2 mugs (600ml) of water and blitz until smooth – you may need to work in batches., Tip 1 mug of rice (300g) into a large shallow casserole pan, pour over the green sauce, mix well and cook on a high heat uncovered for 5 minutes., Give the rice a good stir, then carefully place 4 x 150g white fish fillets on top. Season to taste with sea salt and black pepper, drizzle with 1 tablespoon of olive oil, then cover with a lid, reduce the heat to low and cook gently for a further 5 to 7 minutes, or until the rice is fluffy and fragrant and the fish is pearly white and flaking., Dollop 4 tablespoons of natural yoghurt into a bowl, ripple through 2 teaspoons of harissa and drizzle lightly with olive oil., Finely slice the remaining spring onion and ½ a fresh red chilli (if using), then scatter over the top along with the reserved coriander leaves. Cut 1 lemon into wedges for squeezing over, then serve along with the harissa yoghurt. Delicious with a crunchy green salad."
Fantastic fish skewers | Jamie Oliver recipes,Zingy lentil salad & yoghurt,"https://img.jamieoliver.com/jamieoliver/recipe-database/134566857.jpg?tr=w-800,h-1066","['Serves', '4']",In22 minutes,"“Perfect for getting the whole family to enjoy eating fish, this quick and easy dish is fun, fresh and zingy, and can be easily rustled up on a weeknight when you’re short on time. Pop them on the barbecue for bonus smoky flavour if the weather’s looking good. ”",507,20.8g,5.1g,6g,1.7g,39.5g,41.8g,11.5g,"olive oil, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 2                                                                                                                                                                                                                    lemons, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh rosemary, 1                                                                                                                                                                                                                    red pepper, 4 x 130                                                                                                                                                                g                                                                                                                                                                white fish fillets                                                                                                                                                                , skin off, pin-boned, from sustainable sources, 2                                                                                                                                                                thick slices of                                                                                                                                                                wholemeal bread                                                                                                                                                                , (200g), 8                                                                                                                                                                rashers of                                                                                                                                                                higher-welfare smoked pancetta or smoked streaky bacon, 2 x 250                                                                                                                                                                g sachets of                                                                                                                                                                cooked puy lentils, 2 x 80                                                                                                                                                                g bags of                                                                                                                                                                watercress, spinach & rocket, 4                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt","Preheat the oven to 200ºC/400ºF/gas 6, and place 4 wooden skewers into a tray of cold water to soak (or use woody rosemary sprigs – see Flavour boost tip)., Drizzle 2 tablespoons of olive oil into a large roasting tray, peel and finely grate in 1 clove of garlic along with the zest of 1 lemon, then squeeze in the juice from half. Pick, finely chop and add 2 sprigs of fresh rosemary, then season with sea salt and black pepper., Deseed 1 red pepper, then slice into 3cm chunks along with 4 x 130g of white fish fillets and 2 thick slices of wholemeal bread (200g), then add to the tray and toss to coat., Remove the skewers from the water, then divide and thread the bread, fish and pepper pieces onto the skewers, leaving little spaces between them so that the heat cooks everything evenly., Loosely wrap 2 slices of pancetta or smoked streaky bacon around each skewer, then place back in the tray and roast for 10 minutes, or until golden and just cooked through (you can also grill, barbecue or cook on a griddle, turning halfway)., Heat 2 x 250g sachets of cooked grain pouches according to the packet instructions, then tip into a bowl and toss gently with 2 x 80g bags of watercress, spinach & rocket, 1 tablespoon of extra virgin olive oil, the juice of ½ a lemon and a pinch each of sea salt and black pepper., Divide the lentil salad between plates, serving a kebab on top of each. Slice the remaining lemon into wedges for squeezing over, and serve each portion each with 1 tablespoon of natural yoghurt."
Roasted mustard mackerel | Jamie Oliver recipes,Rainbow beet & bulgur wheat,"https://img.jamieoliver.com/jamieoliver/recipe-database/46265324.jpg?tr=w-800,h-1066","['Serves', '2']",In50 minutes,"“Mackerel is a great source of omega-3 fatty acids, is super-rich in protein and packed with iodine, which, through our thyroid gland, helps our metabolism to function efficiently. ”",378,9.4g,1g,13g,0.8g,37.4g,35.9g,6.7g,"300                                                                                                                                                                g                                                                                                                                                                raw mixed-colour beets, 150                                                                                                                                                                g                                                                                                                                                                bulgar wheat, olive oil, 4 x 75                                                                                                                                                                g                                                                                                                                                                mackerel or trout fillets                                                                                                                                                                , scaled and pin-boned, from sustainable sources, 2                                                                                                                                                                teaspoons                                                                                                                                                                Dijon mustard, white wine vinegar, 1                                                                                                                                                                tablespoon                                                                                                                                                                porridge oats, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh thyme                                                                                                                                                                , (15g), 2                                                                                                                                                                large handfuls of                                                                                                                                                                rocket, ½                                                                                                                                                                                                                    a lemon, 2                                                                                                                                                                teaspoons                                                                                                                                                                jarred grated horseradish, 2                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt","Preheat the oven to 200°C/400°F/gas 6., Wash 300g of raw mixed-colour beets, cook in boiling salted water for 30 minutes, or until just tender (depending on their size), then drain and leave until cool enough to handle., Meanwhile, cook 150g of bulgur wheat according to the packet instructions, and drain., Lay a sheet of wet greaseproof paper in a 25cm x 30cm baking tray and rub it lightly with oil. Evenly spread the bulgur over the tray and place 4 fish fillets randomly on top. Loosen 2 teaspoons of Dijon mustard with a splash of vinegar, then brush over the skin side of the fish, and sprinkle over 1 tablespoon of porridge oats., Remove the skin from the beets and finely slice them, ideally on a mandolin (use the guard!), then arrange them around the fish, overlapping the slices and tucking them up to and under the fillets in a nice even layer., Mix 1 tablespoon of vinegar with 1 teaspoon of oil and a pinch of sea salt and black pepper to make a dressing., Holding ½ a bunch of fresh thyme like a brush, use it to dab the dressing all over the beets, then strip over the leaves. Cook at the top of the oven for 15 to 20 minutes, or until the fish is lightly golden and cooked through., Toss 2 large handfuls of rocket with a squeeze of juice from ½ a lemon and sprinkle over the top. Stir 2 teaspoons of jarred grated horseradish through the 2 tablespoons of natural yoghurt, season to perfection, then spoon over the fish and tuck in."
Tuna mapo tofu | Jamie Oliver recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/126859767.jpg?tr=w-800,h-1066","['Serves', '6']",,“Mapo tofu is one of my favourite dishes. The spicy Sichuan ingredients mixed with the minerality and richness of the tuna and the creaminess of the tofu is such a good match. I promise you won’t miss the traditional recipe once you’ve tried this version. Any leftovers make an unbelievable jaffle (toasted sandwich)! The paste can be made in advance and stored in an airtight container in the fridge until needed. ”,,,,,,,,,"1                                                                                                                                                                tablespoon                                                                                                                                                                Sichuan peppercorns, 190                                                                                                                                                                g (6½ oz)                                                                                                                                                                fresh ginger                                                                                                                                                                , peeled, 190                                                                                                                                                                g (6½ oz)                                                                                                                                                                garlic cloves                                                                                                                                                                , peeled, 10                                                                                                                                                                                                                    French shallots                                                                                                                                                                , peeled, 375                                                                                                                                                                g (13 oz)                                                                                                                                                                 doubanjiang (fermented broad bean paste), 300                                                                                                                                                                ml (10 fl oz)                                                                                                                                                                grapeseed oil, 80                                                                                                                                                                ml (2½ fl oz/1/3 cup)                                                                                                                                                                Shaoxing rice wine, 50                                                                                                                                                                g (13/4 oz)                                                                                                                                                                caster (superfine) sugar, 125                                                                                                                                                                ml (4 fl oz/½ cup)                                                                                                                                                                tamari, 1                                                                                                                                                                tablespoon                                                                                                                                                                sesame oil, 1.8                                                                                                                                                                kg (4 lb)                                                                                                                                                                minced (ground) yellowfin tuna                                                                                                                                                                , from sustainable sources, 200                                                                                                                                                                g (7 oz)                                                                                                                                                                silken tofu, cut into small cubes, 1                                                                                                                                                                bunch                                                                                                                                                                of spring onions (scallions)                                                                                                                                                                , finely sliced, 40                                                                                                                                                                g (1½ oz/¼ cup)                                                                                                                                                                toasted sesame seeds, 1                                                                                                                                                                                                                    dried red chilli                                                                                                                                                                , finely sliced (optional), steamed short-grain rice                                                                                                                                                                , to serve",
