Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Baked cheesecake with fig compote | Jamie Oliver Christmas recipes,Festive & fun,"https://img.jamieoliver.com/jamieoliver/recipe-database/154595935.jpg?tr=w-800,h-1066","['Serves', '12']",and chilling,“Christmassy flavours are coming in loud and clear in this gorgeously festive pud. You can make the cheesecake and compote on Christmas Eve and assemble on the day.  ”,485,28.5g,18.5g,43.3g,0.6g,8.6g,49.5g,2.5g,"CHEESECAKE, olive oil, 300                                                                                                                                                                g                                                                                                                                                                icing sugar                                                                                                                                                                , plus extra for dusting, 4 x 280                                                                                                                                                                g tubs of                                                                                                                                                                full-fat cream cheese, 5                                                                                                                                                                teaspoons                                                                                                                                                                vanilla bean paste, 5                                                                                                                                                                large                                                                                                                                                                free-range eggs, 70                                                                                                                                                                g                                                                                                                                                                plain flour, COMPOTE (MAKES 500g), 100                                                                                                                                                                g                                                                                                                                                                light brown soft sugar, 1                                                                                                                                                                                                                    fresh bay leaf, 100                                                                                                                                                                ml                                                                                                                                                                Marsala wine, 1                                                                                                                                                                                                                    vanilla bean pod, 12                                                                                                                                                                                                                    fresh black figs, 3                                                                                                                                                                                                                    clementines, 1                                                                                                                                                                tablespoon                                                                                                                                                                cornflour","Preheat the oven to 220°C/420°F/Gas 7. Boil the kettle. Line the base of a 23cm springform cake tin with a round of greaseproof paper, rub the tin with a little olive oil and lightly dust with icing sugar., Sieve 300g of icing sugar into a large bowl and beat with the cream cheese and vanilla until smooth, then – one at a time – whisk in the eggs, and finally sieve and whisk in the flour., Pour into the lined tin, wrap the base in tin foil to protect the seal, then place inside a deep roasting tray and carefully half-fill the tray with boiling kettle water. Bake on the top shelf of the oven for 20 minutes, or until golden and loosely set in the middle, with a slight wobble. Leave to cool in the water for 15 minutes then put aside to cool completely. Cover, then chill for at least 4 hours., Meanwhile, to make the compote, place a frying pan on a medium heat with the sugar, bay leaf and Marsala wine. Split the vanilla pod lengthways, scrape out the seeds and add to the pan., Quarter the figs and add to the pan. Grate in the clementine zest and squeeze in the juice, then simmer for 15 minutes, until soft., Mix the cornflour with 100ml cold water, add to the pan and bubble for 2 minutes, or until it has a nice jammy consistency., Leave to cool slightly before serving alongside the cheesecake. If you don’t want to serve it warm, leave the compote to cool and then pop in the fridge for 4 hours. Bring it out and let it come up to room temperature before serving."
Cranberry sauce | Jamie Oliver Christmas recipes,"Burnt butter, maple syrup, apple, thyme & spiced rum","https://img.jamieoliver.com/jamieoliver/recipe-database/153984282.jpg?tr=w-800,h-1066","['-', '10']",In20 minutes,"“Cranberry sauce is a great thing to make at this time of year. It’s not only good with roasted meats, but can be used in gravies, stews or even a sweet dessert, like my Frangipane tart on page 244 of Jamie Oliver's Christmas Cookbook – leftovers need never go to waste! ”",81,4.3g,2.5g,7.9g,0g,0.4g,8.1g,1.8g,"4                                                                                                                                                                                                                    eating apples, 50                                                                                                                                                                g                                                                                                                                                                unsalted butter, 2                                                                                                                                                                tablespoons                                                                                                                                                                maple syrup, 4                                                                                                                                                                sprigs of                                                                                                                                                                fresh thyme, 300                                                                                                                                                                g                                                                                                                                                                fresh or frozen cranberries, 50                                                                                                                                                                ml                                                                                                                                                                quality spiced rum","Peel and core the apples, then roughly chop and put aside., Melt the butter in a large pan on a medium heat until golden and bubbling., Stir in the maple syrup and when it’s just beginning to lightly caramelize, strip in the thyme leaves and add the apples, cranberries and spiced rum., Leave to cook and reduce with the lid on for around 15 minutes, or until the apples have softened and the sauce is nice and thick., Keep an eye on it and stir occasionally, adding a splash of water to loosen or removing the lid for the last few minutes to let it thicken up – it’s your responsibility to get it to the consistency of your liking., Have a little taste – I like the balance between natural sweetness and acidity, as it really helps to cut through the richness of the meat you’re serving it with, but add a touch more maple syrup, if you want to., Transfer it to a serving bowl, let it cool to room temperature, then cover and chill in the fridge, until needed."
Frozen sour cherry & berry pie | Jamie Oliver recipes,Tinned pears & an orange-spiked crumble topping,"https://img.jamieoliver.com/jamieoliver/recipe-database/153472406.jpg?tr=w-800,h-1066","['Serves', '10']",plus cooling,"“Not quite a crumble, but not quite a pie – this is the best of both worlds! I’m bigging up tinned pears and frozen mixed berries here, so you can make and enjoy this whatever the season. ”",434,18.4g,10.9g,31.5g,0.1g,6.4g,64.9g,4.4g,"400                                                                                                                                                                g                                                                                                                                                                plain flour                                                                                                                                                                , plus extra for dusting, 75                                                                                                                                                                g                                                                                                                                                                icing sugar, ½                                                                                                                                                                an                                                                                                                                                                orange, 200                                                                                                                                                                g                                                                                                                                                                cold unsalted butter                                                                                                                                                                , plus extra for greasing, 2                                                                                                                                                                large free-range                                                                                                                                                                eggs, 1 x 410                                                                                                                                                                g tin of                                                                                                                                                                pear quarters in juice, 1                                                                                                                                                                teaspoon                                                                                                                                                                vanilla bean paste, 1                                                                                                                                                                kg                                                                                                                                                                frozen sour cherries, blackberries, sweet cherries, blueberries and blackcurrants, 150                                                                                                                                                                g                                                                                                                                                                caster sugar, 30                                                                                                                                                                g                                                                                                                                                                cornflour, vanilla ice cream                                                                                                                                                                , to serve","Mix the plain flour and icing sugar in a large bowl, then finely grate in half the orange zest. Chop the butter into cubes, then rub in with your fingertips until the mixture resembles fine breadcrumbs. Remove one quarter of the mixture (about 2 big handfuls) to a separate bowl., Back to the main bowl: beat and stir in 1 egg and 1 yolk (reserving the white), then gently scrunch the dough into a ball – be careful not to overwork it. Wrap and rest in the freezer for 30 minutes., Drain the pears and put aside, reserving the juice. Pour the juice into a large casserole pan with the vanilla and finely grate in the remaining orange zest. Add the pears, frozen berries and sugar, and bring to a simmer, stirring constantly, then stir in the cornflour. Bring to a boil then gently simmer for 5 minutes, stirring constantly, until thickened slightly. Remove from the heat and allow to cool to room temperature., When you’re ready to bake, grease a deep 26cm non-stick loose-bottomed tart tin. Use a box grater to coarsely grate in the pastry, using your fingertips to press it into the base and up the sides, letting it bulge up a centimetre above the brow of the tin (don’t worry if it’s not perfect, just try to create a fairly even layer), then brush with the reserved egg white., Preheat the oven to 180°C/350°F/gas 4 and place a large baking tray at the bottom of the oven. Spoon the cooled fruit into the pastry case and scatter over the crumble topping, leaving a little border at the edges. Transfer to the tray and bake for 45 minutes, or until golden and bubbling, then let it sit in the tin to firm up. When you’re ready to serve, enjoy with scoops of vanilla ice cream."
Easy fig tart | Jamie Oliver 5 Ingredients recipes,"Fruit & nut base, vanilla yoghurt & honey","https://img.jamieoliver.com/jamieoliver/recipe-database/152012206.jpg?tr=w-800,h-1066","['Serves', '8']",plus freezing,"“Take the fuss out of creating a show-stopping dessert with this super-quick no-cook fig tart – a delicate base of crushed fruit and nuts, topped with yoghurt, figs and a drizzle of honey. ”",272,16.3g,4.7g,22.6g,0.1g,7.2g,23.3g,2.5g,"300                                                                                                                                                                g                                                                                                                                                                luxury fruit and nut mix, 500                                                                                                                                                                g                                                                                                                                                                Greek yoghurt, 1                                                                                                                                                                teaspoon                                                                                                                                                                vanilla bean paste, 1                                                                                                                                                                teaspoon                                                                                                                                                                runny honey                                                                                                                                                                , plus extra to serve, 4                                                                                                                                                                                                                    perfectly ripe figs",
Apple tart | Jamie Oliver recipes,"Sticky apricot glaze, flaked almonds & ice cream","https://img.jamieoliver.com/jamieoliver/recipe-database/154403285.jpg?tr=w-800,h-1066","['Serves', '8']",In50 minutes,"“Inspired by the classic French tartelettes you can find in pâtisseries, I’m using shop-bought pastry for convenience. Topped with vanilla ice cream, this is a lovely little number to have up your sleeve. ”",262,11.1g,5g,21.1g,0.4g,3.1g,45g,1.7g,"320g sheet of ready-rolled puff pastry (cold), 200g apricot jam, 4 eating apples, 1 tablespoon flaked almonds, vanilla ice cream, to serve",
Amalfi lemon & polenta cake | Jamie Oliver recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/134622117.jpg?tr=w-800,h-1066","['Serves', '12']",In2 hours,"“This incredible cake celebrates one of the key ingredients of the Amalfi coast – the beautiful Amalfi lemon. I’ve made an amazing lemon syrup by boiling it whole to create an almost marmalade-y depth of flavour, so you get more of that lovely citrus joy. I then blitz the whole thing with extra virgin olive oil, to really up that Mediterranean vibe. ”",551,42.6g,9.5g,34.2g,0.2g,8.2g,36.2g,0.2g,"1                                                                                                                                                                                                                    Amalfi lemon, 250                                                                                                                                                                ml                                                                                                                                                                extra virgin olive oil                                                                                                                                                                , plus extra for greasing, 4                                                                                                                                                                                                                    large free-range eggs, 250                                                                                                                                                                g                                                                                                                                                                caster sugar, 250                                                                                                                                                                g                                                                                                                                                                ground almonds, 100                                                                                                                                                                g                                                                                                                                                                fine polenta, SYRUP, , 150                                                                                                                                                                g                                                                                                                                                                runny honey, 1                                                                                                                                                                                                                    Amalfi lemon, MASCARPONE CREAM, , 200                                                                                                                                                                g                                                                                                                                                                mascarpone, 2                                                                                                                                                                teaspoons                                                                                                                                                                icing sugar, 2                                                                                                                                                                teaspoons                                                                                                                                                                vanilla paste, 50                                                                                                                                                                g                                                                                                                                                                natural yoghurt, TO SERVE, , 1                                                                                                                                                                tablespoons                                                                                                                                                                flaked almonds, optional:                                                                                                                                                                3                                                                                                                                                                sprigs of fresh lemon balm or thyme, or a little grated lemon zest","Place the whole lemon into a large deep saucepan, cover with cold water and a small heatproof plate (to keep the lemon submerged). Place the pan on a medium heat, bring to a simmer and cook for 20 minutes, or until the lemon is soft. (You might need to top up with more water, if the water evaporates too much.), Drain the lemon and set aside to cool completely, then cut it into quarters removing any pips. Place the lemon quarters into a blender or food processor, then blitz with the extra virgin olive oil until smooth., Preheat the oven to 160°C/325°F/gas 3. Grease and line a deep 20cm cake tin (or 12 x 10cm cake tins)., Whisk the eggs and sugar together in a large bowl, then whisk in the lemon and oil purée, the ground almonds and polenta. Pour the mixture into the prepared tin(s), spread out evenly with a palette knife and bake for 40 to 45 minutes (20 minutes if you’re making individual cakes), or until risen and golden and a skewer inserted into the middle comes out clean. Leave to cool in the tin, then turn out onto a wire rack and leave to cool completely., Meanwhile, make the lemon syrup: place the honey in a small pan on a medium-low heat and squeeze in the lemon juice. Bring to a simmer and cook, stirring, for 4 to 5 minutes, until the honey has melted. (You may need to add a splash of hot water if it looks too thick.) Remove from the heat and set aside to cool., To make the mascarpone cream, beat the mascarpone, icing sugar and vanilla paste together, then gently fold in the yoghurt and set aside., Tip the almonds into a small, dry frying pan and toast until golden. (Keep an eye on them!), To assemble the cake, place the sponge in the middle of the plate. Spoon the mascarpone cream on top making peaks and waves, then drizzle over the syrup and garnish with the toasted almonds and a few lemon balm leaves, if you like."
Raw vegan flapjack snacks | Jamie Oliver recipes,"Nuts, seeds, dates, oats & fruit","https://img.jamieoliver.com/jamieoliver/recipe-database/46265300.jpg?tr=w-800,h-1066","['Makes', '24']",In30 minutes,"“These fantastic little pick-me-ups are full of loadsa good stuff, including iron-rich dates – helping us to stay alert – protein-packed seeds and a hit of omega 3 from the nuts. ”",100,6.2g,0.5g,5.3g,0g,2g,10.1g,1.7g,"100                                                                                                                                                                g                                                                                                                                                                unsalted pecans, 100                                                                                                                                                                g                                                                                                                                                                unsalted hazelnuts, 20                                                                                                                                                                g                                                                                                                                                                mixed seeds                                                                                                                                                                , such as linseeds, chia, 180                                                                                                                                                                g                                                                                                                                                                Medjool dates, 100                                                                                                                                                                g                                                                                                                                                                mixed dried berries                                                                                                                                                                , such as blueberries, cranberries, sour cherries, 200                                                                                                                                                                g                                                                                                                                                                porridge oats, 2                                                                                                                                                                tablespoons                                                                                                                                                                oil                                                                                                                                                                , (I like walnut oil), 1-2                                                                                                                                                                tablespoons                                                                                                                                                                maple syrup","Place 100g each of unsalted pecans and unsalted hazelnuts, 20g of mixed seeds, 180g of Medjool dates (destone first) and 100g of mixed dried berries in a food processor and briefly blitz until they’re all nicely chopped together., Add 200g of porridge oats, 2 tablespoons of oil and 1–2 tablespoons of maple syrup and pulse until combined, but still with a bit of texture., I like to go straight into portion-control mode (my nutrition team will be really proud of me!), and use a 5cm pastry cutter to portion up the 24 flapjacks there and then. For me, the easiest way to do it without getting the scales out is to scrunch and squash the mixture into a rough 75cm sausage, simply cut it in half and into quarters, then divide each piece into 6., One by one, pat and push the portions really firmly into the cutter, pushing down in the centre and squashing the mixture up the sides with your fingers. As you push it down, remove the cutter to give you a nice round flapjack snack., Place the snacks in an airtight container, where they’ll keep happily for up to 2 weeks. Bag up and freeze any you don’t need for a later date. If any get bashed or break up, use them as a great breakfast sprinkle."
Superfruit sundaes | Jamie Oliver recipes,"With oats, chia seeds, yoghurt & lime","https://img.jamieoliver.com/jamieoliver/recipe-database/134449929.jpg?tr=w-800,h-1066","['Makes', '4']",In20 minutes,"“The beauty of this breakfast is that all the prep takes place the night before, so you can enjoy a speedy, healthy start to the day – grab a spoon and dig in. ”",249,12.5g,2.2g,19.6g,0.15g,8.3g,25.9g,6.8g,"1                                                                                                                                                                                                                    ripe mango, 3                                                                                                                                                                                                                    ripe passion fruits, 80                                                                                                                                                                ml                                                                                                                                                                coconut milk, 40                                                                                                                                                                g                                                                                                                                                                chia seeds, 1                                                                                                                                                                                                                    lime, 40                                                                                                                                                                g                                                                                                                                                                mixed nuts and seeds, 50                                                                                                                                                                g                                                                                                                                                                jumbo oats, 1                                                                                                                                                                tablespoon                                                                                                                                                                runny honey, 250                                                                                                                                                                g                                                                                                                                                                frozen berries, 1                                                                                                                                                                slice of                                                                                                                                                                wholemeal bread, 100                                                                                                                                                                g                                                                                                                                                                natural or soy yoghurt, 300                                                                                                                                                                g                                                                                                                                                                mixed fresh fruits                                                                                                                                                                , such as cherries, blueberries, apricots, pineapple","The night before you want to eat this, peel and destone 1 ripe mango, cutting the flesh into chunks. Add to a blender, then halve and scoop in the flesh of 1 passion fruit, pour in 80ml of coconut milk and blitz to a pulp., Tip the pulp into a bowl and stir in 40g of chia seeds, finely grate in the zest from 1 lime and squeeze in half the juice., Divide the mixture between glasses or jars, cover and leave in the fridge overnight., Place a large frying pan over a medium heat. Roughly chop 40g of mixed nuts and seeds add to the frying pan along with 50g of oats. Toast for a few minutes, or until golden and fragrant., Tip the oats, nuts and seeds into a bowl, drizzle over 1 tablespoon of runny honey, then mix to coat. Allow to cool, then cover and leave overnight., In the morning, place 250g of frozen berries in a food processor, tear in 1 slice of wholemeal bread and add 50g of yoghurt. Blitz until everything has come together into a rough ice cream., Take the glasses out of the fridge, divide the blitzed ice cream over the top (using a piping bag, if you like), add a dollop of yoghurt and sprinkle over the sticky oats., Slice the 2 remaining passion fruits in half and pop one on the top of each sundae, along with the rest of your chosen fresh fruit."
Perfect poached rhubarb | Jamie Oliver recipes,With ginger & thyme,"https://img.jamieoliver.com/jamieoliver/recipe-database/134449728.jpg?tr=w-800,h-1066","['Serves', '12']",In15 minutes,"“Rhubarb season is one of the highlights of the year, and this is my really simple and reliable way to prep and cook this glorious vegetable. ”",112,0.2g,0g,27.6g,0g,1.6g,28g,2.4g,"2                                                                                                                                                                kg                                                                                                                                                                rhubarb, 5                                                                                                                                                                cm piece of                                                                                                                                                                ginger, 300                                                                                                                                                                g                                                                                                                                                                sugar, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh thyme                                                                                                                                                                , (20g) optional","Trim and slice 2kg of rhubarb into 1cm slices then place in a large, deep pan., Peel and grate in a 5cm piece of ginger, then add 300g of sugar and 1 bunch of fresh thyme (20g), if using, and stir well., Place the pan on a medium-high heat and bring to the boil. Simmer for 12 to 15 minutes, stirring occasionally, until soft and syrupy. At this point you have perfectly poached rhubarb – you could simmer for 20 minutes more for a delicious rhubarb compote., Remove the pan from the heat, fish out the thyme, if using, and leave to cool."
Easy Eton mess | Jamie Oliver recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/133802786.jpg?tr=w-800,h-1066","['Serves', '6']",,"“Traditionally made with strawberries, meringue and thick, whipped cream, Eton mess is a proper British classic. I’m keeping it simple here and using shop-bought meringues, and lightening things up with a 50/50 mix of cream and Greek-style yoghurt. You can flex the recipe to use all cream, or all yoghurt depending on how indulgent you wanna go! If you want to go all out and make your own meringue, see my tip below.  ”",191,10.4g,6.3g,22.2g,0.1g,2.6g,22.2g,1.9g,"300                                                                                                                                                                g                                                                                                                                                                fresh strawberries, 150                                                                                                                                                                g                                                                                                                                                                fresh raspberries, ½                                                                                                                                                                 tablespoon                                                                                                                                                                runny honey, 100                                                                                                                                                                g                                                                                                                                                                double cream, 100                                                                                                                                                                g                                                                                                                                                                low-fat Greek-style yoghurt, 100                                                                                                                                                                g                                                                                                                                                                shop-bought meringues","Halve or quarter any large strawberries and place in a large bowl with the raspberries. Use a fork to crush half of the berries and drizzle over the honey., Whip the cream until soft peaks form, then fold in the yoghurt., Crumble the meringues over the fruit, then fold in the cream and yoghurt mixture. Divide up into 6 individual bowls and serve straightaway, topped with extra berries, if you like."
