Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Sweet & sour rabbit | Jamie Oliver recipes,"Bay, almonds & pine nuts","https://img.jamieoliver.com/jamieoliver/recipe-database/77732376.jpg?tr=w-800,h-1066","['Serves', '4']",In1 hour,"“Nonna Marina uses bold ingredients and simple cooking methods to create big flavours. This recipe is inspired by a couple of delicious dishes that I was lucky enough to cook and enjoy with her, and I know you’re going to love it – it’s sticky, tender, and the unusual addition of nuts just works so well and adds a wonderful crunch. If you can’t find rabbit, a jointed chicken will work a treat with these flavours, too. ”",580,33g,6g,17.5g,0.3g,45.1g,19.7g,1g,"1                                                                                                                                                                whole                                                                                                                                                                rabbit (1.2kg)                                                                                                                                                                , skinned, jointed, with offal, olive oil, 1                                                                                                                                                                                                                    red onion, 5                                                                                                                                                                                                                    ripe cherry tomatoes, 1                                                                                                                                                                                                                    fresh red chilli, 5                                                                                                                                                                                                                    fresh bay leaves, 50                                                                                                                                                                g                                                                                                                                                                pine nuts, 50                                                                                                                                                                g                                                                                                                                                                blanched almonds, ½                                                                                                                                                                teaspoon                                                                                                                                                                ground cloves, 150                                                                                                                                                                ml                                                                                                                                                                full-bodied Sicilian red wine, 100                                                                                                                                                                ml                                                                                                                                                                thick balsamic vinegar, 1                                                                                                                                                                tablespoon                                                                                                                                                                runny honey",
Game-on curry recipe | Jamie Oliver recipes,"Chicken, quail, partridge, pheasant & aubergines","https://img.jamieoliver.com/jamieoliver/recipe-database/83619404.jpg?tr=w-800,h-1066","['Serves', '8']",20 minutes,"“There are so many beautiful game birds you can cook with these days. Plus, game is seasonal, so it’s often better value than supermarket birds. If you’re nervous, ease yourself in gently by upping the ratio of chicken. Trust me, it’s delicious! ”",329,15g,5.7g,8.6g,0.4g,37.6g,12.3g,1.2g,"2 x 200                                                                                                                                                                g                                                                                                                                                                free-range chicken legs, 1                                                                                                                                                                                                                    quail, 1                                                                                                                                                                                                                    partridge, 1                                                                                                                                                                                                                    pheasant, 1                                                                                                                                                                big handful of                                                                                                                                                                curry leaves, 8                                                                                                                                                                                                                    finger aubergines, 8                                                                                                                                                                small                                                                                                                                                                round aubergines, 1                                                                                                                                                                large                                                                                                                                                                aubergine                                                                                                                                                                , (400g), 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                light coconut milk, PASTE, 1                                                                                                                                                                                                                    onion, 4                                                                                                                                                                cloves of                                                                                                                                                                garlic, 4                                                                                                                                                                cm piece of                                                                                                                                                                ginger, 2                                                                                                                                                                                                                    fresh red chillies, 1                                                                                                                                                                bunch of                                                                                                                                                                 fresh coriander                                                                                                                                                                , (30g), 4                                                                                                                                                                teaspoons                                                                                                                                                                crunchy peanut butter, 4                                                                                                                                                                teaspoons                                                                                                                                                                tamarind paste, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                soft brown sugar, 2                                                                                                                                                                teaspoons each                                                                                                                                                                fenugreek seeds, garam masala, 1                                                                                                                                                                teaspoon each                                                                                                                                                                cumin seeds, fennel seeds, ground turmeric","Preheat the oven to 190ºC/375ºF/gas 5., For the paste, peel the onion, garlic and ginger, deseed the chillies, then slice it all with the coriander stalks (reserving the leaves). Place it all in a large ovenproof pan on a medium heat and char for 1 to 2 minutes to soften slightly., Tip into a large pestle and mortar, add the remaining paste ingredients and bash to a thick paste (or whiz in a food processor)., Return the pan to a medium heat. Halve the chicken legs through the bone, then place skin side down in the pan with the quail. Cut off and add the partridge and pheasant legs. Remove and discard the partridge and pheasant backbones, then halve the birds and add to the pan., Dry-fry for 3 to 4 minutes, or until everything is golden all over, then add the curry leaves and 1 heaped tablespoon of the paste. Leave to tick away on a low heat while you prep the aubergines, stirring regularly., Leaving the finger and round aubergines intact at the stalk, cut into quarters lengthways. Cut the large aubergine into thick rounds and slice down into the outer edge of each round to make a pocket. Use the remaining paste to stuff all the aubergines and coat their outsides., Layer into the pan on top of the game – it’ll be snug! Transfer to the oven to cook for 40 minutes, or until the aubergines are tender and the meat is cooked through., Put the pan back on a medium heat on the hob, then pour in the coconut milk and a splash of water. Let it gently bubble away for 2 minutes, then season to perfection with sea salt and black pepper and sprinkle over the coriander leaves. Delicious served with pickles, salad, rice and Fluffy coconut breads."
Roasted game bird pie | Jamie Oliver chicken pie recipes,Incredible old-school suet pastry,"https://img.jamieoliver.com/jamieoliver/recipe-database/63138531.jpg?tr=w-800,h-1066","['Serves', '12']",15 minutes,"“Have I got a pie for you! Start the story by roasting the birds, giving extra flavour, texture, and smiles all round – it’s worth the wait. Add an aromatic herby hit, your low-and-slow veggie base, encase in beyond-delicious pastry, and you’re on to a winner. All the leftover bones from the birds will make a brilliant stock. ”",731,41g,17.8g,5.4g,1g,37.6g,53.2g,3.7g,"1 x 1.4                                                                                                                                                                kg                                                                                                                                                                whole free-range chicken, 1                                                                                                                                                                                                                    duck, 1                                                                                                                                                                                                                    pheasant, 1                                                                                                                                                                                                                    grouse, 1                                                                                                                                                                                                                    partridge, 1                                                                                                                                                                                                                    quail, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh thyme                                                                                                                                                                , (15g), ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh rosemary                                                                                                                                                                , (15g), 2                                                                                                                                                                                                                    fresh bay leaves, 1                                                                                                                                                                tablespoon                                                                                                                                                                juniper berries, olive oil, 1                                                                                                                                                                                                                    red onion, 3                                                                                                                                                                                                                    carrots, 2                                                                                                                                                                sticks of                                                                                                                                                                celery, 2                                                                                                                                                                medium                                                                                                                                                                leeks, 4                                                                                                                                                                rashers of                                                                                                                                                                higher-welfare smoked streaky bacon, 2                                                                                                                                                                                                                    Maris Piper potatoes, 1                                                                                                                                                                litre                                                                                                                                                                quality organic chicken stock, 2                                                                                                                                                                tablespoons                                                                                                                                                                plain flour, 500                                                                                                                                                                ml                                                                                                                                                                dry cider, PASTRY, 600                                                                                                                                                                g                                                                                                                                                                plain flour                                                                                                                                                                , plus extra for dusting, 150                                                                                                                                                                g                                                                                                                                                                shredded suet, 150                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , (cold), 2                                                                                                                                                                large                                                                                                                                                                free-range eggs","Preheat the oven to 180ºC/350ºF/gas 4., Place all the birds in a large roasting tray. Strip the thyme and half the rosemary leaves into a pestle and mortar, then bash up with the bay, juniper berries, a pinch of sea salt and ½ a tablespoon of black pepper., Muddle in 6 tablespoons of oil, then rub all over the birds. Roast for 1 hour., Meanwhile, peel and finely chop the onion, carrots and celery. Wash, trim and finely slice the white part of the leeks (save the green for making stock or soup) and the bacon. Peel the potatoes and cut into 2cm chunks., Drizzle 1 tablespoon of oil into a large pan on a medium heat, add the bacon to render out the fat, then strip in the remaining rosemary. Once golden, add the onion, carrots, celery and leeks, then cook for 45 minutes on a medium-low heat, or until softened, stirring occasionally and adding the potatoes halfway through., For the pastry, put the flour and a good pinch of salt into a bowl with the suet, cube and add the butter, then use your thumbs and forefingers to rub the fat into the flour until it resembles breadcrumbs., Beat the eggs, then, reserving just enough to eggwash the pie, stir into the bowl with 180ml of ice-cold water. Use your hands to gently bring it together into a ball, but don’t overwork it. Wrap in clingfilm and chill in the fridge for at least 30 minutes., When the time’s up, remove the birds from the oven. When cool enough to handle, pick all the meat, discarding the skin and bones. Sieve the tray juices into the stock., Reduce the oven temperature to 170ºC/325ºF/gas 3., Stir the flour into the veg for 1 minute, then pour in the cider and cook for 10 minutes, or until slightly reduced., Shred the meat and stir into the veg pan, then add the stock. Season well, bring to the boil and simmer for 30 minutes, or until thickened., Carefully drain the liquid through a coarse sieve into a pan, skimming away any fat from the surface. Leave to cool., Grease the bottom of a pie dish (25cm x 30cm) with a little oil. Roll out two-thirds of the pastry on a clean flour-dusted surface to ½cm thick and use it to line the pie dish., Stir 300ml of the strained gravy through the meat and spoon into the dish. Eggwash the edges., Roll out the remaining pastry to ½cm thick and a little bigger than the pie dish, then carefully place on top of the pie, trimming off any overhang. Pinch the edges to seal and make two small incisions in the centre for the steam to escape. Use any spare pastry to decorate the pie, if you like., Eggwash the top, then bake at the bottom of the oven for 1 hour, or until the pastry is golden and the pie is piping hot., To serve, reheat the remaining gravy, skimming off any fat from the surface, and serve alongside the pie. Delicious with creamy mashed potato and seasonal mustardy dressed greens."
"Venison shanks, juniper and redcurrants | Stew recipes | Jamie magazine","red onion, celery & rosemary","https://img.jamieoliver.com/jamieoliver/recipe-database/46265697.jpg?tr=w-800,h-1066","['Serves', '6']",30 minutes,"“The classic flavourings for venison are used here in a warming stew. If you can’t get shanks, diced shoulder would also work. 
 ”",355,9.2g,3.4g,9.8g,1g,45.2g,13.g,4.8g,"4                                                                                                                                                                                                                    venison shanks, 1½                                                                                                                                                                tablespoons                                                                                                                                                                juniper berries, 1                                                                                                                                                                 large knob of                                                                                                                                                                butter, olive oil, 4                                                                                                                                                                                                                    red onions, 2                                                                                                                                                                                                                    celery stalks, 2                                                                                                                                                                punnets of                                                                                                                                                                redcurrants, 300                                                                                                                                                                ml                                                                                                                                                                red wine, a few                                                                                                                                                                sprigs of                                                                                                                                                                fresh rosemary, 800                                                                                                                                                                ml                                                                                                                                                                organic beef stock","Place the shanks on a large board and sprinkle liberally with sea salt and black pepper. Crush the juniper berries, then sprinkle over as well., Heat the butter and a glug of oil in a large casserole pan and brown the meat on all sides, in batches if necessary. Remove the shanks from the pan and set aside., Peel and finely slice the onion, then trim and slice the celery. Add both to the pan and reduce the heat to low. Cook for 10 to 15 minutes, until softened but not coloured., Add the currants to the pan with the wine and bring to the boil, then simmer for a few minutes. Return the shanks to the pan with the rosemary and stock and bring back to the boil. Reduce the heat and leave to simmer, covered, for 4 hours or until the meat is falling off the bone., Remove the shanks and set aside. Bring the sauce back to the boil and cook on a medium heat until thick and glossy. Shred the meat off the bones; when the sauce thickens, return the meat to pan and heat through. Serve with neeps 'n' tatties."
Bacon-Wrapped Roast Partridge | Game Recipes | Jamie Oliver,,"https://img.jamieoliver.com/jamieoliver/recipe-database/46257551.jpg?tr=w-800,h-1066","['Serves', '4']",,,882,38.5g,9g,20.3g,,90.2g,40g,,"2                                                                                                                                                                sprigs of                                                                                                                                                                fresh sage leaves, 1                                                                                                                                                                tablespoon                                                                                                                                                                dried cranberries, 1                                                                                                                                                                                                                    red onion, 100                                                                                                                                                                g                                                                                                                                                                higher-welfare minced pork shoulder, 10                                                                                                                                                                                                                    vac-packed chestnuts, 4                                                                                                                                                                                                                    partridges, olive oil, 10                                                                                                                                                                                                                    thin rashers of higher-welfare pancetta or smoked streaky bacon, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh thyme, 1                                                                                                                                                                small bottle of                                                                                                                                                                good British ale, 250                                                                                                                                                                g                                                                                                                                                                green or puy lentils, a few                                                                                                                                                                sprigs of                                                                                                                                                                fresh rosemary, 4                                                                                                                                                                                                                    fresh bay leaves, 2-3                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1-2                                                                                                                                                                                                                    cherry tomatoes                                                                                                                                                                , optional, extra virgin olive oil, 2                                                                                                                                                                tablespoons                                                                                                                                                                red wine vinegar, 100                                                                                                                                                                g                                                                                                                                                                baby spinach, 2-3                                                                                                                                                                tablespoons                                                                                                                                                                quality blueberry jam, Greek yoghurt","Preheat the oven to 220ºC/gas 7 and place roasting tray inside to heat up., Pick the sage leaves, then roughly slice the dried cranberries. Peel and finely slice the onion., Add the sage and cranberries to the pork meat, and crumble in the chestnuts. Season, then mix well and stuff into the cavities of each partridge, leaving enough space for the air to circulate around the filling., Roll any leftover stuffing into balls. Rub olive oil, sea salt and black pepper all over the birds, then drape the pancetta or bacon over the breasts. Top each bird with a sprig of thyme, securing everything with string., Put the partridges into the hot tray with a lug of ale and any stuffing balls, then cook for 15 to 18 minutes (depending on the size of your birds), then remove the partridges and stuffing to a warm plate, covering with foil and a tea towel – don’t wash the roasting tray though.

Meanwhile, put the lentils in a pan and cover with 2cm or so of water. Add the rosemary, remaining thyme, bay, unpeeled garlic cloves and the onion., Squeeze the cherry tomatoes into the pan, if you’ve got them. Bring to the boil, then turn down and simmer for 12 to 15 minutes, or until the lentils are soft but holding their shape – the time will vary according to the type of lentil, so check the packet instructions., At this point, you only want 1cm of water, so drain away any extra, then add a swig of extra virgin olive oil and the vinegar., Fish out the herb sprigs and the garlic cloves. Squeeze the garlic flesh out of the skins and into the lentils. Mix up, then season to taste. Stir through the baby spinach, then put the lentils onto a platter.

Add the blueberry jam to the roasting tray and stir it into all the lovely bits from the bottom of the tray. Add a good swig of ale, then put the tray over a medium heat to thicken and reduce a little., Take the partridges from the plate and put them and the stuffing, on the lentils. When the sauce is sticky, dollop some yoghurt over the lentils and pour the sauce over everything. Serve right away."
Slow-cooked pigeon | Jamie Oliver,,"https://img.jamieoliver.com/jamieoliver/recipe-database/AgT0WQLh4syAz0Xg6PfhUX.jpg?tr=w-800,h-1066","['Serves', '4']",20 minutes,"“This is one of Luis Gallego’s favourite pigeon recipes. 
 ”",430,32.5g,5.4g,6.3g,0.4g,16.4g,17.2g,,"2                                                                                                                                                                small                                                                                                                                                                onions, 2                                                                                                                                                                                                                    carrots, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 4                                                                                                                                                                                                                    pigeons, 4                                                                                                                                                                sprigs of                                                                                                                                                                fresh flat-leaf parsley, 8                                                                                                                                                                tablespoons                                                                                                                                                                olive oil, 2                                                                                                                                                                tablespoons                                                                                                                                                                plain flour, 250                                                                                                                                                                ml                                                                                                                                                                dry white wine, 750                                                                                                                                                                ml                                                                                                                                                                organic chicken stock","Peel and chop the onions, carrots and garlic, halve the pigeons, then pick and finely chop the parsley., Heat the oil in a casserole dish over a medium heat, then sauté the onion, carrot and garlic until softened. Add the pigeon and brown for 3 to 5 minutes. Sprinkle the flour in and stir well., Add the wine and stock, season generously, then increase the heat and bring to the boil. Lower the heat, stir in the parsley, then simmer with the lid on for 4 hours. Check on it now and again, adding an extra splash of water, if needed., When the pigeon is nearly ready, use a fork to shred the meat off the bone – it should fall off easily. Serve with potatoes or crusty bread – be careful of the bones!"
Spanish rabbit stew | Game recipes | Jamie magazine recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/CebKsj2aqWQ9ml929U_mp8.jpg?tr=w-800,h-1066","['Serves', '6-8']",30 minutes,"“There are a lot of gutsy rabbit stews made throughout Europe using regional wines. This one combines albariño, the fashionable white wine from Galicia, with paprika and peppers for a simple Spanish version. ”",410,17g,5g,6g,,37g,7g,,"olive oil, 2                                                                                                                                                                small                                                                                                                                                                wild rabbits                                                                                                                                                                ,  jointed (if using farmed rabbits, you might only need 1 as they tend to be larger), 3                                                                                                                                                                cloves of                                                                                                                                                                garlic, 12                                                                                                                                                                small                                                                                                                                                                red onions, ½                                                                                                                                                                tablespoon                                                                                                                                                                sweet paprika, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh rosemary, 750                                                                                                                                                                ml                                                                                                                                                                albariño wine, 1 x 250 - 300                                                                                                                                                                g jar of                                                                                                                                                                roasted red peppers","Heat 4 tablespoons of oil in a large saucepan or cast-iron casserole pan over a medium heat. Cook the rabbit pieces in batches for about 5 minutes, or until browned, stirring occasionally and adding more oil if needed., Peel and slice the garlic lengthways, then peel and halve the onions., Remove the rabbit to a plate, then add the garlic and onion to the pan. Cook until softened, stirring occasionally., Add the paprika and rosemary leaves, season generously with sea salt and black pepper and stir well., Return the rabbit pieces to the pan, add the wine, cover with a folded piece of greaseproof paper and bring to the boil., Simmer for 1 hour 30 minutes to 2 hours, or until the rabbit is tender and the sauce has thickened. Drain the peppers and add to the pan for the final 15 minutes., If you like a thicker sauce, remove the rabbit pieces, then boil the sauce rapidly to reduce., If you wish, you can shred the meat, then return it to the stew. Serve with crusty bread to mop up the sauce."
Spaghetti with wood pigeon ragù | Jamie Oliver,"Red wine, quality tomatoes & fresh basil","https://img.jamieoliver.com/jamieoliver/recipe-database/3qvpNPtHacM8K8gkTg9kZY.jpg?tr=w-800,h-1066","['Serves', '6']",15 minutes,"“A wonderful ‘spag bol’ for all lovers of game, using wood pigeon slowly cooked in tomato sauce. ”",567,17.3g,2.8g,10g,,20.7g,71.8g,,"3                                                                                                                                                                                                                    wood pigeons, 6                                                                                                                                                                tablepsoons                                                                                                                                                                olive oil, 1                                                                                                                                                                large                                                                                                                                                                onion, 2                                                                                                                                                                large                                                                                                                                                                carrots, 1                                                                                                                                                                                                                    fresh red chilli, 275                                                                                                                                                                ml                                                                                                                                                                red wine, 3 x 400                                                                                                                                                                g tins of                                                                                                                                                                quality plum tomatoes, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh basil, 500                                                                                                                                                                g                                                                                                                                                                spaghetti","Using a sharp carving knife, quarter the pigeons., Heat the olive oil in a large pan, add the pigeon and cook until browned and sealed, turning occasionally., Meanwhile, peel and finely chop the onion and carrots, then slice the chilli lengthways, keeping it intact at the base., Pour the wine into the pan and cook until the liquid has evaporated, then add the onion, carrot and chilli, and sweat together with the pigeon., Tip in the tomatoes and 2 tins' worth of water. Roughly chop and add the basil leaves and stalks. Bring to the boil, breaking up the tomatoes with the back of a spoon., Reduce the heat, cover with the lid askew and cook for 2 to 3 hours on a very low heat. Check from time to time – if the meat is sticking to the pan, add another tin or so of water., Cook the spaghetti according to the packet until it’s al dente, then drain and mix with some of the sauce. Transfer onto a large serving dish and serve with the rest of the sauce."
Wild rabbit stew | Jamie magazine recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/5WRn2EKJaJmAM80j1PRMa9.jpg?tr=w-800,h-1066","['Serves', '4']",20 minutes,,489,13.4g,6.1g,22.6g,0.6g,53.6g,33.2g,6.2g,"2                                                                                                                                                                                                                    whole rabbits                                                                                                                                                                , wild if possible, 2                                                                                                                                                                tablespoons                                                                                                                                                                English mustard powder, 2                                                                                                                                                                tablespoons                                                                                                                                                                plain flour, 4                                                                                                                                                                small                                                                                                                                                                onions, 2                                                                                                                                                                sticks of                                                                                                                                                                celery, 1                                                                                                                                                                tablespoon                                                                                                                                                                butter, a few                                                                                                                                                                sprigs of                                                                                                                                                                fresh thyme, 570                                                                                                                                                                ml                                                                                                                                                                pale ale, ½                                                                                                                                                                teaspoon                                                                                                                                                                English mustard","Joint the rabbits (or ask the butcher to do it. If you bought your rabbits from the supermarket, they will probably be pre-jointed, but they’ll also be farmed – tender but not so tasty)., Cut the shoulders and legs off, and cut them in halves at the elbows and knees. Turn each rabbit so its backbone is on the board. Put a knife across the body, below the ribcage, and whack the back of the knife with a rolling pin. If you’ve done it hard enough, you will have cut the rabbit in two., Do the same thing at the other end to chop the pelvis off. Throw away the rib cages and pelvises. You will be left with a rectangular bit of the rabbit’s back, about 10cm long. Chop that in half, across the spine, giving you 10 pieces from each rabbit., In a large mixing bowl, combine the mustard powder and flour with a few pinches of sea salt and black pepper. Toss all the rabbit pieces in the seasoning mix until well coated., Peel and halve the onions. Trim and chop the celery, then peel the carrots., Melt the butter in a large, shallow sauté pan over a medium heat. Add the rabbit and brown evenly on all sides, adding butter as required., Add the onions, celery, carrots and thyme, and cook gently until soft and fragrant., Pour over the ale, topping up with enough water to cover. Simmer gently for about 45 minutes, or until the meat is tender, adding water if the liquid gets low., Once cooked, simmer the liquid to thicken, and stir in the mustard before serving with crusty bread and a watercress salad."
Sweet & Sticky Roast Quail | Game Recipes | Jamie Oliver,,"https://img.jamieoliver.com/jamieoliver/recipe-database/FxVhCZ9zK528-i-zdq1McB.jpg?tr=w-800,h-1066","['Serves', '4']",plus marinating,"“Za’atar, a Lebanese herb mix, is available at larger supermarkets and speciality shops. You can easily make it by crushing dried thyme and marjoram using a pestle and mortar, then stirring through some sesame seeds.  ”",984,53.2g,13.3g,11.6g,1.8g,75.6g,51.5g,8.2g,"8                                                                                                                                                                                                                    quail, 2                                                                                                                                                                teaspoons                                                                                                                                                                za’atar, 4                                                                                                                                                                                                                     Arab-style flatbreads, 2                                                                                                                                                                                                                    little gem lettuces, 1                                                                                                                                                                handful of                                                                                                                                                                rocket leaves, MARINADE, , 6                                                                                                                                                                tablespoons                                                                                                                                                                extra-virgin olive oil, 4                                                                                                                                                                tablespoons                                                                                                                                                                pomegranate molasses, 1                                                                                                                                                                tablespoon                                                                                                                                                                coriander seeds, 1                                                                                                                                                                tablespoon                                                                                                                                                                ground cumin, 1                                                                                                                                                                tablespoon                                                                                                                                                                ground ginger, 1                                                                                                                                                                teaspoon                                                                                                                                                                saffron threads","Combine the marinade ingredients in a very large bowl and mix well., Add the quail and gently toss to coat thoroughly in the marinade. Cover and refrigerate for at least 30 minutes., Preheat the oven to 200ºC/gas 6., Place the quail in a small roasting tin, pour over the marinade and roast for 20 to 30 minutes, basting occasionally with the marinade, until golden brown and cooked through – if you find the quail are browning unevenly, move them around in the tin during cooking., Just before they’re ready, sprinkle the za’atar over the quail and return them to the oven until done., Cut or tear the flatbread into wedges, then arrange on a large platter. Separate the little gem leaves and scatter on top along with the rocket leaves., Place the quail on the bread and lettuce, then drizzle over the remaining marinade from the roasting tin. Great with a green salad and crusty bread."
