Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Air-fryer bubble and squeak | Jamie Oliver Christmas recipes,Put lovely leftovers to good use,"https://img.jamieoliver.com/jamieoliver/recipe-database/154640293.jpg?tr=w-800,h-1066","['Serves', '2']",In20 minutes,,398,15.5g,1.6g,18g,0g,7.3g,60.6g,11.6g,"300                                                                                                                                                                g                                                                                                                                                                leftover roast potatoes, 300                                                                                                                                                                g                                                                                                                                                                leftover cooked veg                                                                                                                                                                , such as carrots, swede, turnips, parsnips, Brussels sprouts, kale, 4                                                                                                                                                                sprigs of                                                                                                                                                                fresh woody herbs                                                                                                                                                                , such as rosemary, sage, thyme, olive oil","Place the veg in a large bowl and mash well with a potato masher (or use clean hands), then shape into 6 even-sized 3cm-thick patties., Meanwhile, pick the fresh herb leaves, and toss in ½ a tablespoon of olive oil., Arrange the patties in air-fryer* in a single layer. Cook at 190°C for 15 minutes or until beautifully crisp, scattering over the herbs for the final 5 minutes."
Veggie bubble & squeak | Jamie Oliver vegetable recipes,"Crispy, gnarly, caramelised veg","https://img.jamieoliver.com/jamieoliver/recipe-database/91994145.jpg?tr=w-800,h-1066","['Serves', '8']",In40 minutes,"“Bubble and squeak is a dish created out of leftovers and it’s become one of our great British recipes. The first recorded recipes for it were written in the early 1800s, when any roasted shredded meat or vegetables left over from Sunday’s dinner would be fried in the pan the next day to create this big and beautiful veggie patty. But it’s so damn good you shouldn’t have to wait for leftovers to enjoy it, so I’m giving you this recipe as a guide. As long as you use 60% potato, you can make the rest up using whatever you’ve got to hand – vegetables, crumbled chestnuts, herbs, crispy bacon or leftover meat. In the cockney cafés they call this ‘bubble’, and serve it alongside eggs for breakfast. Because it often sits in the pan for ages getting dark and crispy, it tends to take on a fairly dark grey and rather ugly colour, but ironically, those are often the tastiest bubble and squeaks of all. ”",179,6.1g,2.9g,4.5g,0.3g,3.8g,29.1g,4.1g,"1                                                                                                                                                                kg                                                                                                                                                                fluffy potatoes                                                                                                                                                                , such as Maris Piper, 600                                                                                                                                                                g                                                                                                                                                                mixed vegetables                                                                                                                                                                , such as carrots, swede, turnips, parsnips, kale, Brussels sprouts... anything you like!, 40                                                                                                                                                                g                                                                                                                                                                unsalted butter, olive oil, a few                                                                                                                                                                sprigs of                                                                                                                                                                fresh herbs                                                                                                                                                                , such as rosemary, sage, thyme or whatever you have knocking about in the fridge","Peel and trim all the vegetables, cutting the root veg into 2.5cm dice., Cook the veg in a large pan of boiling salted water for 10 minutes, or until they are all cooked through., If you’re using swede or turnips, put them in about 5 minutes earlier than everything else as they take slightly longer to soften up. If using kale, just blanch this for a few minutes right at the end., Once all the veg is cooked, drain and leave to steam dry for a few minutes., Melt the butter and a lug of oil in a medium non-stick frying pan (roughly Put a medium non-stick frying pan (roughly 26cm–28cm) over a medium heat., Pick and chop the herb leaves, then add to the pan with the cooked vegetables. Season well with sea salt and white pepper, then mash everything up in the pan., Pat everything into a flat layer and cook for 3 to 4 minutes, or until a lovely golden crust starts forming underneath. Fold those crispy bits back into the mash, then pat and flatten down and repeat the process for about 15 or 20 minutes. Concentrate on building up flavours, character and crispiness., Halfway through the cooking, flip it over using a fish slice, or like a pancake if you’re brave. If it breaks don’t worry, just push it back together., Let it crisp up on the underside then nick a bit and taste it. This is the time to correct the seasoning. Once you’re happy, serve it with a blob of HP sauce and whatever else you fancy."
Super green spaghetti | Vegetarian spaghetti recipe,With Parmesan & ricotta,"https://img.jamieoliver.com/jamieoliver/recipe-database/55846383.jpg?tr=w-800,h-1066","['Serves', '2']",In13 minutes,"“This super speedy supper is a great way to transform hardy winter greens into a deliciously silky pasta sauce. So simple, but, boy, is it good. ”",456,17.3g,5.5g,3.7g,0.9g,18.4g,60.5g,2.6g,"150                                                                                                                                                                g                                                                                                                                                                dried spaghetti, 4                                                                                                                                                                cloves of                                                                                                                                                                garlic, 200                                                                                                                                                                g                                                                                                                                                                cavolo nero, 30                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, 30                                                                                                                                                                g                                                                                                                                                                ricotta cheese","Cook the pasta in a pan of boiling salted water according to the packet instructions., Meanwhile, peel the garlic. Tear the stems out of the cavolo and discard, adding the leaves and the garlic to the pasta pan for 5 minutes., Pour 1½ tablespoons of extra virgin olive oil into a blender, then finely grate in the Parmesan., Use tongs to carefully transfer the cavolo leaves and garlic straight into the blender and blitz for a few minutes until super-smooth. Taste and season to perfection with sea salt and black pepper., Drain the pasta, reserving a mugful of cooking water., Return it to the pan and toss with the vibrant green sauce, loosening with a splash of reserved cooking water, if needed, then divide between your plates., Dot over the ricotta, drizzle with a tiny bit of extra virgin olive oil, and tuck right in."
Warm winter salad | Kale recipes | Jamie magazine recipes,"With quinoa, crunchy hazelnuts & a zingy dressing","https://img.jamieoliver.com/jamieoliver/recipe-database/49213397.jpg?tr=w-800,h-1066","['Serves', '4']",In40 minutes,"“This simple salad has lots of nuttiness and zing, plus it’s filling 
enough for lunch or dinner on a chilly day. While it’s great served 
on its own, it also makes a tasty side to miso-baked salmon.  ”",269,15.7g,1.9g,10.5g,0.12g,9.8g,23.5g,5.1g,"100                                                                                                                                                                g                                                                                                                                                                quinoa, 250                                                                                                                                                                g                                                                                                                                                                purple sprouting broccoli, 2                                                                                                                                                                                                                    oranges, 1                                                                                                                                                                tablespoon                                                                                                                                                                tahini, 1                                                                                                                                                                tablespoon                                                                                                                                                                red wine vinegar, 1                                                                                                                                                                teaspoon                                                                                                                                                                runny honey, extra virgin olive oil, 200                                                                                                                                                                g                                                                                                                                                                mixed-colour kale, 30                                                                                                                                                                g                                                                                                                                                                blanched hazelnuts","Cook the quinoa according to the packet instructions, then drain., Place a large frying pan or griddle pan over a medium heat., Trim the broccoli and cook for 8 to 10 minutes (in batches if you need to), turning occasionally, until slightly charred., To make a dressing, squeeze the juice of 1 orange into a small bowl. Mix in the tahini, red wine vinegar, honey and 2 tablespoons of oil, then season to taste and set aside., Remove and discard any hard stalks from the kale, placing the leaves in a large bowl. With your hands, massage in a pinch of salt for 1 minute., Once the broccoli has charred, add to the kale and tip over half the dressing. Add the quinoa and toss together., Put the pan you used to cook the broccoli back over a high heat and toast the hazelnuts until golden, then roughly chop., Add a little more dressing to the salad, toss again, then arrange on a large serving platter., Peel the remaining orange, slice into rounds and scatter over the salad. Tip over the chopped toasted hazelnuts and serve straight away, with any remaining dressing on the side."
Creamy kale gnocchi | Vegetable recipes | Jamie Oliver recipe,WITH CRISPY BREADCRUMB SPRINKLE,"https://img.jamieoliver.com/jamieoliver/recipe-database/DeiGKBygKfD8y62Fm-uoZ4.jpg?tr=w-800,h-1066","['Serves', '2']",In25 minutes,"“This is proper comfort food with a few clever twists. Mashing up cannellini beans with the gnocchi cooking water makes a super-creamy sauce that’s also rich in protein. Then, topping it off with a final flourish of crunchy herby breadcrumbs elevates this humble plateful into something really special that you can have on the table in under half an hour. Happy days! ”",897,33.5g,9.6g,6.4g,3.0g,29.2g,123.3g,16.6g,"1                                                                                                                                                                clove of                                                                                                                                                                garlic, 1                                                                                                                                                                sprig of                                                                                                                                                                fresh rosemary, olive oil, ½                                                                                                                                                                a                                                                                                                                                                dried red chilli, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                cannellini beans, 40                                                                                                                                                                g                                                                                                                                                                breadcrumbs, 350                                                                                                                                                                g                                                                                                                                                                gnocchi, 30                                                                                                                                                                g                                                                                                                                                                créme fraîche, 150                                                                                                                                                                g                                                                                                                                                                baby kale, 20                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, 1                                                                                                                                                                                                                    lemon, extra virgin olive oil, 60                                                                                                                                                                g                                                                                                                                                                mixed salad","Fill a deep pot with salted water and bring to the boil., Peel and finely chop the garlic. Pick and finely chop the rosemary., Heat 1 tablespoon of olive oil in a large saucepan over medium heat. Add the garlic, crumble in the chilli and fry until lightly golden., Drain beans and add to the pan with 150ml of water. Season well with sea salt and black pepper. Bring to the boil then crush the beans in the pan with a wooden spoon. Add créme fraîche and kale. Add a splash of water to wilt the kale, then cover with a lid and remove from the heat., Heat 1 tablespoon of olive oil in a medium frying pan over medium heat. Add rosemary and breadcrumbs, then fry for 2 to 3 minutes, or until golden, stirring regularly. Season well., Add the gnocchi to the boiling water and cook for 3 minutes, or until they float., Drain, reserving a mugful of cooking water, then add to the sauce. Fold together, loosening with cooking water. The sauce should look quite wet, as the beans and gnocchi will continue to absorb a lot of liquid. Finely grate the Parmesan and stir half through the gnocchi. Season well., Squeeze some lemon juice into a bowl, add 1 tablespoon of extra virgin olive oil and season. Toss the salad in this dressing., Divide the gnocchi between plates, scatter with the breadcrumbs and remaining Parmesan. Serve with lemon in wedges and the salad piled on top."
Irish stew recipe | Jamie Oliver stew recipes,English mustard pearl barley,"https://img.jamieoliver.com/jamieoliver/recipe-database/51137564.jpg?tr=w-800,h-1066","['Serves', '6']",30 minutes,"“The benefit of skirt steak is that it’s leaner than many other cuts of beef, plus it’s high in the mineral zinc, which we need to keep our hair, skin and nails nice and healthy – triple win! ”",576,9.9g,2.3g,16.3g,1.5g,39.8g,82.3g,6.1g,"450                                                                                                                                                                g                                                                                                                                                                pearl barley, olive oil, 100                                                                                                                                                                g                                                                                                                                                                baby silverskin pickled onions, 1                                                                                                                                                                large                                                                                                                                                                onion, 3                                                                                                                                                                large                                                                                                                                                                carrots, 1                                                                                                                                                                                                                    celery heart, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh thyme                                                                                                                                                                 , (15g), 800                                                                                                                                                                g                                                                                                                                                                 swede, 20                                                                                                                                                                g                                                                                                                                                                dried porcini mushrooms, 500                                                                                                                                                                g                                                                                                                                                                beef skirt steak, 1                                                                                                                                                                litre                                                                                                                                                                organic beef or chicken stock, ½ x 440                                                                                                                                                                ml can of                                                                                                                                                                Guinness, 500                                                                                                                                                                g                                                                                                                                                                 fresh seasonal greens                                                                                                                                                                , such as kale, cabbage, chard, 20                                                                                                                                                                g                                                                                                                                                                Cheddar cheese, 4                                                                                                                                                                heaped teaspoons                                                                                                                                                                 English mustard, 2¼ cups pearl barley, olive oil, 3½ oz baby silverskin pickled onions, 1 large onion, 3 large carrots, 1 celery heart, ½ a bunch of fresh thyme (½ oz), 1¾ lbs rutabaga, ¾ oz dried porcini mushrooms, 1 lb beef skirt steak, 4 cups organic beef or chicken stock, ½ x 440-ml can of Guinness, 1 lb fresh seasonal greens, such as kale, cabbage, chard, ¾ oz Cheddar cheese, 4 heaping teaspoons English mustard","Preheat the oven to 180°C/350°F/gas 4., In a large pan, cover the pearl barley with plenty of cold water and leave to soak., Put a large casserole pan on a medium-high heat with 1 tablespoon of oil and the whole pickled onions. Peel and quarter the regular onion, then pull the quarters apart into petals and add to the pan., Stir regularly while you wash and trim the carrots and celery and slice both ½cm thick at an angle. Stir them into the pan, then strip in the thyme leaves., Cook and stir for 10 minutes, while you peel the swede and chop it into 3cm chunks, and finely chop the dried porcini. Stir both into the pan, then slice the beef 3cm thick and add that, too., After a couple of minutes, pour in the stock and Guinness. Bring up to a simmer, cover with a scrunched sheet of wet greaseproof paper, and cook in the oven for 1 hour., Remove the paper, then cook the stew for another hour, or until the meat is tender., Drain the pearl barley and re-cover with boiling water, then cook according to the packet instructions., Pick through your greens, discarding any tough stalks, and steam in a colander or sieve above the pearl barley for the last 10 minutes., Reserving a little cooking water, drain the pearl barley and return it to the pan, grate over the cheese, add the English mustard and a splash of the reserved water, and mix together., Taste the stew and season to perfection, then serve up with the mustard pearl barley and the freshly steamed greens on the side., Preheat the oven to 350°F., In a large pan, cover the pearl barley with plenty of cold water and leave to soak., Put a large casserole pan on a medium-high heat with 1 tablespoon of oil and the whole pickled onions. Peel and quarter the regular onion, then pull the quarters apart into petals and add to the pan., Stir regularly while you wash and trim the carrots and celery and slice both ¼ inch thick at an angle. Stir them into the pan, then strip in the thyme leaves., Cook and stir for 10 minutes while you peel the rutabaga and chop it into 1¼-inch chunks, and finely chop the dried porcini. Stir both into the pan, then slice the beef 1¼ inch thick and add that, too., After a couple of minutes, pour in the stock and Guinness. Bring up to a simmer, cover with a scrunched sheet of wet parchment paper, and cook in the oven for 1 hour., Remove the parchment, then cook the stew for another hour, or until the meat is tender., Drain the pearl barley and re-cover with boiling water, then cook according to the package instructions., Pick through your greens, discarding any tough stalks, and steam in a colander or sieve above the pearl barley for the last 10 minutes., Reserving a little cooking water, drain the pearl barley and return it to the pan, grate over the cheese, add the English mustard and a splash of the reserved water, and mix together., Taste the stew and season to perfection, then serve up with the mustard pearl barley and the freshly steamed greens on the side."
Balinese chicken curry | Curry recipe | Jamie Oliver recipes,"Purple kale rice, chilli & lemongrass","https://img.jamieoliver.com/jamieoliver/recipe-database/CuzhzjxYaMnAF41OyFW-6Q.jpg?tr=w-800,h-1066","['Serves', '6']",In1 hour,"“Super-nutritious and totally delicious, this colourful curry is a guaranteed winner. ”",551,13.7g,5.4g,9g,0.8g,36.6g,74.9g,3.4g,"4cm                                                                                                                                                                piece of                                                                                                                                                                ginger, 4                                                                                                                                                                cloves of                                                                                                                                                                 garlic, 1                                                                                                                                                                bunch of                                                                                                                                                                spring onions, 2                                                                                                                                                                                                                    fresh red chillies, 40g                                                                                                                                                                cashew nuts, 4                                                                                                                                                                                                                    lime leaves, 1                                                                                                                                                                teaspoon                                                                                                                                                                ground turmeric, 2                                                                                                                                                                teaspoons                                                                                                                                                                fish sauce, 300g                                                                                                                                                                oyster mushrooms, 1                                                                                                                                                                                                                    ripe mango, 3                                                                                                                                                                x 200g                                                                                                                                                                 skinless free-range chicken breasts, olive oil, 500g                                                                                                                                                                fine green beans, 2                                                                                                                                                                                                                    limes, 1                                                                                                                                                                x 400ml tin of                                                                                                                                                                light coconut milk, 450g                                                                                                                                                                basmati rice, 250g                                                                                                                                                                purple kale, 2                                                                                                                                                                sticks of                                                                                                                                                                lemongrass, 1½-inch piece of fresh gingerroot, 4 cloves of garlic, 1 bunch of scallions, 2 fresh red chiles, 1½ oz unsalted cashew nuts, 4 kaffir lime leaves, 1 teaspoon ground turmeric, 2 teaspoons fish sauce, 10 oz oyster mushrooms, 1 ripe mango, 3 x 7-oz free-range boneless, skinless chicken breasts, olive oil, 1 lb fine green beans, 2 limes, 1 x 14-oz can of light coconut milk, 2¼ cups basmati rice, 8 oz purple kale, 2 stalks of lemongrass","Peel the ginger and garlic, trim the spring onions, halve and deseed 1 chilli, then char and soften it all in a large casserole pan on a medium-high heat with the cashews until everything is just starting to catch, tossing often., Tip into a blender with the lime leaves, turmeric, fish sauce, 1 teaspoon of black pepper and a pinch of sea salt and blitz into a paste., Return the pan to a medium heat and dry char the mushrooms for 5 minutes so they get dark golden and nutty., Cut the cheeks off the mango and peel, then cut both the mango and chicken breasts into 1cm slices., Remove the mushrooms to a plate, then add 1 tablespoon of oil and the paste to the pan. Stir and fry for 1 minute to get the flavours going, then add the chicken and mango and stir-fry for 5 minutes., Halve the green beans and add to the pan, returning the mushrooms, too. Squeeze in the juice of 1 lime, pour in the coconut milk, swirl a splash of water around the empty tin and pour into the pan., Bring to the boil, then simmer for 10 minutes, or until slightly thickened, stirring occasionally. Taste and season to perfection., Meanwhile, cook the rice in a large pan of boiling salted water according to the packet instructions., Pull the kale leaves off the stalks, tear into small pieces, and chuck into the rice pan after 5 minutes to cook through and add colour., Whack the sticks of lemongrass on your work surface to crush them, then remove the tough outer layer. Halve and deseed the remaining chilli and chop super-finely with the lemongrass., Drain the rice and serve with the curry, with a sprinkle of lemongrass and chilli, to your taste, and with lime wedges on the side, for squeezing over., Peel the ginger and garlic, trim the scallions, halve and seed 1 chile, then char and soften it all in a large casserole pan on a medium-high heat with the cashews until everything is just starting to catch, tossing often., Tip into a blender with the lime leaves, turmeric, fish sauce, 1 teaspoon of black pepper, and a pinch of sea salt, and blitz into a paste., Return the pan to a medium heat and dry char the mushrooms for 5 minutes so they get dark golden and nutty., Cut the cheeks off the mango and peel, then cut both the mango and chicken breasts into ½-inch slices., Remove the mushrooms to a plate, then add 1 tablespoon of oil and the paste to the pan. Stir and fry for 1 minute to get the flavors going, then add the chicken and mango and stir-fry for 5 minutes., Halve the green beans and add to the pan, returning the mushrooms, too. Squeeze in the juice of 1 lime, pour in the coconut milk, swirl a splash of water around the empty can, and pour into the pan., Bring to a boil, then simmer for 10 minutes, or until slightly thickened, stirring occasionally. Taste and season to perfection., Meanwhile, cook the rice in a large pan of boiling salted water according to the package instructions., Pull the kale leaves off the stalks, tear into small pieces, and chuck into the rice pan after 5 minutes, to cook through and add color., Whack the stalks of lemongrass on your work surface to crush them, then remove the tough outer layer. Halve and seed the remaining chile and chop super-finely with the lemongrass., Drain the rice and serve with the curry, with a sprinkle of lemongrass and chile, to your taste, and with lime wedges on the side, for squeezing over."
Quinoa & kale muffins | Jamie Oliver,,"https://img.jamieoliver.com/jamieoliver/recipe-database/4hGp62uKaqlBM4C24cf7U_.jpg?tr=w-800,h-1066","['Makes', '8']",In40 minutes,,214,15.5g,3.5g,1.7g,0.8g,10.7g,8.5g,1.6g,"olive oil, ½                                                                                                                                                                a small                                                                                                                                                                shallot, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 50                                                                                                                                                                g                                                                                                                                                                kale, 4                                                                                                                                                                large                                                                                                                                                                free-range eggs, 200                                                                                                                                                                g                                                                                                                                                                cooked leftover quinoa, 100                                                                                                                                                                g                                                                                                                                                                ground almonds, 85                                                                                                                                                                g                                                                                                                                                                feta cheese, 1                                                                                                                                                                                                                    ripe avocado, 1                                                                                                                                                                small bunch of                                                                                                                                                                chives","Preheat the oven to 180ºC/350ºF/gas 4. Line a muffin tray with paper cases and grease them with oil., Peel and finely chop the shallot. Peel and crush the garlic, then finely chop the kale., Beat the eggs in a large bowl, then add the shallot, garlic, kale, quinoa and almonds. Crumble in the feta., Mix well, then season to taste., Spoon the mixture evenly into the cases and bake for 20 to 25 mins, or until golden brown., Halve and destone the avocado, then scoop out and mash the flesh. Season. Finely chop the chives., Serve the muffins topped with mashed avocado, chives and a pinch of black pepper."
Zesty sardine & purple kale spaghetti | Jamie Oliver,,"https://img.jamieoliver.com/jamieoliver/recipe-database/4jkDnJ7tqA4A_weBrHyahM.jpg?tr=w-800,h-1066","['Serves', '4']",In20 minutes,,580,28.1g,6.1g,2.4g,1.2g,38g,38.3g,2.3g,"200                                                                                                                                                                g                                                                                                                                                                spaghetti, ½                                                                                                                                                                tablespoon                                                                                                                                                                capers, 4                                                                                                                                                                tablespoons                                                                                                                                                                olive oil, 6                                                                                                                                                                                                                    fresh sardines                                                                                                                                                                , scaled and gutted, from sustainable sources, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                                                                    lemon, 200                                                                                                                                                                ml                                                                                                                                                                dry white wine, 1                                                                                                                                                                head of                                                                                                                                                                purple kale, 1                                                                                                                                                                pinch of                                                                                                                                                                dried chilli flakes, a few                                                                                                                                                                sprigs of                                                                                                                                                                chervil","Preheat the grill to high. Fill a large pan with water and cook the spaghetti according to the packet instructions., Meanwhile, place a large frying pan over a medium heat. Add the capers and fry for about 3 minutes, or until crisp. Remove the pan from the heat and set aside., Lightly oil and season the sardines, place on a baking tray and grill for about 2 minutes on each side, or until golden., Peel, chop and add the garlic to the frying pan with the lemon juice, white wine and capers. Cook over a high heat until the mixture is reduced by half., Remove the tough stalky bits from the kale, add the leaves to the pan and toss it all together for a few minutes., Reserve a cup of the pasta cooking water, drain the rest and add the pasta. Mix well, adding a splash of the cooking water to make it glossy, then season., Flake the sardine flesh into the pasta and serve with the chilli and chervil scattered over the dish."
"Kale, fried chorizo and crusty croutons with a poached egg | Eggs recipes | Jamie magazine",A brilliant brunch or speedy supper,"https://img.jamieoliver.com/jamieoliver/recipe-database/7MqyxYbWKpZBWNtKiBFait.jpg?tr=w-800,h-1066","['Serves', '2']",In15 minutes,,465,34.4g,5.5g,2.3g,2.00g,14.1g,26.1g,0.8g,"60                                                                                                                                                                g                                                                                                                                                                quality chorizo, olive oil, 1                                                                                                                                                                slice of                                                                                                                                                                crusty bread, 150                                                                                                                                                                g                                                                                                                                                                kale, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 2                                                                                                                                                                large                                                                                                                                                                free-range eggs, 2                                                                                                                                                                tablespoons                                                                                                                                                                sherry vinegar","Roughly chop the chorizo, then add to a medium frying pan with 2 tablespoons of oil. Cook for a few minutes until crisp., Tear the bread into small chunks, add to the pan and cook for a further minute., Chop the kale, then peel and chop the garlic. Add to the chorizo and cook for a few more minutes, or until the kale starts to wilt a little., Meanwhile, poach your eggs., Add the vinegar to the chorizo pan, season well, and leave to bubble down for a moment., Remove from the heat and serve with a poached egg on top."
