Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Giant Madras-spiced meatballs | Jamie Oliver recipes,"Lamb, lentils & mango chutney, fluffy rice, spinach & yoghurt","https://img.jamieoliver.com/jamieoliver/recipe-database/136867497.jpg?tr=w-800,h-1066","['Serves', '6']",minutes cook),,441,14.2g,5.8g,5.7g,1g,26.5g,54.4g,1.6g,"olive oil, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                lentils, 500                                                                                                                                                                g                                                                                                                                                                lean lamb mince                                                                                                                                                                , or beef mince, 4                                                                                                                                                                tablespoons                                                                                                                                                                Madras curry paste, 4                                                                                                                                                                                                                    fresh red chillies, 1                                                                                                                                                                mug of                                                                                                                                                                basmati rice (300g), 400                                                                                                                                                                g                                                                                                                                                                frozen spinach, 6                                                                                                                                                                teaspoons                                                                                                                                                                mango chutney, 4                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt",
Welsh cawl | Jamie Oliver recipes,A hearty lamb & veg soup,"https://img.jamieoliver.com/jamieoliver/recipe-database/134450939.jpg?tr=w-800,h-1066","['Serves', '8']",,"“With lamb, root veggies and leafy cabbage greens, this traditional Welsh soup is hearty and healthy. ”",269,11.4g,4.9g,11.3g,-g,18.2g,25.1g,,"1                                                                                                                                                                kg                                                                                                                                                                lamb neck fillet                                                                                                                                                                , bone in, 750                                                                                                                                                                g                                                                                                                                                                swede, 2                                                                                                                                                                                                                    carrots, 2                                                                                                                                                                                                                    potatoes, 1                                                                                                                                                                                                                    parsnip, 1                                                                                                                                                                                                                    onion, 1                                                                                                                                                                                                                    leek, 1                                                                                                                                                                bulb of                                                                                                                                                                fennel, 2                                                                                                                                                                sticks of                                                                                                                                                                celery, 200                                                                                                                                                                g                                                                                                                                                                leafy cabbage                                                                                                                                                                , such as cavolo nero, kale","Put 2.5 litres of water and a really good pinch of sea salt into your largest pan, then pop in 1kg of lamb neck fillet (bone in) and bring to a simmer over a medium heat for 45 minutes, skimming away any scum from the surface., Meanwhile, peel 750g of swede, 2 carrots, 2 potatoes, 1 parsnip and 1 onion, and trim 1 leek, 1 bulb of fennel and 2 sticks of celery (reserving any leaves), then cut it all into 1cm cubes., Add all the vegetables to the pan with the lamb, put the lid on slightly askew and cook for a further 30 minutes, until the meat and veggies are lovely and tender., Remove the lamb fillet from the pan and, once it’s cool enough to handle, strip all the meat off the bone (discard the bone). Either dice or pull apart the meat, and return it to the pan., Shred 200g of leafy cabbage and add it to the broth for the final 5 minutes of cooking time, then season to taste. You can serve the cawl immediately, sprinkled with any reserved celery leaves. Alternatively, keep it until the next day, when the flavours will have developed even further."
Lamb balti | Jamie Oliver recipes,"Roasted butternut squash, yoghurt-marinated lamb","https://img.jamieoliver.com/jamieoliver/recipe-database/134449898.jpg?tr=w-800,h-1066","['to', '6']",30 minutes,,235,15.5g,6g,6.7g,0.7g,12.6g,10.3g,-g,"1                                                                                                                                                                medium                                                                                                                                                                butternut squash, ½                                                                                                                                                                a jar of                                                                                                                                                                 balti curry paste, 500                                                                                                                                                                g                                                                                                                                                                lamb neck fillet, 1                                                                                                                                                                                                                    lime, 1 x 500                                                                                                                                                                g                                                                                                                                                                tub of Greek yoghurt, groundnut oil, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 4cm                                                                                                                                                                                                                     piece of ginger, 1                                                                                                                                                                                                                    fresh red chilli, 1                                                                                                                                                                                                                    onion, 2 x 400                                                                                                                                                                g                                                                                                                                                                tins of quality plum tomatoes, a few                                                                                                                                                                                                                    sprigs of fresh coriander","Preheat the oven to 200ºC/400ºF/gas 6., Scrub 1 medium butternut squash, cut into 4cm chunks, then toss with ½ a jar of balti curry paste and roast in the oven for 30 minutes, or until tender., Dice 500g of lamb neck fillet into 2cm pieces, then tip into a bowl. Finely grate over the zest of 1 lime and squeeze over the juice, then stir through most of a 500g tub of Greek yoghurt, keeping some back to serve. Leave to marinate for around 30 minutes., After the squash has had 15 minutes in the oven, add a good lug of groundnut oil to a large pan on a medium heat., Peel and slice 2 cloves of garlic and a 5cm piece of ginger, then finely slice 1 fresh red chilli (deseed if you like). Tip into the pan and fry for a few minutes., Reduce the heat to low, then peel and finely slice 1 onion and add to the pan. Cook for 10 minutes, or until softened but not coloured., Tip in the roasted butternut squash and 2 x 400g of tins of plum tomatoes. Fill one of the tins with water and add that, too., Add the lamb along with a good pinch of sea salt and black pepper, then bring to the boil. Cover then simmer over a low heat for 1 hour, or until the lamb is tender, stirring occasionally., Pick and finely chop the leaves from a few sprigs of fresh coriander, to garnish. Delicious served with fluffy rice or naan bread, and the remaining yoghurt on the side."
Lamb & chunky veg steamed pudding | Jamie Oliver recipes,Spiked with English mustard & red wine,"https://img.jamieoliver.com/jamieoliver/recipe-database/134579313.jpg?tr=w-800,h-1066","['Serves', '6']",20 minutes,"“Packed full of flavour, this steamed pudding makes the perfect sharing dish and a seriously tasty centrepiece — rich, slow-cooked lamb filling, wrapped in beautiful pastry, with a jug of red wine gravy. Yes, please! ”",625,33.3g,17.2g,6.5g,0.8g,24.9g,52.4g,4.4g,"400                                                                                                                                                                g                                                                                                                                                                lamb neck fillet                                                                                                                                                                , cut into 5cm dice, olive oil, 2                                                                                                                                                                                                                    leeks, 2                                                                                                                                                                                                                    carrots, 200                                                                                                                                                                g                                                                                                                                                                swede, 1                                                                                                                                                                teaspoon                                                                                                                                                                English mustard, 1                                                                                                                                                                teaspoon                                                                                                                                                                mint sauce, 1                                                                                                                                                                heaped tablespoon                                                                                                                                                                plain flour, 250                                                                                                                                                                ml                                                                                                                                                                red wine, 1                                                                                                                                                                litre                                                                                                                                                                organic beef stock, 350                                                                                                                                                                g                                                                                                                                                                self-raising flour, 175                                                                                                                                                                g                                                                                                                                                                unsalted butter (cold)                                                                                                                                                                , plus extra for greasing","Place 400g of diced lamb neck into a large casserole pan on a medium-high heat with 1 tablespoon of olive oil and cook for 5 minutes, stirring regularly., Meanwhile, trim and wash 2 leeks and 2 carrots, and peel 200g of swede, then chop into 3cm chunks and add to the pan. Cook for a further 10 minutes, or until starting to soften., Add 1 teaspoon of English mustard, 1 teaspoon of mint sauce and 1 heaped tablespoon of plain flour, stir over the heat for 2 minutes, then pour in 250ml of red wine and let it bubble and cook away., Pour in 1 litre of beef stock, then turn the heat down to low and simmer for 1 hour, or until the lamb is beautifully tender and the sauce is thick and glossy. Leave to cool completely., To make the pastry, sieve 350g of self-raising flour into a large bowl from a height. Chop 175g of cold butter into cubes, then, using your fingertips, gently work the butter into the flour until the mixture resembles breadcrumbs. Mix in 150ml of cold water and bring everything together into a dough. Leave to rest in the fridge for at least 10 minutes., Heavily grease a 1.5 litre pudding bowl with butter., Reserving a quarter for the top, roll the pastry out to 1cm-thick and cut out a circle large enough to line the entire pudding bowl, with a 2cm overhang., Strain the lamb stew through a sieve over a clean pan to catch the liquid, gently pressing to help it along, and reserve for your gravy. Tip the pie filling into the pastry-lined bowl., Roll out the remaining pastry and use it to top the pie, then use water and your fingertips to pinch and seal the edges together well., Cover in a large piece of buttered greaseproof and a double layer of tin foil. Tie a double layer of string just beneath the lip of the bowl to make it watertight, then tie another piece across the top to make a handle., Sit the pudding in a large deep pan and pour in enough water to come halfway up the sides. Bring the water to the boil, cover the pan with a tight-fitting lid and reduce to a simmer for 3 hours. Check the water regularly, and keep topping it up with boiling water, if needed., When the time’s up, lift out the pudding, remove the foil and paper, then carefully turn out onto a plate. Warm through the reserved gravy, then serve with some simple steamed greens."
Tahini BBQ lamb chops | Jamie Oliver recipes,With fresh plums and spiced plum sauce,"https://img.jamieoliver.com/jamieoliver/recipe-database/126135135.jpg?tr=w-800,h-1066","['a', 'feast']",,"“If you can, buy nicely trimmed lamb racks without too much of a fat cap, so that you don’t need to worry about rendering fat off them before dividing into individual chops. Be forewarned, though: there will be a fair amount of smoke while cooking these, so they are best grilled outside. We use tahini in a few different versions of BBQ sauce, as the sesame paste lends itself so well to roasted meats, adding a rich nutty note. Here we include anchovies for a savoury touch and pomegranate molasses for sweetness. 

The accompanying plum sauce is like a chutney or Chinese plum sauce, with its sweet, sour and spicy flavours. It partners perfectly with these rich BBQ chops, and also works amazingly with a simple roast chicken or duck. The BBQ and plum sauces can either be made shortly before grilling the chops, or up to a couple of days in advance.  ”",,,,,,,,,"2                                                                                                                                                                racks of                                                                                                                                                                lamb                                                                                                                                                                , divided into 12–14 single chops, 100                                                                                                                                                                g                                                                                                                                                                baby red chard                                                                                                                                                                , (3½ oz), or lamb’s lettuce, 4                                                                                                                                                                                                                    plums                                                                                                                                                                , halved and stones removed, FOR THE TAHINI BBQ SAUCE, 150                                                                                                                                                                g                                                                                                                                                                tahini paste                                                                                                                                                                 , (5¼ oz), 1                                                                                                                                                                clove of                                                                                                                                                                garlic                                                                                                                                                                , peeled and minced, 2                                                                                                                                                                                                                    salted anchovies                                                                                                                                                                , chopped, 1                                                                                                                                                                teaspoon                                                                                                                                                                pul biber chilli flakes                                                                                                                                                                 , (or Allepo), 2                                                                                                                                                                tablespoons                                                                                                                                                                pomegranate molasses, 100                                                                                                                                                                ml                                                                                                                                                                water                                                                                                                                                                , (3½ fl oz), plus more if needed, 1                                                                                                                                                                teaspoon                                                                                                                                                                flaky sea salt, FOR THE SPICED PLUM SAUCE, 6                                                                                                                                                                                                                    plums                                                                                                                                                                , cut into eighths and stones removed, 50                                                                                                                                                                g                                                                                                                                                                sugar                                                                                                                                                                 , (1¾ oz), 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 1                                                                                                                                                                                                                    whole dried chilli                                                                                                                                                                , cracked in half and seeds shaken out, 1                                                                                                                                                                teaspoon                                                                                                                                                                 Szechuan pepper, 1                                                                                                                                                                                                                    bay leaf, 3                                                                                                                                                                tablespoons                                                                                                                                                                pomegranate molasses, ½                                                                                                                                                                teaspoon                                                                                                                                                                flaky sea salt, 1                                                                                                                                                                tablespoon                                                                                                                                                                red wine vinegar","Use a stick blender or a small food processor to blitz the BBQ sauce ingredients to a smooth, thick paste. You may need to add a little more water to reach the desired custard- like consistency, depending on the variety of tahini. You can use the BBQ sauce straight away or keep it in the fridge for a day or two until needed., Put the plum wedges, sugar, garlic, spices, bay leaf and pomegranate molasses in a small frying pan, place over a high heat and bring to the boil. Cook for 5 minutes until the plums soften and start falling apart, then remove from the heat and stir in the salt and vinegar. You can use this straight away, or cool and store in the fridge for a few days., When you are ready to cook, brush half of the BBQ sauce over the chops, coating both sides. You will need the rest of the BBQ sauce to brush on the chops as they grill. Place the chops one by one on the rack above a hot BBQ. Grill for 2 minutes, then turn them over and brush with some more sauce. Grill for another 2 minutes before turning them back over and basting again. Repeat the grill-turn-baste process until the chops have cooked for a total of 6 minutes on each side. Remove to a serving platter with the baby chard spread over it., Pop the plum halves on the BBQ, cut-side down. Grill for a minute or so just to warm a little, then add to the platter with the chops. Serve with the plum sauce on the side."
Ali's rack of lamb | Jamie Oliver recipes,With smoky collard greens,"https://img.jamieoliver.com/jamieoliver/recipe-database/117867054.jpg?tr=w-800,h-1066","['Serves', '4']",& resting,"“Muhammad Ali’s favourite meal from his personal chef of six years – this recipe is a proper piece of history. Juicy, blushing lamb pairs beautifully with the smokiness of this classic side dish. Utterly delicious.  ”",546,44.7g,18g,4.1g,1.1g,28.2g,8.7g,1.1g,"1 x 8                                                                                                                                                                                                                    -bone higher-welfare rack of lamb                                                                                                                                                                , French trimmed, 2                                                                                                                                                                sprigs of                                                                                                                                                                 fresh rosemary, 4                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                teaspoon                                                                                                                                                                 Worcestershire sauce, 1                                                                                                                                                                tablespoon                                                                                                                                                                Dijon mustard, olive oil, COLLARD GREENS, 1                                                                                                                                                                                                                    oak-smoked free-range chicken leg                                                                                                                                                                , optional, 500                                                                                                                                                                g                                                                                                                                                                mixed greens                                                                                                                                                                , such as cavolo nero, chard, spinach, 1                                                                                                                                                                                                                    onion, 3                                                                                                                                                                cloves of                                                                                                                                                                garlic, 500                                                                                                                                                                ml                                                                                                                                                                 free-range chicken stock                                                                                                                                                                , (or 250ml if made without the chicken leg)","Remove all the fat from the lamb – you can do this by hand: simply tear off the sinew and trim with a sharp knife, or ask your butcher to do it for you., Pick and finely chop the rosemary, then peel and chop the garlic as finely as you can. Add a pinch of sea salt and mince it all with the back of your knife. Scrape into a bowl, then muddle in the Worcestershire sauce, mustard, 3 tablespoons of oil and a pinch of black pepper., Rub the marinade all over the lamb (avoiding the bones), then leave to marinate for at least 2 hours., To make the collard greens, put the chicken leg (if using) into a large pan with 1 litre of boiling water and simmer gently for 1 hour 30 minutes, or until the meat is falling off the bone. Reserving the broth, remove the chicken leg, leave to cool slightly, then shred the meat, discarding any bones or wobbly bits., Wash the greens, then shred into rough 2cm pieces, discarding any stalks., Peel and roughly chop the onion, and peel and finely slice the garlic, then place in a large pan with 2 tablespoons of oil and the shredded meat (if using). Cook for 6 minutes, or until softened, stirring regularly., Add the greens and cook for a further 6 minutes, or until just wilted – you may need to work in batches. Pour over the stock (or use the equivalent volume of reserved broth), cover and simmer for a final 6 minutes, then season to perfection., Preheat the oven to 200°C/400°F/gas 6. Place a large ovenproof frying pan over a high heat, then sear the lamb for 2 minutes, or until golden all over, turning regularly. Transfer to the oven and cook for 15 minutes, or until blushing pink on the inside and gnarly on the outside., Rest the lamb for 5 minutes, then slice into chops and plate up with the collard greens. Delicious served with scalloped potatoes."
Roast leg of lamb with pancetta | Jamie Oliver lamb recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/89156534.jpg?tr=w-800,h-1066","['Serves', '8']",plus resting,"“A leg of lamb (about 2kg) is always a real treat for about 8 people, and I like to try different ways of enhancing its wonderful flavour.

On the whole, lamb is good nearly all year round, and although early spring lamb is lovely and tender, in my opinion it’s at its best around May, when the meat of the spring lamb has had time to develop flavour, character, texture and basically tastes like lamb should.

A leg of lamb should be soft to the touch and leave a slight indent when pressed. The skin should be dry, but not cracking or flaking. Ask your butcher to remove the bottom socket joint to make cooking and carving easier. ”",250,17.6g,6.2g,0.1g,1.0g,22.4g,0.5g,0.2g,"1                                                                                                                                                                                                                    leg of lamb                                                                                                                                                                , (about 2kg), 1                                                                                                                                                                handful of                                                                                                                                                                fresh sage, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 1                                                                                                                                                                handful of                                                                                                                                                                 fresh rosemary, 1                                                                                                                                                                                                                    lemon, olive oil, 85                                                                                                                                                                g                                                                                                                                                                higher-welfare smoked pancetta","Preheat the oven to 220ºC/425ºF/gas 7., With a knife, follow the lamb bone down about 10–12cm (you are just making a ‘tunnel’ where you are cutting the meat away from the bone). Do this from the top end and the bottom end. Pierce the skin at an angle with a sharp pointed knife 6 or 8 times at random around the leg, then open up the incisions by poking your fingers down them to make a bit of space., Pick the sage leaves and peel and chop the garlic. Pick and roughly chop the rosemary leaves., Using a pestle and mortar, smash up half the sage with the garlic and 1 teaspoon of sea salt. When it’s pulped, squeeze in the lemon juice, add 2 tablespoons of oil, the other half of the sage and the rosemary., Stuff the herb mixture into all the incisions and gaps you have made with the knife., Slice the pancetta, then stuff deep into the gaps along the bone and the incisions. This gives a lovely fragrant flavour to the meat., Put a little oil in a hot roasting tray (preferably a nice thick one), add the lamb, and roast, turning every 30 minutes until cooked., COOKING TIMES
Pink – 10 minutes for every 450g plus 20 minutes
Medium – 13 minutes for every 450g plus 20 minutes
Well-done – 20 minutes for every 450g plus 20 minutes
Always rest the meat for at least 10 minutes before carving."
Gunpowder lamb,"Pineapple salsa, coconut rice & mint dressing","https://img.jamieoliver.com/jamieoliver/recipe-database/83619421.jpg?tr=w-800,h-1066","['Serves', '8']",plus marinating,"“The small investment in time you make to blend the perfect combo for the gunpowder spice paste is the key to success here. That contrast you get between the outer, dark, gnarly, spicy crust and the blushing, sweet, juicy meat inside is just incredible. Served alongside a feast of rice and outrageous pineapple salsa, it’s a double YUM! ”",929,59g,10.8g,7.8g,2.7g,33.7g,75.9g,1.9g,"1 x 2                                                                                                                                                                kg                                                                                                                                                                butterflied leg of lamb                                                                                                                                                                , or hogget, bone out (ask your butcher to do this), olive oil, 1-2                                                                                                                                                                                                                    fresh mixed-colour chillies, GUNPOWDER SPICE PASTE (PODI), 2                                                                                                                                                                                                                    dried red chillies, 2                                                                                                                                                                teaspoons                                                                                                                                                                ground turmeric, 2                                                                                                                                                                teaspoons                                                                                                                                                                fenugreek seeds, 2                                                                                                                                                                teaspoons                                                                                                                                                                coriander seeds, 2                                                                                                                                                                teaspoons                                                                                                                                                                cayenne pepper, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2                                                                                                                                                                tablespoons                                                                                                                                                                red wine vinegar, 1                                                                                                                                                                tablespoons                                                                                                                                                                vegetable oil, MINT DRESSING, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (30g), 1                                                                                                                                                                                                                    lime, 150                                                                                                                                                                g                                                                                                                                                                natural yoghurt, PINEAPPLE SALSA, 1                                                                                                                                                                small                                                                                                                                                                ripe pineapple, 1                                                                                                                                                                                                                    red onion, 1                                                                                                                                                                                                                    lime, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (30g), extra virgin olive oil, COCONUT RICE, 3                                                                                                                                                                teaspoons                                                                                                                                                                mustard seeds, 2                                                                                                                                                                mugs of                                                                                                                                                                basmati rice                                                                                                                                                                , (600g), 2                                                                                                                                                                                                                    fresh mixed-colour chillies, 3                                                                                                                                                                tablespoons                                                                                                                                                                creamed coconut","Start by making the gunpowder spice paste – blitz the dried chillies, spices and a good pinch of sea salt and black pepper in a spice grinder or blender until you have a powder. Peel and add the garlic, pour in the vinegar and vegetable oil, then blitz to a paste., Trim the excess fat from the lamb, then lightly slash the flesh all over with a sharp knife. Rub the spice paste all over, really getting into all the nooks and crannies, then marinate in the fridge for at least 2 hours, preferably overnight., When you’re ready to cook, preheat the oven to 200ºC/400ºF/gas 6 and a griddle pan to high (or you can use the barbecue for added smokiness)., Sear the lamb for 20 minutes on the griddle, turning regularly to build up a gnarly crust, then place in a roasting tray. Drizzle with olive oil and pop into the oven for a further 20 minutes – these timings are for blushing pink, but feel free to adjust to your liking. Remove to a board to rest., Meanwhile, make the accompaniments. For the dressing, pick most of the mint leaves into a pestle and mortar, add a pinch of salt and bash to a paste. Muddle in the lime juice and yoghurt, then season to taste with black pepper., For the salsa, peel the pineapple and onion, then cut into wedges (removing the pineapple core). Blacken in a dry frying pan on a high heat, remove to a board, chop into rough 2cm chunks and scrape into a bowl., Squeeze over the lime juice, then finely chop and add the coriander stalks (reserving the leaves). Drizzle over 2 tablespoons of extra virgin olive oil, and season to perfection., For the coconut rice, place a 24cm non-stick frying pan on a medium-high heat with 1 tablespoon of olive oil and the mustard seeds. Pour in 2 mugs of rice and 3 mugs of boiling water and season with a pinch of salt. Halve the chillies lengthways and add to the pan with the creamed coconut., Bring to the boil, give it a stir, then cover and cook for 10 minutes on a low heat, followed by 5 minutes on a high heat – you’re aiming for a crispy bottom. Once cooked, carefully turn out, just like a sandcastle., Finely slice the remaining chilli(es), then scatter over the lamb with the reserved coriander and mint leaves. Take everything to the table, slice up the lamb and let everyone get stuck in. Delicious served with a seasonal salad."
