Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Giant stuffed squash | Jamie Oliver Christmas recipes,With cheesy leeks,"https://img.jamieoliver.com/jamieoliver/recipe-database/154595917.jpg?tr=w-800,h-1066","['Serves', '10']",In2 hours,"“My vegetarian centrepiece is so good, it will rival the turkey on your Christmas table. A gorgeous edible bowl of cheesy leeks with a super-simple shortcut to a delicious cheese sauce, all topped with a beautiful walnut crumb. ”",369,15.8g,6g,16.4g,1.1g,13.4g,45.8g,6.2g,"1                                                                                                                                                                                                                    French or porcelain princess pumpkin (26-28cm in diameter)                                                                                                                                                                , or 3 butternut squash, olive oil, 1                                                                                                                                                                whole                                                                                                                                                                nutmeg                                                                                                                                                                , for grating, 1                                                                                                                                                                kg                                                                                                                                                                leeks, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 10                                                                                                                                                                g                                                                                                                                                                unsalted butter, ½                                                                                                                                                                a bunch of                                                                                                                                                                thyme                                                                                                                                                                , (15g), 2                                                                                                                                                                                                                    bay leaves, 1                                                                                                                                                                heaped tablespoon                                                                                                                                                                plain flour, 375                                                                                                                                                                ml                                                                                                                                                                milk, 200                                                                                                                                                                g mix of                                                                                                                                                                melty cheeses                                                                                                                                                                , such as Gruyère, Red Leicester, Cheddar, 200                                                                                                                                                                g                                                                                                                                                                stale bread, 50                                                                                                                                                                g                                                                                                                                                                walnuts, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh sage                                                                                                                                                                , to garnish","Preheat the oven to 180°C/350°F/gas 4. Carefully cut the top off the squash and remove all the pulp and seeds. Place in a large roasting tray, cut side up, drizzle with 2 tablespoons of olive oil, add a few gratings of nutmeg and season with sea salt and black pepper. Rub all over the flesh, cover with foil and roast for 1½ hours or until tender (if you’re using butternut squash, scoop out some of the flesh to make a gully for the sauce all along the length of the squash)., Meanwhile, cut the leeks in half lengthwise and slice. Peel and finely slice the garlic. Place a large pan over a medium heat, melt the butter, and then add the garlic. Once foaming, then strip in most of the thyme leaves and add the bay leaves. Before the garlic takes on any colour, add the green part of the leeks, some salt and pepper, and cook for 10 minutes, stirring occasionally. Then add the white part of the leeks and cook, until starting to soften. Cover, cook for 30 minutes, stirring every now and then. The environment of heat and steam will make them soft, tender and gorgeous., Check the seasoning, then turn it into a super-charged white sauce. Stir in the flour. Add about 375ml of milk and stir until it thickens, then simmer and blip away, until thick and gorgeous., Remove from the heat, grate in the cheeses, then stir until melting and gorgeous. Carefully pour into the squash., Tear the bread into a food processor, blitz into breadcrumbs and tip into a bowl. Blitz the walnuts and then tip into the crumbs and scatter over the sauce., Bake for 20 minutes, or until golden, blipping and delicious., When there’s 5 minutes to go, pick the sage leaves into a small frying pan on a medium-high heat with ½ a tablespoon of oil and fry until crisp., Pick the remaining thyme leaves over the baked squash and decorate with the crispy sage, just before serving. Take it to the table with a big spoon, for everyone to dig in."
Veggie pasta bake | Jamie Oliver recipes,With sweet leeks & garlicky crumb topping,"https://img.jamieoliver.com/jamieoliver/recipe-database/152866409.jpg?tr=w-800,h-1066","['Serves', '8']",In1 hour,"“When it comes to family favourites, it’s pretty hard to beat a good pasta bake. Especially when it has a deliciously crunchy garlic-breadcrumb topping! This is my brilliant veggie principle recipe – with leeks, spinach and tomato, offering you two of your 5-a-day – that you can flex to suit the ingredients you have in.  ”",529,14.8g,4.6g,13.1g,1.4g,22.9g,98.8g,3.1g,"½                                                                                                                                                                x 170g                                                                                                                                                                loaf of garlic bread, olive oil, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2                                                                                                                                                                                                                    leeks, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh basil                                                                                                                                                                , (30g), 2                                                                                                                                                                teaspoons                                                                                                                                                                dried oregano, 3                                                                                                                                                                x 400g tins of                                                                                                                                                                plum tomatoes, 500                                                                                                                                                                g                                                                                                                                                                dried pasta                                                                                                                                                                , such as orecchiette, conchiglie or gemelli, 50                                                                                                                                                                g                                                                                                                                                                Parmesan cheese                                                                                                                                                                , plus extra to serve, 8                                                                                                                                                                cubes of                                                                                                                                                                frozen spinach","Tear the garlic bread into a blender and blitz into fine crumbs, then mix in a little olive oil and set aside., Preheat the oven to 180°C/350°F/gas 4. Peel and finely slice the garlic and trim, wash and finely slice the white part of the leeks (save the green tops for tasty cooking another day – they work great in soups or stocks)., Drizzle 2 tablespoons of oil into a large shallow casserole pan over a medium heat and add the garlic. Finely slice the basil stalks, then add them to the pan, along with the dried oregano and gently fry for a couple of minutes., Add the chopped leeks to the pan, season with a pinch of sea salt and black pepper and cook gently for 10 minutes, until softened, stirring regularly and adjusting the heat to low if they start to colour., Tip in the tomatoes, breaking them up with the back of your spoon, then half-fill each tin with water, swirl around and pour into the pan. Bring to the boil, then reduce to low and leave to tick away for 15 to 20 minutes., Meanwhile, cook the pasta in a large pan of boiling salted water for 8 minutes, then drain, reserving a mugful of starchy cooking water., Tip the sauce into a blender with most of the basil leaves (reserving a few to serve) and whiz until smooth (you may need to work in batches), then season to perfection. Return the sauce to the casserole pan, stir through the cooked pasta, loosening with the reserved cooking water if needs be., Finely grate over the cheese, then nestle the frozen spinach into the pasta. Sprinkle over the garlic breadcrumbs and bake for 20 minutes, until the crumbs are golden, the pasta is tender and the sauce is blipping., When it’s cooked, let it sit for a couple of minutes, then sprinkle over the reserved basil leaves, and finish with a final grating of Parmesan. Delicious served with a crisp green salad."
Simple steamed fish | Jamie Oliver recipes,"Sweet peppers & leeks, herby orange dressing","https://img.jamieoliver.com/jamieoliver/recipe-database/153403833.jpg?tr=w-800,h-1066","['Serves', '4']",In32 minutes,"“Inspired by flavours that will transport you to the Greek coast, this delicate dish simply celebrates white fish fillets. Easy to halve if you’re serving two, you’ll be glad to have this one up your sleeve. ”",276,14.5g,2.1g,7g,1.3g,29.1g,7.6g,2.6g,"4 x 150g white fish fillets, skin off, pin-boned, from sustainable sources, 3 mixed-colour peppers, 1 large leek, ½ a bunch of oregano (10g), 1 large juicy orange",
Sea & mountain skewers | Jamie Oliver recipes,"Prawns, ham & mushrooms, burnt leeks & creamy beans","https://img.jamieoliver.com/jamieoliver/recipe-database/152011887.jpg?tr=w-800,h-1066","['Serves', '2']",In45 minutes,"“Right the way across the Mediterranean, foods from the sea and mountains collide in truly beautiful ways. And, even more fascinatingly, the friendship between prawns and mushrooms here is divine. ”",589,31.4g,5.5g,5.3g,1.2g,36.6g,40.1g,13.3g,"2                                                                                                                                                                medium                                                                                                                                                                leeks, 8                                                                                                                                                                large                                                                                                                                                                raw shell-on king prawns                                                                                                                                                                , from sustainable sources, 160                                                                                                                                                                g                                                                                                                                                                mixed mushrooms, 40                                                                                                                                                                g                                                                                                                                                                higher-welfare Pata Negra or quality Spanish ham, 1                                                                                                                                                                x 700g                                                                                                                                                                jar of white beans",
Super leek & potato soup recipe | Jamie Oliver,"Herb, Parmesan & almond toasts","https://img.jamieoliver.com/jamieoliver/recipe-database/134575795.jpg?tr=w-800,h-1066","['Serves', '4']",In40 minutes,"“I’ve taken family favourite leek and potato soup to the next level here by adding lots of lovely leafy kale, which – along with leeks – gives us vitamin B6, helping us stay awake and alert. ”",374,16.6g,3.5g,5.3g,0.7g,18.4g,37.3g,6.6g,"400                                                                                                                                                                g                                                                                                                                                                leeks, olive oil, 400                                                                                                                                                                g                                                                                                                                                                potatoes, 1.5                                                                                                                                                                litres                                                                                                                                                                organic veg                                                                                                                                                                 , or chicken stock, 320                                                                                                                                                                g                                                                                                                                                                kale, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (15g), ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh flat-leaf parsley                                                                                                                                                                , (15g), 40                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, 25                                                                                                                                                                g                                                                                                                                                                whole almonds, 1                                                                                                                                                                tablespoon                                                                                                                                                                white wine vinegar, extra virgin olive oil, 4                                                                                                                                                                small slices of                                                                                                                                                                wholemeal bread                                                                                                                                                                 , (35g each)","Trim and wash 400g of leeks, then slice and place in a large casserole pan on a medium heat with 1 tablespoon of olive oil., Sweat for 10 minutes, stirring regularly, while you wash and finely slice 400g of potatoes (leaving the skin on for extra nutritional benefit), then stir into the pan., Pour in 1.5 litres of vegetable or chicken stock and boil hard for 15 minutes. Pick through 320g of kale, discarding any tough stalks, and add to the pan for the last 5 minutes, pushing it down and covering with a lid., Meanwhile, pick the leaves from ½ a bunch of fresh mint, then finely chop on a large board with the top leafy half of ½ a bunch of fresh flat-leaf parsley. Finely grate over 40g of Parmesan, add 25g of whole almonds, 1 tablespoon each of white wine vinegar and extra virgin olive oil, then finely chop and mix together. Toast 4 slices of wholemeal bread, then divide up the herby mixture on top., In batches, carefully pour the contents of the pan into a blender. Put the lid on securely, cover with a tea towel and, holding it in place, blitz until super- smooth., Taste the soup and season to perfection. Divide between your bowls, and serve with those lovely loaded toasts on the side."
Lamb & chunky veg steamed pudding | Jamie Oliver recipes,Spiked with English mustard & red wine,"https://img.jamieoliver.com/jamieoliver/recipe-database/134579313.jpg?tr=w-800,h-1066","['Serves', '6']",20 minutes,"“Packed full of flavour, this steamed pudding makes the perfect sharing dish and a seriously tasty centrepiece — rich, slow-cooked lamb filling, wrapped in beautiful pastry, with a jug of red wine gravy. Yes, please! ”",625,33.3g,17.2g,6.5g,0.8g,24.9g,52.4g,4.4g,"400                                                                                                                                                                g                                                                                                                                                                lamb neck fillet                                                                                                                                                                , cut into 5cm dice, olive oil, 2                                                                                                                                                                                                                    leeks, 2                                                                                                                                                                                                                    carrots, 200                                                                                                                                                                g                                                                                                                                                                swede, 1                                                                                                                                                                teaspoon                                                                                                                                                                English mustard, 1                                                                                                                                                                teaspoon                                                                                                                                                                mint sauce, 1                                                                                                                                                                heaped tablespoon                                                                                                                                                                plain flour, 250                                                                                                                                                                ml                                                                                                                                                                red wine, 1                                                                                                                                                                litre                                                                                                                                                                organic beef stock, 350                                                                                                                                                                g                                                                                                                                                                self-raising flour, 175                                                                                                                                                                g                                                                                                                                                                unsalted butter (cold)                                                                                                                                                                , plus extra for greasing","Place 400g of diced lamb neck into a large casserole pan on a medium-high heat with 1 tablespoon of olive oil and cook for 5 minutes, stirring regularly., Meanwhile, trim and wash 2 leeks and 2 carrots, and peel 200g of swede, then chop into 3cm chunks and add to the pan. Cook for a further 10 minutes, or until starting to soften., Add 1 teaspoon of English mustard, 1 teaspoon of mint sauce and 1 heaped tablespoon of plain flour, stir over the heat for 2 minutes, then pour in 250ml of red wine and let it bubble and cook away., Pour in 1 litre of beef stock, then turn the heat down to low and simmer for 1 hour, or until the lamb is beautifully tender and the sauce is thick and glossy. Leave to cool completely., To make the pastry, sieve 350g of self-raising flour into a large bowl from a height. Chop 175g of cold butter into cubes, then, using your fingertips, gently work the butter into the flour until the mixture resembles breadcrumbs. Mix in 150ml of cold water and bring everything together into a dough. Leave to rest in the fridge for at least 10 minutes., Heavily grease a 1.5 litre pudding bowl with butter., Reserving a quarter for the top, roll the pastry out to 1cm-thick and cut out a circle large enough to line the entire pudding bowl, with a 2cm overhang., Strain the lamb stew through a sieve over a clean pan to catch the liquid, gently pressing to help it along, and reserve for your gravy. Tip the pie filling into the pastry-lined bowl., Roll out the remaining pastry and use it to top the pie, then use water and your fingertips to pinch and seal the edges together well., Cover in a large piece of buttered greaseproof and a double layer of tin foil. Tie a double layer of string just beneath the lip of the bowl to make it watertight, then tie another piece across the top to make a handle., Sit the pudding in a large deep pan and pour in enough water to come halfway up the sides. Bring the water to the boil, cover the pan with a tight-fitting lid and reduce to a simmer for 3 hours. Check the water regularly, and keep topping it up with boiling water, if needed., When the time’s up, lift out the pudding, remove the foil and paper, then carefully turn out onto a plate. Warm through the reserved gravy, then serve with some simple steamed greens."
One-pan veggie lasagne | Jamie Oliver recipes,"Sweet leek, asparagus, peas & broad beans","https://img.jamieoliver.com/jamieoliver/recipe-database/134657931.jpg?tr=w-800,h-1066","['Serves', '6']",In45 minutes,"“Twisted, rustic layers of beautiful lasagne and delicate veg that can be cooked, baked and served in just one pan. Enjoy! ”",516,26.7g,12g,11.6g,1.3g,28.9g,42.1g,7.4g,"1                                                                                                                                                                                                                    leek, 50                                                                                                                                                                g                                                                                                                                                                unsalted butter, olive oil, 500                                                                                                                                                                g                                                                                                                                                                asparagus, 50                                                                                                                                                                g                                                                                                                                                                plain flour, 2                                                                                                                                                                teaspoons                                                                                                                                                                English mustard, 800                                                                                                                                                                ml                                                                                                                                                                semi-skimmed milk, 300                                                                                                                                                                g                                                                                                                                                                fresh or frozen peas, 300                                                                                                                                                                g                                                                                                                                                                fresh or frozen broad beans, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (15g), 80                                                                                                                                                                g                                                                                                                                                                Parmesan cheese                                                                                                                                                                , plus extra to serve, 80                                                                                                                                                                g                                                                                                                                                                mature Cheddar cheese, 250                                                                                                                                                                g                                                                                                                                                                fresh lasagne sheets, 50                                                                                                                                                                g                                                                                                                                                                blanched almonds, 1                                                                                                                                                                                                                    lemon                                                                                                                                                                , optional, green pesto                                                                                                                                                                , optional","Preheat the oven to 200ºC/400ºF/gas 6., Wash, trim and slice 1 leek (see tip) and place in a large shallow ovenproof pan on a medium-low heat with 50g of unsalted butter and a splash of olive oil., Line up 500g of asparagus, trim off the woody ends, then finely slice and add the stems to the pan, reserving the tips for later., Season with sea salt and black pepper, then fry on a medium-low heat for 10 minutes, or until sweet, soft and delicious, stirring regularly and adding a splash of water, if needed., Stir in 50g of plain flour, followed by 2 teaspoons of English mustard, and slowly stir in 800ml of semi-skimmed milk to give you a loose white sauce, then leave to blip away for a few minutes., Stir in 300g each of peas and broad beans and leave to warm through while you rip off, roughly chop and stir in the leaves from ½ a bunch of fresh mint (15g)., Smash up the veg for 1 minute with a potato masher, then grate in 70g each of Parmesan and Cheddar and add the asparagus tips., Tear in the pasta sheets, mix up really well to coat and separate, then pull some of the sheets to the top to create a top layer – use the back of a spoon to create some dips and wells., Roughly bash the almonds so you have a mixture of fine and chunky bits, then sprinkle on top and grate over the remaining 10g each of Parmesan and Cheddar cheese. Finish with a drizzle of olive oil and a few scrapings of lemon zest (if using)., Bake for 20 to 25 minutes, or until golden and bubbling. Serve topped with a little dollop of pesto (if using), a crunchy green salad and an extra grating of Parmesan, if you like."
Buddy’s smoky beans | Jamie Oliver recipes,Perfect on a baked potato,"https://img.jamieoliver.com/jamieoliver/recipe-database/125001758.jpg?tr=w-800,h-1066","['Serves', '6']",30 minutes,"“Beans are healthy and nutritious: they’re a source of fibre, protein and other important vitamins and minerals, and they count as one of your 5-a-day! ”",182,3.8g,0.6g,9.2g,0.2g,8.6g,26.4g,8.4g,"2                                                                                                                                                                                                                    medium leeks, 2                                                                                                                                                                sticks of                                                                                                                                                                celery, 2                                                                                                                                                                                                                    red peppers, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, olive oil, 2                                                                                                                                                                teaspoons                                                                                                                                                                sweet smoked paprika, 1                                                                                                                                                                teaspoon                                                                                                                                                                ground cumin, handful of                                                                                                                                                                ripe cherry tomatoes, 1                                                                                                                                                                tablespoon                                                                                                                                                                brown sauce, 500                                                                                                                                                                ml                                                                                                                                                                passata, 2 x 400                                                                                                                                                                g tins of                                                                                                                                                                mixed beans, a few sprigs of                                                                                                                                                                fresh flat-leaf parsley                                                                                                                                                                , optional","Trim and wash the leeks and celery and deseed the peppers, then roughly chop them all. Peel and finely chop the garlic, then use the cross-chop method to run your knife through all the vegetables., Heat 1 tablespoon of oil in a large ovenproof casserole pan over a medium heat. Add the leeks, celery, red pepper and garlic and cook for around 10 minutes, or until the leeks start to soften, stirring regularly., Add the spices and cook for a further 2 minutes, then add the remaining ingredients, refilling one of the bean tins with water and adding that to the pan, too., Stir well and bring to the boil, then turn the heat down to a simmer and cook for 45 minutes. Regularly check that it isn’t getting too dry while it’s cooking – you can always add a splash of water if it is., Have a taste and see if you think it needs a pinch of salt or pepper, then roughly chop and scatter over the parsley (if using)., Delicious served on a baked sweet potato, or with brown rice and a nice chopped green salad."
Buddy’s tuna pasta | Jamie Oliver recipes,"With tomatoes, leeks & fresh chilli","https://img.jamieoliver.com/jamieoliver/recipe-database/123301865.jpg?tr=w-800,h-1066","['Serves', '2']",In25 minutes,“A delicious family meal that’s easy to put together and makes the most of store-cupboard heroes. Double batch the sauce to stash in the freezer for future meals.  ”,347,5.4g,0.8g,9.6g,0.7g,21.5g,56.9g,5g,"1                                                                                                                                                                                                                    leek, ½                                                                                                                                                                a                                                                                                                                                                fresh chilli                                                                                                                                                                , optional, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                quality plum tomatoes, 1 x 80                                                                                                                                                                g tin of                                                                                                                                                                tuna in spring water                                                                                                                                                                , from sustainable sources, 130                                                                                                                                                                g                                                                                                                                                                dried spaghetti, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh basil, Parmesan cheese                                                                                                                                                                , to serve","Halve, wash and finely slice the white part of the leek (save the green leafy part for making stock or soup). Halve, deseed and finely chop the chilli (if using), and peel and finely chop the garlic., Place a large non-stick frying pan on a medium heat with ½ a tablespoon of olive oil. Add the chopped veg to the pan and cook for 5 minutes, or until softened, stirring regularly., Scrunch in the tomatoes (or break them up with a wooden spoon). Quarter-fill the tin with water, swirl it around to pick up the last bits of tomato and pour it into the pan., Drain and flake in the tuna, then add a pinch of black pepper and a tiny pinch of sea salt. Bring to the boil, then turn the heat down and leave to simmer, stirring regularly, while you cook your pasta., Cook the pasta in a large pan of boiling salted water according to the packet instructions, then drain, reserving a mugful of the starchy cooking water., Add the pasta to the sauce, pour in a little of the reserved pasta water to help the sauce stick, then stir well over the heat., Use tongs to divide the pasta between your bowls. Pick and finely slice the basil leaves, then scatter over the top, and serve with a good grating of Parmesan cheese."
