Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Smoky lentil and broccoli stem tacos | Jamie Oliver Cookbook Club recipes,With a Crisp cucumber salsa,"https://img.jamieoliver.com/jamieoliver/recipe-database/151854740.jpg?tr=w-800,h-1066","['Serves', '4']",MINUTES COOK),“Meat-eaters and vegans alike will enjoy this budget-friendly take on tacos. A handful of surprisingly simple ingredients lends big flavours and ‘meaty’ textures to the smoky lentil and broccoli stem taco filling. ”,,,,,,,,,"2                                                                                                                                                                tbsp                                                                                                                                                                olive oil, ½                                                                                                                                                                                                                    red onion                                                                                                                                                                , thinly sliced, 1                                                                                                                                                                large                                                                                                                                                                broccoli stem                                                                                                                                                                , grated, 1 x 400                                                                                                                                                                g tin                                                                                                                                                                 green lentils                                                                                                                                                                , drained and rinsed, 2                                                                                                                                                                                                                    garlic cloves                                                                                                                                                                , finely chopped, 4                                                                                                                                                                                                                    sundried tomatoes                                                                                                                                                                , roughly chopped, 1                                                                                                                                                                tbsp                                                                                                                                                                tomato purée, 1                                                                                                                                                                tbsp                                                                                                                                                                soy sauce                                                                                                                                                                , or tamari, 1                                                                                                                                                                tsp                                                                                                                                                                smoked paprika, 1                                                                                                                                                                tsp                                                                                                                                                                ground cumin, 1                                                                                                                                                                tbsp                                                                                                                                                                nutritional yeast, ¼                                                                                                                                                                tsp                                                                                                                                                                black pepper, Crisp cucumber salsa, 2                                                                                                                                                                                                                    baby cucumbers                                                                                                                                                                , quartered lengthways, then thinly sliced, ½                                                                                                                                                                                                                    red onion                                                                                                                                                                , finely chopped, 1                                                                                                                                                                                                                    lime                                                                                                                                                                , zest and juice of, 2                                                                                                                                                                tbsp                                                                                                                                                                freshly chopped mint, 2                                                                                                                                                                tbsp                                                                                                                                                                freshly chopped coriander, ½                                                                                                                                                                                                                    fresh red or green chilli                                                                                                                                                                , seeded, finely chopped, generous pinch of salt, ¼                                                                                                                                                                tsp                                                                                                                                                                black pepper, To serve, 8–12                                                                                                                                                                                                                    corn or flour tortillas                                                                                                                                                                , warmed, freshly chopped coriander and basil, lime wedges","For the Crisp cucumber salsa, combine the cucumbers, red onion, lime juice and zest, mint, coriander and chilli in a mixing bowl. Season with salt and black pepper and leave for about 10 minutes before serving. This will allow the flavours to marinate and will also remove some of the liquid from the cucumber, providing a less watery crunch., Heat the oil in a large frying pan over medium heat and cook the onion for 3–5 minutes, stirring occasionally, until soft. Add the grated broccoli stem, lentils, garlic and sundried tomatoes and cook for 2–3 minutes, stirring occasionally., Add all the remaining ingredients and cook for about 3 minutes, stirring frequently, until the mixture thickens and begins to stick to the pan. Stir in 1–2 tablespoons of water for the last minute of cooking. Remove from the heat and cover with a lid while you warm the tortillas., To serve, spoon the lentil and broccoli stem mixture onto warm tortillas and top with Cucumber Salsa, fresh coriander and basil, with lime wedges on the side."
Harissa meatball wraps | Jamie Oliver recipes,Cabbage & apple slaw,"https://img.jamieoliver.com/jamieoliver/recipe-database/134622444.jpg?tr=w-800,h-1066","['meatball', 'portions']",In30 minutes,"“It's always handy to have a stash of tasty meal elements ready and waiting in the freezer for those extra-busy days. This recipe will give you two leftover meatball portions, but I often make a double batch so that with just a little extra investment upfront I can get a whole meal or two on the table in minutes another day. Winning! ”",434,12.1g,4.3g,12g,1.8g,28.3g,50.3g,9.4g,"500                                                                                                                                                                g                                                                                                                                                                minced beef, 1 x 250                                                                                                                                                                g sachet of                                                                                                                                                                cooked grains or lentils, 1                                                                                                                                                                                                                    lemon, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh flat-leaf parsley                                                                                                                                                                , (30g), 3                                                                                                                                                                teaspoons                                                                                                                                                                harissa, 350                                                                                                                                                                g                                                                                                                                                                red cabbage, 1                                                                                                                                                                small                                                                                                                                                                red onion, 1                                                                                                                                                                                                                    red apple, 4                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt, olive oil, 4                                                                                                                                                                                                                    wholemeal tortilla, pickled chillies                                                                                                                                                                , optional","Place 500g minced beef and 1 x 250g sachet of cooked grains or lentils into a food processor, finely grate in the zest of 1 lemon, and tear in ½ a bunch of fresh flat-leaf parsley (15g)., Add 2 teaspoons of harissa and a good pinch of sea salt and black pepper, then blitz to combine., On a large sheet of greaseproof paper, split the mixture into 24 pieces and, with wet hands, roll into balls., Trim and finely slice 350g of red cabbage and peel and finely slice 1 small red onion, then place in a bowl with the juice of ½ a lemon and a pinch of salt and pepper. Scrunch together well., Slice the apple into matchsticks and pick the leaves from ½ a bunch of fresh flat-leaf parsley (15g), then add to the bowl and toss together., Place 16 meatballs (freeze the rest for another day) into a large non-stick frying pan on a medium heat with 1 tablespoon of olive oil and fry for 7 minutes, or until golden and cooked through, turning occasionally., Meanwhile, ripple 1 teaspoon of harissa through 4 tablespoons of natural yoghurt., Warm 4 tortilla through, then serve alongside the pan of meatballs (4 per per portion), slaw, harissa yoghurt and pickled chillies (if using), then let everyone build and roll up their own."
Fantastic fish skewers | Jamie Oliver recipes,Zingy lentil salad & yoghurt,"https://img.jamieoliver.com/jamieoliver/recipe-database/134566857.jpg?tr=w-800,h-1066","['Serves', '4']",In22 minutes,"“Perfect for getting the whole family to enjoy eating fish, this quick and easy dish is fun, fresh and zingy, and can be easily rustled up on a weeknight when you’re short on time. Pop them on the barbecue for bonus smoky flavour if the weather’s looking good. ”",507,20.8g,5.1g,6g,1.7g,39.5g,41.8g,11.5g,"olive oil, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 2                                                                                                                                                                                                                    lemons, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh rosemary, 1                                                                                                                                                                                                                    red pepper, 4 x 130                                                                                                                                                                g                                                                                                                                                                white fish fillets                                                                                                                                                                , skin off, pin-boned, from sustainable sources, 2                                                                                                                                                                thick slices of                                                                                                                                                                wholemeal bread                                                                                                                                                                , (200g), 8                                                                                                                                                                rashers of                                                                                                                                                                higher-welfare smoked pancetta or smoked streaky bacon, 2 x 250                                                                                                                                                                g sachets of                                                                                                                                                                cooked puy lentils, 2 x 80                                                                                                                                                                g bags of                                                                                                                                                                watercress, spinach & rocket, 4                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt","Preheat the oven to 200ºC/400ºF/gas 6, and place 4 wooden skewers into a tray of cold water to soak (or use woody rosemary sprigs – see Flavour boost tip)., Drizzle 2 tablespoons of olive oil into a large roasting tray, peel and finely grate in 1 clove of garlic along with the zest of 1 lemon, then squeeze in the juice from half. Pick, finely chop and add 2 sprigs of fresh rosemary, then season with sea salt and black pepper., Deseed 1 red pepper, then slice into 3cm chunks along with 4 x 130g of white fish fillets and 2 thick slices of wholemeal bread (200g), then add to the tray and toss to coat., Remove the skewers from the water, then divide and thread the bread, fish and pepper pieces onto the skewers, leaving little spaces between them so that the heat cooks everything evenly., Loosely wrap 2 slices of pancetta or smoked streaky bacon around each skewer, then place back in the tray and roast for 10 minutes, or until golden and just cooked through (you can also grill, barbecue or cook on a griddle, turning halfway)., Heat 2 x 250g sachets of cooked grain pouches according to the packet instructions, then tip into a bowl and toss gently with 2 x 80g bags of watercress, spinach & rocket, 1 tablespoon of extra virgin olive oil, the juice of ½ a lemon and a pinch each of sea salt and black pepper., Divide the lentil salad between plates, serving a kebab on top of each. Slice the remaining lemon into wedges for squeezing over, and serve each portion each with 1 tablespoon of natural yoghurt."
Whole roasted spiced cauli | Jamie Oliver recipes,With green lentils & black eyed peas,"https://img.jamieoliver.com/jamieoliver/recipe-database/134449907.jpg?tr=w-800,h-1066","['Serves', '6']",15 minutes,"“Served with a beautiful whole roasted cauliflower in the centre, this versatile dinner is delicious mopped up with bread, or with a spoonful of fluffy rice. ”",320,6g,1.6g,15g,0.45g,19.5g,47g,14.5g,"½                                                                                                                                                                a bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (15g), 400                                                                                                                                                                g                                                                                                                                                                chopped mixed onion, carrot and celery, olive oil, 1                                                                                                                                                                small                                                                                                                                                                cauliflower                                                                                                                                                                , (600g), 2                                                                                                                                                                teaspoons                                                                                                                                                                smoked paprika, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                madras curry paste, 2 x 400                                                                                                                                                                g tin of                                                                                                                                                                green lentils, 2 x 400                                                                                                                                                                g tin of                                                                                                                                                                blackeye beans, 3                                                                                                                                                                tablespoons                                                                                                                                                                mango chutney                                                                                                                                                                , plus extra to serve","Preheat the oven to 200°C/400ºF/gas 6., Pick the leaves from ½ a bunch of fresh coriander (15g) and reserve for later, then finely chop the stalks., Put a large, shallow non-stick casserole pan on a medium heat with 1 tablespoon of olive oil. Add 400g of chopped mixed onion, carrot and celery with the coriander stalks and cook for 10 minutes, stirring regularly, or until softened., Click off and discard the tatty outer leaves from 1 small cauliflower (600g), then, keeping it whole, use a sharp knife to carefully slice a cross deep into the stalk for even cooking., Rub the cauli all over with 2 teaspoons of smoked paprika and 2 heaped tablespoons of madras curry paste, then place it in the pan with the veg. Add a good splash of water, then transfer to the oven for 30 minutes., Remove from the oven and stir in 2 x 400g tins of green lentils and 1 x tin of blackeye beans (juices and all) with 1½ tins of water and 3 tablespoons of mango chutney, then return to the oven for 30 minutes., Remove the cauliflower to a plate, gently mash half of the beans and lentils to thicken slightly and season to perfection, tasting and tweaking., Sit the cauliflower back in the middle of the pan and slice into 6 wedges. Sprinkle over the coriander leaves and serve with extra mango chutney and yoghurt (if using). Delicious drizzled with a temper (see tips) and served with warmed flatbreads."
Lentil keftedes | Recipes | Jamie Oliver,"Spinach, feta & parsley","https://img.jamieoliver.com/jamieoliver/recipe-database/107962767.jpg?tr=w-800,h-1066","['Makes', '14']",,"“In Greece and Cyprus, meatballs (keftedes) are on every taverna menu –
they’re also made with lentils and seasonal veg. ”",175,12.8g,4.7g,2.3g,0.5g,6.4g,8.4g,1.5g,"200                                                                                                                                                                g                                                                                                                                                                spinach, olive oil, 1 x 400                                                                                                                                                                g                                                                                                                                                                tin of brown lentils, 2                                                                                                                                                                                                                    large free-range eggs, a few sprigs of fresh flat-leaf parsley, 100                                                                                                                                                                g                                                                                                                                                                feta cheese, 75                                                                                                                                                                g                                                                                                                                                                fresh breadcrumbs, green salad, to serve, Dill yoghurt, ½                                                                                                                                                                                                                    a bunch of fresh dill (15g), 500                                                                                                                                                                g                                                                                                                                                                Greek-style yoghurt, 1                                                                                                                                                                                                                    small clove of garlic, 1                                                                                                                                                                                                                    lemon, extra virgin olive oil","Start by making the dill yoghurt. Pick and finely chop the dill and place half of it in a bowl with the yoghurt. Peel and finely grate in the garlic, squeeze in the lemon juice and season to perfection. Add 1 tablespoon of oil, mix well, and leave to one side., Place the spinach in a saucepan over a low-medium heat with 1 teaspoon of oil and cover with a lid. Reduce the heat to low and cook until the spinach is wilted. Tip into a sieve and leave to drain., Drain the lentils and tip into a food processor. Blitz until creamy, then add one of the eggs and blitz again. Spoon into a bowl and add the remaining dill and egg, and a pinch of salt and pepper., Pick and finely chop the parsley leaves. Place in a bowl with the breadcrumbs, and crumble in the feta. Squeeze out the excess liquid from the spinach and chop it up. Add to the bowl and mix everything together well., Place a large non-stick frying pan over a medium heat and add enough olive oil to cover the base. Using a dessertspoon, scoop out servings of the keftedes mixture and ladle them into the hot oil, flattening them slightly., Fry for 4 minutes on each side, until golden and cooked through. Serve the keftedes hot, with dill yoghurt for dipping and a green salad."
Samosa cigars | Jamie Oliver recipes,"Beautiful curried veg, lentils & chickpeas","https://img.jamieoliver.com/jamieoliver/recipe-database/103050136.jpg?tr=w-800,h-1066","['18', 'cigars']",plus cooling,"“I've always loved samosas, and rolled up like this into cigar shapes they're the perfect appetizer or finger food for parties and gatherings. They're also super-simple to make. I find them equally delicious torn over a salad for a nice lunch. ”",100,2.5g,0.9g,2.4g,0.3g,3.9g,15.6g,1.9g,"10                                                                                                                                                                                                                    cardamom pods, 6                                                                                                                                                                                                                    cloves, 2                                                                                                                                                                teaspoons                                                                                                                                                                Madras curry powder, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 3                                                                                                                                                                cm piece of                                                                                                                                                                ginger, 1                                                                                                                                                                                                                    onion, 2                                                                                                                                                                                                                    medium carrots, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (15g), 25                                                                                                                                                                g                                                                                                                                                                unsalted butter, 75                                                                                                                                                                g                                                                                                                                                                red lentils, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                chickpeas, 100                                                                                                                                                                g                                                                                                                                                                frozen peas, 1                                                                                                                                                                                                                    lemon, 1 x 270                                                                                                                                                                g packet of                                                                                                                                                                filo pastry                                                                                                                                                                , (6 sheets), olive oil, 4                                                                                                                                                                sprigs of                                                                                                                                                                fresh mint","Crack the cardamom pods in a pestle and mortar and pick just the inner seeds into the mortar, discarding the husks. Finely grind the seeds with the cloves and a pinch of sea salt into a dust, then mix in the curry powder., Peel the garlic, ginger, onion and carrots, then finely chop with the coriander stalks (reserving the leaves in a bowl of cold water). Place it all in a large pan on a medium-low heat with the butter and two-thirds of the spice mix. Cook for 10 minutes, or until soft and lightly golden, stirring occasionally., Stir in the lentils and the chickpeas (juice and all), and add enough water so everything is just covered. Simmer on a low heat for 40 minutes, or until the lentils are cooked through and it's thick and delicious, stirring occasionally., Remove from the heat, taste, and season to perfection. Stir in the frozen peas and leave to cool. Once cool, finely chop and stir through the coriander leaves, along with the lemon juice., Unroll your packet of filo. Lay the sheets out in front of you, with the long edges nearest to you. Lightly brush them all with oil and sprinkle over most of the remaining spice mix from a height, then cut each sheet into three fat strips, giving you 18 in total., Divide up the filling, placing 1 level tablespoon near the bottom of each strip. One at a time, shape the filling into a neat cylinder, leaving a 2cm border at the bottom and sides. Fold in the sides and loosely roll them up (to prevent them from cracking), sealing the edges with a little oil., Repeat until they're all wrapped up, spacing them out on an oiled tray as you go. Brush with a little more oil and scatter over the rest of the spice mix, then chill until needed., Bake in a preheated oven at 180ºC/350ºF/gas 4 for 15 to 20 minutes, or until crisp, golden and hot through, then serve sprinkled with baby mint leaves and with dips of your choice on the side. I like to liquidize ripe mango flesh with yoghurt for one dip, and cucumber, fresh mint and yoghurt for the other. Just remember to season your dips to perfection before you serve them."
Hasselback al forno | Jamie Oliver recipes,"Root veg galore, wilted spinach, lentils & yoghurt ripple","https://img.jamieoliver.com/jamieoliver/recipe-database/100021005.jpg?tr=w-800,h-1066","['Serves', '4']",50 minutes,,584,22.6g,4g,23.1g,0.8g,16.8g,78g,18g,"1                                                                                                                                                                large                                                                                                                                                                parsnip, ½                                                                                                                                                                                                                     a butternut squash (600g), 1                                                                                                                                                                                                                    onion, 2                                                                                                                                                                                                                    beetroots, 4                                                                                                                                                                                                                    carrots, 4                                                                                                                                                                                                                    potatoes, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh thyme (15g), olive oil, 2                                                                                                                                                                tablespoons                                                                                                                                                                white wine vinegar, 100                                                                                                                                                                ml                                                                                                                                                                Chianti red wine, 2 x 400                                                                                                                                                                g                                                                                                                                                                tins of green lentils, 100                                                                                                                                                                g                                                                                                                                                                baby spinach, 4                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt","Preheat the oven to 200ºC/400ºF/gas 6., Scrub or peel all the veg: quarter the parsnip, squash and onion and halve the beetroot (try to choose medium-sized carrots and potatoes, but use your common sense and slice any larger ones in half )., One at a time, place the veg on a board between the handles of two wooden spoons, so that when you slice down into them the spoons stop the blade from going all the way through. Carefully slice at just under ½cm intervals all the way along, putting the veg into a large roasting tray as you go., Peel the garlic and place in a pestle and mortar, strip in the thyme leaves, then bash to a paste and muddle in 6 tablespoons of oil, the vinegar, and a pinch of sea salt and black pepper. Toss well with the veg, then roast for 1 hour, or until golden and caramelised, turning halfway., Remove all the veg to a board and place the tray over a medium heat on the hob. Pour in the wine and leave to bubble and cook away, scraping up all the sticky caramelised bits from the bottom of the tray., Tip in the lentils (juices and all) and spinach, then stir until the juices have thickened and the leaves have wilted., Season to taste with salt and pepper, ripple through the yoghurt, then present to the table with the board of veg. Delicious served with the rest of the bottle of red wine."
Smoky pancetta cod | Fish recipes | Jamie Oliver recipes,"With lentils, fresh rosemary & wilted spinach","https://img.jamieoliver.com/jamieoliver/recipe-database/89081003.jpg?tr=w-800,h-1066","['Serves', '2']",In16 minutes,"“This dish will change fish suppers forever! What I love about this recipe is it’s a really foolproof way to cook fish perfectly, every time. And with just five ingredients and a total cook time of about 15 minutes, this one is about beautiful flavour, fast. ”",348,9.2g,2.4g,2g,1.2g,44.1g,22.9g,2.1g,"8                                                                                                                                                                rashers of                                                                                                                                                                higher-welfare smoked pancetta, 2 x 150                                                                                                                                                                g                                                                                                                                                                white fish fillets                                                                                                                                                                , such as cod, skin off, pin-boned, from sustainable sources, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh rosemary, 1 x 250                                                                                                                                                                g sachet of                                                                                                                                                                cooked lentils, 200                                                                                                                                                                g                                                                                                                                                                spinach","Lay out 4 rashers of pancetta, slightly overlapping them. Place a piece of cod on top, generously season with black pepper, then roll and wrap in the pancetta, and repeat., Place in a large non-stick frying pan on a medium heat and cook for 8 minutes, turning occasionally, adding the rosemary for the last 2 minutes., Remove the fish to a plate. Toss the lentils into the pan with 1 tablespoon of red wine vinegar and push to one side to reheat for 1 minute and pick up all that residual flavour, while you quickly wilt the spinach with a splash of water alongside., Taste, season to perfection with sea salt and pepper, and divide both between your plates., Sit the wrapped cod on top of the lentils with the rosemary, and drizzle with 1 teaspoon of extra virgin olive oil."
