Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Achari keema | Jamie Oliver recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/143593303.jpg?tr=w-800,h-1066","['Serves', '4']",5 mins),"“I absolutely love mince, whether it’s chicken or lamb. Mince is so versatile, great for kebabs, rice dishes and savouries too. Mince cooks very quickly, so when you don’t have much time on your hands, try this delicious, spicy and saucy dish. Your family will enjoy it for sure. serve with naan (see pages 130-1 of The Ramadan Cookbook) or roti (see pages 126-7). ”",,,,,,,,,"4                                                                                                                                                                tablespoons                                                                                                                                                                oil, 1                                                                                                                                                                –2                                                                                                                                                                 bay leaves, 1                                                                                                                                                                –2                                                                                                                                                                 cinnamon sticks, 1                                                                                                                                                                                                                    onion                                                                                                                                                                , diced, 1                                                                                                                                                                teaspoon                                                                                                                                                                ginger paste, 1                                                                                                                                                                teaspoon                                                                                                                                                                garlic paste, 500                                                                                                                                                                g                                                                                                                                                                lamb mince, 1                                                                                                                                                                teaspoon                                                                                                                                                                chilli powder, 1                                                                                                                                                                teaspoon                                                                                                                                                                ground turmeric, 1                                                                                                                                                                teaspoon                                                                                                                                                                mango powder, 1                                                                                                                                                                teaspoon                                                                                                                                                                dried fenugreek leaves, 30                                                                                                                                                                g                                                                                                                                                                fresh fenugreek                                                                                                                                                                , finely chopped, 1                                                                                                                                                                tablespoon                                                                                                                                                                lemon juice, 2                                                                                                                                                                                                                    fresh tomatoes                                                                                                                                                                , finely chopped, 2                                                                                                                                                                tablespoons                                                                                                                                                                tomato purée, 2                                                                                                                                                                tablespoons                                                                                                                                                                plain yogurt, 80                                                                                                                                                                ml                                                                                                                                                                water, 2                                                                                                                                                                                                                    jalapeño chillies                                                                                                                                                                , halved, ½                                                                                                                                                                teaspoon                                                                                                                                                                nigella seeds, salt, finely chopped fresh coriander                                                                                                                                                                , to garnish, WHOLE SPICES, , 3                                                                                                                                                                –4                                                                                                                                                                dried chillies, 2                                                                                                                                                                teaspoons                                                                                                                                                                coriander seeds, 1                                                                                                                                                                teaspoon                                                                                                                                                                fennel seeds, 1                                                                                                                                                                teaspoon                                                                                                                                                                nigella seeds, 3                                                                                                                                                                –4                                                                                                                                                                cloves, 5                                                                                                                                                                –6                                                                                                                                                                black peppercorns, ½                                                                                                                                                                teaspoon                                                                                                                                                                cardamom seeds",
A very British Bolognese | Pasta recipes | Jamie Oliver,"Rosemary, pale ale, mushrooms, Cheddar & special pasta","https://img.jamieoliver.com/jamieoliver/recipe-database/109386584.jpg?tr=w-800,h-1066","['freezer', 'portions']",30 minutes,,397,10.5g,5.9g,7.4g,0.7g,25.6g,47.5g,2g,"2                                                                                                                                                                sprigs of                                                                                                                                                                 fresh rosemary, olive oil, 400                                                                                                                                                                g                                                                                                                                                                chopped mixed onion, carrot & celery, 250                                                                                                                                                                g                                                                                                                                                                chestnut mushrooms, 500                                                                                                                                                                g                                                                                                                                                                lean beef mince                                                                                                                                                                , or pork mince (the best quality you can afford), or veggie mince, 500                                                                                                                                                                ml                                                                                                                                                                pale ale, 2 x 400                                                                                                                                                                g tins of                                                                                                                                                                quality plum tomatoes, 250                                                                                                                                                                g                                                                                                                                                                fresh lasagne sheets, 20                                                                                                                                                                g                                                                                                                                                                Cheddar cheese","Put a large, shallow non-stick casserole pan on a medium-high heat. Pick and finely chop the rosemary leaves, then sprinkle into the pan with 1 tablespoon of olive oil to crisp up., Add the chopped mixed veg and cook for 10 minutes, stirring regularly, while you trim and finely chop the mushrooms. Stir them into the pan with the mince, breaking it up with your spoon. Cook for 15 minutes, or until golden and caramelized., Pour in the ale, let it cook away, then stir in the tomatoes and 1 tin’s worth of water, mashing it all with a potato masher. Simmer on a medium-low heat for 1 hour, mashing occasionally to thicken the texture. season to perfection., For 2 portions, either cut the lasagne sheets into 2cm slices or, for a bit of fun, stack up your sheets and cut 2cm slits into them at ½cm intervals all over., Cook in a large pan of boiling salted water for just 3 minutes, then scoop out and toss with 2 portions of Bolognese, loosening with a splash of pasta cooking water, if needed., Grate over the cheese, and serve right away. Batch up your leftover portions, cool, and pop into the fridge or freezer for another day. Happiness."
Bacon rarebit burger | Jamie Oliver recipes,"Mushrooms, gherkin & soured cream in a soft bun","https://img.jamieoliver.com/jamieoliver/recipe-database/110306444.jpg?tr=w-800,h-1066","['Serves', '1']",In12 minutes,"“Crispy bacon, juicy mushrooms, oozy Cheddar and a dash of Worcestershire sauce – this beef burger has it all. Wow your friends and family with this proper weekend treat that’s ready in minutes. 
 ”",517,24.3g,12.3g,4.6g,2.8g,42.3g,34.1g,2.3g,"3                                                                                                                                                                                                                    chestnut mushrooms, 125                                                                                                                                                                g                                                                                                                                                                beef mince                                                                                                                                                                , the best quality you can afford, 2                                                                                                                                                                rashers of                                                                                                                                                                smoked streaky bacon                                                                                                                                                                , the best quality you can afford, 1                                                                                                                                                                                                                    soft bun, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                soured cream, 1                                                                                                                                                                                                                    gherkin, 25                                                                                                                                                                g                                                                                                                                                                Cheddar cheese, 1                                                                                                                                                                tablespoon                                                                                                                                                                Worcestershire sauce",
My Botham burgers | Recipes | Jamie Oliver,With tangy corn & pineapple salsa,"https://img.jamieoliver.com/jamieoliver/recipe-database/105835551.jpg?tr=w-800,h-1066","['Serves', '10']",plus cooling,"“An old Oliver classic, this is named after one of the most famous cricketers of all time, Mr Ian Botham, because – you guessed it – the burgers are cricket ball size. This bad boy was on the menu for many years at my mum and dad’s pub, and I used to help make them in the kitchen. If you’re trying to break the monotony of doing the same old thing with mince then this is the recipe for you. I’ve used a kilo of meat here, but of course you can scale things down to suit what you’ve got and how many mouths you want to feed. I’m also teaching you the principle of a good salsa – it’s one of those wonderfully bendy recipes you need in your cooking arsenal, ready to make any meal sing. ”",338,16.8g,5.7g,5.6g,1.1g,28.6g,18.4g,2.5g,"2                                                                                                                                                                                                                    leeks, olive oil, 1                                                                                                                                                                                                                    carrot, 1                                                                                                                                                                kg                                                                                                                                                                minced beef, 100                                                                                                                                                                g                                                                                                                                                                fresh or stale breadcrumbs, 1 x 250                                                                                                                                                                g                                                                                                                                                                packet of cooked lentils, 2                                                                                                                                                                teaspoons                                                                                                                                                                Dijon or wholegrain mustard, 1                                                                                                                                                                tablespoon                                                                                                                                                                baby gerkings, ½                                                                                                                                                                                                                    a bunch of fresh herbs (15g)                                                                                                                                                                , such as parsley, mint, 100                                                                                                                                                                g                                                                                                                                                                Cheddar cheese, Salsa, 2                                                                                                                                                                                                                    corn on the cobs, 3                                                                                                                                                                tablespoons                                                                                                                                                                extra virgin olive oil, 1                                                                                                                                                                tablespoon                                                                                                                                                                white wine vinegar, 1                                                                                                                                                                                                                    lime, ½                                                                                                                                                                                                                    a bunch of fresh soft herbs (15g)                                                                                                                                                                , such as parsley, mint, chives, basil, 1                                                                                                                                                                                                                    fresh chilli, 1-2                                                                                                                                                                                                                    mixed-colour peppers, ¼                                                                                                                                                                                                                    of a ripe pineapple, 200                                                                                                                                                                g                                                                                                                                                                rice tomatoes, on the vine, 30                                                                                                                                                                g                                                                                                                                                                feta cheese","Put a non-stick frying pan on a medium heat., For the burgers, trim, halve, wash and finely chop the leeks, then place in the frying pan with 1 tablespoon of olive oil. Peel and finely chop or coarsely grate the carrot and add it to the pan. Cook for 10 minutes, or until soft but not coloured, stirring regularly. Tip onto a tray and spread it out to help it cool quickly., Put the minced beef, breadcrumbs, lentils (if using, see swaps below) and mustard in a large tray or bowl. Finely chop and add the gherkins and herb leaves., Once the veg is completely cool, add to the tray and use clean hands to mix and scrunch it all together well., Now, with wet hands, divide into 10 and shape into balls, patting them together well, but not packing them too tightly – there’s nothing worse than dense balls. Line them up on an oiled roasting tray as you go., Place the tray in the fridge for 1 hour, or until you’re ready to cook., Preheat the oven to 180CºC/350ºF/gas 4. Roast the burgers for 40 minutes, then pull out the tray and coarsely grate over the cheese. Return to the oven for a final 10 minutes, or until golden and bubbling., Meanwhile, for the salsa, run a sharp knife down the shaft of the corn cobs to remove the kernels. Sprinkle them into a dry non-stick frying pan on a medium-high heat and let them char and catch for a few minutes, tossing occasionally., Put the oil and vinegar into a large bowl, squeeze in the lime juice and add a pinch of sea salt and black pepper. Finely chop and add the herb leaves and chilli, to your taste., Deseed the peppers, peel and core the pineapple, then finely chop with the tomatoes, adding them to the dressing as you go., Tip the hot, charred corn straight into the salsa mix and toss well. Crumble in the feta, then taste and check the seasoning, tweaking with more vinegar, if needed – you want it to be slightly more acidic than you think it should be., Serve the cheesy Botham burgers and tangy salsa with a simple green salad and some good spuds, whether jacket, wedged or roasted new potatoes, it’s all good."
Meatballs & tomato sauce | Jamie Oliver meatball recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/89156533.jpg?tr=w-800,h-1066","['-', '6']",In1 hour,,714,44.2g,13.4g,12.4g,2.4g,58.6g,21.0g,4.6g,"800                                                                                                                                                                g                                                                                                                                                                quality lean meat                                                                                                                                                                , for mincing, or bought minced meat, 2                                                                                                                                                                slices of                                                                                                                                                                bread, ½                                                                                                                                                                teaspoon                                                                                                                                                                cumin seeds, ½                                                                                                                                                                a small                                                                                                                                                                 dried red chilli, 1                                                                                                                                                                sprig of                                                                                                                                                                fresh rosemary, 2                                                                                                                                                                level tablespoons                                                                                                                                                                dried oregano, 1                                                                                                                                                                large                                                                                                                                                                free-range egg yolk, olive oil, 1 x                                                                                                                                                                                                                    Basic tomato sauce, 2                                                                                                                                                                handfuls of                                                                                                                                                                fresh basil, 60                                                                                                                                                                g                                                                                                                                                                mozzarella cheese, 60                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, OPTIONAL, 1                                                                                                                                                                                                                    onion, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, olive oil, 1                                                                                                                                                                level tablespoon                                                                                                                                                                Dijon mustard","If your meat is not already minced, whiz it up in a food processor to the required consistency and place it in a bowl., Use the food processor to turn the bread into breadcrumbs, then add to the meat., Bash up the cumin seeds and dried chilli in a pestle and mortar, and pick and finely chop the rosemary leaves. Add to the mince with the dried oregano and egg yolk. Season well with sea salt and black pepper., At this stage you could add your optional ingredients (peeling and finely chopping the onion and garlic first, then cooked together gently in 1 tablespoon of oil until tender and allowed to cool)., Mix well, and, with wet hands, roll and pat into meatballs the size and shape you want (cook straight away or put on greaseproof paper and refrigerated for up to a day.), Preheat the oven to 200°C/400°F/gas 6 and heat a thick-bottomed casserole pan on the hob., Swirl 4 tablespoons of oil around the pan and add your meatballs. Fry until brown all over, being careful not to break them up., Turn the heat down and cover with the Basic tomato sauce, pick the basil leaves and tear in fresh basil, tear over the mozzarella and finely grate over the Parmesan., Cook in the oven for about 15 to 20 minutes, or until the cheese is golden."
Lamb meatballs | Jamie Oliver recipes,Chop salad & harissa yoghurt,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795968.jpg?tr=w-800,h-1066","['Serves', '4']",In15 minutes,"“Ultimately, 15-Minute Meals is a frame of mind, and I think if you give it a proper go you’ll really get into it. It’s fun, dynamic, no-nonsense cooking. Yes, the first couple of times you cook this recipe it might take a little longer, but that’s OK, it’s not a race. Once you embrace that and get into the spirit of the shortcuts and tips that I’ve given you, you’ll definitely start knocking this recipe out of the park in 15 minutes. Good luck! ”",687,25.0g,7.4g,14.2g,1.3g,38.0g,73.1g,12.6g,"MEATBALLS, 400                                                                                                                                                                g                                                                                                                                                                lean lamb mince, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                garam masala, olive oil, 1                                                                                                                                                                pinch of                                                                                                                                                                saffron, ½–1                                                                                                                                                                                                                    fresh red chilli, 2                                                                                                                                                                                                                    spring onions, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (15g), 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                chickpeas, 350                                                                                                                                                                g                                                                                                                                                                passata, SALAD, ½                                                                                                                                                                                                                    a cucumber, 2                                                                                                                                                                little                                                                                                                                                                gem lettuces, 1                                                                                                                                                                bunch of                                                                                                                                                                radishes, 2                                                                                                                                                                                                                    ripe tomatoes, 1                                                                                                                                                                tablespoon                                                                                                                                                                extra virgin olive oil, 1                                                                                                                                                                                                                    lemon, TO SERVE, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                harissa, 4                                                                                                                                                                heaped tablespoons                                                                                                                                                                fat-free natural yoghurt, 8                                                                                                                                                                small                                                                                                                                                                wholewheat tortillas, 1                                                                                                                                                                                                                    orange","Get your ingredients out, then boil the kettle and place a large frying pan on a medium heat and a large lidded pan on a medium-high heat., Mix 400g of lean lamb mince in a bowl with salt, pepper and 1 heaped teaspoon of garam masala., Divide into 4, then roll each piece into 4 balls with wet hands, placing them in the frying pan as you roll them and adding 1 tablespoon of olive oil. Toss regularly until dark golden all over., Put 1 pinch of saffron into a cup, just cover with boiling water and leave to soak., Finely slice ½-1 fresh red chilli, 2 trimmed spring onions and the stalks from ½ a bunch of coriander (reserving the leaves), put them into the large pan with 1 tablespoon of olive oil, then squash in 2 cloves of unpeeled garlic through a garlic crusher., Fry for 40 seconds, then add the saffron and its soaking water, 1 x 400g tin of drained chickpeas and 350g of passata, cover and bring to the boil., In a small dish, swirl 1 heaped teaspoon of harissa through 4 heaped tablespoons of natural yoghurt., For the salad, roughly chop and mix ½ a cucumber, 2 little gem lettuces, 1 bunch of radishes and 2 ripe tomatoes on a board. Add 1 tablespoon of extra virgin olive oil and the juice of 1 lemon, then season to taste., Loosen the sauce with a splash of water if needed, then pour into the meatball pan and season to taste., Microwave (800W) 8 small wholewheat tortillas for 45 seconds., Serve it all with orange wedges and a scattering of coriander leaves."
Veal ragù cannelloni | Jamie Oliver baked pasta recipes,"Melty cheese, button mushrooms & garlicky greens","https://img.jamieoliver.com/jamieoliver/recipe-database/64503715.jpg?tr=w-800,h-1066","['Serves', '8']",50 minutes,"“This is cannelloni, but not like you’ve seen it before! Good British rose veal is a really smart and sustainable choice of meat that’s chronically underused here in the UK and is super-delicious. Although it will be a struggle, it’s important to let the cannelloni rest after baking before tucking in – be patient! ”",771,35.5g,16.7g,19.3g,1.8g,52.1g,57.4g,3g,"2                                                                                                                                                                                                                    onions, 2                                                                                                                                                                sticks of                                                                                                                                                                celery, 4                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2                                                                                                                                                                medium                                                                                                                                                                leeks, 500                                                                                                                                                                g                                                                                                                                                                Maris Piper potatoes, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh thyme                                                                                                                                                                , (15g), 40                                                                                                                                                                g                                                                                                                                                                unsalted butter, olive oil, 4                                                                                                                                                                                                                    fresh bay leaves, 500                                                                                                                                                                g                                                                                                                                                                minced rose veal, 500                                                                                                                                                                g                                                                                                                                                                minced higher-welfare pork shoulder, 300                                                                                                                                                                ml                                                                                                                                                                white wine, 1                                                                                                                                                                whole                                                                                                                                                                nutmeg                                                                                                                                                                , for grating, 2                                                                                                                                                                tablespoons                                                                                                                                                                plain flour, 2                                                                                                                                                                litres                                                                                                                                                                semi-skimmed milk, ½                                                                                                                                                                teaspoon                                                                                                                                                                dried red chilli flakes, 500                                                                                                                                                                g                                                                                                                                                                stinging nettles, 500                                                                                                                                                                g                                                                                                                                                                baby spinach, 240                                                                                                                                                                g                                                                                                                                                                mixed cheese                                                                                                                                                                , such as Cheddar, Lancashire, Berkswell, 250                                                                                                                                                                g                                                                                                                                                                dried cannelloni tubes, 200                                                                                                                                                                g                                                                                                                                                                button mushrooms","Preheat the oven to 160ºC/325ºF/gas 3., Peel and finely chop the onions, celery and 2 cloves of garlic. Cut the green part off the leeks (save for making stock or soup), then trim, wash and finely chop the white part. Peel the potatoes and chop into ½cm dice. Tie the thyme sprigs together., Melt half the butter in a large pan on a low heat with 1 tablespoon of oil, then add the onions, garlic, celery, leeks, potatoes, bay leaves and thyme. Cover and sweat down for 15 minutes, or until softened, stirring occasionally., Add all the mince to the pan, breaking it up with a wooden spoon. Turn the heat up to medium-high and cook for 10 more minutes, or until the mince is browned all over, stirring occasionally., Pour in the wine, let it bubble and boil away, then finely grate in half the nutmeg. Stir in the flour for 1 minute, then pour in the milk. Season with sea salt and black pepper, cover with a scrunched-up sheet of wet greaseproof paper and transfer to the oven for 2 hours, or until thickened and beautifully tender., At this stage, the ragù might look like it’s split a little, but this is actually what we’re looking for – the milk in the sauce creates amazing ricotta-like curds as it cooks., Meanwhile, place a large heatproof baking dish on a medium heat with 2 tablespoons of oil and the remaining butter. Peel, finely chop and add the remaining garlic, along with the chilli flakes, nettles (leaves only – wear gloves to protect your hands while you prep) and spinach – you’ll need to work in batches. Cook for 10 minutes, or until softened., Allow to cool, then finely chop and return to the dish, spreading evenly over the base. Once done, divide the ragù in two, freezing one half for another day, once cool., Carefully drain the liquid from the remaining ragù into a bowl through a coarse sieve. Return the ragù to the pan, fish out and discard the thyme stalks and bay, then grate in half the cheese and stir well., Turn the oven up to 180ºC/350ºF/gas 4., Use a piping bag or teaspoon to stuff the cannelloni tubes with the ragù, then arrange on top of the greens. Pour the sieved liquid over the top and grate over the remaining cheese. Trim and finely slice the mushrooms and scatter over the cannelloni., Drizzle with 1 tablespoon of oil, then bake for 40 to 45 minutes, or until golden and bubbling. For added colour, flash the dish under the grill for 5 minutes. Importantly, let it stand for 30 minutes before serving. Delicious with a seasonal salad for added crunch."
Lamb kofta flatbreads | Lamb recipes | Jamie Oliver recipes,With pickled red cabbage & rose harissa,"https://img.jamieoliver.com/jamieoliver/recipe-database/76715309.jpg?tr=w-800,h-1066","['Serves', '2']",In15 minutes,"“This colourful family favourite is really fun to put together. Quick pickled cabbage brings a hit of extra flavour, and with just five ingredients, it’s an easy one to rustle up. I’m using shop-bought tortillas here, but feel free to make your own – simply check out the easy swaps below to find out how. Have fun with it!  ”",451,20g,8.9g,6.4g,1.3g,32.4g,32.7g,9g,"250                                                                                                                                                                g                                                                                                                                                                minced lamb, 2                                                                                                                                                                teaspoons                                                                                                                                                                rose harissa                                                                                                                                                                , plus extra to serve, 250                                                                                                                                                                g                                                                                                                                                                red cabbage, 2                                                                                                                                                                                                                    seeded wholemeal tortillas                                                                                                                                                                , or flatbreads, 2                                                                                                                                                                tablespoons                                                                                                                                                                cottage cheese","Put a griddle pan on a high heat., Scrunch the minced lamb and harissa in your clean hands until well mixed., Divide into 6 pieces, then shape into koftas with your fingertips, leaving dents in the surface to increase the gnarly bits as they cook., Griddle for 4 to 5 minutes on each side, or until sizzling and golden., Meanwhile, shred the red cabbage as finely as you can. Sprinkle with a pinch of sea salt and black pepper, drizzle with 1 tablespoon of red wine vinegar, then scrunch together to quickly pickle it., Warm your tortillas or flatbreads, sprinkle over the cabbage, spoon over the cottage cheese, add the koftas, drizzle with a little extra harissa, and tuck in."
Lamb & chickpea hand pies | Lamb recipes | Jamie magazine recipes,Turmeric pastry & Moroccan spices,"https://img.jamieoliver.com/jamieoliver/recipe-database/50242466.jpg?tr=w-800,h-1066","['Makes', '15']",30 minutes,"“For a light, crumbly pastry, forget using a food processor – go old-school and use your hands. The addition of chickpea flour gives an extra crumbly-ness to this pastry and the turmeric adds a pop of colour and extra spice. You will need to make the filling in advance, so that it's cooled when you make your pies, otherwise the heat will soften the pastry. These pies can also be filled and refrigerated 24 hours before baking. ”",345,22g,10.6g,3g,1.08g,12.7g,25.7g,3.5g,"olive oil, 1                                                                                                                                                                                                                    onion, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, ¼                                                                                                                                                                teaspoon                                                                                                                                                                ground cinnamon, ½                                                                                                                                                                teaspoon                                                                                                                                                                cumin seeds, ½                                                                                                                                                                teaspoon                                                                                                                                                                cayenne pepper, 1                                                                                                                                                                pinch of                                                                                                                                                                ground allspice, ½                                                                                                                                                                teaspoon                                                                                                                                                                dried mint, ½                                                                                                                                                                teaaspoon                                                                                                                                                                dried oregano, 400                                                                                                                                                                g                                                                                                                                                                lamb mince, 1                                                                                                                                                                heaped tablespoon                                                                                                                                                                tomato purée, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                quality plum tomatoes, 100                                                                                                                                                                ml                                                                                                                                                                organic beef stock, 1                                                                                                                                                                pinch of                                                                                                                                                                caster sugar, 4                                                                                                                                                                sprigs of                                                                                                                                                                fresh mint, ½ x 400                                                                                                                                                                g tin of                                                                                                                                                                chickpeas, 50                                                                                                                                                                g                                                                                                                                                                toasted pine nuts, PASTRY, 225                                                                                                                                                                g                                                                                                                                                                plain flour                                                                                                                                                                , plus extra for dusting, 225                                                                                                                                                                g                                                                                                                                                                chickpea (gram) flour, 1                                                                                                                                                                teaspoon                                                                                                                                                                ground turmeric, 250                                                                                                                                                                g                                                                                                                                                                unsalted butter, 2                                                                                                                                                                teaspoons                                                                                                                                                                cider or white wine vinegar, 1                                                                                                                                                                large                                                                                                                                                                free-range egg, 1                                                                                                                                                                tablespoon                                                                                                                                                                milk, 2                                                                                                                                                                teaspoons                                                                                                                                                                 za'tar","Heat 2 tablespoons of oil in a large pan. Peel and finely chop the onion and cook over a medium heat until soft but not coloured. Peel, crush and add the garlic and cook for 1 more minute., Add all of the spices and dried herbs to the pan, then cook for another 30 seconds until aromatic., Add the lamb mince and cook over a high heat until browned all over. Add the tomato purée, cook for 1 minute, then tip in the tinned tomatoes, stock and sugar, breaking up the tomatoes with a wooden spoon., Season with sea salt and black pepper, stir to combine and cook over a medium-low heat for about 30 minutes, or until the lamb is tender, the sauce has thickened and almost all of the liquid has evaporated., Remove the pan from the heat. Pick and finely chop the mint leaves, then add along with the chickpeas and pine nuts, then season to taste and leave to cool., To make the pastry, sift both flours into a bowl, then add the turmeric and 3 teaspoons of salt. Dice the butter and rub into the flour until it resembles breadcrumbs., Combine the vinegar with 180ml of iced water and make a well in the middle of the flour mixture. Add three-quarters of the vinegar water and mix with a knife until the dough starts to come together, adding the rest of the liquid, if needed., Very lightly knead the dough until smooth, flatten into a disc, wrap in clingfilm and chill for at least 20 minutes., Divide the pastry into 15 even pieces and roll out each one on a lightly floured work surface to a thickness of about 3mm. Cut the pastry into 12 to 13cm discs using a saucer or small bowl as a guide., Lay the pastry discs on a work surface and add a heaped tablespoon of the lamb mixture to each pasty. Brush the edges with water and fold the pastry over to make neat semi-circles. Pinch the edges together and crimp between your fingers., Arrange the pies on a baking tray. Beat the egg with the milk, then  brush over the top and chill in the fridge for 20 minutes., Preheat the oven to 180ºC/350ºF/gas 4. Brush the pasties with more egg wash, sprinkle with the za’tar and bake on the middle shelf of the oven for 20 to 25 minutes, or until the pastry is cooked and the filling is hot through."
Salma Hayek's Lebanese kibbeh | Jamie Oliver recipes,Amba sauce & silky houmous,"https://img.jamieoliver.com/jamieoliver/recipe-database/83619425.jpg?tr=w-800,h-1066","['to', '8']",45 minutes,"“Inspired by a family trip Salma made to Lebanon, this is a celebratory twist on a delicious Lebanese national dish. These mini meaty croquettes are brimming with gorgeous Middle Eastern flavours, and there’s a beautiful hint of sweetness from the dates that really cuts through the spices, adding an extra flavour dimension. ”",556,40g,8.9g,3.6g,0.5g,22.4g,29.5g,2.5g,"vegetable oil                                                                                                                                                                , for deep-frying, KIBBEH DOUGH, 200                                                                                                                                                                g                                                                                                                                                                fine bulgur wheat, 300                                                                                                                                                                g                                                                                                                                                                minced lamb                                                                                                                                                                , (20% fat), 1                                                                                                                                                                                                                    large pinch of seven-spice                                                                                                                                                                , (see below), ½                                                                                                                                                                tablespoon                                                                                                                                                                ghee, SEVEN-SPICE, ½                                                                                                                                                                tablespoon                                                                                                                                                                ground allspice, ½                                                                                                                                                                tablespoon                                                                                                                                                                ground cinnamon, ½                                                                                                                                                                teaspoon                                                                                                                                                                ground nutmeg, ½                                                                                                                                                                teaspoon                                                                                                                                                                ground coriander, ½                                                                                                                                                                teaspoon                                                                                                                                                                ground cloves, ½                                                                                                                                                                teaspoon                                                                                                                                                                ground ginger, ½                                                                                                                                                                teaspoon                                                                                                                                                                freshly ground black pepper, FILLING, 50                                                                                                                                                                g                                                                                                                                                                pickled walnuts, 50                                                                                                                                                                g                                                                                                                                                                Medjool dates, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh flat-leaf parsley                                                                                                                                                                , (15g), olive oil, 200                                                                                                                                                                g                                                                                                                                                                minced lamb                                                                                                                                                                , (20% fat), 50                                                                                                                                                                g                                                                                                                                                                pine nuts, 2                                                                                                                                                                teaspoons                                                                                                                                                                seven-spice                                                                                                                                                                , (see above), ½                                                                                                                                                                teaspoon                                                                                                                                                                dried mint, ½                                                                                                                                                                teaspoon                                                                                                                                                                dried oregano","In a bowl, cover the bulgur wheat with 200ml of cold water, then leave to soak for about 15 minutes., Mix the seven-spice ingredients together (it’ll make more than you need, but save the rest in an airtight jar for another day)., For the filling, finely chop the walnuts, destone and roughly chop the dates, and finely chop the top leafy half of the parsley., Place a large frying pan on a high heat with ½ a tablespoon of olive oil, the minced lamb, pine nuts and walnuts. Cook for 5 to 10 minutes, or until starting to crisp up, stirring occasionally., Add 2 teaspoons of the seven-spice and the dried herbs, then cook for a further 5 minutes, or until dark golden and gnarly. Leave to cool, then stir through the chopped parsley., Drain the bulgur (if needed), and mix with the remaining kibbeh dough ingredients and a good pinch of sea salt until it comes together – this will become your outer layer., Divide the mixture into 16 balls (roughly 50g each). Place one ball on the palm of your hand, then press and flatten into an oval shape, roughly 7cm x 8cm. Place a good pinch of cooled filling into the centre, then mould the dough up and around the filling to seal., Repeat with the remaining ingredients, then place in the fridge to firm up for around 30 minutes. Now’s a good time to get on with making the Amba sauce and Houmous., When you’re ready to cook, just under half fill a large sturdy pan with oil – the oil should be 8cm deep, but never fill your pan more than half full – and place on a medium high heat. Use a thermometer to tell when it’s ready (170°C), or add a piece of potato and wait until it turns golden – that’s the sign that it’s ready to go., Carefully lower one kibbeh into the pan – after 3½ to 4 minutes it should be golden and perfectly cooked through, so take it out of the pan and cut it in half to check your timings – once you know where you stand, you can cook the rest, in batches., Serve the kibbeh with the houmous and amba sauce. It’s also good with pickled veg, flatbreads and a sprinkling of pomegranate seeds and fresh herbs."
