Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Sarit & Itamar's mushroom sfiha | Jamie Oliver recipes,With caramelised onions & ricotta,"https://img.jamieoliver.com/jamieoliver/recipe-database/153135556.jpg?tr=w-800,h-1066","['Serves', '4']",In35 minutes,,,,,,,,,,"3 onions, 500g mushrooms, 2 tablespoons Baharat seasoning, 1 large flatbread, 250g ricotta, PANTRY, olive oil, black pepper, sea salt, extra virgin olive oil","Peel and dice the onions, then sauté in a pan with 2 tablespoons of olive oil and a pinch of sea salt on a medium heat so they soften – about 8 to 10 minutes. Meanwhile, thickly slice the mushrooms., Once the onions start to stick to the bottom of the pan, add the sliced mushrooms – they will start to let out water and after about 10 to 12 minutes the volume should halve and there should be no liquid left in the pan., Add the baharat, then taste and adjust seasoning, if needed., Preheat the oven to 180ºC/350ºF/gas 4., Line a 20cm cake or pie tin (or adjust to the size of your flatbread) with greaseproof paper., Quickly run the flatbread under a lightly running warm tap, drizzle lightly with oil, then press it down into the tin, so that the edges overhang the sides., Fill the base with ricotta, keeping 4 teaspoons back to serve, and spread out to create an even layer., Top with the mushroom filling, fold the overhanging sides of the flatbread down onto the filling and brush the exposed bread with a little olive oil., Bake in the centre of the oven for 10 to 15 minutes, then allow to sit for 5 minutes in the tin, before using the greaseproof to help you remove it easily., Slice up and serve hot with a dollop of seasoned ricotta. Great with a green salad."
Mushroom quesadillas | Jamie Oliver Cookbook Club recipes,My team’s pick of the chapter!,"https://img.jamieoliver.com/jamieoliver/recipe-database/152742342.jpg?tr=w-800,h-1066","['Serves', '2']",MINUTES COOK),"“Quesadillas are like the pizza of Mexico. You can pretty much make them with anything and they’ll be delicious, so long as they’re hot, crispy and oozing with cheese. These meat-less quesadillas are quick to make and fabulously tasty. It’s amazing what just a sprinkle of chipotle powder brings to the party! If a serious food emergency is leaving you short on time, skip the guacamole and just dunk in sour cream with a squirt of hot sauce. ”",,,,,,,,,"3                                                                                                                                                                tablespoons                                                                                                                                                                extra-virgin olive oil                                                                                                                                                                , (45ml), 200                                                                                                                                                                g                                                                                                                                                                portobello mushrooms                                                                                                                                                                , sliced 8mm thick (or other mushrooms of choice), ½                                                                                                                                                                teaspoon                                                                                                                                                                chipotle powder, ¼                                                                                                                                                                teaspoon                                                                                                                                                                cooking salt, ¼                                                                                                                                                                teaspoon                                                                                                                                                                black pepper, ¾                                                                                                                                                                cup (75g)                                                                                                                                                                colby cheese                                                                                                                                                                , shredded, 2 x 20                                                                                                                                                                cm                                                                                                                                                                flour tortillas, TO SERVE, Sour cream, Pico de Gallo                                                                                                                                                                , (page 224 of RecipeTin Eats: Dinner), Guacamole or Avocado Crema                                                                                                                                                                , (page 220 of RecipeTin Eats: Dinner), Lime wedges",
Mushroom soup | Jamie Oliver recipes,"Sour cream ripple, crispy mushrooms","https://img.jamieoliver.com/jamieoliver/recipe-database/154996131.jpg?tr=w-800,h-1066","['Serves', '4']",In30 minutes,"“Inspired by the small but mighty Montenegro, where cooking is all about extracting maximum flavour from fresh local produce, this dark and delicious soup uses mushrooms in two exciting ways. ”",189,13.2g,3.5g,4.1g,0.8g,10.9g,5.8g,3.8g,"4 cloves of garlic, 300g frozen chopped mixed onion, carrot and celery, 750g chestnut mushrooms, 1 litre organic chicken or vegetable stock, 4 tablespoons sour cream",
Sea & mountain skewers | Jamie Oliver recipes,"Prawns, ham & mushrooms, burnt leeks & creamy beans","https://img.jamieoliver.com/jamieoliver/recipe-database/152011887.jpg?tr=w-800,h-1066","['Serves', '2']",In45 minutes,"“Right the way across the Mediterranean, foods from the sea and mountains collide in truly beautiful ways. And, even more fascinatingly, the friendship between prawns and mushrooms here is divine. ”",589,31.4g,5.5g,5.3g,1.2g,36.6g,40.1g,13.3g,"2                                                                                                                                                                medium                                                                                                                                                                leeks, 8                                                                                                                                                                large                                                                                                                                                                raw shell-on king prawns                                                                                                                                                                , from sustainable sources, 160                                                                                                                                                                g                                                                                                                                                                mixed mushrooms, 40                                                                                                                                                                g                                                                                                                                                                higher-welfare Pata Negra or quality Spanish ham, 1                                                                                                                                                                x 700g                                                                                                                                                                jar of white beans",
Mushroom risotto | Jamie Oliver recipes,"Thyme, garlic & a quick parsley oil","https://img.jamieoliver.com/jamieoliver/recipe-database/142770878.jpg?tr=w-800,h-1066","['Serves', '4']",In45 minutes,"“Comforting, delicious, this is a great recipe to have up your sleeve. I’m celebrating frozen mushrooms here, they’re cheaper than fresh and release loads of flavour when you defrost them, meaning mega umami for a fraction of the cost of fresh or dried. ”",453,15.4g,5.5g,3.8g,1.6g,13.5g,69.6g,3.6g,"1                                                                                                                                                                x 500g                                                                                                                                                                bag of frozen sliced mushrooms, 1                                                                                                                                                                                                                    vegetable stock cube, olive oil, 3                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                teaspoon                                                                                                                                                                dried thyme, 2                                                                                                                                                                                                                    small onions, 2                                                                                                                                                                sticks of                                                                                                                                                                celery, ½                                                                                                                                                                a bunch of                                                                                                                                                                flat-leaf parsley (15g), 300                                                                                                                                                                g                                                                                                                                                                risotto rice, 80                                                                                                                                                                g                                                                                                                                                                mature Cheddar cheese","Use a sharp knife to make a small hole in the bag of mushrooms and cook in the microwave on full power (800W) for 2 minutes, or until defrosted. Boil the kettle., Pour 1 litre of boiling kettle water into a measuring jug and crumble in the stock cube, stirring until dissolved. Once the time’s up on the mushrooms, pour any liquid from the bag into the jug and give it a stir (this will give your stock depth of flavour)., Place a large non-stick frying pan on a medium-high heat with 1 tablespoon of olive oil. Peel, finely slice and stir in the garlic for 2 minutes, or until lightly golden. Tip in the mushrooms, dried thyme and a pinch of sea salt and black pepper, and cook for 5 minutes, or until the mushrooms start to caramelise and any water has evaporated, stirring occasionally, then remove from the heat., Remove the contents of the pan to a board and finely chop half of the mushroom mixture, leaving the other half chunky and set aside., Peel the onions and finely chop with the celery. Return the pan to a medium-high heat with 1 tablespoon of oil. Stir in the onions and celery, then cover and cook for 5 minutes, or until softened., Tear off the leafy part of the parsley and set aside, then finely chop the stalks., Once the veg has softened, stir in the rice to toast for 2 minutes. Stir in the parsley stalks and finely chopped mushroom mix and cook for 1 minute, then pour in a ladle of stock and stir in a figure-of-eight motion until it’s all absorbed, popping the lid on every now and then for a couple of minutes to trap in the heat. Continue to add ladlefuls of stock until the rice is tender but still holding its shape – it should take around 15 minutes., Meanwhile, roughly chop the parsley leaves and pound them in a pestle and mortar with a pinch of salt and pepper until you have a bright green pulp. Muddle in 3 tablespoons of oil, then set aside., Remove the risotto from the heat, coarsely grate in most of the cheese (keeping a small handful aside for later), then stir in the reserved mushroom mixture. Cover the pan and leave to relax for 2 minutes until the risotto is creamy and oozy., Divide between plates, finely grate over the remaining cheese, drizzle over a little parsley oil and serve."
Mushroom jalousie | Jamie Oliver recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/139634012.jpg?tr=w-800,h-1066","['Serves', '6']",,"“The jalousie has many incisions made in the pastry to let the steam out, so the pastry can crisp. A large version of this old-fashioned pie is very good, but when made smaller, cooked crisp, cooled then sliced, it makes excellent bites with drinks. ”",,,,,,,,,"25                                                                                                                                                                g                                                                                                                                                                dried porcini, 3                                                                                                                                                                or 4                                                                                                                                                                shallots, 3                                                                                                                                                                cloves of                                                                                                                                                                garlic, 50                                                                                                                                                                g                                                                                                                                                                unsalted butter (or use 2 soup spoons of olive oil instead), 1                                                                                                                                                                kg                                                                                                                                                                large flat mushrooms                                                                                                                                                                , peeled and halved then blitzed fine in a food processor, 75                                                                                                                                                                ml                                                                                                                                                                white wine, 1                                                                                                                                                                small finger-sized bundle of                                                                                                                                                                thyme and summer savory, 1                                                                                                                                                                handful                                                                                                                                                                chopped parsley, 125                                                                                                                                                                g                                                                                                                                                                freshly grated Parmesan, 500                                                                                                                                                                g                                                                                                                                                                puff pastry or rough puff, 1                                                                                                                                                                                                                    organic egg                                                                                                                                                                , beaten with a teaspoon of cream to make a glaze",
Chicken & mushroom puff pie | Jamie Oliver recipes,"Peppery greens, mustard, spring onions & a crisp pastry lid","https://img.jamieoliver.com/jamieoliver/recipe-database/136440026.jpg?tr=w-800,h-1066","['Serves', '4']",In33 minutes,"“This one-pan recipe will soon become your go-to on winter nights when all you want is a filling, feel-good dinner.  ”",679,36.2g,13.5g,9.5g,1.1g,39.8g,48.2g,4.7g,"500                                                                                                                                                                g                                                                                                                                                                free-range skinless boneless chicken thighs, olive oil, 1                                                                                                                                                                bunch of                                                                                                                                                                spring onions, 320                                                                                                                                                                g                                                                                                                                                                mixed mushrooms, 320                                                                                                                                                                g                                                                                                                                                                sheet of ready-rolled puff pastry, 600                                                                                                                                                                ml                                                                                                                                                                semi-skimmed milk, 1                                                                                                                                                                heaped tablespoon                                                                                                                                                                plain flour, 1                                                                                                                                                                tablespoon                                                                                                                                                                wholegrain mustard, 80g                                                                                                                                                                                                                    mixed bag of watercress, spinach & rocket",
Mushroom carbonara | Jamie Oliver recipes,"Smoky bacon, rosemary, egg, Parmesan & black pepper","https://img.jamieoliver.com/jamieoliver/recipe-database/136295680.jpg?tr=w-800,h-1066","['Serves', '1']",In12 minutes,,448,20.8g,6.9g,1.3g,1.1g,23.8g,40.4g,3.9g,"125                                                                                                                                                                g                                                                                                                                                                fresh lasagne sheets, 2                                                                                                                                                                rashers of                                                                                                                                                                smoked streaky higher-welfare bacon, 80                                                                                                                                                                g                                                                                                                                                                button mushrooms, 2                                                                                                                                                                sprigs of                                                                                                                                                                rosemary, 15                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, 1                                                                                                                                                                                                                    free-range egg, olive oil, optional:                                                                                                                                                                                                                    extra virgin olive oil",
Gnarly oven-baked mushrooms | Jamie Oliver recipes,Simple cherry tom sauce & lemony couscous,"https://img.jamieoliver.com/jamieoliver/recipe-database/134449904.jpg?tr=w-800,h-1066","['Serves', '4']",In50 minutes,“Don't be tempted to take the mushrooms out of the oven too soon – leave them to get beautifully dark and gnarly at the edges for bonus flavour. ”,444,19.7g,5.8g,8.6g,1.53g,19.9g,45.3g,9.3g,"8                                                                                                                                                                                                                    portobello mushrooms, olive oil, 1                                                                                                                                                                                                                    lemon, 300                                                                                                                                                                g                                                                                                                                                                wholewheat couscous, 3                                                                                                                                                                sprigs of                                                                                                                                                                fresh mint, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 3                                                                                                                                                                sprigs of                                                                                                                                                                fresh rosemary, 2                                                                                                                                                                tablespoons                                                                                                                                                                baby capers, 2 x 400                                                                                                                                                                g tins of                                                                                                                                                                quality cherry tomatoes, 80                                                                                                                                                                g                                                                                                                                                                halloumi cheese, 40                                                                                                                                                                g                                                                                                                                                                unsalted pistachios","Preheat the oven to 220°C/425°F/gas 7., Peel 8 portobello mushrooms and place cap-side up in a 25cm x 35cm sturdy roasting tray., Drizzle over 1 tablespoon of olive oil and season with sea salt and black pepper, then bake for 20 minutes, or until golden., Meanwhile, finely grate the zest of ½ a lemon into a large bowl, add 300g of wholewheat couscous, 1 sprig of fresh mint and a pinch of pepper. Pour in just enough boiling kettle water to cover, pop a plate on top and leave to fluff up., Peel and finely slice 2 cloves of garlic, then pick and finely chop the leaves from 3 sprigs of fresh rosemary., When the time’s up, remove the tray from the oven and transfer the mushrooms to a plate., Place the roasting tray on the hob over a medium-high heat with 1 tablespoon of olive oil, add the garlic and rosemary and cook for 1 minute, then stir in the 2 tablespoons of baby capers and 2 x 400g tins of cherry tomatoes. Cook for 5 minutes, or until slightly thickened and reduced, stirring occasionally., Arrange the mushrooms snugly in the sauce, tear over 80g of halloumi and scatter over 40g of shelled unsalted pistachios, then return to the oven at 200°C/400°F/gas 6 for 15 minutes, or until gnarly at the edges., Fork up the couscous, squeeze over the juice from the zested lemon and toss together, discarding the mint. Season to taste., Serve the mushrooms and sauce on top of the couscous, then pick and tear over the remaining 2 sprigs of fresh mint."
Shiitake bacon | Jamie Oliver recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/129244400.jpg?tr=w-800,h-1066","['to', '6']",,"“There is an art form to creating the perfect batch of shiitake bacon. I can only attempt to show you how, the best way that I can. The rest is up to you. Please remember, every oven is different. Cooking times will vary. The ultimate goal? To bake the mushroom slices until they are crispy and chewy at the very same time, replicating that distinct bacony texture we all know and love. Good luck! ”",,,,,,,,,"1                                                                                                                                                                pound                                                                                                                                                                stemmed shiitake mushroom caps                                                                                                                                                                 , (about 2 pounds before trimming), ¾                                                                                                                                                                cup                                                                                                                                                                peanut oil, ½                                                                                                                                                                cup                                                                                                                                                                tamari                                                                                                                                                                 , or soy sauce, ½                                                                                                                                                                cup + ½ teaspoon                                                                                                                                                                nutritional yeast                                                                                                                                                                , plus some for dusting, 1                                                                                                                                                                teaspoon                                                                                                                                                                liquid smoke                                                                                                                                                                , plus more to taste","Position racks in the centre and bottom third of the oven and preheat the oven to 190°C/375°F/gas 5. Line two large baking sheets with parchment paper., Rinse the shiitake caps and dry them thoroughly in a salad spinner or pat them dry with a paper towel. Cut the caps into ¼-inch-thick slices (the goal here is to have similar-size pieces so that they cook evenly). Transfer them to a large bowl., In a small bowl, whisk together the peanut oil, tamari, ½ cup of the nutritional yeast, and the liquid smoke. Pour this mixture over the sliced shiitakes. Delicately toss them until all the pieces are coated. Divide the mushrooms evenly onto the baking sheets, arranging them into a single layer., Sprinkle the remaining ½ teaspoon nutritional yeast on top of the shiitakes and coat the tops with a healthy amount of cooking oil spray. (The goal here is to basically oven-fry the shiitakes, so please don’t hold back—this isn’t a low-fat recipe. We are replicating bacon, people.), Place the sheets in the oven, one in the centre, one on the bottom. Bake for 40 minutes. Remove from the oven and toss with a thin spatula. Spread the mushrooms back out evenly and coat them again with a good amount of cooking oil spray, and another dusting of nutritional yeast. Return the trays to the oven, switching racks. Bake until the mushrooms become crispy on the edges, about 15 minutes (less if you think they might burn). Remove from the oven., At this point you could make or break the bacon. And because each oven is different, you have to play with it yourself. What you are trying to do is push the mushrooms to their crispiest point without burning them. As my mother would say, you must “Watch them like a hawk!” Coat the mushrooms once more with some cooking oil spray and return to the oven for an additional 5 to 10 minutes. Remove from the oven and let sit for a few minutes. Taste one. If it is still not crispy, bake for an additional 5 to 10 minutes. If you are scared to keep pushing it, try only baking a few to see how far you can take them. This way you won’t burn the whole batch., One baking sheet may be done before the other; just remove them at separate times. Some pieces may also be stubborn and take longer than others. It’s okay if a few pieces are chewier than others. Like the recipe implies, making shiitake bacon is an art. It takes practice to perfect this exquisite food."
Satisfying veggie bake | Jamie Oliver,,"https://img.jamieoliver.com/jamieoliver/recipe-database/128254962.jpg?tr=w-800,h-1066","['Serves', '8']",,"“We all need extraordinarily tasty ways to get in the good stuff, and with five of your 5-a-day per portion, this dish makes me very happy. ”",580,13.7g,5.3g,21.3g,1.3g,24g,96.2g,11.2g,"3                                                                                                                                                                                                                    onions, 3                                                                                                                                                                cloves of                                                                                                                                                                garlic, olive oil, 3                                                                                                                                                                level teaspoons                                                                                                                                                                ground coriander, 3                                                                                                                                                                teaspoons                                                                                                                                                                olive tapenade, 3                                                                                                                                                                                                                    mixed-colour peppers, 3                                                                                                                                                                                                                    sweet potatoes, 3                                                                                                                                                                large                                                                                                                                                                portobello mushrooms, 3                                                                                                                                                                                                                    courgettes, 3 x 400                                                                                                                                                                g tins of                                                                                                                                                                quality plum tomatoes, 3                                                                                                                                                                large                                                                                                                                                                free-range eggs, 500                                                                                                                                                                g                                                                                                                                                                Greek-style yoghurt, 100                                                                                                                                                                g                                                                                                                                                                feta cheese, 1                                                                                                                                                                bunch of                                                                                                                                                                oregano                                                                                                                                                                , (20g), 1                                                                                                                                                                packet of                                                                                                                                                                filo pastry                                                                                                                                                                , (270g), 1                                                                                                                                                                mug of                                                                                                                                                                basmati rice                                                                                                                                                                , (300g), 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                 butter beans",
