Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Smoky mussel laksa | Jamie Oliver recipes,"Blackened aubergine, juicy noodles, coconut, coriander & lime","https://img.jamieoliver.com/jamieoliver/recipe-database/136440331.jpg?tr=w-800,h-1066","['Serves', '2']",In16 minutes,,486,15.9g,11g,12.8g,1.4g,21.1g,64.3g,8.7g,"2                                                                                                                                                                x 50g                                                                                                                                                                nests of folded rice noodles, 600g                                                                                                                                                                                                                    mussels, scrubbed, debearded, from sustainable sources, 1                                                                                                                                                                                                                    large aubergine (400g), 1                                                                                                                                                                bunch of                                                                                                                                                                spring onions, ½                                                                                                                                                                a bunch of                                                                                                                                                                coriander (15g), 2                                                                                                                                                                                                                    limes, 2                                                                                                                                                                tablespoons                                                                                                                                                                laksa paste, 1                                                                                                                                                                x 400ml                                                                                                                                                                tin of light coconut milk",
Creamy Cornish mussels | Jamie Oliver seafood recipes,"Sweet cider, chives & clotted cream","https://img.jamieoliver.com/jamieoliver/recipe-database/89080979.jpg?tr=w-800,h-1066","['Serves', '2']",In12 minutes,,347,24.6g,11.2g,4.2g,0.8g,15.2g,8.4g,0.7g,"600                                                                                                                                                                g                                                                                                                                                                mussels                                                                                                                                                                , scrubbed, debearded, from sustainable sources, 4                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh chives                                                                                                                                                                , (30g), 250                                                                                                                                                                ml                                                                                                                                                                Cornish cider, 50                                                                                                                                                                g                                                                                                                                                                clotted cream","Check the mussels – if any are open, give them a tap and they should close; if they don’t, discard them., Peel and finely slice the garlic. Finely chop the chives., Put a large deep pan on a high heat. Pour in 1 tablespoon of olive oil, then add the garlic and most of the chives, followed 1 minute later by the cider., Bring to a fast boil, then add the mussels and clotted cream, cover and leave for 3 to 4 minutes, shaking the pan occasionally., When all the mussels have opened and are soft and juicy, they’re ready. If any remain closed, discard them., Taste the sauce, season to perfection with sea salt and black pepper, then dish up and sprinkle over the remaining chives before tucking in."
Martin Clunes' Mallorcan paella | Rice recipes | Jamie Oliver recipes,"Chicken, pork, crayfish, tiger prawns, mussels & squid","https://img.jamieoliver.com/jamieoliver/recipe-database/83619422.jpg?tr=w-800,h-1066","['Serves', '6']",15 minutes,"“Igniting fond memories of happy childhood holidays for Martin, my take on a Mallorcan paella brimming with beautiful seafood is a real flavour extravaganza. Use a mixture of whatever lovely seasonal shellfish you can get your hands on. ”",642,19.8g,3.9g,6.6g,3.1g,58.3g,66.3g,3.4g,"6                                                                                                                                                                large                                                                                                                                                                raw shell-on tiger prawns                                                                                                                                                                , from sustainable sources, 1                                                                                                                                                                pinch of                                                                                                                                                                saffron, 1.2                                                                                                                                                                litres                                                                                                                                                                quality organic chicken stock, 3                                                                                                                                                                                                                    free-range chicken thighs                                                                                                                                                                , skin off, bone out, 300                                                                                                                                                                g                                                                                                                                                                higher-welfare pork neck fillet, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                smoked paprika, olive oil, 1                                                                                                                                                                                                                    red onion, 5                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2                                                                                                                                                                sticks of                                                                                                                                                                celery, 6                                                                                                                                                                                                                    crayfish                                                                                                                                                                , from sustainable sources, 6                                                                                                                                                                                                                    ripe tomatoes, 400                                                                                                                                                                g                                                                                                                                                                paella rice, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh flat-leaf parsley                                                                                                                                                                , (30g), 200                                                                                                                                                                g                                                                                                                                                                squid                                                                                                                                                                , gutted, cleaned, from sustainable sources, 200                                                                                                                                                                g                                                                                                                                                                mussels                                                                                                                                                                , scrubbed, debearded, from sustainable sources, 200                                                                                                                                                                g                                                                                                                                                                jarred artichokes, 150                                                                                                                                                                g                                                                                                                                                                mangetout, extra virgin olive oil, 2-3                                                                                                                                                                                                                    lemons","Preheat the oven to 190ºC/375ºF/gas 5., Peel the prawns, leaving the tails on, then put in the fridge. Place the heads and shells in a pan with the saffron, pour over the stock, then simmer over a low heat to infuse., Dice the chicken and pork into 3cm chunks, then toss with the paprika and a pinch of sea salt and black pepper., Place a large ovenproof frying or paella pan on a medium heat with 1 tablespoon of olive oil. Add the meat and cook for 10 to 15 minutes, or until golden, stirring occasionally, while you peel and finely chop the onion, garlic and celery., Remove the meat to a plate and stir the chopped veg into the fat in the pan. Cook for 10 minutes, or until softened, then return the meat to the mix., At the same time, quickly drop the crayfish into the stock to cook for 4 minutes, remove with a slotted spoon, halve lengthways and place in a large bowl., Cut a cross into the bottom of each tomato, plunge them into the stock for 40 seconds, then carefully peel, deseed and roughly chop., Stir the paella rice into the meat pan to toast for a few minutes, then ladle in 1 litre of stock through a sieve. Add the tomatoes and simmer for 10 minutes, or until the liquid has reduced and the rice is nearly cooked, stirring occasionally., Meanwhile, pick and finely chop the parsley. Run the tip of a knife down the back of each prawn and pull out the vein, meaning they’ll butterfly as they cook., Slice the tentacles from the squid, keeping them whole, then open out the tubes and lightly score in a criss-cross fashion with a regular eating knife., Place the prawns, squid and mussels in the crayfish bowl with the drained artichokes, most of the parsley and the mangetout (roughly slice, if you like), then dress with a drizzle of extra virgin olive oil, the juice of 1 lemon and a good pinch of sea salt and black pepper., Poke and scatter the contents of the bowl into the rice, then place uncovered in the oven for 10 minutes, or until beautifully cooked. Scatter over the remaining parsley leaves and serve with lots of lemon wedges for squeezing over."
Pesto mussels & toast | Seafood recipe | Jamie Oliver recipes,"Baby courgettes, sweet tomatoes & peas","https://img.jamieoliver.com/jamieoliver/recipe-database/51035095.jpg?tr=w-800,h-1066","['Serves', '2']",In14 minutes,"“Mussels are a super-nutritious member of the shellfish family, packed with micronutrients including iodine and selenium, two important minerals for healthy metabolic function. ”",471,22.1g,4.6g,11.7g,1.3g,30.8g,36.5g,8.7g,"70                                                                                                                                                                g                                                                                                                                                                pesto, 2                                                                                                                                                                thick slices of                                                                                                                                                                wholemeal bread                                                                                                                                                                 , (50g each), 200g                                                                                                                                                                baby courgettes, 200g                                                                                                                                                                ripe mixed-colour cherry tomatoes                                                                                                                                                                , on the vine, 500g                                                                                                                                                                mussels                                                                                                                                                                , scrubbed, debearded, from sustainable sources, 160g                                                                                                                                                                fresh or frozen peas, 50ml                                                                                                                                                                white wine                                                                                                                                                                , optional, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh basil, 2½ oz pesto, 2 thick slices of whole-grain bread (1¾ oz each), 7 oz baby zucchini, 7 oz ripe mixed-color cherry tomatoes, on the vine, 1 lb mussels, scrubbed, debearded, from sustainable sources, 1¼ cups fresh or frozen peas, optional: ¼ cup white wine, 2 sprigs of fresh basil","Put a large pan on a medium-high heat, and toast the bread as the pan heats up, turning when golden., Trim and finely slice the courgettes, and halve the cherry tomatoes., Check the mussels – if any are open, just give them a little tap and they should close; if they don’t they’re no good, so chuck those ones away., Remove the toast and spread one quarter of the pesto on each slice. You can find a recipe for my Super-quick batch pesto, if you'd like to have a go at making your own., Turn the heat under the pan up to full whack and tip in the mussels. Stir in the remaining pesto, the courgettes, tomatoes and peas., Add the wine (if using), or a good splash of water. Cover with a lid and leave to steam for 3 to 4 minutes, shaking the pan occasionally., When all the mussels have opened and are soft and juicy, they’re ready. If any remain closed, simply throw those away. Divide the mussels, veg and all those gorgeous juices between two large bowls, pick over the basil leaves and serve with the pesto toasts on the side for some epic dunking., Put a large pan on a medium-high heat, and toast the bread as the pan heats up, turning when golden., Trim and finely slice the zucchini, and halve the cherry tomatoes., Check the mussels—if any are open, just give them a little tap and they should close; if they don’t they’re no good, so chuck those ones away., Remove the toast and spread half of the pesto on each slice., Turn the heat under the pan up to full whack and tip in the mussels. Stir in the remaining pesto, the zucchini, tomatoes, and peas., Add the wine (if using), or a good splash of water. Cover with a lid and leave to steam for 3 to 4 minutes, shaking the pan occasionally., When all the mussels have opened and are soft and juicy, they’re ready. If any remain closed, simply throw those away. Divide the mussels, veg, and all those gorgeous juices between two large bowls, pick over the basil leaves, and serve with the pesto toasts on the side for some epic dunking."
Thai-style mussels | Seafood recipes | Jamie magazine,"Lemongrass, red chilli & coconut milk","https://img.jamieoliver.com/jamieoliver/recipe-database/FWV-AstiKPY8VrKpVynL6_.jpg?tr=w-800,h-1066","['Serves', '2']",In15 minutes,,328,18.8g,11.5g,6.7g,2g,26.2g,13g,1.6g,"1                                                                                                                                                                kg                                                                                                                                                                mussels                                                                                                                                                                , debearded, from sustainable sources, 4                                                                                                                                                                                                                    spring onions, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh coriander, 1                                                                                                                                                                stick of                                                                                                                                                                lemongrass, 1                                                                                                                                                                                                                    fresh red chilli, groundnut oil, 1 x 400                                                                                                                                                                ml tin of                                                                                                                                                                reduced fat coconut milk, 1                                                                                                                                                                tablespoon                                                                                                                                                                fish sauce, 1                                                                                                                                                                                                                    lime","Wash the mussels thoroughly, discarding any that aren’t tightly closed., Trim and finely slice the spring onions, peel and finely slice the garlic. Pick and set aside the coriander leaves, then finely chop the stalks. Cut the lemongrass into 4 pieces, then finely slice the chilli., In a wide saucepan, heat a little groundnut oil and soften the spring onion, garlic, coriander stalks, lemongrass and most of the red chilli for around 5 minutes., Add the coconut milk and fish sauce and bring to the boil, then add the mussels and cover the pan., Steam the mussels for 5 minutes, or until they've all opened and are cooked. Discard any unopened mussels., Finish with a squeeze of lime juice, then sprinkle with coriander leaves and the remaining chilli to serve."
Mussels with Guinness | Seafood recipes | Jamie magazine,"Shallot, bacon & double cream","https://img.jamieoliver.com/jamieoliver/recipe-database/AN9P_4gVqYH9QPmxbq6AFS.jpg?tr=w-800,h-1066","['Serves', '2']",In15 minutes,,425,25.1g,13.3g,5.8g,2.5g,29.3g,14g,2g,"1                                                                                                                                                                                                                    shallot, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2                                                                                                                                                                rashers of                                                                                                                                                                higher-welfare smoked bacon, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh flat-leaf parsley, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh thyme, 1                                                                                                                                                                knob of                                                                                                                                                                unsalted butter, 1                                                                                                                                                                                                                    fresh bay leaf, 1                                                                                                                                                                kg                                                                                                                                                                mussels                                                                                                                                                                , cleaned and debearded, from sustainable sources, 250                                                                                                                                                                ml                                                                                                                                                                Guinness, 50                                                                                                                                                                ml                                                                                                                                                                double cream","Peel and finely chop the shallot and garlic, and finely chop the bacon. Pick and finely chop the parsley and thyme., In a pan, melt the butter and sweat the shallot, garlic and bacon for 4 to 5 minutes., Add half the herbs, the bay, and a pinch of sea salt and black pepper., Next, add the mussels (if any are open, give them a tap; if they don’t close, throw them away), then the Guinness. Boil, then lower the heat, cover and steam for 3 to 5 minutes, or until the mussels have opened (discard any unopened ones)., Stir in the cream and remaining herbs, adjust the seasoning and serve with bread."
Creamy Seafood Lasagne | Seafood Recipes | Jamie Oliver,With saffron & mussel béchamel,"https://img.jamieoliver.com/jamieoliver/recipe-database/46258505.jpg?tr=w-800,h-1066","['Serves', '6']",resting time,"“It’s said that Italians don’t eat cheese and fish together, but I’ve often seen nonnas grating a wodge of Parmesan into a seafood risotto or a pot of pasta. And I thought, if they’re doing it, it must be good!  ”",755,33.8g,15.6g,8.8g,,56.8g,55.6g,,"EGG PASTA DOUGH, 300                                                                                                                                                                g                                                                                                                                                                tipo 00 flour, 3                                                                                                                                                                large                                                                                                                                                                free-range eggs or 6 yolks, FILLING AND BECHAMEL, 1                                                                                                                                                                litre                                                                                                                                                                milk, 1                                                                                                                                                                good pinch of                                                                                                                                                                saffron, 100                                                                                                                                                                g                                                                                                                                                                unsalted butter, 75                                                                                                                                                                g                                                                                                                                                                plain flour, 75                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, 500                                                                                                                                                                g                                                                                                                                                                mussels                                                                                                                                                                , from sustainable sources, 6 x 70                                                                                                                                                                g                                                                                                                                                                skinless lemon sole fillets                                                                                                                                                                , from sustainable sources, 300                                                                                                                                                                g                                                                                                                                                                skinless salmon fillets                                                                                                                                                                , from sustainable sources, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 4                                                                                                                                                                sprigs of                                                                                                                                                                fresh rosemary, 6                                                                                                                                                                                                                    quality anchovy fillets, olive oil, 6                                                                                                                                                                                                                    raw king prawns                                                                                                                                                                , from sustainable sources, unpeeled","Make your dough first. Place the flour on a board or in a bowl and make a well in the centre. Beat the egg until smooth, then pour it into the well., Using the tips of your fingers, gradually mix the egg with the flour until combined. Knead the bits of dough into one smooth lump. You can also do this step in a food processor – just whiz the flour and egg until the mixture resembles breadcrumbs. Tip onto a work surface and bring together with your hands., Knead the dough to develop the gluten; this makes your pasta springy instead of flabby when you cook it. There’s no secret to kneading – you just have to bash the dough around a bit with your hands, squashing it into the table, reshaping it, stretching it and squashing it again. Stop when your pasta starts to feel smooth and silky., Wrap in clingfilm and put in the fridge to rest for at least 30 minutes., It’s not the end of the world if you haven’t got a pasta machine, just use your rolling pin. The problem you’ll have is getting the pasta thin enough to work with. The way around this is to roll lots of small pieces. You’ll be rolling your pasta into a more circular shape than you’ll get from a machine., If using a machine, make sure it’s firmly clamped to a clean, long work surface. Dust the surface with flour, then take a lump of dough the size of a large orange and press it out flat with your fingertips., Set the pasta machine at its widest setting and roll the dough through it. Lightly dust the pasta with flour if it sticks. Click the machine down a setting and roll the dough through again., Fold the dough in half, click the machine back up to the widest setting and roll it through again. Repeat 5 or 6 times., Work the dough through all the machine’s settings, from the widest to the narrowest. Lightly dust both sides of the dough with flour every time you run it through. When you reach the narrowest setting, fold the dough in half, then in half again, then once more into a squarish piece of dough., Turn it 90 degrees and feed it through the machine at the widest setting. As you roll through the settings for the last time, you should get a silky, rectangular sheet of pasta with straight edges., For the lasagne sheets needed in this recipe, keep rolling the pasta until it’s somewhere between the thickness of a beer mat and a playing card., Cut the pasta into 6 sheets of 8cm x 30cm, and cut the rest into 8cm x 12cm sheets. It dries faster than you might think, so don’t wait more than a minute or two to cut it. Lay a damp tea towel on top of the pasta to help prevent it drying out., Preheat the oven to 180ºC/350ºF/gas 4., For the béchamel sauce, place the milk and saffron in a saucepan and bring almost to the boil., In a second pan, melt 75g of the butter. Stir in the flour to make a paste and cook for 1 to 2 minutes, stirring frequently. Add the hot milk to the pan, a ladleful at a time, whisking as you go., Gently bring to the boil, then reduce the heat and simmer for around 5 minutes, stirring occasionally, until you have a thick, smooth sauce. Finely grate and stir in most of the Parmesan and season well., Scrub and debeard the mussels, discarding any that remain open when tapped. Halve the sole fillets lengthways, then thinly slice the salmon., Melt the remaining butter in a large, deep frying pan. Peel, finely slice and fry the garlic over a medium heat for 1 minute, or until golden., Add the rosemary sprigs and anchovies to the pan and fry for a few more minutes, or until the anchovies have dissolved., Add the mussels, shake the pan and cook, covered, for 3 to 4 minutes, or until the mussels have all opened (throw away any that haven’t after this time)., Turn off the heat, then remove the mussels from their shells, putting the meat back into the pan (discard the shells). Stir to coat in the garlicky juices, discard the rosemary sprigs, then stir the mussel mixture through the béchamel sauce., Grease 6 individual baking dishes (measuring about 12cm x 16cm each) with a little oil and bring a large pan of salted water to the boil., Cook the sheets of pasta, a few pieces at a time, for about 1 minute. Remove with tongs and spread over a clean tea towel to drain., To assemble, place a long sheet of lasagne across each dish so that it overhangs the sides. Add a mixed layer of lemon sole and salmon, then spoon over a layer of the béchamel. Top with a smaller rectangle of pasta., Repeat until you get to the last of the béchamel sauce, then fold over the overhanging pasta to enclose. Top each lasagne with a king prawn, then scatter over the remaining Parmesan. Bake for 25 minutes, or until golden and bubbling at the edges. Let stand for 5 minutes before serving."
Seafood Soup | Fish Recipes | Jamie Oliver,,"https://img.jamieoliver.com/jamieoliver/recipe-database/46262944.jpg?tr=w-800,h-1066","['to', '6']",In30 minutes,,240,3.2g,0.6g,5.2g,1.3g,40.6g,7.4g,0.7g,"1                                                                                                                                                                small bulb of                                                                                                                                                                fennel, 1                                                                                                                                                                                                                    leek, 3                                                                                                                                                                sticks of                                                                                                                                                                celery, 1                                                                                                                                                                                                                    fresh red chilli, 4                                                                                                                                                                cloves of                                                                                                                                                                 garlic, 3-4                                                                                                                                                                                                                    tomatoes, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh thyme, 440                                                                                                                                                                g                                                                                                                                                                white fish, from sustainable sources, olive oil, 1                                                                                                                                                                small glass of                                                                                                                                                                white wine, 400                                                                                                                                                                g                                                                                                                                                                prawns, mussels or clams, from sustainable sources, extra virgin olive oil","Trim and finely chop the fennel, leek, celery and chilli, and peel and finely chop the garlic. Roughly chop the tomatoes, pick the thyme leaves and chop the fish into chunks., Gently cook the fennel, leek, celery, most of the chilli and the garlic in olive oil over a medium heat, until soft., Add 1 litre water and the wine, bring to the boil, then reduce heat and simmer until vegetables are cooked., Add the tomatoes, thyme and fish. When fish turns opaque, add the prawns, mussels or clams and simmer for 2 minutes until prawns are cooked and mussels are open., Season and serve with a drizzle of extra virgin olive oil and a scattering of fresh chilli."
Fish stew | Fish recipes | Jamie magazine,,"https://img.jamieoliver.com/jamieoliver/recipe-database/Bbe93weQ41Y8AREia6D7iT.jpg?tr=w-800,h-1066","['Serves', '4']",In55 minutes,,205,8.1g,1.3g,4.2g,,20.9g,6.6g,,"1                                                                                                                                                                clove of                                                                                                                                                                garlic, ½                                                                                                                                                                a                                                                                                                                                                fresh red chilli, ½                                                                                                                                                                a                                                                                                                                                                small onion, ½                                                                                                                                                                a stick of                                                                                                                                                                celery, ½                                                                                                                                                                a small                                                                                                                                                                carrot, 1                                                                                                                                                                                                                    baby leek or ¼ of a medium leek, olive oil, 1                                                                                                                                                                pinch of                                                                                                                                                                saffron, ¼                                                                                                                                                                teaspoon                                                                                                                                                                fennel seeds, 1                                                                                                                                                                pinch of                                                                                                                                                                ground cinnamon, 1                                                                                                                                                                                                                    lemon, 1                                                                                                                                                                                                                    orange, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                plum tomatoes, 150                                                                                                                                                                ml                                                                                                                                                                white wine, 1                                                                                                                                                                litre                                                                                                                                                                organic fish stock, 4                                                                                                                                                                small pieces of                                                                                                                                                                red snapper, from sustainable sources, 4                                                                                                                                                                small pieces of                                                                                                                                                                striped bass, from sustainable sources, 5                                                                                                                                                                                                                    anchovies, from sustainable sources, 12                                                                                                                                                                                                                    mussels, from sustainable sources, 12                                                                                                                                                                                                                    cockles, from sustainable sources, 4                                                                                                                                                                                                                    scallops, preferably on shell, from sustainable sources","Peel and finely slice the garlic, then finely chop the chilli. Peel the onion, then chop along with the celery, carrot and leek., Heat 1 tablespoon of oil in a pan until it starts to smoke, then add the garlic and chilli, and cook till golden., Add the onion, celery and carrot, then cook for 10 minutes, till caramelised. Add the leek and cook until soft., Stir in the spices and peel a strip of peel from the lemon and orange. Add to the pan and cook for a few minutes., Drain and roughly chop the tinned tomatoes, then add to the pan, stirring occasionally, until sweet and rich., Pour in the wine and cook out the alcohol. Add stock and simmer for about 20 minutes., Remove from the heat, purée with a hand blender, and season to taste., Wash the shellfish thoroughly under cold running water, discarding any that remain open when tapped., Reheat the soup, add the snapper, bass and anchovies, then cover and cook for 2 minutes., Add the shellfish, cover and cook until the fish is just done and the shellfish are open. Serve in hot bowls, with a little garlic mayo, if desired."
Seafood paella | Seafood recipes | Jamie magazine recipes,"Monkfish, squid, clams & mussels","https://img.jamieoliver.com/jamieoliver/recipe-database/7czfvbV5aOj8wz70UBRRN8.jpg?tr=w-800,h-1066","['Serves', '8']",10 minutes,"“It’s worth making your own prawn stock, but if you don’t have time, substitute it with fish stock that’s been simmered over a low heat and seasoned with paprika and saffron. ”",946,35.3g,5.4g,9.5g,0.8g,40.5g,111.5g,4.8g,"2                                                                                                                                                                                                                    green peppers, 2                                                                                                                                                                                                                    red peppers, 200                                                                                                                                                                ml                                                                                                                                                                olive oil, 750                                                                                                                                                                g                                                                                                                                                                monkfish, from sustainable sources, 500                                                                                                                                                                g                                                                                                                                                                squid, cleaned, from sustainable sources, 125                                                                                                                                                                g                                                                                                                                                                mussels, debearded, from sustainable sources, 125                                                                                                                                                                g                                                                                                                                                                clams, debearded, from sustainable sources, 1                                                                                                                                                                kg                                                                                                                                                                calasparra or bomba paella rice, 1                                                                                                                                                                large pinch of                                                                                                                                                                saffron, 1                                                                                                                                                                tesapoon                                                                                                                                                                paprika, 8                                                                                                                                                                large                                                                                                                                                                prawns, from sustainable sources, extra virgin olive oil, PRAWN STOCK, 1                                                                                                                                                                                                                    onion, 6                                                                                                                                                                cloves of                                                                                                                                                                garlic, olive oil, 1                                                                                                                                                                tablespoon                                                                                                                                                                paprika, 2                                                                                                                                                                                                                    fresh bay leaves, shells and heads from 30 large prawns (ask your fishmonger for these), from sustainable sources, 200                                                                                                                                                                ml                                                                                                                                                                dry white wine, 2                                                                                                                                                                litres                                                                                                                                                                organic fish stock, SOFRITO, 3                                                                                                                                                                large                                                                                                                                                                onions, 3                                                                                                                                                                cloves of                                                                                                                                                                garlic, olive oil, ½                                                                                                                                                                tablespoon                                                                                                                                                                papriks, 100                                                                                                                                                                ml                                                                                                                                                                dry white wine, 6                                                                                                                                                                                                                    ripe tomatoes","Start by making the stock. Peel and roughly chop the onion, then peel the garlic, keeping them whole., Heat 3 tablespoons of olive oil in a large pan over a medium heat and sauté the onion, garlic, paprika, bay leaves and prawn shells and heads for 10 minutes, stirring occasionally., Add the wine and fish stock and bring to the boil. Lower the heat and simmer for 30 minutes, or until it starts to reduce., Strain through a colander into a large jug and set aside until needed (when you come to make the paella, just reheat the stock until hot, but not boiling)., For the sofrito, peel and dice the onions and garlic, then add to a large frying pan over a medium-low heat with 3 tablespoons of olive oil and the paprika. Fry for 7 to 8 minutes, or until softened and golden., Pour in the wine and simmer for 1 to 2 minutes, then coarsely grate in the tomatoes, discarding the skins. Stir and cook for 5 minutes., Lower the heat and simmer for another 30 minutes, or until the mixture has thickened into a lovely sauce. Transfer to a bowl until ready to use., To make the paella, deseed and roughly chop the peppers. Cut the monkfish into large chunks, then slice the squid. Wash the mussels and clams thoroughly, discarding any that remain open when tapped., Heat half of the olive oil in a large paella pan over a medium heat and cook the peppers for 5 minutes, until softened. Transfer to a separate bowl with a slotted spoon. Set aside., Add the monkfish to the pan, season generously and cook for 10 minutes, or until tender. Set aside in a bowl., Throw the squid into the pan and cook for 1 to 2 minutes, then tip it into the bowl with the monkfish. Set aside until ready to use., Add the remaining oil to the pan, scatter in the rice in an even layer and sauté over a medium heat, stirring, for 5 minutes, or until the rice is golden., Stir the sofrito into the rice and cook for 2 minutes, then add the hot prawn stock and bring the mixture to the boil for another 2 minutes., Sprinkle the saffron and paprika over the rice, reduce the heat to low and simmer, without stirring, for 10 to 12 minutes, or until all the liquid has almost been absorbed., Arrange the peppers, monkfish, squid, prawns, mussels and clams evenly around the top of the paella. Cook for about 8 minutes, turning the prawns halfway through, or until the mussels and clams have opened (discard any that don’t) and the prawns are cooked., Drizzle with a little extra virgin olive oil, cover the pan with tin foil and a few clean tea towels and allow to rest for 5 minutes before serving."
