Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Winter greens gnocchi | Jamie Oliver recipes,Vivid black cabbage & mascarpone Gorgonzola sauce,"https://img.jamieoliver.com/jamieoliver/recipe-database/154997773.jpg?tr=w-800,h-1066","['a', 'side']",In20 minutes,"“Typically gnocchi is served like a pasta course in Italy, but unconventionally I love serving it like you would a potato side, and this is the most surprising way to celebrate winter’s brassica bounty. ”",646,29.4g,13.6g,3.5g,2.4g,18.9g,75.2g,3.4g,"50                                                                                                                                                                g                                                                                                                                                                shelled unsalted walnut halves, 400                                                                                                                                                                g                                                                                                                                                                cavolo nero, 100                                                                                                                                                                g                                                                                                                                                                mascarpone cheese, 100                                                                                                                                                                g                                                                                                                                                                Gorgonzola cheese, 800                                                                                                                                                                g                                                                                                                                                                potato gnocchi",
Festive greens gnocchi | Jamie Oliver Christmas recipes,With Gorgonzola & walnuts,"https://img.jamieoliver.com/jamieoliver/recipe-database/154714710.jpg?tr=w-800,h-1066","['a', 'side']",In40 minutes,"“Making your own gnocchi is such a nice, relaxing thing to do in the days between Christmas and New Year. These soft, light pillows have a totally different vibe to the shop-bought version, which can be great for convenience, but not what I want here. Coated in this vibrant green sauce, this is a brilliant way to get the kids eating green veg, too. Serve with crispy breadcrumbs and a milder cheese if you're feeding little ones. ”",581,30.3g,9.8g,3.4g,1.7g,23.1g,57.3g,3.6g,"800                                                                                                                                                                g                                                                                                                                                                Maris Piper potatoes, 80                                                                                                                                                                g                                                                                                                                                                plain flour                                                                                                                                                                , plus extra for dusting, 1                                                                                                                                                                                                                    free-range egg, 6                                                                                                                                                                cloves of                                                                                                                                                                garlic, 400                                                                                                                                                                g                                                                                                                                                                cavolo nero, 50                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, extra virgin olive oil, 50                                                                                                                                                                g                                                                                                                                                                shelled unsalted walnut halves, 100                                                                                                                                                                g                                                                                                                                                                Gorgonzola cheese","Wash the potatoes, chop into 5cm chunks and cook in a large pan of boiling salted water for 15 minutes, or until very tender., Drain the potatoes and steam dry for 2 minutes. Turn out onto a clean work surface, and pass through a potato ricer or coarse sieve, or simply mash with a potato masher., Add the flour and leave the potatoes to cool. Separate the egg and add the yolk, saving the white for tasty cooking another day. Season to perfection with sea salt and black pepper., Knead on a flour-dusted surface for a few minutes until pliable, then divide into 4 equal pieces and roll each into a sausage about 2cm thick., Slice into 3cm lengths, then gently roll each piece down the back of a fork or a fine grater to add grooves, which will help your sauce to stick, or simply roll into balls., Fill the empty pan with boiling kettle water and place on a high heat. Peel the garlic cloves and place them whole into the pan of water with a pinch of sea salt., Strip the cavolo nero leaves from the stalks, add to the pan and cook for 4 minutes. Finely grate the Parmesan., Use tongs to transfer the cavolo nero and garlic cloves to a food processor. Add 6 tablespoons of extra virgin olive oil, a handful of grated Parmesan and blitz until smooth. Drop the gnocchi into the boiling water and cook for 3 minutes, or until they float to the surface., Tip the sauce onto a large serving platter, sprinkle over some grated Parmesan, then use a slotted spoon to transfer the cooked gnocchi and toss to coat. Add the remaining Parmesan., Crumble over the walnuts and Gorgonzola, and serve."
Chestnut carbonara | Jamie Oliver Christmas recipes,"Smoky pancetta, creamy pecorino & black pepper sauce","https://img.jamieoliver.com/jamieoliver/recipe-database/154400349.jpg?tr=w-800,h-1066","['Serves', '2']",In15 minutes,"“Oh my days, why has it taken me so long to infiltrate one of my favourite pasta dishes with beautiful chestnuts that can be nutty, crumbly and savoury, but sweet and smooth all at the same time. ”",726,27.1g,7.6g,1.6g,1.2g,27.4g,97.7g,7.3g,"150                                                                                                                                                                g                                                                                                                                                                random leftover dried pasta, 3                                                                                                                                                                rashers of                                                                                                                                                                higher-welfare smoked pancetta or streaky bacon, 180                                                                                                                                                                g                                                                                                                                                                vac-packed chestnuts, 4                                                                                                                                                                large                                                                                                                                                                free-range eggs, 20                                                                                                                                                                g                                                                                                                                                                pecorino or Parmesan                                                                                                                                                                , plus extra to serve",
Gennaro's easy Parmesan gnocchi | Jamie Oliver recipes,With a garlicky tomato & basil sauce,"https://img.jamieoliver.com/jamieoliver/recipe-database/153135577.jpg?tr=w-800,h-1066","['Serves', '4']",In20 minutes,,,,,,,,,,"2 cloves of garlic, 1 x 400g tin of chopped tomatoes, 1 handful of fresh basil leaves, plus extra to serve, 1 cup of Tipo 00 or plain flour, plus extra for dusting, 50g Parmesan cheese, plus extra to serve, PANTRY, extra virgin olive oil, sea salt, black pepper","First make the sauce: peel and roughly chop the garlic, then add to a pan on a medium heat with 2 tablespoons of extra virgin olive oil. When the garlic starts dancing in the oil, tip in the tomatoes along with a quarter of a tin of water., Scrunch the basil (stalks and all) in your hands to bruise, then add to the pan and season with sea salt and black pepper. Lower the heat and cook for 5 minutes, stirring regularly, then switch off., In the meantime, make the gnocchi: place 1 cup (400ml) of water, a pinch of salt and 2 tablespoons of extra virgin olive oil into a non-stick saucepan and bring to the boil., Gradually stir in the flour and continue mixing for about a minute until the mixture comes away from the sides of the pan., Remove from the heat, then tip onto a floured board and wait for a minute to cool slightly. Finely grate over the Parmesan, then knead into a dough., Cut the dough into pieces, then roll each out into thin sausages and slice into small pieces (roughly 3cm). Lightly press and roll each piece down a butter pat, or simply press and roll on a board to create a cavity to catch the sauce., To cook, drop the gnocchi into a pan of salted boiling water, and when they reach the top, pick them up with a slotted spoon and add to the tomato sauce (heat through, if needed)., Serve immediately with a drizzle of extra virgin olive oil, an extra sprinkling of grated Parmesan and a few basil leaves."
Veggie pasta bake | Jamie Oliver recipes,With sweet leeks & garlicky crumb topping,"https://img.jamieoliver.com/jamieoliver/recipe-database/152866409.jpg?tr=w-800,h-1066","['Serves', '8']",In1 hour,"“When it comes to family favourites, it’s pretty hard to beat a good pasta bake. Especially when it has a deliciously crunchy garlic-breadcrumb topping! This is my brilliant veggie principle recipe – with leeks, spinach and tomato, offering you two of your 5-a-day – that you can flex to suit the ingredients you have in.  ”",529,14.8g,4.6g,13.1g,1.4g,22.9g,98.8g,3.1g,"½                                                                                                                                                                x 170g                                                                                                                                                                loaf of garlic bread, olive oil, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2                                                                                                                                                                                                                    leeks, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh basil                                                                                                                                                                , (30g), 2                                                                                                                                                                teaspoons                                                                                                                                                                dried oregano, 3                                                                                                                                                                x 400g tins of                                                                                                                                                                plum tomatoes, 500                                                                                                                                                                g                                                                                                                                                                dried pasta                                                                                                                                                                , such as orecchiette, conchiglie or gemelli, 50                                                                                                                                                                g                                                                                                                                                                Parmesan cheese                                                                                                                                                                , plus extra to serve, 8                                                                                                                                                                cubes of                                                                                                                                                                frozen spinach","Tear the garlic bread into a blender and blitz into fine crumbs, then mix in a little olive oil and set aside., Preheat the oven to 180°C/350°F/gas 4. Peel and finely slice the garlic and trim, wash and finely slice the white part of the leeks (save the green tops for tasty cooking another day – they work great in soups or stocks)., Drizzle 2 tablespoons of oil into a large shallow casserole pan over a medium heat and add the garlic. Finely slice the basil stalks, then add them to the pan, along with the dried oregano and gently fry for a couple of minutes., Add the chopped leeks to the pan, season with a pinch of sea salt and black pepper and cook gently for 10 minutes, until softened, stirring regularly and adjusting the heat to low if they start to colour., Tip in the tomatoes, breaking them up with the back of your spoon, then half-fill each tin with water, swirl around and pour into the pan. Bring to the boil, then reduce to low and leave to tick away for 15 to 20 minutes., Meanwhile, cook the pasta in a large pan of boiling salted water for 8 minutes, then drain, reserving a mugful of starchy cooking water., Tip the sauce into a blender with most of the basil leaves (reserving a few to serve) and whiz until smooth (you may need to work in batches), then season to perfection. Return the sauce to the casserole pan, stir through the cooked pasta, loosening with the reserved cooking water if needs be., Finely grate over the cheese, then nestle the frozen spinach into the pasta. Sprinkle over the garlic breadcrumbs and bake for 20 minutes, until the crumbs are golden, the pasta is tender and the sauce is blipping., When it’s cooked, let it sit for a couple of minutes, then sprinkle over the reserved basil leaves, and finish with a final grating of Parmesan. Delicious served with a crisp green salad."
Greek-Cypriot pasta | Jamie Oliver recipes,"Orzo, fresh tomato, parsley & halloumi","https://img.jamieoliver.com/jamieoliver/recipe-database/152073398.jpg?tr=w-800,h-1066","['Serves', '2']",In26 minutes,"“My Greek-Cypriot sister, Georgie, got me on to this combo, and what a ray of sunshine it has brought to our kitchen table – the kids absolutely love it! Feel free to scatter in any delicate seasonal veg. ”",559,19.7g,5.6g,10.1g,0.6g,18.9g,80.3g,5.7g,"600                                                                                                                                                                g large                                                                                                                                                                ripe tomatoes, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, ½                                                                                                                                                                a bunch of                                                                                                                                                                flat-leaf parsley                                                                                                                                                                , (15g), 200                                                                                                                                                                g                                                                                                                                                                dried orzo, 40                                                                                                                                                                g                                                                                                                                                                halloumi cheese",
Tunisian prawn spaghetti | Jamie Oliver recipes,"Fragrant rose harissa, zingy lemon & fresh parsley","https://img.jamieoliver.com/jamieoliver/recipe-database/152011429.jpg?tr=w-800,h-1066","['Serves', '2']",In22 minutes,“Tunisians are one of the biggest pasta eaters on the planet and they have a whole load of their own pasta shapes and techniques. Harissa really amplifies the sweetness of the prawns here – delicious! ”,373,9.3g,1.2g,3.2g,0.9g,19.2g,56.3g,2.8g,"150                                                                                                                                                                g                                                                                                                                                                dried spaghetti, 8                                                                                                                                                                large                                                                                                                                                                raw shell-on king prawns                                                                                                                                                                , from sustainable sources, 2                                                                                                                                                                teaspoons                                                                                                                                                                rose harissa, ½                                                                                                                                                                a bunch of                                                                                                                                                                flat-leaf parsley                                                                                                                                                                , (15g), 1                                                                                                                                                                                                                    lemon",
Greek chicken pasta | Jamie Oliver recipes,"Sweet tomato sauce, macaroni & grated halloumi","https://img.jamieoliver.com/jamieoliver/recipe-database/153401797.jpg?tr=w-800,h-1066","['Serves', '8']",30 minutes,“On the Greek island of Andros they serve variations of this undeniably delicious pasta – it’s the easiest thing to put together and the Oliver squad loves it (the teenagers thought the halloumi was peng!). ”,566,19.5g,5.7g,4.4g,0.8g,40.5g,60g,1.4g,"1                                                                                                                                                                kg                                                                                                                                                                free-range chicken thighs                                                                                                                                                                , skin on, bone in, 500                                                                                                                                                                g                                                                                                                                                                frozen chopped mixed onion, carrot and celery, 2 x 400                                                                                                                                                                g tins of                                                                                                                                                                plum tomatoes, 600                                                                                                                                                                g                                                                                                                                                                dried macaroni, 100                                                                                                                                                                g                                                                                                                                                                halloumi cheese",
Sweet pea orecchiette | Jamie Oliver recipes,Broken potatoes & grated pecorino,"https://img.jamieoliver.com/jamieoliver/recipe-database/154403194.jpg?tr=w-800,h-1066","['Serves', '4']",In30 minutes,“My family love the southern Italian orecchiette pasta shape – perfect for catching the gorgeous sweet peas – and the double carb hit of diced potato with tangy pecorino and olive oil is blissful. ”,577,15.9g,5.7g,5g,0.9g,21.9g,92.4g,6.6g,"600g potatoes, 1 bunch of spring onions, 320g frozen peas, 300g dried orecchiette, 80g pecorino cheese, plus extra to serve",
Aubergine & courgette lasagne | Jamie Oliver Cookbook Club recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/140239904.jpg?tr=w-800,h-1066","['Serves', '6']",,"“My mother used to make the most delicious lasagne – I used to get so excited when I knew it was coming. She was brilliant at making the béchamel sauce – it was always perfectly creamy but never thick and floury. The trick to this was to cook it very slowly and use equal quantities of flour and butter. This is a vegetable lasagne, but it has as much flavour as the traditional meaty offering because you roast the aubergines first. Try to use egg-based lasagne sheets as they tend to have more flavour and are not as brittle when you cook them (or, better still, make your own sheets of pasta). ”",,,,,,,,,"4                                                                                                                                                                tablespoons                                                                                                                                                                extra-virgin olive oil, 2                                                                                                                                                                                                                    red onions                                                                                                                                                                , finely sliced, 500                                                                                                                                                                g                                                                                                                                                                courgettes                                                                                                                                                                , (1lb 2oz) (zucchini), cut into 1cm (½in) rounds, 1                                                                                                                                                                clove of                                                                                                                                                                garlic                                                                                                                                                                , finely sliced, 500                                                                                                                                                                g                                                                                                                                                                tomato passata                                                                                                                                                                , (1lb 2oz), 8                                                                                                                                                                                                                    basil leaves                                                                                                                                                                , roughly torn, 3                                                                                                                                                                                                                    aubergines                                                                                                                                                                , (eggplants), sliced into 2cm (¾in) rounds, 300                                                                                                                                                                g                                                                                                                                                                egg-based dried lasagne                                                                                                                                                                , (10½oz), sea salt and freshly ground black pepper, For the béchamel, 75                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , (2½oz), 75                                                                                                                                                                g                                                                                                                                                                plain flour                                                                                                                                                                , (2½oz), 500                                                                                                                                                                ml                                                                                                                                                                whole milk                                                                                                                                                                , (17fl oz), warmed to just below boiling point, 150                                                                                                                                                                g                                                                                                                                                                Parmesan                                                                                                                                                                , (5½oz) grated, plus extra for sprinkling","Preheat the oven to 200°C/180°C fan/400°F/Gas 6. Heat 1 tablespoon of the olive oil in a non-stick frying pan over a medium heat. Once hot, add the onions, courgettes and a good seasoning of salt. Cook for 20 minutes, until the onion and courgettes are soft., Heat another tablespoon of the olive oil in a separate saucepan, then add the garlic. Fry the garlic for 30 seconds, then add the passata and cook the mixture gently for 20 minutes, until reduced by half. Season with salt and pepper, then stir through the basil., Brush both sides of the aubergine slices with olive oil and season them with salt. Place the aubergines in an even layer on a baking sheet lined with baking paper. Bake them for 15 minutes, then turn them over and bake them for a further 15 minutes. Remove the slices from the oven and, when they are cool enough to handle, cut them into halfmoons. Set them aside and leave the oven on., To make the béchamel, melt the butter in a medium saucepan over a low heat. When the butter has melted, add the flour and cook it out for a couple of minutes, stirring to combine. Next, add the hot milk and stir continuously to avoid any lumps forming. Cook the sauce gently for 20 minutes, stirring all the while, until smooth and thickened, then mix in the Parmesan and check the seasoning. Leave to one side., Mix the aubergines, courgettes, onions and tomato sauce together in a large bowl and check that everything is seasoned well., Use the remaining olive oil to oil a baking dish, then place a layer of lasagne sheets in the base of the dish. Add one-third of the vegetable mixture in an even layer, then top this with one-quarter of the béchamel sauce. Repeat this twice more, then finish with a layer of lasagne sheets and a final layer of béchamel sauce. Sprinkle the top with some more Parmesan, then bake the lasagne for 35 minutes, until the pasta is cooked and the top is golden. Serve with a little extra grated Parmesan on top, if you like."
