Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Pork & prunes | Jamie Oliver recipes,Sweet carrots & crispy rosemary crackling,"https://img.jamieoliver.com/jamieoliver/recipe-database/154403192.jpg?tr=w-800,h-1066","['Serves', '6']",15 minutes,"“The beautiful Greek island of Skopelos hails dried prunes as one of its most prized ingredients and they use them in so many tasty ways, like in this rustic stew, to bring deep sweet-savouriness. ”",671,44.8g,15.6g,19.2g,1.3g,42.2g,26.8g,5.8g,"1.5                                                                                                                                                                kg                                                                                                                                                                higher-welfare pork belly                                                                                                                                                                , skin and ribs removed and reserved (ask your butcher), ½                                                                                                                                                                a bunch of                                                                                                                                                                rosemary                                                                                                                                                                , (10g), 1                                                                                                                                                                heaped tablespoon                                                                                                                                                                ground coriander, 800                                                                                                                                                                g                                                                                                                                                                mixed-colour carrots, 200                                                                                                                                                                g                                                                                                                                                                prunes                                                                                                                                                                , (stoned)",
Spicy Sichuan pork noodles | Jamie Oliver Cookbook Club recipes,My pick of the chapter. It’s that good – and so quick!,"https://img.jamieoliver.com/jamieoliver/recipe-database/152741907.jpg?tr=w-800,h-1066","['Serves', '2']",MINUTES COOK),"“This is how you get your spicy Chinese noodle fix – fast! I’ve turned the famous Sichuan stir-fried pork with green beans dish into hellishly tasty noodles. The simple three-ingredient sauce here is one of my little secrets. It’s got it all – great savoury flavour, some rounding sweetness, and you can make it as spicy as you want. The trick is to get your green beans nicely blistered in the pan and a good bit of caramelisation on your noodles. That’s what makes this dish taste like it came straight from a restaurant wok! ”",,,,,,,,,"MY SECRET SPICY ASIAN SAUCE, 1½                                                                                                                                                                tablespoons                                                                                                                                                                oyster sauce, 1½                                                                                                                                                                tablespoons                                                                                                                                                                kecap manis, 4                                                                                                                                                                teaspoons                                                                                                                                                                sambal oelek, NOODLES, 250                                                                                                                                                                g                                                                                                                                                                fresh Shanghai or hokkien noodles, 2                                                                                                                                                                tablespoons                                                                                                                                                                vegetable oil, 2                                                                                                                                                                cups (200g)                                                                                                                                                                green beans                                                                                                                                                                , ends trimmed and cut in half, ½                                                                                                                                                                                                                    brown onion                                                                                                                                                                , finely diced, 1                                                                                                                                                                clove of                                                                                                                                                                garlic                                                                                                                                                                , finely minced, 2                                                                                                                                                                teaspoons                                                                                                                                                                ginger                                                                                                                                                                , finely minced (optional), 200                                                                                                                                                                g                                                                                                                                                                pork mince",
Pork & peppers | Jamie Oliver recipes,"Crispy artichokes, chickpeas & artichoke alioli","https://img.jamieoliver.com/jamieoliver/recipe-database/152580784.jpg?tr=w-800,h-1066","['Serves', '4']",In40 minutes,"“This is a celebration of Spanish flavours coming together in a beautiful way. Mastering a super-juicy pork chop is key, and my advice is to cook two thick chops for four, instead of four thin dry ones. ”",517,31.4g,10.4g,7.4g,2g,31.8g,26.2g,10.7g,"4                                                                                                                                                                                                                    mixed-colour peppers (make sure you have 1 red pepper), 1 x 280                                                                                                                                                                g jar of                                                                                                                                                                artichoke hearts in oil, 3                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2 x 400                                                                                                                                                                g                                                                                                                                                                higher-welfare thick pork chops                                                                                                                                                                , bone in, skin removed and reserved (ask your butcher), 1 x 700                                                                                                                                                                g jar of                                                                                                                                                                chickpeas",
Crispy pork & broccoli noodles | Jamie Oliver recipes,Quick chilli oil & bashed-up peanuts,"https://img.jamieoliver.com/jamieoliver/recipe-database/142835874.jpg?tr=w-800,h-1066","['Serves', '4']",In20 minutes,"“Homemade noodles are easier to make than you might think and they’re often cheaper than buying a packet from the shops. You only need flour and water to make these, but they take up a bit of room on your work surface, so feel free to swap in your dried noodles, if you’re short on space or time. Paired with a super-simple homemade chilli oil and gnarly pork, this is a proper treat without a takeaway price tag. ”",649,21.9g,4.1g,10.1g,1.0g,29.4g,89.4g,8.2g,"olive oil, 1                                                                                                                                                                bulb of                                                                                                                                                                garlic, 4                                                                                                                                                                cm piece of                                                                                                                                                                ginger, 1                                                                                                                                                                teaspoon                                                                                                                                                                dried chilli flakes, 2                                                                                                                                                                tablespoons                                                                                                                                                                light soy sauce, red wine vinegar, 250                                                                                                                                                                g                                                                                                                                                                minced pork, 500                                                                                                                                                                g                                                                                                                                                                plain flour                                                                                                                                                                , plus extra for dusting, 1                                                                                                                                                                head of                                                                                                                                                                broccoli (375g), 1                                                                                                                                                                                                                    small red onion, 1                                                                                                                                                                tablespoon                                                                                                                                                                runny honey, 30                                                                                                                                                                g                                                                                                                                                                salted roasted peanuts","Peel and finely chop the garlic and ginger, then place half in a heat-proof dish with the dried chilli, and put the rest aside for later., Place a large non-stick frying pan on a high heat with 4 tablespoons of olive oil. As soon as the oil starts to shimmer, pour it into the heatproof bowl to make a fragrant oil. When the sizzling subsides, add the soy sauce and 1 tablespoon of red wine vinegar, then leave to sit – the flavour will get better and better., Return the pan to a medium-low heat and add the pork, breaking it up with a wooden spoon. Cook for 5 minutes stirring occasionally, until golden and crispy., To make the noodles, pile the flour into a mixing bowl and slowly add 300ml of water to bring it together into a dough. Knead for just a couple of minutes, or until soft, shiny and elastic. On a flour-dusted surface, use a rolling pin to roll out the pasta to about 2mm thick – don’t worry if it tears or looks wonky, this dough is very forgiving. Dust it well with flour, then loosely roll it up. Use a sharp knife to slice it at 2cm intervals, then toss it with your hands to separate the strands., Meanwhile, pop a large pan of salted water on to boil. Cut the broccoli into mouth-sized florets, cracking open any big ones (this will help with cooking time), then finely slice the stalk. Halve the onion, finely chop and use it in 2 ways – add ¾ to the pork now, and add the remaining to a bowl with a splash of vinegar and some salt to make a quick pickle to be used as a garnish., When the pork is golden, increase the heat to medium-high, and stir through the remaining ginger and garlic. Add the broccoli to the salted water and cook for 5 minutes, with the lid on, then remove with a slotted spoon., Return the salted water back to the boil. Add the noodles, give them a stir and cook with the lid on for 3 minutes., At the last minute, stir the honey through the pork (this will stop it burning) to give the meat sweetness and shine, then remove from the heat., When the noodles are cooked, drain and toss them with the broccoli and the flavoured oil and divide between plates. Pour over the pork juices and scatter over the crispy pork bits from a height. Bash up and sprinkle over the peanuts, scatter with the quick-pickled onions, and serve straight away."
Meatball kebabs | Jamie Oliver recipes,"Lentils, sweet peppers & smoked paprika","https://img.jamieoliver.com/jamieoliver/recipe-database/142720241.jpg?tr=w-800,h-1066","['Serves', '4']",In45 minutes,"“Bigging up frozen spinach and store-cupboard ingredients, these flavour-packed kebabs feel like a proper treat, but they won’t blow the budget. Use this as a principle recipe – mixing up the flavours as you see fit. Check out my Easy Swaps for inspiration.  ”",453,9g,2.5g,11.1g,0.7g,26.5g,70.3g,4.4g,"100                                                                                                                                                                g                                                                                                                                                                stale sliced white bread, 250                                                                                                                                                                g                                                                                                                                                                pork mince, 2                                                                                                                                                                                                                    red onions, 2                                                                                                                                                                                                                    mixed-colour peppers, olive oil, 1 x 400g                                                                                                                                                                tin of                                                                                                                                                                green lentils, 100                                                                                                                                                                g                                                                                                                                                                long grain rice, 200                                                                                                                                                                g                                                                                                                                                                frozen spinach, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                smoked paprika                                                                                                                                                                , plus extra to serve, 4                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt","Place 4 wooden skewers into a tray of cold water to soak., Put the bread in a shallow bowl and sprinkle with 2 tablespoons of water. Leave to soak for a couple of minutes, then squeeze out any excess water. Use clean hands to scrunch the minced pork with the bread and a pinch of sea salt and black pepper. Divide into 16 pieces, then wet your hands and roll into balls., Peel and quarter the onions, then click apart into petals. Deseed the peppers and tear or chop into 3cm chunks., Cut the skewers down to size, so they fit snugly in your pan. Take pride in evenly threading the onion, pepper and meatballs onto each skewer (finely chopping any veg offcuts), then rub the kebabs with 1 teaspoon of olive oil., Drizzle 1 tablespoon of oil into a large non-stick frying pan on a medium-high heat, tip in the finely chopped veg, along with the lentils, 1 tin’s worth of water and the rice (100g). Cover and cook for 8 minutes, then stir in the spinach, cover, and cook for a further 5 minutes, or until the rice is cooked., Meanwhile, place the kebabs in your largest non-stick frying pan on a medium-high heat and cook for 12 minutes, or until golden and cooked through, sprinkling with most of the smoked paprika when there’s 2 minutes to go., Divide the lentils and rice between plates and top with the kebabs. Dollop over the yoghurt, add an extra pinch of smoked paprika and drizzle over a little paprika oil from the pan, to serve."
Mega meatloaf | Jamie Oliver recipes,"Rich tomato sauce, Cheddar cheese & fluffy mash","https://img.jamieoliver.com/jamieoliver/recipe-database/138762685.jpg?tr=w-800,h-1066","['Serves', '6']",In1 hour,"“With beautifully tender meat, oozy cheese and the most outrageous tomato sauce, this is the kind of food that makes me really happy. By elevating one of the cheapest cuts of meat with clever flavour hacks, this classic recipe works hard for you and your wallet. Plus, I’m cooking it entirely on the hob, so you don’t need to worry about turning on the oven. And with 2 of your 5-a-day per portion, it’s sure to become a firm family favourite.  ”",526,19.3g,6g,11.4g,0.9g,28.2g,63.7g,7g,"500                                                                                                                                                                g                                                                                                                                                                minced pork, 1                                                                                                                                                                                                                    large egg, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                dried oregano, 50                                                                                                                                                                g                                                                                                                                                                Cheddar cheese, 100                                                                                                                                                                g                                                                                                                                                                stale bread, olive oil, 3                                                                                                                                                                                                                    carrots, 1                                                                                                                                                                                                                    onion, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 3                                                                                                                                                                                                                    red chillies, 2                                                                                                                                                                x 400g tins of                                                                                                                                                                chopped tomatoes, 1.5                                                                                                                                                                kg                                                                                                                                                                potatoes","Put the pork, egg and 1 heaped teaspoon of oregano into a bowl. Grate in half the Cheddar, then sprinkle the bread with water and add to the mix. Add a good pinch of sea salt and black pepper, use your hands to scrunch it all together well, then shape into a loaf (roughly 20cm long)., Place a large shallow casserole pan on a medium-high heat with 1 tablespoon of olive oil and the meatloaf, turning until brown on all sides., Meanwhile, trim and slice the carrots at an angle into rough 1cm-thick chunks, adding to the pan as you go. Peel, roughly chop and add the onion and garlic. Halve the chillies lengthways and deseed, then add them to the party, along with the chopped tomatoes and remaining oregano. Season to perfection, cover, turn down the heat to low and simmer for 20 minutes, or until the meatloaf is cooked through., Meanwhile, chop the potatoes into 2.5cm chunks and place in a large pan, then just cover with water, place a lid on top and cook for 10 minutes, or until cooked through. Drain, then mash well, stir in 2 tablespoons of oil and season to perfection., Once the time’s up on the meatloaf, remove the lid, grate over the remaining Cheddar, arrange the chilli halves on top, then cover again and cook for another 2 minutes, or until the cheese has melted., Remove the meatloaf to a board and slice up, mashing the chillies into the sauce for added heat, if you like. Divide the mash between warm plates, spoon over the sauce, and serve with a slice of meatloaf and an extra grating of Cheddar, if you like."
Outrageous pulled pork | Jamie Oliver recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/137902717.jpg?tr=w-800,h-1066","['Serves', '14']",5 hours),,376,26.2g,8.4g,5.4g,0.4g,28.6g,7.2g,1.6g,"½                                                                                                                                                                                                                    a pork shoulder, bone in (4.5kg), 1                                                                                                                                                                                                                    whole nutmeg                                                                                                                                                                , for grating, 4                                                                                                                                                                                                                    red onions, 4                                                                                                                                                                                                                    large carrots, 4                                                                                                                                                                                                                    eating apples, 1                                                                                                                                                                bunch of                                                                                                                                                                sage (20g), 1                                                                                                                                                                bulb of                                                                                                                                                                garlic",
Tomato fritters | Jamie Oliver recipes,"Fragrant herbs, feta & hot chilli sauce","https://img.jamieoliver.com/jamieoliver/recipe-database/136706835.jpg?tr=w-800,h-1066","['Serves', '2']",In20 minutes,,301,17.6g,4.5g,9.9g,0.3g,10.4g,27.3g,3.8g,"250                                                                                                                                                                g                                                                                                                                                                ripe mixed-colour cherry tomatoes, ½                                                                                                                                                                a bunch of                                                                                                                                                                 flat-leaf parsley (15g), 1                                                                                                                                                                teaspoon                                                                                                                                                                dried oregano, extra virgin olive oil, red wine vinegar, 1                                                                                                                                                                                                                    red onion, 2                                                                                                                                                                heaped tablespoons                                                                                                                                                                plain flour, 1                                                                                                                                                                                                                    large egg, hot chilli sauce, 30                                                                                                                                                                g                                                                                                                                                                feta cheese, olive oil",
Rolled pork belly | Jamie Oliver recipes,"Amazing roasted fennel, sage & saffron risotto","https://img.jamieoliver.com/jamieoliver/recipe-database/136706836.jpg?tr=w-800,h-1066","['leftover', 'pork']",minutes cook),,882,41.6g,14.2g,0.6g,1.5g,41g,89.6g,8.4g,"2                                                                                                                                                                 bunches of                                                                                                                                                                 sage (40g total), olive oil, red wine vinegar, 1.7                                                                                                                                                                kg                                                                                                                                                                piece of higher-welfare boneless pork belly, skin on, scored                                                                                                                                                                , (ask your butcher), 4                                                                                                                                                                                                                    large bulbs of fennel, 500                                                                                                                                                                g                                                                                                                                                                risotto rice, 1                                                                                                                                                                big pinch of                                                                                                                                                                saffron, 150                                                                                                                                                                ml                                                                                                                                                                white wine, 60                                                                                                                                                                g                                                                                                                                                                Parmesan cheese",
Sesame Ramen with Caramelized Pork | Jamie Oliver recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/134979960.jpg?tr=w-800,h-1066","['2', 'generously']",In50 minutes,"“Being half Thai I eat more than my fair share of noodles – there’s nothing better than a bowl of warming ramen to lift the spirits and fly you off to a different continent. This recipe uses Thai red curry paste and tahini to create a spicy, rich, nutty broth. It might sound strange, but I promise it works! Sweet and savoury caramelized pork takes this dish to a whole other level. ”",,,,,,,,,"For the paste, , 6                                                                                                                                                                tablespoons                                                                                                                                                                tahini, 1                                                                                                                                                                tablespoon                                                                                                                                                                Thai red curry paste, ½                                                                                                                                                                 tablespoon                                                                                                                                                                soft brown sugar, 2                                                                                                                                                                tablespoons                                                                                                                                                                light soy sauce, 1                                                                                                                                                                tablespoon                                                                                                                                                                grated ginger                                                                                                                                                                , (approx. 6cm), For the pork, , 2                                                                                                                                                                                                                    spring onions                                                                                                                                                                , finely sliced, 1                                                                                                                                                                teaspoon                                                                                                                                                                grated ginger                                                                                                                                                                , (approx. 2cm), 1                                                                                                                                                                clove of                                                                                                                                                                garlic                                                                                                                                                                , crushed, 1                                                                                                                                                                                                                    red chilli                                                                                                                                                                , finely sliced, 200                                                                                                                                                                g                                                                                                                                                                pork mince                                                                                                                                                                , preferably 15–20% fat content, 2½                                                                                                                                                                 tablespoons                                                                                                                                                                honey, 1½                                                                                                                                                                 tablespoons                                                                                                                                                                fish sauce, For the noodles, , 2                                                                                                                                                                                                                    large eggs, 800                                                                                                                                                                ml                                                                                                                                                                chicken stock, 100                                                                                                                                                                g                                                                                                                                                                tenderstem broccoli                                                                                                                                                                , cut into 5cm pieces, 2                                                                                                                                                                portions of                                                                                                                                                                ramen or medium egg or wheat noodles, 1                                                                                                                                                                                                                    carrot                                                                                                                                                                , shredded with a julienne peeler or cut into matchsticks, 1                                                                                                                                                                                                                    spring onion                                                                                                                                                                , finely sliced",
