Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Festive greens gnocchi | Jamie Oliver Christmas recipes,With Gorgonzola & walnuts,"https://img.jamieoliver.com/jamieoliver/recipe-database/154714710.jpg?tr=w-800,h-1066","['a', 'side']",In40 minutes,"“Making your own gnocchi is such a nice, relaxing thing to do in the days between Christmas and New Year. These soft, light pillows have a totally different vibe to the shop-bought version, which can be great for convenience, but not what I want here. Coated in this vibrant green sauce, this is a brilliant way to get the kids eating green veg, too. Serve with crispy breadcrumbs and a milder cheese if you're feeding little ones. ”",581,30.3g,9.8g,3.4g,1.7g,23.1g,57.3g,3.6g,"800                                                                                                                                                                g                                                                                                                                                                Maris Piper potatoes, 80                                                                                                                                                                g                                                                                                                                                                plain flour                                                                                                                                                                , plus extra for dusting, 1                                                                                                                                                                                                                    free-range egg, 6                                                                                                                                                                cloves of                                                                                                                                                                garlic, 400                                                                                                                                                                g                                                                                                                                                                cavolo nero, 50                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, extra virgin olive oil, 50                                                                                                                                                                g                                                                                                                                                                shelled unsalted walnut halves, 100                                                                                                                                                                g                                                                                                                                                                Gorgonzola cheese","Wash the potatoes, chop into 5cm chunks and cook in a large pan of boiling salted water for 15 minutes, or until very tender., Drain the potatoes and steam dry for 2 minutes. Turn out onto a clean work surface, and pass through a potato ricer or coarse sieve, or simply mash with a potato masher., Add the flour and leave the potatoes to cool. Separate the egg and add the yolk, saving the white for tasty cooking another day. Season to perfection with sea salt and black pepper., Knead on a flour-dusted surface for a few minutes until pliable, then divide into 4 equal pieces and roll each into a sausage about 2cm thick., Slice into 3cm lengths, then gently roll each piece down the back of a fork or a fine grater to add grooves, which will help your sauce to stick, or simply roll into balls., Fill the empty pan with boiling kettle water and place on a high heat. Peel the garlic cloves and place them whole into the pan of water with a pinch of sea salt., Strip the cavolo nero leaves from the stalks, add to the pan and cook for 4 minutes. Finely grate the Parmesan., Use tongs to transfer the cavolo nero and garlic cloves to a food processor. Add 6 tablespoons of extra virgin olive oil, a handful of grated Parmesan and blitz until smooth. Drop the gnocchi into the boiling water and cook for 3 minutes, or until they float to the surface., Tip the sauce onto a large serving platter, sprinkle over some grated Parmesan, then use a slotted spoon to transfer the cooked gnocchi and toss to coat. Add the remaining Parmesan., Crumble over the walnuts and Gorgonzola, and serve."
Air-fryer bubble and squeak | Jamie Oliver Christmas recipes,Put lovely leftovers to good use,"https://img.jamieoliver.com/jamieoliver/recipe-database/154640293.jpg?tr=w-800,h-1066","['Serves', '2']",In20 minutes,,398,15.5g,1.6g,18g,0g,7.3g,60.6g,11.6g,"300                                                                                                                                                                g                                                                                                                                                                leftover roast potatoes, 300                                                                                                                                                                g                                                                                                                                                                leftover cooked veg                                                                                                                                                                , such as carrots, swede, turnips, parsnips, Brussels sprouts, kale, 4                                                                                                                                                                sprigs of                                                                                                                                                                fresh woody herbs                                                                                                                                                                , such as rosemary, sage, thyme, olive oil","Place the veg in a large bowl and mash well with a potato masher (or use clean hands), then shape into 6 even-sized 3cm-thick patties., Meanwhile, pick the fresh herb leaves, and toss in ½ a tablespoon of olive oil., Arrange the patties in air-fryer* in a single layer. Cook at 190°C for 15 minutes or until beautifully crisp, scattering over the herbs for the final 5 minutes."
Ultimate roast potatoes | Jamie Oliver Christmas recipes,Golden & delicious,"https://img.jamieoliver.com/jamieoliver/recipe-database/154595696.jpg?tr=w-800,h-1066","['a', 'side']",In2 hours,"“When it comes to the perfect roasties, I always start with Maris Pipers. They are unbeatable for perfectly fluffy potatoes, with a crispy crunchy exterior. There are a few ways you can add incredible flavour to your roasties: I always go for punchy garlic and fresh rosemary with my spuds, and you can amplify that flavour with a delicious combo of turkey dripping, butter and oil.  ”",247,6.4g,2g,1.6g,0.3g,5.4g,44.2g,3.4g,"2.5                                                                                                                                                                kg                                                                                                                                                                Maris Piper potatoes, 2                                                                                                                                                                tablespoons                                                                                                                                                                turkey dripping, 1                                                                                                                                                                knob of                                                                                                                                                                unsalted butter, olive oil, 1                                                                                                                                                                bulb of                                                                                                                                                                garlic, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh rosemary                                                                                                                                                                , (15g)",
Potato croquettes | Jamie Oliver Cookbook Club recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/154384945.jpg?tr=w-800,h-1066","['Serves', '6']",,"“When I was 12, we lived in Italy for a year and at one point I had stomach flu and was laid up in bed for a few days. Obviously, during that time, I ate very little, because I had no interest in eating. But as I started to feel better and became more and more hungry, I craved only one thing – these potato croquettes. I don’t know why, but I couldn’t stop thinking about them. When I was finally healthy enough to get to the kitchen, I asked my mother if she would make some for me – and, being a great mother, she did. I devoured them. These little savoury treats are still one of my favourite recipes and, whether you are recovering from stomach flu or in perfect health, I promise you will find them delicious. They are also very simple to make and can be served as an appetiser, a side dish or just something to snack on. They are a moreish comfort food for me and will be for you as well. Enjoy. ”",,,,,,,,,"4                                                                                                                                                                medium-sized                                                                                                                                                                floury potatoes                                                                                                                                                                , peeled and quartered, 2                                                                                                                                                                large                                                                                                                                                                eggs                                                                                                                                                                , beaten, 50                                                                                                                                                                g                                                                                                                                                                plain dried breadcrumbs, 2                                                                                                                                                                tablespoons                                                                                                                                                                plain flour, 3                                                                                                                                                                tablespoons                                                                                                                                                                finely grated Pecorino Romano cheese, 1                                                                                                                                                                tablespoon                                                                                                                                                                chopped flat-leaf parsley, sea salt, 60                                                                                                                                                                ml                                                                                                                                                                olive oil                                                                                                                                                                , plus more as needed","Place the potatoes in a large saucepan and fill with enough water to cover. Bring to a boil and cook until they are tender when pierced with a fork, about 15-20 minutes., Drain the potatoes and mash them in a bowl with a potato masher. Add the eggs, breadcrumbs, flour, cheese, parsley and salt to taste. Mix them with your hands to make a firm, dry mixture, adding more breadcrumbs or flour as necessary., Heat the olive oil in a small frying pan (about 20cm in diameter) set over a medium heat. Roll tablespoons of the dough between the palms of your hands to form logs 4-5cm long. When the oil is hot but not smoking, add a few croquettes to the pan and fry until lightly browned on all sides, about 6 minutes., Transfer the cooked croquettes to a plate lined with paper towels to drain before serving. Continue to cook the croquettes in small batches. Add more oil to the pan if necessary, being sure to allow it to heat up before adding the croquettes. The croquettes are best served immediately, but they can be made ahead of time and reheated in the oven if necessary."
Easy potato dauphinoise | Jamie Oliver recipes,Parmesan & garlic,"https://img.jamieoliver.com/jamieoliver/recipe-database/153568502.jpg?tr=w-800,h-1066","['Serves', '6']",In30 minutes,"“Potato dauphinoise doesn't need to be a labour of love – this easy version is on the table in just 30 minutes. If you're after a next-level side dish for roast dinners, Christmas or Thanksgiving, this ticks a lot of boxes. ”",330,18.4g,9.3g,3.3g,0.8g,10.4g,32.7g,2.9g,"1                                                                                                                                                                                                                    onion, 1                                                                                                                                                                kg                                                                                                                                                                Maris Piper potatoes, 1                                                                                                                                                                whole                                                                                                                                                                nutmeg                                                                                                                                                                , for grating, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1 x 300                                                                                                                                                                ml tub of                                                                                                                                                                single cream, 4                                                                                                                                                                                                                    anchovies in oil                                                                                                                                                                , from sustainable sources (optional), 75                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, 2                                                                                                                                                                                                                    fresh bay leaves, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh rosemary, thyme or sage                                                                                                                                                                , (10g)","Preheat the oven to 200°C/400°F/gas 6., Peel and halve the onion. Wash and finely slice the potatoes, then very finely slice with the onion using patient knife skills, on a mandolin (use the guard!) or in a food processor., Tip the potatoes and onion into a large sturdy roasting tray and season with a pinch of sea salt and black pepper. Grate over a few scrapings of nutmeg and crush in the unpeeled garlic cloves and pour in the single cream., Tear in the anchovies (if using) and finely grate over most of the Parmesan. Add the bay leaves, pick in the herbs and add 2 tablespoons of olive oil. Use your clean hands to mix and toss everything together, then put the tray over a medium heat. Pour in 300ml of boiling kettle water, cover tightly with tin foil and leave on the heat for 5 minutes., Remove the tin foil. Finely grate over the remaining Parmesan. Drizzle the remaining thyme sprigs with oil, scatter on top and put into the oven on the top shelf to cook for 30 minutes, or until golden brown and bubbling."
Air-fryer baked potato skins | Jamie Oliver recipes,"Stuffed with goat’s cheese, spinach & red pepper","https://img.jamieoliver.com/jamieoliver/recipe-database/152580630.jpg?tr=w-800,h-1066","['Serves', '2']",MINUTES COOK),,372,15g,5.2g,7.0g,1.2g,12.4g,49.3g,5.3g,"160                                                                                                                                                                g                                                                                                                                                                frozen leaf spinach, 2                                                                                                                                                                                                                    baking potatoes                                                                                                                                                                , (250g each), olive oil, 1                                                                                                                                                                                                                    long red pepper, 60                                                                                                                                                                g                                                                                                                                                                crumbly goat’s cheese, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                pesto, Parmesan cheese                                                                                                                                                                , for grating (optional)","Take the spinach out of the freezer and place on a plate to start defrosting., Use a sharp knife to prick the potatoes a few times, then rub each potato with 1 teaspoon of olive oil and sprinkle with sea salt., Place the potatoes in the air-fryer* in a single layer and cook at 180°C for 40 minutes or until soft, turning them over halfway and placing the pepper alongside for the final 10 minutes., Transfer the potatoes to a chopping board and leave to cool slightly., Once cool enough to handle, carefully peel off and discard the pepper skin, then halve the flesh lengthways and scrape out and discard the seeds. Roughly chop the flesh and place in a mixing bowl., Once the spinach has defrosted, squeeze out the excess water, roughly chop and add to the mix. Crumble in the goat’s cheese and stir in the pesto., Halve the baked potatoes horizontally, then use a spoon to scoop out the fluffy insides into the bowl – leave around ½cm of potato around the edges so the baked potato keeps its shape. Mix together, gently mashing the potato as you go, then season to perfection. Spoon the mixture into the potato skins, then grate over a little Parmesan, if using., Return the stuffed potato skins back to the air fryer basket and cook at 180°C for a final 10 minutes, or until crispy and hot through., *Tested in a 4.2-litre air-fryer. All air-fryers are different, so results may vary."
Quick salt cod | Jamie Oliver recipes,"Crispy potatoes, silky eggs, parsley & olive tapenade","https://img.jamieoliver.com/jamieoliver/recipe-database/152012103.jpg?tr=w-800,h-1066","['Serves', '2']",In30 minutes,"“Although Portugal doesn’t have a coastline in the Med, they’re included, and this take on fish and chips, inspired by bacalhau à Brás, is my stripped-back version of their much-loved comfort food dish. ”",377,16.2g,2.9g,1.1g,1.8g,37.4g,22g,2.2g,"2 x 150                                                                                                                                                                g                                                                                                                                                                cod fillets                                                                                                                                                                , skin on, scaled, pin-boned, from sustainable sources, 500                                                                                                                                                                g                                                                                                                                                                Maris Piper potatoes, 2                                                                                                                                                                large                                                                                                                                                                free-range eggs, ½                                                                                                                                                                a bunch of                                                                                                                                                                flat-leaf parsley                                                                                                                                                                , (15g), 2                                                                                                                                                                teaspoons                                                                                                                                                                black olive tapenade",
Potato bombas | Jamie Oliver recipes,"Crispy crumb, oozy Manchego & spicy tomato sauce","https://img.jamieoliver.com/jamieoliver/recipe-database/154403195.jpg?tr=w-800,h-1066","['Serves', '6']",In45 minutes,"“I tried a secret recipe for potato bombas at a famous breakfast restaurant called La Cova Fumada in Barcelona, and wanted to create my own version, turning the humble potato into a thing of wonder. ”",336,13.6g,6g,4.6g,1g,13.7g,41.1g,2.5g,"4                                                                                                                                                                large                                                                                                                                                                potatoes                                                                                                                                                                , (1kg), 2                                                                                                                                                                large                                                                                                                                                                free-range eggs, 150                                                                                                                                                                g                                                                                                                                                                Manchego cheese, 100                                                                                                                                                                g                                                                                                                                                                fresh breadcrumbs, 1                                                                                                                                                                x 400g jar of                                                                                                                                                                arrabbiata sauce",
Chicken & chips | Jamie Oliver recipes,"Sticky onions, jammy roasted lemon & fresh oregano","https://img.jamieoliver.com/jamieoliver/recipe-database/154403237.jpg?tr=w-800,h-1066","['Serves', '4']",18 minutes,"“There’s something wonderfully humble about the combo of chicken and potatoes, and inspired by my trips to Greece, this expression of something we know and love is guaranteed to please. ”",615,30.2g,7.2g,6.8g,0.9g,38g,50.8g,4.6g,"1kg red-skinned potatoes, 2 onions, 1 bunch of oregano (20g), 2 lemons, 4 x 250g free-range chicken legs",
Pot-roast chicken | Jamie Oliver recipes,"Fondant potatoes, herby salsa, roasted garlic","https://img.jamieoliver.com/jamieoliver/recipe-database/154403264.jpg?tr=w-800,h-1066","['Serves', '4']",35 minutes,"“Herby salsas are much loved in Catalan cooking, so, inspired by a recent trip to Barcelona, I’ve embellished this chicken and these rich, stock-cooked potatoes with a vibrant nutty number. ”",669,27.2g,5.6g,2g,1.1g,62.9g,45.7g,4g,"1 x 1.5kg whole free-range chicken, 1kg potatoes, 1 bunch of flat-leaf parsley (30g), 1 bulb of garlic, 40g blanched hazelnuts",
