Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Epic prawns & beans | Jamie Oliver recipes,Harissa & garlicky sourdough croutons,"https://img.jamieoliver.com/jamieoliver/recipe-database/154993601.jpg?tr=w-800,h-1066","['Serves', '2']",In20 minutes,"“Such a quick and delicious meal – the bright red colour of Tunisian harissa never fails to brighten up a humble jar or tin of beans. To contrast that, simply cooked garlicky prawns and croutons. Wow! ”",431,10.5g,1.6g,2.2g,1.8g,40.5g,38.7g,8.4g,"175g sourdough bread, 300g large raw peeled king prawns, from sustainable sources, 6 cloves of garlic, ½ x 700g jar or 1 x 400g tin of cannellini beans, 1 tablespoon harissa or rose harissa",
Tunisian prawn spaghetti | Jamie Oliver recipes,"Fragrant rose harissa, zingy lemon & fresh parsley","https://img.jamieoliver.com/jamieoliver/recipe-database/152011429.jpg?tr=w-800,h-1066","['Serves', '2']",In22 minutes,“Tunisians are one of the biggest pasta eaters on the planet and they have a whole load of their own pasta shapes and techniques. Harissa really amplifies the sweetness of the prawns here – delicious! ”,373,9.3g,1.2g,3.2g,0.9g,19.2g,56.3g,2.8g,"150                                                                                                                                                                g                                                                                                                                                                dried spaghetti, 8                                                                                                                                                                large                                                                                                                                                                raw shell-on king prawns                                                                                                                                                                , from sustainable sources, 2                                                                                                                                                                teaspoons                                                                                                                                                                rose harissa, ½                                                                                                                                                                a bunch of                                                                                                                                                                flat-leaf parsley                                                                                                                                                                , (15g), 1                                                                                                                                                                                                                    lemon",
Sea & mountain skewers | Jamie Oliver recipes,"Prawns, ham & mushrooms, burnt leeks & creamy beans","https://img.jamieoliver.com/jamieoliver/recipe-database/152011887.jpg?tr=w-800,h-1066","['Serves', '2']",In45 minutes,"“Right the way across the Mediterranean, foods from the sea and mountains collide in truly beautiful ways. And, even more fascinatingly, the friendship between prawns and mushrooms here is divine. ”",589,31.4g,5.5g,5.3g,1.2g,36.6g,40.1g,13.3g,"2                                                                                                                                                                medium                                                                                                                                                                leeks, 8                                                                                                                                                                large                                                                                                                                                                raw shell-on king prawns                                                                                                                                                                , from sustainable sources, 160                                                                                                                                                                g                                                                                                                                                                mixed mushrooms, 40                                                                                                                                                                g                                                                                                                                                                higher-welfare Pata Negra or quality Spanish ham, 1                                                                                                                                                                x 700g                                                                                                                                                                jar of white beans",
Crispy prawn parcels | Jamie Oliver recipes,"Delicate golden pastry, harissa oil & zingy lemon","https://img.jamieoliver.com/jamieoliver/recipe-database/150909358.jpg?tr=w-800,h-1066","['little', 'briks)']",In45 minutes,"“My job in this recipe was to make an achievable pastry, similar to the classic brik pastry I tasted in Tunisia, but have struggled to make for years. This is super-fun, just be confident and give it a go. ”",440,17.1g,2.6g,1.4g,1.2g,26.8g,47.7g,2.3g,"250                                                                                                                                                                g                                                                                                                                                                strong bread flour, 400                                                                                                                                                                g                                                                                                                                                                large raw peeled king prawns                                                                                                                                                                , from sustainable sources, 1                                                                                                                                                                                                                    large free-range egg, 1                                                                                                                                                                                                                    lemon, 2                                                                                                                                                                tablespoons                                                                                                                                                                rose harissa",
Signature curry laksa | Jamie Oliver recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/129998460.jpg?tr=w-800,h-1066","['Serves', '6']",,"“Laksa is one of the most popular hawker-stall meals as it is labour intensive, though completely possible, to make at home. This is my signature curry laksa, with a strong chilli and shrimp kick, served at the restaurant. It is based on a campur- or kahwin-style laksa found in Malacca – a cross between Kuala Lumpur’s curry laksa and Penang’s fiery assam laksa. The soup has a powerful shrimp base. I recommend starting this recipe a day before you want to eat it to give the fried-off laksa paste a chance to fully mature overnight, and also especially if making your own chicken stock. The noodles are best blanched just before serving. Like any good curry, the broth develops in flavour if left overnight. ”",,,,,,,,,"150                                                                                                                                                                ml (scant ⅔ cup)                                                                                                                                                                oil, 300                                                                                                                                                                g (10½oz)                                                                                                                                                                onion                                                                                                                                                                , roughly chopped, 8                                                                                                                                                                cm (3in)                                                                                                                                                                ginger                                                                                                                                                                , roughly chopped, 8                                                                                                                                                                                                                    garlic cloves, 3                                                                                                                                                                                                                    red chillies, roughly chopped, 15                                                                                                                                                                                                                    dried chillies                                                                                                                                                                , soaked in hot water for 30 minutes before using and then drained, 1½                                                                                                                                                                tablespoon                                                                                                                                                                ground cumin, 1½                                                                                                                                                                tablespoon                                                                                                                                                                 ground turmeric, 3                                                                                                                                                                tablespoons                                                                                                                                                                ground coriander, 3                                                                                                                                                                tablespoons                                                                                                                                                                chilli powder, 25                                                                                                                                                                g (1 tablespoon)                                                                                                                                                                shrimp paste, LAKSA BROTH, , 1.7                                                                                                                                                                litres (7¾ cups)                                                                                                                                                                chicken stock (bouillon), 800                                                                                                                                                                ml (3½ cups)                                                                                                                                                                coconut milk, 70                                                                                                                                                                g (2½oz)                                                                                                                                                                good-quality caramelized palm sugar or dark brown sugar, 2                                                                                                                                                                tablespoons                                                                                                                                                                salt                                                                                                                                                                 , (or less), to taste, 3                                                                                                                                                                tablespoons                                                                                                                                                                tamarind paste, 50                                                                                                                                                                g (1¾oz)                                                                                                                                                                bunch of laksa leaves, or mint or coriander (cilantro) as a substitute, 2                                                                                                                                                                                                                    lemongrass stalks                                                                                                                                                                , cut in half then pounded lightly with a pestle to bruise, ASSEMBLING THE BOWLS, , 6                                                                                                                                                                                                                    free-range eggs, 12                                                                                                                                                                                                                    deep-fried tofu puffs                                                                                                                                                                , cut into half, 120                                                                                                                                                                g (4¼oz)                                                                                                                                                                green beans                                                                                                                                                                , cut into 5cm (2in) lengths, 200                                                                                                                                                                g (7oz)                                                                                                                                                                beansprouts, 24                                                                                                                                                                                                                    king prawns (jumbo shrimp)                                                                                                                                                                , deshelled and deveined, 600                                                                                                                                                                g (1lb 5oz)                                                                                                                                                                fresh egg noodles, 1                                                                                                                                                                handful of                                                                                                                                                                laksa leaves, or mint or coriander (cilantro) leaves, finely sliced, to garnish",
Surf & turf | Jamie Oliver recipes,With a refreshing mango & coconut salad,"https://img.jamieoliver.com/jamieoliver/recipe-database/125966465.jpg?tr=w-800,h-1066","['Serves', '4']",plus marinating,"“A perfectly cooked steak and juicy marinated prawns, grilled to perfection, is a brilliant combo. My cooking method on the barbecue allows the prawns to cook quicker, take on more flavour and look a whole lot cooler. Ask your butcher to cut you a thick, double steak so you can get it gnarly on the outside and blushing on the inside.
 ”",533,28.3g,13g,9.4g,1.3g,47.9g,21.9g,3.8g,"SURF & TURF, 12                                                                                                                                                                                                                    raw prawns                                                                                                                                                                , shell on, from sustainable sources, 1                                                                                                                                                                                                                    lime, 2                                                                                                                                                                teaspoons                                                                                                                                                                Keralan spice paste, olive oil, 1 x 3                                                                                                                                                                cm-thick                                                                                                                                                                sirloin steak                                                                                                                                                                , (600g), 2                                                                                                                                                                                                                    flatbreads                                                                                                                                                                , to serve, SALAD, 2                                                                                                                                                                                                                    limes, 1                                                                                                                                                                                                                    Scotch bonnet                                                                                                                                                                 , optional, 1                                                                                                                                                                                                                    mango, 1                                                                                                                                                                                                                    carrot, 4                                                                                                                                                                                                                    spring onions, 1                                                                                                                                                                handful of                                                                                                                                                                roasted cashew nuts, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (15g), ½                                                                                                                                                                a                                                                                                                                                                fresh coconut                                                                                                                                                                , (100g)","To butterfly the prawns, peel off the inner part of the shell, keeping the heads and tails on (there’s loads of flavour in there). Carefully run a sharp knife down the back of the prawns and use the tip of the knife to pull out the vein and discard. Repeat with the remaining prawns., To make the marinade, squeeze the juice of the lime into a large bowl with the spice paste and 1 tablespoon of olive oil, and mix well. Add the prawns and toss them all in the marinade. Set aside for 30 minutes to 1 hour., Light your barbecue and let it calm down. Make sure you’ve got your coals high on one side and low on the other for control., To prepare the steak, lightly score through the fat, then rub all over with ½ a tablespoon of olive oil, a pinch of sea salt and plenty of black pepper., Place the steak onto the cooler part of the barbecue, fat side down, for 5 minutes, to render the fat., Move the steak to the hotter part of the barbecue and continue to cook, fat side down, until crispy. Turn the steak onto one side and cook for 4 minutes on each side, until medium rare. Remove to a plate to rest., Meanwhile, lay the prawns on the barbecue, with the tails on the cooler end and the heads on the hotter end and cook for 3 minutes on each side., To make the salad, zest 1 lime into a large bowl and squeeze in the juice of both limes. Add 2 tablespoons of olive oil and season with a pinch of sea salt and black pepper. Cut a few slices off the Scotch bonnet, if you like (mind how you go, it’s got quite a kick!)., Peel, destone and roughly chop the mango and add to the bowl, squeezing any excess juice from the seed., Coarsely grate in the carrot (or finely slice if you want to practise your knife skills) and trim and finely slice the spring onions. Add to the bowl with the cashews., Pick the mint leaves and finely slice. Bash the coconut open (be very careful of your fingers!) and carefully remove the flesh from the shell. Coarsely grate in half of the coconut, add the mint leaves and use your hands to toss everything together., To serve, transfer the steak and prawns to a board and serve with the salad and warmed flatbreads for sharing."
Jamestown grilled prawns | Prawn recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/125321182.jpg?tr=w-800,h-1066","['prawns', 'each)']",,"“Grilling over charcoal is the favoured way to cook most fish and seafood in Ghana – especially along the Accra coastline where there is an abundance of fresh seafood, and up into the region alongside Lake Volta. This recipe is inspired by my experience in Jamestown, Accra, where I watched the local fishermen hauling in their catches. ”",,,,,,,,,"1                                                                                                                                                                kg                                                                                                                                                                raw king prawns or tiger prawns                                                                                                                                                                , (2lb 4oz), 4                                                                                                                                                                tablespoons                                                                                                                                                                coconut oil, 1                                                                                                                                                                                                                    onion                                                                                                                                                                , finely shredded or grated, 2                                                                                                                                                                                                                    lemons                                                                                                                                                                , zest and juice, 2                                                                                                                                                                tablespoons                                                                                                                                                                chopped fresh thyme leaves, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                ground ginger                                                                                                                                                                , or grated fresh root ginger, 1                                                                                                                                                                teaspoon                                                                                                                                                                grated garlic, 2                                                                                                                                                                teaspoons                                                                                                                                                                ground hot pepper                                                                                                                                                                , or substitute with cayenne pepper, to taste, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                dried ground prawn/shrimp powder, 1                                                                                                                                                                teaspoon                                                                                                                                                                sea salt","Wash the prawns and remove the heads but leave the shells on for a more dramatic presentation. Butterfly the prawns so that you create a greater surface area for your seasoning: using a sharp knife, score down the belly and open out. This will also enable you to devein the prawns. Rinse thoroughly and pat dry. You can ask your fishmonger to prepare the prawns for you, if you prefer., Put 2 tablespoons of the coconut oil in a bowl with all the remaining ingredients and mix well. Add the prepared prawns and gently turn to coat them all over with the marinade. If you have time, cover the bowl with cling film and leave in the fridge for 30 minutes to soak up the marinade while you light your charcoal barbecue and the coals have burnt down until covered in a grey ash (see tips, below). Alternatively, preheat a gas barbecue to medium-high., Once the barbecue is ready for cooking, thread the prawns onto skewers (see tip, below)., Brush the barbecue grill well with some of the reserved coconut oil and also drizzle the oil over the skewers, coating each side. Add the skewers to the grill and cook for 3 to 4 minutes on each side."
Sizzling crêpes with prawns | Prawn recipes,BÁNH XÈO TÔM,"https://img.jamieoliver.com/jamieoliver/recipe-database/122482523.jpg?tr=w-800,h-1066","['Makes', '6']",,"“Bánh xèo is a light savoury crêpe, eaten with an abundance of salad leaves and herbs. There’s a knack to eating these: gather a palmful of leaves and herbs into your hand, break off some crêpe onto the leaves, then roll it up and dip it into the sauce. You can vary the filling.

You’ll need a 20cm (8in) non-stick frying pan (skillet) with a lid for this recipe.
 ”",,,,,,,,,"FISH SAUCE (NƯỚC MẮM), 2                                                                                                                                                                                                                    bird’s eye chillies                                                                                                                                                                , finely chopped, 2                                                                                                                                                                                                                    garlic cloves                                                                                                                                                                , crushed, 3                                                                                                                                                                tablespoons                                                                                                                                                                caster (superfine) sugar, 3                                                                                                                                                                tablespoons                                                                                                                                                                white wine vinegar, 4                                                                                                                                                                tablespoons                                                                                                                                                                fish sauce, 80                                                                                                                                                                ml (2½fl oz/5 tablespoons)                                                                                                                                                                hot water, CRÊPE BATTER, 100                                                                                                                                                                g (3½oz/1 cup)                                                                                                                                                                rice flour                                                                                                                                                                ,  (Asian Rose Brand, or any non-glutinous), 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                ground turmeric, 200                                                                                                                                                                ml (7fl oz)                                                                                                                                                                coconut milk, 200                                                                                                                                                                ml (7fl oz)                                                                                                                                                                water, 1                                                                                                                                                                                                                    spring onion                                                                                                                                                                , (scallion), thinly sliced, ½                                                                                                                                                                teaspoon                                                                                                                                                                sea salt, 1                                                                                                                                                                pinch of                                                                                                                                                                caster (superfine) sugar, vegetable oil                                                                                                                                                                , or coconut oil, for frying, FILLING, 2                                                                                                                                                                                                                    round shallots                                                                                                                                                                , thinly sliced, 200                                                                                                                                                                g (7oz)                                                                                                                                                                king prawns                                                                                                                                                                , shelled, de-veined and halved, 100                                                                                                                                                                g (3½oz)                                                                                                                                                                beansprouts, 50                                                                                                                                                                g (2oz)                                                                                                                                                                garlic chives                                                                                                                                                                , or coriander (cilantro) (optional), sea salt, freshly ground black pepper, TO GARNISH, lettuce leaves, spring onions                                                                                                                                                                , (scallions), cut into short lengths, a variety of Asian herbs                                                                                                                                                                , such as coriander (cilantro), Thai sweet basil, garden mint, perilla (shiso), cockscomb","Wash and dry the salad leaves and set them aside., To make the fish sauce, mix all the ingredients together well and set aside., Next, make the crêpe batter. Mix together the flour, turmeric, coconut milk, water, spring onion, salt and sugar in a bowl, making sure it is smooth and free of lumps. It should resemble the consistency of single cream., To make the filling, heat 1 teaspoon of oil in a frying pan (skillet) over a medium–high heat and fry a few slices of shallot until golden. Season the prawns with salt and pepper and add a couple of pieces to the pan for a minute., Using a shallow ladle, pour in a thin layer of the crêpe batter, swivelling the pan to get it covered all around the edges. Add a handful of beansprouts and chives and cover the pan with the lid. Keep the steam in and allow to cook for 2 minutes with the lid on., Remove the lid and cook for a further minute, making sure the crêpe is crisp and golden. Fold the crêpe in half, serve or set aside. Repeat this process with the remaining shallots, batter and other ingredients to make the rest of the crêpes."
Creamy prawn linguine | Jamie Oliver recipes,"Smoked pancetta, garlic, rocket & a kiss of red wine","https://img.jamieoliver.com/jamieoliver/recipe-database/119338870.jpg?tr=w-800,h-1066","['Serves', '2']",In15 minutes,"“Elegant, delicious and on the table in just 15 minutes – this prawn pasta hits the spot and feels a bit posh, too. By finely chopping most of the prawns, they’ll stick beautifully to the linguine, in turn creating sweetness and texture.  ”",514,19.1g,7.5g,3.2g,0.9g,28.3g,56.3g,2.6g,"150                                                                                                                                                                g                                                                                                                                                                dried linguine, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 160                                                                                                                                                                g                                                                                                                                                                raw peeled king prawns                                                                                                                                                                , from sustainable sources, 4                                                                                                                                                                rashers of                                                                                                                                                                higher-welfare smoked pancetta, olive oil, 50                                                                                                                                                                ml                                                                                                                                                                Italian red wine, 1                                                                                                                                                                heaped tablespoon                                                                                                                                                                mascarpone cheese, 50                                                                                                                                                                g                                                                                                                                                                rocket, 10                                                                                                                                                                g                                                                                                                                                                Parmesan cheese",
Easy prawn curry | Jamie Oliver recipes,"Garlic, ginger, fresh chilli & a simple fluffy rice cake","https://img.jamieoliver.com/jamieoliver/recipe-database/119211144.jpg?tr=w-800,h-1066","['Serves', '4']",In20 minutes,"“This fragrant, perfumed curry has just the right amount of heat, allowing the delicate flavour of the prawns to still sing out. I love to serve it with a fluffy rice cake for a delicious quick and simple supper.  ”",385,2.7g,1.3g,8.1g,1.4g,22.1g,72.2g,0.9g,"1                                                                                                                                                                mug of                                                                                                                                                                basmati rice                                                                                                                                                                , (300g), 4                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                                                                    fresh red chilli, 4                                                                                                                                                                cm piece of                                                                                                                                                                ginger, 1                                                                                                                                                                bunch of                                                                                                                                                                spring onions, olive oil, 2                                                                                                                                                                tablespoons                                                                                                                                                                mango chutney, 320                                                                                                                                                                g                                                                                                                                                                 raw peeled king prawns                                                                                                                                                                , from sustainable sources, 150                                                                                                                                                                g                                                                                                                                                                natural yoghurt",
