Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Perfect poached rhubarb | Jamie Oliver recipes,With ginger & thyme,"https://img.jamieoliver.com/jamieoliver/recipe-database/134449728.jpg?tr=w-800,h-1066","['Serves', '12']",In15 minutes,"“Rhubarb season is one of the highlights of the year, and this is my really simple and reliable way to prep and cook this glorious vegetable. ”",112,0.2g,0g,27.6g,0g,1.6g,28g,2.4g,"2                                                                                                                                                                kg                                                                                                                                                                rhubarb, 5                                                                                                                                                                cm piece of                                                                                                                                                                ginger, 300                                                                                                                                                                g                                                                                                                                                                sugar, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh thyme                                                                                                                                                                , (20g) optional","Trim and slice 2kg of rhubarb into 1cm slices then place in a large, deep pan., Peel and grate in a 5cm piece of ginger, then add 300g of sugar and 1 bunch of fresh thyme (20g), if using, and stir well., Place the pan on a medium-high heat and bring to the boil. Simmer for 12 to 15 minutes, stirring occasionally, until soft and syrupy. At this point you have perfectly poached rhubarb – you could simmer for 20 minutes more for a delicious rhubarb compote., Remove the pan from the heat, fish out the thyme, if using, and leave to cool."
Rhubarb & custard tart | Jamie Oliver recipes,Crumbly sweet pastry & flaked almonds,"https://img.jamieoliver.com/jamieoliver/recipe-database/134397325.jpg?tr=w-800,h-1066","['Serves', '10']",plus chilling,"“Perfect poached rhubarb in a crumbly pastry tart case, with a layer of creamy custard – yes please!  ”",580,27.1g,13.8g,35.5g,0.2g,10.9g,77.6g,3.5g,"PASTRY & TOPPING, 500                                                                                                                                                                g                                                                                                                                                                plain flour, 100                                                                                                                                                                g                                                                                                                                                                icing sugar                                                                                                                                                                , plus 1 teaspoon, 250                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , (cold), 3                                                                                                                                                                large                                                                                                                                                                free-range eggs, 4                                                                                                                                                                tablespoons                                                                                                                                                                whole milk, 1                                                                                                                                                                teaspoon                                                                                                                                                                vanilla bean paste, vegetable oil                                                                                                                                                                , for greasing, 50                                                                                                                                                                g                                                                                                                                                                flaked almonds, FILLING, 1                                                                                                                                                                kg                                                                                                                                                                rhubarb, 500                                                                                                                                                                g                                                                                                                                                                mixed eating apples, 160                                                                                                                                                                g                                                                                                                                                                golden caster sugar, 500                                                                                                                                                                ml                                                                                                                                                                whole milk, 3                                                                                                                                                                level tablespoons                                                                                                                                                                custard powder, 2                                                                                                                                                                teaspoons                                                                                                                                                                vanilla bean paste","To make the pastry, sieve 500g of plain flour and 100g of icing sugar into a large bowl., Chop 250g of unsalted butter into cubes, then, using your fingertips, gently work it into the flour and sugar until the mixture resembles breadcrumbs (or simply pulse in a food processor)., Beat 2 large eggs with 4 tablespoons of whole milk and 1 teaspoon of vanilla bean paste, then add to the flour mixture and gently work it together until it forms a ball of dough., Divide the dough in half, cover each piece and pop into the fridge to rest for 30 minutes., Roll one of the pieces of pastry out into a round, about ½cm thick. Lightly grease a 24cm non-stick loose-bottomed tart tin with vegetable oil. Line the base and sides with the pastry. Prick the bottom with a fork, then place back in the fridge until needed., Preheat the oven to 180°C/350°F/gas 4., Meanwhile, make the filling. Trim 1kg of rhubarb and peel and core 500g of eating apples, then chop into 3cm chunks and place into a large pan with 125g of golden caster sugar, and a splash of water. Simmer on a medium heat for 15 minutes, or until tender, then strain through a colander, catching the liquid in a bowl., Tip the strained liquid back into the pan and simmer over a medium heat for 5 minutes, or until thick and syrupy. Remove from the heat and leave to cool., Scrunch up a large piece of greaseproof paper, then unwrap it and use it to line your pastry case, pushing it right into the sides. Fill the case with rice or baking beans, and bake blind for 10 minutes., Carefully remove the rice or baking beads (save for another bake) and return to the oven for a further 10 minutes, or until golden and crisp., Pour 500ml of whole milk into a pan over a medium-low heat, whisk in 3 level tablespoons of custard powder, the remaining 35g of golden caster sugar, 2 teaspoons of vanilla bean paste. Whisk in a figure of 8 until the mixture becomes really thick, then pour into the pastry case and leave to cool., For your pie lid, roll the remaining pastry out into a circle, just under 1cm thick (it will be larger than you need, but the excess can be used for decorating)., Carefully spoon the apples and rhubarb over the custard base. Beat the remaining egg, then use it to eggwash the edges of the pie. Top with the pie lid, gently tuck in slightly, then roll over the top with your rolling pin to trim away the excess pastry., Use the excess pastry to decorate the top of your pie, however you like. Brush with a little more beaten egg to glaze, then toss 50g of flaked almonds in 1 teaspoon of icing sugar and a tiny splash of water, then sprinkle over the top., Bake for 40 to 45 minutes, or until golden. Delicious served with more custard and the beautiful fruit syrup drizzled over."
Vanilla yoghurt panna cotta | Jamie Oliver recipes,Roasted rhubarb & strawberries,"https://img.jamieoliver.com/jamieoliver/recipe-database/134449909.jpg?tr=w-800,h-1066","['Serves', '4']",plus setting,"“There’s something super special about this delicate dessert. Flecked with aromatic vanilla and set with a satisfying wobble, it’s an absolute pleasure to eat. ”",126,3.4g,1.9g,19.3g,0.2g,5.6g,19.3g,3.5g,"1                                                                                                                                                                leaf of                                                                                                                                                                gelatine, 200                                                                                                                                                                ml                                                                                                                                                                semi-skimmed milk, ½                                                                                                                                                                teaspoon                                                                                                                                                                vanilla bean paste, 200                                                                                                                                                                g                                                                                                                                                                natural yoghurt, 200                                                                                                                                                                g                                                                                                                                                                rhubarb, 2                                                                                                                                                                tablespoons                                                                                                                                                                runny honey                                                                                                                                                                , plus extra to serve, 300                                                                                                                                                                g                                                                                                                                                                strawberries","Soak 1 gelatine leaf in cold water for 10 minutes, or until softened., Pour 200ml of semi-skimmed milk into a small saucepan, add ½ a teaspoon of vanilla bean paste, and warm on a medium heat until simmering. Remove from the heat and stir in the gelatine., Whisk in 200g of natural yoghurt, until smooth, then pour the mixture into 4 serving moulds or small glasses. Cover and chill for at least 4 hours, or until set., Preheat the oven to 180°C/350°F/gas 4., Chop 200g of rhubarb into 5cm pieces and place in a large baking tray. Drizzle over 2 tablespoons of runny honey, then coarsely grate over 150g of strawberries., Bake for 30 minutes, or until the rhubarb is soft and juicy, but still holds its shape. Set aside until ready to serve., Hull and slice the remaining 150g of strawberries., Turn out each panna cotta onto a plate with the rhubarb and fresh strawberries. Drizzle with a little runny honey, if needed, and serve."
Rhubarb gin | Jamie Oliver recipes,Spring in a bottle,"https://img.jamieoliver.com/jamieoliver/recipe-database/121271906.jpg?tr=w-800,h-1066","['750', 'ml']",infusing time,"“For a delicious addition to your spirit cupboard, bottle the taste of spring with this easy method for making rhubarb gin.  ”",99,0g,0g,7.1g,0g,0.1g,7.1g,0.2g,"300                                                                                                                                                                g                                                                                                                                                                rhubarb, 1                                                                                                                                                                                                                    orange, ½                                                                                                                                                                                                                    a vanilla pod                                                                                                                                                                , or 1 teaspoon vanilla bean paste, 150                                                                                                                                                                g                                                                                                                                                                golden caster sugar, 750                                                                                                                                                                ml                                                                                                                                                                quality dry gin","Preheat the oven to 160°C/325°F/gas 3., Chop the rhubarb into 3cm chunks and place in a 30cm x 35cm roasting tray., Use a speed peeler to zest the orange into the tray and squeeze over the juice. Split the vanilla pod and scrape in the seeds, scatter over the sugar, and scrunch everything together., Bake for 20 to 25 minutes, or until just starting to soften, then remove the tray from the oven and leave to cool., Once cool, tip the rhubarb into a sterilised 1 litre jar (see tip below), Pour in the gin (don’t forget to save the empty gin bottle as you’ll need this later) and seal the jar tightly. Tip upside down to ensure everything is gently mixed., Store in a cool, dark place for 3 to 4 days, for the flavours to get to know each other. When it’s ready, strain the mixture back into the empty gin bottle. It will keep in a cool, dark place for 1 month., Serve the gin over ice with tonic water and a slice of orange or lemon, or shake up into one of your favourite cocktails."
Pot-roast pork with Chianti jus | Jamie Oliver recipes,"Celeriac two ways, roasted rhubarb & apple compote","https://img.jamieoliver.com/jamieoliver/recipe-database/117650131.jpg?tr=w-800,h-1066","['Serves', '8']",plus marinating,"“Upgrade your family Sunday roast with this lovely pork number. You have crispy cured meat and celeriac crackling beautifully contrasted with juicy slices of pork and soft cubes of celeriac, finished with a sweet fruit compote. What’s not to love? ”",542,39.2g,13.5g,9.3g,2g,32.3g,11.5g,6.3g,"butcher's string, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh sage                                                                                                                                                                , (15g), 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, olive oil, red wine vinegar, 1                                                                                                                                                                kg                                                                                                                                                                higher-welfare skinless boneless saddle-eye pork loin, 18                                                                                                                                                                slices of                                                                                                                                                                Coppa di Parma, 1                                                                                                                                                                 knob of                                                                                                                                                                unsalted butter, 1                                                                                                                                                                                                                    red onion, 1                                                                                                                                                                stick of                                                                                                                                                                celery, 3                                                                                                                                                                 sprigs of                                                                                                                                                                fresh rosemary, 200                                                                                                                                                                ml                                                                                                                                                                Chianti red wine, 2                                                                                                                                                                                                                    celeriac                                                                                                                                                                , (1kg each), ½ a                                                                                                                                                                bunch of                                                                                                                                                                fresh thyme                                                                                                                                                                , (15g), FRUIT COMPOTE, 400                                                                                                                                                                g                                                                                                                                                                rhubarb, 1                                                                                                                                                                                                                     green eating apple, 1                                                                                                                                                                                                                     red eating apple, 1                                                                                                                                                                tablespoon                                                                                                                                                                dark brown sugar, 1                                                                                                                                                                knob of                                                                                                                                                                unsalted butter","Pick the sage leaves into a pestle and mortar, add a pinch of sea salt, then bash to a paste. Peel and smash in the garlic, muddle in 2 tablespoons each of oil and red wine vinegar, then season with black pepper., Rub the paste all over the pork, getting it into all the nooks and crannies, then cover and pop in the fridge for at least 30 minutes, preferably overnight., Preheat the oven to 180°C/350°F/gas 4. Place a large sheet of greaseproof paper on a flat surface and rub lightly with oil. Arrange the Coppa di Parma on the paper, slightly overlapping, to make a large square., Place the pork at one end and roll it up tightly in the Coppa, using the paper to help you. Carefully remove the paper and secure the pork all the way along with butcher’s string., Place a large non-stick frying pan on a medium-high heat with a drizzle of oil and the butter, add the pork and brown all over, turning with tongs., Peel the onion and cut into eighths, and trim and roughly chop the celery, adding to the pan as you go. Strip in 2 sprigs of the rosemary, then pour in most of the wine and let it bubble and cook away for 1 minute., Transfer the pan to the oven and roast for 40 minutes, or until golden and cooked through, turning and basting every 10 minutes, and adding the last of the Chianti towards the end., Meanwhile, scrub both celeriac, then carefully peel the knobbly skin with a sharp knife. Place the peelings in a roasting tray, toss with 1 tablespoon of oil and a little salt and pepper, then pop in the bottom of the oven with the pork., Chop the rest of the celeriac into rough 2cm chunks, then place in a large casserole pan on a medium-low heat with 1 tablespoon of oil. Pick in the thyme leaves, then cook with the lid on for 30 minutes, or until softened, stirring occasionally and adding splashes of water, if needed., To make the compote, trim and chop the rhubarb into 5cm chunks and place in a roasting tray. Core the apples, cut into wedges and place in the tray, then add a pinch of pepper, the sugar, butter and 1 tablespoon of red wine vinegar. Drop in the remaining rosemary sprig, then place in the oven for 20 to 30 minutes, or until you’re able to mash the fruit slightly., Remove the pork from the oven and let it rest in its juices while the fruit and celeriac finish cooking., Carve the pork (discard the string) and serve with the fruit compote, celeriac and crispy celeriac crackling, spooning over the pan juices. Delicious served with seasonal steamed greens."
Louis' royal rhubarb & custard cake | Fruit recipes | Jamie Oliver recipes,"Victoria sponge, fruity jam & silky buttercream","https://img.jamieoliver.com/jamieoliver/recipe-database/70727600.jpg?tr=w-800,h-1066","['Serves', '18']",plus cooling,"“Here is a beautiful celebration cake to welcome the newest addition to the royal family – HRH Louis Arthur Charles! This is a real showstopper, as you might expect – rhubarb and custard is a classic combination, and always makes me think of afternoon tea. So, put the kettle on, and dig in! ”",509,27.8g,16.7g,46.3g,0.4g,5.3g,63.5g,1g,"350                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , (at room temperature), plus extra for greasing, 350                                                                                                                                                                g                                                                                                                                                                self-raising flour                                                                                                                                                                , plus extra for dusting, 250                                                                                                                                                                g                                                                                                                                                                golden caster sugar, 1                                                                                                                                                                teaspoon                                                                                                                                                                vanilla bean paste, 6                                                                                                                                                                large                                                                                                                                                                free-range eggs, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                baking powder, JAM, 500                                                                                                                                                                g                                                                                                                                                                rhubarb, 100                                                                                                                                                                g                                                                                                                                                                golden caster sugar, CUSTARD, 3                                                                                                                                                                tablespoons                                                                                                                                                                quality custard powder, 2                                                                                                                                                                tablespoons                                                                                                                                                                icing sugar, 400                                                                                                                                                                ml                                                                                                                                                                semi-skimmed milk, BUTTERCREAM ICING, 200                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , (at room temperature), 400                                                                                                                                                                g                                                                                                                                                                icing sugar                                                                                                                                                                , plus extra for dusting","Preheat the oven to 180ºC/350ºF/gas 4. Grease two 20cm springform cake tins and line the bases with greaseproof paper, then dust the sides with flour., Chop the butter into cubes, then beat with the caster sugar and vanilla until very pale and creamy., Beat in the eggs one by one, then sift in and fold through the flour and baking powder., Divide the batter between the prepared tins and spread out evenly. Bake for 25 to 30 minutes, or until golden and an skewer inserted comes out clean. Cool for 10 minutes in the tins, then transfer to a wire rack to cool completely., Meanwhile, to make the jam, trim the rhubarb, chop into 3cm chunks and place in a large pan with the caster sugar and 2 tablespoons of water. Mix well., Place the pan over a medium heat with the lid ajar. Bring to the boil, then reduce the heat to low and simmer for 5 minutes., Remove the lid and simmer for a further 10 minutes, or until the rhubarb has broken down and is thick and jammy, stirring occasionally. Leave to cool., To make the custard, mix the custard powder, icing sugar and 1 splash of milk together in a pan. Whisk to a smooth paste, then pour in the remaining milk and whisk again until well combined., Place over a low heat and cook gently for 10 minutes, or until thick and silky smooth, whisking continuously., Take the custard pan off the heat and cover with a layer of non-PVC clingfilm, making sure it’s in contact with the custard – this will prevent a skin forming on the surface., To make the buttercream, chop the butter into cubes, place in the bowl of a stand mixer, and whisk for 2 minutes, or until creamy (or beat it by hand)., Sift the icing sugar into a bowl, then gradually add it to the mixer, a few spoonfuls at a time. When all the sugar has been added, whisk for a further 4 to 5 minutes, or until very pale and fluffy – it should resemble whipped cream., Add 1 small splash of water to the buttercream and fold through to loosen slightly, if needed. Spoon the buttercream into a piping bag with a 1.5cm plain round nozzle, or use a large sandwich bag (then snip off the corner)., Whisk the cooled custard to loosen, then scrape into another piping bag with a 1.5cm plain round nozzle, or use a sandwich bag., Slice the cooled cakes in half horizontally, using a serrated knife, reserving the prettiest cake half for the top., Place one cake half cut-side up, and spread over one third of the jam. Pipe small alternating blobs of custard and buttercream around the outside of the cake. Repeat, until the whole of the cake is covered. Do the same with the next two cake layers., Place the final cake half on top and dust with a little icing sugar to finish. Decorate with some edible flowers, banners, or cake toppers – whatever you like!"
Rhubarb sorbet with pistachio brittle | Fruit recipes | Jamie magazine recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/99Icf3nwqKVA5EeKHEvIuu.jpg?tr=w-800,h-1066","['Serves', '8']",plus freezing,"“Sweet yet tart rhubarb sorbet with salty, crunchy brittle – flavours and textures that go mad in your mouth. ”",291,6.3g,0.8g,51.4g,,4.1g,52.7g,,"800                                                                                                                                                                g                                                                                                                                                                rhubarb, 400                                                                                                                                                                g                                                                                                                                                                caster sugar, 1                                                                                                                                                                                                                    lime, PISTACHIO BRITTLE, vegetable oil                                                                                                                                                                , for greasing, ½                                                                                                                                                                teaspoon                                                                                                                                                                matcha powder (see tip), 100                                                                                                                                                                g                                                                                                                                                                shelled pistachios","Trim and chop the rhubarb, then place in a large pan with 175g of the caster sugar and 100ml of water, and cover with a lid., Bring to the boil, then remove the lid and simmer for 5 minutes, until the rhubarb is cooked. Set aside to cool., Spoon into a blender and blitz to a purée. Squeeze in the juice of half the lime. Taste and add more sugar and lime if needed (it should have a subtle, not overpowering, flavour)., Churn in an ice cream maker for about 20 minutes, or until smooth and set. If you don’t have an ice cream maker, put the mixture in a tub and place in the freezer. Every hour give it a good stir. Repeat until your sorbet is frozen to the right consistency. Transfer to a nice dish and store in the freezer., To make the brittle, use vegetable oil to lightly grease a tray lined with baking paper., Mix the matcha powder with a little hot water, then top it up to 75ml. Pour into a small pan with the remaining caster sugar, and place on a medium-high heat., Bring it to the boil, but don’t stir – just gently swirl it. Simmer gently for 4 to 5 minutes, or until it turns a deep brownish-green colour (or the temperature reaches 150ºC on a sugar thermometer, the ’hard crack’ stage), then pour into the greased baking tray., Roughly chop and scatter on the pistachios and 1 teaspoon of sea salt, then leave to cool. Once set, break into pieces., To serve, let the sorbet stand at room temperature for about 10 minutes, then scoop into bowls and sprinkle with shards of the brittle."
Salmon with rhubarb sauce & tarragon mayo | Fish recipes | Jamie Magazine recipes,With pickled red onions,"https://img.jamieoliver.com/jamieoliver/recipe-database/95N2GNVp4Cy9RMPsG_0LGh.jpg?tr=w-800,h-1066","['Serves', '10']",plus cooling,"“This simple, delicate poached salmon is served with some beautifully bold accoutrements, from a tangy rhubarb sauce to a zingy tarragon mayonnaise. ”",695,44.6g,7.5g,6.2g,0.9g,65.4g,8g,0.52g,"1 x 2.5                                                                                                                                                                kg                                                                                                                                                                whole salmon                                                                                                                                                                , gutted, scaled, from sustainable sources, 1                                                                                                                                                                                                                    onion, 2                                                                                                                                                                                                                    carrots, 2                                                                                                                                                                sticks of                                                                                                                                                                celery, 3                                                                                                                                                                                                                    fresh bay leaves, 1                                                                                                                                                                tablespoon                                                                                                                                                                black peppercorns, 1                                                                                                                                                                tablespoon                                                                                                                                                                pink peppercorns, a few                                                                                                                                                                sprigs each of                                                                                                                                                                fresh flat-leaf parsley, tarragon, chervil and mint, PICKLED RED ONIONS, 2                                                                                                                                                                                                                    small red onions, 4                                                                                                                                                                tablespoons                                                                                                                                                                red wine vinegar, RHUBARB SAUCE, 5                                                                                                                                                                sticks of                                                                                                                                                                forced rhubarb, 1                                                                                                                                                                small                                                                                                                                                                eating apple, 2                                                                                                                                                                tablespoons                                                                                                                                                                runny honey, 1                                                                                                                                                                                                                    fresh bay leaf, 3                                                                                                                                                                                                                    whole cloves, 1                                                                                                                                                                splash of                                                                                                                                                                red wine vinegar, 1                                                                                                                                                                                                                    orange, MAYONNAISE, 200                                                                                                                                                                g                                                                                                                                                                fresh tarragon, 300                                                                                                                                                                ml                                                                                                                                                                oil (a mixture of olive and vegetable oil works best), 2                                                                                                                                                                large                                                                                                                                                                free-range egg yolks, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                Dijon mustard, 1-2                                                                                                                                                                tablespoons                                                                                                                                                                white wine vinegar, ½                                                                                                                                                                a                                                                                                                                                                lemon","To poach the salmon, place it in a fish kettle or a large roasting tin. Cover with cold water and place the fish kettle or tin over two hobs., Peel and roughly chop the onion and carrots, and trim the celery, then place in the water with the salmon. Add the bay leaves and the black and pink peppercorns, then cover with a lid or tin foil and bring to the boil., Once boiling, switch off the heat and allow the water and salmon to cool – it’ll take around 5 hours., To make the pickled red onions, peel and finely slice them, using a mandolin if you have one (use the guard!), then place in a small bowl. Add the red wine vinegar and a pinch of sea salt, scrunch together, then set aside to allow the onions to lightly pickle., To make the rhubarb sauce, trim the rhubarb and peel and core the apple, then chop into 2cm pieces., Place the fruit in a pan with the honey, bay and whole cloves, add a splash of vinegar and the orange juice, then bring to the boil and turn down to medium. Cover and leave to cook for about 30 minutes, or until the rhubarb has softened. Add a little extra honey to sweeten, if needed. Leave to cool., To make the mayonnaise, first make a tarragon oil. Pick the tarragon leaves into a blender, add 100ml of oil and blitz to a paste. Add the rest of the oil and blitz again, then strain through a piece of muslin into a jug., Place the egg yolks in a mixing bowl with the mustard and whisk well. Very slowly drip the tarragon oil into the egg yolk as you whisk; when you’ve added half of the oil, add 1 tablespoon of vinegar, then continue whisking in the oil (you might not need all of it). Finish with a squeeze of lemon juice and a pinch of salt and black pepper., Carefully remove the salmon to a serving board and gently remove the skin. Break up the salmon flesh and arrange on a large platter, drizzling with a little oil, if you like., Pick the herb leaves over the onions and toss well., Serve the poached salmon with the pickled onions, rhubarb sauce and tarragon mayo on the side –  delicious with boiled new potatoes."
Rhubarb and strawberry pavlova | Fruit recipes | Jamie magazine,With vanilla cream,"https://img.jamieoliver.com/jamieoliver/recipe-database/DvTIAHAfK9c8Bme3rmd4YA.jpg?tr=w-800,h-1066","['Serves', '8']",10 minutes,,586,26.6g,16.4g,81g,,5.4g,81g,,"6                                                                                                                                                                large                                                                                                                                                                free-range egg whites, 360                                                                                                                                                                g                                                                                                                                                                white caster sugar, quality white chocolate, RHUBARB & STRAWBERRY COMPOTE, 400                                                                                                                                                                g                                                                                                                                                                rhubarb, 400                                                                                                                                                                g                                                                                                                                                                strawberries, 1                                                                                                                                                                                                                    vanilla pod, 50                                                                                                                                                                g                                                                                                                                                                white caster sugar                                                                                                                                                                , or more if needed, depending on sweetness of rhubarb, VANILLA CREAM, 300                                                                                                                                                                ml                                                                                                                                                                double cream, 1                                                                                                                                                                tablespoon                                                                                                                                                                white caster sugar, 1                                                                                                                                                                                                                    vanilla pod                                                                                                                                                                , or ½ teaspoon vanilla extract","For the compote, trim and cut the rhubarb into 2cm chunks, then hull and halve the strawberries. Place all the compote ingredients in a pan with a dash of water and cook over a low heat until the fruit is soft. Allow to cool., Preheat the oven to 150°C/300°F/gas 2 and line a baking tray with greaseproof paper., Meanwhile, put the egg whites and sugar in a pan and gently heat, stirring constantly until the sugar dissolves. Pour into a mixing bowl and whisk till you have soft peaks. Spoon onto the greaseproof paper in 8 mini pavlovas and bake for 40 to 45 minutes until crunchy on the outside and soft inside., For the vanilla cream, whisk all the ingredients until the cream has increased in volume and keeps its shape., Assemble the pavlova by dolloping the cream on the meringue, followed by some fruit. To finish, shave or grate over white chocolate."
Vegan chocolate tart with rhubarb | Jamie magazine,"Cardamom, vanilla & ginger","https://img.jamieoliver.com/jamieoliver/recipe-database/1SBaejl_qVVAEca03U41WR.jpg?tr=w-800,h-1066","['Serves', '12']",plus chilling,"“You won’t miss the dairy in this rich, decadent tart, which is beautifully offset by tangy rhubarb. ”",344,17.6g,5.4g,70.6g,,5g,78.1g,,"150                                                                                                                                                                ml                                                                                                                                                                soya milk, 4                                                                                                                                                                                                                    cardamom pods, 4                                                                                                                                                                tablespoons                                                                                                                                                                sugar, 1                                                                                                                                                                tablespoon                                                                                                                                                                cornflour, 250                                                                                                                                                                g                                                                                                                                                                dark vegan chocolate (70%), 1                                                                                                                                                                teaspoon                                                                                                                                                                vanilla extract, PASTRY, 250                                                                                                                                                                g                                                                                                                                                                plain flour, 125                                                                                                                                                                g                                                                                                                                                                icing sugar, 1                                                                                                                                                                teaspoon                                                                                                                                                                ground ginger, 125                                                                                                                                                                g                                                                                                                                                                soya margarine (cold)                                                                                                                                                                , plus extra for greasing, RHUBARB, 400                                                                                                                                                                g                                                                                                                                                                rhubarb, 25-40                                                                                                                                                                g                                                                                                                                                                sugar, 1                                                                                                                                                                splash of                                                                                                                                                                ginger cordial, 1                                                                                                                                                                                                                    orange","Preheat the oven to 180°C/350°F/gas 4. Lightly grease a 25cm loose-bottomed tart tin., To make the pastry, sift the flour, icing sugar and ginger into a large bowl. Roughly chop and add the margarine and, working quickly, rub into the dry ingredients. Add enough cold water so you can bring the mixture together into a ball. Wrap the dough in clingfilm and chill for 30 minutes., Once chilled, roll the pastry to ½cm thick and line the tin. Trim any excess and prick all over with a fork. Return to the fridge for 30 minutes., Bake the pastry blind for 15 minutes. Remove the weight and cook for a further 10 to 15 minutes, until golden brown and cooked through., For the filling, place the soya milk in a small pan with 200ml water, crush and add the cardamom pods, and the sugar, then warm over a low heat., Put the cornflour in a small bowl with a few tablespoons of the warm soya mixture and stir till smooth, then return to the pan, stirring to combine, and bring back to the boil. Remove the cardamom pods., Snap the chocolate into a bowl and pour over the hot soya. Stir to combine. Add the vanilla extract and a pinch of sea salt, pour into the case, chill for 5 to 6 hours., To cook the rhubarb, cut into 5cm pieces and place in an ovenproof dish with 2 or 3 tablespoons of sugar, depending on how sharp the rhubarb is. Add the cordial, orange zest and juice, and cover with a cartouche (greaseproof-paper disc)., Bake for 20 to 25 minutes, or until soft but holding its shape. Leave to cool. Serve thin slices of the tart with the rhubarb."
