Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Magic baked chicken fried rice | Jamie Oliver Cookbook Club recipes,Just put it all in a pan – even the uncooked rice – and bake!,"https://img.jamieoliver.com/jamieoliver/recipe-database/152742682.jpg?tr=w-800,h-1066","['a', 'main']",MINUTES COOK),"“Sometimes after a long day, even I don’t have the energy to deal with the hassle of chopping vegetables, pulling out woks and smoking out my kitchen – let alone remembering to cook rice the day before! So I published a ‘dump and bake’ fried rice on my website – albeit with some trepidation – convinced it would be slammed as an abomination. To my total surprise, the recipe was a smash hit and had 100,000 views in 24 hours! Truth is, it’s delicious – the flavour is fantastic, the rice is fluffy and moist. The most asked question I get is, ‘How can I add chicken to this?’ Well, here’s how! ”",,,,,,,,,"BAKED FRIED RICE, 1½                                                                                                                                                                cups (300g)                                                                                                                                                                long-grain white rice                                                                                                                                                                , uncooked, 1½                                                                                                                                                                cups (375ml)                                                                                                                                                                low-salt chicken stock, 1½                                                                                                                                                                tablespoons                                                                                                                                                                light soy sauce, 1                                                                                                                                                                tablespoon                                                                                                                                                                Chinese cooking wine, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic                                                                                                                                                                , finely minced, ¼                                                                                                                                                                teaspoon                                                                                                                                                                white pepper, 2                                                                                                                                                                cups (270g)                                                                                                                                                                frozen diced vegetables                                                                                                                                                                , (carrots, peas and corn mix) still frozen, ¾                                                                                                                                                                cup (100g)                                                                                                                                                                chopped bacon or ham                                                                                                                                                                , I use store-bought chopped bacon, MARINATED CHICKEN, 500                                                                                                                                                                g                                                                                                                                                                chicken thigh fillets                                                                                                                                                                , cut into 1.5cm pieces, 1                                                                                                                                                                tablespoon                                                                                                                                                                oyster sauce, 1                                                                                                                                                                tablespoon                                                                                                                                                                Chinese cooking wine, 1                                                                                                                                                                tablespoon                                                                                                                                                                light soy sauce, 2                                                                                                                                                                teaspoons                                                                                                                                                                sesame oil, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, TO FINISH, 2                                                                                                                                                                                                                    eggs                                                                                                                                                                , scrambled (optional), 2                                                                                                                                                                teaspoons                                                                                                                                                                sesame oil, 1                                                                                                                                                                                                                     green onion stem                                                                                                                                                                 , finely sliced",
Tomato rice | Jamie Oliver recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/135559551.jpg?tr=w-800,h-1066","['to', '6']",,"“This makes a great lunch with some fried chorizo on the side, or a side dish with roast chicken or lamb. Most of the time I make it, eat a portion and then use the deliberate leftovers to make the rice cake(s) (on page 54 of Home Food), which are the real bomb. I use brown rice at home as it is more nutritious and flavoursome, but in this recipe method I include a method for using white rice, too. If you decide to use brown rice, I recommend soaking it in advance: it takes two minutes to pour some water over the rice, but then it cooks much more quickly. ”",,,,,,,,,"360                                                                                                                                                                g                                                                                                                                                                brown or white rice, 2                                                                                                                                                                tablespoons                                                                                                                                                                sunflower or olive oil, 2                                                                                                                                                                tablespoons                                                                                                                                                                unsalted butter, 1                                                                                                                                                                                                                    onion                                                                                                                                                                , finely chopped, 400                                                                                                                                                                g can of                                                                                                                                                                chopped tomatoes, 1                                                                                                                                                                teaspoon                                                                                                                                                                paprika                                                                                                                                                                , optional, sea salt","If you are using brown rice and feel organised/are planning this meal in advance, pour 500ml water over it and keep it in the fridge for 4 hours or – even better – overnight. This cuts the cooking time dramatically. If this is a spur-of-the-moment thing, don’t worry, you can still use white rice or unsoaked brown rice., Heat the oil and butter in a pan that you have a lid for (I use a 20cm cast-iron pan). Add the onion and cook over a medium-low heat, stirring from time to time, until it softens and starts becoming golden. About 10 minutes of cooking should get you to where you want to be, no need to caramelise too avidly here., Empty the canned tomatoes into a bowl and weigh them. If you are using white rice, add enough water to the bowl to make its total weight 700g. If you are using brown rice (soaked or unsoaked), add a little more, enough to make it up to 850g. Whisk in the paprika, if using, and a scant 2 teaspoons of salt. Taste the liquid and add a bit more salt if needed., Now, if you used brown rice and soaked it, drain it. Add whatever rice you are using to the buttery onion, toss to coat and then add the tomato mixture. Cover with a lid and bring to a simmer. From the moment the liquid starts simmering (the lid is always on), either soaked brown or unsoaked white rice will be ready in 20–25 minutes, while unsoaked brown rice will take closer to 40–45 minutes. When it’s ready, the liquid will be absorbed and the rice will be soft to the tooth., Another thing that you may discover, especially if you keep your heat a little higher, is that the rice might develop an amazing crispy layer at the bottom, not unlike an Iranian tahdig or Spanish socarrat. Even if you haven’t, but you have leftover tomato rice, turn the page to find out how to get it."
Singapore-Style Chilli Tofu | Jamie Oliver recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/134979959.jpg?tr=w-800,h-1066","['Serves', '2']",In50 minutes,"“This recipe was inspired by the stunning dish Singapore-style chilli prawns, which is itself a version of the famous Singapore chilli crab. Tofu can sometimes get a bad rap, but it makes a fantastic alternative to prawns, especially midweek. It has a relatively long shelf-life, so is great to have on hand in the fridge. Frying it until crispy gives it great texture, and it absorbs all the flavours of the sauce – and this dish is ALL about the sauce. It even converted my tofu-fearing husband. ”",,,,,,,,,"40                                                                                                                                                                g                                                                                                                                                                cashew nuts, neutral oil                                                                                                                                                                , for frying, 200                                                                                                                                                                g                                                                                                                                                                firm tofu                                                                                                                                                                , dried with kitchen paper and cut into bite-sized cubes, 1                                                                                                                                                                                                                    onion                                                                                                                                                                , finely chopped, 1                                                                                                                                                                tablespoon                                                                                                                                                                grated ginger                                                                                                                                                                , (approx. 3cm), 3                                                                                                                                                                                                                    cloves of garlic                                                                                                                                                                , crushed, 2                                                                                                                                                                                                                    red chillies                                                                                                                                                                , finely chopped (use fewer chillies or deseed if you prefer a milder heat), 1                                                                                                                                                                                                                    medium tomato                                                                                                                                                                , diced, 200                                                                                                                                                                ml                                                                                                                                                                hot veg or chicken stock, or boiling water, ½                                                                                                                                                                                                                     a medium head of broccoli or 150g tenderstem broccoli, cut into small florets, 1                                                                                                                                                                                                                    small egg                                                                                                                                                                , lightly beaten, For the sauce, , 4                                                                                                                                                                tablespoons                                                                                                                                                                tomato ketchup, 2                                                                                                                                                                tablespoons                                                                                                                                                                sweet chilli sauce, 1                                                                                                                                                                tablespoon                                                                                                                                                                light soy sauce, 1                                                                                                                                                                teaspoon                                                                                                                                                                sesame oil                                                                                                                                                                , preferably toasted, To serve, , rice",
Katsu-style tofu rice bowls | Jamie Oliver recipes,Chargrilled pineapple & crunchy salad,"https://img.jamieoliver.com/jamieoliver/recipe-database/134449902.jpg?tr=w-800,h-1066","['Serves', '4']",plus marinating,"“These tasty bowls have all the elements that you love about katsu, only quicker and healthier. Boasting mega flavours, including curry powder, miso and mango chutney with a side of charred pineapple, it’s going to rock your world. ”",537,15.5g,2.4g,13.2g,0.9g,19.4g,84.9g,4.9g,"450                                                                                                                                                                g                                                                                                                                                                firm tofu, ½                                                                                                                                                                teaspoon                                                                                                                                                                ground turmeric, 2                                                                                                                                                                tablespoons                                                                                                                                                                white miso, rice vinegar, mirin, 300                                                                                                                                                                g                                                                                                                                                                short grain brown rice, 60                                                                                                                                                                g                                                                                                                                                                breadcrumbs, 40                                                                                                                                                                g                                                                                                                                                                sesame seeds, olive oil, ½                                                                                                                                                                teaspoon                                                                                                                                                                curry powder, 2                                                                                                                                                                tablespoons                                                                                                                                                                mango chutney, ½                                                                                                                                                                                                                    a pineapple, 2                                                                                                                                                                                                                    fresh red chillies, 4                                                                                                                                                                                                                    spring onions, 400                                                                                                                                                                g                                                                                                                                                                mixed crunchy veg                                                                                                                                                                , such as carrots, sugar snaps, cucumber, cabbage, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (15g), hot chilli sauce                                                                                                                                                                , to serve","Pat 450g of firm tofu dry with kitchen paper and slice into 4 ‘steaks’., Combine ½ a teaspoon of ground turmeric, 1 tablespoon each of white miso and rice vinegar, and 2 tablespoons of mirin in a wide shallow bowl, and mix well., Add the tofu steaks and turn to coat in the marinade. Set aside to let the flavours mingle for at least 1 hour, turning halfway., Preheat the oven to 200°C/400°F/gas 6., Cook 300g short grain brown rice according to the packet instructions, then drain. Season with 1 tablespoon of mirin and set aside., Scatter 60g of breadcrumbs and 40g of sesame seeds over a tray or plate. Remove the tofu from the marinade (draining the excess and reserving for the dressing). Place the tofu on the tray, turning to coat in the breadcrumbs and seed mixture, until completely covered., Drizzle with a little olive oil then transfer to an oven tray and bake for 30 minutes, or until golden and crisp., To make the katsu dressing, add the 1 tablespoon each of white miso and rice vinegar to the reserved marinade, along with ½ a teaspoon of curry powder and 2 tablespoons of mango chutney. Stir in 50ml of water to loosen and mix well., Core ½ a pineapple and slice into 4 wedges. Sear in a dry, screaming hot frying pan for 3 minutes on each side, or until nicely charred., Shred 2 fresh red chillies, 4 spring onions and 400g of mixed crunchy veg by hand or in a food processor. Pick the leaves from ½ a bunch of fresh coriander (15g)., To serve, divide the rice, crunchy veg and coriander leaves between 4 bowls. Slice the crispy tofu steaks into soldiers and divide between the bowls. Add a wedge of charred pineapple and a little pot of dressing for pouring over, and tuck in! Delicious with a drizzle of hot chilli sauce."
Spiced cauliflower rice pie | Jamie Oliver pie recipes,"Poppadoms, onions, fresh chilli, coriander & yoghurt","https://img.jamieoliver.com/jamieoliver/recipe-database/109469713.jpg?tr=w-800,h-1066","['Serves', '6']",In45 minutes,"“Full of colour and flavour, this dish is kind of like a veggie curry, but turned out into the most impressive rice cake. You’ve got a crunchy, golden outside that contrasts beautifully with the delicate, fluffy rice and tender cauliflower florets inside. I’ve also added a curveball ingredient inspired by a trip to Delhi, where I saw street-food vendors doing the most incredible things with poppadoms. This is food that just makes me happy.   ”",279,13.1g,2.2g,7.5g,4.5g,7.9g,33.3g,1g,"2                                                                                                                                                                                                                    onions, olive oil, 1                                                                                                                                                                head of                                                                                                                                                                cauliflower                                                                                                                                                                , (800g), 3                                                                                                                                                                tablespoons                                                                                                                                                                tikka curry paste, 1                                                                                                                                                                mug of                                                                                                                                                                basmati rice                                                                                                                                                                , (300g), 3                                                                                                                                                                                                                    fresh mixed-colour chillies, 6                                                                                                                                                                                                                    uncooked poppadoms, 1                                                                                                                                                                bunch of                                                                                                                                                                coriander                                                                                                                                                                , (30g), 6                                                                                                                                                                 tablespoons                                                                                                                                                                natural yoghurt, extra virgin olive oil",
My Singapore-style fried rice | Jamie Oliver recipes,A proper fridge-raid meal,"https://img.jamieoliver.com/jamieoliver/recipe-database/105754193.jpg?tr=w-800,h-1066","['Serves', '2']",In25 minutes,"“There are so many variations on this wonderful dish – for me, it’s all about sumptuous fluffy rice with tang and seasoning. Classically there’d be some sort of smoky ribs or ham in the mix, but you can use the principle of this recipe to suit what you’ve got in the fridge and, of course, you can go veggie if you want to. It’s brilliant for embracing odds and ends from your veg drawer, and hopefully will help you to eat the rainbow. As with most stir-fries, this one is all in the prep, setting you up for fast and efficient cooking. You can absolutely make more portions, but it’s best to cook them no more than 2 portions at a time. ”",528,18.4g,3.8g,8.5g,1.5g,22.2g,72.3g,6.6g,"150                                                                                                                                                                g                                                                                                                                                                brown or basmati rice, 320                                                                                                                                                                g                                                                                                                                                                crunchy veg                                                                                                                                                                , such as asparagus, baby corn, broccoli, leek, Chinese, red or white cabbage, pak choi, carrot, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 2                                                                                                                                                                cm                                                                                                                                                                piece of ginger, 1                                                                                                                                                                large                                                                                                                                                                free-range egg, olive oil, 1                                                                                                                                                                                                                    chipolata, 1                                                                                                                                                                rasher of                                                                                                                                                                smoked streaky bacon, 4                                                                                                                                                                                                                    fresh or frozen raw peeled prawns, 1                                                                                                                                                                teaspoon                                                                                                                                                                tikka paste, 1                                                                                                                                                                tablespoon                                                                                                                                                                low-salt soy sauce, 1                                                                                                                                                                teaspoon                                                                                                                                                                mixed seeds, 1                                                                                                                                                                teaspoon                                                                                                                                                                chilli jam","Cook the rice according to the packet instructions, then drain and leave to cool. If you spread it across a plate, it will cool more quickly., Now prep the veg – chop everything into strips or chunks that are about the same size so it will be a pleasure to eat. Chop asparagus spears into 2cm lengths, halve or quarter baby corn, matchstick the carrot, and shred up cabbage – you get the idea., Peel and finely slice the garlic. Peel and finely chop or grate the ginger., Put a large non-stick frying pan or wok on a medium-high heat., Beat the egg. Put 1 teaspoon of olive oil into the hot pan, then pour in the egg, swirling it around the pan to cover the base, essentially like a thin egg pancake. Let it cook through, then ease out of the pan with a spatula, roll it up and finely slice., Put ½ a tablespoon of olive oil into the hot pan. Finely slice the sausage and bacon, then add to the pan. Stir-fry until golden, then go in with the prawns, garlic and ginger., Stir in the curry paste until everything is coated, then start adding your veg, getting stuff that needs a bit longer in there first like carrots and leek. Keep stirring or tossing and adding the veg until it’s all in there., Mix in the cool rice and stir-fry until it’s hot through and the veg are just cooked., Add the soy, then toss in the egg ribbons., Divide between your plates, sprinkle over the seeds, season to perfection with more soy if you like, and finish with a drizzle of chilli jam. Eat right away – heaven!"
Freezer-raid springtime risotto | Jamie Oliver recipes,Creamy & oozy,"https://img.jamieoliver.com/jamieoliver/recipe-database/105197589.jpg?tr=w-800,h-1066","['Serves', '6']",In45 minutes,"“Without sounding too soppy, a well-made risotto is like a big cuddle from your mum; it just makes you feel good. Follow my basic risotto recipe, then create your own take on it. This version uses lots of lovely frozen veg.  ”",342,12.1g,5.9g,3.3g,0.6g,10.6g,46.5g,3.1g,"1                                                                                                                                                                litre                                                                                                                                                                vegetable stock                                                                                                                                                                , (a stock cube is fine), 1                                                                                                                                                                                                                    onion, 1                                                                                                                                                                stick of                                                                                                                                                                celery, olive oil, 2                                                                                                                                                                knobs of                                                                                                                                                                unsalted butter, 300                                                                                                                                                                g                                                                                                                                                                risotto rice, 125                                                                                                                                                                ml                                                                                                                                                                white wine                                                                                                                                                                , optional, 480                                                                                                                                                                g                                                                                                                                                                mixed frozen green veg, such as spinach, green beans and peas, 60                                                                                                                                                                g                                                                                                                                                                Parmesan cheese                                                                                                                                                                , or vegetarian alternative, plus extra for sprinkling, extra virgin olive oil, 1                                                                                                                                                                                                                    lemon                                                                                                                                                                , optional","Bring the stock to a simmer in a pan on a low heat. Peel the onion, trim the celery, then finely chop or coarsely grate them., Put 1 tablespoon of olive oil, 1 knob of butter, plus the onion and celery into a high-sided pan on a low heat. Season lightly with sea salt and black pepper and cook for 5 to 10 minutes, stirring occasionally, until the veg is soft but not coloured., Turn up the heat to medium, add the rice and stir for 2 minutes, so it sucks up all the lovely flavour. If using, pour in the wine and stir until absorbed., Add a ladleful of hot stock, stir, and wait until it’s been fully absorbed before adding more. Cook for 16 to 18 minutes, adding more stock every minute or so and stirring regularly, until the rice is al dente. This means it should be soft and a pleasure to eat, but still holding its shape., About 5 minutes before your rice is ready, stir in the frozen veg to cook through., Now, your risotto needs to be slightly looser than you want it to be, as it will thicken as it sits, so add an extra ladleful of stock. Turn off the heat, stir or beat in the remaining butter and the Parmesan, then season to perfection., Pop the lid on and let it sit for 2 minutes before serving. The most important thing is that the risotto is always oozy., Finish with a drizzle of extra virgin olive oil, an extra grating of cheese and, if you’ve got it, a tiny squeeze of lemon juice per portion."
Pumpkin rice | Jamie Oliver vegetarian rice recipes,"Cherry tomatoes, butter beans & okra","https://img.jamieoliver.com/jamieoliver/recipe-database/92507802.jpg?tr=w-800,h-1066","['Serves', '6']",In50 minutes,,513,12.1g,6g,10.1g,0.4g,16.8g,89.9g,10g,"400                                                                                                                                                                g                                                                                                                                                                pumpkin                                                                                                                                                                , or butternut squash, 100                                                                                                                                                                g                                                                                                                                                                coconut cream, 4                                                                                                                                                                                                                    allspice berries, 4                                                                                                                                                                                                                    spring onions, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh thyme                                                                                                                                                                , (15g), 2                                                                                                                                                                                                                    Scotch bonnet chillies, ½                                                                                                                                                                a                                                                                                                                                                 pointed cabbage                                                                                                                                                                , (400g), 450                                                                                                                                                                g                                                                                                                                                                basmati rice, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                                                                    onion, olive oil, 200                                                                                                                                                                g                                                                                                                                                                ripe mixed-colour cherry tomatoes, 200                                                                                                                                                                g                                                                                                                                                                okra, 1 x 700                                                                                                                                                                g jar of                                                                                                                                                                butter beans","Peel and deseed the pumpkin, then chop into 2cm chunks., Pour 800ml of boiling salted water into a large pan over a medium-high heat, add the coconut cream and leave to melt, then add the pumpkin and allspice berries., Trim the spring onions and bash with your fist, then halve and drop into the pan with half the thyme sprigs and the whole Scotch bonnets (no holes or bruises please)., Roughly chop the cabbage, discarding the core, then add to the pan with ½ a teaspoon each of sea salt and black pepper. Cover and cook for 10 minutes, then rinse and stir in the rice., Pop the lid back on, turn the heat down to low and cook for 12 minutes, or until the water is absorbed. Turn the heat off and leave to steam., Meanwhile, peel and finely slice the garlic and peel and roughly chop the onion, then place in a large non-stick frying pan on a medium heat with 2 tablespoons of oil and cook for 5 minutes., Halve the tomatoes, then remove the chillies from the rice, carefully deseed, slice, and add half to the pan (feel free to add more later, to taste, and remember to clean your knife, board and hands thoroughly after)., Pick in the remaining thyme leaves, then trim and halve the okra and add to the pan. Cover and cook for 8 minutes, stirring occasionally, then tip in the beans (juices and all) to warm through for a few minutes., Fork up the rice, breaking up the pumpkin, and serve with the beans, seasoning everything to perfection."
