Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Air-fryer salmon with crispy potatoes | Jamie Oliver recipes,"Tender asparagus, thyme & lemon","https://img.jamieoliver.com/jamieoliver/recipe-database/152315753.jpg?tr=w-800,h-1066","['Serves', '2']",MINUTES COOK),,504,24.4g,4.2g,4.8g,0.7g,36.9g,35.9g,3.7g,"400                                                                                                                                                                g                                                                                                                                                                new potatoes, olive oil, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh thyme                                                                                                                                                                , (20g), 2                                                                                                                                                                 x 150g                                                                                                                                                                salmon fillets                                                                                                                                                                , skin on, scaled, pin-boned, from sustainable sources, 200                                                                                                                                                                g                                                                                                                                                                asparagus, 1                                                                                                                                                                                                                    lemon","Finely slice the potatoes and tip into a large bowl, then toss together with ½ a tablespoon of olive oil and a small pinch of sea salt and black pepper., Place the potatoes in the air-fryer* in a single layer and cook at 180°C for 15 minutes, then pick and toss in the thyme. Spread the potatoes back into a single layer and cook for another 10 minutes., Meanwhile, place the salmon fillets in the bowl, drizzle with ½ a tablespoon of oil and season with a small pinch of salt and pepper. Snap the woody ends off the asparagus and slice each stalk into three bite-sized pieces. Place in the bowl with the salmon and toss in the oil to coat., Once the time’s up on the potatoes, lay the salmon fillets on top, then carefully slice two thin rounds of lemon and arrange on top of each fillet. Scatter the asparagus around the salmon and cook at 190°C for 10 minutes, or until golden and cooked through., Use a fish slice to transfer the salmon to serving plates, then divide up the crispy potatoes and asparagus. Delicious with a seasonal green salad and a dollop of pesto on the side."
Salmon & asparagus en croûte | Jamie Oliver recipes,"Golden pastry, wild mushrooms & Old Winchester cheese","https://img.jamieoliver.com/jamieoliver/recipe-database/147408268.jpg?tr=w-800,h-1066","['-', '10']",In1 hour,"“Asparagus is a proper springtime treat in the UK, so I’m putting it front and centre in this epic salmon en croûte. If you can get hold of wild garlic, it’ll make all the difference here.  ”",555,36g,15.1g,5.3g,0.8g,33.9g,19.7g,2.4g,"400                                                                                                                                                                g                                                                                                                                                                wild mushrooms, 2                                                                                                                                                                                                                    onions, olive oil, 50                                                                                                                                                                ml                                                                                                                                                                Scottish whisky, ½                                                                                                                                                                 a bunch of                                                                                                                                                                fresh flat-leaf parsley or wild garlic (15g), 150                                                                                                                                                                ml                                                                                                                                                                half-fat crème fraîche, 50                                                                                                                                                                g                                                                                                                                                                Old Winchester or Parmesan cheese, 2                                                                                                                                                                                                                    lemons, 2                                                                                                                                                                large                                                                                                                                                                free-range eggs, flour                                                                                                                                                                , for dusting, 1                                                                                                                                                                x 320g sheet of                                                                                                                                                                all-butter puff pastry, 1                                                                                                                                                                x 1kg                                                                                                                                                                side of salmon                                                                                                                                                                , skin off, pin-boned (ask your fishmonger for a fillet from the top end of the fish), from sustainable sources, 300                                                                                                                                                                g                                                                                                                                                                asparagus","Clean and roughly chop and place the mushrooms in a large non-stick frying pan on a high heat. Dry fry for 5 minutes, or until lightly golden, while you peel and roughly chop the onions. Add the onions to the pan with 1 tablespoon of olive oil and cook for a further 10 minutes, or until soft and sweet., Pour in the whisky, tilt the pan to carefully flame, or light with a long match (watch your eyebrows!), and, once the flames subside, remove from the heat. Taste, season to perfection with sea salt and black pepper and allow to cool, then finely chop with the parsley or wild garlic and set aside., Preheat the oven to 220ºC/425ºF/gas 7 and place a large baking sheet inside to heat up., Place the crème fraîche in a bowl, season with salt and pepper, then finely grate in the cheese and zest of 1 lemon. Crack in 1 egg and beat until smooth., On a large sheet of flour-dusted greaseproof paper, roll out the pastry so it’s 10cm bigger than your salmon all the way round., Spoon the mushroom mixture onto the pastry base, spreading it out and leaving a 3cm border around the edges. Place the salmon in the middle, then roll up the sides of the pastry to create the crust, going right up to the salmon and pinching it at the corners to secure., Evenly spoon the crème fraîche mixture over the top of the exposed salmon, spreading it out to meet the pastry. Trim the asparagus and slice each stem in half lengthways, then line them up like little soldiers in the crème fraîche mixture, trimming to fit, if needed., Brush the exposed pastry with beaten egg, then carefully lift the greaseproof and salmon en croûte onto the preheated tray. Bake at the bottom of the oven for 25 to 30 minutes, or until golden and cooked through. Delicious served with a garden salad and lemon wedges for squeezing over."
Sesame seared salmon | Jamie Oliver recipes,"Dressed mixed grains, carrot ribbons, orange, mint & harissa","https://img.jamieoliver.com/jamieoliver/recipe-database/138602409.jpg?tr=w-800,h-1066","['Serves', '2']",In21 minutes,,640,28.4g,4.6g,17.7g,1g,36.7g,58.2g,9.8g,"2 x 130                                                                                                                                                                g                                                                                                                                                                salmon fillets, skin on, scaled, pin-boned, 2                                                                                                                                                                tablespoons                                                                                                                                                                sesame seeds, 1                                                                                                                                                                bunch of                                                                                                                                                                 mint (30g), 2                                                                                                                                                                                                                    large oranges, extra virgin olive oil, red wine vinegar, 1 x 250                                                                                                                                                                g                                                                                                                                                                packet of cooked mixed grains, 2                                                                                                                                                                                                                    small carrots, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                harissa",
Upside down fish pie | Jamie Oliver recipes,"Salmon, prawns, tartare mash, broccoli, chives & tomatoes","https://img.jamieoliver.com/jamieoliver/recipe-database/136867685.jpg?tr=w-800,h-1066","['Serves', '4']",In54 minutes,,534,20.9g,2.5g,9.8g,0.9g,36.7g,52.4g,7g,"1                                                                                                                                                                kg                                                                                                                                                                potatoes, 320                                                                                                                                                                g                                                                                                                                                                sprouting broccoli, 100                                                                                                                                                                g                                                                                                                                                                tartare sauce, olive oil, 400                                                                                                                                                                g                                                                                                                                                                piece of salmon                                                                                                                                                                , skin off, pin-boned, 320                                                                                                                                                                g                                                                                                                                                                ripe mixed-colour cherry tomatoes, 1                                                                                                                                                                bunch of                                                                                                                                                                chives (20g), 165                                                                                                                                                                g                                                                                                                                                                raw peeled king prawns, ½                                                                                                                                                                 a                                                                                                                                                                 lemon",
Smoked salmon pasta | Jamie Oliver recipes,"Spinach, spring onion, lemon, curds & Parmesan","https://img.jamieoliver.com/jamieoliver/recipe-database/136295675.jpg?tr=w-800,h-1066","['Serves', '1']",In8 minutes,,431,14.8g,4g,4.6g,1.7g,29.5g,43.6g,3.1g,"125                                                                                                                                                                g                                                                                                                                                                fresh lasagne sheets, 2                                                                                                                                                                                                                    spring onions, 80                                                                                                                                                                g                                                                                                                                                                spinach, 60                                                                                                                                                                g                                                                                                                                                                smoked salmon (2 slices), ½                                                                                                                                                                                                                    a lemon, 5                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, olive oil, 1                                                                                                                                                                tablespoon                                                                                                                                                                cottage cheese, optional: extra virgin olive oil",
Salmon in a bag | Jamie Oliver recipes,Pepper & chickpea,"https://img.jamieoliver.com/jamieoliver/recipe-database/136706837.jpg?tr=w-800,h-1066","['Serves', '2']",In25 minutes,"“Salmon is one of the most common fish that we buy, so I wanted to share one of my favourite cooking methods for it. By creating a foil parcel, you not only beautifully steam the fish, but also impart wonderful flavour from exciting ingredient combos, giving you a satisfying meal in just 15 minutes of oven time. Treat this recipe as a principle, have a go, then why not come up with your own combos?  ”",507,26.8g,5.1g,3.9g,0.5g,42.9g,22.4g,7.4g,"½ x 460                                                                                                                                                                g                                                                                                                                                                jar of roasted red peppers, 15                                                                                                                                                                g                                                                                                                                                                smoked almonds, 1 x 400                                                                                                                                                                g                                                                                                                                                                tin of chickpeas, ½                                                                                                                                                                                                                    a bunch of flat-leaf parsley (15g), 30                                                                                                                                                                g                                                                                                                                                                higher-welfare chorizo, 1 x 150                                                                                                                                                                g                                                                                                                                                                salmon fillets                                                                                                                                                                , skin on, scaled, pin-boned, from sustainable sources, olive oil",
Stuffed salmon | Jamie Oliver recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/126269842.jpg?tr=w-800,h-1066","['Serves', '8']",,"“What I like about this recipe is that the method, which is incredibly easy to follow, elevates the salmon to a new level. It makes a real event of this incredible fish and, while it cooks, the flavours all mix and mingle together, amplifying utter deliciousness. ”",313,20.6g,3.5g,0.1g,1g,31.4g,0.1g,0.1g,"1                                                                                                                                                                heaped tablespoon                                                                                                                                                                baby capers in brine, 10                                                                                                                                                                                                                    anchovy fillets in oil                                                                                                                                                                , from sustainable sources, 2                                                                                                                                                                                                                    sprigs of rosemary, 10                                                                                                                                                                                                                    mixed-colour olives, 1                                                                                                                                                                                                                    fresh red chilli, 1                                                                                                                                                                                                                    lemon, olive oil, 1.2                                                                                                                                                                kg                                                                                                                                                                side of salmon                                                                                                                                                                , skin on, pin-boned, from sustainable sources",
Cajun salmon po' boy | Jamie Oliver recipes,"Jalapeño salsa, yoghurt, shredded lettuce & tomato","https://img.jamieoliver.com/jamieoliver/recipe-database/121835411.jpg?tr=w-800,h-1066","['Serves', '2']",In20 minutes,"“I wanted to take the humble sandwich and your average salmon fillet to the next level with this dish. Inspired by good old Louisiana, this po’ boy is not classic, but it will take your taste buds to another place entirely. Filled with marinated flaky salmon, a vivid super-speedy salsa, crunchy lettuce and sweet tomato, this is all about contrast. It’s hot, cold, sweet, sour and salty – you won’t forget this sarnie anytime soon.  ”",540,23.6g,5.9g,9.8g,1.5g,36.4g,44.9g,4g,"1 x 215                                                                                                                                                                g jar of                                                                                                                                                                sliced green jalapeños, 1                                                                                                                                                                bunch of                                                                                                                                                                coriander                                                                                                                                                                , (30g), 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                Cajun seasoning, 4                                                                                                                                                                heaped tablespoons                                                                                                                                                                Greek yoghurt, 2 x 130                                                                                                                                                                g                                                                                                                                                                salmon fillets                                                                                                                                                                , skin on, scaled, pin-boned, from sustainable sources, olive oil, 1                                                                                                                                                                                                                    gem lettuce, 1                                                                                                                                                                large                                                                                                                                                                ripe tomato, 2                                                                                                                                                                                                                    submarine rolls",
Easy salmon en croûte | Jamie Oliver recipes,"Tasty spinach, baked red pesto sauce & lemon","https://img.jamieoliver.com/jamieoliver/recipe-database/109469645.jpg?tr=w-800,h-1066","['Serves', '4']",In55 minutes,,712,46.4g,18g,6.9g,1.3g,37g,36g,2.7g,"1                                                                                                                                                                                                                    onion, olive oil, 4                                                                                                                                                                                                                    cloves of garlic, 500                                                                                                                                                                g                                                                                                                                                                frozen spinach, 1 x 320                                                                                                                                                                g                                                                                                                                                                sheet of all-butter puff pastry, 4 x 130                                                                                                                                                                g                                                                                                                                                                salmon fillets, skin off, pin-boned, from sustainable sources, 2                                                                                                                                                                                                                    large free-range eggs, 1                                                                                                                                                                heaped tablespoon                                                                                                                                                                red pesto, 1                                                                                                                                                                                                                    lemon",
Creamy prawn-stuffed salmon | Jamie Oliver recipes,"Wilted garlicky spinach, smoky pancetta, rosemary & Parmesan","https://img.jamieoliver.com/jamieoliver/recipe-database/109469639.jpg?tr=w-800,h-1066","['Serves', '4']",In30 minutes,,354,21.3g,6g,2.6g,1g,36.7g,3.9g,0.2g,"4 x 130                                                                                                                                                                g                                                                                                                                                                salmon fillets                                                                                                                                                                , skin on, scaled, pin-boned, from sustainable sources, 20                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, 80                                                                                                                                                                g                                                                                                                                                                half-fat crème fraîche, 80                                                                                                                                                                g                                                                                                                                                                small cooked peeled prawns                                                                                                                                                                , from sustainable sources, olive oil, 4                                                                                                                                                                cloves of                                                                                                                                                                garlic, 500                                                                                                                                                                g                                                                                                                                                                spinach, 4                                                                                                                                                                rashers of                                                                                                                                                                higher-welfare smoked pancetta, 4                                                                                                                                                                sprigs of                                                                                                                                                                rosemary",
