Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Epic egg in a hole | Jamie Oliver recipes,Crispy sausage & oozy cheese,"https://img.jamieoliver.com/jamieoliver/recipe-database/155063080.jpg?tr=w-800,h-1066","['Serves', '1']",In15 minutes,"“If you’re in need of a pick-me-up, this one-pan wonder ticks a lot of boxes. We’re talking crispy golden sausage, soft, steamed bagel, beautiful egg and melted cheese – yes, it’s a little eccentric, but it’s also totally delicious.
 ”",588,32.5g,13.9g,5.4g,2.2g,32.1g,41.3g,2.8g,"1                                                                                                                                                                                                                    bagel, 1                                                                                                                                                                large                                                                                                                                                                higher-welfare sausage, 1                                                                                                                                                                medium                                                                                                                                                                free-range egg, 30                                                                                                                                                                g                                                                                                                                                                Cheddar cheese, tomato ketchup and/or brown sauce                                                                                                                                                                , to serve (optional)","Use your thumbs to make the centre hole of the bagel as big as an egg yolk., Squeeze the sausage out of its skin and press the meat onto one side of the bagel, leaving a gap in line with the hole., Place the bagel sausage-side down in a large non-stick frying pan on a medium-low heat and cook for 1 minute., Crack the egg into the hole, season with a pinch of black pepper, then add a splash of water to the pan and cover with a lid. Cook for 8 minutes, or until the sausage has crisped up., Remove the lid and coarsely grate over half the cheese, then use a fish slice to confidently flip the bagel., Grate the remaining cheese onto the sausage, pop the lid back on the pan and cook covered on a low heat for 4 more minutes, or until the cheese has melted. Serve with tomato ketchup and/or brown sauce."
Versatile festive stuffing | Jamie Oliver Christmas recipes,Take it two ways,"https://img.jamieoliver.com/jamieoliver/recipe-database/154549048.jpg?tr=w-800,h-1066","['Serves', '20']",15 minutes,"“This is my clever little stuffing recipe that can be made once, then split and taken in two directions – helpful if you’re feeding both veggie and meat-eaters. Packed with chestnuts, dried fruit and loads of festive flavours, you can use it to stuff your turkey, or bake as it is for a gorgeous side. Lovely.  ”",302,12.6g,4.3g,11.3g,1.2g,14g,31.7g,2.9g,"6                                                                                                                                                                                                                    onions, olive oil, 2                                                                                                                                                                tablespoons                                                                                                                                                                unsalted butter, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh sage                                                                                                                                                                , (30g), 1                                                                                                                                                                whole                                                                                                                                                                nutmeg                                                                                                                                                                , for grating, 100                                                                                                                                                                g                                                                                                                                                                dried sour cranberries, 1 x 180                                                                                                                                                                g packet                                                                                                                                                                chestnuts, 1 x 100                                                                                                                                                                g packet                                                                                                                                                                dried apple, 2                                                                                                                                                                                                                    clementines, 330                                                                                                                                                                ml                                                                                                                                                                dry cider, 800                                                                                                                                                                g                                                                                                                                                                stale bread, 1                                                                                                                                                                kg                                                                                                                                                                higher-welfare pork sausagemeat","Preheat the oven to 190ºC/375ºF/gas 5., Peel and quarter the onions, then place in the bowl of a food processor with a pinch of sea salt and blitz until chopped, but not too fine., Place a large pan on a medium heat with 2 tablespoons of olive oil and the butter. Tear in the sage leaves (keep the stalks for the trivet later) and grate in half of the nutmeg. When the sage is brown, add the onions and cook for 15 minutes, until golden and sweet. Don’t rush this part, this is where you amplify the flavour., Now let’s ramp up the Christmassy flavours: tip in the cranberries, and crumble in the chestnuts. Thinly slice the dried apples and add to the pan with a big pinch of salt and black pepper., Finely grate in the zest of both the clementines (save one for step 8 and the other for your turkey trivet) and pour in the cider. Let the cider bubble away until lovely and shiny, then leave to cool completely., Tear the stale bread into small chunks, place in a food processor and blitz into breadcrumbs (you might need to do this in batches). Tip into a baking tray or dish and add the onion mixture. Use clean hands to really scrunch and mix everything together., Take half of the stuffing and press it into an oiled bundt tin or baking dish., Add the sausagemeat to the remaining stuffing and use your hands to scrunch everything together. Add a pinch of salt and pepper, then scrunch it all up until well combined. Take a third of the stuffing and place it in a pretty baking dish. Cut one of the zested clementines in half and push, skin-side down into the centre of the stuffing. (Use the remaining stuffing to stuff your turkey)., Pop both dishes in the oven to cook for 50 minutes, or until bubbling and crispy. If you’re doing it as part of your Christmas lunch, you want to put it in at the same time as your spuds., Once done, you can pour away any excess fat before serving, if you like. It will be soft, juicy and succulent on the inside, then gnarly, crispy and chewy on the outside. Enjoy!"
Pigs in blankets | Jamie Oliver Christmas recipes,Your new favourite combos,"https://img.jamieoliver.com/jamieoliver/recipe-database/153985093.jpg?tr=w-800,h-1066","['per', 'combo']",In30 minutes,"“Pigs in blankets are genius, but lots of clever combos, when wrapped in bacon, are equally delicious. Why don’t you mix it up this year and get people talking? I’ve given you lots of ideas here, so pick your favourites and have fun with them. ”",,,,,,,,,"1                                                                                                                                                                rasher of                                                                                                                                                                higher-welfare smoked streaky bacon, BRIE, 1                                                                                                                                                                knob of                                                                                                                                                                Brie-style cheese, 1                                                                                                                                                                                                                    shelled walnut half, 1                                                                                                                                                                                                                    fresh thyme tip, CHICKEN LIVER, ½                                                                                                                                                                a                                                                                                                                                                cleaned free-range chicken liver, 1                                                                                                                                                                                                                    fresh sage leaf, ½                                                                                                                                                                a                                                                                                                                                                dried apricot, OYSTER, 1                                                                                                                                                                                                                    freshly shucked oyster                                                                                                                                                                , from sustainable sources, 1                                                                                                                                                                slice of                                                                                                                                                                pickled onion, 1                                                                                                                                                                pinch of                                                                                                                                                                dried red chilli flakes, BLUE CHEESE, 1                                                                                                                                                                                                                    destoned dried prune, a                                                                                                                                                                crumbling of                                                                                                                                                                blue cheese, 2                                                                                                                                                                                                                    chopped fresh rosemary leaves, BLACK PUDDING, 1                                                                                                                                                                                                                    fresh sage leaf, 1                                                                                                                                                                small slice of                                                                                                                                                                higher-welfare black pudding, COCKTAIL SAUSAGE, 1                                                                                                                                                                                                                    higher-welfare cocktail sausage, 1                                                                                                                                                                                                                    fresh sage leaf, BREAD, 1                                                                                                                                                                cube of                                                                                                                                                                crustless bread, 2                                                                                                                                                                                                                    fresh rosemary leaves, DATE, 1                                                                                                                                                                                                                    destoned date, 2                                                                                                                                                                                                                    crumbled blanched hazelnuts, 1                                                                                                                                                                drizzle of                                                                                                                                                                runny honey, RICOTTA, 1                                                                                                                                                                piece of                                                                                                                                                                torn ricotta or firm goat's cheese, slices of                                                                                                                                                                fresh red chilli, PEAR, 1                                                                                                                                                                wedge of                                                                                                                                                                ripe pear, a                                                                                                                                                                few dried cranberries, 1                                                                                                                                                                                                                    fresh thyme tip, FIG, ½                                                                                                                                                                a                                                                                                                                                                torn ripe fig stuffed with pine nuts, 1                                                                                                                                                                drizzle of                                                                                                                                                                runny honey, STUFFING, 1                                                                                                                                                                little                                                                                                                                                                quenelle or ball of stuffing, 2                                                                                                                                                                scrapings of                                                                                                                                                                nutmeg","Lay 1 rasher of smoked streaky bacon – and it must be smoked – on a board and run the side of your knife along it to flatten it out, meaning you can chop it in the middle and use half a rasher for each blanket., Place your filling on top, then roll and wrap it up, lining them up in an oiled roasting tray as you go., Cook in a preheated oven at 180°C/350°F/gas 4 for around 20 minutes, or until golden and cooked through, then serve."
Giant baked beans | Jamie Oliver recipes,"Mini sausage meatballs, sweet tomatoes & tangy feta","https://img.jamieoliver.com/jamieoliver/recipe-database/153397692.jpg?tr=w-800,h-1066","['Serves', '6']",In50 minutes,,571,34.6g,13.3g,12.6g,2g,31.4g,32.9g,10.6g,"6 spicy higher-welfare pork sausages or veggie alternative (400g total), 320g frozen chopped mixed onion, carrot and celery, 1 x 700g jar of giant butter beans or 2 x 400g tins of butter beans, 2 x 400g tins of plum tomatoes, 200g feta cheese",
Sausage sandwich | Jamie Oliver recipes,Manchego-stuffed peppers & olive tapenade,"https://img.jamieoliver.com/jamieoliver/recipe-database/153403610.jpg?tr=w-800,h-1066","['Serves', '4']",In18 minutes,"“It doesn’t take a genius to work out that crispy golden sausage in a soft bun with sweet charred peppers stuffed with oozy Manchego cheese and fragrant tapenade is a great thing, any day. Enjoy! ”",577,32.1g,11.6g,10.1g,2.6g,26.3g,44.1g,3.1g,"4                                                                                                                                                                                                                    brioche buns, 6                                                                                                                                                                                                                    higher-welfare sausages                                                                                                                                                                , (400g total), 4                                                                                                                                                                large                                                                                                                                                                jarred roasted red peppers                                                                                                                                                                , (whole), 80                                                                                                                                                                g                                                                                                                                                                Manchego cheese, 4                                                                                                                                                                teaspoons                                                                                                                                                                black olive tapenade",
Chicken & Merguez stew | Jamie Oliver recipes,"Beautiful bay marinade, slow-cooked onions & beans","https://img.jamieoliver.com/jamieoliver/recipe-database/154403191.jpg?tr=w-800,h-1066","['Serves', '4']",In1 hour,"“This is a really delicious Tunisian-style casserole, using the French cassoulet as inspiration to create massive flavour with hardly any ingredients. Feel free to add a little harissa into the mix, if you like. ”",644,23.6g,6.9g,14.3g,2g,69.4g,39.1g,10.7g,"4                                                                                                                                                                                                                    onions, 5                                                                                                                                                                                                                    Merguez sausages (300g), 1                                                                                                                                                                x 1.2kg                                                                                                                                                                whole free-range chicken, 12                                                                                                                                                                fresh                                                                                                                                                                bay leaves, 2                                                                                                                                                                x 400g tins of                                                                                                                                                                mixed beans",
Sausage brunch bap | Jamie Oliver recipes,With a silky egg omelette,"https://img.jamieoliver.com/jamieoliver/recipe-database/134584622.jpg?tr=w-800,h-1066","['Serves', '1']",In10 minutes,"“I look forward to this weekend brunch sandwich all week. A gnarly sausage patty, topped with golden mushrooms, creamy avocado and a silky egg omelette – it’s a hand-held thing of beauty ”",588,37.2g,11.4g,7g,1.8g,25.3g,37.8g,2.2g,"1                                                                                                                                                                                                                    higher-welfare pork or vegetarian sausage, 2                                                                                                                                                                                                                    chestnut mushroom, ½                                                                                                                                                                                                                    an avocado, ½                                                                                                                                                                                                                    a lime, extra virgin olive oil, 1                                                                                                                                                                                                                    brioche-style burger bun, chilli sauce to serve                                                                                                                                                                , optional, 1                                                                                                                                                                                                                    free-range egg, olive oil, 15                                                                                                                                                                g                                                                                                                                                                Red Leicester or Cheddar cheese","Place a large dry frying pan on a medium-high heat. Score 1 higher-welfare pork (or vegetarian sausage) lengthways and remove the skin, then press into a pattie shape, roughly the same size as the bun and place in the pan. Slice 2 chestnut mushrooms to 1cm thick and add to the pan., Cook the sausage patty for 2 minutes on each side, pushing the mushrooms into the sausage fat, until the mushrooms are golden and the sausage is cooked through., Meanwhile, destone and thickly slice ½ an avocado then gently fan out the slices. Squeeze over the juice from ½ a lime, drizzle with extra virgin olive oil and add a small pinch of black pepper., Halve 1 brioche-style burger bun, push the mushrooms to one side and toast the bun in the pan until golden., Spread the bun base with the chilli sauce (if using) and top with the sausage patty and mushrooms., Crack 1 egg into a bowl and beat with a fork. Carefully wipe out the pan and place back on the heat. Drizzle in 1 teaspoon of olive oil, then pour in the egg, tilting and swirling the pan, so the egg covers the base. Grate over 15g of Red Leicester or Cheddar cheese, then remove the pan from the heat and use a spatula to carefully flick in the sides of the egg until it's all folded into a perfectly silky omelette., Place the omelette on top of the mushrooms, lay over the sliced avocado and drizzle with more chilli sauce, if you like. Top with the bun lid and dig in!"
Slow-roasted lamb | Jamie Oliver recipes,"Fennel, sage, onion & merguez stuffing","https://img.jamieoliver.com/jamieoliver/recipe-database/126266198.jpg?tr=w-800,h-1066","['leftover', 'meat']",,"“Boning, stuffing and rolling the lamb means the flavourful filling infiltrates the meat as it cooks and vice versa. By stuffing the shoulder, you’re able to stretch the meat even further, and by removing the bones, the lamb is easier to carve – it’s a one-slice wonder! ”",458,28.5g,12.5g,1.3g,0.7g,30g,17.4g,1g,"olive oil, 5                                                                                                                                                                                                                    higher-welfare merguez sausages                                                                                                                                                                , (250g total), 1                                                                                                                                                                bunch of                                                                                                                                                                sage                                                                                                                                                                , (20g), 2                                                                                                                                                                small bulbs of                                                                                                                                                                fennel, 2                                                                                                                                                                                                                    red onions, 250                                                                                                                                                                ml                                                                                                                                                                white wine, 250                                                                                                                                                                g                                                                                                                                                                sourdough bread, 3                                                                                                                                                                kg                                                                                                                                                                higher-welfare lamb shoulder                                                                                                                                                                , bone in (see tip below), 1                                                                                                                                                                bulb of                                                                                                                                                                garlic, 2                                                                                                                                                                heaped tablespoons                                                                                                                                                                plain flour, 1                                                                                                                                                                tablespoon                                                                                                                                                                blackberry or blackcurrant jam, red wine vinegar, Green sauce                                                                                                                                                                , to serve (optional)",
Susan's seafood gumbo | Jamie Oliver recipes,"King prawns, langoustines, sea bass & cockles","https://img.jamieoliver.com/jamieoliver/recipe-database/118227284.jpg?tr=w-800,h-1066","['Serves', '8']",30 minutes,"“Inspired by the one and only legendary US chef Leah Chase, this spicy New Orleans classic is the ultimate surf & turf. A dark roux is key here, plus the ‘holy trinity’ base of onions, peppers and celery. Feel free to substitute the prawns with crayfish, and use any other type of cured sausage you like. It’s seriously good – pure comfort in a bowl.  ”",583,36g,13g,6.2g,2.8g,45.9g,19.7g,3.1g,"1.5                                                                                                                                                                litres of                                                                                                                                                                organic chicken or beef stock, 16                                                                                                                                                                large                                                                                                                                                                raw shell-on king prawns                                                                                                                                                                , from sustainable sources, 500                                                                                                                                                                g                                                                                                                                                                quality smoked spicy sausage                                                                                                                                                                , such as Andouille, olive oil, 50                                                                                                                                                                g                                                                                                                                                                unsalted butter, 5                                                                                                                                                                heaped tablespoons                                                                                                                                                                plain flour, 2                                                                                                                                                                large                                                                                                                                                                green peppers, 1                                                                                                                                                                large                                                                                                                                                                onion, 3                                                                                                                                                                sticks of                                                                                                                                                                celery, 5                                                                                                                                                                                                                    fresh bay leaves, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh thyme                                                                                                                                                                , (30g), 8                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                teaspoon                                                                                                                                                                cayenne pepper, 1                                                                                                                                                                teaspoon                                                                                                                                                                 Tabasco sauce, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                quality plum tomatoes, 200                                                                                                                                                                g                                                                                                                                                                green beans, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh curly parsley                                                                                                                                                                , (30g), 600                                                                                                                                                                g                                                                                                                                                                sea bass fillets                                                                                                                                                                , skin on, scaled and pin-boned, from sustainable sources, 4                                                                                                                                                                                                                    fresh langoustines                                                                                                                                                                , from sustainable sources (optional), 300                                                                                                                                                                g                                                                                                                                                                fresh cockles or clams                                                                                                                                                                , cleaned, from sustainable sources, 1                                                                                                                                                                                                                    lemon","Warm the stock in a pan over a low heat. Peel the prawns (keeping the tails on), throwing the heads and shells into the stock pan as you go. Run the tip of a knife down the backs of the prawns and pull out and discard the dark veins, then score a little deeper so they butterfly as they cook., Slice the sausage into rough chunks, place in a large casserole pan on a medium-high heat with 1 tablespoon of olive oil, then cook for 10 minutes, or until it has released its tasty fat., Turn down the heat to low, then remove the sausage to a plate, leaving the fat behind in the pan. Stir the butter and flour into the pan, really scraping up all the sticky bits from the bottom. Continue stirring for 15 to 20 minutes (be patient!), or until dark golden brown – think peanut butter, but you can take it even darker, if you prefer (see tip). You want the roux to have a semi-loose, doughy consistency, so add a splash of oil if there isn’t a lot of fat., Deseed the peppers, peel the onion and roughly chop with the celery, then stir into the roux pan (this is called the holy trinity). Scrunch and add the bay leaves and strip in the thyme leaves, then peel, finely chop and add the garlic, followed by the cayenne and Tabasco., Put the sausage back into the pan, then scrunch in the tomatoes using clean hands, stirring as you go. Ladle the stock through a sieve into the pan, then let it blip away for 10 minutes., Trim the green beans, slice each into three pieces, then add to the pan and cook for 6 minutes. Meanwhile, pick and finely chop the parsley., Slice the sea bass fillets lengthways into thin strips, then halve the langoustines and crack the claws (if using). Sort through the cockles or clams and tap them – if any stay open, throw them away., Add all the fish and seafood to the pan and simmer for a few minutes, or until perfectly cooked – the prawns should be pink and the clams or cockles open (discard any that remain closed), stirring regularly., Squeeze over lemon juice to taste, and scatter with the chopped parsley. Delicious served with fluffy rice."
Sam Smith's roasted haggis tacos | Jamie Oliver recipes,"With red onion ceviche, creamy avo and a spicy salsa","https://img.jamieoliver.com/jamieoliver/recipe-database/117460785.jpg?tr=w-800,h-1066","['Serves', '12']",plus soaking,"“Mexico has its own style of haggis called montalayo, and I’m riffing off that idea, combining Scottish haggis, black pudding and slow-cooked pork with Mexican-style flavours to create something contemporary and utterly delicious. 
 ”",563,32.6g,9.2g,6.8g,2.5g,20.3g,52.1g,4.1g,"SPICE PASTE, 2                                                                                                                                                                 tablespoons                                                                                                                                                                annatto seeds, 120                                                                                                                                                                ml                                                                                                                                                                hot water, ½                                                                                                                                                                 a large                                                                                                                                                                onion, 5                                                                                                                                                                 cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                tablespoon                                                                                                                                                                dried Mexican oregano, 1                                                                                                                                                                teaspoon                                                                                                                                                                freshly ground allspice, 1½                                                                                                                                                                teaspoons                                                                                                                                                                freshly ground black pepper, 50                                                                                                                                                                g                                                                                                                                                                ancho chilli powder, 1                                                                                                                                                                teaspoon                                                                                                                                                                coarse sea salt, 3                                                                                                                                                                 tablespoons                                                                                                                                                                cider vinegar, Juice of 3 oranges, FILLING, 1                                                                                                                                                                                                                    red onion, 1                                                                                                                                                                small                                                                                                                                                                haggis                                                                                                                                                                , (450g), 1 x                                                                                                                                                                                                                    baby back ribs                                                                                                                                                                , (400g), 250                                                                                                                                                                g                                                                                                                                                                shoulder of pork                                                                                                                                                                , bone out and skin removed, 350                                                                                                                                                                ml                                                                                                                                                                organic chicken stock, CORN TACOS, 500                                                                                                                                                                g                                                                                                                                                                white masa harina flour, RED ONION CEVICHE, 2                                                                                                                                                                                                                    red onions, 2                                                                                                                                                                                                                    oranges, 2                                                                                                                                                                                                                    limes, AVOCADO, 3                                                                                                                                                                                                                    avocados, 1                                                                                                                                                                                                                    lemon, ½                                                                                                                                                                 a bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                 , (15g), SALSA, 4                                                                                                                                                                                                                    jalapeño chillies, 20                                                                                                                                                                                                                    cherry tomatoes on the vine, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2                                                                                                                                                                                                                    limes, extra virgin olive oil, 1                                                                                                                                                                large bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (30g)","The day before you want to eat, place the annatto seeds in a small bowl, pour over the boiling water and leave to soak overnight., The following day, make the spice paste. Peel the onion half, then place it in a dry pan over a medium-low heat with the unpeeled cloves of garlic and char for 15 to 20 minutes, or until soft and slightly browned, stirring occasionally. Add the oregano and toast, stirring, for 2 minutes, then remove from the heat and leave to cool slightly., Tip everything from the pan into a food processor, squeezing the cloves of garlic out of their skins (discard these) first, then add the remaining paste ingredients and blitz until smooth., Preheat the oven to 130°C/250°F/gas ½. For the filling, peel and finely slice the red onion, then place into a large casserole pan with the haggis, ribs, black pudding and shoulder of pork. Rub everything with the spice paste, until completely covered, then pour in the stock. Cover with greaseproof paper and foil and cook in the oven for 8 hours, or until tender., To make the tacos, put the flour into a large bowl with a pinch of sea salt and make a well in the middle. Measure out 700ml of boiling kettle water in a jug. Pour into the well, then use a fork to gradually mix the flour into the water, until it starts to come together. Bring into a smooth dough and rest for 20 minutes., Divide into 36 equal pieces. Roll into balls, covering with a clean damp tea towel as you go to prevent the dough from drying out. Tear off a large sheet of greaseproof paper, fold it in half, place one ball in the middle, and roll out between the paper until about 1mm thick. Cook in a dry non-stick pan on a medium-high heat until starting to curl at the edges, then flip and cook on the other side, rolling out your next ball while it cooks. Stack up in a clean tea towel so they stay warm., To make the red onion ceviche, peel and finely chop the red onions. Tip into a small bowl and cover with the juice of the oranges and limes, then set aside., Thinly slice the avocados and place on a plate with a pinch of sea salt and squeeze of lemon juice. Pick over the coriander leaves, then set aside., To make the salsa, char the jalapeños, tomatoes and the unpeeled cloves of garlic in a large dry frying pan over a medium heat for 5 minutes, until blistered, but not burst. Remove the stalks from the jalapeños, peel the garlic, then bash them to a paste in a pestle and mortar with a pinch of salt. Add the charred tomatoes, along with the juice of 2 limes and 4 tablespoons of extra virgin olive oil and tear in the mint leaves, then muddle together to make a salsa., When the meat is cooked, shred it, discarding the bones and the metal fastening of the haggis, transfer to a large platter, then take everything to the table for everyone to load up their own tacos."
