Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Ant & Dec's Japanese feast | Jamie Oliver,"Tuna, scallops & salmon sashimi","https://img.jamieoliver.com/jamieoliver/recipe-database/100107704.jpg?tr=w-800,h-1066","['Serves', '4']",In10 minutes,“This is a really easy introduction to Japanese cuisine – three simple recipes you can prepare at home.  ”,244,17.5g,2.6g,1.2g,0.3g,18.3g,3.5g,0.4g,"NEW-STYLE SALMON SASHIMI, 120                                                                                                                                                                g                                                                                                                                                                sushi-grade salmon fillet                                                                                                                                                                , from sustainable sources, ½                                                                                                                                                                 tablespoon                                                                                                                                                                olive oil, ½                                                                                                                                                                 tablespoon                                                                                                                                                                sesame oil, ½                                                                                                                                                                 tablespoon                                                                                                                                                                toasted sesame seeds, ½                                                                                                                                                                a                                                                                                                                                                 fresh red chilli, mouli cress, ponzu                                                                                                                                                                , (non-alcoholic versions are available), SCALLOPS, 2                                                                                                                                                                 cloves of                                                                                                                                                                 garlic, vegetable oil, 4                                                                                                                                                                                                                    fresh scallops                                                                                                                                                                , roe discarded,  from sustainable sources, yuzu juice, shiso leaf                                                                                                                                                                , optional, ½                                                                                                                                                                a                                                                                                                                                                pomegranate, 1                                                                                                                                                                punnet                                                                                                                                                                purple shiso cress or mooli cress, extra virgin olive oil, TUNA, 100                                                                                                                                                                g                                                                                                                                                                sushi-grade tuna                                                                                                                                                                , from sustainable sources, ½                                                                                                                                                                a clove of                                                                                                                                                                garlic, 1                                                                                                                                                                teaspoon                                                                                                                                                                reduced-salt dark soy sauce, teaspoon                                                                                                                                                                yuzu, 1                                                                                                                                                                                                                    lime, 1                                                                                                                                                                                                                    fresh red or yellow chilli, 1                                                                                                                                                                handful of                                                                                                                                                                micro coriander, olive oil",
Sizzling seared scallops | Seafood recipes | Jamie Oliver recipes,With minty mash & black pudding,"https://img.jamieoliver.com/jamieoliver/recipe-database/55846349.jpg?tr=w-800,h-1066","['Serves', '2']",In18 minutes,,517,23.6g,5g,3.6g,1.3g,27.4g,52g,7.9g,"400                                                                                                                                                                g                                                                                                                                                                potatoes, 200                                                                                                                                                                g                                                                                                                                                                frozen peas, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh mint (15g), 6-8                                                                                                                                                                                                                    raw king scallops                                                                                                                                                                , coral attached, trimmed, from sustainable sources, 50                                                                                                                                                                g                                                                                                                                                                firm higher-welfare black pudding","Wash the potatoes, chop into 3cm chunks and cook in a pan of boiling salted water for 12 minutes, or until tender, adding the peas for the last 3 minutes., Meanwhile, pick and finely chop most of the mint leaves and put aside., Place a non-stick frying pan on a medium-high heat. Once hot, put 1 tablespoon of olive oil and the remaining mint leaves in to crisp up for 1 minute, then scoop the leaves on to a plate, leaving the oil behind., Season the scallops with sea salt and black pepper and fry for 2 minutes on each side, or until golden. Crumble in the black pudding (discarding the skin) so it crisps up alongside., Drain the peas and potatoes, return to the pan, mash well with the chopped mint and 1 tablespoon of extra virgin olive oil, taste and season to perfection., Plate up with the scallops and black pudding, drizzle lightly with extra virgin olive oil, and sprinkle over the crispy mint."
Michael McIntyre’s scallops for Kitty| Jamie Oliver recipes,"Crispy pancetta, anchovies, broccoli & beans","https://img.jamieoliver.com/jamieoliver/recipe-database/51137523.jpg?tr=w-800,h-1066","['Serves', '2']",In20 minutes,"“Michael and his wife, Kitty, enjoyed scallops just like this on one of their first dates. They were at the River Café, where I used to work back in the day, so it was a real treat for me to reminisce and recreate that vibe for them here. Make this special dish for someone you love and really knock their socks off! ”",459,30.1g,5.1g,2.7g,1.5g,28.1g,19.2g,10.2g,"1½                                                                                                                                                                cloves of                                                                                                                                                                garlic, ½ a                                                                                                                                                                                                                    fresh red chilli, olive oil, 2                                                                                                                                                                 sprigs of                                                                                                                                                                fresh rosemary, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                borlotti beans, 1                                                                                                                                                                teaspoon                                                                                                                                                                red or white wine vinegar, 150                                                                                                                                                                g                                                                                                                                                                tenderstem broccoli, 2                                                                                                                                                                                                                    anchovy fillets in oil                                                                                                                                                                , from sustainable sources, extra virgin olive oil, ½ a                                                                                                                                                                                                                    lemon, 6                                                                                                                                                                                                                    scallops                                                                                                                                                                , trimmed, roes attached, from sustainable sources, 4                                                                                                                                                                thin rashers of                                                                                                                                                                higher-welfare smoked pancetta, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh sage","Peel and finely slice 1 clove of garlic, deseed and finely chop the chilli, then place in a frying pan on a medium heat with 1 tablespoon of olive oil., Strip the leaves off 1 sprig of rosemary, finely chop, add to the pan and cook for 1 minute., Tip in the beans (juice and all) to warm through, then add the vinegar and season with sea salt and black pepper. Leave to tick away, adding splashes of water, if needed., Trim the broccoli, halving any thicker stems lengthways, cook in a pan of boiling salted water for 6 minutes, or until just tender, then drain., Meanwhile, strip the remaining rosemary into a pestle and mortar, peel and add the remaining ½ clove of garlic along with the anchovies, pound well, then muddle in 2 tablespoons of extra virgin olive oil (or use oil from the anchovy tin) and a squeeze of lemon juice., Season the scallops with a pinch of salt. Place a frying pan on a high heat with 1 tablespoon of olive oil, and cook the scallops and pancetta for 1 to 1½ minutes on each side, depending on the size of the scallops., Pick in the sage leaves for the last minute, add a squeeze of lemon juice and toss together, then remove from the heat., Toss the drained broccoli with a drizzle of the anchovy dressing, to taste (save the rest for another day)., Spoon the beans on to a serving plate and top with the dressed broccoli, then the scallops, crispy pancetta and sage."
Roasted scallops with pancetta & hazelnuts | Seafood recipes | Jamie magazine recipes,Finished with fresh tarragon,"https://img.jamieoliver.com/jamieoliver/recipe-database/0zUWqQkJqdt9Tr-N2HFf5E.jpg?tr=w-800,h-1066","['Serves', '4']",,,366,32.2g,4.4g,3.1g,0.59g,13.9g,5.5g,3.2g,"4                                                                                                                                                                                                                    scallops in the half shell                                                                                                                                                                , from sustainable sources, 80                                                                                                                                                                g                                                                                                                                                                higher-welfare pancetta, 1                                                                                                                                                                small                                                                                                                                                                onion, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, olive oil, 150                                                                                                                                                                g                                                                                                                                                                hazelnuts, 1                                                                                                                                                                sprig of                                                                                                                                                                fresh tarragon","Keep the scallops in their shell, place on a roasting tray and leave to one side., Preheat the oven to 180°C/350°F/gas 4., Finely dice the pancetta, then peel and finely dice the garlic and onion., Place a frying pan over a medium heat and drizzle in a little oil, add the pancetta and fry for 2 minutes, or until golden. Add the garlic and onion and cook for 8 to 10 minutes, or until softened., Meanwhile, toast and roughly chop the hazelnuts, then pick and roughly chop the tarragon. Put both to one side., Divide the pancetta mixture between the scallops, pouring any juices from the pan over the top., Pop the tray in the oven for 7 minutes, or until the flesh is no longer translucent and the scallops are cooked through., To serve, sprinkle the chopped hazelnuts over the scallops, and garnish with the tarragon leaves."
Fish stew | Fish recipes | Jamie magazine,,"https://img.jamieoliver.com/jamieoliver/recipe-database/Bbe93weQ41Y8AREia6D7iT.jpg?tr=w-800,h-1066","['Serves', '4']",In55 minutes,,205,8.1g,1.3g,4.2g,,20.9g,6.6g,,"1                                                                                                                                                                clove of                                                                                                                                                                garlic, ½                                                                                                                                                                a                                                                                                                                                                fresh red chilli, ½                                                                                                                                                                a                                                                                                                                                                small onion, ½                                                                                                                                                                a stick of                                                                                                                                                                celery, ½                                                                                                                                                                a small                                                                                                                                                                carrot, 1                                                                                                                                                                                                                    baby leek or ¼ of a medium leek, olive oil, 1                                                                                                                                                                pinch of                                                                                                                                                                saffron, ¼                                                                                                                                                                teaspoon                                                                                                                                                                fennel seeds, 1                                                                                                                                                                pinch of                                                                                                                                                                ground cinnamon, 1                                                                                                                                                                                                                    lemon, 1                                                                                                                                                                                                                    orange, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                plum tomatoes, 150                                                                                                                                                                ml                                                                                                                                                                white wine, 1                                                                                                                                                                litre                                                                                                                                                                organic fish stock, 4                                                                                                                                                                small pieces of                                                                                                                                                                red snapper, from sustainable sources, 4                                                                                                                                                                small pieces of                                                                                                                                                                striped bass, from sustainable sources, 5                                                                                                                                                                                                                    anchovies, from sustainable sources, 12                                                                                                                                                                                                                    mussels, from sustainable sources, 12                                                                                                                                                                                                                    cockles, from sustainable sources, 4                                                                                                                                                                                                                    scallops, preferably on shell, from sustainable sources","Peel and finely slice the garlic, then finely chop the chilli. Peel the onion, then chop along with the celery, carrot and leek., Heat 1 tablespoon of oil in a pan until it starts to smoke, then add the garlic and chilli, and cook till golden., Add the onion, celery and carrot, then cook for 10 minutes, till caramelised. Add the leek and cook until soft., Stir in the spices and peel a strip of peel from the lemon and orange. Add to the pan and cook for a few minutes., Drain and roughly chop the tinned tomatoes, then add to the pan, stirring occasionally, until sweet and rich., Pour in the wine and cook out the alcohol. Add stock and simmer for about 20 minutes., Remove from the heat, purée with a hand blender, and season to taste., Wash the shellfish thoroughly under cold running water, discarding any that remain open when tapped., Reheat the soup, add the snapper, bass and anchovies, then cover and cook for 2 minutes., Add the shellfish, cover and cook until the fish is just done and the shellfish are open. Serve in hot bowls, with a little garlic mayo, if desired."
Summery pea soup with turmeric scallops | Jamie Oliver,,"https://img.jamieoliver.com/jamieoliver/recipe-database/8mtbl8lHaTwBhdkn66cKQd.jpg?tr=w-800,h-1066","['Serves', '4']",In25 minutes,"“The scallop topping (which can also be made with raw, peeled prawns) is an optional extra, but turns the soup into something truly special. ”",243,12.2g,2.4g,4.5g,,19.1g,15.6g,,"1                                                                                                                                                                bunch of                                                                                                                                                                spring onions, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 5cm piece of                                                                                                                                                                ginger, 1                                                                                                                                                                                                                    fresh green Bird’s-eye chilli, 1                                                                                                                                                                teaspoon                                                                                                                                                                cumin seeds, groundnut oil, 3                                                                                                                                                                                                                    fresh curry leaves, 800                                                                                                                                                                ml                                                                                                                                                                organic vegetable or chicken stock, 450                                                                                                                                                                g                                                                                                                                                                fresh or frozen peas, ½                                                                                                                                                                teaspoon                                                                                                                                                                jaggery or brown sugar, 2                                                                                                                                                                teaspoons                                                                                                                                                                tamarind paste, ½                                                                                                                                                                a                                                                                                                                                                lime, TURMERIC SCALLOPS, groundnut oil, ½                                                                                                                                                                teaspoon                                                                                                                                                                mustard seeds, ¼                                                                                                                                                                teaspoon                                                                                                                                                                ground turmeric, 10                                                                                                                                                                                                                    fresh curry leaves, 175                                                                                                                                                                g                                                                                                                                                                queen or other small scallops, from sustainable sources","Trim and roughly chop the spring onions, peel and chop the garlic and ginger, then deseed and chop the chilli., Toast the cumin seeds in a dry pan, then add 2 tablespoons of oil, the spring onions, garlic, ginger, chilli and curry leaves., Fry for 1 to 2 minutes, or until sizzling, then pour in the stock and bring to the boil., Add the peas and simmer for 4 to 5 minutes, then stir in the jaggery or sugar and tamarind paste. Season to taste, then use a stick blender to purée until smooth. Set aside., For the scallops, heat 1 tablespoon of oil in a frying pan over a high heat. Add the mustard seeds and stir continuously until they pop., Mix in the turmeric and curry leaves, followed by the scallops, frying for about 1 minute on each side, until they are cooked through and beginning to brown., Reheat the soup (don’t let it boil or it will lose its freshness), then taste, adding lime juice if you feel it needs extra tang., Divide between warmed bowls and spoon on the spiced scallops and curry leaves to finish."
Grilled scallops | Seafood recipes | Jamie magazine,An impressively simple starter,"https://img.jamieoliver.com/jamieoliver/recipe-database/4I8Qhj8OK2P80y8rMEZsIA.jpg?tr=w-800,h-1066","['Serves', '6']",In15 minutes,,454,34.9g,2.4g,0.6g,,19.7g,14.7g,,"12                                                                                                                                                                                                                    scallops                                                                                                                                                                , roe attached and shells reserved, from sustainable sources, 100                                                                                                                                                                g                                                                                                                                                                fresh white breadcrumbs, ANCHOVY, MINT & CORIANDER DRESSING, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (15g), ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (15g), 10                                                                                                                                                                                                                    anchovies in oil                                                                                                                                                                , from sustainable sources, 200                                                                                                                                                                ml                                                                                                                                                                rapeseed oil, 1-2                                                                                                                                                                                                                    limes","Preheat the grill to full whack., To make the dressing, chop the coriander and mint leaves, then blitz with the anchovies for 1 minute. Add the oil and squeeze in 25ml of the lime juice and blitz for another minute., Place a scallop with its roe into each shell and add 1 tablespoon of dressing to each., Lay them on a baking tray and place on a high shelf under the grill. Cook for 3 to 4 minutes, then remove and top with a sprinkling of breadcrumbs., Place back under the grill, on a low shelf, for a further 2 to 3 minutes, or until golden, and serve immediately."
Asian-style seafood parcels | Jamie Oliver recipes,"Fragrant lemongrass, fresh ginger & lime","https://img.jamieoliver.com/jamieoliver/recipe-database/46229180.jpg?tr=w-800,h-1066","['Serves', '2']",In45 minutes,"“This mighty recipe is a real celebration of seafood, and for me it ticks every box. The parcels seal in all the amazing Asian flavours, and you’re left with a dish that’s gorgeously fragrant and seriously satisfying. What a joy! ”",451,7.4g,2.3g,2.9g,0.9g,32.3g,68.2g,2.8g,"1                                                                                                                                                                                                                    bream fillet                                                                                                                                                                , skin on, scaled, pin-boned, from sustainable sources, 2                                                                                                                                                                                                                    scallops                                                                                                                                                                , trimmed, roes attached, from sustainable sources, 2                                                                                                                                                                large                                                                                                                                                                raw shell-on king prawns                                                                                                                                                                , from sustainable sources, 75                                                                                                                                                                g                                                                                                                                                                mussels                                                                                                                                                                , scrubbed, debearded, from sustainable sources, 75                                                                                                                                                                g                                                                                                                                                                clams                                                                                                                                                                , scrubbed, from sustainable sources, ½                                                                                                                                                                a stick of                                                                                                                                                                lemongrass, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 2.5                                                                                                                                                                cm piece of                                                                                                                                                                ginger, 2                                                                                                                                                                                                                    fresh lime leaves, 1                                                                                                                                                                                                                    fresh red chilli, 4                                                                                                                                                                sprigs of                                                                                                                                                                fresh coriander, 1                                                                                                                                                                teaspoon                                                                                                                                                                fish sauce, ½                                                                                                                                                                tablespoon                                                                                                                                                                low-salt soy sauce, 2                                                                                                                                                                                                                    limes, 1                                                                                                                                                                                                                    bok choi, 1                                                                                                                                                                handful of                                                                                                                                                                sugar snap peas, 50                                                                                                                                                                g                                                                                                                                                                purple sprouting broccoli, 50                                                                                                                                                                g                                                                                                                                                                choi sum, 1                                                                                                                                                                large                                                                                                                                                                free-range egg, 150                                                                                                                                                                g                                                                                                                                                                basmati rice, ½                                                                                                                                                                tablespoon                                                                                                                                                                coconut cream","Preheat the oven to 220ºC/425ºF/gas 7., Halve the bream fillet and lightly score the skin, then lightly score the scallops in a criss-cross pattern. Peel the prawns, leaving the heads and tails on (for bonus flavour), then run the tip of a knife down their backs and pull out the vein. Put it all into a bowl., Pick through the mussels and clams, discarding any that remain open when tapped. Put aside in a separate bowl., To make the marinade, trim the lemongrass, peel the garlic and ginger, then roughly chop with the lime leaves, half the chilli (deseed first, if you like) and the coriander stalks (reserving the leaves). Scrape into a pestle and mortar and bash to a smooth paste., Muddle in the fish and soy sauces, squeeze in the juice of 1 lime, then season to perfection with sea salt and black pepper., Quarter the bok choi, halve the sugar snaps lengthways, trim the broccoli, then slice the choi sum into 5cm chunks., Tear off a 60cm-long piece of wide tin foil and place a slightly smaller piece of greaseproof paper on top. Pile on the greens, add the fish and seafood, then drizzle over the marinade., Beat the egg and brush it around the foil edges, then place another large piece of foil on top. Leaving about 5cm around the filling, fold in the foil to create a sealed parcel., Place on a baking tray, being careful not to pierce the foil, and place the tray on the bottom of the oven for 15 minutes., Meanwhile, put the rice and coconut cream into a medium pan with twice the volume of boiling salted water. Bring to the boil, then cover and cook on a low heat until tender., Remove the fish parcel from the oven and very carefully cut it open (mind out for the steam!). Place on a platter, discarding any mussels or clams that haven’t opened., Finely slice and scatter over the remaining chilli, tear over the coriander leaves, and serve with the rice and lime wedges for squeezing over."
Awesome Asian Fish Stew | Fish Recipes | Jamie Oliver,,"https://img.jamieoliver.com/jamieoliver/recipe-database/46257963.jpg?tr=w-800,h-1066","['Serves', '4']",In45 minutes,“This version packs a punch but you can adapt it to taste by using different types of chilli or whatever seafood or fish you fancy. ”,747,29.8g,7.5g,4.3g,,55.7g,64.6g,,"2                                                                                                                                                                                                                    limes, 300-350                                                                                                                                                                g                                                                                                                                                                jasmine or basmati rice, 1-2                                                                                                                                                                tablespoons                                                                                                                                                                sesame oil, 1 x 400                                                                                                                                                                ml tin of                                                                                                                                                                light coconut milk, 250                                                                                                                                                                ml                                                                                                                                                                organic chicken stock, 5-6                                                                                                                                                                                                                    dried Bird's eye chillies, 400                                                                                                                                                                g                                                                                                                                                                monkfish, from sustainable sources, 8                                                                                                                                                                                                                    queen scallops                                                                                                                                                                , or 4 large scallops, from sustainable sources, 4                                                                                                                                                                                                                    langoustines, cleaned, from sustainable sources, low-salt soy sauce, SPICE PASTE, 2                                                                                                                                                                thumb-sized pieces of                                                                                                                                                                ginger, 4                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2                                                                                                                                                                                                                    fresh sweet mild red chillies, 2                                                                                                                                                                                                                    lemongrass stalks, ½                                                                                                                                                                bunch of                                                                                                                                                                fresh coriander, 8                                                                                                                                                                                                                    kaffir lime leaves, 1                                                                                                                                                                teaspoon                                                                                                                                                                sweet chilli powder, 2                                                                                                                                                                tablespoons                                                                                                                                                                groundnut oil","To make the spice paste, peel and chop the ginger and garlic, then chop the chillies, lemongrass and coriander, including the stalks., Place in a pestle and mortar or blender with the remaining paste ingredients and either pound or blitz till you’ve got a thick, aromatic paste., Bring a large pan of water to the boil. Peel the lime zest and add to the water with the rice, and wait for the grains to start dancing around. Boil for 5 minutes, then drain in a sieve., Pour 2.5cm of water into the pan, put it back on the heat, bring to the boil, then turn down to a simmer. Cover the rice in the sieve with tin foil and place on top of the pan for 8 minutes, or until tender., Place another large pan over a medium heat. Add the sesame oil, then the spice paste, and fry for a minute or so to get the flavours going., Add the coconut milk, chicken stock and lime juice. Give it a stir, add the whole dried chillies, then bring to the boil and turn down to a simmer. Cook for 5 minutes., Cut the monkfish into 1cm slices, then halve the scallops., Add the langoustines to the pan and cook for 3 minutes, then add your fish and scallops and cook for 3 more minutes. The fish won’t need long, so once it’s cooked through and the langoustines have turned bright red and their tails have curled up, take the stew off the heat., Add a few dashes of soy sauce to taste. Put some rice into each bowl, then ladle over that incredible stew, making sure everyone gets a langoustine and pieces of fish and scallops. Just watch out for those dried chillies if you aren’t a chilli freak like me!"
DJ BBQ's scallops | Fish recipes | Jamie Oliver recipes,With chilli garlic butter,"https://img.jamieoliver.com/jamieoliver/recipe-database/oldImages/large/1148_1_1434097431.jpg?tr=w-800,h-1066","['Serves', '2-6']",In20 minutes,"“This delicious, easy scallop recipe is perfect for barbecues – just place them on the coals and let the magic happen ”",236,18.9g,8.9g,0.4g,0.2g,9.5g,4.3g,0.6g,"12                                                                                                                                                                                                                    scallops                                                                                                                                                                , trimmed, with the shells, 100                                                                                                                                                                ml                                                                                                                                                                dry white wine, ½                                                                                                                                                                 a bunch of                                                                                                                                                                fresh flat-leaf parsley                                                                                                                                                                , leaves picked, For the chilli garlic butter, 2                                                                                                                                                                tablespoons                                                                                                                                                                olive oil, 100                                                                                                                                                                g                                                                                                                                                                salted butter, 3                                                                                                                                                                cloves of                                                                                                                                                                garlic                                                                                                                                                                , peeled, 1                                                                                                                                                                                                                    fresh red chilli, 1                                                                                                                                                                teaspoon                                                                                                                                                                freshly ground black pepper","Spread hot coals over the base of your barbecue in a flat and even layer – the scallops are going to be cooked directly on the coals, so it doesn’t matter which barbecue technique you use here., Start by making the chilli garlic butter, which you can do on the barbecue or over a medium heat on the hob – basically, the longer those flavours get to hang out together, the better. Place the oil and butter in a pan to melt. Meanwhile, finely chop the garlic and chilli (keep the seeds in if you like the heat), then add to the pan with the black pepper. Give it a good stir, let all the ingredients party, then set aside., Place the shells with the scallops inside them on a platter, then add a dash of white wine to each one. Using tongs, place each shell directly on the grey coals, carefully positioning them so they can’t tip over. Cover with the lid like an outdoor oven and cook for 4 to 6 minutes, or until cooked through, turning the scallops halfway with tongs. Carefully remove the shells to a serving platter and drizzle about 1 tablespoon of the melted chilli garlic butter over each golden scallop. Roughly chop and scatter over the parsley leaves then serve right away., Tip:  ￼Ask your fishmonger to prep and clean the scallops for you. You’ll be cooking them in their shells, so make sure you ask for these too."
