Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Susan's seafood gumbo | Jamie Oliver recipes,"King prawns, langoustines, sea bass & cockles","https://img.jamieoliver.com/jamieoliver/recipe-database/118227284.jpg?tr=w-800,h-1066","['Serves', '8']",30 minutes,"“Inspired by the one and only legendary US chef Leah Chase, this spicy New Orleans classic is the ultimate surf & turf. A dark roux is key here, plus the ‘holy trinity’ base of onions, peppers and celery. Feel free to substitute the prawns with crayfish, and use any other type of cured sausage you like. It’s seriously good – pure comfort in a bowl.  ”",583,36g,13g,6.2g,2.8g,45.9g,19.7g,3.1g,"1.5                                                                                                                                                                litres of                                                                                                                                                                organic chicken or beef stock, 16                                                                                                                                                                large                                                                                                                                                                raw shell-on king prawns                                                                                                                                                                , from sustainable sources, 500                                                                                                                                                                g                                                                                                                                                                quality smoked spicy sausage                                                                                                                                                                , such as Andouille, olive oil, 50                                                                                                                                                                g                                                                                                                                                                unsalted butter, 5                                                                                                                                                                heaped tablespoons                                                                                                                                                                plain flour, 2                                                                                                                                                                large                                                                                                                                                                green peppers, 1                                                                                                                                                                large                                                                                                                                                                onion, 3                                                                                                                                                                sticks of                                                                                                                                                                celery, 5                                                                                                                                                                                                                    fresh bay leaves, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh thyme                                                                                                                                                                , (30g), 8                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                teaspoon                                                                                                                                                                cayenne pepper, 1                                                                                                                                                                teaspoon                                                                                                                                                                 Tabasco sauce, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                quality plum tomatoes, 200                                                                                                                                                                g                                                                                                                                                                green beans, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh curly parsley                                                                                                                                                                , (30g), 600                                                                                                                                                                g                                                                                                                                                                sea bass fillets                                                                                                                                                                , skin on, scaled and pin-boned, from sustainable sources, 4                                                                                                                                                                                                                    fresh langoustines                                                                                                                                                                , from sustainable sources (optional), 300                                                                                                                                                                g                                                                                                                                                                fresh cockles or clams                                                                                                                                                                , cleaned, from sustainable sources, 1                                                                                                                                                                                                                    lemon","Warm the stock in a pan over a low heat. Peel the prawns (keeping the tails on), throwing the heads and shells into the stock pan as you go. Run the tip of a knife down the backs of the prawns and pull out and discard the dark veins, then score a little deeper so they butterfly as they cook., Slice the sausage into rough chunks, place in a large casserole pan on a medium-high heat with 1 tablespoon of olive oil, then cook for 10 minutes, or until it has released its tasty fat., Turn down the heat to low, then remove the sausage to a plate, leaving the fat behind in the pan. Stir the butter and flour into the pan, really scraping up all the sticky bits from the bottom. Continue stirring for 15 to 20 minutes (be patient!), or until dark golden brown – think peanut butter, but you can take it even darker, if you prefer (see tip). You want the roux to have a semi-loose, doughy consistency, so add a splash of oil if there isn’t a lot of fat., Deseed the peppers, peel the onion and roughly chop with the celery, then stir into the roux pan (this is called the holy trinity). Scrunch and add the bay leaves and strip in the thyme leaves, then peel, finely chop and add the garlic, followed by the cayenne and Tabasco., Put the sausage back into the pan, then scrunch in the tomatoes using clean hands, stirring as you go. Ladle the stock through a sieve into the pan, then let it blip away for 10 minutes., Trim the green beans, slice each into three pieces, then add to the pan and cook for 6 minutes. Meanwhile, pick and finely chop the parsley., Slice the sea bass fillets lengthways into thin strips, then halve the langoustines and crack the claws (if using). Sort through the cockles or clams and tap them – if any stay open, throw them away., Add all the fish and seafood to the pan and simmer for a few minutes, or until perfectly cooked – the prawns should be pink and the clams or cockles open (discard any that remain closed), stirring regularly., Squeeze over lemon juice to taste, and scatter with the chopped parsley. Delicious served with fluffy rice."
Malaysian-style whole fish | Jamie Oliver recipes,"Sea bass, coconut rice, chilli pickle & shredded rainbow salad","https://img.jamieoliver.com/jamieoliver/recipe-database/117867077.jpg?tr=w-800,h-1066","['Serves', '4']",In1 hour,"“It’s really worth sourcing a banana leaf for this spectacular Friday Night sea bass dish. Incredible fragrance, amplified flavour and wonderful texture – it’s a real belter!
 ”",963,48.6g,17.6g,16.5g,2.3g,53.6g,82.7g,6.5g,"1                                                                                                                                                                stick of                                                                                                                                                                lemongrass, 1                                                                                                                                                                                                                    shallot, 5                                                                                                                                                                cm                                                                                                                                                                piece of ginger, 3                                                                                                                                                                                                                    fresh red chillies, 6                                                                                                                                                                                                                    lime leaves                                                                                                                                                                , (fresh or dried), 100                                                                                                                                                                g                                                                                                                                                                unsalted peanuts, 1                                                                                                                                                                tablespoon                                                                                                                                                                tomato purée, 2                                                                                                                                                                tablespoons                                                                                                                                                                fish sauce, 1                                                                                                                                                                                                                    lime, 1 x 800                                                                                                                                                                g                                                                                                                                                                whole sea bass                                                                                                                                                                , scaled, gutted, from sustainable sources, 1                                                                                                                                                                large                                                                                                                                                                banana leaf                                                                                                                                                                , optional, 1                                                                                                                                                                tablespoon                                                                                                                                                                low-salt soy sauce, PICKLE, 3                                                                                                                                                                                                                    mixed-colour chillies, 1                                                                                                                                                                pinch of                                                                                                                                                                sugar, 2                                                                                                                                                                tablespoons                                                                                                                                                                white wine vinegar, SALAD, 1                                                                                                                                                                                                                    fresh coconut, 75                                                                                                                                                                g                                                                                                                                                                sugar snap peas, 75                                                                                                                                                                g                                                                                                                                                                mangetout, ¼                                                                                                                                                                of a                                                                                                                                                                 Chinese cabbage, ¼                                                                                                                                                                of a                                                                                                                                                                red cabbage, ¼                                                                                                                                                                of a                                                                                                                                                                 cucumber, 1                                                                                                                                                                                                                    ripe mango, ½                                                                                                                                                                 a bunch of                                                                                                                                                                fresh mint                                                                                                                                                                 , (15g), ½                                                                                                                                                                 a bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (15g), ½                                                                                                                                                                 a bunch of                                                                                                                                                                fresh basil                                                                                                                                                                , (15g), 1                                                                                                                                                                                                                    lime, COCONUT RICE, 2                                                                                                                                                                tablespoons                                                                                                                                                                vegetable oil, 1                                                                                                                                                                tablespoon                                                                                                                                                                creamed coconut, 1                                                                                                                                                                                                                    lime, 1                                                                                                                                                                mug of                                                                                                                                                                jasmine rice","Preheat the oven to 220°C/425°F/gas 7., Whack the lemongrass against your work surface and remove the tough outer layer. Peel the shallot and ginger, deseed the chillies, then roughly chop everything with the lemongrass. Add to a large pestle and mortar with a good pinch of sea salt and the lime leaves (discard the stalks) and pound to a paste., Toast the peanuts in a large frying pan over a medium heat for 3 minutes, or until golden, then bash half into the paste. Add the tomato purée and fish sauce, finely grate in the lime zest and squeeze in all the juice, then muddle together., With a sharp knife, score the sea bass skin at 1cm intervals in a criss-cross fashion, then rub all over with the paste, both inside and out., Get your banana leaf (if using), or tear off a piece of baking paper five times as long as the fish and fold it in half to give you double thickness. Place the fish in the middle, then fold over to seal the fish snuggly inside. Place on a large baking tray and roast for 25 minutes, or until the flesh is succulent and comes away easily from the bone., To make the rice, drizzle the vegetable oil into a saucepan over a medium heat. Crumble in the creamed coconut, then squeeze in the lime juice, throwing in the squeezed lime halves. Tip in the rice and fry for 2 minutes, then pour over 1 mug of boiling water and turn down the heat to low. Cover and cook for 12 minutes, then remove from the heat and allow to steam for a further 3 minutes., For the chilli pickle, finely slice the chillies and place in a small bowl with the sugar, vinegar and a pinch of salt, then mix together and leave aside., Now make the salad. Crack open the coconut and finely grate 50g of flesh into a serving bowl. Halve the sugar snaps and mangetout, finely shred both cabbages and cucumber, then peel and finely slice the mango and add it all to the bowl. Pick in most of the herb leaves, squeeze over the lime juice and toss together., Pop the fish on a serving platter. Roughly crush the remaining peanuts in a pestle and mortar, then scatter over the salad and the fish. Drizzle the fish with the soy sauce and scatter over the remaining salad herbs., Take the fish, chilli pickle, rice and salad to the table and let everyone help themselves."
Fish in crazy water | Jamie Oliver recipes,Acqua pazza – the ultimate island fish dish,"https://img.jamieoliver.com/jamieoliver/recipe-database/77638951.jpg?tr=w-800,h-1066","['Serves', '2']",In30 minutes,"“I’m excited to share this fantastic method that shows just how easy it can be to cook whole fish, on the bone, giving better flavour and succulence, plus it’s harder to overcook the fish and you should also find it’s better value. Everything really gives to everything on the flavour front in this dish – it’s a beautiful thing! ”",407,17.3g,1.6g,10.1g,0.8g,40.3g,11.6g,3.3g,"2                                                                                                                                                                                                                    spring onions, ½                                                                                                                                                                a bulb of                                                                                                                                                                fennel, 1                                                                                                                                                                                                                    carrot, 200                                                                                                                                                                g                                                                                                                                                                ripe mixed-colour cherry tomatoes                                                                                                                                                                , on the vine, 3                                                                                                                                                                cloves of                                                                                                                                                                garlic, ½                                                                                                                                                                a                                                                                                                                                                fresh red chilli, 8-10                                                                                                                                                                                                                    mixed olives                                                                                                                                                                , (stone in), olive oil, 2 x 350                                                                                                                                                                g                                                                                                                                                                whole round fish                                                                                                                                                                , such as royal bream, trout, sea bass, red mullet, scaled, gutted, gills removed, from sustainable sources, 1                                                                                                                                                                bunch of                                                                                                                                                                mixed fresh soft herbs (30g)                                                                                                                                                                , such as flat-leaf parsley, mint, fennel tops, 150                                                                                                                                                                g                                                                                                                                                                Greco di Tufo white wine, 1                                                                                                                                                                                                                    lemon, extra virgin olive oil",
Thai-style crispy sea bass | Fish recipes | Jamie Oliver recipes,"With fresh & zingy lime, coriander & spring onions","https://img.jamieoliver.com/jamieoliver/recipe-database/64975515.jpg?tr=w-800,h-1066","['Serves', '2']",In19 minutes,,410,28.1g,4.8g,1.2g,1.5g,37.4g,2.1g,0.2g,"4                                                                                                                                                                                                                    spring onions, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (15g), 2 x 300                                                                                                                                                                g whole                                                                                                                                                                sea bass                                                                                                                                                                , scaled, gutted, trimmed, from sustainable sources, 2                                                                                                                                                                tablespoons                                                                                                                                                                Thai red curry paste, 1                                                                                                                                                                                                                    lime","Trim and halve the spring onions, finely shred lengthways and place in a bowl of ice-cold water to crisp up. Pick in the coriander leaves, reserving the stalks., Place a large non-stick frying pan on a medium-high heat., With a sharp knife, score the sea bass skin at 2cm intervals, then rub all over with the curry paste, inside and out, getting into all the cracks and crannies., Pack the coriander stalks into the cavities, season with sea salt and black pepper, then place in the hot pan with 1 tablespoon of olive oil., Cook for 3 to 4 minutes per side, or until dark golden and cooked through (depending on the thickness of your fish)., Drain and shake off the spring onions and coriander and pile on to your plates., Sit the sea bass on top, spooning over any spicy oil from the pan. Finely grate over the lime zest, and serve with lime halves, for squeezing over."
Sea bass recipe | Jamie Oliver recipes,Stuffed with prawns & served with salsa verde,"https://img.jamieoliver.com/jamieoliver/recipe-database/oldImages/large/1411_1_1436885058.jpg?tr=w-800,h-1066","['Serves', '4']",15 minutes,“A great alternative to a classic roast dinner – this fish recipe is a guaranteed show-stopper. ”,954,57.6g,19.2g,2.4g,,61.3g,70.7g,,"60                                                                                                                                                                g                                                                                                                                                                small cooked prawns, 2                                                                                                                                                                tbsp                                                                                                                                                                tarragon                                                                                                                                                                , finely chopped, 1                                                                                                                                                                tbsp                                                                                                                                                                olive oil                                                                                                                                                                , plus extra for greasing, 1                                                                                                                                                                large                                                                                                                                                                free-range egg                                                                                                                                                                , beaten, 2                                                                                                                                                                tbsp                                                                                                                                                                milk, plain flour                                                                                                                                                                , for dusting, 500                                                                                                                                                                g                                                                                                                                                                puff pastry                                                                                                                                                                , halved, 1                                                                                                                                                                kg                                                                                                                                                                whole sea bass                                                                                                                                                                , filleted (ask your fishmonger to do this), green salad                                                                                                                                                                , to serve, SALSA VERDE, 1                                                                                                                                                                small bunch of                                                                                                                                                                basil                                                                                                                                                                , leaves picked, 1                                                                                                                                                                small bunch of                                                                                                                                                                mint                                                                                                                                                                , leaves picked, 1                                                                                                                                                                small bunch of                                                                                                                                                                flat-leaf parsley                                                                                                                                                                , leaves picked, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 6                                                                                                                                                                                                                    cornichons, 2                                                                                                                                                                tbsp                                                                                                                                                                capers                                                                                                                                                                , drained, 5                                                                                                                                                                tbsp                                                                                                                                                                anchovy fillets                                                                                                                                                                , drained, 5                                                                                                                                                                tbsp                                                                                                                                                                olive oil, 1                                                                                                                                                                tbsp                                                                                                                                                                red wine vinegar","Preheat the oven to 220ºC/450ºF/gas 7. Combine the prawns, tarragon and olive oil in a small bowl and season generously. For the egg wash, whisk the egg and milk in a small bowl and set aside., Lightly flour a work surface and roll out half of the pastry to a rectangular shape about 5mm thick and 10cm longer than the fish fillets (for the head and tail). Transfer to a lightly oiled baking tin., Place one of the fillets, skin-side down, on the pastry, leaving a little more space at one end for the tail shape. Spoon the prawn and tarragon mixture over the fish and place the other fillet on top. Brush the edges of the pastry with the egg wash., Roll out the remaining pastry to the same size and use this to cover the fish, pressing the edges carefully to seal them. Use a small, sharp knife to trim the excess and create your fish shape. Then, with a teaspoon, score half-moon shapes into the pastry in the style of fish scales (but don’t pierce the pastry)., Roll the off-cut pastry to 1cm thick, cut out a few thin strips to shape into fins, and tear off a small piece and roll into a ball for the fish’s eye. Build your fish shape, brush with the remaining egg wash, then bake for 15 minutes. Reduce the oven temperature to 220ºC/350ºF/gas 4 and cook for another 20 minutes, until the pastry is golden and the fish is cooked., Meanwhile, make the salsa verde. Roughly chop the herb leaves in the centre of a large chopping board. Add the garlic, cornichons, capers and anchovies and continue chopping until fine, mixing it together as you go. Transfer to a bowl, stir in the olive oil and vinegar, and season well., To serve, transfer the fish to a platter and serve in slices with the salsa verde and salad."
"Sea bass, fennel and grapefruit ceviche | Jamie magazine",With a hit of chilli,"https://img.jamieoliver.com/jamieoliver/recipe-database/oldImages/large/1237_1_1436885379.jpg?tr=w-800,h-1066","['Serves', '4']",In15 minutes,"“Ceviche is ideal dinner party food: it tastes amazing, looks impressive and is super-easy to make ”",210,5.3g,0.7g,13.3g,1.29g,27.2g,14.1g,5.6g,"500                                                                                                                                                                g                                                                                                                                                                seabass                                                                                                                                                                , scaled, filleted and pin-boned, from sustainable sources, 2                                                                                                                                                                                                                    fresh red chillies, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 2                                                                                                                                                                                                                    lemons, 2                                                                                                                                                                                                                    pink grapefruit, 2                                                                                                                                                                bulbs of                                                                                                                                                                fennel, ½ a bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (15g), extra virgin olive oil","Slice the fish into 1cm strips, place in a bowl and pop in the fridge., Halve, deseed and chop the chillies into 1cm rounds. Peel and grate or finely chop the garlic, then place in a separate bowl or jam jar. Mix in the lemon juice and 1 teaspoon of sea salt, then pop in the fridge., Cut the top and bottom off the grapefruit, carefully peel away the skin, then separate them into segments and put these in a bowl, squeezing the juice from a few segments into the bowl., Reserving the bushy tops, trim and cut the fennel into thin wedges. Pick the mint leaves., When you're ready to eat, get the fish out of the fridge and combine it with the fennel, grapefruit and most of the mint leaves. Give the marinade in the bowl or jam jar a mix, then pour the juices over the fish mixture. Delicately toss together and leave for 2 minutes 30 seconds., Serve simply on a big platter, with the remaining mint leaves and the fennel tops sprinkled over, adding a little drizzle of oil and a few grinds of black pepper."
Peruvian ceviche | Seafood recipes | Jamie Oliver recipe,"White fish, lemon, chilli, onion, herbs","https://img.jamieoliver.com/jamieoliver/recipe-database/oldImages/large/992_1_1438787901.jpg?tr=w-800,h-1066","['Serves', '4']",In20 minutes,"“During my time in New York I got to visit all sorts of wonderful and fascinating places, and on one occasion I was lucky enough to be taken to an illegal Peruvian restaurant – it was great fun. This ceviche was on the menu that night. Ceviche is a lovely little appetizer of fresh fish marinated in citrus juices. As long as you’ve got mega fresh fish it’s an absolute dream and delight to make and eat. ”",146,6.4g,1g,1.8g,,20g,2g,,"1                                                                                                                                                                                                                    red or yellow pepper, 2                                                                                                                                                                                                                    spring onions, 400                                                                                                                                                                g                                                                                                                                                                skinless sea bass, lemon sole or snapper                                                                                                                                                                , pinboned, from sustainable sources, juice of 3                                                                                                                                                                                                                    lemons, 1-2                                                                                                                                                                                                                    fresh red chillies, 8                                                                                                                                                                sprigs of                                                                                                                                                                fresh mint, 8                                                                                                                                                                sprigs of                                                                                                                                                                fresh coriander, 1                                                                                                                                                                punnet of                                                                                                                                                                mustard cress, a few                                                                                                                                                                                                                    fennel tops                                                                                                                                                                , (optional), extra virgin olive oil","Deseed and very finely chop the pepper, and trim and finely slice the spring onions, then add to a bowl., Slice the fish into 1cm cubes, add to the bowl, then cover and place in the fridge until needed., Squeeze the lemon juice into a jam jar, add 1 teaspoon of sea salt, then seseed, finely chop and add the chilli., Pop the lid on and place in the fridge to chill – this may seem like a lot of salt but most of it gets drained away. Pick the herbs and cress, and place in the fridge., You can assemble the ceviche just before your guests are ready to eat, but it’s important that you don’t leave the fish marinating for too long – you don’t want the acids in the juices to cook the fish. Pour the lemon dressing over the fish mixture and immediately mix it up. Leave it to sit for about 2½ minutes while you lay out the plates., Throw most of the herb mixture into the bowl with the fish and very quickly toss it together – no more than 10 seconds., Divide the ceviche between 4 plates, gently spoon over a little of the dressing (discarding the rest) and sprinkle with the remaining herbs., Drizzle over a little oil from a height, sprinkle with freshly ground black pepper, and enjoy."
Cajun blackened fish steaks | Seafood recipes | Jamie Oliver,Coated in badass bold spices,"https://img.jamieoliver.com/jamieoliver/recipe-database/oldImages/large/963_1_1433952568.jpg?tr=w-800,h-1066","['Serves', '4']",In15 minutes,“This bold and seriously spicy rub fragrantly flavours the fish in my version of this classic Southern dish. Get grilling! ”,213,11g,1g,0.3g,1.2g,26.8g,1.6g,5.1g,"4 x 200                                                                                                                                                                g                                                                                                                                                                white fish fillets, such as sea bass, snapper, bream or pollock (approx. 2cm thick)                                                                                                                                                                , skin on, scaled and pinboned, from sustainable sources, 1                                                                                                                                                                                                                    lemon, RUB, 10                                                                                                                                                                sprigs of                                                                                                                                                                fresh thyme                                                                                                                                                                , leaves picked, 4                                                                                                                                                                sprigs of                                                                                                                                                                fresh oregano                                                                                                                                                                , leaves picked, 2                                                                                                                                                                                                                    cloves of garlic                                                                                                                                                                , peeled, 2                                                                                                                                                                level teaspoons of                                                                                                                                                                smoked paprika, 1                                                                                                                                                                teaspoon                                                                                                                                                                cayenne pepper, 2                                                                                                                                                                tablespoons                                                                                                                                                                olive oil, 1                                                                                                                                                                                                                    lemon","This is my version of a classic Southern dish, but just a word of warning: it is seriously spicy! The way I heard it, this brilliant rub was invented by an African-American chef working at Commander’s Palace, a posh New Orleans restaurant. The famous head chef there, Paul Prudhomme, took this recipe, added his own little tweaks and introduced blackened fish to the rest of the world. Basically it’s a bold rub that fragrantly flavours fish and meat and goes dark when it cooks, thanks to the paprika and garlic., Traditionally this dish has been made with the locally caught redfish, but it’s also great with any whole or filleted white fish. It goes with so many things, including chicken, pork, lamb and steak. When I was in Louisiana I cooked it on a barbecue, but I’ve shown you below how to do it indoors in a pan. Don’t be scared by how black the spices go: they’ll look burnt but the taste will be amazing., To make the rub, bash up your fresh herbs and garlic in a pestle and mortar until you've got a nice coarse paste. Mix in the spices, 1 teaspoon of sea salt, 1 level tablespoon of black pepper and the olive oil, then squeeze in the juice of half the lemon, making sure not to let any pips get in there, and stir well., Lightly score the skin of your fish in lines about 2cm apart. Using your fingers, smear the rub all over both sides of the fish and into the cuts you've made. Put a non-stick pan or griddle pan over a medium-high heat and let it get nice and hot. Place your fish in the pan, skin side down, and let it cook for 3 to 4 minutes. It will get quite smoky, so you might want to open a window! Turn the heat down to low, then, very carefully, flip your fish over and cook for another 3 to 4 minutes on the second side., Cut your remaining lemon half and your second lemon into wedges for squeezing over. Serve them with your fish, a nice salad and boiled or steamed new potatoes dressed in good olive oil or butter. Don’t forget a nice cold glass of wine!"
Asian-steamed sea bass | Fish recipes | Jamie Oliver recipes,"Ginger, chilli & zingy lime","https://img.jamieoliver.com/jamieoliver/recipe-database/oldImages/large/956_36_1434037341.jpg?tr=w-800,h-1066","['Serves', '2']",In45 minutes,"“Cooking a whole fish is much easier than you might think – stuff  with beautiful fragrant herbs, chilli and ginger for fantastic flavour inside and out! ”",410,11g,0.5g,3g,1.5g,70g,4g,1.6g,"1 x 1.5                                                                                                                                                                kg                                                                                                                                                                whole sea bass                                                                                                                                                                , scaled, gutted, gills removed, from sustainable sources, 5                                                                                                                                                                                                                    spring onions, 1                                                                                                                                                                                                                    fresh red chilli, 5                                                                                                                                                                cm                                                                                                                                                                piece of ginger, 1                                                                                                                                                                bunch of                                                                                                                                                                 fresh coriander                                                                                                                                                                , (30g), 1                                                                                                                                                                                                                    lime, low-salt soy sauce, sesame oil","Score the sea bass on both sides at 2cm intervals, cutting roughly 1cm deep, then place into the steamer tray of your oven (or see tip). Season the inside and both sides of the fish lightly with sea salt., Trim the spring onions and chilli (deseed if you like), then finely slice. Peel and finely chop the ginger, then pick the coriander leaves and finely slice the stalks., Mix the spring onions, chilli, ginger, coriander stalks and most of the leaves together on a board, then stuff and push into the cavity and scores in the fish., Squeeze over the lime juice, adding the squeezed lime halves to the tray. Hit it up with a splash of soy sauce, then cover with the lid., Fill the steamer pocket on the front of the oven with around 1 litre of water, then slot the steamer tray into the bottom of the oven so that the metal nozzle on the tray engages with the back of the oven. Set to steam for around 25 minutes, or until cooked to perfection., Serve on a bed of fluffy rice, drizzled with the juices from the bottom of the steamer tray, a drizzle of sesame oil and the remaining coriander leaves sprinkled over."
Stuffed Sea Bass | Fish Recipes | Jamie Oliver Recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/oldImages/large/564_1_1350909025.jpg?tr=w-800,h-1066","['Serves', '2']",In50 minutes,,951,52.3g,15.2g,13g,1.8g,55.5g,52.6g,8g,"2                                                                                                                                                                whole                                                                                                                                                                sea bass                                                                                                                                                                , from sustainable sources, ask your fishmonger, cleaned and gutted, head and tail on, 1                                                                                                                                                                whole                                                                                                                                                                fennel, 1                                                                                                                                                                teaspoon                                                                                                                                                                fennel seeds, 2                                                                                                                                                                cloves                                                                                                                                                                garlic, 50                                                                                                                                                                ml                                                                                                                                                                olive oil, 35                                                                                                                                                                g                                                                                                                                                                butter, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh dill, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh flat-leaf parsley, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh basil, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh mint, 10                                                                                                                                                                                                                    baby potatoes, 20                                                                                                                                                                                                                    capers, 1                                                                                                                                                                                                                    lemon, 200                                                                                                                                                                ml                                                                                                                                                                white wine, 200                                                                                                                                                                g                                                                                                                                                                tomato and basil sauce","Preheat the oven to 190°C/375°F/gas 5. Finely slice the whole fennel, peel and finely slice the garlic and lightly crush the fennel seeds. Place a medium pan over a medium heat and add the olive oil and half the butter. Once hot, add the fennel and fennel seeds and fry gently for around 5 minutes. Add the garlic and continue cooking for around 5 minutes, or until the fennel is soft, golden brown and sweet. Set aside to cool., Meanwhile, place a medium pan over a high heat and cook the potatoes for around 5 minutes, or until parboiled. Drain and set aside. Finely chop all the herbs together and add to a bowl along with remaining butter, then mix well until combined and set aside. Ensure the sea bass is clean inside and out, pat dry with kitchen paper and make 3 diagonal cuts into one side of the fish down to the bone. Stuff the cuts with the herb butter and fill the cavity of each fish with 2 slices of lemon and the cooked fennel., Gently transfer the fish to the inside of the foil bag or onto the foil. Add in the whole potatoes, capers, tomato sauce and white wine. Seal the foil bag at the end or, if you're using foil, fold it up like a parcel., Place the foil bags onto a baking tray and pop into the oven. Bake for 20-25 minutes, or until cooked through. Remove from the oven and allow to sit for 2-3 minutes, then place onto a serving plate, carefully open and enjoy with a crisp green salad or steamed vegetables."
