Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Sea & mountain skewers | Jamie Oliver recipes,"Prawns, ham & mushrooms, burnt leeks & creamy beans","https://img.jamieoliver.com/jamieoliver/recipe-database/152011887.jpg?tr=w-800,h-1066","['Serves', '2']",In45 minutes,"“Right the way across the Mediterranean, foods from the sea and mountains collide in truly beautiful ways. And, even more fascinatingly, the friendship between prawns and mushrooms here is divine. ”",589,31.4g,5.5g,5.3g,1.2g,36.6g,40.1g,13.3g,"2                                                                                                                                                                medium                                                                                                                                                                leeks, 8                                                                                                                                                                large                                                                                                                                                                raw shell-on king prawns                                                                                                                                                                , from sustainable sources, 160                                                                                                                                                                g                                                                                                                                                                mixed mushrooms, 40                                                                                                                                                                g                                                                                                                                                                higher-welfare Pata Negra or quality Spanish ham, 1                                                                                                                                                                x 700g                                                                                                                                                                jar of white beans",
Spice Island coconut fish curry | Jamie Oliver recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/143701487.jpg?tr=w-800,h-1066","['Serves', '4']",,"“This curry is reminiscent of the beautiful coast of Zanzibar, also
known as Spice Island. Its warming and aromatic flavours will have you looking out the window in search of the dhows, some docking in and others setting sail, as they did when wondrous spices travelled from Asia through Africa to the rest of the world. The warmth of chillies and sweetness of tropical coconuts are embodied in the curries enjoyed across East Africa and the archipelagos on the Indian ocean. Tomatoes give the sauce a good body and there’s a double dose of tartness from limes and tamarind to accompany the firm fish. I enjoy serving this with white rice or My East African Chapati  to soak up the creamy golden sauce, while being transported to this wondrous Spice Island. ”",,,,,,,,,"500                                                                                                                                                                g                                                                                                                                                                monkfish or firm white fish                                                                                                                                                                , deboned and skin removed, cut into 3cm chunks, FOR THE MARINADE, , 1                                                                                                                                                                tsp                                                                                                                                                                ground turmeric, 1                                                                                                                                                                tsp                                                                                                                                                                garam masala, 1                                                                                                                                                                tsp                                                                                                                                                                chilli powder, Juice of                                                                                                                                                                1 lime, FOR THE CURRY SAUCE, , 3                                                                                                                                                                tbsp                                                                                                                                                                coconut oil (cold-pressed and flavourful), 1                                                                                                                                                                large                                                                                                                                                                brown onion                                                                                                                                                                , peeled and diced, 2                                                                                                                                                                – 3                                                                                                                                                                green and red chillies                                                                                                                                                                , stemmed and diced, 2.5                                                                                                                                                                cm piece of                                                                                                                                                                ginger                                                                                                                                                                , peeled and grated, 4                                                                                                                                                                                                                    garlic cloves                                                                                                                                                                , peeled and crushed, 1                                                                                                                                                                tsp                                                                                                                                                                ground turmeric, 1                                                                                                                                                                tsp                                                                                                                                                                garam masala or curry powder, 2                                                                                                                                                                                                                    vine-ripened or plum tomatoes                                                                                                                                                                , diced, 150                                                                                                                                                                ml                                                                                                                                                                fish, vegetable or chicken stock, 1 x                                                                                                                                                                400ml                                                                                                                                                                can coconut milk, 2                                                                                                                                                                – 3 tsp                                                                                                                                                                tamarind paste, 12                                                                                                                                                                                                                    large raw king prawns                                                                                                                                                                , peeled and deveined (defrosted if frozen), 150                                                                                                                                                                g                                                                                                                                                                green beans                                                                                                                                                                , trimmed, TO SERVE, Small handful of                                                                                                                                                                fresh coriander                                                                                                                                                                , leaves torn, 4                                                                                                                                                                tbsp                                                                                                                                                                coconut flakes                                                                                                                                                                , toasted, 1                                                                                                                                                                                                                    red chilli                                                                                                                                                                , stemmed and thinly sliced","Combine all the marinade ingredients in a large bowl. Add the fish and some freshly ground black pepper and turn to coat on all sides. Cover and set aside while you prepare the curry sauce, or keep in the fridge for 1–2 hours., Heat the coconut oil in a wide shallow saucepan over a medium heat. Add the onion and 1 teaspoon fine sea salt and cook for up to 10 minutes, or until softened and translucent, stirring every few minutes. Add the chillies, ginger and garlic and cook for 2 minutes, stirring frequently. Add a splash of water if it begins to stick. Stir in the turmeric and garam masala or curry powder and cook for a further minute, until fragrant and wonderful., Tip in the tomatoes and their juices, stir and leave to cook for 5 minutes, until the tomatoes begin to break down slightly. Pour in the stock and the coconut milk and bring to a boil. Reduce the heat and simmer for 15 minutes, stirring occasionally, until the sauce begins to thicken a little., Stir in the tamarind paste, then add the fish and cook for 3 minutes., Finally, add the prawns and green beans and cook for 3–4 minutes, until the fish is flaky, the prawns are pink and plump and the beans have softened but with a little crunch., Season to perfection and serve sprinkled with coriander, toasted coconut flakes and slices of red chilli, alongside steaming bowls of rice or My East African Chapati."
Smoky mussel laksa | Jamie Oliver recipes,"Blackened aubergine, juicy noodles, coconut, coriander & lime","https://img.jamieoliver.com/jamieoliver/recipe-database/136440331.jpg?tr=w-800,h-1066","['Serves', '2']",In16 minutes,,486,15.9g,11g,12.8g,1.4g,21.1g,64.3g,8.7g,"2                                                                                                                                                                x 50g                                                                                                                                                                nests of folded rice noodles, 600g                                                                                                                                                                                                                    mussels, scrubbed, debearded, from sustainable sources, 1                                                                                                                                                                                                                    large aubergine (400g), 1                                                                                                                                                                bunch of                                                                                                                                                                spring onions, ½                                                                                                                                                                a bunch of                                                                                                                                                                coriander (15g), 2                                                                                                                                                                                                                    limes, 2                                                                                                                                                                tablespoons                                                                                                                                                                laksa paste, 1                                                                                                                                                                x 400ml                                                                                                                                                                tin of light coconut milk",
Crab tostadas | Jamie Oliver recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/134130692.jpg?tr=w-800,h-1066","['Serves', '4']",,"“In Coyoacán in Mexico City, my local market has become famous for (among other things) a tostadas stand which has expanded and become hugely popular. The stand offers a wide variety of tostadas: chicken tinga, prawn (shrimp) cocktail, or pata (cow’s hooves), which is one of my favourites.

In the UK, Cornwall is well known for the exceptional quality of its seafood, especially crab. The region is one of our favourite summer holiday destinations thanks to its beautiful landscape and beaches, as well as its culinary specialities.

To pay tribute to this beautiful seafood, I like to pair it with the simple, raw freshness of a jalapeño and lime mayonnaise and serve with crispy tostadas and avocados. You don’t need anything else: just delicious produce on a tostada. From Coyoacán to Cornwall. ”",,,,,,,,,"8                                                                                                                                                                                                                    corn tortillas                                                                                                                                                                 , (12cm/4½in in diameter), 2                                                                                                                                                                teaspoons                                                                                                                                                                grapeseed or vegetable oil, 250                                                                                                                                                                g (9oz)                                                                                                                                                                crab meat, mixed white and brown, 1                                                                                                                                                                                                                     large avocado                                                                                                                                                                , peeled, stoned and thinly sliced, salt flakes, coriander (cilantro) leaves and lime wedges                                                                                                                                                                , to garnish, FOR THE JALAPEÑO AND LIME MAYONNAISE, , 2                                                                                                                                                                                                                    jalapeños                                                                                                                                                                , trimmed and finely chopped, 1                                                                                                                                                                                                                    garlic clove                                                                                                                                                                , chopped, 10                                                                                                                                                                g (¼ oz)                                                                                                                                                                fresh coriander (cilantro), 14                                                                                                                                                                                                                    mint leaves, 100                                                                                                                                                                g  (3½ oz/scant ½ cup)                                                                                                                                                                mayonnaise, 2 teaspoons                                                                                                                                                                                                                    lime juice","Preheat the oven to 170°C/150°C fan/340°F/gas mark 3½ and set a wire rack over a baking tray (pan) lined with baking parchment., To make the mayonnaise, place the chopped chillies, garlic, coriander and mint in a small blender. Add a pinch of salt and crush or blend until reduced to a purée. Incorporate the chilli and herb purée into the mayonnaise, then stir in the lime juice and taste for seasoning. Set aside., To make the tostadas, lightly coat both sides of the tortillas with the oil. Arrange the tortillas on the prepared wire rack and bake for 20–30 minutes, or until crispy, turning halfway through. Sprinkle with salt flakes., Place the tostadas, crab, avocado, jalapeño mayonnaise, coriander leaves and lime wedges on a serving platter and let your guests build their own tostadas: first a spread of mayonnaise, then a few avocado slices, followed by some crab meat, coriander leaves and a squeeze of lime."
Quick seafood pasta | Jamie Oliver recipes,"Garlic, lemon & parsley","https://img.jamieoliver.com/jamieoliver/recipe-database/134449920.jpg?tr=w-800,h-1066","['Serves', '4']",In20 minutes,"“You can’t beat a good seafood linguine and this one is super-quick and delicious. I’ve used cockles, mussels, squid and scallops here, but the principles are the same whether you keep it humble with white fish or make it posh with crab and lobster – just chop it all to size and cook it quickly for the most joyful expression of this dish. ”",507,11.5g,2.7g,5.3g,1.8g,36.6g,68.3g,5g,"300                                                                                                                                                                g                                                                                                                                                                dried linguine, 250                                                                                                                                                                g                                                                                                                                                                squid                                                                                                                                                                , gutted, cleaned, from sustainable sources, 250                                                                                                                                                                g                                                                                                                                                                mussels                                                                                                                                                                , scrubbed, debearded, from sustainable sources, 250                                                                                                                                                                g                                                                                                                                                                cockles or clams                                                                                                                                                                , scrubbed, from sustainable sources, 4                                                                                                                                                                                                                    scallops with roe attached                                                                                                                                                                , from sustainable sources, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh flat-leaf parsley                                                                                                                                                                , (30g), 1                                                                                                                                                                                                                    lemon, 1                                                                                                                                                                                                                    fresh red chilli                                                                                                                                                                , optional, olive oil, 1                                                                                                                                                                tablespoon                                                                                                                                                                baby capers, 1                                                                                                                                                                handful of                                                                                                                                                                samphire                                                                                                                                                                , optional, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                quality plum tomatoes, 20                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, extra virgin olive oil","Cook 300g of dried linguine in a large pan of boiling salted water according to the packet instructions, then drain, reserving a mugful of starchy water., Meanwhile, slice 250g of squid into 1cm rings, sort through 250g of mussels and 250g of cockles (or clams), giving any that aren’t tightly closed a tap. If they don’t close, discard them. Slice the 4 scallops., Peel and finely slice 1 clove of garlic, pick and finely chop 1 bunch of fresh flat-leaf parsley (30g), and finely grate the zest of ½ a lemon. Trim and finely chop 1 fresh red chilli (if using)., Place a large non-stick pan on a medium-high heat with 1 tablespoon of olive oil. Add the garlic, chilli and 1 tablespoon of baby capers, cook for 1 minute, then add the clams and mussels. Cook for a couple of minutes, then add the squid, scallops, lemon zest and parsley, and give it a good stir., Scrunch in 1 x 400g tin of plum tomatoes through your clean hands, bring to the boil, then reduce the heat and simmer for 2 minutes to let the flavours mingle, stirring regularly and breaking up the tomatoes., Stir in 1 handful of samphire (if using) and squeeze in the juice of ½ a lemon. Give the pan a jiggle and simmer for 1 minute more, or until perfectly cooked (discarding any shells that remain closed)., Remove the pan from the heat and carefully pick the meat out of the shells, if you like., Grate in 20g of Parmesan, then taste and season to perfection, adding an extra squeeze of lemon juice, if needed., Toss the pasta into the sauce, loosening with a splash of pasta water, if needed, then finish with a kiss of extra virgin olive oil."
Chargrilled squid & cannellini beans | Jamie Oliver recipes,Zingy lemon & chilli salsa,"https://img.jamieoliver.com/jamieoliver/recipe-database/134449073.jpg?tr=w-800,h-1066","['Serves', '4']",In25 minutes,"“A gem of a dish featuring chargrilled squid and creamy cannellini beans for something simple, yet very delicious. Not only does it look and taste impressive, it takes no time at all to rustle up. Double win! ”",417,16.5g,2.7g,1.2g,0.6g,41.7g,21.4g,9.4g,"2                                                                                                                                                                                                                    fresh red chillies, ½                                                                                                                                                                a bunch of                                                                                                                                                                flat-leaf parsley                                                                                                                                                                , (15g), 2                                                                                                                                                                                                                    lemons, extra virgin olive oil, 8                                                                                                                                                                                                                    squid                                                                                                                                                                , cleaned, gutted, from sustainable sources, olive oil, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2 x 400                                                                                                                                                                g tins of                                                                                                                                                                cannellini beans, red wine vinegar, 200                                                                                                                                                                g                                                                                                                                                                rocket","To make the salsa, finely chop 2 fresh red chillies, pick and roughly chop ½ a bunch of flat-leaf parsley (15g). Scrape it all into a bowl, then finely zest over 2 lemons and squeeze in all the juice. Add 3 tablespoons of extra virgin olive oil and mix together well. Season to taste., Run a sharp knife down the length of 8 squid tubes and open each one out like a book. Lightly score the insides in a criss-cross fashion at ½cm intervals., Place a large pan on a medium heat with 1 tablespoon of olive oil. Peel and finely slice 2 cloves of garlic, then add to the pan and cook for 2 minutes or until golden., Tip in 2 x 400g tin of cannellini beans (juice and all) and simmer for 5 minutes, or until thickened and creamy., Add 1 tablespoon of red wine vinegar and season to taste with sea salt and black pepper. Mash some of the beans until you have a creamy texture and leave to simmer gently, stirring occasionally., Preheat a griddle pan until screaming hot, then add the squid and cook for 1 to 2 minutes on each side, or until lightly charred and starting to curl. Dunk the hot squid in the salsa, turning and coating in all that flavour., Tip the beans onto a serving platter then top with the squid and spoon over the remaining dressing and scatter over 200g of rocket., Delicious served with some slices of griddle bread rubbed with a little garlic and a drizzle of olive oil for mopping up the juices."
Bloody Mary crumpets | Jamie Oliver recipes,"Smoked salmon, prawns & brown shrimp","https://img.jamieoliver.com/jamieoliver/recipe-database/128670685.jpg?tr=w-800,h-1066","['Serves', '6']",,,311,13.1g,4.8g,5.8g,2.9g,24.7g,25.4g,0.3g,"120                                                                                                                                                                g                                                                                                                                                                smoked salmon                                                                                                                                                                , from sustainable sources, ½                                                                                                                                                                a bunch of                                                                                                                                                                dill                                                                                                                                                                 , (10g), 300                                                                                                                                                                g                                                                                                                                                                cottage cheese, 2                                                                                                                                                                                                                    lemons, 2                                                                                                                                                                                                                    large free-range eggs, 2                                                                                                                                                                tablespoons                                                                                                                                                                creamed horseradish, 2                                                                                                                                                                tablespoons                                                                                                                                                                tomato ketchup, 2                                                                                                                                                                teaspoons                                                                                                                                                                Worcestershire sauce, olive oil, 6                                                                                                                                                                                                                    crumpets, 1                                                                                                                                                                knob of                                                                                                                                                                unsalted butter, 150                                                                                                                                                                g                                                                                                                                                                raw shell-off prawns                                                                                                                                                                , from sustainable sources, smoked paprika, 150                                                                                                                                                                g                                                                                                                                                                cooked brown shrimp                                                                                                                                                                , from sustainable sources",
Susan's seafood gumbo | Jamie Oliver recipes,"King prawns, langoustines, sea bass & cockles","https://img.jamieoliver.com/jamieoliver/recipe-database/118227284.jpg?tr=w-800,h-1066","['Serves', '8']",30 minutes,"“Inspired by the one and only legendary US chef Leah Chase, this spicy New Orleans classic is the ultimate surf & turf. A dark roux is key here, plus the ‘holy trinity’ base of onions, peppers and celery. Feel free to substitute the prawns with crayfish, and use any other type of cured sausage you like. It’s seriously good – pure comfort in a bowl.  ”",583,36g,13g,6.2g,2.8g,45.9g,19.7g,3.1g,"1.5                                                                                                                                                                litres of                                                                                                                                                                organic chicken or beef stock, 16                                                                                                                                                                large                                                                                                                                                                raw shell-on king prawns                                                                                                                                                                , from sustainable sources, 500                                                                                                                                                                g                                                                                                                                                                quality smoked spicy sausage                                                                                                                                                                , such as Andouille, olive oil, 50                                                                                                                                                                g                                                                                                                                                                unsalted butter, 5                                                                                                                                                                heaped tablespoons                                                                                                                                                                plain flour, 2                                                                                                                                                                large                                                                                                                                                                green peppers, 1                                                                                                                                                                large                                                                                                                                                                onion, 3                                                                                                                                                                sticks of                                                                                                                                                                celery, 5                                                                                                                                                                                                                    fresh bay leaves, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh thyme                                                                                                                                                                , (30g), 8                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                teaspoon                                                                                                                                                                cayenne pepper, 1                                                                                                                                                                teaspoon                                                                                                                                                                 Tabasco sauce, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                quality plum tomatoes, 200                                                                                                                                                                g                                                                                                                                                                green beans, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh curly parsley                                                                                                                                                                , (30g), 600                                                                                                                                                                g                                                                                                                                                                sea bass fillets                                                                                                                                                                , skin on, scaled and pin-boned, from sustainable sources, 4                                                                                                                                                                                                                    fresh langoustines                                                                                                                                                                , from sustainable sources (optional), 300                                                                                                                                                                g                                                                                                                                                                fresh cockles or clams                                                                                                                                                                , cleaned, from sustainable sources, 1                                                                                                                                                                                                                    lemon","Warm the stock in a pan over a low heat. Peel the prawns (keeping the tails on), throwing the heads and shells into the stock pan as you go. Run the tip of a knife down the backs of the prawns and pull out and discard the dark veins, then score a little deeper so they butterfly as they cook., Slice the sausage into rough chunks, place in a large casserole pan on a medium-high heat with 1 tablespoon of olive oil, then cook for 10 minutes, or until it has released its tasty fat., Turn down the heat to low, then remove the sausage to a plate, leaving the fat behind in the pan. Stir the butter and flour into the pan, really scraping up all the sticky bits from the bottom. Continue stirring for 15 to 20 minutes (be patient!), or until dark golden brown – think peanut butter, but you can take it even darker, if you prefer (see tip). You want the roux to have a semi-loose, doughy consistency, so add a splash of oil if there isn’t a lot of fat., Deseed the peppers, peel the onion and roughly chop with the celery, then stir into the roux pan (this is called the holy trinity). Scrunch and add the bay leaves and strip in the thyme leaves, then peel, finely chop and add the garlic, followed by the cayenne and Tabasco., Put the sausage back into the pan, then scrunch in the tomatoes using clean hands, stirring as you go. Ladle the stock through a sieve into the pan, then let it blip away for 10 minutes., Trim the green beans, slice each into three pieces, then add to the pan and cook for 6 minutes. Meanwhile, pick and finely chop the parsley., Slice the sea bass fillets lengthways into thin strips, then halve the langoustines and crack the claws (if using). Sort through the cockles or clams and tap them – if any stay open, throw them away., Add all the fish and seafood to the pan and simmer for a few minutes, or until perfectly cooked – the prawns should be pink and the clams or cockles open (discard any that remain closed), stirring regularly., Squeeze over lemon juice to taste, and scatter with the chopped parsley. Delicious served with fluffy rice."
