Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Veggie pasta bake | Jamie Oliver recipes,With sweet leeks & garlicky crumb topping,"https://img.jamieoliver.com/jamieoliver/recipe-database/152866409.jpg?tr=w-800,h-1066","['Serves', '8']",In1 hour,"“When it comes to family favourites, it’s pretty hard to beat a good pasta bake. Especially when it has a deliciously crunchy garlic-breadcrumb topping! This is my brilliant veggie principle recipe – with leeks, spinach and tomato, offering you two of your 5-a-day – that you can flex to suit the ingredients you have in.  ”",529,14.8g,4.6g,13.1g,1.4g,22.9g,98.8g,3.1g,"½                                                                                                                                                                x 170g                                                                                                                                                                loaf of garlic bread, olive oil, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2                                                                                                                                                                                                                    leeks, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh basil                                                                                                                                                                , (30g), 2                                                                                                                                                                teaspoons                                                                                                                                                                dried oregano, 3                                                                                                                                                                x 400g tins of                                                                                                                                                                plum tomatoes, 500                                                                                                                                                                g                                                                                                                                                                dried pasta                                                                                                                                                                , such as orecchiette, conchiglie or gemelli, 50                                                                                                                                                                g                                                                                                                                                                Parmesan cheese                                                                                                                                                                , plus extra to serve, 8                                                                                                                                                                cubes of                                                                                                                                                                frozen spinach","Tear the garlic bread into a blender and blitz into fine crumbs, then mix in a little olive oil and set aside., Preheat the oven to 180°C/350°F/gas 4. Peel and finely slice the garlic and trim, wash and finely slice the white part of the leeks (save the green tops for tasty cooking another day – they work great in soups or stocks)., Drizzle 2 tablespoons of oil into a large shallow casserole pan over a medium heat and add the garlic. Finely slice the basil stalks, then add them to the pan, along with the dried oregano and gently fry for a couple of minutes., Add the chopped leeks to the pan, season with a pinch of sea salt and black pepper and cook gently for 10 minutes, until softened, stirring regularly and adjusting the heat to low if they start to colour., Tip in the tomatoes, breaking them up with the back of your spoon, then half-fill each tin with water, swirl around and pour into the pan. Bring to the boil, then reduce to low and leave to tick away for 15 to 20 minutes., Meanwhile, cook the pasta in a large pan of boiling salted water for 8 minutes, then drain, reserving a mugful of starchy cooking water., Tip the sauce into a blender with most of the basil leaves (reserving a few to serve) and whiz until smooth (you may need to work in batches), then season to perfection. Return the sauce to the casserole pan, stir through the cooked pasta, loosening with the reserved cooking water if needs be., Finely grate over the cheese, then nestle the frozen spinach into the pasta. Sprinkle over the garlic breadcrumbs and bake for 20 minutes, until the crumbs are golden, the pasta is tender and the sauce is blipping., When it’s cooked, let it sit for a couple of minutes, then sprinkle over the reserved basil leaves, and finish with a final grating of Parmesan. Delicious served with a crisp green salad."
Garlic chicken | Jamie Oliver recipes,"Creamy chickpeas, spinach & sumac","https://img.jamieoliver.com/jamieoliver/recipe-database/152012102.jpg?tr=w-800,h-1066","['Serves', '2']",In18 minutes,"“Inspired by some of the wonderful flavours of Lebanon, this quick dish is perfect for an easy meal. Hunting out nice fat jarred chickpeas is game-changing when it comes to both flavour and texture. ”",406,13.3g,2.2g,3.1g,1.3g,48.8g,23.2g,1.1g,"4                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2 x                                                                                                                                                                150g                                                                                                                                                                skinless free-range chicken breasts, ½ x                                                                                                                                                                700g                                                                                                                                                                jar of chickpeas, 250                                                                                                                                                                g                                                                                                                                                                baby spinach, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                sumac",
Spinach & feta pie | Jamie Oliver recipes,Fragrant dill & golden crunchy sesame seeds,"https://img.jamieoliver.com/jamieoliver/recipe-database/147631687.jpg?tr=w-800,h-1066","['Serves', '6']",In40 minutes,"“Across Greece you’ll find wonderful savoury pies bursting with spinach, dill and feta, which inspired me to make this simple 5-ingredient variation. Heavy on the sesame, it’s a really beautiful thing. ”",454,15.9g,6.1g,1.5g,2.3g,9.3g,59.9g,4.3g,"350g frozen spinach, 500g self-raising flour, plus extra for dusting, 2 bunches of dill (40g), 200g feta cheese, 75g sesame seeds",
Smoked salmon pasta | Jamie Oliver recipes,"Spinach, spring onion, lemon, curds & Parmesan","https://img.jamieoliver.com/jamieoliver/recipe-database/136295675.jpg?tr=w-800,h-1066","['Serves', '1']",In8 minutes,,431,14.8g,4g,4.6g,1.7g,29.5g,43.6g,3.1g,"125                                                                                                                                                                g                                                                                                                                                                fresh lasagne sheets, 2                                                                                                                                                                                                                    spring onions, 80                                                                                                                                                                g                                                                                                                                                                spinach, 60                                                                                                                                                                g                                                                                                                                                                smoked salmon (2 slices), ½                                                                                                                                                                                                                    a lemon, 5                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, olive oil, 1                                                                                                                                                                tablespoon                                                                                                                                                                cottage cheese, optional: extra virgin olive oil",
One-pan herby green rice & fish | Jamie Oliver recipes,With harissa-rippled yoghurt & lemon,"https://img.jamieoliver.com/jamieoliver/recipe-database/134396853.jpg?tr=w-800,h-1066","['Serves', '4']",In15 minutes,"“Turn regular rice into something extraordinary and exciting with this joyful one-pan dish. Now, I want you to think of this recipe as more of a principle – it’s fairly flexible and can be taken in lots of different directions. Jazz it up with your favourite seafood, mix up the greens you choose or throw in some additional vegetables – whatever you fancy. For me, this makes the perfect midweek meal – fresh, tasty, ready in 15-minutes flat, and with minimal washing up. Yes please! ”",378,10g,1.7g,2.5g,0.8g,25.5g,45.5g,1.1g,"8                                                                                                                                                                                                                    spring onions, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (30g), 100                                                                                                                                                                g                                                                                                                                                                baby spinach, 1                                                                                                                                                                mug of                                                                                                                                                                basmati rice                                                                                                                                                                , (300g), 4 x                                                                                                                                                                150g                                                                                                                                                                white fish fillets, such as cod, haddock, pollock, megrim, skin off, pin-boned                                                                                                                                                                 , from sustainable sources, olive oil, 4                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt, 2                                                                                                                                                                teaspoons                                                                                                                                                                harissa, optional:                                                                                                                                                                ½ a                                                                                                                                                                fresh red chilli, 1                                                                                                                                                                                                                    lemon","Trim 8 spring onions (put one aside for later), peel 2 cloves of garlic and pick the leaves from 1 bunch of fresh coriander (30g), reserving a few to garnish, then place in a blender., Add 100g of baby spinach, along with 2 mugs (600ml) of water and blitz until smooth – you may need to work in batches., Tip 1 mug of rice (300g) into a large shallow casserole pan, pour over the green sauce, mix well and cook on a high heat uncovered for 5 minutes., Give the rice a good stir, then carefully place 4 x 150g white fish fillets on top. Season to taste with sea salt and black pepper, drizzle with 1 tablespoon of olive oil, then cover with a lid, reduce the heat to low and cook gently for a further 5 to 7 minutes, or until the rice is fluffy and fragrant and the fish is pearly white and flaking., Dollop 4 tablespoons of natural yoghurt into a bowl, ripple through 2 teaspoons of harissa and drizzle lightly with olive oil., Finely slice the remaining spring onion and ½ a fresh red chilli (if using), then scatter over the top along with the reserved coriander leaves. Cut 1 lemon into wedges for squeezing over, then serve along with the harissa yoghurt. Delicious with a crunchy green salad."
"Spinach, feta & lemon filo pie | Jamie Oliver recipes",With loadsa herbs & nutmeg,"https://img.jamieoliver.com/jamieoliver/recipe-database/134449900.jpg?tr=w-800,h-1066","['Serves', '8']",In1 hour,“A cracking combination of creamy feta and spinach packed into flaky filo and baked to perfection makes this pie straight-up delicious. Enjoy with a simple salad. ”,285,11.3g,4.1g,5.1g,1g,14.9g,32.1g,4.9g,"1                                                                                                                                                                kg                                                                                                                                                                frozen spinach, 2                                                                                                                                                                                                                    onions, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, olive oil, 1                                                                                                                                                                                                                    whole nutmeg                                                                                                                                                                , for grating, 1                                                                                                                                                                                                                    lemon, 100                                                                                                                                                                g                                                                                                                                                                feta cheese, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh flat-leaf parsley                                                                                                                                                                , (15g), ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh dill                                                                                                                                                                , (15g), 200                                                                                                                                                                g                                                                                                                                                                natural yoghurt, 4                                                                                                                                                                large                                                                                                                                                                free-range eggs, 1 x 275                                                                                                                                                                g                                                                                                                                                                pack filo pastry, 10                                                                                                                                                                g                                                                                                                                                                Cheddar cheese","Preheat the oven to 180°C/350°F/gas 4., Defrost 1kg of frozen spinach and squeeze out some of the excess water., Peel and finely slice 2 onions and 2 cloves of garlic, then fry in a large non-stick pan with 1 tablespoon of olive oil for 10 minutes, or until softened and sweet., Stir in the spinach, then add a good grating of nutmeg and finely grate over the zest of 1 lemon. Crumble in 50g of feta cheese and season to taste with sea salt and black pepper., Pick and roughly chop ½ a bunch of fresh flat-leaf parsley (15g) and ½ a bunch of fresh dill (15g), then stir half into the spinach mixture., In a bowl, whisk the remaining 50g of feta with 200g of natural yoghurt and 4 large eggs until well mixed., Working one at a time, lay a sheet of filo pastry on a clean worktop, brush with a little olive oil and spread with a little spinach mixture. Roll into a long sausage shape and place in a 30cm x 40cm baking dish. Repeat until all the filo (275g in total) and spinach is used up and the baking dish is filled with neat rows of filo., Pour over the egg mixture, brush with olive oil, then finely grate over 10g of Cheddar. Bake for 35 minutes, or until golden., Scatter the remaining herbs over the top, and serve."
Spinach & ginger chicken curry | Jamie Oliver recipes,Palak murgh,"https://img.jamieoliver.com/jamieoliver/recipe-database/131331403.jpg?tr=w-800,h-1066","['Serves', '4']",,"“Marrying green, leafy vegetables with meat is the hallmark of north Indian cooking. A classic palak, or spinach and chicken curry, is one of my favourite dishes served with pulao. This one is spiced with ginger, coriander and garam masala. ”",,,,,,,,,"850                                                                                                                                                                g (1lb 13oz)                                                                                                                                                                skinless chicken on the bone                                                                                                                                                                , cut into medium-sized pieces, 400                                                                                                                                                                g (14oz)                                                                                                                                                                spinach leaves                                                                                                                                                                , washed and trimmed, 4                                                                                                                                                                cm (1½in)                                                                                                                                                                ginger root                                                                                                                                                                , roughly chopped, 5                                                                                                                                                                                                                    garlic cloves                                                                                                                                                                , roughly chopped, 1                                                                                                                                                                                                                    green bird's-eye chilli, 3                                                                                                                                                                tablespoons                                                                                                                                                                vegetable oil, 4                                                                                                                                                                                                                    green cardamom pods                                                                                                                                                                , whole, 2                                                                                                                                                                                                                    bay leaves, 2.5                                                                                                                                                                cm (1in)                                                                                                                                                                cinnamon stick, 250                                                                                                                                                                g (9oz)                                                                                                                                                                white onions                                                                                                                                                                , finely chopped, 1                                                                                                                                                                heaped tablespoon                                                                                                                                                                tomato purée (paste), 1                                                                                                                                                                heaped tablespoon                                                                                                                                                                ground coriander, salt                                                                                                                                                                , to taste, ½                                                                                                                                                                teaspoon                                                                                                                                                                garam masala, 1                                                                                                                                                                tablespoon                                                                                                                                                                chopped coriander (cilantro)                                                                                                                                                                , to garnish, ginger root                                                                                                                                                                , cut into matchsticks, to garnish, FOR THE SPICED YOGHURT MARINADE, , 3                                                                                                                                                                tablespoons                                                                                                                                                                Greek yoghurt, 1                                                                                                                                                                teaspoon                                                                                                                                                                ground turmeric, 1                                                                                                                                                                teaspoon                                                                                                                                                                Kashmiri chilli powder or mild chilli powder, 1½                                                                                                                                                                 teaspoon                                                                                                                                                                cumin seeds                                                                                                                                                                , coarsely crushed","First prepare the marinade. Mix all the marinade ingredients together in a large bowl. Make a few cuts in the chicken pieces to let the marinade soak in, then add the chicken pieces to the bowl and mix well, making sure they are all coated. Leave overnight in the refrigerator – even just 30 minutes is fine., Add the spinach to a blender with 3 tablespoons of water and blend to a smooth paste. You may need to do this in batches. Separately, blend the ginger, garlic and green chilli with 2–3 tablespoons of water to form a paste. Set aside., Heat the oil in a heavy-based, non-stick saucepan or kadhai, over a medium heat. Add the whole spices and fry for a few seconds. Add the onions and fry for 15 minutes, stirring well, until the colour begins to change. Add the ginger, garlic and chilli paste and fry for a further 2 minutes, stirring. Add a splash of water if it begins to stick to the base of the pan, then add the tomato purée. Fry for a couple of minutes, then stir in the ground coriander., Now add the marinated chicken and fry for 7–8 minutes, stirring and making sure to seal the pieces well. Reduce the heat to a low, season to taste, then cover and cook for 15–17 minutes until the chicken is cooked through, stirring halfway to make sure it doesn’t stick to the bottom of the pan., Now add the puréed spinach and continue to simmer over a low heat for a further 5–7 minutes, with the lid on. Finish with the garam masala, fresh coriander and ginger matchsticks, and stir together. Serve with naan or pulao, some raita and pickled slices of onion."
Jamie’s Tuscan-style roast pork loin & beans | Jamie Oliver recipes,Outrageous crispy crackling & greens,"https://img.jamieoliver.com/jamieoliver/recipe-database/117511188.jpg?tr=w-800,h-1066","['with', 'leftovers']",10 minutes,"“This isn’t any old roast; this is elegant slices of succulent pork and outrageous crackling sat on top of the most amazing Italian-inspired creamy sweet leeks and beans. Ask your butcher to remove the skin, but hang onto it for amazing double crackling – you want about 300g.  ”",542,39.4g,13.2g,2.1g,1g,33.3g,13.6g,4.3g,"SALMORIGLIO MARINADE & SAUCE, 1                                                                                                                                                                large bunch of                                                                                                                                                                fresh marjoram                                                                                                                                                                , (30g), olive oil, red wine vinegar, PORK & BEANS, 3                                                                                                                                                                                                                    leeks, 1                                                                                                                                                                bulb of                                                                                                                                                                garlic, 8                                                                                                                                                                -rib                                                                                                                                                                higher-welfare pork loin (2kg)                                                                                                                                                                , bone out, skin removed & reserved, 300                                                                                                                                                                g                                                                                                                                                                pork skin                                                                                                                                                                , (from above), 1 x 700                                                                                                                                                                g jar of                                                                                                                                                                butter beans, 1 x 360                                                                                                                                                                g jar of                                                                                                                                                                cannellini beans, ½                                                                                                                                                                a 700g jar of                                                                                                                                                                chickpeas, 1                                                                                                                                                                heaped tablespoon                                                                                                                                                                 crème fraîche, GREENS, 250                                                                                                                                                                g                                                                                                                                                                cavolo nero, 250                                                                                                                                                                g                                                                                                                                                                rainbow chard, ½                                                                                                                                                                a                                                                                                                                                                Savoy cabbage, 250                                                                                                                                                                g                                                                                                                                                                baby spinach, extra virgin olive oil, red wine vinegar","Preheat the oven to full whack (240°C/475°F/gas 9)., To make the marinade, pick the marjoram leaves into a pestle and mortar, bash to a rough paste with a pinch of sea salt, then muddle in 4 tablespoons of olive oil and 1 tablespoon of red wine vinegar., Slice the green tops off the leeks (keep for soups or stock), then cut the white parts in half lengthways. Wash them, then chop into 3cm pieces and transfer to a shallow, snug-fitting casserole pan with the whole bulb of garlic., Score lines in a criss-cross pattern in the pork fat at ½cm intervals across the entire length of the loin (make sure you don’t cut through to the meat). Then rub the loin with half of the marinade and place on top of the leeks. Using a small sharp knife, stab the pork skin all over, rub with a tablespoon of olive oil, sprinkle with a pinch of salt and place on a large baking tray., Reduce the oven temp to 200°C/400°F/gas 6, place the crackling on the top shelf and the pork on the shelf beneath, then roast for 1 hour., Meanwhile, prep the greens. Tear the cavolo nero leaves, discarding the stalks, and finely slice the Savoy cabbage, discarding any tough stalky bits as you go, then finely slice the chard, stalks and all. Cook the cabbage, cavolo nero and toughest chard leaves in a pan of boiling water over a medium heat for 3 minutes, then add the tenderest chard leaves and simmer for 1 more minute., Tip the spinach into a colander, then drain the greens directly over it to wilt. Lay all the greens on a clean work surface to cool, then wrap in a clean tea towel and squeeze out all the excess liquid. Transfer to a board and chop everything finely. Reheat in a pan when ready to serve and dress with salt, pepper and a tablespoon of extra virgin olive oil and red wine vinegar., Remove the pork loin and crackling from the oven and transfer to a board to rest for 30 minutes. Squeeze the roasted garlic cloves from their skins into the pan – discarding the skins as you go – then tip in the beans and chickpeas, juice and all. Place on a medium heat on the hob and gently simmer for 5 minutes, until heated through. Stir through the crème fraîche, season to taste and pour in any resting juices from the pork., To serve, spoon the beans onto serving plates and scatter over the cooked greens. Top each plate with two slices of pork, pour over the remaining Salmoriglio sauce and break over the crackling. Serve with a glass of chilled Valpolicella."
Beef Wellington for 2 | Jamie Oliver recipes,"Puff pastry, spinach pancakes & mushroom pâté","https://img.jamieoliver.com/jamieoliver/recipe-database/109469643.jpg?tr=w-800,h-1066","['Serves', '2']",30 minutes,,616,34.1g,19g,7.3g,1.1g,33g,44.1g,5.5g,"1                                                                                                                                                                                                                    red onion, 250                                                                                                                                                                g                                                                                                                                                                mixed mushrooms, 1 x 230                                                                                                                                                                g                                                                                                                                                                higher-welfare fillet steak, olive oil, ½ a                                                                                                                                                                bunch of                                                                                                                                                                thyme                                                                                                                                                                 , (10g), 2                                                                                                                                                                large                                                                                                                                                                free-range eggs, 1                                                                                                                                                                mug of                                                                                                                                                                plain flour                                                                                                                                                                , plus extra for dusting, 100                                                                                                                                                                g                                                                                                                                                                baby spinach, 1 x 320                                                                                                                                                                g sheet of                                                                                                                                                                all-butter puff pastry",
Sunshine egg salad | Jamie Oliver recipes,"Dukkah & sweet pepper grains, wilted spinach & pomegranate","https://img.jamieoliver.com/jamieoliver/recipe-database/111530852.jpg?tr=w-800,h-1066","['Serves', '2']",In15 minutes,,436,18.9g,4.5g,8.4g,0.5g,23.5g,40.2g,8.3g,"2                                                                                                                                                                tablespoons                                                                                                                                                                dukkah, 1 x 250                                                                                                                                                                g                                                                                                                                                                packet of mixed cooked grains, ½ x 460                                                                                                                                                                g                                                                                                                                                                jar of roasted red peppers, 200                                                                                                                                                                g                                                                                                                                                                baby spinach, 4                                                                                                                                                                                                                    large free-range eggs, ½                                                                                                                                                                                                                    a pomegranate, 2                                                                                                                                                                heaped tablespoons                                                                                                                                                                natural yoghurt",
