Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Herby steak & crispy potatoes | Jamie Oliver recipes,"Green pesto, juicy mixed-colour tomato salad & crushed pistachios","https://img.jamieoliver.com/jamieoliver/recipe-database/152012100.jpg?tr=w-800,h-1066","['Serves', '2']",In30 minutes,"“Inspired by pistou, a beautiful French condiment made with smashed basil, garlic and oil, this tasty dish is a joy to eat. I’ve swapped in pesto for ease, but buy fresh for amplified flavour and texture. ”",735,42.1g,11.7g,9.5g,1.4g,40g,51.8g,6.4g,"500                                                                                                                                                                g                                                                                                                                                                red-skinned potatoes, 1 x                                                                                                                                                                300g                                                                                                                                                                higher-welfare sirloin steak, 4                                                                                                                                                                teaspoons                                                                                                                                                                fresh green pesto                                                                                                                                                                ,  or pistou, 6                                                                                                                                                                                                                    ripe medium mixed-colour tomatoes, 20                                                                                                                                                                g                                                                                                                                                                shelled unsalted pistachios",
Roasted rump steak | Jamie Oliver recipes,Fragrant rosemary & butter,"https://img.jamieoliver.com/jamieoliver/recipe-database/127387254.jpg?tr=w-800,h-1066","['with', 'leftovers']",,"“This meal is such a fantastic reimagining of steak and chips. It allows us to truly enjoy and celebrate the rump cut as a bigger joint, and as the oven does the hard work for you, all the last-minute smoke and stress is removed from the process. This piece of steak is slightly bigger than you need, but it cooks well at this size and is worth it for the leftovers. ”",347,25.2g,11.2g,0.5g,0.4g,29.5g,0.7g,0g,"1.5                                                                                                                                                                kg piece of                                                                                                                                                                higher-welfare thick rump steak, 1                                                                                                                                                                bunch of                                                                                                                                                                rosemary                                                                                                                                                                 , (20g), 2                                                                                                                                                                knobs of                                                                                                                                                                unsalted butter, 2                                                                                                                                                                tablespoons                                                                                                                                                                 balsamic vinegar",
Surf & turf | Jamie Oliver recipes,With a refreshing mango & coconut salad,"https://img.jamieoliver.com/jamieoliver/recipe-database/125966465.jpg?tr=w-800,h-1066","['Serves', '4']",plus marinating,"“A perfectly cooked steak and juicy marinated prawns, grilled to perfection, is a brilliant combo. My cooking method on the barbecue allows the prawns to cook quicker, take on more flavour and look a whole lot cooler. Ask your butcher to cut you a thick, double steak so you can get it gnarly on the outside and blushing on the inside.
 ”",533,28.3g,13g,9.4g,1.3g,47.9g,21.9g,3.8g,"SURF & TURF, 12                                                                                                                                                                                                                    raw prawns                                                                                                                                                                , shell on, from sustainable sources, 1                                                                                                                                                                                                                    lime, 2                                                                                                                                                                teaspoons                                                                                                                                                                Keralan spice paste, olive oil, 1 x 3                                                                                                                                                                cm-thick                                                                                                                                                                sirloin steak                                                                                                                                                                , (600g), 2                                                                                                                                                                                                                    flatbreads                                                                                                                                                                , to serve, SALAD, 2                                                                                                                                                                                                                    limes, 1                                                                                                                                                                                                                    Scotch bonnet                                                                                                                                                                 , optional, 1                                                                                                                                                                                                                    mango, 1                                                                                                                                                                                                                    carrot, 4                                                                                                                                                                                                                    spring onions, 1                                                                                                                                                                handful of                                                                                                                                                                roasted cashew nuts, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (15g), ½                                                                                                                                                                a                                                                                                                                                                fresh coconut                                                                                                                                                                , (100g)","To butterfly the prawns, peel off the inner part of the shell, keeping the heads and tails on (there’s loads of flavour in there). Carefully run a sharp knife down the back of the prawns and use the tip of the knife to pull out the vein and discard. Repeat with the remaining prawns., To make the marinade, squeeze the juice of the lime into a large bowl with the spice paste and 1 tablespoon of olive oil, and mix well. Add the prawns and toss them all in the marinade. Set aside for 30 minutes to 1 hour., Light your barbecue and let it calm down. Make sure you’ve got your coals high on one side and low on the other for control., To prepare the steak, lightly score through the fat, then rub all over with ½ a tablespoon of olive oil, a pinch of sea salt and plenty of black pepper., Place the steak onto the cooler part of the barbecue, fat side down, for 5 minutes, to render the fat., Move the steak to the hotter part of the barbecue and continue to cook, fat side down, until crispy. Turn the steak onto one side and cook for 4 minutes on each side, until medium rare. Remove to a plate to rest., Meanwhile, lay the prawns on the barbecue, with the tails on the cooler end and the heads on the hotter end and cook for 3 minutes on each side., To make the salad, zest 1 lime into a large bowl and squeeze in the juice of both limes. Add 2 tablespoons of olive oil and season with a pinch of sea salt and black pepper. Cut a few slices off the Scotch bonnet, if you like (mind how you go, it’s got quite a kick!)., Peel, destone and roughly chop the mango and add to the bowl, squeezing any excess juice from the seed., Coarsely grate in the carrot (or finely slice if you want to practise your knife skills) and trim and finely slice the spring onions. Add to the bowl with the cashews., Pick the mint leaves and finely slice. Bash the coconut open (be very careful of your fingers!) and carefully remove the flesh from the shell. Coarsely grate in half of the coconut, add the mint leaves and use your hands to toss everything together., To serve, transfer the steak and prawns to a board and serve with the salad and warmed flatbreads for sharing."
Juicy seared steak | Jamie Oliver recipes,"Tomatoes, artichokes, mint, lemon & fluffy couscous","https://img.jamieoliver.com/jamieoliver/recipe-database/121303481.jpg?tr=w-800,h-1066","['Serves', '2']",In20 minutes,"“If you’re cooking to impress, a juicy, flavour-packed steak ticks a lot of boxes, and this dish takes your average steak night to a totally different place. It’s got toasted almonds, fluffy couscous, and a game-changing ingredient – preserved lemons. These jarred beauties are like an ultra lemon, and have the power to completely transform a dish – give them a try. 
 ”",470,16.9g,3.5g,8.8g,1.4g,34.4g,47.9g,7.1g,"½                                                                                                                                                                a bunch of                                                                                                                                                                mint                                                                                                                                                                , (15g), 100                                                                                                                                                                g                                                                                                                                                                couscous, 1 x 200                                                                                                                                                                g                                                                                                                                                                higher-welfare sirloin steak, 20                                                                                                                                                                g                                                                                                                                                                flaked almonds, ½                                                                                                                                                                tablespoon                                                                                                                                                                runny honey, 160                                                                                                                                                                g                                                                                                                                                                ripe mixed-colour cherry tomatoes, ½ x 185                                                                                                                                                                g jar of                                                                                                                                                                artichoke hearts in oil, 1                                                                                                                                                                small                                                                                                                                                                preserved lemon",
Seared steak & red chimichurri | Jamie Oliver recipes,"Smashed sweet potato, charred spring onions & crispy bits","https://img.jamieoliver.com/jamieoliver/recipe-database/109469642.jpg?tr=w-800,h-1066","['Serves', '2']",In20 minutes,“Spice up your usual steak and mash with this sweet potato and chimichurri alternative – delicious! ”,487,17.1g,7.4g,11.4g,1.2g,32.7g,51.6g,7.6g,"1 x 260                                                                                                                                                                g                                                                                                                                                                higher-welfare sirloin steak, 2                                                                                                                                                                                                                    cloves of garlic, 2                                                                                                                                                                                                                    sweet potatoes (250g each), 1                                                                                                                                                                                                                    bunch of spring onions, 2                                                                                                                                                                                                                    fresh red chillies, ½ x 460                                                                                                                                                                g                                                                                                                                                                jar of roasted red peppers, ½                                                                                                                                                                                                                    a bunch of flat-leaf parsley (15g), extra virgin olive oil, red wine vinegar",
Buddy's simple steak sandwich | Jamie Oliver recipes,A classic combination,"https://img.jamieoliver.com/jamieoliver/recipe-database/104266546.jpg?tr=w-800,h-1066","['2', 'adults']",In15 minutes,"“Cooking the perfect steak is a great skill to learn, plus you get a tasty sarnie at the end of it to tuck into together. When searing a steak, you need a hot pan for ultimate success, so please keep an eye on your little helper with this one.  ”",334,16.6g,5.6g,1.3g,0.7g,28.6g,17.1g,1g,"1 x 225                                                                                                                                                                g                                                                                                                                                                sirloin steak                                                                                                                                                                 , trimmed of fat and sinew, olive oil, 2                                                                                                                                                                sprigs                                                                                                                                                                of fresh rosemary, 2                                                                                                                                                                slices                                                                                                                                                                of good bread, unsalted butter                                                                                                                                                                , for spreading, creamed horseradish, mustard, tomato ketchup, brown sauce                                                                                                                                                                , optional, for spreading, , , ","Put a non-stick frying pan on a high heat to heat up., Season the steak with a small pinch of sea salt and a pinch of black pepper, then rub into both sides. Drizzle with 1 tablespoon of olive oil and pat that all over, too., Strip the rosemary leaves off one of the stalks and finely chop them, using the cross chop method – it keeps your fingers out of the way. Rub the chopped rosemary into the steak., Carefully place the steak into the hot pan and cook for 2 minutes on each side for medium-rare, or until cooked to your liking. Use the remaining rosemary sprig to brush the oil from the pan over the steak as it cooks, adding loads of lovely flavour., At the same time, lightly butter the bread, going right to the corners, then spread over the condiment of your choice., Once cooked, move the steak to a board to rest for 2 minutes, and drizzle with a little more oil., Slice the steak into strips the same thickness as the bread, toss the strips in the resting juices, then line up on one slice of the bread., Wipe the other slice of bread through the remaining resting juices and sandwich the two slices together. Cut the sandwich in half and serve."
Mexican-style steak | Jamie Oliver steak recipes,"Salsa, peanut sauce & crinkle-cut potatoes","https://img.jamieoliver.com/jamieoliver/recipe-database/85128277.jpg?tr=w-800,h-1066","['leftover', 'sauces']",resting time,"“Here’s a meaty treat inspired by Mexico to get your taste buds fired up – a nice juicy steak served with a fresh, crunchy salsa and an addictively rich satay-style sauce. Ask your butcher to cut you a thick, double steak so you can get it gnarly on the outside and blushing on the inside. You can amplify tenderness and keep it juicy by turning it regularly, trapping the moisture inside while building up a bark-like crust. Peel off the fat and use it to render your potatoes for a deliciously retro side. Get in! ”",668,41.2g,11.9g,4.2g,1.3g,41.9g,31.6g,2.9g,"1 x                                                                                                                                                                3cm thick                                                                                                                                                                sirloin steak                                                                                                                                                                , (300g), 1                                                                                                                                                                                                                    Maris Piper potato                                                                                                                                                                , (300g), 3                                                                                                                                                                                                                    fresh green chillies, olive oil, SALSA, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (15g), ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (15g), ½                                                                                                                                                                a                                                                                                                                                                clove of garlic, 1                                                                                                                                                                                                                    fresh red chilli, 2                                                                                                                                                                                                                    spring onions, 1                                                                                                                                                                                                                    ripe tomato                                                                                                                                                                , on the vine, 1                                                                                                                                                                                                                    lime, extra virgin olive oil, PEANUT SAUCE, 50                                                                                                                                                                g                                                                                                                                                                unsalted peanuts, 25                                                                                                                                                                g                                                                                                                                                                sesame seeds, ½                                                                                                                                                                teaspoon                                                                                                                                                                cumin seeds, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 1                                                                                                                                                                sprig of                                                                                                                                                                fresh thyme, ½                                                                                                                                                                teaspoon                                                                                                                                                                dried oregano, ½                                                                                                                                                                a                                                                                                                                                                 dried smoked chipotle chilli, 1                                                                                                                                                                tablespoon                                                                                                                                                                tequila, 1-2                                                                                                                                                                                                                    limes, ½                                                                                                                                                                a                                                                                                                                                                fresh green chilli","Preheat to the oven to 180°C/350°F/gas 4., Take your steak out of the fridge and let it come up to room temperature., For the salsa, pick and reserve a few coriander leaves, then roughly chop the rest (stalks and all). Pick and roughly chop the mint leaves. Peel the garlic, trim the chilli (deseed if you like) and spring onions, then roughly chop, along with the tomato. Mix with the herbs and continue chopping everything together until very fine., Squeeze the lime juice into a serving bowl with a good lug of of extra virgin olive oil and season with sea salt and black pepper. Add the chopped ingredients and toss to coat in the dressing. Set aside until needed., For the peanut sauce, put the nuts and the sesame and cumin seeds in a large dry frying pan over a medium heat. Peel and roughly slice the garlic and add to the pan, along with the thyme and oregano. Tear in the chipotle chilli and toast for a few minutes until lightly golden., Tip into a blender, just cover with water, then add the tequila, the juice of 1 lime, the fresh chilli, and a pinch each of sea salt and black pepper. Whiz until super-smooth, adding a splash more water if needed. Have a taste and adjust with more salt, chilli or lime juice. Set aside until needed., Scrub the potatoes and cut into 1cm-thick slices with a crinkle-cut knife. Pull the fat off the steak (discard the sinew) and finely slice. Place the fat in a cold non-stick frying pan over a medium heat and cook until golden. Add the potatoes and chillies and cook for 7 to 8 minutes on each side, or until golden and crispy. Tip the potatoes onto a plate lined with kitchen paper and keep warm in the preheated oven., Season the steak with salt and pepper, and place into the same pan as you cooked the potatoes, turning every minute until cooked to your liking – (about 7 minutes for medium rare). Remove from the pan, drizzle with a little oil and leave to rest for a few minutes, then slice 1cm thick., Spread a little peanut sauce over a large serving platter or divide between plates, and place the steak on top., Finish with a few dollops of salsa, a scattering of the reserved coriander, drizzle over any resting juices, then serve up with the crispy potatoes and tuck in."
Johnny Vegas' fillet steak flambé | Jamie Oliver recipes,Mustardy mushroom sauce & pepper sprinkle,"https://img.jamieoliver.com/jamieoliver/recipe-database/64503652.jpg?tr=w-800,h-1066","['Serves', '2']",plus marinating,"“Johnny fell in love with a dish like this while filming in Cape Town. If you’re looking for something to cook for a super-special occasion, it definitely has the wow factor. It’s certainly not something you’d eat every day and is quite cheffy in method, but utterly joyful to eat. Do try flambéing – it adds an amazing depth of flavour. ”",581,43.7g,19.0g,4.4g,1.6g,16.9g,5.0g,2.4g,"1                                                                                                                                                                sprig of                                                                                                                                                                fresh rosemary, 2                                                                                                                                                                sprigs of                                                                                                                                                                 fresh thyme, 1                                                                                                                                                                teaspoon                                                                                                                                                                red wine vinegar, olive oil, 2 x 150                                                                                                                                                                g                                                                                                                                                                centre-cut fillet steaks                                                                                                                                                                , ideally 2.5cm thick, 100                                                                                                                                                                g                                                                                                                                                                chestnut mushrooms, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh flat-leaf parsley                                                                                                                                                                , (15g), 20                                                                                                                                                                g                                                                                                                                                                unsalted butter, 10                                                                                                                                                                ml                                                                                                                                                                brandy, 50                                                                                                                                                                ml                                                                                                                                                                red wine, 100                                                                                                                                                                ml                                                                                                                                                                single cream, 1                                                                                                                                                                teaspoon                                                                                                                                                                wholegrain or French mustard, 1                                                                                                                                                                teaspoon                                                                                                                                                                English mustard, PEPPER SPRINKLE, ¼                                                                                                                                                                of a                                                                                                                                                                red pepper, ¼                                                                                                                                                                of an                                                                                                                                                                orange pepper, ¼                                                                                                                                                                of a                                                                                                                                                                yellow pepper, extra virgin olive oil","Strip the rosemary and thyme into a pestle and mortar with a good pinch of black pepper, bash to a paste, then muddle in the red wine vinegar and 1 tablespoon of olive oil. Rub all over the steaks and leave to marinate for 30 minutes., Deseed and finely dice the peppers, then dress with extra virgin olive oil and put aside. Quarter the mushrooms, then pick and finely chop the parsley leaves., Get all the other ingredients measured out and ready to go, as you want everything to happen within 6 minutes once the steaks hit the pan – read to the end of the next paragraph before you start cooking so you know what’s coming., Place a large frying pan on a high heat to get screaming hot. Brush the herbs off the steaks, then place the steaks in the pan with a drizzle of olive oil and the butter., Cook for 6 minutes in total, turning regularly and keeping them moving in the pan, making sure to sear the edges and baste with the juices, as you go., Within this time, as soon as the butter turns dark golden and the steak has good colour and character, add the mushrooms and a pinch of salt and pepper, jiggling the pan to keep things moving., Pour in the brandy, then carefully tilt the pan to catch the flame (or light with a long match) and let it flambé – stand back! When the flames subside, add the red wine and reduce by half (if you need to put the flame out, swiftly place a large metal lid over the pan)., Drizzle in the cream, turning the steaks in the sauce until they are nicely coated (briefly remove the steaks from the pan at this stage if your sauce is taking a while to reduce, to avoid overcooking)., Sprinkle over the parsley, then stir through the mustards. Slice the steaks in half, place on a warmed plate and drizzle with the sauce, then scatter over the dressed pepper sprinkle and tuck in. Delicious served with shoestring fries."
Quick steak stir-fry | Jamie Oliver quick steak recipes | Beef recipes,With crisped-up ginger & garlic shavings,"https://img.jamieoliver.com/jamieoliver/recipe-database/89081000.jpg?tr=w-800,h-1066","['Serves', '2']",In16 minutes,"“Quick, easy and reliable, you know you’re in for one tasty dinner. Try this steak stir-fry recipe the next time you’re looking for a feel-good meal. ”",325,17.9g,6g,5.1g,0.9g,32.6g,8.5g,0.5g,"4                                                                                                                                                                cloves of                                                                                                                                                                garlic, 4                                                                                                                                                                cm piece of                                                                                                                                                                ginger, 350                                                                                                                                                                g                                                                                                                                                                asparagus, 2 x 125                                                                                                                                                                 g                                                                                                                                                                fillet steaks, 2                                                                                                                                                                tablespoons                                                                                                                                                                black bean sauce","Peel and very finely slice the garlic and ginger. Put into a large cold non-stick frying pan with 1 tablespoon of olive oil, and place on a medium heat, stirring regularly., Once crisp and lightly golden, scoop out of the pan and put aside, leaving the garlicky oil behind., Line up the asparagus spears and trim off the woody ends, then add the spears to the hot pan., Season the steaks with sea salt and black pepper, add alongside the asparagus and turn the heat up to high. Cook for just 3 minutes, turning everything regularly., Toss in the black bean sauce and 1 tablespoon of red wine vinegar for 1 minute – this will give you medium-rare steaks. Alternatively, cook to your liking., Slice the steaks, dish up, then scatter over the crispy garlic and ginger."
Italian seared beef | Beef recipes | Jamie Oliver recipes,Beautiful rump steak with green pesto & Parmesan,"https://img.jamieoliver.com/jamieoliver/recipe-database/89080985.jpg?tr=w-800,h-1066","['Serves', '2']",In10 minutes,“The perfect date-night meal. They’ll never know how quick and easy it was as they shower you with praise for cooking up this 5-ingredient beauty. ”,321,21.1g,5.3g,0.5g,1g,32.2g,0.7g,0.3g,"1                                                                                                                                                                tablespoon                                                                                                                                                                pine nuts, 250                                                                                                                                                                g                                                                                                                                                                rump steak, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                green pesto, 40                                                                                                                                                                g                                                                                                                                                                rocket, 15                                                                                                                                                                g                                                                                                                                                                 Parmesan cheese","Put a large non-stick frying pan on a high heat, toasting the pine nuts as it heats up, tossing regularly and removing when golden., Cut the fat off the rump, finely chop the fat and place in the pan to render and crisp up while you cut the sinew off the rump, then season it with sea salt and black pepper., Place between two sheets of greaseproof paper and bash to 1cm thick with a rolling pin, also tenderizing the meat., Scoop out and reserve the crispy bits of fat, then sear the steak in the hot pan for 1 minute on each side, until golden but still blushing in the middle. Remove to a board., Spread the pesto over a sharing platter. Thinly slice the steak at an angle, then plate up. Pile the rocket on top, then scatter over the pine nuts and reserved crispy fat, if you like., Mix the steak resting juices with 1 tablespoon of extra virgin olive oil and drizzle over. Shave over the Parmesan, tossing before serving."
