Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Sweet potato chilli | Jamie Oliver recipes,"Black beans, chipotle, cumin, coriander & feta","https://img.jamieoliver.com/jamieoliver/recipe-database/137249479.jpg?tr=w-800,h-1066","['Serves', '12']",hours cook),,229,3.4g,1g,13g,0.6g,8.8g,38.8g,12g,"6                                                                                                                                                                                                                    sweet potatoes (250g each), olive oil, 1                                                                                                                                                                teaspoon                                                                                                                                                                cumin seeds, 1 x 95                                                                                                                                                                g                                                                                                                                                                jar of chipotle chilli paste, 500                                                                                                                                                                g                                                                                                                                                                fresh or frozen chopped mixed onion, carrot & celery, ½ a                                                                                                                                                                                                                    bunch of coriander (15g)                                                                                                                                                                , (15g), 3 x 400                                                                                                                                                                g                                                                                                                                                                tins of black beans, 3 x 400                                                                                                                                                                g                                                                                                                                                                tins of plum tomatoes, 60                                                                                                                                                                g                                                                                                                                                                feta cheese",
Super salad platter | Jamie Oliver recipes,"Avo, sweet potatoes, broccoli & beets","https://img.jamieoliver.com/jamieoliver/recipe-database/134567914.jpg?tr=w-800,h-1066","['Serves', '4']",,"“Both quinoa and cashew nuts are high in the mineral copper, which our bodies need for everything from immune and nervous system function to efficiently transporting iron around. ”",527,19.8g,3.6g,21.8g,0.4g,18.5g,74.2g,10g,"1                                                                                                                                                                teaspoon                                                                                                                                                                cumin seeds, 2                                                                                                                                                                small                                                                                                                                                                sweet potatoes                                                                                                                                                                , (200g each), 350                                                                                                                                                                g                                                                                                                                                                broccoli, olive oil, 25                                                                                                                                                                g                                                                                                                                                                cashew nuts, 25                                                                                                                                                                g                                                                                                                                                                mixed pumpkin, sunflower and sesame seeds, 250                                                                                                                                                                g                                                                                                                                                                vac-packed beetroot, 2                                                                                                                                                                tablespoons                                                                                                                                                                balsamic vinegar, extra virgin olive oil, 300                                                                                                                                                                g                                                                                                                                                                quinoa, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (30g), 1                                                                                                                                                                                                                    lemon, 1                                                                                                                                                                                                                    ripe avocado, 6                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt, 1                                                                                                                                                                punnet of                                                                                                                                                                cress","Preheat the oven to 180°C/350°F/gas 4. Crush 1 teaspoon of cumin seeds in a pestle and mortar. Scrub 2 small sweet potatoes and rub with the crushed cumin seeds. Place in a roasting tray and cook in the oven for 30 minutes., Meanwhile, trim the tough end off 1 broccoli stalk, slice it, then chop the rest into large florets. Toss the broccoli into the sweet potato tray with 1 tablespoon of olive oil. Roast for another 30 minutes, or until the sweet potatoes are cooked through., Toast 25g of cashew nuts and 25g of mixed pumpkin, sunflower and sesame seeds in a dry frying pan on a medium heat until smelling fantastic, then crush in the pestle and mortar., Bash and mush up 250g of vac-packed beetroot in their pack as much as you can, then snip the corner off and decant into a bowl with 2 tablespoons of balsamic vinegar and 1 tablespoon of extra virgin olive oil. Mix together, mashing with a fork, if needed., Cook 300g of quinoa according to the packet instructions, and drain well. Pick and finely chop the leaves from 1 bunch of mint (reserving the pretty ones for garnish) and stir through the quinoa with the finely grated zest and the juice from 1 lemon, then season to perfection., Scatter the quinoa across a large platter. Once cool enough to handle, tear over chunks of roasted sweet potato and dot over the roasted broccoli. Halve 1 ripe avocado and use a teaspoon to add curls of flesh to the platter. Dollop over 6 tablespoons of natural yoghurt, spoon bombs of dressed beets on top, scatter over the toasted nuts and seeds and the reserved mint leaves, snip over 1 punnet of cress and serve."
Sweet potato fishcakes | Jamie Oliver recipes,"Chopped salad, feta & red pepper salsa","https://img.jamieoliver.com/jamieoliver/recipe-database/134584618.jpg?tr=w-800,h-1066","['Serves', '4']",10 minutes,"“White fish is a great choice here, as it’s both low in fat and super-nutritious. Haddock, for example, is packed full of iodine, which we need to support healthy brain function. ”",423,8.6g,2.7g,16g,1.1g,32.5g,56.9g,8.4g,"500                                                                                                                                                                g                                                                                                                                                                potatoes, 500                                                                                                                                                                g                                                                                                                                                                sweet potatoes, 2                                                                                                                                                                                                                    red peppers, extra virgin olive oil, 2                                                                                                                                                                teaspoons                                                                                                                                                                chipotle Tabasco sauce, 500                                                                                                                                                                g                                                                                                                                                                white fish fillets from sustainable sources                                                                                                                                                                , skin off, pin-boned, olive oil, 1                                                                                                                                                                                                                    cucumber, 1                                                                                                                                                                                                                    iceburg lettuce, 1                                                                                                                                                                heaped teaspoon                                                                                                                                                                English mustard, 4                                                                                                                                                                heaped tablespoons                                                                                                                                                                natural yoghurt, 1                                                                                                                                                                tablespoon                                                                                                                                                                white wine vinegar, 40                                                                                                                                                                g                                                                                                                                                                feta cheese, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (15g), 1                                                                                                                                                                                                                    lemon","Wash 500g each of potatoes and sweet potatoes (leaving the skins on for extra nutritional benefit), chop into 3cm chunks and cook in a pan of boiling salted water for 15 minutes, or until cooked through. Drain, leave to steam dry and cool, then mash., Meanwhile, blacken 2 red peppers over a direct flame on the hob or in a griddle pan on a high heat, turning until charred and blistered all over., Pop into a bowl and cover with clingfilm for 10 minutes, then scrape off most of the black skin, discarding the stalks and seeds. Finely chop, dress with 1 tablespoon of extra virgin olive oil and 2 teaspoons of chipotle Tabasco, then put aside., Chop 500g of white fish fillets into 1cm dice, then mix into the cool mash really well with a pinch of sea salt and black pepper. Divide the mixture into eight even-sized balls and pat into 3cm-thick patties., Put two large non-stick frying pans on a medium-low heat with 1 tablespoon of olive oil in each (or cook in batches). Cook four fishcakes in each pan, for 5 minutes on each side, or until golden and cooked through, carefully turning with a fish slice – if they break or crack a little don’t stress, these are light, chunky, rough-and-ready fishcakes., Meanwhile, peel 1 cucumber, halve lengthways and scrape out the watery core, then slice ½ cm thick. Remove any tatty outer leaves from 1 iceberg lettuce, and roughly chop it into 1cm chunks., In a bowl, dress both with 1 heaped teaspoon of English mustard, 4 heaped tablespoons of yoghurt and 1 tablespoon of white wine vinegar, mixing well, then taste, season to perfection, and crumble over 40g of feta cheese. Pick, roughly chop and stir through most of the leaves from ½ a bunch of fresh mint (15g)., Serve the fishcakes and salsa scattered with baby mint leaves, with a good portion of salad and wedges of lemon, for squeezing over."
5-a-day spiced veg stew | Jamie Oliver recipes,"Fragrant coconut broth, coriander & lime","https://img.jamieoliver.com/jamieoliver/recipe-database/134622143.jpg?tr=w-800,h-1066","['Serves', '2']",In53 minutes,,414,11.2g,6g,39g,1.8g,11.8g,69.4g,15.8g,"1                                                                                                                                                                                                                    sweet potato                                                                                                                                                                , (300g), 1                                                                                                                                                                                                                    aubergine                                                                                                                                                                , (250g), 2                                                                                                                                                                                                                    mixed-colour peppers, 2                                                                                                                                                                                                                    onions, olive oil, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (15g), 30                                                                                                                                                                g                                                                                                                                                                sun-dried tomatoes, 2                                                                                                                                                                tablespoons                                                                                                                                                                Thai curry paste                                                                                                                                                                , (choose your favourite), ½ x 400                                                                                                                                                                g tin of                                                                                                                                                                light coconut milk, 160                                                                                                                                                                g                                                                                                                                                                mangetout, 2                                                                                                                                                                teaspoons                                                                                                                                                                soy or fish sauce, 1                                                                                                                                                                                                                    lime, 2                                                                                                                                                                                                                    flatbreads                                                                                                                                                                , optional","Scrub 1 sweet potato (300g) and slice into rounds, about ½cm thick. Trim 1 aubergine (250g) and 2 mixed-colour peppers, then chop into 3cm chunks., Char the vegetables in a large dry casserole pan over a high heat for 5 minutes – work in batches, removing to a plate as you go., Peel and finely slice 2 onions, then place in the large casserole pan on a medium heat with a splash of olive oil and cook for 10 minutes, stirring regularly., Finely chop the stalks from ½ a bunch of fresh coriander (15g), reserving the leaves for later, along with 30g of sun-dried tomatoes, then add to the pan., Stir in 2 tablespoons of Thai curry paste (choose your favourite) and cook for a further 3 minutes, then pour in ½ x 400g tin of light coconut milk and 400ml of boiling kettle water, and mix well., Add the charred veg back into the pan, pop the lid on, reduce the heat to low and cook gently for 10 minutes, throwing the mangetout in for the final 2 minutes., Season with 2 teaspoons of soy or fish sauce, then finely chop and scatter over the coriander leaves., Cut 1 lime into wedges for squeezing over, then serve up, with flatbreads on the side, if you like."
Roasted sweet potato burrito | Jamie Oliver recipes,Black bean sauce & jalapeño salsa,"https://img.jamieoliver.com/jamieoliver/recipe-database/134449899.jpg?tr=w-800,h-1066","['Serves', '4']",In50 minutes,"“Packed with beautiful flavours, this vegan burrito comes with an incredible black bean sauce for optimum dunkage. Hit it up with some vegan yoghurt and jalapeño pickle for the perfect finish. Messy, but oh so good! ”",558,9.6g,2.3g,13.2g,1.5g,17.3g,98.8g,12.5g,"2                                                                                                                                                                medium                                                                                                                                                                sweet potatoes                                                                                                                                                                , (600g), olive oil, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, ½                                                                                                                                                                a teaspoon of                                                                                                                                                                sweet smoked paprika, ½                                                                                                                                                                a teaspoon of                                                                                                                                                                ground cumin, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                black beans, 150                                                                                                                                                                g                                                                                                                                                                long grain rice, 200                                                                                                                                                                g                                                                                                                                                                spinach, 6                                                                                                                                                                                                                    spring onions, 100                                                                                                                                                                g                                                                                                                                                                sliced pickled jalapeños, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (15g), 4                                                                                                                                                                                                                    wholemeal tortillas, 4                                                                                                                                                                tablespoons                                                                                                                                                                diary-free yoghurt, 1-2                                                                                                                                                                                                                    limes","Preheat the oven to 180°C/350°F/gas 4., Cut 600g of sweet potatoes into rough 3cm chunks, then toss in a roasting tin with 1 tablespoon of olive oil and a pinch of sea salt and black pepper. Roast for 40 minutes, or until soft, golden and gnarly., Place a small pan on a medium heat with 1 teaspoon of olive oil., Peel and finely slice 2 cloves of garlic, then add to the pan along with ½ a teaspoon each of sweet smoked paprika and ground cumin. Fry for 1 to 2 minutes, then tip in 1 x 400g tin of black beans (juice and all), plus 1 tin’s worth of water and simmer for 5 minutes., Season to taste, then remove from the heat and blitz with a hand blender until smooth. Return to a low heat and leave to tick away., Meanwhile, cook 150g of long grain rice in a pan of boiling salted water according to the packet instructions, then drain., Place 200g of spinach in a colander above the rice and leave to wilt for a few minutes, then squeeze out any excess water., For the salsa, trim and finely slice 6 spring onions, then place in a bowl with the 100g of sliced pickled jalapeños and a splash of pickling juice. Pick in the leaves from ½ a bunch of fresh coriander (15g) and give everything a good mix., To assemble the burritos, load up the tortillas with the sweet potatoes, rice and spinach, wrap up, then slice in half. Pour the black bean sauce between 4 plates, and arrange the burritos on top. Serve each topped with some jalapeño salsa and 1 tablespoon of dairy-free yoghurt. Cut 1 to 2 limes into wedges for squeezing over."
Satisfying veggie bake | Jamie Oliver,,"https://img.jamieoliver.com/jamieoliver/recipe-database/128254962.jpg?tr=w-800,h-1066","['Serves', '8']",,"“We all need extraordinarily tasty ways to get in the good stuff, and with five of your 5-a-day per portion, this dish makes me very happy. ”",580,13.7g,5.3g,21.3g,1.3g,24g,96.2g,11.2g,"3                                                                                                                                                                                                                    onions, 3                                                                                                                                                                cloves of                                                                                                                                                                garlic, olive oil, 3                                                                                                                                                                level teaspoons                                                                                                                                                                ground coriander, 3                                                                                                                                                                teaspoons                                                                                                                                                                olive tapenade, 3                                                                                                                                                                                                                    mixed-colour peppers, 3                                                                                                                                                                                                                    sweet potatoes, 3                                                                                                                                                                large                                                                                                                                                                portobello mushrooms, 3                                                                                                                                                                                                                    courgettes, 3 x 400                                                                                                                                                                g tins of                                                                                                                                                                quality plum tomatoes, 3                                                                                                                                                                large                                                                                                                                                                free-range eggs, 500                                                                                                                                                                g                                                                                                                                                                Greek-style yoghurt, 100                                                                                                                                                                g                                                                                                                                                                feta cheese, 1                                                                                                                                                                bunch of                                                                                                                                                                oregano                                                                                                                                                                , (20g), 1                                                                                                                                                                packet of                                                                                                                                                                filo pastry                                                                                                                                                                , (270g), 1                                                                                                                                                                mug of                                                                                                                                                                basmati rice                                                                                                                                                                , (300g), 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                 butter beans",
Seared steak & red chimichurri | Jamie Oliver recipes,"Smashed sweet potato, charred spring onions & crispy bits","https://img.jamieoliver.com/jamieoliver/recipe-database/109469642.jpg?tr=w-800,h-1066","['Serves', '2']",In20 minutes,“Spice up your usual steak and mash with this sweet potato and chimichurri alternative – delicious! ”,487,17.1g,7.4g,11.4g,1.2g,32.7g,51.6g,7.6g,"1 x 260                                                                                                                                                                g                                                                                                                                                                higher-welfare sirloin steak, 2                                                                                                                                                                                                                    cloves of garlic, 2                                                                                                                                                                                                                    sweet potatoes (250g each), 1                                                                                                                                                                                                                    bunch of spring onions, 2                                                                                                                                                                                                                    fresh red chillies, ½ x 460                                                                                                                                                                g                                                                                                                                                                jar of roasted red peppers, ½                                                                                                                                                                                                                    a bunch of flat-leaf parsley (15g), extra virgin olive oil, red wine vinegar",
Indian-Indian-style chip butty | Jamie Oliver vegetarian recipes,"Spiced potato, mango & pomegranate chutney, mint yoghurt & sprinkles","https://img.jamieoliver.com/jamieoliver/recipe-database/92507788.jpg?tr=w-800,h-1066","['Serves', '4']",In35 minutes,"“These spiced, crispy hot potato balls squashed into buns with mango and pomegranate chutney, fresh mint yoghurt and Bombay mix sprinkles are to die for. Ridiculously delicious. ”",470,11.4g,5.2g,14g,1.3g,12.8g,84.6g,3.6g,"400                                                                                                                                                                g                                                                                                                                                                potatoes, 400                                                                                                                                                                g                                                                                                                                                                sweet potatoes, 3                                                                                                                                                                cloves of                                                                                                                                                                garlic, 3                                                                                                                                                                cm piece of                                                                                                                                                                ginger, 1                                                                                                                                                                                                                    fresh red chilli, 1                                                                                                                                                                large knob of                                                                                                                                                                unsalted butter, 1                                                                                                                                                                teaspoon                                                                                                                                                                garam masala, 1                                                                                                                                                                teaspoon                                                                                                                                                                mustard seeds, 2                                                                                                                                                                tablespoons                                                                                                                                                                mango chutney, ½                                                                                                                                                                a                                                                                                                                                                pomegranate, 1                                                                                                                                                                bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (30g), 4                                                                                                                                                                tablespoons                                                                                                                                                                natural yoghurt, 4                                                                                                                                                                                                                    soft rolls, 20                                                                                                                                                                g                                                                                                                                                                Bombay mix","Scrub the potatoes and sweet potatoes and chop into 2cm chunks, cook in a large pan of boiling salted water for 10 minutes, or until tender, then drain and steam dry., Peel the garlic and ginger, finely chop with the chilli, and place in a large non-stick frying pan over a medium heat with the butter, garam masala and mustard seeds., After 1 minute, tip and mash in the potatoes, then season to perfection with sea salt and black pepper. Keep frying until crispy, then mix up and allow to get crispy again., Divide roughly into 4 (still in the pan), then use 2 spoons to crudely mould and shape into balls, patiently frying and turning until kind of rounded, really golden and crispy all over (trust me, these are amazing!)., Spoon the mango chutney into a bowl, squeeze in enough pomegranate juice to loosen, then mix together with a handful of the pomegranate seeds., Whiz the mint leaves in a blender with the yoghurt until smooth. Split the rolls open and lightly toast on the inside, and roughly crush the Bombay mix., Spoon a dollop of mint yoghurt on to each bun base, top with a hot potato ball, a little mango chutney and Bombay mix, then pop the lid on and squash."
Beef massaman curry recipe | Jamie Oliver curry recipes,Tender beef & coconut,"https://img.jamieoliver.com/jamieoliver/recipe-database/83654014.jpg?tr=w-800,h-1066","['Serves', '6']",45 minutes,"“Inspired by her teenage travels to Thailand, Jodie’s rich, hearty aromatic beef curry is what weekends were made for. The curry paste is a proper arm workout and makes far more than you need, so simply freeze whatever you don’t use for another day. Job done! ”",809,34.3g,15.2g,15.6g,1.7g,32.4g,99.4g,6.6g,"1                                                                                                                                                                handful of                                                                                                                                                                unsalted peanuts                                                                                                                                                                , (30g), 500                                                                                                                                                                g                                                                                                                                                                beef chuck, 1 x 400                                                                                                                                                                ml tin of                                                                                                                                                                reduced-fat coconut milk, 1                                                                                                                                                                                                                    white onion, 1                                                                                                                                                                                                                    white potato                                                                                                                                                                , (250g), 1                                                                                                                                                                                                                     sweet potato                                                                                                                                                                , (250g), 1                                                                                                                                                                tablespoon                                                                                                                                                                fish sauce                                                                                                                                                                , plus extra to serve, 2                                                                                                                                                                teaspoons                                                                                                                                                                palm sugar, 450                                                                                                                                                                g                                                                                                                                                                jasmine rice, vegetable oil, PASTE, 6                                                                                                                                                                                                                    sun-dried chillies, 1                                                                                                                                                                tablespoon                                                                                                                                                                coriander seeds, 5                                                                                                                                                                                                                    cloves, 1                                                                                                                                                                tablespoon                                                                                                                                                                 fennel seeds, 1                                                                                                                                                                tablespoon                                                                                                                                                                white peppercorns, 100                                                                                                                                                                ml                                                                                                                                                                coconut cream, 1                                                                                                                                                                                                                    kaffir lime, 5                                                                                                                                                                cm piece of                                                                                                                                                                galangal, 4                                                                                                                                                                sticks of                                                                                                                                                                 lemongrass, 20                                                                                                                                                                cloves of                                                                                                                                                                garlic, 5                                                                                                                                                                pieces of                                                                                                                                                                coriander root                                                                                                                                                                , or ½ a bunch of fresh coriander stalks (15g), 10                                                                                                                                                                small                                                                                                                                                                shallots, ½                                                                                                                                                                tablespoon                                                                                                                                                                shrimp paste, SALAD, 200                                                                                                                                                                g                                                                                                                                                                Thai string beans                                                                                                                                                                , (yard-long beans), 300                                                                                                                                                                g                                                                                                                                                                bok choi, 2                                                                                                                                                                                                                    carrots, 1                                                                                                                                                                                                                    cucumber, 200                                                                                                                                                                g                                                                                                                                                                beansprouts, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh Thai basil                                                                                                                                                                , (15g), ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh mint                                                                                                                                                                , (15g), DRESSING, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 2                                                                                                                                                                cm piece of                                                                                                                                                                galangal, 1                                                                                                                                                                                                                    fresh bird's-eye chilli, 2                                                                                                                                                                                                                    limes, 2                                                                                                                                                                tablespoon                                                                                                                                                                fish sauce, 2                                                                                                                                                                tablespoons                                                                                                                                                                rice wine vinegar, 1                                                                                                                                                                teaspoon                                                                                                                                                                palm sugar","To make the paste, toast the chillies in a wok on a medium heat for 3 to 4 minutes. Pound in a pestle and mortar with 2 teaspoons of sea salt until fine., Toast the coriander seeds, cloves, fennel seeds and white peppercorns in the wok for 3 minutes on a low heat. Tip into your pestle and mortar with the chillies, add 1 tablespoon of coconut cream and pound to a paste – put some welly into it!, Peel the lime zest, then finely chop the rind and pound with the chillies., Peel and finely slice the galangal, trim the lemongrass, discarding the tough outer layer, and finely chop. Peel the garlic, wash and chop the coriander roots or stalks, and peel and finely slice the shallots (setting aside a large handful of sliced shallots for later). Char your chopped ingredients in a hot wok over a high heat for 2 to 3 minutes., Add your charred ingredients to the paste mixture and continue to pound until smooth, adding 1-2 tablespoons more of coconut cream if needed. Alternatively, scrape the paste and charred ingredients into a liquidiser with a little extra coconut cream and pulse until smooth., Add the shrimp paste to the wok, fry it off for 1 minute, then bash or whiz with your curry paste until combined. (You now have enough paste for another 5 or 6 curries)., To make the curry, toast the peanuts in a dry wok for 3 to 4 minutes or until golden, then set aside., Roughly chop the meat into 4cm chunks., Put your wok back on a medium heat and add 75ml coconut cream and 2 heaped tablespoons of the curry paste. Give it a good stir and let it bubble away for a couple of minutes., Tip in the beef, peanuts and coconut milk, and bring to the boil., Reduce the heat to low, cover, and leave to tick away for 45 minutes, stirring occasionally., Peel and roughly chop the onion, then peel the potatoes and chop into 3cm chunks. Add to the wok, along with the fish sauce and palm sugar, then give everything a good stir. Cover and continue cooking for 25 minutes, or until the sauce has thickened and the potato is soft, adding a splash of boiling water to loosen, if necessary. Have a taste and season with a little more fish sauce, if needed., For the salad, trim the beans and steam with the bok choi for 3 minutes or until just cooked – you want the beans to be soft enough to bend, but with a little bite. Run under cold water and then cut into three and tie into knots. Shave the carrots into long ribbons with a speed peeler, then score the length of the cucumber with a fork and slice into rounds. Arrange on a platter with the beansprouts and fresh herbs., For the dressing, peel and finely chop the garlic and galangal, deseed and finely chop the chilli. Finely zest 1 lime, then roll and squeeze the juice of both into a small bowl. Add the garlic, galangal, chilli, fish sauce, vinegar and sugar, and whisk to combine. Pour over the salad just before serving., Cook the rice according to the packet instructions., Heat 4 tablespoons of vegetable oil in a pan over medium-high heat and fry the reserved shallots until golden and crispy. Tip onto a plate lined with kitchen paper and leave to drain., Scatter the crispy shallots over the rice and serve with the curry and salad."
