Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Quick fishcake | Jamie Oliver recipes,"Cabbage, carrot & parsley slaw","https://img.jamieoliver.com/jamieoliver/recipe-database/141962361.jpg?tr=w-800,h-1066","['Serves', '1']",In10 minutes,"“Tinned fish is a fantastic cost-effective way to get fish into your diet. I’m celebrating a humble tin of tuna here, which is a good source of protein, vitamin B12, selenium and niacin – all the good stuff! Paired with a crunchy slaw, this entire meal contains 2 of your 5-a-day and you’ll only need one pan. I wanted to create a cracking recipe to serve 1 person, but you can easily double or quadruple this – just cook the fishcake to order. ”",545,15.3g,2.2g,9.7g,1.4g,34.3g,71.9g,8.8g,"1                                                                                                                                                                                                                    potato (250g), 1 x 145                                                                                                                                                                g tin of                                                                                                                                                                tuna in spring water, 2                                                                                                                                                                tablespoons                                                                                                                                                                plain flour, olive oil, 80                                                                                                                                                                g                                                                                                                                                                white cabbage, 1                                                                                                                                                                small                                                                                                                                                                carrot, a few                                                                                                                                                                sprigs of                                                                                                                                                                flat-leaf parsley, red wine vinegar, chilli sauce                                                                                                                                                                , to serve","Coarsely grate the potato into a clean tea towel, then drain and flake in the tuna, wrap them up, and wring out really well to remove the excess liquid. Transfer to a large bowl with the flour and toss together with a pinch of sea salt and black pepper., Drizzle 1 tablespoon of olive oil into a cold large non-stick frying pan, then evenly sprinkle in the mixture, using your fingers to really press it down. Place the pan on a high heat and fry for 3 minutes on one side, then flip or carefully turn out onto a plate and slide back into the pan to cook for 3 minutes on the other side, or until nicely golden and cooked through, then slide onto a serving plate., Meanwhile, finely shred the cabbage. Trim the carrot and speed-peel into ribbons. Finely chop the parsley (stalks and all) and place in a bowl with 1 tablespoon each of oil and red wine vinegar, then taste and season to perfection. Pile on top of the fishcake, then drizzle over 1 tablespoon of chilli sauce, to serve."
Buddy’s tuna pasta | Jamie Oliver recipes,"With tomatoes, leeks & fresh chilli","https://img.jamieoliver.com/jamieoliver/recipe-database/123301865.jpg?tr=w-800,h-1066","['Serves', '2']",In25 minutes,“A delicious family meal that’s easy to put together and makes the most of store-cupboard heroes. Double batch the sauce to stash in the freezer for future meals.  ”,347,5.4g,0.8g,9.6g,0.7g,21.5g,56.9g,5g,"1                                                                                                                                                                                                                    leek, ½                                                                                                                                                                a                                                                                                                                                                fresh chilli                                                                                                                                                                , optional, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                quality plum tomatoes, 1 x 80                                                                                                                                                                g tin of                                                                                                                                                                tuna in spring water                                                                                                                                                                , from sustainable sources, 130                                                                                                                                                                g                                                                                                                                                                dried spaghetti, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh basil, Parmesan cheese                                                                                                                                                                , to serve","Halve, wash and finely slice the white part of the leek (save the green leafy part for making stock or soup). Halve, deseed and finely chop the chilli (if using), and peel and finely chop the garlic., Place a large non-stick frying pan on a medium heat with ½ a tablespoon of olive oil. Add the chopped veg to the pan and cook for 5 minutes, or until softened, stirring regularly., Scrunch in the tomatoes (or break them up with a wooden spoon). Quarter-fill the tin with water, swirl it around to pick up the last bits of tomato and pour it into the pan., Drain and flake in the tuna, then add a pinch of black pepper and a tiny pinch of sea salt. Bring to the boil, then turn the heat down and leave to simmer, stirring regularly, while you cook your pasta., Cook the pasta in a large pan of boiling salted water according to the packet instructions, then drain, reserving a mugful of the starchy cooking water., Add the pasta to the sauce, pour in a little of the reserved pasta water to help the sauce stick, then stir well over the heat., Use tongs to divide the pasta between your bowls. Pick and finely slice the basil leaves, then scatter over the top, and serve with a good grating of Parmesan cheese."
Ant & Dec's Japanese feast | Jamie Oliver,"Tuna, scallops & salmon sashimi","https://img.jamieoliver.com/jamieoliver/recipe-database/100107704.jpg?tr=w-800,h-1066","['Serves', '4']",In10 minutes,“This is a really easy introduction to Japanese cuisine – three simple recipes you can prepare at home.  ”,244,17.5g,2.6g,1.2g,0.3g,18.3g,3.5g,0.4g,"NEW-STYLE SALMON SASHIMI, 120                                                                                                                                                                g                                                                                                                                                                sushi-grade salmon fillet                                                                                                                                                                , from sustainable sources, ½                                                                                                                                                                 tablespoon                                                                                                                                                                olive oil, ½                                                                                                                                                                 tablespoon                                                                                                                                                                sesame oil, ½                                                                                                                                                                 tablespoon                                                                                                                                                                toasted sesame seeds, ½                                                                                                                                                                a                                                                                                                                                                 fresh red chilli, mouli cress, ponzu                                                                                                                                                                , (non-alcoholic versions are available), SCALLOPS, 2                                                                                                                                                                 cloves of                                                                                                                                                                 garlic, vegetable oil, 4                                                                                                                                                                                                                    fresh scallops                                                                                                                                                                , roe discarded,  from sustainable sources, yuzu juice, shiso leaf                                                                                                                                                                , optional, ½                                                                                                                                                                a                                                                                                                                                                pomegranate, 1                                                                                                                                                                punnet                                                                                                                                                                purple shiso cress or mooli cress, extra virgin olive oil, TUNA, 100                                                                                                                                                                g                                                                                                                                                                sushi-grade tuna                                                                                                                                                                , from sustainable sources, ½                                                                                                                                                                a clove of                                                                                                                                                                garlic, 1                                                                                                                                                                teaspoon                                                                                                                                                                reduced-salt dark soy sauce, teaspoon                                                                                                                                                                yuzu, 1                                                                                                                                                                                                                    lime, 1                                                                                                                                                                                                                    fresh red or yellow chilli, 1                                                                                                                                                                handful of                                                                                                                                                                micro coriander, olive oil",
Seared tuna steak | Jamie Oliver fish & seafood recipe,With fresh coriander & basil,"https://img.jamieoliver.com/jamieoliver/recipe-database/89080404.jpg?tr=w-800,h-1066","['Serves', '4']",In15 minutes,"“When buying tuna you should look for meat that is evenly coloured, dark red and has a fine, tight grain free of large sinews. Generally you get better tuna in good fishmongers than in supermarkets, but sometimes the supermarkets get a good batch in, so keep your eyes peeled. There is a bit of a thing about it being fashionable to serve tuna pink; if you buy good-quality fresh tuna the last thing you want to do is cook it all the way through and make it taste like tinned tuna, so yes, good-quality fresh tuna should be served rare or very pink. ”",243,1.8g,0.5g,0.2g,0.9g,57.1g,0.4g,0.6g,"1                                                                                                                                                                small                                                                                                                                                                 dried red chilli, 1                                                                                                                                                                tablespoon                                                                                                                                                                coriander seeds, ½                                                                                                                                                                a clove of                                                                                                                                                                garlic, 1                                                                                                                                                                good handful of                                                                                                                                                                fresh basil, 1                                                                                                                                                                good handful of                                                                                                                                                                fresh coriander, olive oil, 1                                                                                                                                                                                                                    lemon, 4 x 225                                                                                                                                                                g                                                                                                                                                                tuna steaks                                                                                                                                                                , ideally 2cm thick, from sustainable sources","Smash up the chilli and the coriander seeds in a pestle and mortar., Peel and chop the garlic, pick and finely chop the herb leaves and add it all to the pestle and mortar with a drizzle of oil and lemon juice, to taste. Mix together, and season with sea salt and black pepper., Lay out your tuna steaks on a tray, season both sides and rub all over with the herb mixture., There are two nice ways to cook it: I prefer to cook it on a griddle pan or in a frying pan., Your pan should be very, very hot. Put in the tuna and what you want to do is sear it so that it toasts, fries and browns (about 45 to 60 seconds on each side)., Once cooked, I like to rip the steaks in half and serve with salad and chips or boiled potatoes and a big wedge of lemon. It’s quite sexy sometimes with some marinated sun-dried tomatoes, olives, basil… The possibilities are endless."
Stephen Mangan's Sri Lankan fish curry | Jamie Oliver recipe,Tempered rice & coconut sambal,"https://img.jamieoliver.com/jamieoliver/recipe-database/83653980.jpg?tr=w-800,h-1066","['Serves', '2']",In40 minutes,"“Cricket super-fan and actor Stephen Mangan’s love of the game has seen him journey to far-flung corners of the Indian Ocean, so I’ve cooked up a traditional Sri Lankan dish to remind him of his travels. It’s a deliciously dry curry, with all the flavour coming from the paste. I’m serving it with an easy yet super-tasty yellow rice and a gorgeously fresh coconut sambal – give it a go! ”",705,26.3g,19.2g,11.3g,2.4g,48.4g,72.4g,8.4g,"35                                                                                                                                                                g                                                                                                                                                                goraka                                                                                                                                                                , or 2 tablespoons tamarind paste, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 2                                                                                                                                                                cm piece of                                                                                                                                                                ginger, ½                                                                                                                                                                a                                                                                                                                                                 pandan leaf, 1                                                                                                                                                                large pinch of                                                                                                                                                                ground cinnamon, ½                                                                                                                                                                a teaspoon                                                                                                                                                                ground black pepper, 20                                                                                                                                                                                                                    fresh curry leaves, 300                                                                                                                                                                g                                                                                                                                                                yellowfin tuna                                                                                                                                                                , from sustainable sources, 2                                                                                                                                                                                                                    banana leaves, dried red chilli flakes                                                                                                                                                                , optional, SAMBAL, 2                                                                                                                                                                                                                    ripe tomatoes, 1                                                                                                                                                                                                                    fresh green chilli, ½                                                                                                                                                                a                                                                                                                                                                fresh coconut, 2                                                                                                                                                                                                                    limes, RICE, ½                                                                                                                                                                an                                                                                                                                                                onion, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, 1                                                                                                                                                                small knob of                                                                                                                                                                unsalted butter, 2                                                                                                                                                                                                                    pandan leaves, 10                                                                                                                                                                                                                    curry leaves, 1                                                                                                                                                                small pinch of                                                                                                                                                                ground turmeric, 1                                                                                                                                                                builder’s mug                                                                                                                                                                basmati rice                                                                                                                                                                , (150g)","Boil the goraka in a pan of boiling water for about 20 minutes, or until softened., Peel and roughly chop the garlic and ginger, and roughly chop the pandan., Place the softened goraka (or tamarind paste), garlic, ginger and pandan in a pestle and mortar, along with the cinnamon, black pepper, curry leaves and a good pinch of salt. Give it a good bash until everything has broken down., Add 3 tablespoons of boiling water and muddle to make a smooth paste., Cut the tuna into 6 even chunks, rub all over with the paste, then leave to marinate for 20 minutes., Meanwhile, for the rice, peel and finely chop the onion and garlic, then place in a shallow pan on a medium heat with the butter. Roughly chop the pandan and add to the pan. Tear in the curry leaves, then give everything a good stir and cook for 8 minutes or until softened, but not coloured., Stir in the turmeric, add the rice and cook for a few minutes more., Pour in 2 mugfuls (300ml) of boiling water, season with a good pinch of sea salt, then pop the lid and cook for 8 to 10 minutes, or until all the water is absorbed. Turn off the heat and leave it to steam for a further 10 minutes., Line a lidded clay pot or a small cast iron pan with a piece of banana leaf. Pop the fish in the bottom in a single layer, then cover with another piece of banana leaf, and the lid. Place the pan on the hob over a low heat and cook for 10 to 15 minutes, or until just cooked through., To make the sambal, deseed and finely chop the tomatoes, and trim and finely slice the chilli (deseed if you like). Scrape out the coconut with a fork (about 100g) and combine in a bowl with the tomato and chilli. Finely zest over the limes, then squeeze in the juice and season to taste., Line 2 plates with banana leaves and arrange a little bit of everything on each. Garnish with extra shaved coconut and chilli flakes, if you like."
Seafood fettuccine recipe | Jamie Oliver pasta recipes,"Baby courgettes, cherry tomatoes, pecorino & crushed almonds","https://img.jamieoliver.com/jamieoliver/recipe-database/77460210.jpg?tr=w-800,h-1066","['Serves', '4']",In20 minutes,"“Cooking with Maria, the only fisherwoman on the island of Procida, just a stone’s throw from Naples, inspired this dish. I love the way she uses pecorino as a seasoning, which is contrary to the ‘no cheese and fish’ rule, while the crushed almonds give texture, creaminess and depth of flavour. To make this recipe sing like Pavarotti, you really need baby or crunchy courgettes, so it’s best made in the summer. ”",581,23.3g,4.5g,8.6g,0.8g,34g,62.9g,3.7g,"50                                                                                                                                                                g                                                                                                                                                                whole almonds, 1                                                                                                                                                                small                                                                                                                                                                onion, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 4                                                                                                                                                                                                                    anchovy fillets in oil                                                                                                                                                                , from sustainable sources, olive oil, 300                                                                                                                                                                g                                                                                                                                                                dried fettuccine                                                                                                                                                                , or linguine, 4                                                                                                                                                                baby                                                                                                                                                                courgettes                                                                                                                                                                , with flowers, 300                                                                                                                                                                g                                                                                                                                                                yellowfin tuna                                                                                                                                                                , from sustainable sources, 1 x 400                                                                                                                                                                g tin of                                                                                                                                                                quality cherry tomatoes, 1                                                                                                                                                                                                                    lemon, 30                                                                                                                                                                g                                                                                                                                                                pecorino cheese, extra virgin olive oil","Lightly toast the almonds in a large frying pan on a medium heat, then tip into a pestle and mortar, leaving the pan on the heat., Peel the onion and garlic, finely chop with the anchovies and add to the pan with 2 tablespoons of olive oil. Fry for 4 minutes, stirring regularly., Meanwhile, cook the pasta in a pan of boiling salted water according to the packet instructions., Slice the courgettes ½cm thick, reserving the flowers, chop the tuna into rough 1cm dice, then stir both into the frying pan. Scrunch in the tomatoes through your clean hands, squeeze over the lemon juice and leave to tick away, stirring regularly., Finely grate the pecorino. Pound the almonds until fine., Once cooked, use tongs to drag the pasta straight into the frying pan, letting some starchy cooking water go with it. Toss together, then turn the heat off, tear in the courgette flowers and toss in the pecorino and most of the almonds., Check the seasoning, loosen with an extra splash of cooking water, if needed, and serve, sprinkled with the remaining almonds, finished with a drizzle of extra virgin olive oil."
Prawn & tuna linguine recipe | Jamie Oliver,"Agrodolce style with pistachios, parsley, vinegar & saffron","https://img.jamieoliver.com/jamieoliver/recipe-database/77638953.jpg?tr=w-800,h-1066","['Serves', '2']",In45 minutes,"“Inspired by my time cooking with Nonna Rosanna, this sweet and sour pasta is an absolute joy, and uses prawns and their heads for maximum flavour. I’m using her trick of washing sliced onions to make them milder, and that moisture also helps to add extra sweetness as they cook, before we add vinegar for contrast. ”",699,29.3g,4.1g,10.6g,0.6g,46.4g,66.3g,6.2g,"2                                                                                                                                                                 small                                                                                                                                                                 onions, 4                                                                                                                                                                large                                                                                                                                                                raw shell-on prawns                                                                                                                                                                , from sustainable sources, olive oil, 1                                                                                                                                                                                                                    cinnamon stick, 2                                                                                                                                                                                                                    anchovy fillets in oil                                                                                                                                                                , from sustainable sources, 1                                                                                                                                                                good pinch of                                                                                                                                                                saffron, 4                                                                                                                                                                tablespoons                                                                                                                                                                white wine vinegar, 50                                                                                                                                                                g                                                                                                                                                                shelled unsalted pistachios, pecorino or Parmesan cheese rind, 150                                                                                                                                                                g                                                                                                                                                                dried linguine, 200                                                                                                                                                                g                                                                                                                                                                yellowfin tuna                                                                                                                                                                , from sustainable sources, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh flat-leaf parsley                                                                                                                                                                , (15g)",
Asian-style tuna steak salad | Jamie Oliver tuna recipes,With soya beans & zingy pickled ginger,"https://img.jamieoliver.com/jamieoliver/recipe-database/89081010.jpg?tr=w-800,h-1066","['Serves', '2']",In10 minutes,,426,19.2g,3.5g,5g,1.3g,54g,9.8g,8.5g,"200                                                                                                                                                                g                                                                                                                                                                radishes                                                                                                                                                                , ideally with leaves, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                pickled ginger, 2                                                                                                                                                                teaspoons                                                                                                                                                                low-salt soy sauce, 250                                                                                                                                                                g                                                                                                                                                                frozen soya beans, 2 x 150                                                                                                                                                                g                                                                                                                                                                tuna steaks                                                                                                                                                                , (ideally 2cm thick), from sustainable sources","Finely chop 2 radishes with the pickled ginger, then dress with the soy, 1 tablespoon of extra virgin olive oil and 2 teaspoons of water and put aside., Very finely slice the remaining radishes with their leaves., Place the beans in a non-stick frying pan on a high heat, cover with boiling kettle water, boil for 2 minutes, then drain. Return the pan to a medium-high heat., Rub the tuna with 1 teaspoon of olive oil and a pinch of sea salt and black pepper, then sear for 1½ minutes on each side, so it’s blushing in the middle., Divide the beans and radishes between your plates, half-tear the tuna and place proudly on top, then spoon over the pickled ginger mixture, drizzling all the juices around the plate., Finish with 1 teaspoon of extra virgin olive oil."
Sicilian tuna pasta | Pasta recipes | Jamie Oliver recipes,With sweet cherry tomatoes & crispy capers,"https://img.jamieoliver.com/jamieoliver/recipe-database/108100220.jpg?tr=w-800,h-1066","['Serves', '4']",In14 minutes,,411,9.6g,1.3g,6.2g,1.1g,24.3g,60.7g,3.4g,"300                                                                                                                                                                g                                                                                                                                                                dried pasta shells, 4                                                                                                                                                                heaped teaspoons                                                                                                                                                                baby capers, 500                                                                                                                                                                g                                                                                                                                                                ripe mixed-colour cherry tomatoes, 1                                                                                                                                                                tablespoon                                                                                                                                                                dried oregano                                                                                                                                                                , ideally the flowering kind, 1 x 220                                                                                                                                                                g jar of                                                                                                                                                                tuna in olive oil                                                                                                                                                                , from sustainable sources","Cook the pasta in a pan of boiling salted water according to the packet instructions., Meanwhile, place a large non-stick frying pan on a medium-high heat with 1 tablespoon of olive oil. Add the capers, fry until super-crispy, then scoop out and put aside, leaving the fragrant oil behind., Halve and add the tomatoes, then sprinkle in most of the oregano., Drain and flake in the tuna, add 2 ladlefuls of pasta cooking water, and simmer until the pasta is done., Drain the pasta, reserving a mugful of cooking water, then toss the pasta into the tuna pan, loosening with a splash of reserved cooking water, if needed., Taste, season to perfection with sea salt and black pepper, then dish up. Sprinkle over the crispy capers and the remaining oregano from a height, drizzle with 1 teaspoon of extra virgin olive oil, and tuck in."
Seared sesame tuna | Fish recipes | Jamie Oliver recipes,With crunchy green veg,"https://img.jamieoliver.com/jamieoliver/recipe-database/55846377.jpg?tr=w-800,h-1066","['Serves', '2']",In10 minutes,,450,27.4g,5.1g,4g,1.1g,43.9g,7.5g,3.3g,"1                                                                                                                                                                heaped tablespoon                                                                                                                                                                miso paste, 2 x 150                                                                                                                                                                g                                                                                                                                                                tuna steaks                                                                                                                                                                , (ideally 2cm thick), from sustainable sources, 4                                                                                                                                                                tablespoons                                                                                                                                                                sesame seeds, 8                                                                                                                                                                                                                    spring onions, 150                                                                                                                                                                g                                                                                                                                                                sugar snap peas","Place a large non-stick frying pan on a medium-high heat., Rub the miso all over the tuna, then pat on the sesame seeds to cover., Place in the hot pan with 1 tablespoon of olive oil and sear for 1½ minutes on each side, so it’s beautifully golden on the outside but blushing in the middle., Remove to a board to rest. Quickly wipe out the pan with a ball of kitchen paper, then return to the heat., Trim the spring onions and slice at an angle the same length as the sugar snaps, tossing both into the hot pan with a few drips of red wine vinegar and a pinch of sea salt for 2 minutes to lightly catch and char., Slice the sesame tuna and serve on top of the veg, drizzled with 1 teaspoon of extra virgin olive oil."
