Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Toad in the hole | Jamie Oliver leftovers recipes,Yorkshire pudding filled with leftovers & dirty gravy,"https://img.jamieoliver.com/jamieoliver/recipe-database/90246165.jpg?tr=w-800,h-1066","['Serves', '4']",In45 minutes,"“What’s not to love about this bad boy – all the best bits of the Christmas Day meal, wrapped up in crispy fluffy Yorkshire pudding like an extra present! You can pretty much use whatever leftovers you have in this epic creation – enjoy. ”",965,58.7g,13.6g,10.2g,1.9g,33.7g,80.1g,6.5g,"2                                                                                                                                                                rashers of                                                                                                                                                                higher-welfare smoked streaky bacon, 4                                                                                                                                                                                                                    higher-welfare chipolata sausages, 4                                                                                                                                                                                                                    fresh sage leaves, 4                                                                                                                                                                                                                    leftover roast potatoes, 4                                                                                                                                                                tablespoons                                                                                                                                                                leftover stuffing, 8                                                                                                                                                                                                                    leftover Brussels sprouts, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh rosemary, 100                                                                                                                                                                ml                                                                                                                                                                sunflower oil, YORKSHIRE BATTER, 3                                                                                                                                                                large                                                                                                                                                                free-range eggs, 100                                                                                                                                                                g                                                                                                                                                                plain flour, 250                                                                                                                                                                ml                                                                                                                                                                semi-skimmed milk, DIRTY GRAVY, 1                                                                                                                                                                                                                    leek, 25                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , or higher-welfare turkey dripping, 80                                                                                                                                                                g                                                                                                                                                                leftover cooked higher-welfare turkey meat, 1                                                                                                                                                                heaped tablespoon                                                                                                                                                                plain flour, 1                                                                                                                                                                tablespoon                                                                                                                                                                cranberry sauce, 700                                                                                                                                                                ml                                                                                                                                                                free-range chicken stock","So, guys, to make this incredible treat obviously requires you to have leftovers, which will differ for all of us. I’ve given you the recipe for the pigs in blankets and the batter, and everything else is based on what you’ve got – just don’t overload it., Start by moving your oven shelves around so you have plenty of space in the middle of the oven for your Yorkshire to grow., Preheat the oven to 220ºC/425ºF/gas 7., For the Yorkshire, beat the eggs into the flour with a pinch of sea salt, then gradually whisk in the milk to give you a smooth batter, and pour into a jug., Wrap half a rasher of bacon around each sausage, poking in a sage leaf, too. Pop on to a baking tray with the potatoes (roughly chop, if you like), balls or pinches of stuffing, and the sprouts., Pick over the rosemary leaves and place in the top of the oven for 10 minutes., Pour the sunflower oil into a baking dish (25cm x 30cm) and place in the oven on the shelf underneath, to preheat the oil properly., Meanwhile, for the gravy, wash, trim and finely slice the leek, then put it into a frying pan on a medium heat with the butter or dripping. Cook for 10 minutes, or until soft, stirring occasionally., Shred in the turkey meat and stir in the flour and cranberry sauce, followed by the stock., Simmer for 15 to 20 minutes, or until thick, then taste and season to perfection., For the next bit, you need to be cool, calm and safe, as you’re working with hot oil, and you want to retain the heat from the oven., Have your jug of batter ready and two oven gloves or tea towels. Keep the tray of oil in the oven and carefully pull the shelf out a little.Holding it steady, pour in the batter, then gently transfer everything from the tray above into the centre., Push the shelf back in and keep the door shut for 20 to 25 minutes, or until the Yorkshire is puffed up and golden., Serve the Christmas toad in the hole with the dirty gravy, any extra cranberry sauce, and with a nice fresh slaw on the side."
Cranberry Christmas turkey | Jamie Oliver Christmas recipes,Bacon & thyme,"https://img.jamieoliver.com/jamieoliver/recipe-database/83911439.jpg?tr=w-800,h-1066","['of', 'leftovers']",plus resting),"“It’s turkey time and my epic cranberry-basted bird is no stress – quick to prep and turbo-charged with flavour. Get ahead by prepping the bird ready for roasting on Christmas Eve, then simply calculate your cooking times and let the oven do the hard work.  Happy days. ”",252,14.9g,6.6g,0.2g,0.4g,29.3g,0.4g,0.3g,"1 x 7                                                                                                                                                                kg                                                                                                                                                                 free-range turkey                                                                                                                                                                , with giblets (I use a Paul Kelly bird), 100                                                                                                                                                                g                                                                                                                                                                dried cranberries, 1                                                                                                                                                                big bunch of                                                                                                                                                                fresh thyme                                                                                                                                                                 , (60g), 250                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , (at room temperature), 12                                                                                                                                                                rashers of                                                                                                                                                                higher-welfare smoked streaky bacon",
Turkey breast with sausage & apricot stuffing | Turkey recipes | Jamie Magazine,Covered with crisped-up streaky bacon,"https://img.jamieoliver.com/jamieoliver/recipe-database/63227647.jpg?tr=w-800,h-1066","['with', 'leftovers']",plus resting,"“A great alternative to cooking a whole turkey at Christmas, this turkey breast is packed with flavourful stuffing to keep it juicy and delicious. ”",174,6.7g,2.2g,2.8g,0.4g,24g,4.7g,0.7g,"1                                                                                                                                                                medium                                                                                                                                                                onion, 1                                                                                                                                                                large clove of                                                                                                                                                                garlic, olive oil, 250                                                                                                                                                                g                                                                                                                                                                higher-welfare Cumberland sausages, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh sage, 100                                                                                                                                                                g                                                                                                                                                                dried apricots, 50                                                                                                                                                                g                                                                                                                                                                fresh breadcrumbs, 2                                                                                                                                                                kg                                                                                                                                                                higher-welfare turkey breast                                                                                                                                                                , skin on, butterflied, 10                                                                                                                                                                rashers of                                                                                                                                                                higher-welfare streaky bacon","Preheat the oven to 200ºC/400ºF/gas 6., Peel and finely chop the onion and garlic. Drizzle a little oil into a frying pan over a medium heat and sauté the onion, stirring occasionally, until completely translucent. Stir in the garlic and cook until golden, then remove from the heat and allow to cool., Squeeze the sausagemeat from the skins into a large bowl. Roughly chop the sage leaves and apricots, and stir into the sausagemeat along with the breadcrumbs and cooled onion mixture. Use your hands to bring it all together., Lay the turkey breast on a clean chopping board, skin-side down, and evenly spread the stuffing over the top. With the longest side of the breast closest to you, tightly roll it up, then place seam-side down on the board. Drape the streaky bacon widthways along the length of the turkey., Tie up the turkey breast with 5 or 6 pieces of kitchen string, about 5cm apart, knotting them tightly to secure the roll. Drizzle over a little oil and season with sea salt and black pepper., Place the turkey breast in a roasting tin, cover with tin foil and roast for 1 hour and 20 minutes (or 40 minutes per kilo), removing the foil for the last 20 minutes to allow the bacon to crisp up. Pierce the centre of the turkey and check that the juices run clear., Transfer the turkey to a board, cover with foil and a clean tea towel and allow to rest for 20 to 30 minutes before serving."
Turkey risotto | Turkey recipes | Jamie Oliver recipes,"Sweet leeks, Parmesan, Prosecco, crispy turkey skin & gravy","https://img.jamieoliver.com/jamieoliver/recipe-database/2HKDAhve4dJ96skYay_75A.jpg?tr=w-800,h-1066","['a', 'starter']",In35 minutes,"“Ladies and gentlemen, let me introduce you to one of the very nicest risottos on planet earth – it’s oozy, delicate and super-comforting, with wafer-thin crispy turkey skin, and a well in the middle for your steaming leftover gravy. Amen. ”",815,23.5g,9.9g,8.5g,0.8g,50.1g,94.6g,3.1g,"leftover cooked higher-welfare turkey skin, 8                                                                                                                                                                sprigs                                                                                                                                                                of fresh thyme, 1                                                                                                                                                                                                                    onion, 1                                                                                                                                                                                                                    leek, 2                                                                                                                                                                sticks                                                                                                                                                                of celery, olive oil, 1.4                                                                                                                                                                litres                                                                                                                                                                organic chicken or veg stock, 300                                                                                                                                                                g                                                                                                                                                                Arborio risotto rice, 125                                                                                                                                                                ml                                                                                                                                                                Prosecco, 300                                                                                                                                                                g                                                                                                                                                                leftover cooked white higher-welfare turkey meat, 100                                                                                                                                                                ml                                                                                                                                                                leftover higher-welfare turkey gravy, 50                                                                                                                                                                g                                                                                                                                                                Parmesan cheese, 25                                                                                                                                                                g                                                                                                                                                                unsalted butter, 1                                                                                                                                                                tablespoon                                                                                                                                                                mascarpone cheese, new season's extra virgin olive oil                                                                                                                                                                , optional","I like to place any leftover turkey skin from the bottom of the carcass into a cold casserole pan, then put it on a medium heat so the fat naturally renders out and it becomes super-crisp, like crackling, turning halfway., When it’s golden, strip in the thyme leaves to crisp up for just 10 seconds, then scoop the crispy skin and thyme on to a plate, keeping the pan of flavoursome fat to one side., Peel the onion, wash the leek and trim with the celery, then finely chop it all., Return the pan of fat to a medium heat, then add the veg and fry for 10 minutes, or until soft but not coloured, stirring occasionally, and adding a splash of oil, if needed., Pour the stock into a separate pan and bring to a simmer on a low heat., Stir the rice into the veg for a couple of minutes, then pour in the Prosecco. Let it cook away, then start adding the stock, a ladleful at a time, letting each one cook away before adding more. Keep a close eye on it and stir constantly for 17 minutes, or until the rice is cooked but still retains its shape., Meanwhile, finely chop the turkey meat, stirring it into the pan halfway through the 17 minutes. Reheat your gravy, then sieve it into a pre-warmed jug ready to pour at the table., When the risotto is done, add enough extra stock to make it oozy, then remove from the heat., Finely grate over most of the Parmesan and beat it in with the butter and mascarpone, then taste and season to perfection. Put the lid on and take to the table., Divide between your hot plates, make a well in the middle of each portion and flamboyantly pour in the hot gravy, then crack and crumble the crispy skin and thyme over the top., Finish with a tiny extra grating of Parmesan, and a thimble of new season’s extra virgin olive oil, if you’ve got it."
Cooking the turkey | Turkey recipes | Jamie Oliver recipes,This bird deserves respect,"https://img.jamieoliver.com/jamieoliver/recipe-database/9R_XGMdyKmn8ng3hVnwTlW.jpg?tr=w-800,h-1066","['of', 'leftovers']",standard bird,"“It’s game time, and your timings are key. Remembering to work out enough time for the bird to come up to room temperature, to cook, and to rest for 2 hours will determine when you start cooking and when you eat. Plan ahead! ”",734,38g,16.2g,3.5g,1.3g,91.9g,6.8g,1.5g,"12                                                                                                                                                                rashers                                                                                                                                                                of smoked streaky higher-welfare bacon, 2                                                                                                                                                                heaped tablespoons                                                                                                                                                                plain flour, 2                                                                                                                                                                tablespoons                                                                                                                                                                cranberry sauce","Click here for how to prep your bird..., Preheat the oven to 180ºC/350ºF/gas 4., You want to cook a higher-welfare bird for 25 to 30 minutes per kilo, and a standard bird for 35 to 40 minutes per kilo. Higher-welfare birds generally have more intramuscular fat, which means they cook quicker than standard, lean birds. If you’ve got a 7kg bird, like I had here, do it for just over 3 hours, based on the guideline timings above., Just under 1 hour before the time is up, get the tray out of the oven and remove the tin foil., Cover the bird with your rashers of bacon, stretching and weaving them into a criss-cross pattern however you like. Return the turkey to the oven for the remaining time, or until golden and cooked through., The simplest way to check it’s cooked is to stick a knife into the thickest part of the thigh – if the juices run clear, it’s done. If you’re worried, use a meat thermometer. You want to reach an internal temperature of 65ºC for a top-quality bird, such as Paul Kelly’s turkeys, or 70ºC for a supermarket higher-welfare or standard bird., Use heavy-duty tongs to lift up your bird so all the juices run from the cavity into the tray, then transfer the turkey to a platter, cover with a double layer of tin foil and a clean tea towel, and leave to rest for up to 2 hours while you crack on., Use your tray of trivet veg and juices to make your gravy. Place the turkey tray over a medium heat on the hob. Skim away most of the fat from the surface into a jar, cool, and place in the fridge for tasty cooking another day., Stir the flour into the tray, mashing up all the veg and scraping up all the sticky bits from the base. Pour in up to 2 litres of boiling kettle water and simmer until the gravy is the consistency of your liking, then stir in the cranberry sauce., Strain the gravy through a coarse sieve, pushing all the goodness through with the back of a spoon, then season to perfection., Keep warm over the lowest heat until needed, adding any extra resting juices from the turkey before serving."
Prepping the turkey | Turkey recipes | Jamie Oliver recipes,This bird deserves respect,"https://img.jamieoliver.com/jamieoliver/recipe-database/0-p_4tRM4hp8w9kVEEGHil.jpg?tr=w-800,h-1066","['of', 'leftovers']",In30 minutes,"“For me, prepping the turkey a day in advance and taking the time to get it to the stage where it’s ready to cook is a joy. I take real pleasure in giving this illustrious bird the focus it deserves, plus saving myself a bit of stress on the big day. ”",734,38g,16.2g,3.5g,1.3g,91.9g,6.8g,1.5g,"1 x 7                                                                                                                                                                kg                                                                                                                                                                higher-welfare turkey                                                                                                                                                                , (I use a Paul Kelly bird), 1                                                                                                                                                                                                                    clementine, 1                                                                                                                                                                                                                    fresh red chilli, 1                                                                                                                                                                bunch                                                                                                                                                                of fresh rosemary (30g), 1                                                                                                                                                                bunch                                                                                                                                                                of fresh sage (30g), 12                                                                                                                                                                                                                    fresh bay leaves, 250                                                                                                                                                                g                                                                                                                                                                stuffing, 250                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , at room temperature, 1                                                                                                                                                                                                                    whole nutmeg                                                                                                                                                                , for grating, GRAVY TRIVET, turkey giblets                                                                                                                                                                , (optional), 2                                                                                                                                                                                                                    onions, 2                                                                                                                                                                                                                    carrots, 2                                                                                                                                                                sticks                                                                                                                                                                of celery, ½                                                                                                                                                                a bulb                                                                                                                                                                of garlic","Check the main turkey cavity for the bag of giblets, and if they’re in there, remove and tip them into your roasting tray, discarding the bag. The added flavour they’ll give your gravy will be incredible – trust me., Peel the onions, wash the carrots and roughly chop with the celery, then add to the tray with the unpeeled garlic cloves., Halve the clementine and chilli and place in the turkey cavity with most of the herbs – not filling it too full allows hot air to circulate, cooking the bird from the inside out and from the outside in., Place the stuffing in the neck cavity (click here for my meat stuffing recipe, or you could use any veggie stuffing), then pull the skin back over it and tuck it under the bird. You’ll get a good contrast between the soft, juicy stuffing here inside the turkey, and the crispier stuff you can bake in a dish, as well., Scrunch and warm the butter in your hands so it’s soft enough to spread all over the bird, getting into all the nooks and crannies. The butter layer serves two purposes – natural basting, plus keeping the seasoning away from the meat until it hits the oven, so the bird stays nice and juicy. The butter will melt off as it cooks, adding to the flavour of the gravy, and you’ll also be able to skim off that tasty fat and save it in a jar in the fridge for delicious cooking another day., Generously sprinkle the turkey from all sides with sea salt and black pepper, pick over the remaining herb leaves and pat them on to the butter, then finely grate over a nice coating of nutmeg., Cover the turkey snugly with tin foil and place it on top of the trivet in the tray. You can now either leave it for 1 hour until the bird comes up to room temperature, ready to cook, or pop it into the fridge or another cold place until you need it., Have a clear down, and your prep is done. Click here for how to cook your bird..."
Turkey sloppy Joes | Turkey recipes | Jamie Oliver recipes,"Tasty slaw with gherkins & chilli, homemade BBQ sauce","https://img.jamieoliver.com/jamieoliver/recipe-database/51137629.jpg?tr=w-800,h-1066","['Serves', '4']",In20 minutes,"“The sloppy Joe is so much more than a sandwich or a burger, and giving it the Christmas treatment means we’re taking that bun filled with delicious pulled meat and crunchy exciting veg, served with gravy for dunking, to the next level. ”",639,29.4g,6.8g,12.6g,2.1g,39.7g,52.7g,14.1g,"200                                                                                                                                                                g                                                                                                                                                                leftover cooked higher-welfare turkey meat, 200                                                                                                                                                                ml                                                                                                                                                                leftover higher-welfare turkey gravy, 1                                                                                                                                                                                                                    carrot, 1                                                                                                                                                                                                                    apple, ½ a                                                                                                                                                                                                                    red onion, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh mint, 2                                                                                                                                                                                                                    gherkins, 1                                                                                                                                                                                                                    fresh red chilli, 4                                                                                                                                                                                                                    seeded wholemeal buns, BBQ SAUCE, 2                                                                                                                                                                tablespoons                                                                                                                                                                tomato ketchup, 1                                                                                                                                                                tablespoon                                                                                                                                                                HP sauce, 1                                                                                                                                                                teaspoon                                                                                                                                                                English mustard, ½                                                                                                                                                                teaspoon                                                                                                                                                                chipotle Tabasco sauce, 1                                                                                                                                                                splash of                                                                                                                                                                Worcestershire sauce","Shred and pull apart your leftover turkey meat and place in a small pan with a splash of water and 4 tablespoons of gravy. Pop a lid on and place on the lowest heat for 10 minutes to warm through., Warm the rest of the gravy in a separate pan, ready to use it for dunking later., Meanwhile, peel and finely shred the carrot, matchstick the apple, peel and finely slice the red onion, and pick and slice the mint leaves. Place it all in a bowl with 1 tablespoon of pickling liquid from your gherkin jar., Finely slice the gherkins, using a crinkle-cut knife if you’ve got one, and the chilli, add to the bowl, mix well, lightly season and put aside., Mix all the BBQ sauce ingredients together., Split and toast your buns, then spread the BBQ sauce inside them, top and bottom. Pile your pulled turkey on the bun bases, drizzle with a little gravy and top with some of that tasty slaw. Pop the bun lids on, and you’re away., Serve the rest of the gravy on the side for a naughty dunk, along with any leftover slaw."
Coronation turkey recipe | Jamie Oliver turkey recipes,With pomegranate & pistachios,"https://img.jamieoliver.com/jamieoliver/recipe-database/51137433.jpg?tr=w-800,h-1066","['to', '8']",In1 hour,,267,32.4g,7.4g,8.5g,0.9g,18.3g,6.5g,4.4g,"500                                                                                                                                                                g                                                                                                                                                                leftover free-range cooked turkey, 2                                                                                                                                                                tablespoons                                                                                                                                                                korma or tikka paste, 150                                                                                                                                                                g                                                                                                                                                                natural yoghurt                                                                                                                                                                , plus extra to serve, 2                                                                                                                                                                large                                                                                                                                                                aubergines, ½ a                                                                                                                                                                 bunch of                                                                                                                                                                fresh mint, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, ½ a                                                                                                                                                                a                                                                                                                                                                fresh red chilli, extra virgin olive oil, 1                                                                                                                                                                                                                    red onion, 2                                                                                                                                                                                                                    little gem lettuces, 1                                                                                                                                                                                                                    pomegranate, 1                                                                                                                                                                handful of                                                                                                                                                                shelled pistachios, 6-8                                                                                                                                                                                                                    wholemeal khobez flatbreads","Place a griddle pan over a high heat and leave to get really hot. Meanwhile, pop the turkey, curry paste and yoghurt in a large mixing bowl, and toss to completely coat the meat., Next make your charred aubergine. Turn your gas hob on to high, then prick both the aubergines with a fork all over. Sit them directly on the flame., Cook for 5 to 10 minutes, turning every now and then. You want to get that nice charred flavour. (If you don’t have a gas hob, pop them under a hot grill for 5 to 10 minutes, turning every now and then.), Once charred all over, leave to cool for 5 minutes in a bowl covered with clingfilm., Once the aubergine has cooled, peel off the skin and mash up the flesh, chopping through it with a knife to turn it into a chunky dip., Pick the mint leaves, then finely chop. Peel and finely grate the garlic, then deseed and finely chop the chilli. Put it all into a small bowl, reserving half the chilli and chopped mint, along with 4 tablespoons of extra virgin olive oil., Mix well, then stir half of this dressing into the mashed aubergine along with sea salt and black pepper, to taste. Set aside. Peel and cut the onion into wedges., Once the griddle is hot, spoon in the marinated turkey, and add the onion wedges, and cook for 10 minutes, or until charred and crispy, turning regularly., Meanwhile, chop the lettuce into wedges, and bash the seeds out of a pomegranate. Roughly chop a handful of pistachios, then set to one side., Heat the flatbreads in a frying pan set over a high heat until warmed through, then serve with a good dollop of aubergine and the charred turkey and onion., Top with a little extra yoghurt, the little gem wedges, pomegranate seeds, chopped pistachios and the remaining mint leaves and red chilli. Drizzle with the rest of the chilli dressing to finish."
Turkey stew | Turkey recipes | Jamie Oliver recipes,Sweet leek & smoky bacon biscuit dumplings,"https://img.jamieoliver.com/jamieoliver/recipe-database/51137632.jpg?tr=w-800,h-1066","['Serves', '6']",plus cooling,"“This is a super-easy, old-school dish that uses leftover turkey or chicken in a brilliant way. As a kid I made it with dumplings, but when I was in the USA they would top stews with these lovely biscuits, so this is my hybrid of the two. ”",487,19.7g,6.1g,10.7g,1.4g,38g,41.3g,4g,"DUMPLINGS, 2                                                                                                                                                                rashers of                                                                                                                                                                higher-welfare smoked streaky bacon, 2                                                                                                                                                                small                                                                                                                                                                leeks, olive oil, 125                                                                                                                                                                g                                                                                                                                                                self-raising flour, 25                                                                                                                                                                g                                                                                                                                                                maize flour                                                                                                                                                                , or polenta, 30                                                                                                                                                                g                                                                                                                                                                unsalted butter (cold), 125                                                                                                                                                                ml                                                                                                                                                                buttermilk, 1                                                                                                                                                                large                                                                                                                                                                free-range egg, STEW, 3                                                                                                                                                                                                                    onions, 3                                                                                                                                                                sticks of                                                                                                                                                                celery, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh rosemary, 3                                                                                                                                                                sprigs of                                                                                                                                                                fresh thyme, 3                                                                                                                                                                                                                    fresh bay leaves, 2                                                                                                                                                                teaspoons                                                                                                                                                                English mustard, 2                                                                                                                                                                tablespoons                                                                                                                                                                plain flour, 1.5                                                                                                                                                                litres                                                                                                                                                                organic veg stock, 150                                                                                                                                                                g                                                                                                                                                                leftover stuffing, 500                                                                                                                                                                g                                                                                                                                                                leftover cooked free-range turkey or chicken meat","To start the dumplings, roughly chop the bacon and place in a large frying pan on a medium-low heat to crisp up while you wash, trim and finely slice the leeks., Stir them into the pan with 1 tablespoon of oil, then cook for 15 minutes, or until soft and sweet, stirring occasionally. Remove from the heat and leave to cool., Meanwhile, for the stew, peel the onions, trim the celery, then roughly chop both and place in a large, wide casserole pan on a medium heat with 2 tablespoons of oil (or even better, use turkey dripping to intensify the flavours)., Add the herb sprigs and bay, and cook for 15 minutes, or until soft but not coloured, stirring regularly. Stir in the mustard and flour for 2 minutes, then gradually stir in the stock to make a nice thick sauce., Crumble in the leftover stuffing and turn the heat off. Scoop out and discard the herb sprigs and bay leaves, then shred the turkey or chicken meat, stir it into your stew, taste, and season to perfection., Preheat the oven to 200°C/400°F/gas 6., Place the flours in a large bowl. Dice and add the butter, then use your thumbs and forefingers to rub the butter into the flour until it resembles breadcrumbs., Make a well in the middle, pour in the buttermilk, then gradually mix into the crumbs, bringing them in from the outside. Stir in the cooled leeks and bacon until just combined, but don’t overwork it – we want the dough as light as possible., Gently roll it out on a clean flour-dusted surface until 2cm thick, then use a 5cm fluted cutter to stamp out as many round dumplings as you can, re-rolling and using up any offcuts – you should get at least 12 from this amount., Brush the dumplings with beaten egg, then sit them on top of the stew., Bake for 25 to 30 minutes, or until the dumplings are risen and golden and the stew is blipping and bubbling away nicely. Delicious with simple steamed greens."
