Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Brussels sprouts Caesar-style| Jamie Oliver Christmas recipes,With a creamy dressing & garlicky croutons,"https://img.jamieoliver.com/jamieoliver/recipe-database/154743486.jpg?tr=w-800,h-1066","['a', 'side']",In25 minutes,"“Brussels sprouts can be controversial, but this recipe will make anyone love them! In this incredible salad I’ve also given you a shortcut to make a tangy Caesar-style dressing and a trick to turn stale bread into gorgeous garlic croutons.  ”",150,10.6g,3.2g,2.8g,0.5g,7g,8.6g,3.2g,"50                                                                                                                                                                g                                                                                                                                                                Parmesan cheese                                                                                                                                                                , plus extra to serve, 1                                                                                                                                                                                                                    lemon, 3                                                                                                                                                                tablespoons                                                                                                                                                                Greek-style yoghurt, 1                                                                                                                                                                small handful of                                                                                                                                                                soft herbs                                                                                                                                                                , such as basil, flat-leaf parsley, dill, ½                                                                                                                                                                teaspoon                                                                                                                                                                Worcestershire sauce, extra virgin olive oil, 3                                                                                                                                                                                                                    anchovies in oil                                                                                                                                                                , (optional), 500                                                                                                                                                                g                                                                                                                                                                Brussels sprouts, 2                                                                                                                                                                thick slices of                                                                                                                                                                stale bread, 1                                                                                                                                                                clove of                                                                                                                                                                garlic, olive oil","Finely grate most of the Parmesan into a blender with the zest of half the lemon. Squeeze in the juice of the whole lemon, then add the yoghurt, herbs, Worcestershire sauce, 2 tablespoons of extra virgin olive oil and the anchovies (if using). Blitz until smooth, then pour into a large serving dish., Trim and halve half of the sprouts through the root. Place in a large dry frying pan, cut-side down, and char until brown and blistered., Finely slice the remaining sprouts then pile on top of the sauce. Tip the charred Brussels over the top and put the empty pan back on the heat., Slice the bread into 1cm chunks, tip into the pan and toast. Make a well in the centre, peel and grate the garlic into the pan, and then drizzle with olive oil. Give the pan a shake., Grate over the remaining Parmesan, shake the pan, add another drizzle of extra virgin olive oil, then return to the heat, until the cheese is melted., Tip the crunchy cheesy croutons onto the salad and then give everything a really good toss until it’s coated in the lovely dressing. Speed peel over shavings of Parmesan and serve."
Air-fryer bubble and squeak | Jamie Oliver Christmas recipes,Put lovely leftovers to good use,"https://img.jamieoliver.com/jamieoliver/recipe-database/154640293.jpg?tr=w-800,h-1066","['Serves', '2']",In20 minutes,,398,15.5g,1.6g,18g,0g,7.3g,60.6g,11.6g,"300                                                                                                                                                                g                                                                                                                                                                leftover roast potatoes, 300                                                                                                                                                                g                                                                                                                                                                leftover cooked veg                                                                                                                                                                , such as carrots, swede, turnips, parsnips, Brussels sprouts, kale, 4                                                                                                                                                                sprigs of                                                                                                                                                                fresh woody herbs                                                                                                                                                                , such as rosemary, sage, thyme, olive oil","Place the veg in a large bowl and mash well with a potato masher (or use clean hands), then shape into 6 even-sized 3cm-thick patties., Meanwhile, pick the fresh herb leaves, and toss in ½ a tablespoon of olive oil., Arrange the patties in air-fryer* in a single layer. Cook at 190°C for 15 minutes or until beautifully crisp, scattering over the herbs for the final 5 minutes."
Really good roast veg | Jamie Oliver Christmas recipes,Glazed carrots & bay parsnips,"https://img.jamieoliver.com/jamieoliver/recipe-database/154595725.jpg?tr=w-800,h-1066","['Serves', '10']",35 minutes,"“This is my favourite way to cook my Christmas veg. Keeping the skins on gives incredible flavour, and tailoring flavourings to the veg means you’ve got a proper streamlined taste profile. They’re just really good veg! ”",139,4g,0.6g,12.6g,0.6g,2.8g,24.6g,7.4g,"1                                                                                                                                                                kg                                                                                                                                                                carrots, 1                                                                                                                                                                tablespoon                                                                                                                                                                runny honey, olive oil, 2                                                                                                                                                                                                                    clementines, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh thyme                                                                                                                                                                , (15g), 1                                                                                                                                                                kg                                                                                                                                                                parsnips, red wine vinegar, 1                                                                                                                                                                handful of                                                                                                                                                                bay leaves","Preheat the oven to 180°C/350°F/gas 4. Scrub the carrots and line them up in a large roasting tray. Drizzle with the honey, 1 tablespoon of olive oil, and sprinkle over a pinch of sea salt. Squeeze over the juice of the clementines and scatter over the thyme sprigs., Scrub and trim the parsnips. Line them up in the tray next to the carrots and drizzle with 1 tablespoon of red wine vinegar and 1 tablespoon of olive oil. Sprinkle with a pinch of sea salt and tuck in the bay leaves., Gently toss the veg in their own sections, and roast for 1 hour and 20 minutes, or until golden and gorgeous."
Giant stuffed squash | Jamie Oliver Christmas recipes,With cheesy leeks,"https://img.jamieoliver.com/jamieoliver/recipe-database/154595917.jpg?tr=w-800,h-1066","['Serves', '10']",In2 hours,"“My vegetarian centrepiece is so good, it will rival the turkey on your Christmas table. A gorgeous edible bowl of cheesy leeks with a super-simple shortcut to a delicious cheese sauce, all topped with a beautiful walnut crumb. ”",369,15.8g,6g,16.4g,1.1g,13.4g,45.8g,6.2g,"1                                                                                                                                                                                                                    French or porcelain princess pumpkin (26-28cm in diameter)                                                                                                                                                                , or 3 butternut squash, olive oil, 1                                                                                                                                                                whole                                                                                                                                                                nutmeg                                                                                                                                                                , for grating, 1                                                                                                                                                                kg                                                                                                                                                                leeks, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 10                                                                                                                                                                g                                                                                                                                                                unsalted butter, ½                                                                                                                                                                a bunch of                                                                                                                                                                thyme                                                                                                                                                                , (15g), 2                                                                                                                                                                                                                    bay leaves, 1                                                                                                                                                                heaped tablespoon                                                                                                                                                                plain flour, 375                                                                                                                                                                ml                                                                                                                                                                milk, 200                                                                                                                                                                g mix of                                                                                                                                                                melty cheeses                                                                                                                                                                , such as Gruyère, Red Leicester, Cheddar, 200                                                                                                                                                                g                                                                                                                                                                stale bread, 50                                                                                                                                                                g                                                                                                                                                                walnuts, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh sage                                                                                                                                                                , to garnish","Preheat the oven to 180°C/350°F/gas 4. Carefully cut the top off the squash and remove all the pulp and seeds. Place in a large roasting tray, cut side up, drizzle with 2 tablespoons of olive oil, add a few gratings of nutmeg and season with sea salt and black pepper. Rub all over the flesh, cover with foil and roast for 1½ hours or until tender (if you’re using butternut squash, scoop out some of the flesh to make a gully for the sauce all along the length of the squash)., Meanwhile, cut the leeks in half lengthwise and slice. Peel and finely slice the garlic. Place a large pan over a medium heat, melt the butter, and then add the garlic. Once foaming, then strip in most of the thyme leaves and add the bay leaves. Before the garlic takes on any colour, add the green part of the leeks, some salt and pepper, and cook for 10 minutes, stirring occasionally. Then add the white part of the leeks and cook, until starting to soften. Cover, cook for 30 minutes, stirring every now and then. The environment of heat and steam will make them soft, tender and gorgeous., Check the seasoning, then turn it into a super-charged white sauce. Stir in the flour. Add about 375ml of milk and stir until it thickens, then simmer and blip away, until thick and gorgeous., Remove from the heat, grate in the cheeses, then stir until melting and gorgeous. Carefully pour into the squash., Tear the bread into a food processor, blitz into breadcrumbs and tip into a bowl. Blitz the walnuts and then tip into the crumbs and scatter over the sauce., Bake for 20 minutes, or until golden, blipping and delicious., When there’s 5 minutes to go, pick the sage leaves into a small frying pan on a medium-high heat with ½ a tablespoon of oil and fry until crisp., Pick the remaining thyme leaves over the baked squash and decorate with the crispy sage, just before serving. Take it to the table with a big spoon, for everyone to dig in."
Sausage & squash chilli | Jamie Oliver recipes,"Rosemary, garlic & smoked paprika","https://img.jamieoliver.com/jamieoliver/recipe-database/153601127.jpg?tr=w-800,h-1066","['Serves', '8']",In2 hours,"“When the evenings start to get darker and the weather gets colder, you can’t beat a good old chilli. This one is a proper family favourite – it’s super simple to make and the kids love it. You can easily double this recipe, so it’s perfect for big get-togethers like Bonfire Night.  ”",301,15.2g,5g,11.8g,0.8g,15.8g,26.2g,4.2g,"400                                                                                                                                                                g                                                                                                                                                                higher-welfare pork or veggie sausages, olive oil, ½                                                                                                                                                                a stick of                                                                                                                                                                cinnamon, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh rosemary, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                Cajun seasoning, 2                                                                                                                                                                heaped teaspoons                                                                                                                                                                smoked paprika, 500                                                                                                                                                                g                                                                                                                                                                frozen chopped mixed onion, carrot and celery, 1                                                                                                                                                                small                                                                                                                                                                butternut squash, 3                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2                                                                                                                                                                tablespoons                                                                                                                                                                balsamic vinegar, 2 x 400                                                                                                                                                                g tins of                                                                                                                                                                beans such as kidney, black, pinto, cannellini, borlotti or butter beans, 2 x 400                                                                                                                                                                g tins of                                                                                                                                                                plum tomatoes, extra virgin olive oil                                                                                                                                                                , (optional), a few sprigs of                                                                                                                                                                fresh coriander","Squeeze the sausagemeat out of the skin into little balls (if using veggie sausages, roughly slice) and place in a large deep casserole pan over a medium-high heat with 1 tablespoon of olive oil, the cinnamon stick and a big pinch of black pepper. Fry for 5 minutes, or until browned, stirring regularly, then strip in the rosemary leaves and stir in the Cajun seasoning and smoked paprika for 1 minute., Go in with the frozen mixed veg and a pinch of sea salt and pepper. Cook for 10 minutes, or until softened and lightly golden, stirring occasionally., Peel, deseed and chop the butternut squash into 1.5cm chunks, then peel and finely chop the garlic. Add everything to the pan along with the balsamic vinegar, stirring for 1 minute, then add the beans (juices and all)., Preheat the oven to 180°C/350°F/gas 4. Tip in the tomatoes, breaking them up with the back of your spoon, then half-fill each tin with water, swirl around and pour into the pan., Bring to the boil, then cover with a lid and bake in the oven for 1 hour 30 minutes, or until the squash is tender and the sauce is slightly thickened, removing the lid for the final 30 minutes and adding splashes of water, if needed., Once the time’s up, gently mash around a third of the chilli, until some of the beans are squashed into the sauce, then give everything a good stir. Taste and season to perfection, tweaking with a little balsamic vinegar and extra virgin olive oil, if you like. Pick over the coriander leaves and serve with fluffy rice, dollops of yoghurt and a fresh green salad."
Sarit & Itamar's mushroom sfiha | Jamie Oliver recipes,With caramelised onions & ricotta,"https://img.jamieoliver.com/jamieoliver/recipe-database/153135556.jpg?tr=w-800,h-1066","['Serves', '4']",In35 minutes,,,,,,,,,,"3 onions, 500g mushrooms, 2 tablespoons Baharat seasoning, 1 large flatbread, 250g ricotta, PANTRY, olive oil, black pepper, sea salt, extra virgin olive oil","Peel and dice the onions, then sauté in a pan with 2 tablespoons of olive oil and a pinch of sea salt on a medium heat so they soften – about 8 to 10 minutes. Meanwhile, thickly slice the mushrooms., Once the onions start to stick to the bottom of the pan, add the sliced mushrooms – they will start to let out water and after about 10 to 12 minutes the volume should halve and there should be no liquid left in the pan., Add the baharat, then taste and adjust seasoning, if needed., Preheat the oven to 180ºC/350ºF/gas 4., Line a 20cm cake or pie tin (or adjust to the size of your flatbread) with greaseproof paper., Quickly run the flatbread under a lightly running warm tap, drizzle lightly with oil, then press it down into the tin, so that the edges overhang the sides., Fill the base with ricotta, keeping 4 teaspoons back to serve, and spread out to create an even layer., Top with the mushroom filling, fold the overhanging sides of the flatbread down onto the filling and brush the exposed bread with a little olive oil., Bake in the centre of the oven for 10 to 15 minutes, then allow to sit for 5 minutes in the tin, before using the greaseproof to help you remove it easily., Slice up and serve hot with a dollop of seasoned ricotta. Great with a green salad."
José Pizarro’s Zorongollo | Jamie Oliver recipes,SMOKY ROAST VEG & SUNSHINE EGGS,"https://img.jamieoliver.com/jamieoliver/recipe-database/153135198.jpg?tr=w-800,h-1066","['Serves', '4']",In55 minutes,,,,,,,,,,"3 large red peppers, 2 large tomatoes, 4 cloves of garlic, 4 free-range eggs, 8 small or 4 large slices of bread, PANTRY, olive oil, red wine vinegar, sea salt, black pepper, extra virgin olive oil","Preheat the oven to 180°C/350°F/gas 4., Arrange the whole peppers, tomatoes and 3 of the garlic cloves in an oven tray, drizzle all over with olive oil, season well with sea salt and freshly ground black pepper, and roast in the oven for 45 minutes, or until softened., Transfer the peppers to a bowl, cover with clingfilm and leave to cool., Once cool, peel off and discard all the skins from the peppers, making sure you reserve any juices. Tear the pepper flesh into long strips, discarding the core and seeds, then place in a bowl with the reserved juices., Peel the tomatoes and pop the roasted garlic cloves from their skins, then add both to the peppers., Using clean hands or a fork, lightly crush the vegetables together to combine all the flavours. Drizzle with extra virgin olive oil and red wine vinegar (not too much), toss together and adjust the seasoning, if necessary. Cover and leave to sit while you get on with the rest of the dish (if you want to make this the day before, it can sit overnight and will become even more delicious!)., Bring a pan of water to the boil, add salt (I find this makes the eggs easier to peel!) and boil the eggs for 11 minutes, then cool under cold water. Peel and slice the eggs into quarters., Toast your preferred bread and lightly rub with the remaining clove of raw garlic., To serve, spoon the salad (zorongollo) onto the toast and top with the sliced eggs. Drizzle with some of the juices from the bowl, extra virgin olive oil and sprinkle with freshly ground black pepper."
Air-fryer root veg | Jamie Oliver air-fryer recipes,With garlic & herbs,"https://img.jamieoliver.com/jamieoliver/recipe-database/152315752.jpg?tr=w-800,h-1066","['a', 'side']",minutes cook),,104,4.1g,0.6g,8.1g,0.6g,2.3g,15.5g,4.8g,"640                                                                                                                                                                g                                                                                                                                                                root veg                                                                                                                                                                , such as carrot, butternut squash, parsnip, swede, olive oil, 4                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2                                                                                                                                                                sprigs of                                                                                                                                                                fresh rosemary, red wine vinegar","Roughly chop the root veg into 2cm chunks (there’s no need to peel it)., Place in a large bowl with 1 tablespoon of olive oil and a pinch of sea salt and black pepper. Toss together until well coated., Place the veg in the air-fryer* and cook at 170°C for 25 minutes, turning the veg over or shaking the basket every 10 minutes., Peel and slice the garlic, pick and roughly chop the rosemary., Add the garlic, rosemary and a splash of red wine vinegar to the air-fryer and toss together with the veg, then cook at 190°C for a final 10 minutes, or until cooked through and golden."
Potato bombas | Jamie Oliver recipes,"Crispy crumb, oozy Manchego & spicy tomato sauce","https://img.jamieoliver.com/jamieoliver/recipe-database/154403195.jpg?tr=w-800,h-1066","['Serves', '6']",In45 minutes,"“I tried a secret recipe for potato bombas at a famous breakfast restaurant called La Cova Fumada in Barcelona, and wanted to create my own version, turning the humble potato into a thing of wonder. ”",336,13.6g,6g,4.6g,1g,13.7g,41.1g,2.5g,"4                                                                                                                                                                large                                                                                                                                                                potatoes                                                                                                                                                                , (1kg), 2                                                                                                                                                                large                                                                                                                                                                free-range eggs, 150                                                                                                                                                                g                                                                                                                                                                Manchego cheese, 100                                                                                                                                                                g                                                                                                                                                                fresh breadcrumbs, 1                                                                                                                                                                x 400g jar of                                                                                                                                                                arrabbiata sauce",
Beetroot bucatini | Jamie Oliver Cookbook Club recipes,,"https://img.jamieoliver.com/jamieoliver/recipe-database/151854686.jpg?tr=w-800,h-1066","['Serves', '4']",MINUTES COOK),"“Be amazed at how the beetroot turns the pasta a majestic ruby red in this creamy, vibrant dish. It’s enough to convince anyone that beetroot is incredible. Add the sauce to anything from salads to pizza to pasta. This is one of my favourite dishes in this book! ”",,,,,,,,,"380                                                                                                                                                                g                                                                                                                                                                bucatini                                                                                                                                                                , spaghetti or linguine, 40                                                                                                                                                                g                                                                                                                                                                feta                                                                                                                                                                , crumbled, to serve, Beetroot sauce, 1                                                                                                                                                                large                                                                                                                                                                beetroot                                                                                                                                                                , including the stems and leaves, 1                                                                                                                                                                tbsp                                                                                                                                                                olive oil, 1                                                                                                                                                                onion                                                                                                                                                                                                                    , chopped, 2                                                                                                                                                                                                                    garlic cloves                                                                                                                                                                , finely chopped or crushed, 1                                                                                                                                                                tbsp                                                                                                                                                                chopped parsley stems, 1                                                                                                                                                                tbsp                                                                                                                                                                chopped fresh basil stems                                                                                                                                                                , plus basil leaves to garnish, 4                                                                                                                                                                tbsp                                                                                                                                                                nutritional yeast, ½                                                                                                                                                                                                                    lemon                                                                                                                                                                , juice of, 1                                                                                                                                                                tsp                                                                                                                                                                salt, ½                                                                                                                                                                tsp                                                                                                                                                                black pepper, 70                                                                                                                                                                ml                                                                                                                                                                oat milk, Crispy garlic breadcrumbs, 1                                                                                                                                                                tbsp                                                                                                                                                                olive oil, 1                                                                                                                                                                                                                    garlic clove                                                                                                                                                                , grated or thinly sliced, 50                                                                                                                                                                g                                                                                                                                                                breadcrumbs                                                                                                                                                                , home-made from a stale loaf, or shop-bought","To make the beetroot sauce: bring a pan of water to the boil, add the whole beetroot and cook for 10–15 minutes or until tender. Drain the beetroot and set aside to cool for a few minutes, then cut into quarters., Meanwhile, in a non-stick frying pan over medium heat, heat the olive oil and cook the onion, garlic, parsley and basil stems for 3–5 minutes until fragrant and soft. Remove from the heat; do not wash the pan., Put the beetroot into a food processor or blender, add the onion mixture, nutritional yeast, lemon juice, salt and pepper. Pulse for 1 minute, then, with the motor running, stream in the milk. Blend on high speed until very smooth. If the sauce is too thick, add a little more milk, 1 tablespoon at a time, to loosen., Bring a large pan of salted water to the boil, add the bucatini and cook for 9 minutes or until al dente. Drain the pasta, reserving 4–5 tablespoons of the pasta cooking water., Meanwhile, prepare the crispy garlic breadcrumbs. In a separate frying pan, heat the oil over medium heat, add the garlic and fry for 1 minute until lightly browned. Add the breadcrumbs and cook, stirring frequently, until the breadcrumbs are lightly charred and fragrant, about 2–3 minutes. Remove from the heat and set aside., In the same frying pan used for the onion and garlic, add the cooked pasta and beetroot sauce and stir well over low–medium heat for 2 minutes. If too thick, stir in some of the reserved pasta water., Serve the pasta in bowls or on plates, garnished with roughly torn basil leaves, crumbled feta cheese and crispy garlic breadcrumbs."
